PROGRAM_DESCRIPTION,FACILITY_NAME,GEOGRAPHIC_STREET,GEOGRAPHIC_CITY,GEOGRAPHIC_STATE,GEOGRAPHIC_ZIP_CODE,PARISH,MAIL_STREET,MAIL_CITY,MAIL_STATE,MAIL_ZIP,ORIGINAL_LICENSURE_DATE,LICENSURE_EXPIRATION_DATE,ADMINISTRATOR,EMAIL_ADDRESS,TELEPHONE_NUMBER,FAX_PHONE_NUMBER,LDH_REGION_CODE,LICENSURE_NUM
Adult Day Health Care,Active Adult Day HealthCare,333 East Prudhomme Lane,OPELOUSAS,LA,70570,ST. LANDRY,P.O. BOX 2201,OPELOUSAS,LA,70570,12/9/05,11/30/21,Alice N Mwakitawa,activepcs@yahoo.com,(337) 948-9067,(337) 948-9064,4,5031
Adult Day Health Care,"Adult Day Health Care of Carencro, Inc.",403 Veterans Dr. ,CARENCRO,LA,70520,LAFAYETTE,403 VETERANS DR. ,CARENCRO,LA,70520,7/25/02,7/31/21,MS Pearlie  Flugence,adhcofcarencro@bellsouth.net,(337) 886-0108,(337) 886-1413,4,4444
Adult Day Health Care,Adult Day Healthcare Center of Hammond,44129 S. Airport Rd. ,HAMMOND,LA,70403,TANGIPAHOA,44129 S. AIRPORT RD. ,HAMMOND,LA,70403,9/1/10,8/31/21,Christopher  Mcvay,adhcofhammond@yahoo.com,(985) 345-5996,(985) 345-4146,9,5061
Adult Day Health Care,Agape Adult Day Healthcare,111 Faith Drive ,OPELOUSAS,LA,70570,ST. LANDRY,111 FAITH DRIVE ,OPELOUSAS,LA,70570,10/7/09,9/30/21,Rose M Walls,agapetotal@aol.com,(337) 942-5535,(337) 942-5078,4,5052
Adult Day Health Care,Allen & Riley Healthcare Services LLC,501 Rue De Sante Ste 2,LA PLACE,LA,70068,ST. JOHN THE BAPTIST,501 RUE DE SANTE STE 2,LAPLACE,LA,70068,3/8/21,2/28/22,Terka  Fox,Allen.Rileyhealthcare@gmail.com,(985) 359-4046,(985) 359-4047,3,2203784873
Adult Day Health Care,At Home Adult Day Care,76 Hood Street ,LAKE PROVIDENCE,LA,71254,EAST CARROLL,306 CHURCH ST,PORT GIBSON,MS,39150,6/1/12,6/30/21,Beverly  Williams,athomecare3524@aol.com,(318) 559-3959,(318) 559-3958,8,5080
Adult Day Health Care,Ballington Center at South Pointe Place,1133 Southpoint Parkway,SHREVEPORT,LA,71104,CADDO,360 JORDAN STREET,SHREVEPORT,LA,71101,12/1/91,5/31/22,Ken  Beatty,andrew.twyman@voanorthla.org,(318) 212-1703,(318) 212-1706,7,2203782378
Adult Day Health Care,Best Kare Journey Adult Day Health Care,282 Sheppard Street ,MINDEN,LA,71055,WEBSTER,282 SHEPPARD STREET ,MINDEN,LA,71055,12/28/11,12/31/21,MS Shirley  Gibson,bestkarejourney@att.net,(318) 382-1110,(318) 382-1190,7,5079
Adult Day Health Care,Chez-Elma Adult Day Health Care Center,154 North Hollywood Road,HOUMA,LA,70364,TERREBONNE,154 NORTH HOLLYWOOD ROAD,HOUMA,LA,70364,12/11/18,11/30/21,Valerie  Whittington,chezelmaadhc@gmail.com,(985) 601-3157,(985) 746-4163,3,2203784156
Adult Day Health Care,"Crescent City Adult Day Health Care, LLC",1819 Franklin Avenue,GRETNA,LA,70053,JEFFERSON,1819 FRANKLIN AVENUE,GRETNA,LA,70053,10/4/10,7/31/21,"Ms. Nichole M. Turner, RN",crescentcityadhc@yahoo.com,(504) 367-3580,(504) 367-3578,1,2203781766
Adult Day Health Care,Friendship House ADHC,114 Sixth Street ,ALEXANDRIA,LA,71301,RAPIDES,114 SIXTH STREET,ALEXANDRIA,LA,71301,7/18/91,6/30/22,Faye  Simpson,director@friendship-house.net,(318) 473-9504,(318) 473-9041,6,2669
Adult Day Health Care,Hansberry ADHC,1606 I-49 N. Frontage Road ,GRAND COTEAU,LA,70541,ST. LANDRY,P.O. BOX 184 ,GRAND COTEAU,LA,70541,4/7/05,4/30/22,Ms. Mary Hansberry,hansberryadhc@atvci.net,(337) 662-5944,(337) 662-5974,4,5043
Adult Day Health Care,Hope Haven Adult Day Healthcare Center,1131 Barataria Blvd. ,MARRERO,LA,70072,JEFFERSON,1131 BARATARIA BLVD,MARRERO,LA,70072,10/1/05,6/30/22,Ryan  Barbe,wmarkase@ccano.org,(504) 267-9692,(504) 347-2744,1,2203782047
Adult Day Health Care,Kingsley House Adult Day Health Care,901 Richard Street,NEW ORLEANS,LA,70130,ORLEANS,901 RICHARD STREET,NEW ORLEANS,LA,70130,4/1/82,8/31/21,Arnel  Cosey,acosey@kingsleyhouse.org,(504) 523-6221,(504) 910-6925,1,2203782908
Adult Day Health Care,Maison de Williams ADHC,828 Latiolais Dr ,BREAUX BRIDGE,LA,70517,ST. MARTIN,P.O. BOX 1267 ,BREAUX BRIDGE,LA,70517,9/21/99,8/31/21,Cheryl  Williams,maisondewilliams@yahoo.com,(337) 332-5329,(337) 332-5331,4,2675
Adult Day Health Care,Mary Lee''s House of Love Adult Day Health Care,403 Church Street,MELVILLE,LA,71353,ST. LANDRY,P.O. BOX 813,MELVILLE,LA,71353,3/21/19,2/28/22,Eugenia  Washington,maryleehouseoflove@yahoo.com,(337) 623-4411,(844) 273-8109,4,2203784235
Adult Day Health Care,Pace Baton Rouge,7436 Bishop Ott Drive ,BATON ROUGE,LA,70806,EAST BATON ROUGE,7436 BISHOP OTT DRIVE ,BATON ROUGE,LA,70806,1/1/89,12/31/21,MS Karen  Allen,karen.allen@fmolhs.org,(225) 490-0604,(225) 490-0354,2,5048
Adult Day Health Care,Pace Greater New Orleans ADHC,4201 N. Rampart Street ,NEW ORLEANS,LA,70117,ORLEANS,4201 N. RAMPART STREET ,NEW ORLEANS,LA,70117,10/1/05,5/31/22,Ryan  Barbe,rbarbe@ccano.org,(504) 941-6057,(504) 941-6082,1,5020
Adult Day Health Care,PACE Lafayette,501 W. Saint Mary Blvd. Suite 200,LAFAYETTE,LA,70506,LAFAYETTE,501 W. SAINT MARY BLVD. SUITE 200,LAFAYETTE,LA,70506,5/4/15,4/30/22,Karen  Allen,Karen.Allen@FMOLHS.ORG,(337) 470-4500,(337) 470-1752,4,2203782325
Adult Day Health Care,Poydras Home Activity Services for the Elderly (PHASE),5354 Magazine Street ,NEW ORLEANS,LA,70115,ORLEANS,5354 MAGAZINE STREET ,NEW ORLEANS,LA,70115,10/1/05,12/31/21,Erin E Kolb,ekolb@poydrashome.com,(504) 897-0535,(504) 897-9494,1,2662
Adult Day Health Care,Promise Pride Adult Day Healthcare Center,5100 Groom Road Suite B ,BAKER,LA,70714,EAST BATON ROUGE,5100 GROOM ROAD SUITE B ,BAKER,LA,70714,9/25/07,8/31/21,Mary  White,promisepride707@gmail.com,(225) 774-3385,(225) 774-7381,2,5039
Adult Day Health Care,Red River Council on Aging Adult Day Health Care,1825 Front Street ,COUSHATTA,LA,71019,RED RIVER,P.O. DRAWER 688 ,COUSHATTA,LA,71019,4/1/82,3/31/22,Elizabeth  Cannon,rrcoa2@bellsouth.net,(318) 932-5721,(318) 932-9572,7,2668
Adult Day Health Care,Silver Lining ADHC,3419 NW Evangeline Thruway,CARENCRO,LA,70520,LAFAYETTE,203 BELLEMONT DRIVE,LAFAYETTE,LA,70507,8/7/20,7/31/21,Cordece  Jolirette,silverliningADHC@gmail.com,(337) 592-3178,(337) 324-9702,4,2203784672
Adult Day Health Care,Slidell Adult Day Health Care,2768 SGT. Alfred Dr. ,SLIDELL,LA,70458,ST. TAMMANY,P.O. BOX 3224 ,SLIDELL,LA,70459,11/1/04,1/31/22,Dwight  Denham,slidelladultdayh@bellsouth.net,(985) 643-1112,(985) 643-3444,9,2203782273
Adult Day Health Care,Success Adult Day Health Care Center,211 North Thomas Drive,SHREVEPORT,LA,71107,CADDO,211 NORTH THOMAS DRIVE,SHREVEPORT,LA,71107,11/19/19,10/31/21,Mar'Dosha  Peek,successadult18@gmail.com,(318) 779-0197,(889) 999-9999,7,2203784477
Adult Day Health Care,Sunny Days Adult Day Health Care LLC,1562 West Main Street,VILLE PLATTE,LA,70586,EVANGELINE,308 COURT STREET,VILLE PLATTE,LA,70586,11/2/20,10/31/21,Sclanda  Tezeno,sunnydaysadultday@gmail.com,(337) 459-8246,(337) 363-8527,4,2203784749
Adult Day Health Care,"The Center, Inc. ADHC",2271 Mason Avenue ,BATON ROUGE,LA,70805,EAST BATON ROUGE,2271 MASON AVENUE ,BATON ROUGE,LA,70805,1/14/83,3/31/22,Angela  Hubbard-Weir,info@thecenterbr.org,(225) 357-8977,(225) 357-9958,2,2664
Adult Day Health Care,"The Comforts of Home Adult Day Health Care, LLC",2701 Manhattan Blvd. Suite 14 & 15 ,HARVEY,LA,70058,JEFFERSON,2701 MANHATTAN BLVD. SUITE 14 & 15 ,HARVEY,LA,70058,8/11/10,7/31/21,Shonitra  Vaughn,comfortsofhomeadhc@gmail.com,(504) 367-0889,(504) 367-0152,1,5059
Adult Day Health Care,"Touch of Grace, ADHC, LTC, L.L.C.",500 Royal Street ,NATCHITOCHES,LA,71457,NATCHITOCHES,P. O. BOX 7021 ,NATCHITOCHES,LA,71457,3/16/05,9/30/21,Mordecaus L Sykes,touchofgraceadhc@yahoo.com,(318) 356-5855,(318) 352-5585,7,5078
Adult Residential Care,A & D Adult Residential Care - Westbank - Level 1 ,3081 Elmwood Park Drive ,NEW ORLEANS,LA,70114,ORLEANS,3081 ELMWOOD PARK DRIVE ,NEW ORLEANS,LA,70114,7/20/09,11/30/21,Mrs. Barbara K. Reece,adultresidential@yahoo.com,(504) 361-0365,(504) 302-9828,1,14584
Adult Residential Care,Academy House - Level 1 ,4324 Academy Dr. ,METAIRIE,LA,70003,JEFFERSON,5304 ERLANGER ROAD ,KENNER,LA,70065,3/18/09,3/31/22,MRS Peggy C Stahls,stahlsp@bellsouth.net,(504) 884-1063,(504) 780-7482,1,13319
Adult Residential Care,Almor Ponderosa - Level 2 ,830 McKeithen Drive ,ALEXANDRIA,LA,71303,RAPIDES,830 MCKEITHEN DRIVE ,ALEXANDRIA,LA,71303,2/1/09,2/28/22,Barbara  Howard,patricia@almorenterprises.com,(318) 787-6320,(318) 787-6320,6,14224
Adult Residential Care,Anderson Memory Care LLC - Level 3,4108 Dauphine St.,SLIDELL,LA,70458,ST. TAMMANY,4108 DAUPHINE ST.,SLIDELL,LA,70458,8/8/14,7/31/21,TERRI  COMEAUX,terri@lifeatsummerfield.com,(985) 646-4677,(985) 646-4681,9,2203782072
Adult Residential Care,Arbor Rose Assisted Living - Level 3 ,243 Sistrunk Road,FARMERVILLE,LA,71241,UNION,243 SISTRUNK ROAD,FARMERVILLE,LA,71241,3/11/08,2/28/22,Greg  Futch,gfutch@paramounthcla.com,(318) 368-1848,(318) 368-6364,8,13917
Adult Residential Care,Ashton Manor Assisted Living & Memory Care - Level 2 ,270 Ashton Plantation Blvd,LULING,LA,70070,ST. CHARLES,270 ASHTON PLANTATION BLVD,LULING,LA,70070,12/14/12,11/30/21,Stephanie  Maxwell,Stephanie@ashton-manor.com,(985) 785-8288,(985) 785-7773,3,2203781391
Adult Residential Care,Audubon Care Homes Dreyfous House - Level 2,4713 Dreyfous Ave,METAIRIE,LA,70006,JEFFERSON,5117 JEANNETTE DRIVE,METAIRIE,LA,70003,5/14/20,4/30/22,Michelle  Lovitt,INFO@AUDUBONCAREHOMES.COM,(504) 252-2640,(88) 999-9999,1,2203784621
Adult Residential Care,Avanti Senior Living at Covington - Level 3,2234 Watercross Parkway,COVINGTON,LA,70433,ST. TAMMANY,2219 SAWDUST RD. STE 1903,THE WOODLANDS,TX,77380,8/3/17,7/31/21,Jeremy  Yankowski,lalford@avanti-sl.com,(985) 317-6110,(985) 317-6151,9,2203783452
Adult Residential Care,Avanti Senior Living at Lafayette - Level 3,5522 Ambassador Caffery Parkway,YOUNGSVILLE,LA,70592,LAFAYETTE,"2219 SAWDUST ROAD, SUITE 1903",THE WOODLANDS,TX,77380,7/23/19,6/30/21,Laurie  Deslatte,lalford@avanti-sl.com,(337) 703-6300,(888) 999-9999,4,2203784346
Adult Residential Care,Azalea Estates of Gonzales - Level 3 ,2305 South Purpera Avenue ,GONZALES,LA,70737,ASCENSION,2305 SOUTH PURPERA AVENUE ,GONZALES,LA,70737,9/21/04,12/31/21,LISA  L'huillier,lisal@ssmgrp.com,(225) 644-1028,,2,2203784561
Adult Residential Care,Azalea Estates of Monroe -Level 3 ,4380 Old Sterlington Rd. ,MONROE,LA,71203,OUACHITA,4380 OLD STERLINGTON RD. ,MONROE,LA,71203,8/31/07,12/31/21,Patrick  James,pjames@ssmgrp.com,(318) 343-1626,(318) 345-4825,8,2203784562
Adult Residential Care,Azalea Estates of New Iberia-Level 3 ,1318 Andre Street ,NEW IBERIA,LA,70563,IBERIA,1318 ANDRE STREET ,NEW IBERIA,LA,70563,9/21/04,12/31/21,Chris  Thibodeaux,cthibodeaux@ssmgrp.com,(337) 364-1695,(337) 367-8280,4,2203784563
Adult Residential Care,Azalea Estates of Shreveport - Level 3,516 East Flournoy Lucas Road ,SHREVEPORT,LA,71115,CADDO,516 EAST FLOURNOY LUCAS ROAD ,SHREVEPORT,LA,71115,9/21/04,12/31/21,Lorrie  Nunley,lnunley@ssmgrp.com,(318) 797-2408,(318) 797-8540,7,2203784565
Adult Residential Care,Azalea Estates of Slidell -Level 3,354 Robert Boulevard ,SLIDELL,LA,70458,ST. TAMMANY,354 ROBERT BOULEVARD ,SLIDELL,LA,70458,9/21/04,12/31/21,Patricia  Guidry,pguidry@ssmgrp.com,(985) 641-2827,,9,2203784559
Adult Residential Care,Bailey Place - Level 3,650 Pershing Avenue ,BUNKIE,LA,71322,AVOYELLES,330 N WABASH AVE STE 3700,CHICAGO,IL,60611,7/11/13,6/30/21,Renee  Tate,LegalHelp@enlivant.com,(318) 346-8400,(318) 346-6206,6,2203781717
Adult Residential Care,Beau Maison - Level 2 ,3520 Cleary Avenue,METAIRIE,LA,70002,JEFFERSON,3520 CLEARY AVENUE,METAIRIE,LA,70002,2/6/17,1/31/22,Margaret  Sewell,jasonhemel@gmail.com,(504) 259-0326,(888) 606-2434,1,2203783047
Adult Residential Care,Beau Provence Memory Care Assisted Living - Level 2 ,100 Beau West Drive,MANDEVILLE,LA,70471,ST. TAMMANY,100 BEAU WEST DRIVE,MANDEVILLE,LA,70471,8/15/14,3/31/22,Jason  Hemel,jasonhemel@gmail.com,(985) 778-0755,(888) 606-2434,9,2203784921
Adult Residential Care,BeeHive Homes of Youngsville - Level 2,500 Copper Meadows Blvd,YOUNGSVILLE,LA,70592,LAFAYETTE,P.O. BOX 173,YOUNGSVILLE,LA,70592,4/5/18,3/31/22,William D Corbett,davis@beehivehomes.com,(337) 451-8070,(337) 451-8080,4,2203783862
Adult Residential Care,Bloom at Bossier - Level 3 ,4828 Medical Drive,BOSSIER CITY,LA,71112,BOSSIER,4828 MEDICAL DRIVE,BOSSIER CITY,LA,71112,10/6/15,9/30/21,Laurie  Manno,admin@bloomatbossier.com,(318) 746-0470,(318) 746-5825,7,2203782473
Adult Residential Care,Brookdale Alexandria-Level 3,351 Windermere Boulevard ,ALEXANDRIA,LA,71303,RAPIDES,351 WINDERMERE BOULEVARD,ALEXANDRIA,LA,71303,11/14/03,11/30/21,Michaela D Martin,splunkettwuerger@brookdale.com,(318) 443-6770,(318) 443-2366,6,10656
Adult Residential Care,Brookdale Bossier City -Level 3,2540 Beene Boulevard ,BOSSIER CITY,LA,71111,BOSSIER,2540 BEENE BOULEVARD,BOSSIER CITY,LA,71111,4/30/07,9/30/21,Melinda  Hennigan,mhennigan@brookdale.com,(318) 747-2114,(318) 747-2164,7,2203781799
Adult Residential Care,Brookdale Lafayette-Level 3 ,215 W. Farrel Road ,LAFAYETTE,LA,70508,LAFAYETTE,215 W. FARREL ROAD,LAFAYETTE,LA,70508,11/30/03,11/30/21,Megan  Meece,splunkettwuerger@brookdale.com,(337) 993-0077,(337) 993-0071,4,10662
Adult Residential Care,Brookdale Lake Charles - Level 3 ,2420 Country Club Road ,LAKE CHARLES,LA,70605,CALCASIEU,2420 COUNTRY CLUB ROAD,LAKE CHARLES,LA,70605,11/30/03,11/30/21,Jeremy  Fontenot,Jeremy.Fontenot@brookdale.com,(337) 478-4030,(337) 478-7854,5,10658
Adult Residential Care,Brookdale Mandeville - Level 2 ,1414 North Causeway Boulevard ,MANDEVILLE,LA,70471,ST. TAMMANY,1414 N. CAUSEWAY BLVD.,MANDEVILLE,LA,70471,3/31/11,3/31/22,JOAN  COLLINS,splunkettwuerger@brookdale.com,(985) 727-4011,(985) 727-4022,9,10380
Adult Residential Care,Brookdale Shreveport - Level 3 ,7110 University Drive ,SHREVEPORT,LA,71105,CADDO,7110 UNIVERSITY DRIVE,SHREVEPORT,LA,71105,11/30/03,11/30/21,Marlene  Phares,maliphares@brookdale.com,(318) 524-2100,(318) 524-2300,7,10659
Adult Residential Care,Camelot of Broussard - Level 3,418 Albertsons Pkwy ,BROUSSARD,LA,70518,LAFAYETTE,418 ALBERTSON PARKWAY ,BROUSSARD,LA,70518,9/25/06,9/30/21,SETH  GUIILBEAUX,sguilbeaux@cci.la,(337) 839-9005,(337) 837-9398,4,13262
Adult Residential Care,Canterbury House - Level 3,1101 Sixteenth Street,ALEXANDRIA,LA,71301,RAPIDES,1101 SIXTEENTH STREET,ALEXANDRIA,LA,71301,9/17/12,9/30/21,ANA  CUPPLES,admn.canterburyhouse@gmail.com,(318) 445-7715,(318) 445-7756,6,2203781146
Adult Residential Care,Carriage House At The Verandah - Level 3 ,5847 Gray Market Drive,LAKE CHARLES,LA,70605,CALCASIEU,"1080 SW MT BACHELOR DRIVE, SUITE 200",BEND,OR,97702,5/23/13,2/28/22,Leslie  Von Der Ahe,propertymgmt@sunshineret.com,(337) 478-0859,(337) 478-8842,5,2203781985
Adult Residential Care,Cedar Crest Memory Care-Level 3 ,161 South Beadle Road,LAFAYETTE,LA,70508,LAFAYETTE,161 SOUTH BEADLE ROAD,LAFAYETTE,LA,70508,5/14/15,1/31/22,Kip  Hayes,khayes@omegasrliving.com,(337) 261-8811,(337) 524-1366,4,2203784275
Adult Residential Care,Chateau de Notre Dame Assisted Living-Level 3 ,2820 Burdette Street ,NEW ORLEANS,LA,70125,ORLEANS,"1000 HOWARD AVE, 10TH FLOOR",NEW ORLEANS,LA,70113,12/2/08,3/31/22,ANDREW  CEDOR,acedor@arch-no.org,(504) 866-2741,(504) 866-2861,1,14259
Adult Residential Care,Christwood Retirement Community - Level 3,100 Christwood Blvd.,COVINGTON,LA,70433,ST. TAMMANY,100 CHRISTWOOD BLVD.,COVINGTON,LA,70433,1/3/17,12/31/21,Jamie  Ball,athompson@christwoodrc.com,(985) 898-0515,(985) 302-3286,9,2203783013
Adult Residential Care,Christwood-Level 4 ,100 Christwood Boulevard ,COVINGTON,LA,70433,ST. TAMMANY,100 CHRISTWOOD BOULEVARD ,COVINGTON,LA,70433,3/18/13,2/28/22,Jamie  Ball,jball@christwoodrc.com,(985) 292-1224,(985) 893-4593,9,2203781597
Adult Residential Care,"Courtyard Retirement & Assisted Living, Inc.-Level 3",308 Sidney Martin Road ,LAFAYETTE,LA,70507,LAFAYETTE,308 SIDNEY MARTIN ROAD ,LAFAYETTE,LA,70507,5/31/08,5/31/22,Nicholas  Sarver,nick@courtyard306and308.com,(337) 237-3040,(337) 269-1255,4,13143
Adult Residential Care,Creole Cottage Residential Care Home - Level 1,29506 Sticker Bay Road,LACOMBE,LA,70445,ST. TAMMANY,99 GOLFERS DRIVE,COVINGTON,LA,70433,9/9/19,8/31/21,Michael  Scales,creolecottage@gmail.com,(504) 931-3206,,9,2203784389
Adult Residential Care,Eastridge Senior Living Suites-Level 3 ,2309 Richard Street ,ABBEVILLE,LA,70510,VERMILION,2309 RICHARD STREET ,ABBEVILLE,LA,70510,5/30/08,12/31/21,Angela R Leblanc,aleblanc@elderoutreach.com,(337) 898-1944,(337) 892-1298,4,2203782576
Adult Residential Care,Fidelis Care I-Level 1 ,916 Martin Behrman Walk ,METAIRIE,LA,70005,JEFFERSON,4636 SANFORD ST. ,METAIRIE,LA,70006,12/15/04,12/31/21,Veronica  Stiner,judy@fideliscaregroup.com,(504) 606-3143,(504) 617-7505,1,11625
Adult Residential Care,Fidelis Care II - Level1,4000 Kent Avenue ,METAIRIE,LA,70006,JEFFERSON,4636 SANFORD ST. ,METAIRIE,LA,70006,7/23/08,6/30/22,Octavia  Edison,judy@fideliscaregroup.com,(504) 218-7951,(504) 218-7952,1,12160
Adult Residential Care,Fidelis Care III-Level 1 ,1732 Sherwood Forest Blvd. ,BATON ROUGE,LA,70815,EAST BATON ROUGE,4636 SANFORD STREET ,METAIRIE,LA,70006,11/30/07,11/30/21,Demetria  Hudson,rachelle@fideliscaregroup.com,(225) 636-5524,(225) 636-5475,2,13723
Adult Residential Care,Fidelis Care IV-Level 1 ,4801 Tartan Street ,METAIRIE,LA,70003,JEFFERSON,4636 SANFORD STREET ,METAIRIE,LA,70006,3/29/07,3/31/22,Jordana  Augustus,judy@fideliscaregroup.com,(504) 304-7862,(504) 371-5672,1,13442
Adult Residential Care,"Fidelis Care V, LLC- Level 1 ",6543 E. Anchord Road ,BATON ROUGE,LA,70817,EAST BATON ROUGE,4636 SANFORD STREET ,METAIRIE,LA,70006,9/1/09,11/30/21,Sagittarius  Terrell,rachelle@fideliscaregroup.com,(225) 771-8569,(225) 752-8560,2,14669
Adult Residential Care,Fidelis Janice House LLC - Level 2,4421 Janice Street,METAIRIE,LA,70003,JEFFERSON,4636 SANFORD STREET,METAIRIE,LA,70006,8/4/14,7/31/21,Michelle  Frank,judy@fideliscaregroup.com,(504) 309-5525,(504) 309-5565,1,2203782065
Adult Residential Care,"Fidelis King Richard, LLC - Level 2",11710 King Richard Drive,BATON ROUGE,LA,70815,EAST BATON ROUGE,4636 SANFORD STREET,METAIRIE,LA,70006,12/12/19,11/30/21,Michele  Robert-Duffy,rachelle@fideliscaregroup.com,(225) 251-3595,(225) 251-3768,2,2203784505
Adult Residential Care,Fidelis Northshore I-Level 2 ,5011 Sharp Road,MANDEVILLE,LA,70471,ST. TAMMANY,4636 SANFORD STREET,METAIRIE,LA,70006,10/10/12,10/31/21,Sheila  Cole,rachelle@fideliscaregroup.com,(985) 778-2190,(985) 778-2191,9,2203781167
Adult Residential Care,Fidelis Northshore II - Level 2,2045 Olene Drive,MANDEVILLE,LA,70448,ST. TAMMANY,4636 SANFORD STREET,METAIRIE,LA,70006,6/1/17,5/31/22,Jennifer  Baillargeon,rachelle@fideliscaregroup.com,(985) 951-2147,(985) 951-2148,9,2203783330
Adult Residential Care,Fidelis Scofield House LLC - Level 2,3721 Scofield Street,METAIRIE,LA,70002,JEFFERSON,4636 SANFORD STREET,METAIRIE,LA,70002,6/24/16,5/31/21,Gwen  Robertson,judy@fideliscaregroup.com,(504) 304-2672,(504) 875-2066,1,2203782813
Adult Residential Care,Fidelis White Road - Level 2 ,10359 White Road ,DENHAM SPRINGS,LA,70726,LIVINGSTON,4636 SANFORD STREET ,METAIRIE,LA,70006,11/10/09,11/30/21,LaShae  James,rachelle@fideliscaregroup.com,(225) 271-4663,(225) 271-8073,9,2203781366
Adult Residential Care,Francois Bend - Level 3,326 East Industry Street,GONZALES,LA,70737,ASCENSION,330 CARONDELET STREET,NEW ORLEANS,LA,70130,9/24/18,8/31/21,Nichole S Chauvin,nichole@francoisbend.com,(225) 647-2363,(888) 999-9999,2,2203784064
Adult Residential Care,Garden View Assisted Living-Level 3 ,1000 Darby Lane,NEW IBERIA,LA,70560,IBERIA,1000 DARBY LANE,NEW IBERIA,LA,70560,4/11/03,4/30/22,PATRINA  ROGERS,niltong@gardenview.org,(337) 364-2266,(337) 364-6919,4,8878
Adult Residential Care,Garden View Assisted Living-Level 3,601 Verot School Road ,LAFAYETTE,LA,70508,LAFAYETTE,601 VEROT SCHOOL RD. ,LAFAYETTE,LA,70508,5/28/04,5/31/22,KIMBERLY  BURNETT,kimberlyb@gardenview.org,(337) 237-5542,(337) 237-5543,4,9625
