State Facility Type 1 Literal,Facility Name,Address,City,State,Zip Code,County,Email Address,Phone Number,License Number
Adult Residential Care,Creole Cottage Residential Care Home - Level 1,29506 Sticker Bay Road,LACOMBE,LA,70445,ST. TAMMANY,creolecottage@gmail.com,(504) 931-3206,2203784389
Adult Residential Care,Eastridge Senior Living Suites-Level 3 ,2309 Richard Street ,ABBEVILLE,LA,70510,VERMILION,aleblanc@elderoutreach.com,(337) 898-1944,2203782576
Adult Residential Care,Fidelis Care I-Level 1 ,916 Martin Behrman Walk ,METAIRIE,LA,70005,JEFFERSON,judy@fideliscaregroup.com,(504) 606-3143,11625
Adult Residential Care,Fidelis Care II - Level1,4000 Kent Avenue ,METAIRIE,LA,70006,JEFFERSON,judy@fideliscaregroup.com,(504) 218-7951,12160
Adult Residential Care,Fidelis Care III-Level 1 ,1732 Sherwood Forest Blvd. ,BATON ROUGE,LA,70815,EAST BATON ROUGE,rachelle@fideliscaregroup.com,(225) 636-5524,13723
Adult Residential Care,Fidelis Care IV-Level 1 ,4801 Tartan Street ,METAIRIE,LA,70003,JEFFERSON,judy@fideliscaregroup.com,(504) 304-7862,13442
Adult Residential Care,"Fidelis Care V, LLC- Level 1 ",6543 E. Anchord Road ,BATON ROUGE,LA,70817,EAST BATON ROUGE,rachelle@fideliscaregroup.com,(225) 771-8569,14669
Adult Residential Care,Fidelis Janice House LLC - Level 2,4421 Janice Street,METAIRIE,LA,70003,JEFFERSON,judy@fideliscaregroup.com,(504) 309-5525,2203782065
Adult Residential Care,"Fidelis King Richard, LLC - Level 2",11710 King Richard Drive,BATON ROUGE,LA,70815,EAST BATON ROUGE,rachelle@fideliscaregroup.com,(225) 251-3595,2203784505
Adult Residential Care,Fidelis Northshore I-Level 2 ,5011 Sharp Road,MANDEVILLE,LA,70471,ST. TAMMANY,rachelle@fideliscaregroup.com,(985) 778-2190,2203781167
Adult Residential Care,Fidelis Northshore II - Level 2,2045 Olene Drive,MANDEVILLE,LA,70448,ST. TAMMANY,rachelle@fideliscaregroup.com,(985) 951-2147,2203783330
Adult Residential Care,Fidelis Scofield House LLC - Level 2,3721 Scofield Street,METAIRIE,LA,70002,JEFFERSON,judy@fideliscaregroup.com,(504) 304-2672,2203782813
Adult Residential Care,Fidelis White Road - Level 2 ,10359 White Road ,DENHAM SPRINGS,LA,70726,LIVINGSTON,rachelle@fideliscaregroup.com,(225) 271-4663,2203781366
Adult Residential Care,Francois Bend - Level 3,326 East Industry Street,GONZALES,LA,70737,ASCENSION,nichole@francoisbend.com,(225) 647-2363,2203784064
Adult Residential Care,Garden View Assisted Living-Level 3 ,1000 Darby Lane,NEW IBERIA,LA,70560,IBERIA,niltong@gardenview.org,(337) 364-2266,8878
Adult Residential Care,Garden View Assisted Living-Level 3,601 Verot School Road ,LAFAYETTE,LA,70508,LAFAYETTE,kimberlyb@gardenview.org,(337) 237-5542,9625
Adult Residential Care,Garden View of Baton Rouge-Level 2 ,3130 Jones Creek Road,BATON ROUGE,LA,70816,EAST BATON ROUGE,nicolea@gardenview.org,(225) 706-0037,2203782569
Adult Residential Care,Harvard House-Level 1,4012 Harvard Ave.,METAIRIE,LA,70006,JEFFERSON,stahlsp@bellsouth.net,(504) 884-1063,2203782826
Adult Residential Care,Haven at Windermere 1 & 2 (The)Level 3 ,8225 YMCA Plaza Drive ,BATON ROUGE,LA,70810,EAST BATON ROUGE,elkinst@gmail.com,(225) 769-9996,6715
Adult Residential Care,Henican House-Level 1 ,5511 Meadowdale Street,METAIRIE,LA,70003,JEFFERSON,jasonhemel@gmail.com,(504) 259-0326,2203781272
Adult Residential Care,Holly Court Assisted Living and Memory Care - Level 3 ,8585 Summa Avenue ,BATON ROUGE,LA,70808,EAST BATON ROUGE,rbridges@arkpostacute.com,(225) 767-7877,2203784811
Adult Residential Care,"HomeLife In The Gardens, LLC.-Level 3 ",1101 Aline Street ,NEW ORLEANS,LA,70115,ORLEANS,executivedirector@homelifegardens.com,(504) 894-6100,2203781553
Adult Residential Care,Homestead Assisted Living -Level 3,1132 Cottage Drive ,HOUMA,LA,70360,TERREBONNE,thehomesteadassistedliving@gmail.com,(985) 223-4663,9918
Adult Residential Care,Honeysuckle House-Level 1 ,824 Honeysuckle Street,GRETNA,LA,70056,JEFFERSON,jasonhemel@gmail.com,(504) 259-0326,2203781140
Adult Residential Care,House of Destiny - Level 1,2351 & 2353 Jefferson Avenue,BATON ROUGE,LA,70802,EAST BATON ROUGE,metamorphosisgh@yahoo.com,(225) 383-1422,2203783709
Adult Residential Care,"House of Grace, L.L.C. - Level 1",32956 Hwy 16,DENHAM SPRINGS,LA,70706,LIVINGSTON,mdehlin@cox.net,(225) 271-4445,2203781097
Adult Residential Care,Inspired Living at Kenner - Level 3,3801 Loyola Drive,KENNER,LA,70065,JEFFERSON,regulatory@validusseniorliving.com,(504) 313-6600,2203783238
Adult Residential Care,La Plantation Retirement Community -Level 3,26635 LA Highway 16 ,DENHAM SPRINGS,LA,70726,LIVINGSTON,msharp@plantationmgt.com,(225) 667-1484,6024
Adult Residential Care,Lacour House-Level 3 ,345 Major Parkway,NEW ROADS,LA,70760,POINTE COUPEE,alacombe@lacourhouse.com,(225) 638-7050,2203782343
Adult Residential Care,Lafreniere Assisted Living and Memory Care-Level 3 ,6555 Park Manor Drive ,METAIRIE,LA,70003,JEFFERSON,EDATRIUM@ATRIUMAL.COM,(504) 454-6635,2203784814
Adult Residential Care,Lake Villa House-Level 1 ,4212 Lake Villa Drive ,METAIRIE,LA,70002,JEFFERSON,STAHLSP@BELLSOUTH.NET,(504) 884-1063,14696
Adult Residential Care,"Laketown Village, Residential Care & Memory Care - Level 3 ",1600 Joe Yenni Boulevard ,KENNER,LA,70065,JEFFERSON,tcopeland@pegasusseniorliving.com,(504) 467-1000,2203784133
Adult Residential Care,Lakeview House-Level 1,858 Mouton Street ,NEW ORLEANS,LA,70124,ORLEANS,jasonhemel@gmail.com,(504) 259-0326,2122
Adult Residential Care,Lambeth House Assisted Living -Level 3,150 Broadway Street ,NEW ORLEANS,LA,70118,ORLEANS,ddominguez@lambethhouse.com,(504) 865-1960,10565
Adult Residential Care,"Magnolia Assisted Living, LLC - Level 3",1604 S. Burnside Avenue ,GONZALES,LA,70737,ASCENSION,tduhon@magnoliaseniorliving.com,(225) 647-8400,14875
Adult Residential Care,Magnolia Brook on Siegen Lane - Level 3,9394 Siegen Lane,BATON ROUGE,LA,70810,EAST BATON ROUGE,executivedirector@magnoliabrookassistedliving.com,(225) 778-7111,2203784329
Adult Residential Care,Magnolia Care Center Veterans Home - Level 1,16950 Florida Blvd. ,BATON ROUGE,LA,70819,EAST BATON ROUGE,Magnoliacarecenter@gmail.com,(225) 273-7274,14334
Adult Residential Care,Maison Bienvenue Senior Living Center,152 Percy Brown Rd.,THIBODAUX,LA,70301,LAFOURCHE,MaisonBienvenue.Adm@Nexion-Health.com,(985) 279-0101,2203784803
Adult Residential Care,Maison De Fleur Assisted Living - Level 3,559 Rushing Rd West,DENHAM SPRINGS,LA,70726,LIVINGSTON,sally.king@mdf-sl.com,(225) 238-1919,2203783054
Adult Residential Care,Maison Des Amis - Level 2,1050 Convention Street,BATON ROUGE,LA,70802,EAST BATON ROUGE,maisondesami@gmail.com,(225) 343-3827,2203784114
Adult Residential Care,Maison Jardin Senior Living Community -Level 3,516 Roderick Street ,MORGAN CITY,LA,70380,ST. MARY,MAISONJARDIN.ADM@NEXION-HEALTH.COM,(985) 385-3003,2203782492
Adult Residential Care,Maison Oaks Assisted Living-Level 3 ,504 West Fifth Street ,LAPLACE,LA,70068,ST. JOHN THE BAPTIST,kconnor@twinoaksnh.com,(985) 653-8858,6368
Adult Residential Care,Marigold Place - Level 3,5723 Jackson Street ,ALEXANDRIA,LA,71303,RAPIDES,LegalHelp@enlivant.com,(318) 449-8999,2203781715
Adult Residential Care,Montclair Park Assisted Living- Level 3,9100 East Kings Highway ,SHREVEPORT,LA,71115,CADDO,jordan@montclair-park.com,(318) 797-1114,7232
Adult Residential Care,Natchitoches Assisted Living-Level 3 ,1907 South Drive ,NATCHITOCHES,LA,71457,NATCHITOCHES,angie.ingram@nrmchospital.org,(318) 356-0016,13696
Adult Residential Care,Oak House Assisted Living - Level 3,5354 Magazine St. ,NEW ORLEANS,LA,70115,ORLEANS,obelonga@poydrashome.com,(504) 897-0535,2203781741
Adult Residential Care,Oak Park Village At Hammond -Level 3,17010 Old Covington Highway ,HAMMOND,LA,70403,TANGIPAHOA,hroberson@prioritylc.com,(985) 345-8787,2203782188
Adult Residential Care,Oak Park Village of Slidell -Level 3,2200 Gause Boulevard ,SLIDELL,LA,70461,ST. TAMMANY,hroberson@prioritylc.com,(985) 781-4545,2203782189
Adult Residential Care,"Oakmont Estate, LLC -Level 3",204 Cocoville Road ,MANSURA,LA,71350,AVOYELLES,jesslynnloughman@gmail.com,(318) 240-7424,7916
Adult Residential Care,Oakwood Village -Level 3,4400 McHugh Road ,ZACHARY,LA,70791,EAST BATON ROUGE,acioffi@traditionsmanagement.net,(225) 658-8888,2203782956
Adult Residential Care,Old Metairie Gardens I - Level 1,344 Lake Ave,METAIRIE,LA,70005,JEFFERSON,kellymariedonlan@gmail.com,(504) 259-0326,2203784176
Adult Residential Care,Old Metairie Gardens II - Level 1,348 Lake Ave,METAIRIE,LA,70005,JEFFERSON,kellymariedonlan@gmail.com,(504) 259-0326,2203784177
Adult Residential Care,Our House for Respite Inc. - Level 1,2967 Carmen Drive ,BATON ROUGE,LA,70809,EAST BATON ROUGE,hyoung@ohfrinc.net,(225) 776-0135,2123
Adult Residential Care,Our House for Respite-Level 1,58765 DELACROIX AVE. ,PLAQUEMINE,LA,70764,IBERVILLE,hyoung@ohfrinc.net,(225) 776-0135,14316
Adult Residential Care,Park Provence - Level 3,1925 Possum Hollow Drive,SLIDELL,LA,70458,ST. TAMMANY,susan@parkprovence.com,(985) 781-0072,2203782060
Adult Residential Care,Peristyle Lake Louise-Level 1,4613 Lake Louise Avenue,METAIRIE,LA,70006,JEFFERSON,maggiemsewell@gmail.com,(504) 259-0326,2203782607
Adult Residential Care,Peristyle Metairie Heights LLC-Level 1,2701 Metairie Heights Ave.,METAIRIE,LA,70002,JEFFERSON,jasonhemel@gmail.com,(504) 259-0326,2203781951
Adult Residential Care,Peristyle Richland LLC-Level 1 ,3521 Richland Ave,METAIRIE,LA,70002,JEFFERSON,kellymariedonlan@gmail.com,(504) 259-0326,2203782270
Adult Residential Care,Pines Retirement Center of Baton Rouge-Level 3 ,14686 Old Hammond Highway ,BATON ROUGE,LA,70816,EAST BATON ROUGE,ED@pinesbatonrouge.com,(225) 272-9339,2203784818
Adult Residential Care,Regency House of Alexandria-Level 3 ,5131 Masonic Drive,ALEXANDRIA,LA,71301,RAPIDES,psmall@steedcare.com,(318) 445-8343,2203782656
Adult Residential Care,Restoration Senior Living of Covington - Level 3,1444 Andrew Dr.,COVINGTON,LA,70433,ST. TAMMANY,Lauren@restorationsl.com,(985) 317-6750,2203784357
Adult Residential Care,River Oaks Estate-Level 2 ,9475 Petit Road ,BAKER,LA,70714,EAST BATON ROUGE,johnsonl@optionsfoundation.com,(225) 778-0042,10513
Adult Residential Care,Rosemont Assisted Living Community Of West Monroe-Level 3,110 Regency Place ,WEST MONROE,LA,71291,OUACHITA,khayes@omegasrliving.com,(318) 329-1021,6028
Adult Residential Care,Rosewood Assisted Living -Level 3,203 Rue Fontaine Drive ,LAFAYETTE,LA,70508,LAFAYETTE,khays@omegasrliving.com,(337) 981-0333,2203784276
Adult Residential Care,Russ Place - Level 3,165 Jefferson Avenue ,RUSTON,LA,71270,LINCOLN,LegalHelp@enlivant.com,(318) 251-9068,2203781721
Adult Residential Care,Savannah at the Oaks - Level 3,651 Lake Eleanor Way ,SHREVEPORT,LA,71115,CADDO,rmyers@wkhs.com,(318) 212-2300,2110
Adult Residential Care,Savannah Court of Bastrop-Level 3 ,10280 Boswell Street ,BASTROP,LA,71220,MOREHOUSE,urubin@slm.net,(318) 283-4238,2203782249
Adult Residential Care,Savannah Court of Minden-Level 3 ,619 Germantown Road ,MINDEN,LA,71055,WEBSTER,urubin@slm.net,(318) 382-0402,2203782252
Adult Residential Care,Savannah Grand of Bossier City- Level 3 ,4770 Brandon Blvd,BOSSIER CITY,LA,71111,BOSSIER,urubin@slm.net,(318) 549-1001,2203782248
Adult Residential Care,Savannah Grand of West Monroe-Level 3 ,3702 Cypress Street ,WEST MONROE,LA,71291,OUACHITA,urubin@slm.net,(318) 397-2220,2203782253
Adult Residential Care,Schouest House - Level 1,7004 Schouest St. ,METAIRIE,LA,70003,JEFFERSON,stahlsp@bellsouth.net,(504) 884-1063,13945
Adult Residential Care,Serenity Senior Residence 2-Level 2 ,817 Aurora Avenue ,METAIRIE,LA,70005,JEFFERSON,serenityres2@cox.net,(504) 481-4357,2114
Adult Residential Care,Serenity Senior Residences - Level 3,3949 Meadowdale St. ,METAIRIE,LA,70002,JEFFERSON,serenityres2@cox.net,(504) 495-5522,13980
Adult Residential Care,Shekinah Glory - Level 2,3613 Government Street ,BATON ROUGE,LA,70806,EAST BATON ROUGE,shekinah3613@gmail.com,(225) 250-5260,14542
Adult Residential Care,Southern Pines Retirement Community/ The McLynn - Level 3,13603 Minton Lane ,WALKER,LA,70785,LIVINGSTON,msharp@plantationmgt.com,(225) 664-9423,5254
Adult Residential Care,Southside Gardens Assisted Living Center-Level 3 ,4536 Perkins Road ,BATON ROUGE,LA,70808,EAST BATON ROUGE,sp.southsidegardens03@gmail.com,(225) 928-1600,5683
Adult Residential Care,Southwind Senior Living Suites-Level 3,626 Crowley/Rayne Highway ,CROWLEY,LA,70526,ACADIA,jsignorelli@elderoutreach.com,(337) 788-1113,14047
Adult Residential Care,St Anthony''''s Garden - Level 3,601 Holy Trinity Drive,COVINGTON,LA,70433,ST. TAMMANY,iblundell@stag-ano.org,(985) 605-5950,2203782960
Adult Residential Care,St Francis Villa Assisted Living-Level 3 ,10411 Jefferson Highway ,RIVER RIDGE,LA,70123,JEFFERSON,jrive@stfrancisvilla.com,(504) 738-1060,5391
Adult Residential Care,St. James Place of Baton Rouge - Level 3,333 Lee Drive ,BATON ROUGE,LA,70808,EAST BATON ROUGE,anelson@stjamesplace.org,(225) 215-4500,4647
Adult Residential Care,St. Joseph Assisted Living Center,2299 Sterlington Road ,MONROE,LA,71203,OUACHITA,SBryant@CantexCC.com,(318) 325-9459,2203784608
Adult Residential Care,St. Joseph Manor - Level 3,1201 Cardinal Drive ,THIBODAUX,LA,70301,LAFOURCHE,benb@stjosephmanor.org,(985) 446-9050,2224
Adult Residential Care,St. Michael''''s Assisted Living II - Level 1,318 Transcontinental Drive,METAIRIE,LA,70001,JEFFERSON,jwright@assistedlivingsm.com,(504) 644-4324,2203783563
