Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Phone Number,Date Accessed
Westgate Assisted Living,ASSISTED-LIVING FACILITY,3030 SOUTH 80TH STREET,Omaha,NE,68124,Douglas,(402) 391-8566,6/29/21
Golden Manor Assisted Living,ASSISTED-LIVING FACILITY,3853 DECATUR STREET,Omaha,NE,68111,Douglas,(402) 551-2484,6/29/21
New Cassel Retirement Center,ASSISTED-LIVING FACILITY,900 NORTH 90TH STREET,Omaha,NE,68114,Douglas,(402) 393-2277,6/29/21
Princess Anne,ASSISTED-LIVING FACILITY,2020-2024 BINNEY STREET,Omaha,NE,68110,Douglas,(402) 681-5018,6/29/21
Remington Heights,ASSISTED-LIVING FACILITY,12606 WEST DODGE ROAD,Omaha,NE,68154,Douglas,(402) 493-5807,6/29/21
Royale Oaks/House Of Hope Alzheimers Care,ASSISTED-LIVING FACILITY,4801 NORTH 52ND STREET,Omaha,NE,68104,Douglas,(402) 557-6861,6/29/21
Keystone Villas Senior  Living,ASSISTED-LIVING FACILITY,7350 GRACELAND DRIVE,Omaha,NE,68134,Douglas,(402) 572-5750,6/29/21
Omaha Supportive Living,ASSISTED-LIVING FACILITY,514-524 SOUTH 38TH AVENUE,Omaha,NE,68105,Douglas,(402) 346-6585,6/29/21
Brighton Gardens Of Omaha,ASSISTED-LIVING FACILITY,9220 WESTERN AVENUE,Omaha,NE,68114,Douglas,(402) 393-7313,6/29/21
Legato Living,ASSISTED-LIVING FACILITY,4503 EASTRIDGE DRIVE,Omaha,NE,68134,Douglas,(402) 445-4474,6/29/21
Southview Heights,ASSISTED-LIVING FACILITY,"5110 SOUTH 49TH STREET, STE 105",Omaha,NE,68117,Douglas,(402) 731-2118,6/29/21
Parsons House On Eagle Run,ASSISTED-LIVING FACILITY,14325 EAGLE RUN DRIVE,Omaha,NE,68164,Douglas,(402) 498-9554,6/29/21
St. Joseph Tower Assisted Living,ASSISTED-LIVING FACILITY,2205 SOUTH 10TH STREET,Omaha,NE,68108,Douglas,(402) 952-5000,6/29/21
Omaha I Bickford Cottage,ASSISTED-LIVING FACILITY,11308 BLONDO,Omaha,NE,68124,Douglas,(402) 491-0400,6/29/21
The Waterford At Miracle Hills,ASSISTED-LIVING FACILITY,11909 MIRACLE HILLS DRIVE,Omaha,NE,68154,Douglas,(402) 431-0011,6/29/21
An Angel'S Touch,ASSISTED-LIVING FACILITY,11405 FARNAM CIRCLE,Omaha,NE,68154,Douglas,(402) 697-0033,6/29/21
The Waterford At Roxbury Park,ASSISTED-LIVING FACILITY,5728 SOUTH 108TH STREET,Omaha,NE,68137,Douglas,(402) 537-0544,6/29/21
Omaha Ii Bickford Cottage Llc,ASSISTED-LIVING FACILITY,7337 HICKORY,Omaha,NE,68124,Douglas,(402) 391-3000,6/29/21
Beaver City Manor,ASSISTED-LIVING FACILITY,905 FLOYD STREET,Beaver City,NE,68926,Furnas,(308) 268-5111,6/29/21
Gold Crest Retirement Center,ASSISTED-LIVING FACILITY,200 LEVI LANE,Adams,NE,68301,Gage,(402) 988-7115,6/29/21
Homestead House,ASSISTED-LIVING FACILITY,2300 LINCOLN STREET,Beatrice,NE,68310,Gage,(402) 223-3287,6/29/21
"Riverside Lodge, Inc",ASSISTED-LIVING FACILITY,404 WOODLAND DRIVE,Grand Island,NE,68801,Hall,(308) 382-1657,6/29/21
Lebensraum Assisted Living,ASSISTED-LIVING FACILITY,118 SOUTH INGALLS STREET,Grand Island,NE,68803,Hall,(308) 382-9066,6/29/21
Homestead Of Kearney,ASSISTED-LIVING FACILITY,4205 6TH AVENUE,Kearney,NE,68847,Buffalo,(308) 234-5600,6/29/21
"Grand Island Bickford Cottage Opco, L.L.C.",ASSISTED-LIVING FACILITY,3285 WOODRIDGE BLVD,Grand Island,NE,68801,Hall,(308) 384-3800,6/29/21
"Edgewood Grand Island Senior Living, Llc",ASSISTED-LIVING FACILITY,214 NORTH PIPER,Grand Island,NE,68803,Hall,(308) 384-0717,6/29/21
Prairie Winds,ASSISTED-LIVING FACILITY,603 WEST 6TH STREET,Doniphan,NE,68832,Hall,(402) 845-4500,6/29/21
El Dorado Manor Residential Care,ASSISTED-LIVING FACILITY,"PO BOX 97, JCT HWY 25 & 34",Trenton,NE,69044,Hitchcock,(308) 334-5241,6/29/21
"Bethany Home, Inc",ASSISTED-LIVING FACILITY,515 WEST 1ST,Minden,NE,68959,Kearney,(308) 832-1594,6/29/21
Wel-Life At Ogallala,ASSISTED-LIVING FACILITY,1610 NORTH SPRUCE,Ogallala,NE,69153,Keith,(308) 284-2620,6/29/21
Kimball County Manor Assisted Living,ASSISTED-LIVING FACILITY,810 EAST 7TH STREET,Kimball,NE,69145,Kimball,(308) 235-4693,6/29/21
Aster Hill,ASSISTED-LIVING FACILITY,2328 A STREET,Lincoln,NE,68502,Lancaster,(402) 483-4086,6/29/21
Eastmont Towers,ASSISTED-LIVING FACILITY,6315 O STREET,Lincoln,NE,68510,Lancaster,(402) 489-6591,6/29/21
Gateway Vista,ASSISTED-LIVING FACILITY,225 NORTH 56TH STREET,Lincoln,NE,68504,Lancaster,(402) 464-6371,6/29/21
Gramercy Hill,ASSISTED-LIVING FACILITY,6800 A STREET,Lincoln,NE,68510,Lancaster,(402) 483-1010,6/29/21
O.U.R. Homes,ASSISTED-LIVING FACILITY,2445 R STREET,Lincoln,NE,68503,Lancaster,(402) 474-4922,6/29/21
Orchard Park,ASSISTED-LIVING FACILITY,3110 SOUTH 48TH STREET,Lincoln,NE,68506,Lancaster,(402) 488-8191,6/29/21
The Legacy,ASSISTED-LIVING FACILITY,5600 PIONEERS BLVD,Lincoln,NE,68506,Lancaster,(402) 436-3000,6/29/21
O.U.R. Supported Living,ASSISTED-LIVING FACILITY,2144 WASHINGTON STREET,Lincoln,NE,68502,Lancaster,(402) 477-4525,6/29/21
The Victorian,ASSISTED-LIVING FACILITY,2501 Q STREET,Lincoln,NE,68503,Lancaster,(402) 474-4955,6/29/21
Lincoln Bickford Cottage L.L.C.,ASSISTED-LIVING FACILITY,4451 OLD CHENEY,Lincoln,NE,68516,Lancaster,(402) 420-6058,6/29/21
"The Waterford Care Facility College View, Inc",ASSISTED-LIVING FACILITY,4800 SOUTH 48TH STREET,Lincoln,NE,68516,Lancaster,(402) 434-2680,6/29/21
Legacy Terrace,ASSISTED-LIVING FACILITY,5700 FREMONT STREET,Lincoln,NE,68507,Lancaster,(402) 464-5700,6/29/21
The Windcrest On Van Dorn,ASSISTED-LIVING FACILITY,7208 VAN DORN STREET,Lincoln,NE,68506,Lancaster,(402) 486-0011,6/29/21
Azria Health Centennial Park,ASSISTED-LIVING FACILITY,510 CENTENNIAL CIRCLE,North Platte,NE,69101,Lincoln,(308) 534-7000,6/29/21
Linden Estates,ASSISTED-LIVING FACILITY,3700 WEST PHILIP AVE,North Platte,NE,69101,Lincoln,(308) 534-8808,6/29/21
"North Platte Pe, Llc",ASSISTED-LIVING FACILITY,2895 WEST E STREET,North Platte,NE,69101,Lincoln,(308) 534-1900,6/29/21
Community Pride Care Center,ASSISTED-LIVING FACILITY,901 SOUTH 4TH STREET,Battle Creek,NE,68715,Madison,(402) 675-2955,6/29/21
Arbor Care Centers-Countryside Llc,ASSISTED-LIVING FACILITY,703 NORTH MAIN STREET,Madison,NE,68748,Madison,(402) 454-3373,6/29/21
Skyview Villa,ASSISTED-LIVING FACILITY,210 HARRIS DRIVE,Norfolk,NE,68701,Madison,(402) 371-5269,6/29/21
"Edgewood Norfolk Senior Living, Llc",ASSISTED-LIVING FACILITY,1109 PASEWALK AVE,Norfolk,NE,68701,Madison,(402) 371-0052,6/29/21
Park Place,ASSISTED-LIVING FACILITY,808 PARK AVENUE,Norfolk,NE,68701,Madison,(402) 370-4208,6/29/21
Homestead Of Norfolk,ASSISTED-LIVING FACILITY,3614 KOENIGSTEIN AVE,Norfolk,NE,68701,Madison,(402) 379-9622,6/29/21
Cc Live,ASSISTED-LIVING FACILITY,1307 16TH STREET,Central City,NE,68826,Merrick,(308) 946-2276,6/29/21
"Central Assisted Living, Inc",ASSISTED-LIVING FACILITY,"PO BOX 336, 915 EAST 16TH STREET",Central City,NE,68826,Merrick,(308) 946-5567,6/29/21
Hoffmeister Homes,ASSISTED-LIVING FACILITY,"P O BOX 519, 324 NORTH PINE STREET",Genoa,NE,68640,Nance,(402) 993-2811,6/29/21
Arbor Care Centers-Fullerton Llc,ASSISTED-LIVING FACILITY,202 N ESTHER ST,Fullerton,NE,68638,Nance,(308) 536-2488,6/29/21
Good Samaritan Society-Longs Creek Village Assisted Living,ASSISTED-LIVING FACILITY,418 Q STREET,Auburn,NE,68305,Nemaha,(402) 274-5511,6/29/21
Prestige Care Center Of Nebraska City,ASSISTED-LIVING FACILITY,1420 NORTH 10TH STREET,Nebraska City,NE,68410,Otoe,(402) 873-3304,6/29/21
"Holdrege Memorial Homes, Inc",ASSISTED-LIVING FACILITY,1320 11TH AVENUE,Holdrege,NE,68949,Phelps,(308) 995-8631,6/29/21
Bertrand Nursing Home,ASSISTED-LIVING FACILITY,100 MINOR AVENUE,Bertrand,NE,68927,Phelps,(308) 472-3341,6/29/21
Chrisoma West Assisted Living,ASSISTED-LIVING FACILITY,1927 W 4TH AVENUE,Holdrege,NE,68949,Phelps,(308) 995-2086,6/29/21
Whispering Pines Assisted Living,ASSISTED-LIVING FACILITY,"PO BOX 219, 101 WEST HARPER AVE",Plainview,NE,68769,Pierce,(402) 582-3849,6/29/21
Cottonwood Place,ASSISTED-LIVING FACILITY,3271 29TH AVENUE,Columbus,NE,68601,Platte,(402) 562-9136,6/29/21
"Edgewood Columbus Senior Living, Llc",ASSISTED-LIVING FACILITY,3386 53RD AVENUE,Columbus,NE,68601,Platte,(402) 564-3785,6/29/21
Emerald Nursing & Rehab Columbus,ASSISTED-LIVING FACILITY,"PO BOX 625, 2855 40TH AVENUE",Columbus,NE,68601,Platte,(402) 564-8014,6/29/21
The Plaza,ASSISTED-LIVING FACILITY,"P O BOX 367, 615 EAST 9TH STREET",Stromsburg,NE,68666,Polk,(402) 764-2711,6/29/21
Kinship Pointe At Mccook,ASSISTED-LIVING FACILITY,1500 EAST 11TH,Mccook,NE,69001,Red Willow,(308) 345-2100,6/29/21
Hidden Pines Assisted Living,ASSISTED-LIVING FACILITY,309 WEST 7TH STREET,Mccook,NE,69001,Red Willow,(308) 345-4600,6/29/21
"Jonesbrook Estates, Llc",ASSISTED-LIVING FACILITY,1010 EAST 21ST STREET,Falls City,NE,68355,Richardson,(402) 245-6033,6/29/21
Colonial Acres Nursing Home/ Assisted Living,ASSISTED-LIVING FACILITY,1043 10TH ST,Humboldt,NE,68376,Richardson,(402) 862-2558,6/29/21
Garden Square Of Crete,ASSISTED-LIVING FACILITY,1405 HICKORY AVENUE,Crete,NE,68333,Saline,(402) 826-2241,6/29/21
Wilber Care Center,ASSISTED-LIVING FACILITY,"RR 1 BOX 5, 611 NORTH MAIN",Wilber,NE,68465,Saline,(402) 821-2331,6/29/21
Mable Rose Estates,ASSISTED-LIVING FACILITY,4609 HILLTOP STREET,Bellevue,NE,68133,Sarpy,(402) 291-9777,6/29/21
Wel-Life At Papillion,ASSISTED-LIVING FACILITY,801 NORTH ADAMS STREET,Papillion,NE,68046,Sarpy,(402) 339-1775,6/29/21
Assisted Living At Trinity Village,ASSISTED-LIVING FACILITY,522 WEST LINCOLN STREET,Papillion,NE,68046,Sarpy,(402) 614-5500,6/29/21
Western Nebraska Veterans Home,ASSISTED-LIVING FACILITY,1102 WEST 42ND STREET,Scottsbluff,NE,69361,Scotts Bluff,(308) 632-0300,6/29/21
Regional West Village,ASSISTED-LIVING FACILITY,320 EAST 42ND STREET,Scottsbluff,NE,69361,Scotts Bluff,(308) 630-2010,6/29/21
Northfield Villa Health Care Center,ASSISTED-LIVING FACILITY,2460 FIVE ROCKS ROAD,Gering,NE,69341,Scotts Bluff,(308) 436-3101,6/29/21
Wel-Life At Scottsbluff,ASSISTED-LIVING FACILITY,617 WEST 33RD STREET,Scottsbluff,NE,69361,Scotts Bluff,(308) 632-1760,6/29/21
Monument Rehabilitation And Care Center,ASSISTED-LIVING FACILITY,111 WEST 36TH STREET,Scottsbluff,NE,69361,Scotts Bluff,(308) 635-2019,6/29/21
Emerald Court,ASSISTED-LIVING FACILITY,315 WEST 33RD STREET,Scottsbluff,NE,69361,Scotts Bluff,(308) 220-4007,6/29/21
Kinship Pointe At Seward,ASSISTED-LIVING FACILITY,500 HEARTLAND PARK DRIVE,Seward,NE,68434,Seward,(402) 643-6500,6/29/21
Greene Place,ASSISTED-LIVING FACILITY,600 CHURCH STREET,Seward,NE,68434,Seward,(402) 643-9111,6/29/21
Memorial Health Care Systems,ASSISTED-LIVING FACILITY,300 NORTH COLUMBIA AVENUE,Seward,NE,68434,Seward,(402) 643-2971,6/29/21
Parkview Lodge,ASSISTED-LIVING FACILITY,"PO BOX 129, 307 CONRAD STREET",Rushville,NE,69360,Sheridan,(308) 327-2248,6/29/21
Westside Regency,ASSISTED-LIVING FACILITY,301 17TH ST,Stanton,NE,68779,Stanton,(402) 439-2111,6/29/21
Courtyard Terrace,ASSISTED-LIVING FACILITY,"P O BOX 166, 1 TERRACE CIRCLE",Hebron,NE,68370,Thayer,(402) 768-3950,6/29/21
Crowell Memorial Home,ASSISTED-LIVING FACILITY,245 SOUTH 22ND STREET,Blair,NE,68008,Washington,(402) 426-2177,6/29/21
Good Shepherd Lutheran Home,ASSISTED-LIVING FACILITY,2242 WRIGHT STREET,Blair,NE,68008,Washington,(402) 426-4663,6/29/21
Autumn Pointe Assisted Living,ASSISTED-LIVING FACILITY,501 NORTH 13TH STREET,Fort Calhoun,NE,68023,Washington,(402) 468-4700,6/29/21
Kinship Pointe At Wayne,ASSISTED-LIVING FACILITY,1500 VINTAGE HILL DRIVE,Wayne,NE,68787,Wayne,(402) 375-1500,6/29/21
"Spring Creek Home, Llc",ASSISTED-LIVING FACILITY,602 MICHIGAN AVENUE,Inavale,NE,68952,Webster,(402) 746-3267,6/29/21
Rosewood Court,ASSISTED-LIVING FACILITY,1621 FRONT STREET,Henderson,NE,68371,York,(402) 723-4512,6/29/21
The Ambassador Nebraska City Assisted Living,ASSISTED-LIVING FACILITY,1800 14TH AVENUE,Nebraska City,NE,68410,Otoe,(402) 873-6650,6/29/21
The Willows Assisted Living Facility,ASSISTED-LIVING FACILITY,806 S STREET,Neligh,NE,68756,Antelope,(402) 887-9059,6/29/21
Seneca Sunrise,ASSISTED-LIVING FACILITY,710 GRAND AVENUE,Ravenna,NE,68869,Buffalo,(308) 452-4444,6/29/21
"Edgewood Omaha Senior Living, Llc",ASSISTED-LIVING FACILITY,17620 POPPLETON AVENUE,Omaha,NE,68130,Douglas,(402) 333-5749,6/29/21
East Park Villa,ASSISTED-LIVING FACILITY,1704 L STREET,Aurora,NE,68818,Hamilton,(402) 694-2300,6/29/21
Greeley Assisted Living,ASSISTED-LIVING FACILITY,201 E O' CONNOR AVENUE,Greeley,NE,68842,Greeley,(308) 428-5145,6/29/21
Kinship Pointe  Northridge,ASSISTED-LIVING FACILITY,5410 17TH AVENUE,Kearney,NE,68845,Buffalo,(308) 698-5410,6/29/21
The Seasons,ASSISTED-LIVING FACILITY,6315  O STREET,Lincoln,NE,68510,Lancaster,(402) 489-6591,6/29/21
Country View Assisted Living,ASSISTED-LIVING FACILITY,811 EAST 14TH STREET,Wayne,NE,68787,Wayne,(402) 375-1922,6/29/21
Granville Villa Assisted Living,ASSISTED-LIVING FACILITY,8507 GRANVILLE PARKWAY,La Vista,NE,68128,Sarpy,(402) 933-6405,6/29/21
Good Samaritan Society - Prairie Winds,ASSISTED-LIVING FACILITY,413 EAST NEELY,Atkinson,NE,68713,Holt,(402) 925-2099,6/29/21
Senior Living Choices At Curtis,ASSISTED-LIVING FACILITY,217 CROOK AVENUE,Curtis,NE,69025,Frontier,(308) 367-4259,6/29/21
Grandview Assisted Living Facility,ASSISTED-LIVING FACILITY,827 NORTH 19TH STREET,Ord,NE,68862,Valley,(308) 728-3967,6/29/21
Good Samaritan Society - Sunset View,ASSISTED-LIVING FACILITY,"205 SOUTH 2ND STREET, P O BOX 148",Bloomfield,NE,68718,Knox,(402) 373-4150,6/29/21
Champion Homes Of Hastings Llc,ASSISTED-LIVING FACILITY,"602 SOUTH WABASH AVE, PO BOX 1197",Hastings,NE,68902,Adams,(402) 303-0158,6/29/21
Marquis Place Of Elkhorn,ASSISTED-LIVING FACILITY,20800 WEST MAPLE ROAD,Elkhorn,NE,68022,Douglas,(402) 289-9229,6/29/21
Parkside Manor,ASSISTED-LIVING FACILITY,"PO BOX 350, 607 NORTH MAIN STREET",Stuart,NE,68780,Holt,(402) 924-3601,6/29/21
The Evergreen,ASSISTED-LIVING FACILITY,1600 NORTH HARRISON,O' Neill,NE,68763,Holt,(402) 336-4100,6/29/21
Park View Haven/The Embers,ASSISTED-LIVING FACILITY,509 WEST CEDAR STREET,Coleridge,NE,68727,Cedar,(402) 283-5020,6/29/21
Silver Ridge Assisted Living,ASSISTED-LIVING FACILITY,20332 HACKBERRY STREET,Gretna,NE,68028,Sarpy,(402) 332-4280,6/29/21
The Lexington Assisted Living Center,ASSISTED-LIVING FACILITY,5550 PIONEERS BOULEVARD,Lincoln,NE,68506,Lancaster,(402) 486-4400,6/29/21
Hillcrest Assisted Living,ASSISTED-LIVING FACILITY,702 CEDAR AVENUE,Laurel,NE,68745,Cedar,(402) 256-3961,6/29/21
The Harvard House,ASSISTED-LIVING FACILITY,400 EAST 7TH STREET,Harvard,NE,68944,Clay,(402) 772-2511,6/29/21
Assisted Living At The Landing,ASSISTED-LIVING FACILITY,3500 FAULKNER DRIVE,Lincoln,NE,68516,Lancaster,(402) 420-9355,6/29/21
Park Ridge Assisted Living,ASSISTED-LIVING FACILITY,904 CENTRAL AVENUE,Grant,NE,69140,Perkins,(308) 352-7246,6/29/21
Heritage Crossings,ASSISTED-LIVING FACILITY,501 NORTH 13TH STREET,Geneva,NE,68361,Fillmore,(402) 759-3194,6/29/21
Hillcrest View Assisted Living,ASSISTED-LIVING FACILITY,205 WEST ADA STREET,Sutton,NE,68979,Clay,(402) 773-5557,6/29/21
Matelyn Retirement Community Llc,ASSISTED-LIVING FACILITY,602 O STREET,St Paul,NE,68873,Howard,(308) 754-6022,6/29/21
Emerald Nursing & Rehab Lakeview,ASSISTED-LIVING FACILITY,1405 WEST HWY 34,Grand Island,NE,68801,Hall,(308) 382-6397,6/29/21
Country View Manor,ASSISTED-LIVING FACILITY,220 BROADWAY,Butte,NE,68722,Boyd,(402) 775-2355,6/29/21
Countryside Villa,ASSISTED-LIVING FACILITY,803 SOUTH VIVIAN,Wausa,NE,68786,Knox,(402) 586-2890,6/29/21
Clarkson Community Care Center,ASSISTED-LIVING FACILITY,212 SUNRISE DRIVE,Clarkson,NE,68629,Colfax,(402) 892-3494,6/29/21
Good Samaritan Society - Hillcrest Terrace,ASSISTED-LIVING FACILITY,902 LINCOLN STREET,Alma,NE,68920,Harlan,(308) 928-9085,6/29/21
Cherry Hills Estates,ASSISTED-LIVING FACILITY,1100 EAST 10TH STREET,Valentine,NE,69201,Cherry,(402) 376-2555,6/29/21
Arbor Care Centers-Franklin  Llc,ASSISTED-LIVING FACILITY,909 FAIRWAY DRIVE,Franklin,NE,68939,Franklin,(308) 425-6262,6/29/21
Elwood Care Center & Assisted Living,ASSISTED-LIVING FACILITY,607 SMITH AVENUE,Elwood,NE,68937,Gosper,(308) 785-3302,6/29/21
Good Samaritan Society - Oakwood,ASSISTED-LIVING FACILITY,"PO BOX 180, 710 EAST 7TH STREET",Valentine,NE,69201,Cherry,(402) 376-1001,6/29/21
Valley View Assisted Living Community,ASSISTED-LIVING FACILITY,915 7TH STREET,Fullerton,NE,68638,Nance,(308) 536-3390,6/29/21
The Independence Houses At Mandarin,ASSISTED-LIVING FACILITY,"PO BOX 85321, 4610 MANDARIN CIRCLE",Lincoln,NE,68501,Lancaster,(402) 475-7755,6/29/21
Arbor Care Centers-Hartington Llc,ASSISTED-LIVING FACILITY,"BOX 107, 401 WEST DARLENE",Hartington,NE,68739,Cedar,(402) 254-3905,6/29/21
Chimney Rock Villa,ASSISTED-LIVING FACILITY,"106 EAST 13TH STREET, P O BOX A",Bayard,NE,69334,Morrill,(308) 586-1142,6/29/21
Good Samaritan Society - Linden View,ASSISTED-LIVING FACILITY,1720 LINDEN STREET,Syracuse,NE,68446,Otoe,(402) 269-2251,6/29/21
Shalimar Gardens Assisted Living,ASSISTED-LIVING FACILITY,749 EAST 29TH STREET,Fremont,NE,68025,Dodge,(402) 721-1616,6/29/21
Good Samaritan Society - Samaritan Suites,ASSISTED-LIVING FACILITY,"PO BOX 448, 601 MAIN STREET",Arapahoe,NE,68922,Furnas,(308) 962-7243,6/29/21
Rose Lane Home,ASSISTED-LIVING FACILITY,"RR 2, BOX 46, 1005 N 8TH STREET",Loup City,NE,68853,Sherman,(308) 745-0303,6/29/21
The Monarch,ASSISTED-LIVING FACILITY,4201 SOUTH 78TH STREET,Lincoln,NE,68506,Lancaster,(402) 489-6591,6/29/21
Good Samaritan Society - Samaritan Springs,ASSISTED-LIVING FACILITY,600 SOUTH 22ND STREET,Beatrice,NE,68310,Gage,(402) 228-3322,6/29/21
Alpine Village Assisted Living Center,ASSISTED-LIVING FACILITY,500 JAMES STREET,Verdigre,NE,68783,Knox,(402) 668-2209,6/29/21
Country Reflections/Fairview Manor,ASSISTED-LIVING FACILITY,255 F STREET,Fairmont,NE,68354,Fillmore,(402) 268-6111,6/29/21
"Elms Health Care Center, Inc",ASSISTED-LIVING FACILITY,"PO BOX 628, 306 ASHWOOD AVE",Ponca,NE,68770,Dixon,(402) 755-2233,6/29/21
Mitchell Care Center,ASSISTED-LIVING FACILITY,1717 23RD STREET,Mitchell,NE,69357,Scotts Bluff,(308) 623-1212,6/29/21
Good Samaritan Society - The Sandhills,ASSISTED-LIVING FACILITY,2421 PETERSON COURT,Alliance,NE,69301,Box Butte,(308) 762-9000,6/29/21
Looking Glass Estates,ASSISTED-LIVING FACILITY,"PO BOX 310, 424 LOOKING GLASS LANE",Genoa,NE,68640,Nance,(402) 993-2283,6/29/21
The Newman House (Assisted Living At Mid-Nebraska Lutheran Home),ASSISTED-LIVING FACILITY,109 N 2ND STREET,Newman Grove,NE,68758,Madison,(402) 447-6203,6/29/21
Good Samaritan Society - Ridgeview Heights,ASSISTED-LIVING FACILITY,631 RIDGE STREET,Osceola,NE,68651,Polk,(402) 747-2273,6/29/21
Assisted Living At Immanuel Courtyard,ASSISTED-LIVING FACILITY,6759 NEWPORT AVENUE,Omaha,NE,68152,Douglas,(402) 829-2990,6/29/21
Ridgeview Towers,ASSISTED-LIVING FACILITY,1143 NORTH 3RD STREET,Tecumseh,NE,68450,Johnson,(402) 335-3420,6/29/21
Cirrus House Inc Apartments Assisted Living,ASSISTED-LIVING FACILITY,"1509 1ST AVE, PO BOX 1861",Scottsbluff,NE,69361,Scotts Bluff,(308) 632-2304,6/29/21
Good Samaritan Society - Samaritan Estates,ASSISTED-LIVING FACILITY,1225 SOUTH 6TH STREET,Albion,NE,68620,Boone,(402) 395-2020,6/29/21
Fairbury Assisted Living Facility Dba Cedarwood,ASSISTED-LIVING FACILITY,828 22ND STREET,Fairbury,NE,68352,Jefferson,(402) 729-6100,6/29/21
Legacy Estates,ASSISTED-LIVING FACILITY,7202 VAN DORN STREET,Lincoln,NE,68506,Lancaster,(402) 484-8888,6/29/21
Liberty House,ASSISTED-LIVING FACILITY,420 WEST FOURTH,North Platte,NE,69101,Lincoln,(308) 534-1796,6/29/21
Pioneer Manor Assisted Living,ASSISTED-LIVING FACILITY,"PO BOX 310, 318 NORTH 3RD STREET",Hay Springs,NE,69347,Sheridan,(308) 638-4483,6/29/21
Grand Lodge At The Preserve,ASSISTED-LIVING FACILITY,4400 SOUTH 80TH STREET,Lincoln,NE,68506,Lancaster,(402) 489-8003,6/29/21
Nebraska Peo Home,ASSISTED-LIVING FACILITY,413 NORTH 5TH STREET,Beatrice,NE,68310,Gage,(402) 228-4208,6/29/21
