Facility Name,State Facility Type 1 Literal,Address,City,State,Zip Code,County,Phone Number
AN ANGEL'S TOUCH,ASSISTED-LIVING FACILITY,11405 FARNAM CIRCLE,OMAHA,NE,68154,DOUGLAS,(402) 697-0033
THE WATERFORD AT ROXBURY PARK,ASSISTED-LIVING FACILITY,5728 SOUTH 108TH STREET,OMAHA,NE,68137,DOUGLAS,(402) 537-0544
OMAHA II BICKFORD COTTAGE LLC,ASSISTED-LIVING FACILITY,7337 HICKORY,OMAHA,NE,68124,DOUGLAS,(402) 391-3000
BEAVER CITY MANOR,ASSISTED-LIVING FACILITY,905 FLOYD STREET,BEAVER CITY,NE,68926,FURNAS,(308) 268-5111
GOLD CREST RETIREMENT CENTER,ASSISTED-LIVING FACILITY,200 LEVI LANE,ADAMS,NE,68301,GAGE,(402) 988-7115
HOMESTEAD HOUSE,ASSISTED-LIVING FACILITY,2300 LINCOLN STREET,BEATRICE,NE,68310,GAGE,(402) 223-3287
"RIVERSIDE LODGE, INC",ASSISTED-LIVING FACILITY,404 WOODLAND DRIVE,GRAND ISLAND,NE,68801,HALL,(308) 382-1657
LEBENSRAUM ASSISTED LIVING,ASSISTED-LIVING FACILITY,118 SOUTH INGALLS STREET,GRAND ISLAND,NE,68803,HALL,(308) 382-9066
HOMESTEAD OF KEARNEY,ASSISTED-LIVING FACILITY,4205 6TH AVENUE,KEARNEY,NE,68847,BUFFALO,(308) 234-5600
"GRAND ISLAND BICKFORD COTTAGE OPCO, L.L.C.",ASSISTED-LIVING FACILITY,3285 WOODRIDGE BLVD,GRAND ISLAND,NE,68801,HALL,(308) 384-3800
"EDGEWOOD GRAND ISLAND SENIOR LIVING, LLC",ASSISTED-LIVING FACILITY,214 NORTH PIPER,GRAND ISLAND,NE,68803,HALL,(308) 384-0717
PRAIRIE WINDS,ASSISTED-LIVING FACILITY,603 WEST 6TH STREET,DONIPHAN,NE,68832,HALL,(402) 845-4500
EL DORADO MANOR RESIDENTIAL CARE,ASSISTED-LIVING FACILITY,"PO BOX 97, JCT HWY 25 & 34",TRENTON,NE,69044,HITCHCOCK,(308) 334-5241
"BETHANY HOME, INC",ASSISTED-LIVING FACILITY,515 WEST 1ST,MINDEN,NE,68959,KEARNEY,(308) 832-1594
WEL-LIFE AT OGALLALA,ASSISTED-LIVING FACILITY,1610 NORTH SPRUCE,OGALLALA,NE,69153,KEITH,(308) 284-2620
KIMBALL COUNTY MANOR ASSISTED LIVING,ASSISTED-LIVING FACILITY,810 EAST 7TH STREET,KIMBALL,NE,69145,KIMBALL,(308) 235-4693
ASTER HILL,ASSISTED-LIVING FACILITY,2328 A STREET,LINCOLN,NE,68502,LANCASTER,(402) 483-4086
EASTMONT TOWERS,ASSISTED-LIVING FACILITY,6315 O STREET,LINCOLN,NE,68510,LANCASTER,(402) 489-6591
GATEWAY VISTA,ASSISTED-LIVING FACILITY,225 NORTH 56TH STREET,LINCOLN,NE,68504,LANCASTER,(402) 464-6371
GRAMERCY HILL,ASSISTED-LIVING FACILITY,6800 A STREET,LINCOLN,NE,68510,LANCASTER,(402) 483-1010
O.U.R. HOMES,ASSISTED-LIVING FACILITY,2445 R STREET,LINCOLN,NE,68503,LANCASTER,(402) 474-4922
ORCHARD PARK,ASSISTED-LIVING FACILITY,3110 SOUTH 48TH STREET,LINCOLN,NE,68506,LANCASTER,(402) 488-8191
THE LEGACY,ASSISTED-LIVING FACILITY,5600 PIONEERS BLVD,LINCOLN,NE,68506,LANCASTER,(402) 436-3000
O.U.R. SUPPORTED LIVING,ASSISTED-LIVING FACILITY,2144 WASHINGTON STREET,LINCOLN,NE,68502,LANCASTER,(402) 477-4525
THE VICTORIAN,ASSISTED-LIVING FACILITY,2501 Q STREET,LINCOLN,NE,68503,LANCASTER,(402) 474-4955
LINCOLN BICKFORD COTTAGE L.L.C.,ASSISTED-LIVING FACILITY,4451 OLD CHENEY,LINCOLN,NE,68516,LANCASTER,(402) 420-6058
"THE WATERFORD CARE FACILITY COLLEGE VIEW, INC",ASSISTED-LIVING FACILITY,4800 SOUTH 48TH STREET,LINCOLN,NE,68516,LANCASTER,(402) 434-2680
LEGACY TERRACE,ASSISTED-LIVING FACILITY,5700 FREMONT STREET,LINCOLN,NE,68507,LANCASTER,(402) 464-5700
THE WINDCREST ON VAN DORN,ASSISTED-LIVING FACILITY,7208 VAN DORN STREET,LINCOLN,NE,68506,LANCASTER,(402) 486-0011
AZRIA HEALTH CENTENNIAL PARK,ASSISTED-LIVING FACILITY,510 CENTENNIAL CIRCLE,NORTH PLATTE,NE,69101,LINCOLN,(308) 534-7000
LINDEN ESTATES,ASSISTED-LIVING FACILITY,3700 WEST PHILIP AVE,NORTH PLATTE,NE,69101,LINCOLN,(308) 534-8808
"NORTH PLATTE PE, LLC",ASSISTED-LIVING FACILITY,2895 WEST E STREET,NORTH PLATTE,NE,69101,LINCOLN,(308) 534-1900
COMMUNITY PRIDE CARE CENTER,ASSISTED-LIVING FACILITY,901 SOUTH 4TH STREET,BATTLE CREEK,NE,68715,MADISON,(402) 675-2955
ARBOR CARE CENTERS-COUNTRYSIDE LLC,ASSISTED-LIVING FACILITY,703 NORTH MAIN STREET,MADISON,NE,68748,MADISON,(402) 454-3373
SKYVIEW VILLA,ASSISTED-LIVING FACILITY,210 HARRIS DRIVE,NORFOLK,NE,68701,MADISON,(402) 371-5269
"EDGEWOOD NORFOLK SENIOR LIVING, LLC",ASSISTED-LIVING FACILITY,1109 PASEWALK AVE,NORFOLK,NE,68701,MADISON,(402) 371-0052
PARK PLACE,ASSISTED-LIVING FACILITY,808 PARK AVENUE,NORFOLK,NE,68701,MADISON,(402) 370-4208
HOMESTEAD OF NORFOLK,ASSISTED-LIVING FACILITY,3614 KOENIGSTEIN AVE,NORFOLK,NE,68701,MADISON,(402) 379-9622
CC LIVE,ASSISTED-LIVING FACILITY,1307 16TH STREET,CENTRAL CITY,NE,68826,MERRICK,(308) 946-2276
"CENTRAL ASSISTED LIVING, INC",ASSISTED-LIVING FACILITY,"PO BOX 336, 915 EAST 16TH STREET",CENTRAL CITY,NE,68826,MERRICK,(308) 946-5567
HOFFMEISTER HOMES,ASSISTED-LIVING FACILITY,"P O BOX 519, 324 NORTH PINE STREET",GENOA,NE,68640,NANCE,(402) 993-2811
ARBOR CARE CENTERS-FULLERTON LLC,ASSISTED-LIVING FACILITY,202 N ESTHER ST,FULLERTON,NE,68638,NANCE,(308) 536-2488
GOOD SAMARITAN SOCIETY-LONGS CREEK VILLAGE ASSISTED LIVING,ASSISTED-LIVING FACILITY,418 Q STREET,AUBURN,NE,68305,NEMAHA,(402) 274-5511
PRESTIGE CARE CENTER OF NEBRASKA CITY,ASSISTED-LIVING FACILITY,1420 NORTH 10TH STREET,NEBRASKA CITY,NE,68410,OTOE,(402) 873-3304
"HOLDREGE MEMORIAL HOMES, INC",ASSISTED-LIVING FACILITY,1320 11TH AVENUE,HOLDREGE,NE,68949,PHELPS,(308) 995-8631
BERTRAND NURSING HOME,ASSISTED-LIVING FACILITY,100 MINOR AVENUE,BERTRAND,NE,68927,PHELPS,(308) 472-3341
CHRISOMA WEST ASSISTED LIVING,ASSISTED-LIVING FACILITY,1927 W 4TH AVENUE,HOLDREGE,NE,68949,PHELPS,(308) 995-2086
WHISPERING PINES ASSISTED LIVING,ASSISTED-LIVING FACILITY,"PO BOX 219, 101 WEST HARPER AVE",PLAINVIEW,NE,68769,PIERCE,(402) 582-3849
COTTONWOOD PLACE,ASSISTED-LIVING FACILITY,3271 29TH AVENUE,COLUMBUS,NE,68601,PLATTE,(402) 562-9136
"EDGEWOOD COLUMBUS SENIOR LIVING, LLC",ASSISTED-LIVING FACILITY,3386 53RD AVENUE,COLUMBUS,NE,68601,PLATTE,(402) 564-3785
EMERALD NURSING & REHAB COLUMBUS,ASSISTED-LIVING FACILITY,"PO BOX 625, 2855 40TH AVENUE",COLUMBUS,NE,68601,PLATTE,(402) 564-8014
THE PLAZA,ASSISTED-LIVING FACILITY,"P O BOX 367, 615 EAST 9TH STREET",STROMSBURG,NE,68666,POLK,(402) 764-2711
KINSHIP POINTE AT MCCOOK,ASSISTED-LIVING FACILITY,1500 EAST 11TH,MCCOOK,NE,69001,RED WILLOW,(308) 345-2100
HIDDEN PINES ASSISTED LIVING,ASSISTED-LIVING FACILITY,309 WEST 7TH STREET,MCCOOK,NE,69001,RED WILLOW,(308) 345-4600
"JONESBROOK ESTATES, LLC",ASSISTED-LIVING FACILITY,1010 EAST 21ST STREET,FALLS CITY,NE,68355,RICHARDSON,(402) 245-6033
COLONIAL ACRES NURSING HOME/ ASSISTED LIVING,ASSISTED-LIVING FACILITY,1043 10TH ST,HUMBOLDT,NE,68376,RICHARDSON,(402) 862-2558
GARDEN SQUARE OF CRETE,ASSISTED-LIVING FACILITY,1405 HICKORY AVENUE,CRETE,NE,68333,SALINE,(402) 826-2241
WILBER CARE CENTER,ASSISTED-LIVING FACILITY,"RR 1 BOX 5, 611 NORTH MAIN",WILBER,NE,68465,SALINE,(402) 821-2331
MABLE ROSE ESTATES,ASSISTED-LIVING FACILITY,4609 HILLTOP STREET,BELLEVUE,NE,68133,SARPY,(402) 291-9777
WEL-LIFE AT PAPILLION,ASSISTED-LIVING FACILITY,801 NORTH ADAMS STREET,PAPILLION,NE,68046,SARPY,(402) 339-1775
ASSISTED LIVING AT TRINITY VILLAGE,ASSISTED-LIVING FACILITY,522 WEST LINCOLN STREET,PAPILLION,NE,68046,SARPY,(402) 614-5500
WESTERN NEBRASKA VETERANS HOME,ASSISTED-LIVING FACILITY,1102 WEST 42ND STREET,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,(308) 632-0300
REGIONAL WEST VILLAGE,ASSISTED-LIVING FACILITY,320 EAST 42ND STREET,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,(308) 630-2010
NORTHFIELD VILLA HEALTH CARE CENTER,ASSISTED-LIVING FACILITY,2460 FIVE ROCKS ROAD,GERING,NE,69341,SCOTTS BLUFF,(308) 436-3101
WEL-LIFE AT SCOTTSBLUFF,ASSISTED-LIVING FACILITY,617 WEST 33RD STREET,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,(308) 632-1760
MONUMENT REHABILITATION AND CARE CENTER,ASSISTED-LIVING FACILITY,111 WEST 36TH STREET,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,(308) 635-2019
EMERALD COURT,ASSISTED-LIVING FACILITY,315 WEST 33RD STREET,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,(308) 220-4007
KINSHIP POINTE AT SEWARD,ASSISTED-LIVING FACILITY,500 HEARTLAND PARK DRIVE,SEWARD,NE,68434,SEWARD,(402) 643-6500
GREENE PLACE,ASSISTED-LIVING FACILITY,600 CHURCH STREET,SEWARD,NE,68434,SEWARD,(402) 643-9111
MEMORIAL HEALTH CARE SYSTEMS,ASSISTED-LIVING FACILITY,300 NORTH COLUMBIA AVENUE,SEWARD,NE,68434,SEWARD,(402) 643-2971
PARKVIEW LODGE,ASSISTED-LIVING FACILITY,"PO BOX 129, 307 CONRAD STREET",RUSHVILLE,NE,69360,SHERIDAN,(308) 327-2248
WESTSIDE REGENCY,ASSISTED-LIVING FACILITY,301 17TH ST,STANTON,NE,68779,STANTON,(402) 439-2111
COURTYARD TERRACE,ASSISTED-LIVING FACILITY,"P O BOX 166, 1 TERRACE CIRCLE",HEBRON,NE,68370,THAYER,(402) 768-3950
CROWELL MEMORIAL HOME,ASSISTED-LIVING FACILITY,245 SOUTH 22ND STREET,BLAIR,NE,68008,WASHINGTON,(402) 426-2177
GOOD SHEPHERD LUTHERAN HOME,ASSISTED-LIVING FACILITY,2242 WRIGHT STREET,BLAIR,NE,68008,WASHINGTON,(402) 426-4663
AUTUMN POINTE ASSISTED LIVING,ASSISTED-LIVING FACILITY,501 NORTH 13TH STREET,FORT CALHOUN,NE,68023,WASHINGTON,(402) 468-4700
KINSHIP POINTE AT WAYNE,ASSISTED-LIVING FACILITY,1500 VINTAGE HILL DRIVE,WAYNE,NE,68787,WAYNE,(402) 375-1500
"SPRING CREEK HOME, LLC",ASSISTED-LIVING FACILITY,602 MICHIGAN AVENUE,INAVALE,NE,68952,WEBSTER,(402) 746-3267
ROSEWOOD COURT,ASSISTED-LIVING FACILITY,1621 FRONT STREET,HENDERSON,NE,68371,YORK,(402) 723-4512
THE AMBASSADOR NEBRASKA CITY ASSISTED LIVING,ASSISTED-LIVING FACILITY,1800 14TH AVENUE,NEBRASKA CITY,NE,68410,OTOE,(402) 873-6650
THE WILLOWS ASSISTED LIVING FACILITY,ASSISTED-LIVING FACILITY,806 S STREET,NELIGH,NE,68756,ANTELOPE,(402) 887-9059
SENECA SUNRISE,ASSISTED-LIVING FACILITY,710 GRAND AVENUE,RAVENNA,NE,68869,BUFFALO,(308) 452-4444
"EDGEWOOD OMAHA SENIOR LIVING, LLC",ASSISTED-LIVING FACILITY,17620 POPPLETON AVENUE,OMAHA,NE,68130,DOUGLAS,(402) 333-5749
EAST PARK VILLA,ASSISTED-LIVING FACILITY,1704 L STREET,AURORA,NE,68818,HAMILTON,(402) 694-2300
GREELEY ASSISTED LIVING,ASSISTED-LIVING FACILITY,201 E O' CONNOR AVENUE,GREELEY,NE,68842,GREELEY,(308) 428-5145
KINSHIP POINTE  NORTHRIDGE,ASSISTED-LIVING FACILITY,5410 17TH AVENUE,KEARNEY,NE,68845,BUFFALO,(308) 698-5410
THE SEASONS,ASSISTED-LIVING FACILITY,6315  O STREET,LINCOLN,NE,68510,LANCASTER,(402) 489-6591
COUNTRY VIEW ASSISTED LIVING,ASSISTED-LIVING FACILITY,811 EAST 14TH STREET,WAYNE,NE,68787,WAYNE,(402) 375-1922
GRANVILLE VILLA ASSISTED LIVING,ASSISTED-LIVING FACILITY,8507 GRANVILLE PARKWAY,LA VISTA,NE,68128,SARPY,(402) 933-6405
GOOD SAMARITAN SOCIETY - PRAIRIE WINDS,ASSISTED-LIVING FACILITY,413 EAST NEELY,ATKINSON,NE,68713,HOLT,(402) 925-2099
SENIOR LIVING CHOICES AT CURTIS,ASSISTED-LIVING FACILITY,217 CROOK AVENUE,CURTIS,NE,69025,FRONTIER,(308) 367-4259
GRANDVIEW ASSISTED LIVING FACILITY,ASSISTED-LIVING FACILITY,827 NORTH 19TH STREET,ORD,NE,68862,VALLEY,(308) 728-3967
GOOD SAMARITAN SOCIETY - SUNSET VIEW,ASSISTED-LIVING FACILITY,"205 SOUTH 2ND STREET, P O BOX 148",BLOOMFIELD,NE,68718,KNOX,(402) 373-4150
CHAMPION HOMES OF HASTINGS LLC,ASSISTED-LIVING FACILITY,"602 SOUTH WABASH AVE, PO BOX 1197",HASTINGS,NE,68902,ADAMS,(402) 303-0158
MARQUIS PLACE OF ELKHORN,ASSISTED-LIVING FACILITY,20800 WEST MAPLE ROAD,ELKHORN,NE,68022,DOUGLAS,(402) 289-9229
PARKSIDE MANOR,ASSISTED-LIVING FACILITY,"PO BOX 350, 607 NORTH MAIN STREET",STUART,NE,68780,HOLT,(402) 924-3601
THE EVERGREEN,ASSISTED-LIVING FACILITY,1600 NORTH HARRISON,O' NEILL,NE,68763,HOLT,(402) 336-4100
PARK VIEW HAVEN/THE EMBERS,ASSISTED-LIVING FACILITY,509 WEST CEDAR STREET,COLERIDGE,NE,68727,CEDAR,(402) 283-5020
SILVER RIDGE ASSISTED LIVING,ASSISTED-LIVING FACILITY,20332 HACKBERRY STREET,GRETNA,NE,68028,SARPY,(402) 332-4280
THE LEXINGTON ASSISTED LIVING CENTER,ASSISTED-LIVING FACILITY,5550 PIONEERS BOULEVARD,LINCOLN,NE,68506,LANCASTER,(402) 486-4400
HILLCREST ASSISTED LIVING,ASSISTED-LIVING FACILITY,702 CEDAR AVENUE,LAUREL,NE,68745,CEDAR,(402) 256-3961
THE HARVARD HOUSE,ASSISTED-LIVING FACILITY,400 EAST 7TH STREET,HARVARD,NE,68944,CLAY,(402) 772-2511
ASSISTED LIVING AT THE LANDING,ASSISTED-LIVING FACILITY,3500 FAULKNER DRIVE,LINCOLN,NE,68516,LANCASTER,(402) 420-9355
PARK RIDGE ASSISTED LIVING,ASSISTED-LIVING FACILITY,904 CENTRAL AVENUE,GRANT,NE,69140,PERKINS,(308) 352-7246
HERITAGE CROSSINGS,ASSISTED-LIVING FACILITY,501 NORTH 13TH STREET,GENEVA,NE,68361,FILLMORE,(402) 759-3194
HILLCREST VIEW ASSISTED LIVING,ASSISTED-LIVING FACILITY,205 WEST ADA STREET,SUTTON,NE,68979,CLAY,(402) 773-5557
MATELYN RETIREMENT COMMUNITY LLC,ASSISTED-LIVING FACILITY,602 O STREET,ST PAUL,NE,68873,HOWARD,(308) 754-6022
EMERALD NURSING & REHAB LAKEVIEW,ASSISTED-LIVING FACILITY,1405 WEST HWY 34,GRAND ISLAND,NE,68801,HALL,(308) 382-6397
COUNTRY VIEW MANOR,ASSISTED-LIVING FACILITY,220 BROADWAY,BUTTE,NE,68722,BOYD,(402) 775-2355
COUNTRYSIDE VILLA,ASSISTED-LIVING FACILITY,803 SOUTH VIVIAN,WAUSA,NE,68786,KNOX,(402) 586-2890
CLARKSON COMMUNITY CARE CENTER,ASSISTED-LIVING FACILITY,212 SUNRISE DRIVE,CLARKSON,NE,68629,COLFAX,(402) 892-3494
GOOD SAMARITAN SOCIETY - HILLCREST TERRACE,ASSISTED-LIVING FACILITY,902 LINCOLN STREET,ALMA,NE,68920,HARLAN,(308) 928-9085
CHERRY HILLS ESTATES,ASSISTED-LIVING FACILITY,1100 EAST 10TH STREET,VALENTINE,NE,69201,CHERRY,(402) 376-2555
ARBOR CARE CENTERS-FRANKLIN  LLC,ASSISTED-LIVING FACILITY,909 FAIRWAY DRIVE,FRANKLIN,NE,68939,FRANKLIN,(308) 425-6262
ELWOOD CARE CENTER & ASSISTED LIVING,ASSISTED-LIVING FACILITY,607 SMITH AVENUE,ELWOOD,NE,68937,GOSPER,(308) 785-3302
GOOD SAMARITAN SOCIETY - OAKWOOD,ASSISTED-LIVING FACILITY,"PO BOX 180, 710 EAST 7TH STREET",VALENTINE,NE,69201,CHERRY,(402) 376-1001
VALLEY VIEW ASSISTED LIVING COMMUNITY,ASSISTED-LIVING FACILITY,915 7TH STREET,FULLERTON,NE,68638,NANCE,(308) 536-3390
THE INDEPENDENCE HOUSES AT MANDARIN,ASSISTED-LIVING FACILITY,"PO BOX 85321, 4610 MANDARIN CIRCLE",LINCOLN,NE,68501,LANCASTER,(402) 475-7755
ARBOR CARE CENTERS-HARTINGTON LLC,ASSISTED-LIVING FACILITY,"BOX 107, 401 WEST DARLENE",HARTINGTON,NE,68739,CEDAR,(402) 254-3905
CHIMNEY ROCK VILLA,ASSISTED-LIVING FACILITY,"106 EAST 13TH STREET, P O BOX A",BAYARD,NE,69334,MORRILL,(308) 586-1142
GOOD SAMARITAN SOCIETY - LINDEN VIEW,ASSISTED-LIVING FACILITY,1720 LINDEN STREET,SYRACUSE,NE,68446,OTOE,(402) 269-2251
SHALIMAR GARDENS ASSISTED LIVING,ASSISTED-LIVING FACILITY,749 EAST 29TH STREET,FREMONT,NE,68025,DODGE,(402) 721-1616
GOOD SAMARITAN SOCIETY - SAMARITAN SUITES,ASSISTED-LIVING FACILITY,"PO BOX 448, 601 MAIN STREET",ARAPAHOE,NE,68922,FURNAS,(308) 962-7243
ROSE LANE HOME,ASSISTED-LIVING FACILITY,"RR 2, BOX 46, 1005 N 8TH STREET",LOUP CITY,NE,68853,SHERMAN,(308) 745-0303
THE MONARCH,ASSISTED-LIVING FACILITY,4201 SOUTH 78TH STREET,LINCOLN,NE,68506,LANCASTER,(402) 489-6591
GOOD SAMARITAN SOCIETY - SAMARITAN SPRINGS,ASSISTED-LIVING FACILITY,600 SOUTH 22ND STREET,BEATRICE,NE,68310,GAGE,(402) 228-3322
ALPINE VILLAGE ASSISTED LIVING CENTER,ASSISTED-LIVING FACILITY,500 JAMES STREET,VERDIGRE,NE,68783,KNOX,(402) 668-2209
COUNTRY REFLECTIONS/FAIRVIEW MANOR,ASSISTED-LIVING FACILITY,255 F STREET,FAIRMONT,NE,68354,FILLMORE,(402) 268-6111
"ELMS HEALTH CARE CENTER, INC",ASSISTED-LIVING FACILITY,"PO BOX 628, 306 ASHWOOD AVE",PONCA,NE,68770,DIXON,(402) 755-2233
MITCHELL CARE CENTER,ASSISTED-LIVING FACILITY,1717 23RD STREET,MITCHELL,NE,69357,SCOTTS BLUFF,(308) 623-1212
GOOD SAMARITAN SOCIETY - THE SANDHILLS,ASSISTED-LIVING FACILITY,2421 PETERSON COURT,ALLIANCE,NE,69301,BOX BUTTE,(308) 762-9000
LOOKING GLASS ESTATES,ASSISTED-LIVING FACILITY,"PO BOX 310, 424 LOOKING GLASS LANE",GENOA,NE,68640,NANCE,(402) 993-2283
THE NEWMAN HOUSE (ASSISTED LIVING AT MID-NEBRASKA LUTHERAN HOME),ASSISTED-LIVING FACILITY,109 N 2ND STREET,NEWMAN GROVE,NE,68758,MADISON,(402) 447-6203
GOOD SAMARITAN SOCIETY - RIDGEVIEW HEIGHTS,ASSISTED-LIVING FACILITY,631 RIDGE STREET,OSCEOLA,NE,68651,POLK,(402) 747-2273
ASSISTED LIVING AT IMMANUEL COURTYARD,ASSISTED-LIVING FACILITY,6759 NEWPORT AVENUE,OMAHA,NE,68152,DOUGLAS,(402) 829-2990
RIDGEVIEW TOWERS,ASSISTED-LIVING FACILITY,1143 NORTH 3RD STREET,TECUMSEH,NE,68450,JOHNSON,(402) 335-3420
