Facility Address,Facility ID,Facility Name,Administrator,Telephone,Type,County Name,Facility has Secured Bed?,address,fac_city,fac_st,fac_zip,Facility Email,Open Date,Owner Address,Owner Category,Owner Company,Owner Phone,Cert Beds,Licensed Beds,securebeds
"2000 S DAYTON STREET DENVER, CO 80247",2304D3,FIVE STAR RESIDENCES OF DAYTON PLACE,Mr ROBERT ALAN BAKER,3037515150,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,2000 S DAYTON STREET,DENVER,CO,80247,bertollt_ncmt@yahoo.com,,"TWO NEWTON PLACE 255 WASHINGTON ST STE 300 NEWTON, MA 02458", PROFIT-CORPORA,SNH AL TRS INC,617-796-8350,0,122,30
"9160 S UNIVERSITY BLVD HIGHLANDS RANCH, CO 80126",2304DB,BROOKDALE HIGHLANDS RANCH,Ms PENNY HEIM,3036832555,ASSISTED LIVING RESIDENCE,DOUGLAS,Yes,9160 S UNIVERSITY BLVD,HIGHLANDS RANCH,CO,80126,chendrick@brookdaleliving.com,10/6/99,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",615-221-2250,0,81,81
"1001 E YALE AVENUE DENVER, CO 80210",2.30E+10,PORTER PLACE INC,Ms SUSAN O'DELL,3037656800,ASSISTED LIVING RESIDENCE,DENVER,Yes,1001 E YALE AVENUE,DENVER,CO,80210,susano'dell@centura.org,9/19/90,"9100 EAST MINERAL CIRCLE CENTENNIAL, CO 80112", CORPORATE NON-,PORTERCARE ADVENTIST HEALTH SYSTEM,303-673-8942,0,175,29
"7319 CARR STREET ARVADA, CO 80005",2304F3,"GARDENS CARE HOMES LLC, THE - INDIAN TREE",Ms JENNIFER CONRAD,3034316027,ASSISTED LIVING RESIDENCE,JEFFERSON,No,7319 CARR STREET,ARVADA,CO,80005,,10/1/91,"7319 CARR STREET ARVADA, CO 80005", LIMITED LIABIL,"GARDENS CARE HOMES LLC, THE",303-726-1187,0,16,0
"5844 S CURTICE LITTLETON, CO 80120",2304GF,LIBBY BORTZ ASSISTED LIVING CENTER,Ms EMMA MALLORY,3033479755,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,5844 S CURTICE,LITTLETON,CO,80120,ed@lbalc.org,,"5745 SOUTH BANNOCK STREET LITTLETON, CO 80120", CORPORATE NON-,SOUTH METRO HOUSING OPTIONS,303-794-9608,0,115,0
"1901 EUDORA STREET DENVER, CO 80220",2304GP,PARK HILL RESIDENCE, OSEYE GADLIN,3033889437,ASSISTED LIVING RESIDENCE,DENVER,No,1901 EUDORA STREET,DENVER,CO,80220,vjenkins@seniorhousingoptions.org,6/21/96,"1510 17TH ST. DENVER, CO 80202", CORPORATE NON-,PARK HILL RESIDENCE INC,303-595-4464,36,36,0
"621 W 96TH AVE THORNTON, CO 80260",2304H0,CRESTONE PLACE ASSISTED LIVING,Ms MELISA TEGLAS,3034271386,ASSISTED LIVING RESIDENCE,ADAMS,No,621 W 96TH AVE,THORNTON,CO,80260,,2/14/92,"8931 HURON STREET THORNTON, CO 80260", CORPORATE NON-,ADAMS COMMUNITY MENTAL HEALTH CTR,303-853-3449,12,12,0
"6731 W PORTLAND PLACE LITTLETON, CO 80123",2304J2,MILLBROOK HOMES-PORTLAND,Ms JANET CORNELL,3039321004,ASSISTED LIVING RESIDENCE,JEFFERSON,No,6731 W PORTLAND PLACE,LITTLETON,CO,80123,,9/12/91,"5650 DTC PARKWAY SUITE 130 GREENWOOD VILLAGE, CO 80111", LIMITED LIABIL,"MILLBROOK HOMES, LLC",303-220-7989,0,8,0
"10190 WADSWORTH BLVD WESTMINSTER, CO 80021",2304LF,"RETREAT AT CHURCH RANCH, THE",Ms KELLY NIXON,3034697178,ASSISTED LIVING RESIDENCE,JEFFERSON,No,10190 WADSWORTH BLVD,WESTMINSTER,CO,80021,cynavery@msn.com,1/10/00,, LIMITED LIABIL,"SIGNATURE - THE RETREAT, LLC",,40,55,0
"7425 XAVIER ST WESTMINSTER, CO 80030",2304MO,ARBORS OF SAN MARINO,Ms MARIE TAVENNER,3034269090,ASSISTED LIVING RESIDENCE,ADAMS,Yes,7425 XAVIER ST,WESTMINSTER,CO,80030,mtavenner@leisurecare.com,6/12/97,"15640 NE FOURTH PLAIN BLVD STE 106 BOX 437 VANCOUVER, WA 98682", LIMITED LIABIL,FFI SAN MARINO TENANT LLC,775-315-0806,0,111,10
"1170-1180 BRENTWOOD STREET LAKEWOOD, CO 80214",2304NE,JUST FOR SENIORS LIVING CENTER II,Ms FINE OTUKOLO,3032386722,ASSISTED LIVING RESIDENCE,JEFFERSON,No,1170-1180 BRENTWOOD STREET,LAKEWOOD,CO,80214,,7/6/92,"1450 WINONA COURT DENVER, CO 80204", PROFIT-CORPORA,"JUST FOR SENIORS, INC.",303-534-0074,24,24,0
"3075 CARTER CIRCLE DENVER, CO 80222",2304O7,SERENITY HOUSE ASSISTED LIVING I,Mr MICHAEL ZISLIS,3035848926,ASSISTED LIVING RESIDENCE,DENVER,No,3075 CARTER CIRCLE,DENVER,CO,80222,michael.zislis@serenityhouse.net,8/28/98,"5290 EAST YALE CIRCLE, SUITE 209 DENVER, CO 80222", PROFIT-CORPORA,"SERENITY HOUSE ASSISTED LIVING, INC.",303-584-8926,4,8,0
"3555 DUDLEY STREET WHEAT RIDGE, CO 80033",2304QB,ASHLEY MANOR AT DUDLEY,Ms DEBBY CDEBACA,3034670210,ASSISTED LIVING RESIDENCE,JEFFERSON,No,3555 DUDLEY STREET,WHEAT RIDGE,CO,80033,,8/31/98,"4334 NORTH BRIGHT ANGEL AVENUE MERIDIAN, ID 83646", LIMITED LIABIL,ASHLEY MANOR LLC,208-376-7298,0,16,0
"5130 W KEN CARYL AVE LITTLETON, CO 80128",2304QP,"GARDENS AT COLUMBINE, THE",Mr JEREMY KLASSEN,3039735115,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,5130 W KEN CARYL AVE,LITTLETON,CO,80128,jklassen@gardensatcolumbine.com,1/28/00,"8100 E ARAPAHOE RD STE 208 CENTENNIAL, CO 80112", PARTNERSHIP,"SIGNATURE ASSISTED LIVING, L.P.",303-378-2377,0,147,32
"1920 E 13TH AVENUE DENVER, CO 80206",2304S6,MILLER HOUSE RTF,Ms KIMBERLY O'DAY,3035047700,ASSISTED LIVING RESIDENCE,DENVER,No,1920 E 13TH AVENUE,DENVER,CO,80206,joann.toney@mhcd.org,5/1/97,"4141 EAST DICKENSON PLACE DENVER, CO 80222", CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,303-504-1268,0,8,0
"8271 S CONTINENTAL DIVIDE RD LITTLETON, CO 80127",2304SF,BROOKDALE LITTLETON,Ms DIONA TOWNSLEY,3039480900,ASSISTED LIVING RESIDENCE,JEFFERSON,No,8271 S CONTINENTAL DIVIDE RD,LITTLETON,CO,80127,,7/31/98,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,0,60,0
"2607 S EUDORA PLACE DENVER, CO 80222",2304SS,ABBY'S ASSISTED LIVING,Ms SUSAN HARDING,3033040448,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2607 S EUDORA PLACE,DENVER,CO,80222,,9/13/99,"6000 E EVANS BLDG 3 SUITE 111 DENVER, CO 80222", LIMITED LIABIL,ASSISTED LIVING LLC,303-304-0448,0,8,0
"7631 S DEPEW WAY LITTLETON, CO 80128",2304TZ,SUN VALLEY ASSISTED LIVING, HERO ABRIANSYAH,3039326187,ASSISTED LIVING RESIDENCE,JEFFERSON,No,7631 S DEPEW WAY,LITTLETON,CO,80128,soekarsos@yahoo.com,6/9/94,"8943 S BALSAM ST LITTLETON, CO 80128", LIMITED LIABIL,SUN VALLEY ASSISTED LIVING LLC,303-972-4520,5,5,0
"890 E ORCHARD RD CENTENNIAL, CO 80121",2304U9,GOLDEN ORCHARD II,Ms MARCELA REYES,3037977312,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,890 E ORCHARD RD,CENTENNIAL,CO,80121,,10/10/95,"890 E ORCHARD ROAD CENTENNIAL, CO 80121", LIMITED LIABIL,890 ORCHARD MANAGEMENT LLC,650-847-7287,0,12,0
"2600 S GRANT DENVER, CO 80210",2304W2,GRANT HOUSE RTF,Ms ELIZABETH COET,3037339348,ASSISTED LIVING RESIDENCE,DENVER,No,2600 S GRANT,DENVER,CO,80210,ann.selling@mhcd.org,1/27/99,"4141 EAST DICKENSON PLACE DENVER, CO 80222", CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,303-504-1268,0,10,0
"2480 S HOLLY STREET DENVER, CO 80222",2304WE,SERENITY HOUSE ASSISTED LIVING III,Mr MICHAEL ZISLIS,3037581932,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2480 S HOLLY STREET,DENVER,CO,80222,michael.zislis@serenityhouse.net,6/23/94,"5290 EAST YALE CIRCLE, SUITE 209 DENVER, CO 80222", PROFIT-CORPORA,"SERENITY HOUSE ASSISTED LIVING, INC.",303-584-8926,4,8,0
"2500 S ROSLYN ST DENVER, CO 80231",2304X1,MONTAGE HILLS,Ms SUSAN RITTY,3036712500,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,2500 S ROSLYN ST,DENVER,CO,80231,,8/11/97,"8440 SE SUNNYBROOK BLVD SUITE 100 CLACKAMAS, OR 97105", LIMITED LIABIL,GENDENVER LLC,503-652-0750,0,135,0
"3802 N PARFET ST WHEAT RIDGE, CO 80033",2304XE,ASHLEY MANOR AT PARFET,Ms LIZBETH ROJAS,3034327893,ASSISTED LIVING RESIDENCE,JEFFERSON,Yes,3802 N PARFET ST,WHEAT RIDGE,CO,80033,mhager@ashleycares.com,12/3/97,"4334 NORTH BRIGHT ANGEL AVENUE MERIDIAN, ID 83646", PROFIT-CORPORA,ASHLEY MANOR LLC,208-376-7298,0,16,16
"5201 SHERMAN STREET DENVER, CO 80216",2304Y5,LINCOLN HOUSE RTF,Ms CAMILLE RAND,3032967759,ASSISTED LIVING RESIDENCE,DENVER,No,5201 SHERMAN STREET,DENVER,CO,80216,,5/20/96,"4141 EAST DICKENSON PLACE DENVER, CO 80222", CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,303-504-1268,0,11,0
"504 E WILLAMETTE AVE COLORADO SPRINGS, CO 80903",230507,BETHHAVEN HOUSE,Mr MICHAEL VAN DE CASTEELE,7193281609,ASSISTED LIVING RESIDENCE,EL PASO,No,504 E WILLAMETTE AVE,COLORADO SPRINGS,CO,80903,jjohnston@bethhaveninc.org,,"P O BOX 326 COLORADO SPRINGS, CO 80901", CORPORATE NON-,BETHAVEN INCORPORATED,719-632-5920,12,12,0
"816 W KIOWA ST COLORADO SPRINGS, CO 80905",230508,BEEWELL ASSISTED LIVING LLC,Ms KAYLA RIVERA,8016967587,ASSISTED LIVING RESIDENCE,EL PASO,No,816 W KIOWA ST,COLORADO SPRINGS,CO,80905,,,"8007 S 6190 W WEST JORDAN, UT 84081", LIMITED LIABIL,BEEWELL ASSISTED LIVING LLC,801-696-7587,16,16,0
"3920 E SAN MIGUEL COLORADO SPRINGS, CO 80909",230512,WINSLOW COURT RETIREMENT COMMUNITY,Ms TAMMY MINUHIN,7195971700,ASSISTED LIVING RESIDENCE,EL PASO,No,3920 E SAN MIGUEL,COLORADO SPRINGS,CO,80909,,9/30/88,"6415 S 3000 E SUITE 100 SALT LAKE CITY, UT 84121", LIMITED LIABIL,WINSLOW COURT (COCSWC) LLC,801-495-7000,0,128,0
"225 W BROOKSIDE ST COLORADO SPRINGS, CO 80905",230514,BROOKSIDE ASSISTED LIVING,Mr JEFFREY PITUS,7196326511,ASSISTED LIVING RESIDENCE,EL PASO,No,225 W BROOKSIDE ST,COLORADO SPRINGS,CO,80905,brooksideALF@qwestoffice.net,11/6/86,"3769 CAMELROCK VIEW COLORADO SPRINGS, CO 80904", PROFIT-CORPORA,"ELDER CARE, INC",719-632-6511,62,62,0
"2060 PIMA DR COLORADO SPRINGS, CO 80915",230528,IVY COTTAGE ASSISTED LIVING FACILITY,Ms CATHERINE HARTMAN,7195960076,ASSISTED LIVING RESIDENCE,EL PASO,No,2060 PIMA DR,COLORADO SPRINGS,CO,80915,ivycottage101@aol.com,1/6/88,"2060 PIMA DRIVE COLO SPRINGS, CO 80915", PROFIT-CORPORA,WILLCAT INC.,719-596-0076,19,19,0
"2780 VICKERS DRIVE COLORADO SPRINGS, CO 80918",23053C,BROOKDALE VISTA GRANDE,Ms KELI CHILDS,7195980400,ASSISTED LIVING RESIDENCE,EL PASO,No,2780 VICKERS DRIVE,COLORADO SPRINGS,CO,80918,,7/24/97,"6111 WESTWOOD PLACE BRENTWOOD, TN 37027", PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,615-221-2250,0,78,0
"2045 ROANOKE ST COLORADO SPRINGS, CO 80906",230540,BROADMOOR COURT,Ms LINDA HODGES,7194712285,ASSISTED LIVING RESIDENCE,EL PASO,No,2045 ROANOKE ST,COLORADO SPRINGS,CO,80906,lhodges@ba.org,7/31/89,"15475 GLENEAGLE DRIVE COLORADO SPRINGS, CO 80921", LIMITED LIABIL,"BETHESDA GARDENS BROADMOOR, LLC",719-481-0100,55,64,0
"68 SECURITY BLVD SECURITY, CO 80911",230550,STARLIGHT ASSISTED LIVING LLC,Mr JIM GULTOM,7193904721,ASSISTED LIVING RESIDENCE,EL PASO,No,68 SECURITY BLVD,SECURITY,CO,80911,,3/18/91,"68 SECURITY BLVD COLORADO SPRINGS, CO 80911", LIMITED LIABIL,STARLIGHT ASSISTED LIVING LLC,720-409-7130,8,8,0
"2950 HIDDEN TREASURE PT COLORADO SPRINGS, CO 80906",230560,"MYRON STRATTON HOME, THE",Ms MARGARET HUNTER,7195403113,ASSISTED LIVING RESIDENCE,EL PASO,No,2950 HIDDEN TREASURE PT,COLORADO SPRINGS,CO,80906,,2/14/92,"555 GOLD PASS HEIGHTS COLORADO SPRINGS, CO 80906", CORPORATE NON-,MYRON STRATTON HOME,719-579-0930,31,31,0
"615 N CORONA ST COLORADO SPRINGS, CO 80903",2305ZX,DUNCAN-HART HOUSE,Mr MICHAEL VAN DE CASTEELE,7194710149,ASSISTED LIVING RESIDENCE,EL PASO,No,615 N CORONA ST,COLORADO SPRINGS,CO,80903,jjohnston@bethaveninc.org,3/17/95,"P O BOX 326 COLORADO SPRINGS, CO 80901", CORPORATE NON-,BETHHAVEN INCORPORATED,719-632-5920,16,16,0
"3 DOUGLAS CT PUEBLO, CO 81001",230636,BELMONT SENIOR CARE,Ms PHYLLIS SANCHEZ,7195443999,ASSISTED LIVING RESIDENCE,PUEBLO,No,3 DOUGLAS CT,PUEBLO,CO,81001,phyllis@belmontseniorcare.com,11/27/89,"#3 DOUGLAS COURT PUEBLO, CO 81001", CORPORATE NON-,"SENIOR CARE SYSTEMS OF COLORADO, INC.",719-544-3999,45,49,0
"1611 ALMA AVE PUEBLO, CO 81004",230648,"VILLAS AT ROCK CANYON, THE",Ms PATRICIA NELSON,7194041015,ASSISTED LIVING RESIDENCE,PUEBLO,No,1611 ALMA AVE,PUEBLO,CO,81004,,5/16/88,"1611 ALMA AVENUE PUEBLO, CO 81004", PROFIT-CORPORA,ROCK CANYON HEALTHCARE INC,719-564-0550,17,17,0
"525 W 9TH PUEBLO, CO 81003",230664,GOLDEN VIEW,Ms JOSEPHINE HARRIMAN,7195839132,ASSISTED LIVING RESIDENCE,PUEBLO,No,525 W 9TH,PUEBLO,CO,81003,mhrrmn@aol.com,10/21/85,"1337 W ABRIENDO AVENUE PUEBLO, CO 81004", PROFIT-CORPORA,GOLDEN GATE MANOR INC,719-564-0344,13,13,0
"1230 W 3RD ST FLORENCE, CO 81226",23068G,FLORENCE CARE HOME,Ms PAULA PADILLA,7192140359,ASSISTED LIVING RESIDENCE,FREMONT,No,1230 W 3RD ST,FLORENCE,CO,81226,,2/22/97,"475 WEST PIN HIGH DRIVE PUEBLO WEST, CO 81007", LIMITED LIABIL,"GNPR, LLC",719-214-0359,10,10,0
"170 S DACONA DR PUEBLO WEST, CO 81007",2306FN,CAPPELLA OF PUEBLO WEST,Mr CHRISTOPHER POGAR,7195472538,ASSISTED LIVING RESIDENCE,PUEBLO,No,170 S DACONA DR,PUEBLO WEST,CO,81007,carolynspear@gmail.com,6/27/97,"9570 S KINGSTON COURT SUITE 300 ENGLEWOOD, CO 80112", LIMITED LIABIL,CAPPELLA PUEBLO WEST LLC,720-974-3555,56,56,0
"3420 MILL VISTA ROAD HIGHLANDS RANCH, CO 80129",23A843,CONTINUING CARE AT WIND CREST,Mr MICAH PETERSON,3038768300,ASSISTED LIVING RESIDENCE,DOUGLAS,Yes,3420 MILL VISTA ROAD,HIGHLANDS RANCH,CO,80129,micah.peterson@erickson.com,8/30/13,"701 MAIDEN CHOICE LANE BALTIMORE, MD 21228", CORPORATE NON-,"WIND CREST, INC",410-242-2880,0,108,36
"3509 LOCHWOOD DRIVE FORT COLLINS, CO 80525",23A846,MORNINGSTAR OF FORT COLLINS,Ms MARY COLEMAN,9709998790,ASSISTED LIVING RESIDENCE,LARIMER,Yes,3509 LOCHWOOD DRIVE,FORT COLLINS,CO,80525,ftcollins.ed@morningstarseniorliving.com,12/17/15,"8407 E COSTILLA AVE CENTENNIAL, CO 80112", LIMITED LIABIL,FORT COLLINS SENIOR HOUSING I OPCO LLC,303-597-0543,0,96,30
"8217 W PEAKVIEW DRIVE LITTLETON, CO 80123",23A928,FLOURISH SUPPORTIVE LIVING AT PEAKVIEW, MARISA DURAN (OLSON),3038036977,ASSISTED LIVING RESIDENCE,JEFFERSON,No,8217 W PEAKVIEW DRIVE,LITTLETON,CO,80123,tdeshano@cqlhomes.com,1/24/06,"2437 W 36TH AVE DENVER, CO 80211", LIMITED LIABIL,DESHANO CARE CENTERS LLC,720-601-1404,8,8,0
"2774 RESERVOIR ROAD GREELEY, CO 80634",23A930,STEPHENS FARM AT ADEO COLORADO,Ms JENN PALMER,9705060008,ASSISTED LIVING RESIDENCES,WELD,No,2774 RESERVOIR ROAD,GREELEY,CO,80634,jpalmer@gciinc.org,10/19/17,"2780 28TH AVE GREELEY, CO 80634", CORPORATE NON-,"GREELEY CENTER FOR INDEPENDENCE, INC.",970-339-2444,18,18,0
"790 UVALDA ST AURORA, CO 80011",23A931,DOROTHY'S SOFT TOUCH IV,Ms CHINYERE JOINER,3035873578,ASSISTED LIVING RESIDENCE,ADAMS,No,790 UVALDA ST,AURORA,CO,80011,,9/18/15,"1139 TUCSON STREET AURORA, CO 80011", CORPORATE NON-,DOROTHY'S SOFT TOUCH,303-739-2700,0,8,0
"350 S PEARL STREET ELIZABETH, CO 80107",23A936,PEARL ASSISTED LIVING LLC,Mr MICHAEL YATES,3036461156,ASSISTED LIVING RESIDENCE,ELBERT,No,350 S PEARL STREET,ELIZABETH,CO,80107,mike@pearlassistedliving.com,8/23/11,"5333 PINON DRIVE ELIZABETH, CO 80107", LIMITED LIABIL,PEARL ASSISTED LIVING LLC,303-646-1156,4,8,0
"17495 E WEAVER DRIVE AURORA, CO 80016",23A937,ROSE OF SHARON ASSISTED LIVING - WEAVER,Mr HANNY TANNY,3036273772,ASSISTED LIVING RESIDENCE,ARAPAHOE,No,17495 E WEAVER DRIVE,AURORA,CO,80016,,4/27/09,"PO BOX 2712 LITTLETON, CO 80161", PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",303-596-6472,0,8,0
"101 E LOWELL AVENUE EADS, CO 81036",23A938,PRAIRIE PINES ASSISTED LIVING COMMUNITY,Ms BRANDY TURCOTTE,7194382141,ASSISTED LIVING RESIDENCE,KIOWA,No,101 E LOWELL AVENUE,EADS,CO,81036,,5/12/06,"101 E. LOWELL AVE. EADS, CO 81036", CORPORATE NON-,PRAIRIE PINES,719-438-2141,24,24,0
"9560 SHERIDAN BLVD WESTMINSTER, CO 80031",23B428,ATRIA WESTMINSTER,Ms MICHELE SEPPLES,7208059995,ASSISTED LIVING RESIDENCE,ADAMS,Yes,9560 SHERIDAN BLVD,WESTMINSTER,CO,80031,,2/5/20,"130 E RANDOLPH STREET SUITE 2100 CHICAGO, IL 60601", LIMITED LIABIL,CA SENIOR WESTMINSTER OPERATOR LLC,312-994-1880,0,149,32
"5286 W PORTLAND DRIVE LITTLETON, CO 80128",23B430,SERENITY HOUSE ASSISTED LIVING PORTLAND DRIVE,Mr MICHAEL ZISLIS,3035848926,ASSISTED LIVING RESIDENCE,JEFFERSON,No,5286 W PORTLAND DRIVE,LITTLETON,CO,80128,michael.zislis@serenityhouse.net,10/18/12,"5290 EAST YALE CIRCLE, SUITE 209 DENVER, CO 80222", PROFIT-CORPORA,SERENITY HOUSE ASSISTED LIVING INC.,303-584-8926,2,8,0
"5275 S KIPLING PARKWAY LITTLETON, CO 80127",23B432,WILLOWBROOK PLACE,Ms ANGIE ERICKSON,3039483838,ASSISTED LIVING RESIDENCE,ARAPAHOE,Yes,5275 S KIPLING PARKWAY,LITTLETON,CO,80127,klugo@anthemmemeorycare.com,8/19/14,, LIMITED LIABIL,ANTHEM KIPLING MANAGEMENT LLC,,0,76,76
