Facility ID,Facility Name,Phone Number,State Facility Type 1 Literal,County,Address,City,State,Zip Code,Email Address,Ownership Type,Licensee,Capacity,Date Accessed
2304H0,Crestone Place Assisted Living,3034271386,ASSISTED LIVING RESIDENCE,Adams,621 W 96TH AVE,Thornton,CO,80260,, CORPORATE NON-,ADAMS COMMUNITY MENTAL HEALTH CTR,12,7/6/21
2304J2,Millbrook Homes-Portland,3039321004,ASSISTED LIVING RESIDENCE,Jefferson,6731 W PORTLAND PLACE,Littleton,CO,80123,, LIMITED LIABIL,"MILLBROOK HOMES, LLC",8,7/6/21
2304LF,"Retreat At Church Ranch, The",3034697178,ASSISTED LIVING RESIDENCE,Jefferson,10190 WADSWORTH BLVD,Westminster,CO,80021,cynavery@msn.com, LIMITED LIABIL,"SIGNATURE - THE RETREAT, LLC",55,7/6/21
2304MO,Arbors Of San Marino,3034269090,ASSISTED LIVING RESIDENCE,Adams,7425 XAVIER ST,Westminster,CO,80030,mtavenner@leisurecare.com, LIMITED LIABIL,FFI SAN MARINO TENANT LLC,111,7/6/21
2304NE,Just For Seniors Living Center Ii,3032386722,ASSISTED LIVING RESIDENCE,Jefferson,1170-1180 BRENTWOOD STREET,Lakewood,CO,80214,, PROFIT-CORPORA,"JUST FOR SENIORS, INC.",24,7/6/21
2304O7,Serenity House Assisted Living I,3035848926,ASSISTED LIVING RESIDENCE,Denver,3075 CARTER CIRCLE,Denver,CO,80222,michael.zislis@serenityhouse.net, PROFIT-CORPORA,"SERENITY HOUSE ASSISTED LIVING, INC.",8,7/6/21
2304QB,Ashley Manor At Dudley,3034670210,ASSISTED LIVING RESIDENCE,Jefferson,3555 DUDLEY STREET,Wheat Ridge,CO,80033,, LIMITED LIABIL,ASHLEY MANOR LLC,16,7/6/21
2304QP,"Gardens At Columbine, The",3039735115,ASSISTED LIVING RESIDENCE,Arapahoe,5130 W KEN CARYL AVE,Littleton,CO,80128,jklassen@gardensatcolumbine.com, PARTNERSHIP,"SIGNATURE ASSISTED LIVING, L.P.",147,7/6/21
2304S6,Miller House Rtf,3035047700,ASSISTED LIVING RESIDENCE,Denver,1920 E 13TH AVENUE,Denver,CO,80206,joann.toney@mhcd.org, CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,8,7/6/21
2304SF,Brookdale Littleton,3039480900,ASSISTED LIVING RESIDENCE,Jefferson,8271 S CONTINENTAL DIVIDE RD,Littleton,CO,80127,, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,60,7/6/21
2304SS,Abby'S Assisted Living,3033040448,ASSISTED LIVING RESIDENCE,Arapahoe,2607 S EUDORA PLACE,Denver,CO,80222,, LIMITED LIABIL,ASSISTED LIVING LLC,8,7/6/21
2304TZ,Sun Valley Assisted Living,3039326187,ASSISTED LIVING RESIDENCE,Jefferson,7631 S DEPEW WAY,Littleton,CO,80128,soekarsos@yahoo.com, LIMITED LIABIL,SUN VALLEY ASSISTED LIVING LLC,5,7/6/21
2304U9,Golden Orchard Ii,3037977312,ASSISTED LIVING RESIDENCE,Arapahoe,890 E ORCHARD RD,Centennial,CO,80121,, LIMITED LIABIL,890 ORCHARD MANAGEMENT LLC,12,7/6/21
2304W2,Grant House Rtf,3037339348,ASSISTED LIVING RESIDENCE,Denver,2600 S GRANT,Denver,CO,80210,ann.selling@mhcd.org, CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,10,7/6/21
2304WE,Serenity House Assisted Living Iii,3037581932,ASSISTED LIVING RESIDENCE,Arapahoe,2480 S HOLLY STREET,Denver,CO,80222,michael.zislis@serenityhouse.net, PROFIT-CORPORA,"SERENITY HOUSE ASSISTED LIVING, INC.",8,7/6/21
2304X1,Montage Hills,3036712500,ASSISTED LIVING RESIDENCE,Arapahoe,2500 S ROSLYN ST,Denver,CO,80231,, LIMITED LIABIL,GENDENVER LLC,135,7/6/21
2304XE,Ashley Manor At Parfet,3034327893,ASSISTED LIVING RESIDENCE,Jefferson,3802 N PARFET ST,Wheat Ridge,CO,80033,mhager@ashleycares.com, PROFIT-CORPORA,ASHLEY MANOR LLC,16,7/6/21
2304Y5,Lincoln House Rtf,3032967759,ASSISTED LIVING RESIDENCE,Denver,5201 SHERMAN STREET,Denver,CO,80216,, CORPORATE NON-,MENTAL HEALTH CENTER OF DENVER,11,7/6/21
230507,Bethhaven House,7193281609,ASSISTED LIVING RESIDENCE,El Paso,504 E WILLAMETTE AVE,Colorado Springs,CO,80903,jjohnston@bethhaveninc.org, CORPORATE NON-,BETHAVEN INCORPORATED,12,7/6/21
230508,Beewell Assisted Living Llc,8016967587,ASSISTED LIVING RESIDENCE,El Paso,816 W KIOWA ST,Colorado Springs,CO,80905,, LIMITED LIABIL,BEEWELL ASSISTED LIVING LLC,16,7/6/21
230512,Winslow Court Retirement Community,7195971700,ASSISTED LIVING RESIDENCE,El Paso,3920 E SAN MIGUEL,Colorado Springs,CO,80909,, LIMITED LIABIL,WINSLOW COURT (COCSWC) LLC,128,7/6/21
230514,Brookside Assisted Living,7196326511,ASSISTED LIVING RESIDENCE,El Paso,225 W BROOKSIDE ST,Colorado Springs,CO,80905,brooksidealf@qwestoffice.net, PROFIT-CORPORA,"ELDER CARE, INC",62,7/6/21
230528,Ivy Cottage Assisted Living Facility,7195960076,ASSISTED LIVING RESIDENCE,El Paso,2060 PIMA DR,Colorado Springs,CO,80915,ivycottage101@aol.com, PROFIT-CORPORA,WILLCAT INC.,19,7/6/21
23053C,Brookdale Vista Grande,7195980400,ASSISTED LIVING RESIDENCE,El Paso,2780 VICKERS DRIVE,Colorado Springs,CO,80918,, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,78,7/6/21
230540,Broadmoor Court,7194712285,ASSISTED LIVING RESIDENCE,El Paso,2045 ROANOKE ST,Colorado Springs,CO,80906,lhodges@ba.org, LIMITED LIABIL,"BETHESDA GARDENS BROADMOOR, LLC",64,7/6/21
230550,Starlight Assisted Living Llc,7193904721,ASSISTED LIVING RESIDENCE,El Paso,68 SECURITY BLVD,Security,CO,80911,, LIMITED LIABIL,STARLIGHT ASSISTED LIVING LLC,8,7/6/21
230560,"Myron Stratton Home, The",7195403113,ASSISTED LIVING RESIDENCE,El Paso,2950 HIDDEN TREASURE PT,Colorado Springs,CO,80906,, CORPORATE NON-,MYRON STRATTON HOME,31,7/6/21
2305ZX,Duncan-Hart House,7194710149,ASSISTED LIVING RESIDENCE,El Paso,615 N CORONA ST,Colorado Springs,CO,80903,jjohnston@bethaveninc.org, CORPORATE NON-,BETHHAVEN INCORPORATED,16,7/6/21
230636,Belmont Senior Care,7195443999,ASSISTED LIVING RESIDENCE,Pueblo,3 DOUGLAS CT,Pueblo,CO,81001,phyllis@belmontseniorcare.com, CORPORATE NON-,"SENIOR CARE SYSTEMS OF COLORADO, INC.",49,7/6/21
230648,"Villas At Rock Canyon, The",7194041015,ASSISTED LIVING RESIDENCE,Pueblo,1611 ALMA AVE,Pueblo,CO,81004,, PROFIT-CORPORA,ROCK CANYON HEALTHCARE INC,17,7/6/21
230664,Golden View,7195839132,ASSISTED LIVING RESIDENCE,Pueblo,525 W 9TH,Pueblo,CO,81003,mhrrmn@aol.com, PROFIT-CORPORA,GOLDEN GATE MANOR INC,13,7/6/21
23068G,Florence Care Home,7192140359,ASSISTED LIVING RESIDENCE,Fremont,1230 W 3RD ST,Florence,CO,81226,, LIMITED LIABIL,"GNPR, LLC",10,7/6/21
2306FN,Cappella Of Pueblo West,7195472538,ASSISTED LIVING RESIDENCE,Pueblo,170 S DACONA DR,Pueblo West,CO,81007,carolynspear@gmail.com, LIMITED LIABIL,CAPPELLA PUEBLO WEST LLC,56,7/6/21
23A843,Continuing Care At Wind Crest,3038768300,ASSISTED LIVING RESIDENCE,Douglas,3420 MILL VISTA ROAD,Highlands Ranch,CO,80129,micah.peterson@erickson.com, CORPORATE NON-,"WIND CREST, INC",108,7/6/21
23A846,Morningstar Of Fort Collins,9709998790,ASSISTED LIVING RESIDENCE,Larimer,3509 LOCHWOOD DRIVE,Fort Collins,CO,80525,ftcollins.ed@morningstarseniorliving.com, LIMITED LIABIL,FORT COLLINS SENIOR HOUSING I OPCO LLC,96,7/6/21
23A928,Flourish Supportive Living At Peakview,3038036977,ASSISTED LIVING RESIDENCE,Jefferson,8217 W PEAKVIEW DRIVE,Littleton,CO,80123,tdeshano@cqlhomes.com, LIMITED LIABIL,DESHANO CARE CENTERS LLC,8,7/6/21
23A930,Stephens Farm At Adeo Colorado,9705060008,ASSISTED LIVING RESIDENCES,Weld,2774 RESERVOIR ROAD,Greeley,CO,80634,jpalmer@gciinc.org, CORPORATE NON-,"GREELEY CENTER FOR INDEPENDENCE, INC.",18,7/6/21
23A931,Dorothy'S Soft Touch Iv,3035873578,ASSISTED LIVING RESIDENCE,Adams,790 UVALDA ST,Aurora,CO,80011,, CORPORATE NON-,DOROTHY'S SOFT TOUCH,8,7/6/21
23A936,Pearl Assisted Living Llc,3036461156,ASSISTED LIVING RESIDENCE,Elbert,350 S PEARL STREET,Elizabeth,CO,80107,mike@pearlassistedliving.com, LIMITED LIABIL,PEARL ASSISTED LIVING LLC,8,7/6/21
23A937,Rose Of Sharon Assisted Living - Weaver,3036273772,ASSISTED LIVING RESIDENCE,Arapahoe,17495 E WEAVER DRIVE,Aurora,CO,80016,, PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",8,7/6/21
23A938,Prairie Pines Assisted Living Community,7194382141,ASSISTED LIVING RESIDENCE,Kiowa,101 E LOWELL AVENUE,Eads,CO,81036,, CORPORATE NON-,PRAIRIE PINES,24,7/6/21
23B428,Atria Westminster,7208059995,ASSISTED LIVING RESIDENCE,Adams,9560 SHERIDAN BLVD,Westminster,CO,80031,, LIMITED LIABIL,CA SENIOR WESTMINSTER OPERATOR LLC,149,7/6/21
23B430,Serenity House Assisted Living Portland Drive,3035848926,ASSISTED LIVING RESIDENCE,Jefferson,5286 W PORTLAND DRIVE,Littleton,CO,80128,michael.zislis@serenityhouse.net, PROFIT-CORPORA,SERENITY HOUSE ASSISTED LIVING INC.,8,7/6/21
23B432,Willowbrook Place,3039483838,ASSISTED LIVING RESIDENCE,Arapahoe,5275 S KIPLING PARKWAY,Littleton,CO,80127,klugo@anthemmemeorycare.com, LIMITED LIABIL,ANTHEM KIPLING MANAGEMENT LLC,76,7/6/21
23B942,Abundant Blessings And Care Assisted Living,3034788174,ASSISTED LIVING RESIDENCE,Arapahoe,2510 S HOLLY PLACE,Denver,CO,80222,, PROFIT-CORPORA,ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,8,7/6/21
23C440,Flourish Supportive Living At Texas,3038036977,ASSISTED LIVING RESIDENCE,Jefferson,9232 WEST TEXAS DRIVE,Lakewood,CO,80232,tdeshano@cqlhomes.com, LIMITED LIABIL,DESHANO CARE CENTERS LLC,10,7/6/21
23C491,Meadow Hills Makarios Assisted Living,3037362837,ASSISTED LIVING RESIDENCE,Adams,14691 E LEHIGH AVE,Aurora,CO,80014,, LIMITED LIABIL,MEADOW HILLS MAKARIOS ASSISTED LIVING LLC,15,7/6/21
23C498,Castle Rock Assisted Living Iii,3038159347,ASSISTED LIVING RESIDENCE,Douglas,2473 WOODHOUSE LANE,Castle Rock,CO,80109,, LIMITED LIABIL,CASTLE ROCK ASSISTED LIVING III LLC,9,7/6/21
23C703,Spruce House,7195745894,ASSISTED LIVING RESIDENCES,El Paso,2535 BRADY DRIVE,Colorado Springs,CO,80917,, LIMITED LIABIL,BRAINCARE LLC,8,7/6/21
23C876,Harmony Assisted Living Inc,3032333076,ASSISTED LIVING RESIDENCE,Jefferson,1355 AMMONS STREET,Lakewood,CO,80214,info@livingatharmony.com, PROFIT-CORPORA,HARMONY ASSISTED LIVING INC,9,7/6/21
23C959,Rocky Mountain Assisted Living 44Th Ave Al,3039966886,ASSISTED LIVING RESIDENCE,Jefferson,7850 WEST 44TH AVENUE,Wheat Ridge,CO,80033,, LIMITED LIABIL,ROCKY MOUNTAIN ASSISTED LIVING LLC,18,7/6/21
23D456,Haven Of Care Assisted Living At Tollgate Crossing,3039477392,ASSISTED LIVING RESIDENCE,Arapahoe,5010 S DUQUESNE STREET,Aurora,CO,80016,mwrthoc@yahoo.com, LIMITED LIABIL,HAVEN OF CARE ASSISTED LIVING AT TOLLGATE CROSSING,12,7/6/21
23D971,Serenity House Assisted Living Applewood,3034621096,ASSISTED LIVING RESIDENCE,Jefferson,11975 W 22ND PLACE,Lakewood,CO,80215,michael.zislis@serenityhouse .net, PROFIT-CORPORA,SERENITY HOUSE ASSISTED LIVING INC.,8,7/6/21
23E900,Sevens Residential Memory Care,7204771727,ASSISTED LIVING RESIDENCE,Jefferson,1085 VIVIAN ST,Lakewood,CO,80401,francisl@sevensrc.com, LIMITED LIABIL,L & M ALO 1 LLC,12,7/6/21
23E998,Rosemark At Mayfair Park,3037707673,ASSISTED LIVING RESIDENCE,Denver,833 N JERSEY STREET,Denver,CO,80220,, LIMITED LIABIL,ROSEMARK MAYFAIR LLC,98,7/6/21
23F100,Orchards At Crestview,7194736339,ASSISTED LIVING RESIDENCE,El Paso,1409 E BUENA VENTURA ST,Colorado Springs,CO,80909,, PROFIT-CORPORA,PARENT CARE LIFE INC,11,7/6/21
23F490,Peakview Assisted Living And Memory Care,3035899962,ASSISTED LIVING RESIDENCE,Arapahoe,6021 SOUTH LIVERPOOL STREET,Aurora,CO,80016,jdavidson@spectrumretirement.com, LIMITED LIABIL,PEAKVIEW OPERATOR LLC,85,7/6/21
23F492,Park Regency Loveland,9704611100,ASSISTED LIVING RESIDENCE,Larimer,1875 FALL RIVER DRIVE,Loveland,CO,80538,kvasquez@ba.org, LIMITED LIABIL,BSLC LOVELAND LLC,129,7/6/21
23G116,Colorado Careassist Cascade Home,7193513573,ASSISTED LIVING RESIDENCE,El Paso,2509 N CASCADE AVE,Colorado Springs,CO,80907,bonnie@coloradocareassist.com, LIMITED LIABIL,CCA CASCADE HOUSE LLC,8,7/6/21
23G499,Temenos Assisted Living,7204292355,ASSISTED LIVING RESIDENCE,Jefferson,12363 W 65TH AVENUE,Arvada,CO,80004,temenosarvada@gmail.com, LIMITED LIABIL,"TEMENOS ASSISTED LIVING, LLC",7,7/6/21
23G501,Aspyre At Rock Creek,9703725838,ASSISTED LIVING RESIDENCE,Larimer,3150 ROCK CREEK DRIVE,Fort Collins,CO,80528,, LIMITED LIABIL,FORT COLLINS MEMORY CARE LLC,64,7/6/21
23G509,Maple Grove East At Crestview Assisted Living,7194736339,ASSISTED LIVING RESIDENCE,El Paso,1417 E BUENA VENTURA STREET,Colorado Springs,CO,80909,, PROFIT-CORPORA,PARENT CARE LIFE INC,11,7/6/21
23G551,Freedom Home Clifton,7204363995,ASSISTED LIVING RESIDENCE,El Paso,8395 CLIFTON DRIVE,Colorado Springs,CO,80920,, PROFIT-CORPORA,FREEDOM HOME ASSISTED LIVING INC,8,7/6/21
23G933,Rocky Mountain Assisted Living,3034711914,ASSISTED LIVING RESIDENCE,Arapahoe,9970 SILVER MAPLE ROAD,Highlands Ranch,CO,80129,, LIMITED LIABIL,ROCKY MOUNTAIN ASSISTED LIVING LLC,10,7/6/21
23G942,Serenity House Assisted Living Hunters Hill,3035848926,ASSISTED LIVING RESIDENCE,Arapahoe,8352 E HUNTERS HILL DRIVE,Centennial,CO,80112,, PROFIT-CORPORA,SERENITY HOUSE ASSISTED LIVING INC.,8,7/6/21
23H132,Vi At Highlands Ranch Assisted Living,7203487900,ASSISTED LIVING RESIDENCE,Douglas,9085 RANCH RIVER CIRCLE,Highlands Ranch,CO,80126,mgsmigiel@viliving.com, PROFIT-CORPORA,"CC-DENVER, INC",36,7/6/21
23H517,Assured Assisted Living 6,3038410470,ASSISTED LIVING RESIDENCE,Douglas,4837 WAGON TRAIL COURT,Parker,CO,80134,francis@assuredal.com, LIMITED LIABIL,ASSURED ASSISTED LIVING LLC,8,7/6/21
23H523,Keystone Place At Legacy Ridge Assisted Living,3034655600,ASSISTED LIVING RESIDENCE,Adams,11150 IRVING DRIVE,Westminster,CO,80031,mward@keystonesenior.com, LIMITED LIABIL,KEYSTONE FEDERAL LLC,100,7/6/21
23H948,Goshen Assisted Living Llc,3033539041,ASSISTED LIVING RESIDENCE,Arapahoe,12099 E LOUISIANA AVENUE,Aurora,CO,80012,, LIMITED LIABIL,GOSHEN ASSISTED LIVING LLC,7,7/6/21
23H949,Balfour At Stapleton,7204920712,ASSISTED LIVING RESIDENCE,Denver,2979 UINTA STREET,Denver,CO,80238,tnitta@balfourcare.com, LIMITED LIABIL,WELL BALFOUR TENANT LLC,85,7/6/21
23I144,Serenity House Assisted Living Vi,3037619336,ASSISTED LIVING RESIDENCE,Arapahoe,3235 S HIGH STREET,Englewood,CO,80113,zislis@msn.com, PROFIT-CORPORA,STRAUSS PROPERTIES,8,7/6/21
23I154,St Anna'S Home,3036272986,ASSISTED LIVING RESIDENCE,Arapahoe,13901 E QUINCY AVENUE,Aurora,CO,80015,st.annashome@hotmail.com, CORPORATE NON-,"CONG. OF SISTERS/CHARITY/ST. VINCENT DE PAUL, CO",10,7/6/21
23I969,Jaxpointe At 63Rd Place Assisted Living,3034209910,ASSISTED LIVING RESIDENCE,Jefferson,16495 W. 63RD PLACE,Golden,CO,80403,info@jaxpointe.com, LIMITED LIABIL,ROBERT RUSSELL HOMES LLC,8,7/6/21
23J169,Ashley Manor Irma 1,3032807019,ASSISTED LIVING RESIDENCE,Adams,10527 IRMA DRIVE,Northglenn,CO,80234,, LIMITED LIABIL,ASHLEY MANOR LLC,15,7/6/21
23J544,Castle Rock Assisted Living Ii,3036630853,ASSISTED LIVING RESIDENCE,Douglas,1768 ROSE PETAL LANE,Castle Rock,CO,80109,, PROFIT-CORPORA,CASTLE ROCK ASSISTED LIVING II LLC,13,7/6/21
23J545,Peak Gardens Assisted Living Inc,3039974876,ASSISTED LIVING RESIDENCE,Jefferson,2948 ROUTT CIRCLE,Lakewood,CO,80215,, PROFIT-CORPORA,PEAK GARDENS ASSISTED LIVING INC,10,7/6/21
23J795,Clermont Assisted Living Llc,3038625602,ASSISTED LIVING RESIDENCE,Arapahoe,6563 S CLERMONT COURT,Centennial,CO,80121,bhensen@msn.com, LIMITED LIABIL,HC 2013 LLC,12,7/6/21
23J976,Aspen House 1,9706359800,ASSISTED LIVING RESIDENCE,Larimer,2212 EAST 11TH STREET,Loveland,CO,80537,, LIMITED LIABIL,MRSC CO ASPEN HOUSE MASTER TENANT LLC,40,7/6/21
23K101,Charleston Assisted Living,7208835661,ASSISTED LIVING RESIDENCE,Boulder,2866 IRONWOOD CIRCLE,Erie,CO,80516,lisa.charlestonal@gmail.com,LIMITED LIABILITY,,8,7/6/21
23K182,Cherry Hills Assisted Living And Memory Care,7203985692,ASSISTED LIVING RESIDENCE,Arapahoe,6325 SOUTH UNIVERSITY BOULEVARD,Centennial,CO,80121,, LIMITED LIABIL,CHAL LLC,94,7/6/21
23K558,Kraft Home Inc,3032882851,ASSISTED LIVING RESIDENCE,Adams,8154 DOWNING DRIVE,Denver,CO,80229,jkraft35@yahoo.com, PROFIT-CORPORA,KRAFT HOME INC.,8,7/6/21
23K560,Lighthouse Assisted Living Inc-Steele House,7204890864,ASSISTED LIVING RESIDENCE,Arapahoe,6700 SOUTH STEELE STREET,Centennial,CO,80122,tom@lighthouseassistedliving.com, PROFIT-CORPORA,LIGHTHOUSE ASSISTED LIVING,8,7/6/21
23L106,Slp Colorado,7204125730,ASSISTED LIVING RESIDENCE,Douglas,10706 FLAGLER DR,Parker,CO,80134,, LIMITED LIABIL,TBI COLORADO LLC,8,7/6/21
23L108,Balfour At Longmont,7208307480,ASSISTED LIVING RESIDENCE,Boulder,1850 S HOVER ST,Longmont,CO,80501,, LIMITED LIABIL,"BSL LONGMONT MANAGEMENT CO, LLC",160,7/6/21
23L115,Good Samaritan Society Estes Park Village,9705777700,ASSISTED LIVING RESIDENCE,Larimer,1901 PTARMIGAN TRAIL,Estes Park,CO,80517,jlee1@good-sam.com, CORPORATE NON-,"EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, THE",30,7/6/21
23L190,Atria Longmont,3036785050,ASSISTED LIVING RESIDENCE,Boulder,2310 9TH AVENUE,Longmont,CO,80503,, LIMITED LIABIL,WG VISTAS LONGMONT LLC,100,7/6/21
23L199,Highline Place,3037033499,ASSISTED LIVING RESIDENCE,Arapahoe,6767 S BROADWAY,Littleton,CO,80122,tcolvin@anthemmemorycare.com, LIMITED LIABIL,ANTHEM LITTLETON MANGEMENT LLC,76,7/6/21
23L202,Assured Assisted Living 1,3036634881,ASSISTED LIVING RESIDENCE,Douglas,1687 PAONIA COURT,Castle Rock,CO,80109,francis@assuredal.com, LIMITED LIABIL,ASSURED ASSISTED LIVING LLC,9,7/6/21
23L573,Gabriel Assisted Living,3039540531,ASSISTED LIVING RESIDENCE,Arapahoe,5235 S LIVERPOOL WAY,Centennial,CO,80015,gomgom_siregar@yahoo.com, LIMITED LIABIL,GABRIEL ASSISTED LIVING,7,7/6/21
23L575,Renew Saddle Rock,3037668867,ASSISTED LIVING RESIDENCE,Arapahoe,7475 S SHAWNEE STREET,Aurora,CO,80016,, LIMITED LIABIL,FIRST PHOENIX-AURORA LLC,64,7/6/21
23L627,Aspen Leaf Assisted Lvg Residence Circle Lane Inc,7197759031,ASSISTED LIVING RESIDENCE,Lincoln,1750 CIRCLE LANE,Limon,CO,80828,, PROFIT-CORPORA,ASPEN LEAF ASSISTED LIVING RESIDENCE CIRCLE LANE I,28,7/6/21
23M128,Slp Colorado,7204125730,ASSISTED LIVING RESIDENCES,Douglas,10706 FLAGLER DR,Parker,CO,80134,,NO VALUE ENTERED,,8,7/6/21
23M211,Yampa Makarios Assisted Living,7204041445,ASSISTED LIVING RESIDENCE,Arapahoe,2936 S YAMPA WAY,Aurora,CO,80013,, LIMITED LIABIL,MAKARIOS ASSISTED LIVING LLC,8,7/6/21
23M589,Applewood Our House 4 Llc,3032486966,ASSISTED LIVING RESIDENCE,Jefferson,1182 S VAN GORDON CT,Lakewood,CO,80228,, LIMITED LIABIL,APPLEWOOD OUR HOUSE 4 LLC,16,7/6/21
23M641,Oakshire Commons,7195443001,ASSISTED LIVING RESIDENCE,Pueblo,2400 OAKSHIRE LANE,Pueblo,CO,81001,krissprado1@gmail.com, LIMITED LIABIL,OAKSHIRE GARDENS,151,7/6/21
23N140,Beehive Homes Of Parker,7203909668,ASSISTED LIVING RESIDENCE,Douglas,11765 NEWLIN GULCH BLVD,Parker,CO,80138,, LIMITED LIABIL,DAWSON 1 LLC,24,7/6/21
