Facility ID,Facility Name,Phone Number,State Facility Type 1 Literal,County,Address,City,State,Zip Code,Email Address,Ownership Type,Licensee,Capacity
230507,BETHHAVEN HOUSE,7193281609,ASSISTED LIVING RESIDENCE,EL PASO,504 E WILLAMETTE AVE,COLORADO SPRINGS,CO,80903,jjohnston@bethhaveninc.org, CORPORATE NON-,BETHAVEN INCORPORATED,12
230508,BEEWELL ASSISTED LIVING LLC,8016967587,ASSISTED LIVING RESIDENCE,EL PASO,816 W KIOWA ST,COLORADO SPRINGS,CO,80905,, LIMITED LIABIL,BEEWELL ASSISTED LIVING LLC,16
230512,WINSLOW COURT RETIREMENT COMMUNITY,7195971700,ASSISTED LIVING RESIDENCE,EL PASO,3920 E SAN MIGUEL,COLORADO SPRINGS,CO,80909,, LIMITED LIABIL,WINSLOW COURT (COCSWC) LLC,128
230514,BROOKSIDE ASSISTED LIVING,7196326511,ASSISTED LIVING RESIDENCE,EL PASO,225 W BROOKSIDE ST,COLORADO SPRINGS,CO,80905,brooksideALF@qwestoffice.net, PROFIT-CORPORA,"ELDER CARE, INC",62
230528,IVY COTTAGE ASSISTED LIVING FACILITY,7195960076,ASSISTED LIVING RESIDENCE,EL PASO,2060 PIMA DR,COLORADO SPRINGS,CO,80915,ivycottage101@aol.com, PROFIT-CORPORA,WILLCAT INC.,19
23053C,BROOKDALE VISTA GRANDE,7195980400,ASSISTED LIVING RESIDENCE,EL PASO,2780 VICKERS DRIVE,COLORADO SPRINGS,CO,80918,, PROFIT-CORPORA,ALTERRA HEALTHCARE CORPORATION,78
230540,BROADMOOR COURT,7194712285,ASSISTED LIVING RESIDENCE,EL PASO,2045 ROANOKE ST,COLORADO SPRINGS,CO,80906,lhodges@ba.org, LIMITED LIABIL,"BETHESDA GARDENS BROADMOOR, LLC",64
230550,STARLIGHT ASSISTED LIVING LLC,7193904721,ASSISTED LIVING RESIDENCE,EL PASO,68 SECURITY BLVD,SECURITY,CO,80911,, LIMITED LIABIL,STARLIGHT ASSISTED LIVING LLC,8
230560,"MYRON STRATTON HOME, THE",7195403113,ASSISTED LIVING RESIDENCE,EL PASO,2950 HIDDEN TREASURE PT,COLORADO SPRINGS,CO,80906,, CORPORATE NON-,MYRON STRATTON HOME,31
2305ZX,DUNCAN-HART HOUSE,7194710149,ASSISTED LIVING RESIDENCE,EL PASO,615 N CORONA ST,COLORADO SPRINGS,CO,80903,jjohnston@bethaveninc.org, CORPORATE NON-,BETHHAVEN INCORPORATED,16
230636,BELMONT SENIOR CARE,7195443999,ASSISTED LIVING RESIDENCE,PUEBLO,3 DOUGLAS CT,PUEBLO,CO,81001,phyllis@belmontseniorcare.com, CORPORATE NON-,"SENIOR CARE SYSTEMS OF COLORADO, INC.",49
230648,"VILLAS AT ROCK CANYON, THE",7194041015,ASSISTED LIVING RESIDENCE,PUEBLO,1611 ALMA AVE,PUEBLO,CO,81004,, PROFIT-CORPORA,ROCK CANYON HEALTHCARE INC,17
230664,GOLDEN VIEW,7195839132,ASSISTED LIVING RESIDENCE,PUEBLO,525 W 9TH,PUEBLO,CO,81003,mhrrmn@aol.com, PROFIT-CORPORA,GOLDEN GATE MANOR INC,13
23068G,FLORENCE CARE HOME,7192140359,ASSISTED LIVING RESIDENCE,FREMONT,1230 W 3RD ST,FLORENCE,CO,81226,, LIMITED LIABIL,"GNPR, LLC",10
2306FN,CAPPELLA OF PUEBLO WEST,7195472538,ASSISTED LIVING RESIDENCE,PUEBLO,170 S DACONA DR,PUEBLO WEST,CO,81007,carolynspear@gmail.com, LIMITED LIABIL,CAPPELLA PUEBLO WEST LLC,56
23A843,CONTINUING CARE AT WIND CREST,3038768300,ASSISTED LIVING RESIDENCE,DOUGLAS,3420 MILL VISTA ROAD,HIGHLANDS RANCH,CO,80129,micah.peterson@erickson.com, CORPORATE NON-,"WIND CREST, INC",108
23A846,MORNINGSTAR OF FORT COLLINS,9709998790,ASSISTED LIVING RESIDENCE,LARIMER,3509 LOCHWOOD DRIVE,FORT COLLINS,CO,80525,ftcollins.ed@morningstarseniorliving.com, LIMITED LIABIL,FORT COLLINS SENIOR HOUSING I OPCO LLC,96
23A928,FLOURISH SUPPORTIVE LIVING AT PEAKVIEW,3038036977,ASSISTED LIVING RESIDENCE,JEFFERSON,8217 W PEAKVIEW DRIVE,LITTLETON,CO,80123,tdeshano@cqlhomes.com, LIMITED LIABIL,DESHANO CARE CENTERS LLC,8
23A930,STEPHENS FARM AT ADEO COLORADO,9705060008,ASSISTED LIVING RESIDENCES,WELD,2774 RESERVOIR ROAD,GREELEY,CO,80634,jpalmer@gciinc.org, CORPORATE NON-,"GREELEY CENTER FOR INDEPENDENCE, INC.",18
23A931,DOROTHY'S SOFT TOUCH IV,3035873578,ASSISTED LIVING RESIDENCE,ADAMS,790 UVALDA ST,AURORA,CO,80011,, CORPORATE NON-,DOROTHY'S SOFT TOUCH,8
23A936,PEARL ASSISTED LIVING LLC,3036461156,ASSISTED LIVING RESIDENCE,ELBERT,350 S PEARL STREET,ELIZABETH,CO,80107,mike@pearlassistedliving.com, LIMITED LIABIL,PEARL ASSISTED LIVING LLC,8
23A937,ROSE OF SHARON ASSISTED LIVING - WEAVER,3036273772,ASSISTED LIVING RESIDENCE,ARAPAHOE,17495 E WEAVER DRIVE,AURORA,CO,80016,, PROFIT-CORPORA,"ROSE OF SHARON ASSISTED LIVING, INC.",8
23A938,PRAIRIE PINES ASSISTED LIVING COMMUNITY,7194382141,ASSISTED LIVING RESIDENCE,KIOWA,101 E LOWELL AVENUE,EADS,CO,81036,, CORPORATE NON-,PRAIRIE PINES,24
23B428,ATRIA WESTMINSTER,7208059995,ASSISTED LIVING RESIDENCE,ADAMS,9560 SHERIDAN BLVD,WESTMINSTER,CO,80031,, LIMITED LIABIL,CA SENIOR WESTMINSTER OPERATOR LLC,149
23B430,SERENITY HOUSE ASSISTED LIVING PORTLAND DRIVE,3035848926,ASSISTED LIVING RESIDENCE,JEFFERSON,5286 W PORTLAND DRIVE,LITTLETON,CO,80128,michael.zislis@serenityhouse.net, PROFIT-CORPORA,SERENITY HOUSE ASSISTED LIVING INC.,8
23B432,WILLOWBROOK PLACE,3039483838,ASSISTED LIVING RESIDENCE,ARAPAHOE,5275 S KIPLING PARKWAY,LITTLETON,CO,80127,klugo@anthemmemeorycare.com, LIMITED LIABIL,ANTHEM KIPLING MANAGEMENT LLC,76
23B942,ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,3034788174,ASSISTED LIVING RESIDENCE,ARAPAHOE,2510 S HOLLY PLACE,DENVER,CO,80222,, PROFIT-CORPORA,ABUNDANT BLESSINGS AND CARE ASSISTED LIVING,8
23C440,FLOURISH SUPPORTIVE LIVING AT TEXAS,3038036977,ASSISTED LIVING RESIDENCE,JEFFERSON,9232 WEST TEXAS DRIVE,LAKEWOOD,CO,80232,tdeshano@cqlhomes.com, LIMITED LIABIL,DESHANO CARE CENTERS LLC,10
23C491,MEADOW HILLS MAKARIOS ASSISTED LIVING,3037362837,ASSISTED LIVING RESIDENCE,ADAMS,14691 E LEHIGH AVE,AURORA,CO,80014,, LIMITED LIABIL,MEADOW HILLS MAKARIOS ASSISTED LIVING LLC,15
23C498,CASTLE ROCK ASSISTED LIVING III,3038159347,ASSISTED LIVING RESIDENCE,DOUGLAS,2473 WOODHOUSE LANE,CASTLE ROCK,CO,80109,, LIMITED LIABIL,CASTLE ROCK ASSISTED LIVING III LLC,9
23C703,SPRUCE HOUSE,7195745894,ASSISTED LIVING RESIDENCES,EL PASO,2535 BRADY DRIVE,COLORADO SPRINGS,CO,80917,, LIMITED LIABIL,BRAINCARE LLC,8
23C876,HARMONY ASSISTED LIVING INC,3032333076,ASSISTED LIVING RESIDENCE,JEFFERSON,1355 AMMONS STREET,LAKEWOOD,CO,80214,info@livingatharmony.com, PROFIT-CORPORA,HARMONY ASSISTED LIVING INC,9
23C959,ROCKY MOUNTAIN ASSISTED LIVING 44TH AVE AL,3039966886,ASSISTED LIVING RESIDENCE,JEFFERSON,7850 WEST 44TH AVENUE,WHEAT RIDGE,CO,80033,, LIMITED LIABIL,ROCKY MOUNTAIN ASSISTED LIVING LLC,18
23D456,HAVEN OF CARE ASSISTED LIVING AT TOLLGATE CROSSING,3039477392,ASSISTED LIVING RESIDENCE,ARAPAHOE,5010 S DUQUESNE STREET,AURORA,CO,80016,mwrthoc@yahoo.com, LIMITED LIABIL,HAVEN OF CARE ASSISTED LIVING AT TOLLGATE CROSSING,12
23D971,SERENITY HOUSE ASSISTED LIVING APPLEWOOD,3034621096,ASSISTED LIVING RESIDENCE,JEFFERSON,11975 W 22ND PLACE,LAKEWOOD,CO,80215,michael.zislis@serenityhouse .net, PROFIT-CORPORA,SERENITY HOUSE ASSISTED LIVING INC.,8
23E900,SEVENS RESIDENTIAL MEMORY CARE,7204771727,ASSISTED LIVING RESIDENCE,JEFFERSON,1085 VIVIAN ST,LAKEWOOD,CO,80401,francisl@sevensrc.com, LIMITED LIABIL,L & M ALO 1 LLC,12
23E998,ROSEMARK AT MAYFAIR PARK,3037707673,ASSISTED LIVING RESIDENCE,DENVER,833 N JERSEY STREET,DENVER,CO,80220,, LIMITED LIABIL,ROSEMARK MAYFAIR LLC,98
23F100,ORCHARDS AT CRESTVIEW,7194736339,ASSISTED LIVING RESIDENCE,EL PASO,1409 E BUENA VENTURA ST,COLORADO SPRINGS,CO,80909,, PROFIT-CORPORA,PARENT CARE LIFE INC,11
23F490,PEAKVIEW ASSISTED LIVING AND MEMORY CARE,3035899962,ASSISTED LIVING RESIDENCE,ARAPAHOE,6021 SOUTH LIVERPOOL STREET,AURORA,CO,80016,jdavidson@spectrumretirement.com, LIMITED LIABIL,PEAKVIEW OPERATOR LLC,85
23F492,PARK REGENCY LOVELAND,9704611100,ASSISTED LIVING RESIDENCE,LARIMER,1875 FALL RIVER DRIVE,LOVELAND,CO,80538,kvasquez@ba.org, LIMITED LIABIL,BSLC LOVELAND LLC,129
23G116,COLORADO CAREASSIST CASCADE HOME,7193513573,ASSISTED LIVING RESIDENCE,EL PASO,2509 N CASCADE AVE,COLORADO SPRINGS,CO,80907,bonnie@coloradocareassist.com, LIMITED LIABIL,CCA CASCADE HOUSE LLC,8
23G499,TEMENOS ASSISTED LIVING,7204292355,ASSISTED LIVING RESIDENCE,JEFFERSON,12363 W 65TH AVENUE,ARVADA,CO,80004,temenosarvada@gmail.com, LIMITED LIABIL,"TEMENOS ASSISTED LIVING, LLC",7
23G501,ASPYRE AT ROCK CREEK,9703725838,ASSISTED LIVING RESIDENCE,LARIMER,3150 ROCK CREEK DRIVE,FORT COLLINS,CO,80528,, LIMITED LIABIL,FORT COLLINS MEMORY CARE LLC,64
23G509,MAPLE GROVE EAST AT CRESTVIEW ASSISTED LIVING,7194736339,ASSISTED LIVING RESIDENCE,EL PASO,1417 E BUENA VENTURA STREET,COLORADO SPRINGS,CO,80909,, PROFIT-CORPORA,PARENT CARE LIFE INC,11
23G551,FREEDOM HOME CLIFTON,7204363995,ASSISTED LIVING RESIDENCE,EL PASO,8395 CLIFTON DRIVE,COLORADO SPRINGS,CO,80920,, PROFIT-CORPORA,FREEDOM HOME ASSISTED LIVING INC,8
23G933,ROCKY MOUNTAIN ASSISTED LIVING,3034711914,ASSISTED LIVING RESIDENCE,ARAPAHOE,9970 SILVER MAPLE ROAD,HIGHLANDS RANCH,CO,80129,, LIMITED LIABIL,ROCKY MOUNTAIN ASSISTED LIVING LLC,10
23G942,SERENITY HOUSE ASSISTED LIVING HUNTERS HILL,3035848926,ASSISTED LIVING RESIDENCE,ARAPAHOE,8352 E HUNTERS HILL DRIVE,CENTENNIAL,CO,80112,, PROFIT-CORPORA,SERENITY HOUSE ASSISTED LIVING INC.,8
23H132,VI AT HIGHLANDS RANCH ASSISTED LIVING,7203487900,ASSISTED LIVING RESIDENCE,DOUGLAS,9085 RANCH RIVER CIRCLE,HIGHLANDS RANCH,CO,80126,mgsmigiel@viliving.com, PROFIT-CORPORA,"CC-DENVER, INC",36
23H517,ASSURED ASSISTED LIVING 6,3038410470,ASSISTED LIVING RESIDENCE,DOUGLAS,4837 WAGON TRAIL COURT,PARKER,CO,80134,francis@assuredal.com, LIMITED LIABIL,ASSURED ASSISTED LIVING LLC,8
23H523,KEYSTONE PLACE AT LEGACY RIDGE ASSISTED LIVING,3034655600,ASSISTED LIVING RESIDENCE,ADAMS,11150 IRVING DRIVE,WESTMINSTER,CO,80031,mward@keystonesenior.com, LIMITED LIABIL,KEYSTONE FEDERAL LLC,100
23H948,GOSHEN ASSISTED LIVING LLC,3033539041,ASSISTED LIVING RESIDENCE,ARAPAHOE,12099 E LOUISIANA AVENUE,AURORA,CO,80012,, LIMITED LIABIL,GOSHEN ASSISTED LIVING LLC,7
23H949,BALFOUR AT STAPLETON,7204920712,ASSISTED LIVING RESIDENCE,DENVER,2979 UINTA STREET,DENVER,CO,80238,tnitta@balfourcare.com, LIMITED LIABIL,WELL BALFOUR TENANT LLC,85
23I144,SERENITY HOUSE ASSISTED LIVING VI,3037619336,ASSISTED LIVING RESIDENCE,ARAPAHOE,3235 S HIGH STREET,ENGLEWOOD,CO,80113,zislis@msn.com, PROFIT-CORPORA,STRAUSS PROPERTIES,8
23I154,ST ANNA'S HOME,3036272986,ASSISTED LIVING RESIDENCE,ARAPAHOE,13901 E QUINCY AVENUE,AURORA,CO,80015,st.annashome@hotmail.com, CORPORATE NON-,"CONG. OF SISTERS/CHARITY/ST. VINCENT DE PAUL, CO",10
23I969,JAXPOINTE AT 63RD PLACE ASSISTED LIVING,3034209910,ASSISTED LIVING RESIDENCE,JEFFERSON,16495 W. 63RD PLACE,GOLDEN,CO,80403,info@jaxpointe.com, LIMITED LIABIL,ROBERT RUSSELL HOMES LLC,8
23J169,ASHLEY MANOR IRMA 1,3032807019,ASSISTED LIVING RESIDENCE,ADAMS,10527 IRMA DRIVE,NORTHGLENN,CO,80234,, LIMITED LIABIL,ASHLEY MANOR LLC,15
23J544,CASTLE ROCK ASSISTED LIVING II,3036630853,ASSISTED LIVING RESIDENCE,DOUGLAS,1768 ROSE PETAL LANE,CASTLE ROCK,CO,80109,, PROFIT-CORPORA,CASTLE ROCK ASSISTED LIVING II LLC,13
23J545,PEAK GARDENS ASSISTED LIVING INC,3039974876,ASSISTED LIVING RESIDENCE,JEFFERSON,2948 ROUTT CIRCLE,LAKEWOOD,CO,80215,, PROFIT-CORPORA,PEAK GARDENS ASSISTED LIVING INC,10
23J795,CLERMONT ASSISTED LIVING LLC,3038625602,ASSISTED LIVING RESIDENCE,ARAPAHOE,6563 S CLERMONT COURT,CENTENNIAL,CO,80121,bhensen@msn.com, LIMITED LIABIL,HC 2013 LLC,12
23J976,ASPEN HOUSE 1,9706359800,ASSISTED LIVING RESIDENCE,LARIMER,2212 EAST 11TH STREET,LOVELAND,CO,80537,, LIMITED LIABIL,MRSC CO ASPEN HOUSE MASTER TENANT LLC,40
23K101,CHARLESTON ASSISTED LIVING,7208835661,ASSISTED LIVING RESIDENCE,BOULDER,2866 IRONWOOD CIRCLE,ERIE,CO,80516,lisa.charlestonal@gmail.com,LIMITED LIABILITY,,8
23K182,CHERRY HILLS ASSISTED LIVING AND MEMORY CARE,7203985692,ASSISTED LIVING RESIDENCE,ARAPAHOE,6325 SOUTH UNIVERSITY BOULEVARD,CENTENNIAL,CO,80121,, LIMITED LIABIL,CHAL LLC,94
23K558,KRAFT HOME INC,3032882851,ASSISTED LIVING RESIDENCE,ADAMS,8154 DOWNING DRIVE,DENVER,CO,80229,jkraft35@yahoo.com, PROFIT-CORPORA,KRAFT HOME INC.,8
23K560,LIGHTHOUSE ASSISTED LIVING INC-STEELE HOUSE,7204890864,ASSISTED LIVING RESIDENCE,ARAPAHOE,6700 SOUTH STEELE STREET,CENTENNIAL,CO,80122,tom@lighthouseassistedliving.com, PROFIT-CORPORA,LIGHTHOUSE ASSISTED LIVING,8
23L106,SLP COLORADO,7204125730,ASSISTED LIVING RESIDENCE,DOUGLAS,10706 FLAGLER DR,PARKER,CO,80134,, LIMITED LIABIL,TBI COLORADO LLC,8
23L108,BALFOUR AT LONGMONT,7208307480,ASSISTED LIVING RESIDENCE,BOULDER,1850 S HOVER ST,LONGMONT,CO,80501,, LIMITED LIABIL,"BSL LONGMONT MANAGEMENT CO, LLC",160
23L115,GOOD SAMARITAN SOCIETY ESTES PARK VILLAGE,9705777700,ASSISTED LIVING RESIDENCE,LARIMER,1901 PTARMIGAN TRAIL,ESTES PARK,CO,80517,jlee1@good-sam.com, CORPORATE NON-,"EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY, THE",30
23L190,ATRIA LONGMONT,3036785050,ASSISTED LIVING RESIDENCE,BOULDER,2310 9TH AVENUE,LONGMONT,CO,80503,, LIMITED LIABIL,WG VISTAS LONGMONT LLC,100
23L199,HIGHLINE PLACE,3037033499,ASSISTED LIVING RESIDENCE,ARAPAHOE,6767 S BROADWAY,LITTLETON,CO,80122,tcolvin@anthemmemorycare.com, LIMITED LIABIL,ANTHEM LITTLETON MANGEMENT LLC,76
23L202,ASSURED ASSISTED LIVING 1,3036634881,ASSISTED LIVING RESIDENCE,DOUGLAS,1687 PAONIA COURT,CASTLE ROCK,CO,80109,francis@assuredal.com, LIMITED LIABIL,ASSURED ASSISTED LIVING LLC,9
23L573,GABRIEL ASSISTED LIVING,3039540531,ASSISTED LIVING RESIDENCE,ARAPAHOE,5235 S LIVERPOOL WAY,CENTENNIAL,CO,80015,gomgom_siregar@yahoo.com, LIMITED LIABIL,GABRIEL ASSISTED LIVING,7
23L575,RENEW SADDLE ROCK,3037668867,ASSISTED LIVING RESIDENCE,ARAPAHOE,7475 S SHAWNEE STREET,AURORA,CO,80016,, LIMITED LIABIL,FIRST PHOENIX-AURORA LLC,64
23L627,ASPEN LEAF ASSISTED LVG RESIDENCE CIRCLE LANE INC,7197759031,ASSISTED LIVING RESIDENCE,LINCOLN,1750 CIRCLE LANE,LIMON,CO,80828,, PROFIT-CORPORA,ASPEN LEAF ASSISTED LIVING RESIDENCE CIRCLE LANE I,28
23M128,SLP COLORADO,7204125730,ASSISTED LIVING RESIDENCES,DOUGLAS,10706 FLAGLER DR,PARKER,CO,80134,,NO VALUE ENTERED,,8
