State Facility Type 2 Literal,Facility ID,License Number,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Capacity,Licensee,Ownership Type,Latitude,Longitude
ASSISTED LIVING RESIDENCE,NJ15A006,15a006,Atria Voorhees Assisted Living Residence,1301 LAUREL OAK ROAD,VOORHEES,NJ,8043,CAMDEN,(856) 783-8383,lee.gillis@atriaseniorliving.com,94,"HCP VOORHEES TOWNSHIP NJ OPCO, LLC",,39.848086,-74.969104
ASSISTED LIVING RESIDENCE,NJ13A021,13A021,Atria Waldwick,245 WYCKOFF AVENUE,WALDWICK,NJ,7463,BERGEN,(610) 229-9072,michael.moralessr@atriaseniorliving.com,186,"FSP-WALDWICK PROPERTY, LLC",,,
ASSISTED LIVING RESIDENCE,NJ55A006,55a006,Atrium Senior Living of Matawan,40 FRENEAU AVENUE,MATAWAN,NJ,7747,MONMOUTH,(732) 566-0800,Dbrito@atriumhsl.com,70,38-40 FRENEAU AVENUE OPERATING COMPANY LLC,Profit - LLC,40.399976,-74.237475
ASSISTED LIVING RESIDENCE,NJ5A001,05A001,Atrium Senior Living of Park Ridge,124 NOYES DRIVE,PARK RIDGE,NJ,7656,BERGEN,(201) 782-0440,SCohen@spring-hills.net,155,120-124 NOYES DRIVE OPERATING COMPANY LLC,Profit - LLC,41.0382039,-74.0325269
ASSISTED LIVING RESIDENCE,NJ90112,90112,Atrium Senior Living of Princeton,1000 WINDROW DRIVE,PRINCETON,NJ,8540,MERCER,(609) 514-9111,BKiefer@atriumhsl.com,113,1000 3000 5000 WINDROW DRIVE OPERATING COMPANY LLC,Profit - LLC,40.3811476,-74.6219905
ASSISTED LIVING RESIDENCE,NJ80A006,80A006,Avalon at Bridgewater,565 STATE HIGHWAY 28,BRIDGEWATER,NJ,8807,SOMERSET,(908) 707-8800,lallen@bridgewayseniorcare.com,74,BRIDGEWAY ASSISTED LIVING LLC,Profit - LLC,40.584604,-74.644043
ASSISTED LIVING RESIDENCE,NJ80A113,80A113,The Avalon At Hillsborough,393 AMWELL ROAD,HILLSBOROUGH,NJ,8844,SOMERSET,(908) 874-7200,kgursky@bridgewayseniorcare.com,97,"PILGRIM RIVER, LLC",Profit - Corporation,40.5011222,-74.6379204
ASSISTED LIVING RESIDENCE,NJ25A000,25A000,Baker Place,685 S. BREWSTER ROAD,VINELAND,NJ,8360,CUMBERLAND,(856) 691-9111,jdasilva@enlivant.com,47,BAKER AID OPCO LLC,,39.5082334,-74.9742707
ASSISTED LIVING RESIDENCE,NJ90115,90115,Bayside Manor,7 LAUREL AVENUE,KEANSBURG,NJ,7734,MONMOUTH,(732) 471-1600,anthony@baysidemanor.com,146,TRC REALTY CORPORATION,,40.449814,-74.144243
ASSISTED LIVING RESIDENCE,NJ8HEV7E,8HEV7E,Bear Creek Assisted Living,291 VILLAGE ROAD EAST,WEST WINDSOR,NJ,8550,MERCER,(609) 918-1075,amy.goldich@bearcreekassistedliving.com,100,"VILLAGE SENIOR CARE, LLC",Profit - LLC,40.2680269,-74.59416
ASSISTED LIVING RESIDENCE,NJ65A008,65A008,Bella Terra Assisted Living Residence,2 KATHLEEN DRIVE,JACKSON,NJ,8527,OCEAN,(732) 730-9500,fevegan@seniorlifestyle.com,107,"SL BELLA TERRA, L.L.C.",Profit - Corporation,40.1279139,-74.26683
ASSISTED LIVING RESIDENCE,NJ60A008,60A008,Bentley Commons at Paragon Village,425/427 ROUTE 46 EAST,HACKETTSTOWN,NJ,7840,MORRIS,(908) 979-9080,rdioguardi@kapdev.com,82,"KDG PARAGON, LLC",Profit - LLC,40.8560299,-74.763458
ASSISTED LIVING RESIDENCE,NJ80A004,80A004,Brandywine Living at Middlebrook Crossing,2005 ROUTE 22 WEST,BRIDGEWATER,NJ,8807,SOMERSET,(732) 868-8181,nsnyder@brandycare.com,128,WELL BL OPCO LLC,,40.583789,-74.516487
ASSISTED LIVING RESIDENCE,NJ10A002,10A002,Brandywine Living at Moorestown Estates,1205 N. CHURCH STREET,MOORESTOWN,NJ,8057,BURLINGTON,(856) 778-0600,moorestowned@brandycare.com,122,WELL BL OPCO LLC,,39.9723,-74.9689
ASSISTED LIVING RESIDENCE,NJ1A000,01A000,Brandywine Living at Brandall Estates,432 CENTRAL AVENUE,LINWOOD,NJ,8221,ATLANTIC,(609) 926-4663,mrepkoe@brandycare.com,100,WELL BL OPCO LLC,,39.359487,-74.568948
ASSISTED LIVING RESIDENCE,NJ55A002,55A002,Brandywine Living at Governor's Crossing,49 LASATTA AVENUE,ENGLISHTOWN,NJ,7726,MONMOUTH,(732) 786-1000,awillner@brandycare.com,110,WELL BL OPCO LLC,,40.297039,-74.370081
ASSISTED LIVING RESIDENCE,NJ04A022,04A022,Brandywine Living at Haddonfield,132 WARWICK ROAD,HADDONFIELD,NJ,8033,CAMDEN,(856) 429-5500,jpellliccione@brandycare.com,58,WELL BL OPCO LLC,,,
ASSISTED LIVING RESIDENCE,C9LQB9,C9LQB9,Brandywine Living at Howell,100 MERIDIAN PLACE,HOWELL,NJ,7731,MONMOUTH,(732) 719-0100,amanasso@brandycare.com,120,WELL BRANDYWINE HOWELL LLC,,40.177545,-74.24451
ASSISTED LIVING RESIDENCE,NJ07A021,07A021,Brandywine Living At Livingston,369 EAST MT PLEASANT AVENUE,LIVINGSTON,NJ,7039,ESSEX,(973) 251-0600,jjoseph@brandycare.com,150,WELL BL OPCO LLC,,,
ASSISTED LIVING RESIDENCE,NJ02A024,02A024,Brandywine Living At Mahwah,814 WYCKOFF AVENUE,MAHWAH,NJ,7430,BERGEN,(201) 800-8070,MKOLDYS@brandycare.com,107,WELL BL OPCO LLC,,,
ASSISTED LIVING RESIDENCE,NJ80A005,80a005,Brandywine Living at Mountain Ridge,680 MOUNTAIN BOULEVARD,WATCHUNG,NJ,7069,SOMERSET,(908) 754-8180, mmilano@brandycare.com,119,WELL BL OPCO LLC,,40.62523,-74.476392
ASSISTED LIVING RESIDENCE,ZRXUPT,ZRXUPT,Brandywine Living at Pennington,143 WEST FRANKLIN AVENUE,PENNINGTON,NJ,8534,MERCER,(609) 730-9922,emoyle@brandycare.com,119,WELL BL OPCO LLC,,40.3320612,-74.7974549
ASSISTED LIVING RESIDENCE,LHR4HN,LHR4HN,Brandywine Living at Princeton,155 RAYMOND ROAD,PRINCETON,NJ,8540,MERCER,(732) 329-8888,smoore@brandycare.com,124,WELL BL OPCO LLC,,40.3810067,-74.5972429
ASSISTED LIVING RESIDENCE,NJ65A005,65a005,Brandywine Living at Reflections,1594 ROUTE 88,BRICK,NJ,8724,OCEAN,(732) 785-3370,mhingher@brandycare.com,52,WELL BL OPCO LLC,,40.0781376,-74.1366007
ASSISTED LIVING RESIDENCE,7EKKEK,7EKKEK,Brandywine Living at Reflections at Colts Neck,3 MERIDIAN CIRCLE,COLTS NECK,NJ,7722,MONMOUTH,(732) 303-3100,coltsnecked@brandycare.com,72,WELL BL OPCO LLC,,40.2765879,-74.172028
ASSISTED LIVING RESIDENCE,NJ90A001,90a001,BRANDYWINE LIVING AT SUMMIT,41 SPRINGFIELD AVENUE,SUMMIT,NJ,7901,UNION,(908) 522-8852,Sheaney@capitalseniorliving.net,98,WELL BL PORTFOLIO 1 OPCO LLC,,40.7179,-74.3343
ASSISTED LIVING RESIDENCE,NJ90143,90143,Brandywine Living at The Gables,515 JACK MARTIN BLVD,BRICK,NJ,8723,OCEAN,(732) 836-1400,goldsteinm@brandycare.com,99,WELL BL OPCO LLC,,40.0812474,-74.1376101
ASSISTED LIVING RESIDENCE,NJ55A007,55A007,Brandywine Living at The Sycamore,5 MERIDIAN WAY,SHREWSBURY,NJ,7702,MONMOUTH,(732) 212-2600,hminnis@brandycare.com,130,WELL BL OPCO LLC,,40.3170549,-74.0665498
ASSISTED LIVING RESIDENCE,NJ04013,4013,Brandywine Living At Voorhees,311 ROUTE 73 SOUTH,VOORHEES,NJ,8043,CAMDEN,(856) 424-0004,kconnell@brandycare.com,120,WELL BL OPCO LLC,,39.850083,-74.924389
ASSISTED LIVING RESIDENCE,NJ55A112,55A112,Brandywine Living at Wall,2021 HIGHWAY 35,WALL,NJ,7719,MONMOUTH,(732) 282-1910,kharper@brandycare.com,103,WELL BL OPCO LLC,,40.1512224,-74.0563604
ASSISTED LIVING RESIDENCE,NJ47A003,47a003,BRANDYWINE SERENADE AT PRINCETON,775 MT. LUCAS ROAD,PRINCETON,NJ,8540,MERCER,(609) 430-4000,executivedirector@acornglen.com,120,WELL BL PORTFOLIO 1 OPCO LLC,,40.385582,-74.65264
ASSISTED LIVING RESIDENCE,NJ50A001,50A001,Brighton Gardens of Edison,1801 OAK TREE ROAD,EDISON,NJ,8820,MIDDLESEX,(732) 767-1031,Edison.ED@sunriseseniorliving.com,118,WELLTOWER OPCO GROUP LLC,Profit - LLC,40.5720086,-74.3510294
ASSISTED LIVING RESIDENCE,NJ60A001,60A001,Brighton Gardens of Florham Park,21 RIDGEDALE AVENUE,FLORHAM PARK,NJ,7932,MORRIS,(973) 966-8999,florhampark.ed@sunriseseniorliving.com,132,"HCP FLORHAM PARK NJ OPCO, LLC",,40.7734936,-74.401897
ASSISTED LIVING RESIDENCE,NJ65A000,65A000,Brighton Gardens of Leisure Park,1400 ROUTE 70,LAKEWOOD,NJ,8701,OCEAN,(732) 370-0444,SRYAN@5SSL.COM,110,SNH NJ TENANT LLC,,40.053926,-74.1721855
ASSISTED LIVING RESIDENCE,NJ55A001,55A001,Brighton Gardens of Middletown,620 STATE HIGHWAY 35 SOUTH,MIDDLETOWN,NJ,7748,MONMOUTH,(732) 275-0790,middletown.BM@sunriseseniorliving.com,132,"PRIME CARE ONE, LLC",Profit - LLC,40.38192,-74.094397
ASSISTED LIVING RESIDENCE,NJ90122,90122,Brighton Gardens of Mountainside,1350 ROUTE 22 WEST,MOUNTAINSIDE,NJ,7092,UNION,(908) 654-4460,mountainside.ed@sunriseseniorliving.com,141,"PRIME CARE ONE, LLC",Profit - LLC,40.6733869,-74.3530281
ASSISTED LIVING RESIDENCE,NJ5A002,05A002,Brighton Gardens of Saddle River,5 BOROLINE ROAD,SADDLE RIVER,NJ,7458,BERGEN,(201) 818-8680,saddleriver.ed@sunriseseniorliving.com,132,"HCP SADDLE RIVER NJ OPCO, LLC",,41.035548,-74.114137
ASSISTED LIVING RESIDENCE,NJ30A004,30A004,Brighton Gardens of West Orange,220 PLEASANT VALLEY WAY,WEST ORANGE,NJ,7052,ESSEX,(973) 731-9840,WestOrange.ED@sunriseseniorliving.com,132,"HCP ORANGE NJ OPCO, LLC",,40.817305,-74.253911
ASSISTED LIVING RESIDENCE,NJ03A007,03A007,Brightview Greentree,170 GREENTREE ROAD,MARLTON,NJ,8053,BURLINGTON,(856) 810-0070,jsteen@bvsl.net,99,"SHP IV GREENTREE, LLC",Profit - LLC,39.9131,-74.9269
ASSISTED LIVING RESIDENCE,NJ90106,90106,Brightview Mount Laurel,400 FERNBROOKE LANE,MOUNT LAUREL,NJ,8054,BURLINGTON,(856) 222-1213,lclinkscales@bvsl.net,108,"SHP IV MT. LAUREL, LLC",Profit - LLC,39.9564,-74.8999
ASSISTED LIVING RESIDENCE,NJ02A020A,02A020,Brightview Paramus,396 FOREST AVENUE,PARAMUS,NJ,7652,BERGEN,(201) 957-1966,pfarewege@bvsl.net,90,"BRIGHTVIEW PARAMUS, LLC",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ60A013,60A013,"Brightview Randolph, LLC",175 QUAKER CHURCH ROAD,RANDOLPH,NJ,7869,MORRIS,(973) 348-9857,cmvrin@bvsi.net,75,"BRIGHTVIEW RANDOLPH, LLC",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ02A023,02A023,Brightview Tenafly,55 HUDSON AVENUE,TENAFLY,NJ,7670,BERGEN,(201) 510-2060,dcousins@bvsl.net,120,"BRIGHTVIEW TENAFLY, LLC",Profit - LLC,,
ASSISTED LIVING RESIDENCE,NJ18A007,18A007,Brightview Warren,57 MT BETHEL ROAD,WARREN,NJ,7059,SOMERSET,(908) 756-3790,sbruncati@bvsl.net,120,"BRIGHTVIEW WARREN, LLC",,,
ASSISTED LIVING RESIDENCE,NJ02A029,02A029,"Bristal At Englewood, The",412 SOUTH VAN BRUNT STREET,ENGLEWOOD,NJ,7631,BERGEN,(551) 775-6100,mmckeon@ultimatecaremgmt.com,288,"EB CARE AT ENGLEWOOD, LLC",,,
ASSISTED LIVING RESIDENCE,NJAL18002,AL18002,"Bristal At Somerset, The",1850 EASTON AVENUE,SOMERSET,NJ,8873,SOMERSET,(516) 747-1200,MMCKEON@ULTIMATECAREMGMT.COM,156,"SOMERSET SENIOR CARE,LLC",,,
ASSISTED LIVING RESIDENCE,NJ16A023,16A023,The Bristal At Wayne,1440 HAMBURG TURNPIKE,WAYNE,NJ,7470,PASSAIC,(973) 987-3600,mmckeon@ultimatecaremgmt.com,170,"ENGEL BURMAN AT WAYNE, LLC",,,
ASSISTED LIVING RESIDENCE,NJ02A016,02A016,The Bristal At Woodcliff Lake,364 CHESTNUT RIDGE ROAD,WOODCLIFF LAKE,NJ,7677,BERGEN,(201) 505-9500,Bpastor@ultimatecaremgmt.com,160,"WOODCLIFF LAKE SENIOR CARE, LLC",,,
ASSISTED LIVING RESIDENCE,NJ20A001,20A001,Brookdale Cape May,591 ROUTE 9 SOUTH,CAPE MAY COURT HOUSE,NJ,8210,CAPE MAY,(609) 463-6344,yvonne.sullivan@brookdale.com,146,EMERITUS CORPORATION,Profit - Corporation,39.0739312,-74.8283518
ASSISTED LIVING RESIDENCE,NJ5A004,05A004,Brookdale Emerson,590 OLD HOOK ROAD,EMERSON,NJ,7630,BERGEN,(201) 986-9009,amoore104@brookdale.com,105,"BREA EMERSON, LLC",Profit - LLC,40.9806167,-74.0026403
ASSISTED LIVING RESIDENCE,NJ15A000,15A000,Brookdale Evesham,ONE BRENDENWOOD DRIVE,VOORHEES,NJ,8043,CAMDEN,(856) 424-7773,JGarcia35@brookdale.com,200,"BLC-BRENDENWOOD, LLC",Profit - LLC,39.8721779,-74.9329522
ASSISTED LIVING RESIDENCE,NJ10A001,10a001,Brookdale Florence,901 BROAD STREET,FLORENCE,NJ,8518,BURLINGTON,(609) 499-6662,dgordon16@brookdale.com,46,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",Profit - Corporation,40.1128,-74.8092
ASSISTED LIVING RESIDENCE,NJ60A000,60a000,Brookdale Florham Park,8 JAMES STREET,FLORHAM PARK,NJ,7932,MORRIS,(973) 443-0444,Lgaspard-craan@brookdale.com,77,"AHC FLORHAM PARK, LLC",Profit - LLC,40.7890358,-74.387091
ASSISTED LIVING RESIDENCE,NJ47A000,47a000,Brookdale Hamilton,1645 WHITEHORSE-MERCERVILLE ROAD,TRENTON,NJ,8619,MERCER,(609) 586-4000,ericigliani@brookdale.com,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC",Profit - Corporation,40.221014,-74.688068
ASSISTED LIVING RESIDENCE,NJ80A002,80a002,Brookdale Hillsborough,600 AUTEN ROAD,HILLSBOROUGH,NJ,8844,SOMERSET,(908) 431-1300,michael.juliano@brookdale.com,94,"SUMMERVILLE AT HILLSBOROUGH, LLC",Profit - LLC,40.5023131,-74.6593798
ASSISTED LIVING RESIDENCE,NJ50A003,50a003,Brookdale Monroe,380 FORSGATE DRIVE,MONROE TOWNSHIP,NJ,8831,MIDDLESEX,(609) 409-7525,Blavelle1@brookdale.com,116,"AHC MONROE TOWNSHIP, LLC",Profit - LLC,40.3415619,-74.4575611
ASSISTED LIVING RESIDENCE,NJ5A006,05A006,Brookdale Paramus,186 PARAMUS ROAD,PARAMUS,NJ,7652,BERGEN,(201) 251-9600,ccarnes3@brookdale.com,140,"S-H OPCO PARAMUS, LLC",Profit - LLC,40.938764,-74.091523
ASSISTED LIVING RESIDENCE,NJ70A003,70A003,Brookdale Wayne,820 HAMBURG TURNPIKE,WAYNE,NJ,7470,PASSAIC,(973) 942-4800,Ashley.mastroianni@brookdale.com,105,"BREA WAYNE, LLC",Profit - LLC,40.9582838,-74.2253553
