FACILITY_TYPE,FACID,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,Lic_Expires,Lic_Beds_Slots,ADMIN,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,RunDate,LAT,LNG
ADULT DAY HEALTH CARE SERVICES,NJ708117,708117,A Plus Adult Medical Day Care,A PLUS ADULT MEDICAL DAY CARE,575 EAST 18TH STREET, ,PATERSON,NJ,07514,"PATERSON, NJ  07514",PASSAIC,(973) 977-9100,(973) 977-2023,aplusadmi36@gmail.com,7/31/21,120,Ms. SHARON GIRDLEY,"A PLUS ADULT MEDICAL DAY CARE, LLC",112 CHEYENNE WAY,"WAYNE, NJ  07470",Profit - LLC,6/15/21,40.9204713,-74.1549619
ADULT DAY HEALTH CARE SERVICES,D6OGUT,D6OGUT,ACTIVE DAY AT CASA MANITO,ACTIVE DAY AT CASA MANITO,324 55TH STREET, ,WEST NEW YORK,NJ,07093,"WEST NEW YORK, NJ  07093",HUDSON,(201) 223-6800,(201) 223-6885,gweatherstone@activeday.com,6/30/22,125,. VERONICA LOPEZ,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,40.7846422,-74.0160447
ADULT DAY HEALTH CARE SERVICES,NJ658335,658335,Active Day of Brick,ACTIVE DAY OF BRICK,2125 ROUTE 88, ,BRICK,NJ,08724,"BRICK, NJ  08724",OCEAN,(732) 899-1331,(732) 899-1321,brick@activeday.com,11/30/21,90,. KAREN FRATE,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,40.0764244,-74.1019047
ADULT DAY HEALTH CARE SERVICES,NJ83002,83002,Active Day of Bridgeton,ACTIVE DAY OF BRIDGETON,1137 HIGHWAY 77, ,UPPER DEERFIELD TOWN,NJ,08302,"UPPER DEERFIELD TOWN, NJ  08302",CUMBERLAND,(856) 451-7227,(856) 451-4102,gweatherstone@activeday.com,11/30/21,160,. PATRICIA MALINOWSKI,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.471565,-75.205525
ADULT DAY HEALTH CARE SERVICES,NJ80471,80471,Active Day of Camden,ACTIVE DAY OF CAMDEN,"1000 ATLANTIC AVENUE, SUITE 110", ,CAMDEN,NJ,08104,"CAMDEN, NJ  08104",CAMDEN,(856) 246-3350,          ,gweatherstone@activeday.com,11/30/21,100,. ROBIN SMITH,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.928557,-75.107995
ADULT DAY HEALTH CARE SERVICES,NJ208220,208220,Active Day Of Cape May County,ACTIVE DAY OF CAPE MAY COUNTY,211 SOUTH MAIN STREET, ,CAPE MAY COURT HOUSE,NJ,08210,"CAPE MAY COURT HOUSE, NJ  08210",CAPE MAY,(609) 465-8840,(609) 465-8841,gweatherstone@activeday.com,11/30/21,90,. RACHELLE CAUSEY,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.0796732,-74.8249966
ADULT DAY HEALTH CARE SERVICES,NJ81770,081770,Active Day of Carneys Point,ACTIVE DAY OF CARNEYS POINT,435 HARDING HIGHWAY, ,CARNEYS POINT,NJ,08069,"CARNEYS POINT, NJ  08069",SALEM,(856) 878-6035,(856) 299-0140,carneyspoint@activeday.com,11/30/21,100,. DELSHAWN SANTIAGO,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.5713823,-75.4658336
ADULT DAY HEALTH CARE SERVICES,NJ108100,108100,Active Day of Delran,ACTIVE DAY OF DELRAN,8008 US ROUTE 130, ,DELRAN,NJ,08075,"DELRAN, NJ  08075",BURLINGTON,(856) 461-1700,          ,gweatherstone@activeday.com,11/30/21,112,. DIANA KOENIG,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,40.0237551,-74.9389122
ADULT DAY HEALTH CARE SERVICES,NJ18100,18100,Active Day of Galloway,ACTIVE DAY OF GALLOWAY,76 WEST JIMMIE LEEDS RD, ,ABSECON,NJ,08201,"ABSECON, NJ  08201",ATLANTIC,(609) 652-3600,          ,gweatherstone@activeday.com,11/30/21,100,Ms. DEBORAH ZALOT,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.475088,-74.543842
ADULT DAY HEALTH CARE SERVICES,NJ81170,081170,Active Day of Hamilton,ACTIVE DAY OF HAMILTON,410 WHITEHEAD ROAD, ,HAMILTON,NJ,08619,"HAMILTON, NJ  08619",MERCER,(609) 883-0200,(609) 883-1974,gweatherstone@activeday.com,11/30/20,110,Mr. STAN DERVECH,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,40.2508092,-74.7700525
ADULT DAY HEALTH CARE SERVICES,NJ80470,080470,Active Day of Laurel Springs,ACTIVE DAY OF LAUREL SPRINGS,1361 CHEWS LANDING ROAD, ,LAUREL SPRINGS,NJ,08021,"LAUREL SPRINGS, NJ  08021",CAMDEN,(856) 784-4000,(856) 566-1030,gweatherstone@activeday.com,11/30/21,110,Ms. JOSEPHINE WASHINGTON,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.822528,-75.0438212
ADULT DAY HEALTH CARE SERVICES,NJ158100,158100,Active Day of Marlton,ACTIVE DAY OF MARLTON,556A LIPPINCOTT DRIVE, ,MARLTON,NJ,08053,"MARLTON, NJ  08053",BURLINGTON,(856) 988-3250,          ,GWEATHERSTONE@ACTIVEDAY.COM,11/30/21,135,Ms. CATHERINE NELSON,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.8814094,-74.9254707
ADULT DAY HEALTH CARE SERVICES,L9NOH7,L9N0H7,ACTIVE DAY OF NORTH BERGEN,ACTIVE DAY OF NORTH BERGEN,6201 GRAND AVENUE, ,NORTH BERGEN,NJ,07047,"NORTH BERGEN, NJ  07047",HUDSON,(201) 869-4443,(201) 869-0814,gweatherstone@activeday.com,6/30/22,100,. JENNY NOVOA,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,40.7948152,-74.0225973
ADULT DAY HEALTH CARE SERVICES,NJ80670,080670,Active Day of Vineland,ACTIVE DAY OF VINELAND,2695 SOUTH LINCOLN AVENUE, ,VINELAND,NJ,08361,"VINELAND, NJ  08361",CUMBERLAND,(856) 691-3756,          ,gweatherstone@activeday.com,11/30/21,100,. KATHY BECKETT,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.445641,-74.998367
ADULT DAY HEALTH CARE SERVICES,NJ358100,358100,Active Day of Washington Township,ACTIVE DAY OF WASHINGTON TOWN,123 EGG HARBOR ROAD, ,SEWELL,NJ,08080,"SEWELL, NJ  08080",GLOUCESTER,(856) 227-1377,          ,gweatherstone@activeday.com,11/30/21,110,Ms. TRICIA DILISCIANDRO,"SENIOR CARE CENTERS OF AMERICA, INC.","6 NESHAMINY INTERPLEX, SUITE 401","TREVOSE, PA  19053",Profit - Corporation,6/15/21,39.7814809,-75.0995287
ADULT DAY HEALTH CARE SERVICES,NJ808311,808311,Adult Learning Center At Hillsborough,ADULT LEARNING CENTER AT HILLSBOROUGH,216 RT 206 S SUITE 3 & 4, ,HILLSBOROUGH,NJ,08844,"HILLSBOROUGH, NJ  08844",SOMERSET,(908) 904-1055,(908) 904-1035,"sbielefeldt@matheny,org",11/30/20,30,Mr. SEAN BIELEFELDT,"THE MATHENY SCHOOL AND HOSPITAL, INC.",65 HIGHLAND AVENUE,"PEAPACK, NJ  07977",NonProfit - Corporation,6/15/21,40.5289938,-74.6258293
ADULT DAY HEALTH CARE SERVICES,NJ408112,408112,AdultCare Adult Day Care,ADULTCARE ADULT DAY CARE,1607 MANHATTAN AVENUE, ,UNION CITY,NJ,07087,"UNION CITY, NJ  07087",HUDSON,(201) 864-5400,(201) 864-1512,carzak@gmail.com,12/31/21,89,Ms. IRIS NEGRON,"ADULTCARE, INC.",1607 MANAHATTAN AVENUE,"UNION CITY, NJ  07087",Profit - Corporation,6/15/21,40.7612877,-74.0323495
ADULT DAY HEALTH CARE SERVICES,NJ408200,408200,Advanced Services International Day Care Plus,ADVANCED SERVICES INTERNATIONAL DAY CARE PLUS,49-51 MORTON PLACE, ,JERSEY CITY,NJ,07305,"JERSEY CITY, NJ  07305",HUDSON,(201) 209-0001,(201) 209-1333,njadvanced@yahoo.com,4/30/22,110,Ms. ILONA MAZOR,"ADVANCED SERVICES INTERNATIONAL, INC.",49-51 MORTON PLACE,"JERSEY CITY, NJ  07305",Profit - Corporation,6/15/21,40.7133645,-74.0837854
ADULT DAY HEALTH CARE SERVICES,NJ556215,556215,All In A Day Medical Daycare Center,ALL IN A DAY MEDICAL DAY CARE CENTER,104 PENSION ROAD, ,ENGLISHTOWN,NJ,07726,"ENGLISHTOWN, NJ  07726",MONMOUTH,(732) 792-2273,(732) 792-2322,admin@alldayadultcare.com,6/30/22,60,Ms. KELLY RAIKE,"ALL IN A DAY ADULT MEDICAL DAY CARE, LLC",104 PENSION ROAD,"ENGLISHTOWN, NJ  07726",Profit - LLC,6/15/21,40.316194,-74.3482439
ADULT DAY HEALTH CARE SERVICES,NJ83010,83010,Allaire Care,ALLAIRE CARE,1979 ROUTE 34 SOUTH, ,WALL,NJ,07719,"WALL, NJ  07719",MONMOUTH,(732) 974-7666,(732) 974-2261,allairecare@yahoo.com,9/30/21,62,Ms. KRISTIN FLOOD,"R.H.C. ADC, INC",11 BROOK AVENUE,"EDISON, NJ  08820",Profit - Corporation,6/15/21,40.151262,-74.097371
ADULT DAY HEALTH CARE SERVICES,NJ04008,04008,"Alliance AMDC, LLC","ALLIANCE AMDC, LLC",607 S WHITEHORSE PIKE, ,AUDUBON,NJ,08106,"AUDUBON, NJ  08106",CAMDEN,(856) 617-6396,(856) 617-0817,jkaur.aamdc@gmail.com,3/31/22,83,Ms. YEIDY MARRERO,"ALLIANCE AMDC, LLC",607 S WHITE HORSE PIKE,"AUDUBON, NJ  08106",,6/15/21,39.943727,-75.094975
ADULT DAY HEALTH CARE SERVICES,NJ508101,508101,Always at Home,ALWAYS AT HOME,8A JOCAMA BLVD, ,OLD BRIDGE,NJ,08857,"OLD BRIDGE, NJ  08857",MIDDLESEX,(732) 591-9155,(732) 591-9611,alwayshomeADC@gmail.com,12/31/21,120,Mr. AMRISH BHIMANI,"RELIANCE ADULT DAY CARE, INC",11 BROOK AVENUE,"EDISON, NJ  08820",Profit - Corporation,6/15/21,40.3748471,-74.3048093
ADULT DAY HEALTH CARE SERVICES,NJ80187,080187,Ambassador Medical Day Care,AMBASSADOR MEDICAL DAY CARE,619 RIVER AVENUE, ,LAKEWOOD,NJ,08701,"LAKEWOOD, NJ  08701",OCEAN,(732) 367-1133,(732) 370-1087,leah@ambassadordaycare.com,11/30/21,90,Mr. MORDECHAI GRUBIN,AMBASSADOR HATZLACHA LLC,1770 W. KENNEDY BLVD,"LAKEWOOD, NJ  08701",Profit - LLC,6/15/21,40.073068,-74.216907
ADULT DAY HEALTH CARE SERVICES,NJ908300,908300,AristaCare at Norwood Terrace,ARISTACARE AT NORWOOD TERRACE,40-44 NORWOOD AVENUE, ,PLAINFIELD,NJ,07060,"PLAINFIELD, NJ  07060",UNION,(908) 769-1400,(908) 769-8092,iklein@aristacare.com,2/28/22,30,Mr. ISRAEL KLEIN,NORWOOD TERRACE NURSING AND REHABILITATION CENTER,40-44 NORWOOD AVENUE,"PLAINFIELD, NJ  ",Profit - Partnership,6/15/21,40.6265,-74.4188
ADULT DAY HEALTH CARE SERVICES,NJNE6M6S,NE6M6S,Atlantic Adult Day Health Care,ATLANTIC ADULT DAY HEALTH CARE,"331 TILTON ROAD, SUITE 2A", ,NORTHFIELD,NJ,08225,"NORTHFIELD, NJ  08225",ATLANTIC,(609) 383-3313,(609) 383-1600,mihirpatel1@yahoo.com,7/31/21,150,Ms. DIANE OTT,ATLANTIC ADULT DAY HEALTH CARE LLC,1781 WOODLYNNE AVENUE,"EDISON, NJ  08820",Profit - LLC,6/15/21,39.3860918,-74.5564241
ADULT DAY HEALTH CARE SERVICES,NJ02013,02013,"Atmiya Adult Day Care, Llc","ATMIYA ADULT DAY CARE, LLC","109 MIDLAND AVENUE, STE B", ,ELMWOOD PARK,NJ,07407,"ELMWOOD PARK, NJ  07407",BERGEN,(201) 509-8870,(201) 509-8564,info@atmiyaadultcare.com,9/30/21,120,. JAYANT PATEL,"ATMIYA ADULT DAY CARE, LLC",109-B MIDLAND AVENUE,"ELMWOOD PARK, NJ  07407",,6/15/21,40.894595,-74.1032
ADULT DAY HEALTH CARE SERVICES,NJ408212,408212,Bayonne Adult Medical Day Care Center,BAYONNE ADULT MEDICAL DAY CARE CENTER,801-803 BROADWAY, ,BAYONNE,NJ,07002,"BAYONNE, NJ  07002",HUDSON,(201) 243-0035,(201) 243-0036,bayonneadc@yahoo.com,3/31/22,180,Ms. MARINA MOROZ,BAYONNE ADULT MEDICAL DAY CARE CORP. OF BAYONNE,801-803 BROADWAY,"BAYONNE, NJ  07002",Profit - Corporation,6/15/21,40.6745688,-74.1094269
ADULT DAY HEALTH CARE SERVICES,NJ308114,308114,Belleville Senior Services,BELLEVILLE SENIOR SERVICES,518 WASHINGTON AVENUE, ,BELLEVILLE,NJ,07109,"BELLEVILLE, NJ  07109",ESSEX,(973) 751-6000,(973) 751-1190,bssgtb@gmail.com,6/30/22,110,Mr. GAETANO BUTTITTA,"BELLEVILLE SENIOR SERVICES, LLC",42 HOWE AVENUE,"WAYNE, NJ  07470",Profit - LLC,6/15/21,40.7984214,-74.1478417
ADULT DAY HEALTH CARE SERVICES,NJ10201,10201AD,Bergen New Bridge Medical Center Day Health Center,BERGEN NEW BRIDGE MEDICAL CENTER DAY HEALTH CENTER,230 EAST RIDGEWOOD AVENUE, ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 967-4000,(201) 967-4326,krichardson@newbridgehealth.org,9/30/21,20,Ms. KATHRYN RICHARDSON,BERGEN COUNTY IMPROVEMENT AUTHORITY,327 E RIDGEWOOD AVENUE,"PARAMUS, NJ  07652",Govt - County,6/15/21,40.9569813,-74.0629454
ADULT DAY HEALTH CARE SERVICES,NJ80125,080125,Bright Adult Medical Day Care,BRIGHT ADULT MEDICAL DAY CARE,352 BEVERLY RANCOCAS RD, ,WILLINGBORO,NJ,08046,"WILLINGBORO, NJ  08046",BURLINGTON,(609) 871-8881,(609) 543-2378,davidg@brightadc.com,3/31/21,80,Ms. CHRISTINE CIPOLLONE,"BRIGHT ADULT MEDICAL DAY CARE, LLC","150 AIRPORT ROAD, SUITE 1200","LAKEWOOD, NJ  08701",,6/15/21,40.0262357,-74.9018253
ADULT DAY HEALTH CARE SERVICES,YT613N,YT613N,Broadway Adult Day Care,BROADWAY ADULT DAY CARE,24-20 BROADWAY, ,FAIR LAWN,NJ,07410,"FAIR LAWN, NJ  07410",BERGEN,(201) 797-1177,(201) 796-3344,iouri.mitchenko@jhcare.com,4/30/22,260,Mr. IOURI MITCHENKO,"BROADWAY ADULT DAY CARE, LLC",24-20 BROADWAY,"FAIR LAWN, NJ  07410",Profit - LLC,6/15/21,40.92452,-74.104386
ADULT DAY HEALTH CARE SERVICES,NJ708113,708113,"Buckingham Adult Medical Day Care Center, LLC","BUCKINGHAM ADULT MEDICAL DAY CARE CENTER, LLC",316 NORTH 6TH STREET, ,PROSPECT PARK,NJ,07508,"PROSPECT PARK, NJ  07508",PASSAIC,(973) 904-3870,          ,lkrasne@buckinghamamdc.com,1/31/22,250,Mrs. HALINA CZEREPAK,"BUCKINGHAM ADULT MEDICAL DAY CARE CENTER, LLC",316 NORTH SIXTH STREET,"PROSPECT PARK, NJ  07508",Profit - LLC,6/15/21,40.9341591,-74.1680253
ADULT DAY HEALTH CARE SERVICES,KCWWKE,KCWWKE,Buckingham Place,BUCKINGHAM PLACE,"700 WOODS LANE, SUITE A", ,MONMOUTH JUNCTION,NJ,08852,"MONMOUTH JUNCTION, NJ  08852",MIDDLESEX,(732) 329-8954,(732) 329-9225,paul@buckinghamplace.net,1/31/22,64,Mr. PAUL VLECIDES,"BUCKINGHAM PLACE, LLC","700 WOODS LANE, SUITE A","MOMMOUTH JUNCTION, NJ  08852",Profit - LLC,6/15/21,40.3810067,-74.5972429
ADULT DAY HEALTH CARE SERVICES,NJ16012,16012,The Care Factory Inc,"CARE FACTORY INC, THE","397 HALEDON AVENUE, SUITE 202", ,HALEDON,NJ,07508,"HALEDON, NJ  07508",PASSAIC,(862) 239-1831,          ,carefactorymhk@gmail.com,3/31/22,120,Ms. ANA SANCHEZ,"THE CARE FACTORY, INC",397 HALEDON AVENUE,"HALEDON, NJ  07508",Profit - Corporation,6/15/21,40.937439,-74.181883
ADULT DAY HEALTH CARE SERVICES,NJ13013,13013,Care Forever Adult Day Care Center,CARE FOREVER ADULT DAY CARE CENTER,7 PROGRESS STREET, ,EDISON,NJ,08820,"EDISON, NJ  08820",MIDDLESEX,(732) 646-8483,(732) 993-7074,contact@cfadc.us,2/28/22,120,Mr. KETAN PATEL,CARE FOREVER ADULT DAY CARE CENTER LLC,3 SCHINDLER LANE,"MONROE TOWNSHIP, NJ  08831",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ09010,09010,Care With Love Adult Day Care Center,CARE WITH LOVE ADULT DAY CARE CENTER,953 GARFIELD AVENUE, ,JERSEY CITY,NJ,07304,"JERSEY CITY, NJ  07304",HUDSON,(201) 333-8883,(201) 333-8897,carewlove973@gmail.com,11/30/21,150,Ms. DAWN FINGALL,"CARE WITH LOVE ADULT DAYCARE CENTER, INC",194 TERRACE AVENUE,"JERSEY CITY, NJ  07307",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ02030,02030,Careway Medical Day Care Corp,CAREWAY MEDICAL DAY CARE CORP,511 MOLA BOULEVARD, ,ELMWOOD PARK,NJ,07407,"ELMWOOD PARK, NJ  07407",BERGEN,(917) 734-7430,          ,ADMINISTRATOR@CAREWAYAMDC.COM,3/31/22,160,Ms. ZHANNA ALERGANT,CAREWAY MEDICAL DAY CARE CORP.,511 MOLA BOULEVARD,"ELMWOOD PARK, NJ  07407",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ14015,14015,"Caring For Life Adult Day Care, LLC","CARING FOR LIFE ADULT DAY CARE, LLC",120 EAST HALSEY ROAD, ,PARSIPPANY,NJ,07054,"PARSIPPANY, NJ  07054",MORRIS,(973) 515-8079,(862) 701-5490,echan@kean.edu,9/30/21,250,Ms. EMILY CHAN,"CARING FOR LIFE ADULT DAY CARE, LLC",120 EAST HALSEY ROAD,"PARSIPPANY, NJ  07054",,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ83008,83008,Caring Place Medical Day Center,CARING PLACE MEDICAL DAY CENTER,407 W. DELILAH ROAD, ,PLEASANTVILLE,NJ,08232,"PLEASANTVILLE, NJ  08232",ATLANTIC,(609) 484-7050,(609) 641-0674,mvillanueva@caringinc.org,2/28/22,134,Ms. MADELIN VILLANUEVA,"CARING, INC.",407 W. DELILAH ROAD,"PLEASANTVILLE, NJ  08232",NonProfit - Corporation,6/15/21,39.4067024,-74.5175182
ADULT DAY HEALTH CARE SERVICES,NJ13016,13016,Caring Tree Adult Medical Daycare,CARING TREE ADULT MEDICAL DAYCARE,51 JAMES WAY, ,EATONTOWN,NJ,07724,"EATONTOWN, NJ  07724",MONMOUTH,(732) 542-0363,(732) 542-0372,,11/30/19,80,Mr. GRAHAM KENNEDY,CARING TREE ADULT MEDICAL DAYCARE LLC,51 JAMES WAY,"EATONTOWN, NJ  07724",Profit - LLC,6/15/21,,
ADULT DAY HEALTH CARE SERVICES,NJ908115,908115,Cedar Harbor Medical Day Care Center,CEDAR HARBOR MEDICAL DAY CARE CENTER,545 EAST 1ST AVENUE, ,ROSELLE,NJ,07203,"ROSELLE, NJ  07203",UNION,(908) 298-8588,(908) 298-8511,samuel.cedar@gmail.com,1/1/22,125,. LOWELL FEIN,"CEDAR HARBOR MEDICAL DAY CARE CENTER, LLC",199 GLEN AVENUE,"LAKEWOOD, NJ  08701",Profit - LLC,6/15/21,40.6623,-74.2499
ADULT DAY HEALTH CARE SERVICES,NJ708111,708111,Christian Health Care Adult Day Services,CHRISTIAN HEALTH CARE ADULT DAY,2000 SIENA VILLAGE, ,WAYNE,NJ,07470,"WAYNE, NJ  07470",PASSAIC,(973) 305-9155,(973) 305-9730,jbrowne@chccnj.org,12/31/21,48,. JOHN BROWN,CHRISTIAN HEALTH CARE CENTER,301 SICOMAC AVENUE,"WYCKOFF, NJ  07481",NonProfit - Religious Affiliation,6/15/21,41.0309269,-74.2226885
ADULT DAY HEALTH CARE SERVICES,NJ58330,58330,Christian Health Care Center,CHRISTIAN HEALTH CARE CENTER,301 SICOMAC AVENUE, ,WYCKOFF,NJ,07481,"WYCKOFF, NJ  07481",BERGEN,(201) 848-5200,          ,administration@chccnj.org,11/30/21,67,Ms. MARY MARICONDA,CHRISTIAN HEALTH CARE CENTER,301 SICOMAC AVENUE,"WYCKOFF, NJ  07481",NonProfit - Religious Affiliation,6/15/21,40.9841201,-74.1706686
