State Facility Type 2 Literal,Facility ID,License Number,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,Capacity,Licensee,Ownership Type,Latitude,Longitude,Date Accessed,State Facility Type 1 Literal
ASSISTED LIVING RESIDENCE,NJ65A002,65a002,Atria Stafford,1275 ROUTE 72,Manahawkin,NJ,8050,Ocean,(609) 597-2500,farryn.harte@atriaseniorliving.com,94,"HCP MANAHAWKIN NJ OPCO, LLC",,39.7233054,-74.2885783,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A004,55A004,Atria Tinton Falls,44 PINE STREET,Tinton Falls,NJ,7753,Monmouth,(732) 918-1960,michael.ciecierski@atriaseniorliving.com,156,"WG TINTON FALLS SH, LLC",PROFIT - LLC,40.2402504,-74.0826848,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ15A006,15a006,Atria Voorhees Assisted Living Residence,1301 LAUREL OAK ROAD,Voorhees,NJ,8043,Camden,(856) 783-8383,lee.gillis@atriaseniorliving.com,94,"HCP VOORHEES TOWNSHIP NJ OPCO, LLC",,39.848086,-74.969104,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ13A021,13A021,Atria Waldwick,245 WYCKOFF AVENUE,Waldwick,NJ,7463,Bergen,(610) 229-9072,michael.moralessr@atriaseniorliving.com,186,"FSP-WALDWICK PROPERTY, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A006,55a006,Atrium Senior Living Of Matawan,40 FRENEAU AVENUE,Matawan,NJ,7747,Monmouth,(732) 566-0800,dbrito@atriumhsl.com,70,38-40 FRENEAU AVENUE OPERATING COMPANY LLC,PROFIT - LLC,40.399976,-74.237475,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ5A001,05A001,Atrium Senior Living Of Park Ridge,124 NOYES DRIVE,Park Ridge,NJ,7656,Bergen,(201) 782-0440,scohen@spring-hills.net,155,120-124 NOYES DRIVE OPERATING COMPANY LLC,PROFIT - LLC,41.0382039,-74.0325269,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90112,90112,Atrium Senior Living Of Princeton,1000 WINDROW DRIVE,Princeton,NJ,8540,Mercer,(609) 514-9111,bkiefer@atriumhsl.com,113,1000 3000 5000 WINDROW DRIVE OPERATING COMPANY LLC,PROFIT - LLC,40.3811476,-74.6219905,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A006,80A006,Avalon At Bridgewater,565 STATE HIGHWAY 28,Bridgewater,NJ,8807,Somerset,(908) 707-8800,lallen@bridgewayseniorcare.com,74,BRIDGEWAY ASSISTED LIVING LLC,PROFIT - LLC,40.584604,-74.644043,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A113,80A113,The Avalon At Hillsborough,393 AMWELL ROAD,Hillsborough,NJ,8844,Somerset,(908) 874-7200,kgursky@bridgewayseniorcare.com,97,"PILGRIM RIVER, LLC",PROFIT - CORPORATION,40.5011222,-74.6379204,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ25A000,25A000,Baker Place,685 S. BREWSTER ROAD,Vineland,NJ,8360,Cumberland,(856) 691-9111,jdasilva@enlivant.com,47,BAKER AID OPCO LLC,,39.5082334,-74.9742707,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90115,90115,Bayside Manor,7 LAUREL AVENUE,Keansburg,NJ,7734,Monmouth,(732) 471-1600,anthony@baysidemanor.com,146,TRC REALTY CORPORATION,,40.449814,-74.144243,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ8HEV7E,8HEV7E,Bear Creek Assisted Living,291 VILLAGE ROAD EAST,West Windsor,NJ,8550,Mercer,(609) 918-1075,amy.goldich@bearcreekassistedliving.com,100,"VILLAGE SENIOR CARE, LLC",PROFIT - LLC,40.2680269,-74.59416,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A008,65A008,Bella Terra Assisted Living Residence,2 KATHLEEN DRIVE,Jackson,NJ,8527,Ocean,(732) 730-9500,fevegan@seniorlifestyle.com,107,"SL BELLA TERRA, L.L.C.",PROFIT - CORPORATION,40.1279139,-74.26683,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A008,60A008,Bentley Commons At Paragon Village,425/427 ROUTE 46 EAST,Hackettstown,NJ,7840,Morris,(908) 979-9080,rdioguardi@kapdev.com,82,"KDG PARAGON, LLC",PROFIT - LLC,40.8560299,-74.763458,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A004,80A004,Brandywine Living At Middlebrook Crossing,2005 ROUTE 22 WEST,Bridgewater,NJ,8807,Somerset,(732) 868-8181,nsnyder@brandycare.com,128,WELL BL OPCO LLC,,40.583789,-74.516487,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ10A002,10A002,Brandywine Living At Moorestown Estates,1205 N. CHURCH STREET,Moorestown,NJ,8057,Burlington,(856) 778-0600,moorestowned@brandycare.com,122,WELL BL OPCO LLC,,39.9723,-74.9689,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ1A000,01A000,Brandywine Living At Brandall Estates,432 CENTRAL AVENUE,Linwood,NJ,8221,Atlantic,(609) 926-4663,mrepkoe@brandycare.com,100,WELL BL OPCO LLC,,39.359487,-74.568948,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A002,55A002,Brandywine Living At Governor'S Crossing,49 LASATTA AVENUE,Englishtown,NJ,7726,Monmouth,(732) 786-1000,awillner@brandycare.com,110,WELL BL OPCO LLC,,40.297039,-74.370081,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ04A022,04A022,Brandywine Living At Haddonfield,132 WARWICK ROAD,Haddonfield,NJ,8033,Camden,(856) 429-5500,jpellliccione@brandycare.com,58,WELL BL OPCO LLC,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,C9LQB9,C9LQB9,Brandywine Living At Howell,100 MERIDIAN PLACE,Howell,NJ,7731,Monmouth,(732) 719-0100,amanasso@brandycare.com,120,WELL BRANDYWINE HOWELL LLC,,40.177545,-74.24451,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ07A021,07A021,Brandywine Living At Livingston,369 EAST MT PLEASANT AVENUE,Livingston,NJ,7039,Essex,(973) 251-0600,jjoseph@brandycare.com,150,WELL BL OPCO LLC,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A024,02A024,Brandywine Living At Mahwah,814 WYCKOFF AVENUE,Mahwah,NJ,7430,Bergen,(201) 800-8070,mkoldys@brandycare.com,107,WELL BL OPCO LLC,,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ80A005,80a005,Brandywine Living At Mountain Ridge,680 MOUNTAIN BOULEVARD,Watchung,NJ,7069,Somerset,(908) 754-8180, mmilano@brandycare.com,119,WELL BL OPCO LLC,,40.62523,-74.476392,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,ZRXUPT,ZRXUPT,Brandywine Living At Pennington,143 WEST FRANKLIN AVENUE,Pennington,NJ,8534,Mercer,(609) 730-9922,emoyle@brandycare.com,119,WELL BL OPCO LLC,,40.3320612,-74.7974549,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,LHR4HN,LHR4HN,Brandywine Living At Princeton,155 RAYMOND ROAD,Princeton,NJ,8540,Mercer,(732) 329-8888,smoore@brandycare.com,124,WELL BL OPCO LLC,,40.3810067,-74.5972429,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A005,65a005,Brandywine Living At Reflections,1594 ROUTE 88,Brick,NJ,8724,Ocean,(732) 785-3370,mhingher@brandycare.com,52,WELL BL OPCO LLC,,40.0781376,-74.1366007,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,7EKKEK,7EKKEK,Brandywine Living At Reflections At Colts Neck,3 MERIDIAN CIRCLE,Colts Neck,NJ,7722,Monmouth,(732) 303-3100,coltsnecked@brandycare.com,72,WELL BL OPCO LLC,,40.2765879,-74.172028,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90A001,90a001,Brandywine Living At Summit,41 SPRINGFIELD AVENUE,Summit,NJ,7901,Union,(908) 522-8852,sheaney@capitalseniorliving.net,98,WELL BL PORTFOLIO 1 OPCO LLC,,40.7179,-74.3343,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90143,90143,Brandywine Living At The Gables,515 JACK MARTIN BLVD,Brick,NJ,8723,Ocean,(732) 836-1400,goldsteinm@brandycare.com,99,WELL BL OPCO LLC,,40.0812474,-74.1376101,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A007,55A007,Brandywine Living At The Sycamore,5 MERIDIAN WAY,Shrewsbury,NJ,7702,Monmouth,(732) 212-2600,hminnis@brandycare.com,130,WELL BL OPCO LLC,,40.3170549,-74.0665498,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ04013,4013,Brandywine Living At Voorhees,311 ROUTE 73 SOUTH,Voorhees,NJ,8043,Camden,(856) 424-0004,kconnell@brandycare.com,120,WELL BL OPCO LLC,,39.850083,-74.924389,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A112,55A112,Brandywine Living At Wall,2021 HIGHWAY 35,Wall,NJ,7719,Monmouth,(732) 282-1910,kharper@brandycare.com,103,WELL BL OPCO LLC,,40.1512224,-74.0563604,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ47A003,47a003,Brandywine Serenade At Princeton,775 MT. LUCAS ROAD,Princeton,NJ,8540,Mercer,(609) 430-4000,executivedirector@acornglen.com,120,WELL BL PORTFOLIO 1 OPCO LLC,,40.385582,-74.65264,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ50A001,50A001,Brighton Gardens Of Edison,1801 OAK TREE ROAD,Edison,NJ,8820,Middlesex,(732) 767-1031,edison.ed@sunriseseniorliving.com,118,WELLTOWER OPCO GROUP LLC,PROFIT - LLC,40.5720086,-74.3510294,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A001,60A001,Brighton Gardens Of Florham Park,21 RIDGEDALE AVENUE,Florham Park,NJ,7932,Morris,(973) 966-8999,florhampark.ed@sunriseseniorliving.com,132,"HCP FLORHAM PARK NJ OPCO, LLC",,40.7734936,-74.401897,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ65A000,65A000,Brighton Gardens Of Leisure Park,1400 ROUTE 70,Lakewood,NJ,8701,Ocean,(732) 370-0444,sryan@5ssl.com,110,SNH NJ TENANT LLC,,40.053926,-74.1721855,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ55A001,55A001,Brighton Gardens Of Middletown,620 STATE HIGHWAY 35 SOUTH,Middletown,NJ,7748,Monmouth,(732) 275-0790,middletown.bm@sunriseseniorliving.com,132,"PRIME CARE ONE, LLC",PROFIT - LLC,40.38192,-74.094397,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90122,90122,Brighton Gardens Of Mountainside,1350 ROUTE 22 WEST,Mountainside,NJ,7092,Union,(908) 654-4460,mountainside.ed@sunriseseniorliving.com,141,"PRIME CARE ONE, LLC",PROFIT - LLC,40.6733869,-74.3530281,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ5A002,05A002,Brighton Gardens Of Saddle River,5 BOROLINE ROAD,Saddle River,NJ,7458,Bergen,(201) 818-8680,saddleriver.ed@sunriseseniorliving.com,132,"HCP SADDLE RIVER NJ OPCO, LLC",,41.035548,-74.114137,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ30A004,30A004,Brighton Gardens Of West Orange,220 PLEASANT VALLEY WAY,West Orange,NJ,7052,Essex,(973) 731-9840,westorange.ed@sunriseseniorliving.com,132,"HCP ORANGE NJ OPCO, LLC",,40.817305,-74.253911,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ03A007,03A007,Brightview Greentree,170 GREENTREE ROAD,Marlton,NJ,8053,Burlington,(856) 810-0070,jsteen@bvsl.net,99,"SHP IV GREENTREE, LLC",PROFIT - LLC,39.9131,-74.9269,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ90106,90106,Brightview Mount Laurel,400 FERNBROOKE LANE,Mount Laurel,NJ,8054,Burlington,(856) 222-1213,lclinkscales@bvsl.net,108,"SHP IV MT. LAUREL, LLC",PROFIT - LLC,39.9564,-74.8999,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A020A,02A020,Brightview Paramus,396 FOREST AVENUE,Paramus,NJ,7652,Bergen,(201) 957-1966,pfarewege@bvsl.net,90,"BRIGHTVIEW PARAMUS, LLC",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ60A013,60A013,"Brightview Randolph, Llc",175 QUAKER CHURCH ROAD,Randolph,NJ,7869,Morris,(973) 348-9857,cmvrin@bvsi.net,75,"BRIGHTVIEW RANDOLPH, LLC",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A023,02A023,Brightview Tenafly,55 HUDSON AVENUE,Tenafly,NJ,7670,Bergen,(201) 510-2060,dcousins@bvsl.net,120,"BRIGHTVIEW TENAFLY, LLC",PROFIT - LLC,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ18A007,18A007,Brightview Warren,57 MT BETHEL ROAD,Warren,NJ,7059,Somerset,(908) 756-3790,sbruncati@bvsl.net,120,"BRIGHTVIEW WARREN, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJ02A029,02A029,"Bristal At Englewood, The",412 SOUTH VAN BRUNT STREET,Englewood,NJ,7631,Bergen,(551) 775-6100,mmckeon@ultimatecaremgmt.com,288,"EB CARE AT ENGLEWOOD, LLC",,,,6/29/21,ASSISTED LIVING SERVICE
ASSISTED LIVING RESIDENCE,NJAL18002,AL18002,"Bristal At Somerset, The",1850 EASTON AVENUE,Somerset,NJ,8873,Somerset,(516) 747-1200,mmckeon@ultimatecaremgmt.com,156,"SOMERSET SENIOR CARE,LLC",,,,6/29/21,ASSISTED LIVING SERVICE
