Facility Name,Licensee,State Facility Type 1 Literal,Address,City,Island,Phone Number,License Number,Capacity,State Facility Type 2 Literal
Charity Adult Residential Care Home,Nette De Castro,Type I Expanded Adult Residential Care Home,94-232 Moena Place,Waipahu,Oahu,8087442697,1496-C,5,Ambulatory
Charity Adult Residential Care Home/E-ARCH II,Nette de Castro,Type I Expanded Adult Residential Care Home,1563 Molina Street,Honolulu,Oahu,8084921945,1595-C,5,Ambulatory
"Comfort Care Home, L.L.C.",Richard Miller,Type I Expanded Adult Residential Care Home,1543 Haloa Drive,Honolulu,Oahu,8084221947,1503-C,5,Ambulatory
Connie's,Cion Battulayan,Type I Expanded Adult Residential Care Home,94-1040 Kuhaulua Street,Waipahu,Oahu,8086800001,676-C,5,Ambulatory
Cora's,Corazon Ingel,Type I  Adult Residential Care Home,1711 Ema Place,Honolulu,Oahu,8088418596,363-C,5,Ambulatory
"Corpuz, Olivia",Olivia Corpuz-Santos,Type I  Adult Residential Care Home,664-D Wainaku Avenue,Hilo,Big Island,8089613938,958-C,2,Fully Ambulatory
CP Gallegos,Catalina Gallegos,Type I Expanded Adult Residential Care Home,1550 Epukane Street,Honolulu,Oahu,8084236262,1416-C,5,Ambulatory
"Cua, Lilia",Lilia Cua,Type I  Adult Residential Care Home,464 Heahea Street,Hilo,Big Island,8089595432,597-C,5,Ambulatory
Cuaresma ARCH,Julia Cuaresma,Type I  Adult Residential Care Home,94-548 Farrington Highway,Waipahu,Oahu,8086767232,1061-C,5,Ambulatory
"Daguimol, Shirley",Daguimol Shirley,Type I  Adult Residential Care Home,92-603 Malahuna Loop,Makakilo,Oahu,8086825244,688-C,5,Ambulatory
"Daligcon, Norma",Norma Daligcon,Type I Expanded Adult Residential Care Home,1586 Lehua Street,Honolulu,Oahu,8088481542,1062-C,5,Ambulatory
Daquip Care Home,Eunice Daquip,Type I  Adult Residential Care Home,87-132 Palani Street,Waianae,Oahu,8086964462,1151-C,5,Ambulatory
"De Vera, Loretta",Loretta De Vera,Type I  Adult Residential Care Home,94-865 Mokuahi Street,Waipahu,Oahu,8086715191,783-C,5,Ambulatory
Debora's,Castro Debora,Type I Expanded Adult Residential Care Home,1773 Piikea Street,Honolulu,Oahu,8084225684,1323-C,5,Ambulatory
"Deguzman, Lydia",Lydia Deguzman,Type I  Adult Residential Care Home,94-293 Kahualena Street,Waipahu,Oahu,8086760681,499-C,5,Ambulatory
Dignity Senior Living At Oceanside Hawaii,Albert Chen,Type II Expanded Adult Residential Care Home,53-594 Kamehameha Highway,Hauula,Oahu,8082931100,1528-C,26,Ambulatory
"Domingo, Maria-Theresa C.",Maria-Theresa Domingo,Type I Expanded Adult Residential Care Home,98-1651 Hoomaike Street,Pearl City,Oahu,8084553365,1321-C,5,Ambulatory
Domingo's Care Home,Myrna Domingo,Type I Expanded Adult Residential Care Home,74-828 Ulua'oa Street,Kailua-Kona,Big Island,8083298203,1309-C,5,Ambulatory
"Downey, Norma",Norma Downey,Type I  Adult Residential Care Home,4038 Salt Lake Boulevard,Honolulu,Oahu,8084237854,862-C,4,Fully Ambulatory
"Duldulao, Carina",Carina Duldulao,Type I  Adult Residential Care Home,417 Ehehene Place,Hilo,Big Island,8089599996,674-C,4,Ambulatory
D-Well Care Services,Maria Dingle,Type I Expanded Adult Residential Care Home,3443 Likini Street,Honolulu,Oahu,8083911433,1578-C,5,Ambulatory
E & J Adult Residential Care Home,Evangeline Reyes,Type I Expanded Adult Residential Care Home,74-797 Ulua'oa Street,Kailua-Kona,Big Island,8083341437,1442-C,5,Ambulatory
E & R,Remedios Brion,Type I Expanded Adult Residential Care Home,3034 Kalihi Street,Honolulu,Oahu,8088426115,1185-C,5,Ambulatory
E. F. Nicomedes,Edna Nicomedes,Type I Expanded Adult Residential Care Home,1271 Kaeleku Street,Honolulu,Oahu,8083956410,1219-C,5,Ambulatory
E. Mabini ARCH,Eden Mabini,Type I Expanded Adult Residential Care Home,94-1083 Kuhaulua Street,Waipahu,Oahu,8086789549,1296-C,5,Ambulatory
E. Ramos (ARCH),Ramos Erlinda,Type I  Adult Residential Care Home,98-063 Puaole Place,Aiea,Oahu,8084880878,1086-C,5,Ambulatory
Ed & Rose,Rosalinda Ramos,Type I Expanded Adult Residential Care Home,94-1112 Kahuailani Street,Waipahu,Oahu,8086769336,1384-C,5,Ambulatory
Eden Lei's,Editha Galacgac,Type I Expanded Adult Residential Care Home,94-1095 Lumiaina Street,Waipahu,Oahu,8086777160,1405-C,5,Ambulatory
Edita Castro,Edita Castro,Type I Expanded Adult Residential Care Home,201 Kuhilani Street,Hilo,Big Island,8089594976,1127-C,4,Ambulatory
"Editha Rogelio Tapat ARCH, LLC",Editha Tapat,Type I Expanded Adult Residential Care Home,94-432 Kipou Street,Waipahu,Oahu,8086717804,1486-C,4,Ambulatory
Elisa Cabal,Elisa Cabal,Type I Expanded Adult Residential Care Home,228 Hookano Street,Hilo,Big Island,8089812638,1326-C,5,Ambulatory
"Ellazar, Estela",Estella Ellazar,Type I Expanded Adult Residential Care Home,17-162 Ipuaiwaha Street,Keaau,Big Island,8089669264,653-C,5,Ambulatory
Emma-Rose Adult Residential Care Home,Belma Unay,Type I  Adult Residential Care Home,94-379 Haaa Street,Waipahu,Oahu,8086773015,1579-C,5,Fully Ambulatory
"Emmy's Care Home, LLC",Emalyn Esteban,Type I Expanded Adult Residential Care Home,94-382 Kaholo Street,Mililani,Oahu,8083768019,1404-C,5,Ambulatory
Erlinda's,Erlinda Isidro,Type I Expanded Adult Residential Care Home,2020 Uhu Street,Honolulu,Oahu,8088427886,1390-C,4,Ambulatory
Espinoza's,Maria Espinoza,Type I Expanded Adult Residential Care Home,94-1273 Kahuanui Street,Waipahu,Oahu,8086767313,1274-C,5,Ambulatory
Estabillo Adult Residential Care Home,Mary Ann Estabillo,Type I Expanded Adult Residential Care Home,92-691 Paakai Street,Kapolei,Oahu,8086821002,1588-C,5,Ambulatory
Esta's,Esta Lina,Type I Expanded Adult Residential Care Home,94-1110 Hinaea Street,Waipahu,Oahu,8086773607,598-C,5,Ambulatory
Estrelita Luczon,Estrelita Luczon,Type I  Adult Residential Care Home,249-A Ala Malama Avenue,Kaunakakai,Molokai,8085533077,1027-C,5,Fully Ambulatory
Evelyn Valdez,Evelyn Valdez,Type I Expanded Adult Residential Care Home,91-1129 Kiwi Street,Ewa Beach,Oahu,8086895997,978-C,5,Ambulatory
Evelyn's,Evelyn Paco,Type I  Adult Residential Care Home,94-824 Kumukula Street,Waipahu,Oahu,8086718725,1042-C,5,Ambulatory
"Fabia ARCH-EC, LLC",Ninfa Fabia,Type I Expanded Adult Residential Care Home,94-301 Hilihua Way,Waipahu,Oahu,8086716983,641-C,5,Ambulatory
Faith Harbor Adult Care,Yelena Munzlinger,Type I Expanded Adult Residential Care Home,5229 Liwai Street,Honolulu,Oahu,8083817880,1575-C,5,Ambulatory
Fajotina E-ARCH,Lilia Fajotina,Type I Expanded Adult Residential Care Home,94-438 Hoaeae Street,Waipahu,Oahu,8086767399,1209-C,5,Ambulatory
Family Ties,Mary-Ann Bali,Type I Expanded Adult Residential Care Home,1103-A Kahauiki Place,Honolulu,Oahu,8088411674,1377-C,5,Ambulatory
Family Ties Adult Residential Care Home,Felizardo Bali,Type I Expanded Adult Residential Care Home,1119 Kahauiki Place,Honolulu,Oahu,8088438544,1481-C,5,Ambulatory
"Felarca Care Home, LLC",Daniel Felarca,Type I Expanded Adult Residential Care Home,4679 Likini Street,Honolulu,Oahu,8088335630,1570-C,5,Ambulatory
Fely Irons' Adult Residential Care Home,Fely Irons,Type I  Adult Residential Care Home,2036 Komo Mai Drive,Pearl City,Oahu,8084557321,1497-C,5,Ambulatory
"Fernandez, Carlina",Carlina Fernandez,Type I Expanded Adult Residential Care Home,137B Hokulani Street,Hilo,Big Island,8089645275,522-C,5,Ambulatory
Fernando Care Home,Perlita Fernando,Type I  Adult Residential Care Home,94-1351 Waipahu Street,Waipahu,Oahu,8086714912,619-C,4,Ambulatory
Ferrer,Erlinda Ferrer,Type I Expanded Adult Residential Care Home,1701 Elua Street,Honolulu,Oahu,8088459980,1307-C,5,Ambulatory
Fidelibus Cottage,Dhy-Jeelen Fidelibus,Type I Expanded Adult Residential Care Home,91-827 Oama Street,Ewa Beach,Oahu,8086640947,1424-C,5,Ambulatory
"Fiesta, Floreliza C.",Floreliza Fiesta,Type I Expanded Adult Residential Care Home,94-232 Lehoula Place,Waipahu,Oahu,8088887012,1273-C,5,Ambulatory
Flojo Quality Affordable Care Home,Cecile Flojo,Type I Expanded Adult Residential Care Home,1159 Kuokoa Street,Pearl City,Oahu,8084552853,1293-C,5,Ambulatory
"Fronda, Myrna",Myrna Fronda,Type I Expanded Adult Residential Care Home,94-571 Apii Place,Waipahu,Oahu,8086767858,1013-C,5,Ambulatory
Fuji Japan Care Home LLC,Chieko Riccio,Type I Expanded Adult Residential Care Home,134 Hoopiha Place,Wahiawa,Oahu,8086225015,1573-C,5,Ambulatory
Furukawa Residential Retreat,Glenn Furukawa,Type I  Adult Residential Care Home,47-008 Okana Place,Kaneohe,Oahu,8083862006,1462-C,5,Ambulatory
G. Inocencio's,Gloria Inocencio,Type I  Adult Residential Care Home,1262 Komohana Street,Hilo,Big Island,8089595962,1282-C,4,Ambulatory
Gabriel Care Home,Juliet Gabriel,Type I Expanded Adult Residential Care Home,94-1034 Awanani Street,Waipahu,Oahu,8086770123,927-C,5,Ambulatory
"Gabriel, Claire",Claire Gabriel,Type I  Adult Residential Care Home,27-358 Anderton Camp Road,Papaikou,Big Island,8089645268,962-C,4,Ambulatory
"Gacula, Jessie",Jessie Gacula,Type I  Adult Residential Care Home,55 Ahona Place,Hilo,Big Island,8089810250,553-C,5,Ambulatory
"Galamgam, Crescencia",Crescencia Galamgam,Type I  Adult Residential Care Home,94-1278 Peke Place,Waipahu,Oahu,8086711847,895-C,4,Fully Ambulatory
Galan's Care Home,Juanita Galan,Type I Expanded Adult Residential Care Home,94-324 Kipou Street,Waipahu,Oahu,8086718337,1109-C,5,Ambulatory
Galanto's ARCH,Elsa Galanto,Type I Expanded Adult Residential Care Home,74-846 Uluaoa Street,Kailua-Kona,Big Island,8083262356,1228-C,5,Ambulatory
"Galario, Violeta",Violeta Galario,Type I  Adult Residential Care Home,94-1440 Hiapo Street,Waipahu,Oahu,8088887753,878-C,5,Ambulatory
Galario's Care Home,Elena Galario,Type I Expanded Adult Residential Care Home,94-929 Kuakahi Street,Waipahu,Oahu,8086775362,617-C,5,Ambulatory
Gamiao Adult Residential Care Home #2,Nayda Gamiao,Type I Expanded Adult Residential Care Home,99-588 Ulune Street,Aiea,Oahu,8084228018,1564-C,5,Ambulatory
"Gamiao, Nayda",Nayda Gamiao,Type I Expanded Adult Residential Care Home,3648 Likini Street,Honolulu,Oahu,8084228018,1316-C,5,Ambulatory
Garcia Care Home,Fe Garcia,Type I  Adult Residential Care Home,99-568 Huakanu Street,Aiea,Oahu,8084863872,971-C,5,Ambulatory
Gaylord's,Wannette Gaylord,Type I Expanded Adult Residential Care Home,1723 Malanai Street,Honolulu,Oahu,8082277173,1381-C,5,Ambulatory
Gaylord's II,Wannette Gaylord,Type I Expanded Adult Residential Care Home,1110 Kaialiu Street,Honolulu,Oahu,8082277173,1417-C,5,Ambulatory
Gaylord's III,Wannette Gaylord,Type I Expanded Adult Residential Care Home,2508 Coyne Street,Honolulu,Oahu,8082277173,1492-C,5,Ambulatory
Gaylord's IV,Wannette Gaylord,Type I Expanded Adult Residential Care Home,1116 Kaialiu Street,Honolulu,Oahu,8082277173,1586-C,6,Ambulatory
Gelacio Care Home,Zosima Gelacio,Type I Expanded Adult Residential Care Home,1746 Ala Aolani Place,Honolulu,Oahu,8088392520,458-C,5,Ambulatory
"Gloria V. Atmospera, ARCH",Gloria Atmospera,Type I Expanded Adult Residential Care Home,3544 Pahoa Avenue,Honolulu,Oahu,8087348814,1202-C,5,Ambulatory
Golden Acres,Miguel Pascual,Type I  Adult Residential Care Home,45-525 Duncan Drive,Kaneohe,Oahu,8082357525,1480-C,5,Ambulatory
Golden Age Health Care,Marieta Picard,Type I Expanded Adult Residential Care Home,94-1141 Lumiauau Street,Waipahu,Oahu,8086717760,1402-C,5,Ambulatory
Golden Island ARCH,Marlyn Acuram,Type I Expanded Adult Residential Care Home,86-120 Hoaha Street,Waianae,Oahu,8086966507,1312-C,5,Ambulatory
Golden Years Adult Residential Care Home,Elaine Viloria,Type I Expanded Adult Residential Care Home,94-480 Niulii Street,Waipahu,Oahu,8086781275,1562-C,4,Ambulatory
"Guerrero, Miriam",Miriam Guerrero,Type I Expanded Adult Residential Care Home,66 Kaiwiki Road,Hilo,Big Island,8088960761,989-C,5,Fully Ambulatory
Gutierrez ARCH Inc,Ruby Gutierrez Brister,Type I Expanded Adult Residential Care Home,3374-A Maunaloa Avenue,Honolulu,Oahu,8083947402,1484-C,5,Ambulatory
Halawa Care Home LLC,Marites Collado,Type I Expanded Adult Residential Care Home,99-626 Halawa Drive,Aiea,Oahu,8083728390,1532-C,5,Ambulatory
Hale Harmony,Tina Diaz,Type I Expanded Adult Residential Care Home,1631 Owawa Street,Honolulu,Oahu,8083866493,1354-C,5,Ambulatory
Hale Kuike,Dorothy Colby,Type II Expanded Adult Residential Care Home,95 Kawananakoa Place,Honolulu,Oahu,8085956770,1348-C,26,Ambulatory
"Hale Ku'ike Bayside, LLC",Scott Gardiner,Type II Expanded Adult Residential Care Home,45-212 Kaneohe Bay Drive,Kaneohe,Oahu,8082356770,1506-C,28,Ambulatory
"Hale Kuike Pali, LLC",David Fitzgerald,Type II Expanded Adult Residential Care Home,2627 Pali Highway,Honolulu,Oahu,8085256770,1589-C,28,Ambulatory
Hale Lehua Carehome,Romeo Valdez,Type I  Adult Residential Care Home,984 Ala Lehua Street,Honolulu,Oahu,8086742563,1523-C,5,Ambulatory
Hale Lilikoi,Soo Yeon Phillips,Type I  Adult Residential Care Home,1033 Ala Lilikoi Street,Honolulu,Oahu,8082232425,1597-C,5,Ambulatory
