Facility ID,State Facility Type 1 Literal,Facility Name,Address,City,State,Zip,County,Capacity,License Number,Phone Number,Email Address,Licensee,Ownership Type
UT000820,AL2,AUTUMN PARK ASSISTED LIVING LLC,548 NORTH 1100 EAST,WASHINGTON,UT,84780,WASHINGTON,16,2021-ALII-UT000820,(435) 275-4458,chrisjholub@gmail.com,AUTUMN PARK ASSISTED LIVING LLC,FOR PROFIT - C
UT207344,AL2,AVAMERE AT MOUNTAIN RIDGE,1885 EAST SKYLINE DRIVE,SOUTH OGDEN,UT,84403,WEBER,119,2020-ALII-UT207344,(801) 475-5111,jdelvecchio@avamere.com,"ARI CBC, LLC",FOR PROFIT - C
UT000751,AL2,BARRINGTON PLACE ALZHEIMER'S SPECIAL CARE CENTER,1404 NORTH 2000 WEST,CLINTON,UT,84015,DAVIS,66,2020-ALII-UT000751,(801) 525-9177,dale.parker@jeaseniorliving.com,"SHI BARRINGTON PLACE, LLC",FOR PROFIT - C
UT000836,AL2,"BEACON CREST MANAGEMENT OF DRAPER, LLC",591 EAST PIONEER ROAD,DRAPER,UT,84020,SALT LAKE,25,2019-ALII-UT000836,(801) 951-1300,davidm@beaconcrest.com,"BEACON CREST MANAGEMENT, LLC",FOR PROFIT - C
UT000339,AL2,BEEHIVE HOMES OF AMERICAN FORK SOUTH BUILDING TWO,164 WEST 200 SOUTH,AMERICAN FORK,UT,84003,UTAH,16,2021-ALII-104705,(801) 216-4110,carrie.brown@welbrook.com,"TIMPANOGOS TERRACE ASSISTED LIVING, LLC",FOR PROFIT - C
UT000798,AL2,BEEHIVE HOMES OF CEDAR CITY #3,432 WEST 1325 NORTH,CEDAR CITY,UT,84721,IRON,30,2020-ALII-UT000798,(435) 867-8641,acarlile@beehivehomes.com,"VAN DORN LAND HOLDINGS, LLC",FOR PROFIT - C
UT000407,AL2,BEEHIVE HOMES OF DRAPER,711 EAST PIONEER ROAD,DRAPER,UT,84020,SALT LAKE,19,2021-ALII-95437,(801) 381-2041,s_ketcher@comcast.net,BEEHIVE HOMES OF DRAPER,FOR PROFIT-PAR
UT000646,AL2,BEEHIVE HOMES OF DRAPER #2,707 EAST PIONEER RD,DRAPER,UT,84020,SALT LAKE,16,2019-ALII-UT000646,(801) 381-2041,s_ketcher@comcast.net,BEEHIVE HOMES OF DRAPER,FOR PROFIT - C
UT000512,AL2,BEEHIVE HOMES OF EAST MILLCREEK,3681 SOUTH 2300 EAST,SALT LAKE CITY,UT,84109,SALT LAKE,16,2021-ALII-UT000512,(801) 272-2290,syoung@ashsco.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C
UT000651,AL2,BEEHIVE HOMES OF HERRIMAN #1,6352 WEST 13100 SOUTH,HERRIMAN,UT,84096,SALT LAKE,24,2020-ALII-UT000651,(801) 703-4779,beehivehomesherriman@gmail.com,CMAK HOLDINGS LLC,FOR PROFIT - C
UT000881,AL2,BEEHIVE HOMES OF KANAB AL2,1364 SOUTH POWELL DRIVE,KANAB,UT,84741,KANE,7,2020-ALII-UT000881,(435) 644-8100,chad@beehivehomes.com,"CARE AGE PROPERTIES, LLC",
UT000479,AL2,BEEHIVE HOMES OF LEHI,322 NORTH 2375 WEST,LEHI,UT,84043,UTAH,20,2021-ALII-UT000479,(801) 766-6689,ashlee@ashsco.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C
UT000492,AL2,BEEHIVE HOMES OF NAPLES,1923 EAST 2000 SOUTH,VERNAL,UT,84078,UINTAH,16,2021-ALII-UT000492,(435) 789-6789,beehiveofvernal@gmail.com,"4 HALLS ENTERPRISES, INC.",
UT000672,AL2,BEEHIVE HOMES OF PARK CITY,241 WEST HIGHLAND DRIVE,PARK CITY,UT,84098,SUMMIT,20,2021-ALII-UT000672,(435) 649-0977,awatson@ashsco.com,"MERCHANT MANAGEMENT, LLC",
UT000538,AL2,BEEHIVE HOMES OF PAYSON,661 EAST 700 SOUTH,PAYSON,UT,84651,UTAH,21,2021-ALII-UT000538,(801) 658-5025,dennismcgraw@beehivehomes.com,DMLM LLC,FOR PROFIT - C
UT000518,AL2,BEEHIVE HOMES OF PERRY,126 WEST 1550 SOUTH,PERRY,UT,84302,BOX ELDER,20,2020-ALII-UT000518,(435) 723-1724,jbischoff@ashsco.com,"ORCHARD HOLLOW LAND HOLDINGS, LLC",FOR PROFIT-IND
UT000742,AL2,BEEHIVE HOMES OF PROVO #2,3144 WEST CENTER STREET,PROVO,UT,84601,UTAH,24,2019-ALII-UT000742,(801) 607-2531,beehivehomesofprovo@gmail.com,BEEHIVE HOMES OF UTAH VALLEY,FOR PROFIT - C
UT000825,AL2,BEEHIVE HOMES OF RIVERTON,12524 SOUTH DOREEN DRIVE,RIVERTON,UT,84065,SALT LAKE,18,2020--UT000825,(801) 253-2237,jhernandez@beehivehomes.com,"HERNANDEZ & ROBLES PROPERTY & BUILDING, LLC",FOR PROFIT - C
UT000537,AL2,BEEHIVE HOMES OF SALEM II,1015 SOUTH 550 WEST,SALEM,UT,84653,UTAH,4,2020-ALII-UT000537,(801) 423-2305,dennismcgraw@beehivehomes.com,DMLM LLC,FOR PROFIT - C
UT000769,AL2,BEEHIVE HOMES OF SALT LAKE,2891 SOUTH 2000 EAST,SALT LAKE CITY,UT,84109,SALT LAKE,24,2021-ALII-UT000769,(801) 272-2290,syoung@ashsco.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C
UT207340,AL2,BEEHIVE HOMES OF SANTAQUIN,409 SOUTH 300 WEST,SANTAQUIN,UT,84655,UTAH,20,2021-ALII-UT207340,(801) 754-3997,dennismcgraw@beehivehomes.com,BEEHIVE HOMES OF SANTAQUIN,
UT000847,AL2,BEEHIVE HOMES OF SOUTH JORDAN,3430 WEST 11400 SOUTH,SOUTH JORDAN,UT,84095,SALT LAKE,30,2019-ALII-UT000847,(801) 996-3777,tina@beehivehomes.com,"DTAJRM, LLC",FOR PROFIT - C
UT000760,AL2,BEEHIVE HOMES OF SPANISH FORK,858 EAST 100 SOUTH,SPANISH FORK,UT,84660,UTAH,16,2019-ALII-UT000760,(801) 798-8188,dennismcgraw@beehivehomes.com,DMLM LLC,FOR PROFIT - C
UT207327,AL2,BEEHIVE HOMES OF ST GEORGE #2,1555 WEST 1170 NORTH,ST GEORGE,UT,84770,WASHINGTON,15,2019-ALII-UT207327,(435) 634-8321,chad@beehivehomes.com,"CAREAGE PROPERTIES, LLC",FOR PROFIT - C
UT000778,AL2,BEEHIVE HOMES OF SYRACUSE,1407 SOUTH 2000 WEST,SYRACUSE,UT,84075,DAVIS,22,2020-ALII-UT000778,(801) 776-7000,jcraythorne@hotmail.com,SEVIER CANYON PROPERTIES LLC,FOR PROFIT - C
UT000270,AL2,BEEHIVE HOMES OF VERNAL,540 SOUTH 2050 WEST,VERNAL,UT,84078,UINTAH,16,2020-ALII-UT000270,(435) 789-3456,beehiveofvernal@gmail.com,"4 HALLS ENTERPRISES, INC.",FOR PROFIT-PAR
UT000246,AL2,BEEHIVE HOMES OF WASHINGTON COUNTY #6,"2041 SOUTH MESA PALMS DRIVE, BUILDING B",ST GEORGE,UT,84770,WASHINGTON,14,2019-ALII-UT000246,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C
UT000317,AL2,BEEHIVE HOMES OF WASHINGTON COUNTY #7,1078 NORTH CORAL CANYON BOULEVARD,WASHINGTON,UT,84780,WASHINGTON,16,2019-ALII-UT000317,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C
UT000464,AL2,BEEHIVE HOMES OF WASHINGTON COUNTY #8,2397 SOUTH RIVER ROAD,ST GEORGE,UT,84790,WASHINGTON,16,2019-ALII-UT000464,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C
UT000954,AL2,BEEHIVE HOMES OF WASHINGTON COUNTY #9,"831 SOUTH 700 WEST, BUILDING B",HURRICANE,UT,84737,WASHINGTON,15,2020-ALII-UT000954,(435) 627-0023,shorne@beehivehomes.com,"JOEL C. HORNE & CO., INC.",
UT000123,AL2,BEEHIVE HOMES OF WASHINGTON COUNTY IV,"2041 SOUTH MESA PALMS DRIVE, BUILDING A",ST GEORGE,UT,84770,WASHINGTON,14,2019-ALII-UT000123,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C
UT000266,AL2,BEEHIVE HOMES OF WEST JORDAN #3,8892 SOUTH 2700 WEST,WEST JORDAN,UT,84088,SALT LAKE,32,2021-ALII-UT000266,(801) 569-2771,rebecca@ashsco.com,"KNIGHTSHAYES LAND HOLDINGS, LLC",FOR PROFIT - C
UT207328,AL2,BEL AIRE SENIOR LIVING,1088 EAST 390 SOUTH,AMERICAN FORK,UT,84003,UTAH,61,2020-ALII-46759,(801) 763-0622,steve@belaire-assistedliving.com,BEL AIRE SENIOR LIVING LLC,FOR PROFIT - C
UT000933,AL2,BELLAVIEW ASSISTED LIVING AND MEMORY CARE,1049 WEST 3200 NORTH,LEHI,UT,84043,UTAH,73,2020-ALII-UT000933,(801) 980-8100,info@bellaviewassistedliving.com,BELLAVIEW AL MANAGEMENT LC,
UT000951,AL2,BIRCH CREEK ASSISTED LIVING,532 SOUTH MAIN STREET,SMITHFIELD,UT,84335,CACHE,56,2020-ALII-UT000951,(435) 554-1776,chris@birchcreekassistedliving.com,"BIRCH CREEK ASSISTED LIVING, LLC",
UT000827,AL2,BLACKSMITH FORK ASSISTED LIVING,680 EAST MAIN STREET,HYRUM,UT,84319,CACHE,40,2020--UT000827,(435) 994-3000,jordan@blacksmithforkassistedliving.com,"HALC, LLC",FOR PROFIT - C
UT207317,AL2,BRIGHTON HOUSE OF RIVERTON,12894 SOUTH 1615 WEST,RIVERTON,UT,84065,SALT LAKE,16,2020-ALII-UT207317,(801) 254-8966,Ervlogan@gmail.com,"BRIGHTON HOUSE ASSISTED LIVING, LLC",FOR PROFIT - C
UT207335,AL2,BROOKDALE CEDAR CITY,995 SOUTH REGENCY ROAD,CEDAR CITY,UT,84720,IRON,75,2020-ALII-97340,(435) 867-0055,bparker4@brookdale.com,"EMERITUS CORPORATION, LLC",FOR PROFIT - C
UT207239,AL2,CACHE VALLEY ASSISTED LIVING,233 NORTH MAIN STREET,PROVIDENCE,UT,84332,CACHE,54,2021-ALII-UT207239,(435) 792-4770,kari@cachevalleyassistedliving.com,"MRSC UT CACHE VALLEY MASTER TENANT, LLC",FOR PROFIT - C
UT207233,AL2,CANYON BREEZE SENIOR LIVING,380 EAST 240 NORTH,OREM,UT,84057,UTAH,21,2021-ALII-772,(801) 226-8338,canyonbreezesl@gmail.com,CANYON BREEZE SENIOR LIVING LLC,FOR PROFIT - C
UT207329,AL2,CAPITOL HILL SENIOR LIVING,76 SOUTH 500 EAST,SALT LAKE CITY,UT,84102,SALT LAKE,127,2021-ALII-UT207329,(801) 359-0050,CapitolHill.ED@stellarliving.com,"S-H OPCO SALT LAKE CITY, LLC",FOR PROFIT - C
UT000350,AL2,CARRINGTON COURT,1928 WEST 9800 SOUTH,SOUTH JORDAN,UT,84095,SALT LAKE,105,2020-ALII-88785,(801) 676-8787,michaelm@carringtoncourtal.com,"CARRINGTON COURT, LLC",
UT207228,AL2,CEDARWOOD AT SANDY ASSISTED LIVING,625 EAST 11000 SOUTH,SANDY,UT,84070,SALT LAKE,95,2019-ALII-UT207228,(801) 572-4456,austin.sorenson@kiscosl.com,"KC SANDY, LLC",FOR PROFIT - C
UT207331,AL2,CHANCELLOR GARDENS OF CLEARFIELD,1425 SOUTH 1500 EAST,CLEARFIELD,UT,84015,DAVIS,152,2021-ALII-UT207331,(801) 779-0798,rodneywashburn@mbk.com,S-H CLEARFIELD OPCO LLC,FOR PROFIT - C
UT207332,AL2,COTTAGE GLEN,1892 NORTH AARON DRIVE,TOOELE,UT,84074,TOOELE,56,2019-ALII-36706,(435) 882-7990,bomcottageglen@seniormc.net,"TOOELE SENIOR COTTAGES, LLC",FOR PROFIT - C
UT000597,AL2,COTTONWOOD CREEK II,1245 EAST MURRAY HOLLADAY ROAD,SALT LAKE CITY,UT,84117,SALT LAKE,16,2021-ALII-UT000597,(801) 263-0999,morganware@mbk.com,"SSSHT OPCO 1245 E MURRAY HOLLADAY ROAD, LLC",FOR PROFIT - C
UT000308,AL2,"COUNTRY HOME ASSISTED LIVING, INC",565 EAST MEDICAL DRIVE,BOUNTIFUL,UT,84010,DAVIS,11,2021-ALII-UT000308,(385) 206-3679,gildamcbride@gmail.com,COUNTRY OAKS ASSISTED LIVING OF BOUNTIFUL,NON PROFIT-OTH
UT000284,AL2,COUNTRY LANE OF CENTRAL SANDY,9532 SOUTH 700 EAST,SANDY,UT,84070,SALT LAKE,16,2021-ALII-UT000284,(801) 572-1298,kadielynn.countrylane@gmail.com,"COUNTRY LANE SANDY HOLDING, LLC",FOR PROFIT - C
UT207200,AL2,COUNTRY PINES RETIREMENT HOME,1748 WEST 1800 NORTH,CLINTON,UT,84015,DAVIS,66,2020-ALII-540,(801) 773-1649,andrea@countrypines.org,COUNTRY PINES LIMITED PARTNERSHIP,FOR PROFIT-PAR
UT000676,AL2,COUNTRY VIEW ASSISTED LIVING,2901 WEST CENTER STREET,PROVO,UT,84601,UTAH,25,2020-ALII-UT000676,(801) 377-7737,director@countryviewliving.com,COUNTRY VIEW ASSISTED LIVING LLC,FOR PROFIT - C
UT207334,AL2,COURTYARD AT JAMESTOWN ASSISTED LIVING,3352 NORTH 100 EAST,PROVO,UT,84604,UTAH,162,2020-ALII-UT207334,(801) 377-3730,mhohrein@stellarliving.com,"JAMESTOWN OPERATIONS, LLC",FOR PROFIT - C
UT000819,AL2,COVINGTON SENIOR LIVING,1925 NORTH STATE STREET,OREM,UT,84057,UTAH,102,2020-ALII-UT000819,(801) 494-2020,tylyn@covingtonliving.com,MIC ROCK SENIOR CARE,FOR PROFIT - C
UT000856,AL2,COVINGTON SENIOR LIVING OF LEHI,301 NORTH 1200 EAST,LEHI,UT,84043,UTAH,119,2020-ALII-UT000856,(385) 484-8899,barry@covingtonliving.com,COVINGTON SENIOR LIVING,FOR PROFIT - C
UT000121,AL2,COVINGTON VILLAGE,92 SOUTH 800 EAST,OREM,UT,84097,UTAH,32,2021-ALII-UT000121,(801) 494-2042,sarahc@covingtonliving.com,"M, LLC",FOR PROFIT-PAR
UT000846,AL2,CREEKSIDE SENIOR LIVING,430 WEST 400 NORTH,BOUNTIFUL,UT,84010,DAVIS,160,2020-ALII-UT000846,(801) 294-0303,chuskinson@stellarliving.com,"CREEKSIDE OPERATIONS, LLC",FOR PROFIT - C
UT000367,AL2,DIAMOND JANE'S ASSISTED LIVING,345 SOUTH HALE STREET,GRANTSVILLE,UT,84029,TOOELE,16,2020-ALII-90309,(435) 249-0394,michelle@diamondjanes.com,"BS DIAMOND PROPERTIES, LLC",
UT207356,AL2,ELK MEADOWS ASSISTED LIVING AND MEMORY CARE,4200 NORTH 400 WEST,OAKLEY,UT,84055,SUMMIT,50,2021-ALII-UT207356,(435) 783-5575,alnurse@elkmeadowsalf.com,"COLINA OAKLEY PROPCO, LLC",FOR PROFIT - C
UT000612,AL2,ELK RIDGE ASSISTED LIVING,218 WEST OLYMPIC LANE,ELK RIDGE,UT,84651,UTAH,33,2021-ALII-UT000612,(801) 504-6091,elkridgeassistedliving@yahoo.com,ELK RIDGE ASSISTED LIVING,FOR PROFIT - C
UT000438,AL2,FAIRFIELD VILLAGE OF LAYTON,1201 NORTH FAIRFIELD ROAD,LAYTON,UT,84041,DAVIS,112,2019-ALII-UT000438,(801) 807-0112,awilliams@fairfieldvillagelayton.com,CHP LAYTON UT TENANT CORP.,FOR PROFIT - C
UT000363,AL2,FAMILY TREE OF MORGAN,862 EAST MAHOGANY RIDGE ROAD,MORGAN,UT,84050,MORGAN,47,2020-ALII-89705,(801) 829-5120,jenny@familytreeliving.com,"FAMILY TREE AT MORGAN, LLC",FOR PROFIT - C
UT000207,AL2,FAMILY TREE OF WEST POINT,421 NORTH 3150 WEST,WEST POINT,UT,84015,DAVIS,39,2019-ALII-75856,(801) 775-8733,Jenny@familytreeliving.com,"FAMILY TREE AT WEST POINT, LLC",FOR PROFIT - C
UT000695,AL2,GABLES OF BRIGHAM CITY,997 SOUTH 800 WEST,BRIGHAM CITY,UT,84302,BOX ELDER,45,2020-ALII-UT000695,(435) 239-8780,jfromm.gables@gmail.com,ENSIGN ASSISTED LIVING LLC,FOR PROFIT - C
UT000560,AL2,GABLES OF NORTH LOGAN ASSISTED LIVING,455 EAST 2500 NORTH,N LOGAN,UT,84341,CACHE,16,2020-ALII-UT000560,(435) 258-8828,rspackman@thegablesfamily.com,"GABLES HOLDINGS, LLC",FOR PROFIT - C
UT000276,AL2,GOLDEN SKYLINE ASSISTED LIVING #2,76 NORTH 100 WEST,EPHRAIM,UT,84627,SANPETE,16,2019-ALII-UT000276,(435) 283-4922,admin@GSALteam.com,"RICHARD AND BONNIE NIELSON, LLC",FOR PROFIT - C
UT000168,AL2,GOOD LIFE SENIOR LIVING MOUNT PLEASANT,160 EAST 200 NORTH,MOUNT PLEASANT,UT,84647,SANPETE,16,2021-ALII-UT000168,(435) 462-9494,carolyn.countrylane@gmail.com,"PROCARE, LLC",
UT000275,AL2,GOOD LIFE SENIOR LIVING PRICE,1025 WEST 470 NORTH,PRICE,UT,84501,CARBON,16,2020-ALII-UT000275,(435) 636-4483,adminprice@goodlifeofutah.com,"CEDAR MOUNTAIN ESTATES, LLC",FOR PROFIT - C
UT000965,AL2,HARMONY HILLS ASSISTED LIVING - DRAPER,1393 EAST PIONEER ROAD,DRAPER,UT,84020,SALT LAKE,96,2020-ALII-UT000965,(385) 386-3003,lindsey@harmonyhillsassistedliving.com,,
UT000849,AL2,HARMONY HILLS MIDVALE,6968 SOUTH 700 WEST,MIDVALE,UT,84047,SALT LAKE,45,2021-ALII-UT000849,(385) 722-9700,k.lackey@harmonyhillsassistedliving.com,HHALMID,FOR PROFIT - C
UT000794,AL2,HARMONY HILLS OF LEHI,564 WEST MAIN STREET,LEHI,UT,84043,UTAH,62,2021-ALII-UT000794,(801) 753-7355,lindsey@harmonyhillsassistedliving.com,"HHLA UTAH, INC.",FOR PROFIT - C
UT000892,AL2,HAVEN AT SKY MOUNTAIN,2192 WEST 100 NORTH,HURRICANE,UT,84737,WASHINGTON,90,2020-ALII-UT000892,(435) 674-7883,apalmer@havenassistedliving.com,HAVEN AT SKY MOUNTAIN,FOR PROFIT - C
UT207337,AL2,HEARTHSTONE MANOR ASSISTED LIVING,1424 SOUTH 1700 EAST,SPANISH FORK,UT,84660,UTAH,32,2021-ALII-UT207337,(801) 798-1500,hsm.utah@gmail.com,"C&C ASSISTED LIVIING MANOR, LLC",FOR PROFIT - C
UT207325,AL2,HEBER VALLEY ASSISTED LIVING,905 SOUTHFIELD ROAD,HEBER CITY,UT,84032,WASATCH,16,2021-ALII-67540,(435) 657-2536,hvalstacy@gmail.com,SANTE ASSISTED LIVING HEBER LLC,FOR PROFIT - C
UT207336,AL2,HEIRLOOM INN,145 NORTH CARBON AVENUE,PRICE,UT,84501,CARBON,75,2021-ALII-16260,(435) 636-8441,heirloom2000@gmail.com,HEIRLOOM INN INC.,FOR PROFIT - C
UT000839,AL2,"HERITAGE GARDENS OF SPRINGVILLE, UTAH, LLC",321 EAST 800 SOUTH,SPRINGVILLE,UT,84663,UTAH,30,2021-ALII-UT000839,(801) 489-3344,rebeccavomdorp@gmail.com,"HERITAGE GARDENS OF SPRINGVILLE, UTAH, LLC",FOR PROFIT - C
UT000823,AL2,"HIDDEN VALLEY ASSISTED LIVING, LLC",1367 SHADOW VALLEY DRIVE,OGDEN,UT,84403,WEBER,62,2021-ALII-UT000823,(801) 689-0500,buffy@hiddenvalleyassistedliving.com,SHADOW VALLEY LAND HOLDING LLC,FOR PROFIT - C
UT000455,AL2,HIGHLAND GLEN,10322 NORTH 4800 WEST,HIGHLAND,UT,84003,UTAH,72,2021-ALII-UT000455,(801) 610-3500,johnorten@mbk.com,S-H ASHFORD OPCO LLC,FOR PROFIT - C
UT207236,AL2,LAKE RIDGE SENIOR LIVING - NORTH,960 SOUTH GENEVA ROAD,OREM,UT,84058,UTAH,35,2021-ALII-UT207236,(801) 225-6559,cacorry@ensignservices.net,"MOUNTAIN VIEW RETIREMENT, INC.",FOR PROFIT - C
UT000633,AL2,LAUREL GROVES ASSISTED LIVING CENTER,549 NORTH 400 EAST,NEPHI,UT,84648,JUAB,34,2019-ALII-UT000633,(435) 623-5000,mercy1956@msn.com,"OLD HOSPITAL SQUARE, LLC",FOR PROFIT - C
UT000738,AL2,"LAYTON PARK MEMORY CARE, LLC","101 NORTH FORT LANE, SUITE 200",LAYTON,UT,84041,DAVIS,16,2021-ALII-UT000738,(801) 448-0955,admin.laytonpark@appianmanagement.com,"LAYTON PARK ASSISTED LIVING, LLC",FOR PROFIT-PAR
UT207341,AL2,LEGACY HOUSE ASSISTED LIVING OF SOUTH JORDAN,1517 WEST TEMPLE LANE,SOUTH JORDAN,UT,84095,SALT LAKE,87,2021-ALII-17895,(801) 254-0373,roseb@wslm.biz,"JORDAN HOUSE ASSISTED LIVING, LC",NON PROFIT-OTH
UT207231,AL2,LEGACY HOUSE OF BOUNTIFUL,79 EAST CENTER STREET,BOUNTIFUL,UT,84010,DAVIS,118,2019-ALII-971,(801) 294-2925,davidc@wslm.biz,LEGACY HOUSE OF BOUNTIFUL LLC,FOR PROFIT - C
UT207343,AL2,LEGACY HOUSE OF LOGAN ASSISTED LIVING,330 EAST 1400 NORTH,LOGAN,UT,84341,CACHE,110,2020-ALII-40714,(435) 755-2877,meagans@wslm.biz,"LOGAN HOUSE ASSISTED LIVING, LLC",FOR PROFIT - C
UT207352,AL2,LEGACY HOUSE OF OGDEN,5526 SOUTH ADAMS AVENUE,OGDEN,UT,84405,WEBER,91,2020-ALII-15869,(801) 476-7111,bradleyd@wslm.biz,WASHINGTON HOUSE LLC/WESTERN STATES LODGING,FOR PROFIT - C
UT000866,AL2,LEGACY HOUSE OF PARK LANE,547 NORTH STATION PARKWAY,FARMINGTON,UT,84025,DAVIS,150,2019-ALII-UT000866,(801) 939-4600,kylem@wslm.biz,WESTERN STATES LODGING AND MANAGEMENT,FOR PROFIT - C
UT000588,AL2,LEGACY HOUSE OF SPANISH FORK,1449 EAST 150 SOUTH,SPANISH FORK,UT,84660,UTAH,108,2020-ALII-UT000588,(801) 892-2000,scottc@wslm.biz,"SPANISH FORK ASSISTED LIVING, LLC",FOR PROFIT - C
UT000143,AL2,LEGACY HOUSE OF TAYLORSVILLE,6302 SOUTH GOLD MEDAL DRIVE,TAYLORSVILLE,UT,84129,SALT LAKE,105,2019-ALII-64351,(801) 327-8400,linn@wslm.biz,"LEGACY WEST ASSISTED LIVING, LLC",FOR PROFIT - C
UT000385,AL2,LEGACY VILLAGE MEMORY CARE,5472 SOUTH 3200 WEST,TAYLORSVILLE,UT,84129,SALT LAKE,42,2021-ALII-92169,(801) 613-4600,info@legacyrehabtaylorsville.com davidm1@wslm.biz,"LEGACY VILLAGE HEALTHCARE, LLC",FOR PROFIT - C
UT000714,AL2,LEGACY VILLAGE OF PROVO,4146 NORTH UNIVERSITY AVE,PROVO,UT,84604,UTAH,150,2020-ALII-UT000714,(801) 374-3384,jaredn@wslm.biz,"ORCHARD ESTATES ASSISTED LIVING I, LLC",FOR PROFIT - C
UT000805,AL2,LEGACY VILLAGE OF SUGAR HOUSE,1212 EAST WILMINGTON AVENUE,SALT LAKE CITY,UT,84106,SALT LAKE,160,2020-ALII-UT000805,(801) 486-6000,davee@wslm.biz,"LEGACY VILLAGE OF SUGAR HOUSE, LLC",FOR PROFIT - C
UT000536,AL2,LOTUS PARK CARE CENTERS,2639 WEST 3520 SOUTH,WEST HAVEN,UT,84401,WEBER,54,2021-ALII-UT000536,(801) 732-5290,ryan.jensen@avalonseniorliving.com,"GAHC4 WEST HAVEN UT TRS SUB, LLC",FOR PROFIT - C
UT000476,AL2,MAPLE SPRINGS,1040 SOUTH MEDICAL DRIVE,BRIGHAM CITY,UT,84302,BOX ELDER,36,2020-ALII-102056,(435) 723-9100,dustin@maplespringsliving.com,"MAPLE SPRINGS, LLC",FOR PROFIT - C
UT000775,AL2,MAPLE SPRINGS OF NORTH LOGAN,350 EAST 2200 NORTH,NORTH LOGAN,UT,84341,CACHE,80,2020-ALII-UT000775,(435) 753-9400,jessica@maplespringsliving.com,"MAPLE SPRINGS MANAGEMENTS, LLC",FOR PROFIT - C
UT000934,AL2,MILLCREEK MEADOWS,1624 EAST 4500 SOUTH,SALT LAKE CITY,UT,84117,SALT LAKE,36,2020-ALII-UT000934,(801) 456-8700,michelle@millcreekseniorliving.com,"ZENITH AL I, LLC",FOR PROFIT-PAR
