Facility ID,State Facility Type 2 Literal,Facility Name,Address,City,State,Zip Code,County,Capacity,License Number,Phone Number,Email Address,Licensee,Ownership Type,Date Accessed,State Facility Type 1 Literal
UT000407,AL2,Beehive Homes Of Draper,711 EAST PIONEER ROAD,Draper,UT,84020,Salt Lake,19,2021-ALII-95437,(801) 381-2041,s_ketcher@comcast.net,BEEHIVE HOMES OF DRAPER,FOR PROFIT-PAR,7/6/21,ASSISTED LIVING FACILITY
UT000646,AL2,Beehive Homes Of Draper #2,707 EAST PIONEER RD,Draper,UT,84020,Salt Lake,16,2019-ALII-UT000646,(801) 381-2041,s_ketcher@comcast.net,BEEHIVE HOMES OF DRAPER,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000512,AL2,Beehive Homes Of East Millcreek,3681 SOUTH 2300 EAST,Salt Lake City,UT,84109,Salt Lake,16,2021-ALII-UT000512,(801) 272-2290,syoung@ashsco.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000651,AL2,Beehive Homes Of Herriman #1,6352 WEST 13100 SOUTH,Herriman,UT,84096,Salt Lake,24,2020-ALII-UT000651,(801) 703-4779,beehivehomesherriman@gmail.com,CMAK HOLDINGS LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000881,AL2,Beehive Homes Of Kanab Al2,1364 SOUTH POWELL DRIVE,Kanab,UT,84741,Kane,7,2020-ALII-UT000881,(435) 644-8100,chad@beehivehomes.com,"CARE AGE PROPERTIES, LLC",,7/6/21,ASSISTED LIVING FACILITY
UT000479,AL2,Beehive Homes Of Lehi,322 NORTH 2375 WEST,Lehi,UT,84043,Utah,20,2021-ALII-UT000479,(801) 766-6689,ashlee@ashsco.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000492,AL2,Beehive Homes Of Naples,1923 EAST 2000 SOUTH,Vernal,UT,84078,Uintah,16,2021-ALII-UT000492,(435) 789-6789,beehiveofvernal@gmail.com,"4 HALLS ENTERPRISES, INC.",,7/6/21,ASSISTED LIVING FACILITY
UT000672,AL2,Beehive Homes Of Park City,241 WEST HIGHLAND DRIVE,Park City,UT,84098,Summit,20,2021-ALII-UT000672,(435) 649-0977,awatson@ashsco.com,"MERCHANT MANAGEMENT, LLC",,7/6/21,ASSISTED LIVING FACILITY
UT000538,AL2,Beehive Homes Of Payson,661 EAST 700 SOUTH,Payson,UT,84651,Utah,21,2021-ALII-UT000538,(801) 658-5025,dennismcgraw@beehivehomes.com,DMLM LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000518,AL2,Beehive Homes Of Perry,126 WEST 1550 SOUTH,Perry,UT,84302,Box Elder,20,2020-ALII-UT000518,(435) 723-1724,jbischoff@ashsco.com,"ORCHARD HOLLOW LAND HOLDINGS, LLC",FOR PROFIT-IND,7/6/21,ASSISTED LIVING FACILITY
UT000742,AL2,Beehive Homes Of Provo #2,3144 WEST CENTER STREET,Provo,UT,84601,Utah,24,2019-ALII-UT000742,(801) 607-2531,beehivehomesofprovo@gmail.com,BEEHIVE HOMES OF UTAH VALLEY,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000825,AL2,Beehive Homes Of Riverton,12524 SOUTH DOREEN DRIVE,Riverton,UT,84065,Salt Lake,18,2020--UT000825,(801) 253-2237,jhernandez@beehivehomes.com,"HERNANDEZ & ROBLES PROPERTY & BUILDING, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000537,AL2,Beehive Homes Of Salem Ii,1015 SOUTH 550 WEST,Salem,UT,84653,Utah,4,2020-ALII-UT000537,(801) 423-2305,dennismcgraw@beehivehomes.com,DMLM LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000769,AL2,Beehive Homes Of Salt Lake,2891 SOUTH 2000 EAST,Salt Lake City,UT,84109,Salt Lake,24,2021-ALII-UT000769,(801) 272-2290,syoung@ashsco.com,ALL SEASONS HEALTH SERVICES COMPANY,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207340,AL2,Beehive Homes Of Santaquin,409 SOUTH 300 WEST,Santaquin,UT,84655,Utah,20,2021-ALII-UT207340,(801) 754-3997,dennismcgraw@beehivehomes.com,BEEHIVE HOMES OF SANTAQUIN,,7/6/21,ASSISTED LIVING FACILITY
UT000847,AL2,Beehive Homes Of South Jordan,3430 WEST 11400 SOUTH,South Jordan,UT,84095,Salt Lake,30,2019-ALII-UT000847,(801) 996-3777,tina@beehivehomes.com,"DTAJRM, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000760,AL2,Beehive Homes Of Spanish Fork,858 EAST 100 SOUTH,Spanish Fork,UT,84660,Utah,16,2019-ALII-UT000760,(801) 798-8188,dennismcgraw@beehivehomes.com,DMLM LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207327,AL2,Beehive Homes Of St George #2,1555 WEST 1170 NORTH,St George,UT,84770,Washington,15,2019-ALII-UT207327,(435) 634-8321,chad@beehivehomes.com,"CAREAGE PROPERTIES, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000778,AL2,Beehive Homes Of Syracuse,1407 SOUTH 2000 WEST,Syracuse,UT,84075,Davis,22,2020-ALII-UT000778,(801) 776-7000,jcraythorne@hotmail.com,SEVIER CANYON PROPERTIES LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000270,AL2,Beehive Homes Of Vernal,540 SOUTH 2050 WEST,Vernal,UT,84078,Uintah,16,2020-ALII-UT000270,(435) 789-3456,beehiveofvernal@gmail.com,"4 HALLS ENTERPRISES, INC.",FOR PROFIT-PAR,7/6/21,ASSISTED LIVING FACILITY
UT000246,AL2,Beehive Homes Of Washington County #6,"2041 SOUTH MESA PALMS DRIVE, BUILDING B",St George,UT,84770,Washington,14,2019-ALII-UT000246,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000317,AL2,Beehive Homes Of Washington County #7,1078 NORTH CORAL CANYON BOULEVARD,Washington,UT,84780,Washington,16,2019-ALII-UT000317,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000464,AL2,Beehive Homes Of Washington County #8,2397 SOUTH RIVER ROAD,St George,UT,84790,Washington,16,2019-ALII-UT000464,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000954,AL2,Beehive Homes Of Washington County #9,"831 SOUTH 700 WEST, BUILDING B",Hurricane,UT,84737,Washington,15,2020-ALII-UT000954,(435) 627-0023,shorne@beehivehomes.com,"JOEL C. HORNE & CO., INC.",,7/6/21,ASSISTED LIVING FACILITY
UT000123,AL2,Beehive Homes Of Washington County Iv,"2041 SOUTH MESA PALMS DRIVE, BUILDING A",St George,UT,84770,Washington,14,2019-ALII-UT000123,(435) 619-1909,shorne@beehivehomes.com,JOEL C. HORNE & CO. INC.,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000266,AL2,Beehive Homes Of West Jordan #3,8892 SOUTH 2700 WEST,West Jordan,UT,84088,Salt Lake,32,2021-ALII-UT000266,(801) 569-2771,rebecca@ashsco.com,"KNIGHTSHAYES LAND HOLDINGS, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207328,AL2,Bel Aire Senior Living,1088 EAST 390 SOUTH,American Fork,UT,84003,Utah,61,2020-ALII-46759,(801) 763-0622,steve@belaire-assistedliving.com,BEL AIRE SENIOR LIVING LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000933,AL2,Bellaview Assisted Living And Memory Care,1049 WEST 3200 NORTH,Lehi,UT,84043,Utah,73,2020-ALII-UT000933,(801) 980-8100,info@bellaviewassistedliving.com,BELLAVIEW AL MANAGEMENT LC,,7/6/21,ASSISTED LIVING FACILITY
UT000951,AL2,Birch Creek Assisted Living,532 SOUTH MAIN STREET,Smithfield,UT,84335,Cache,56,2020-ALII-UT000951,(435) 554-1776,chris@birchcreekassistedliving.com,"BIRCH CREEK ASSISTED LIVING, LLC",,7/6/21,ASSISTED LIVING FACILITY
UT000827,AL2,Blacksmith Fork Assisted Living,680 EAST MAIN STREET,Hyrum,UT,84319,Cache,40,2020--UT000827,(435) 994-3000,jordan@blacksmithforkassistedliving.com,"HALC, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207317,AL2,Brighton House Of Riverton,12894 SOUTH 1615 WEST,Riverton,UT,84065,Salt Lake,16,2020-ALII-UT207317,(801) 254-8966,ervlogan@gmail.com,"BRIGHTON HOUSE ASSISTED LIVING, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207335,AL2,Brookdale Cedar City,995 SOUTH REGENCY ROAD,Cedar City,UT,84720,Iron,75,2020-ALII-97340,(435) 867-0055,bparker4@brookdale.com,"EMERITUS CORPORATION, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207239,AL2,Cache Valley Assisted Living,233 NORTH MAIN STREET,Providence,UT,84332,Cache,54,2021-ALII-UT207239,(435) 792-4770,kari@cachevalleyassistedliving.com,"MRSC UT CACHE VALLEY MASTER TENANT, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207233,AL2,Canyon Breeze Senior Living,380 EAST 240 NORTH,Orem,UT,84057,Utah,21,2021-ALII-772,(801) 226-8338,canyonbreezesl@gmail.com,CANYON BREEZE SENIOR LIVING LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207329,AL2,Capitol Hill Senior Living,76 SOUTH 500 EAST,Salt Lake City,UT,84102,Salt Lake,127,2021-ALII-UT207329,(801) 359-0050,capitolhill.ed@stellarliving.com,"S-H OPCO SALT LAKE CITY, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000350,AL2,Carrington Court,1928 WEST 9800 SOUTH,South Jordan,UT,84095,Salt Lake,105,2020-ALII-88785,(801) 676-8787,michaelm@carringtoncourtal.com,"CARRINGTON COURT, LLC",,7/6/21,ASSISTED LIVING FACILITY
UT207228,AL2,Cedarwood At Sandy Assisted Living,625 EAST 11000 SOUTH,Sandy,UT,84070,Salt Lake,95,2019-ALII-UT207228,(801) 572-4456,austin.sorenson@kiscosl.com,"KC SANDY, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207331,AL2,Chancellor Gardens Of Clearfield,1425 SOUTH 1500 EAST,Clearfield,UT,84015,Davis,152,2021-ALII-UT207331,(801) 779-0798,rodneywashburn@mbk.com,S-H CLEARFIELD OPCO LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207332,AL2,Cottage Glen,1892 NORTH AARON DRIVE,Tooele,UT,84074,Tooele,56,2019-ALII-36706,(435) 882-7990,bomcottageglen@seniormc.net,"TOOELE SENIOR COTTAGES, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000597,AL2,Cottonwood Creek Ii,1245 EAST MURRAY HOLLADAY ROAD,Salt Lake City,UT,84117,Salt Lake,16,2021-ALII-UT000597,(801) 263-0999,morganware@mbk.com,"SSSHT OPCO 1245 E MURRAY HOLLADAY ROAD, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000308,AL2,"Country Home Assisted Living, Inc",565 EAST MEDICAL DRIVE,Bountiful,UT,84010,Davis,11,2021-ALII-UT000308,(385) 206-3679,gildamcbride@gmail.com,COUNTRY OAKS ASSISTED LIVING OF BOUNTIFUL,NON PROFIT-OTH,7/6/21,ASSISTED LIVING FACILITY
UT000284,AL2,Country Lane Of Central Sandy,9532 SOUTH 700 EAST,Sandy,UT,84070,Salt Lake,16,2021-ALII-UT000284,(801) 572-1298,kadielynn.countrylane@gmail.com,"COUNTRY LANE SANDY HOLDING, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207200,AL2,Country Pines Retirement Home,1748 WEST 1800 NORTH,Clinton,UT,84015,Davis,66,2020-ALII-540,(801) 773-1649,andrea@countrypines.org,COUNTRY PINES LIMITED PARTNERSHIP,FOR PROFIT-PAR,7/6/21,ASSISTED LIVING FACILITY
UT000676,AL2,Country View Assisted Living,2901 WEST CENTER STREET,Provo,UT,84601,Utah,25,2020-ALII-UT000676,(801) 377-7737,director@countryviewliving.com,COUNTRY VIEW ASSISTED LIVING LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207334,AL2,Courtyard At Jamestown Assisted Living,3352 NORTH 100 EAST,Provo,UT,84604,Utah,162,2020-ALII-UT207334,(801) 377-3730,mhohrein@stellarliving.com,"JAMESTOWN OPERATIONS, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000819,AL2,Covington Senior Living,1925 NORTH STATE STREET,Orem,UT,84057,Utah,102,2020-ALII-UT000819,(801) 494-2020,tylyn@covingtonliving.com,MIC ROCK SENIOR CARE,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000856,AL2,Covington Senior Living Of Lehi,301 NORTH 1200 EAST,Lehi,UT,84043,Utah,119,2020-ALII-UT000856,(385) 484-8899,barry@covingtonliving.com,COVINGTON SENIOR LIVING,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000121,AL2,Covington Village,92 SOUTH 800 EAST,Orem,UT,84097,Utah,32,2021-ALII-UT000121,(801) 494-2042,sarahc@covingtonliving.com,"M, LLC",FOR PROFIT-PAR,7/6/21,ASSISTED LIVING FACILITY
UT000846,AL2,Creekside Senior Living,430 WEST 400 NORTH,Bountiful,UT,84010,Davis,160,2020-ALII-UT000846,(801) 294-0303,chuskinson@stellarliving.com,"CREEKSIDE OPERATIONS, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000367,AL2,Diamond Jane'S Assisted Living,345 SOUTH HALE STREET,Grantsville,UT,84029,Tooele,16,2020-ALII-90309,(435) 249-0394,michelle@diamondjanes.com,"BS DIAMOND PROPERTIES, LLC",,7/6/21,ASSISTED LIVING FACILITY
UT207356,AL2,Elk Meadows Assisted Living And Memory Care,4200 NORTH 400 WEST,Oakley,UT,84055,Summit,50,2021-ALII-UT207356,(435) 783-5575,alnurse@elkmeadowsalf.com,"COLINA OAKLEY PROPCO, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000612,AL2,Elk Ridge Assisted Living,218 WEST OLYMPIC LANE,Elk Ridge,UT,84651,Utah,33,2021-ALII-UT000612,(801) 504-6091,elkridgeassistedliving@yahoo.com,ELK RIDGE ASSISTED LIVING,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000438,AL2,Fairfield Village Of Layton,1201 NORTH FAIRFIELD ROAD,Layton,UT,84041,Davis,112,2019-ALII-UT000438,(801) 807-0112,awilliams@fairfieldvillagelayton.com,CHP LAYTON UT TENANT CORP.,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000363,AL2,Family Tree Of Morgan,862 EAST MAHOGANY RIDGE ROAD,Morgan,UT,84050,Morgan,47,2020-ALII-89705,(801) 829-5120,jenny@familytreeliving.com,"FAMILY TREE AT MORGAN, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000207,AL2,Family Tree Of West Point,421 NORTH 3150 WEST,West Point,UT,84015,Davis,39,2019-ALII-75856,(801) 775-8733,jenny@familytreeliving.com,"FAMILY TREE AT WEST POINT, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000695,AL2,Gables Of Brigham City,997 SOUTH 800 WEST,Brigham City,UT,84302,Box Elder,45,2020-ALII-UT000695,(435) 239-8780,jfromm.gables@gmail.com,ENSIGN ASSISTED LIVING LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000560,AL2,Gables Of North Logan Assisted Living,455 EAST 2500 NORTH,N Logan,UT,84341,Cache,16,2020-ALII-UT000560,(435) 258-8828,rspackman@thegablesfamily.com,"GABLES HOLDINGS, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000276,AL2,Golden Skyline Assisted Living #2,76 NORTH 100 WEST,Ephraim,UT,84627,Sanpete,16,2019-ALII-UT000276,(435) 283-4922,admin@gsalteam.com,"RICHARD AND BONNIE NIELSON, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000168,AL2,Good Life Senior Living Mount Pleasant,160 EAST 200 NORTH,Mount Pleasant,UT,84647,Sanpete,16,2021-ALII-UT000168,(435) 462-9494,carolyn.countrylane@gmail.com,"PROCARE, LLC",,7/6/21,ASSISTED LIVING FACILITY
UT000275,AL2,Good Life Senior Living Price,1025 WEST 470 NORTH,Price,UT,84501,Carbon,16,2020-ALII-UT000275,(435) 636-4483,adminprice@goodlifeofutah.com,"CEDAR MOUNTAIN ESTATES, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000965,AL2,Harmony Hills Assisted Living - Draper,1393 EAST PIONEER ROAD,Draper,UT,84020,Salt Lake,96,2020-ALII-UT000965,(385) 386-3003,lindsey@harmonyhillsassistedliving.com,,,7/6/21,ASSISTED LIVING FACILITY
UT000849,AL2,Harmony Hills Midvale,6968 SOUTH 700 WEST,Midvale,UT,84047,Salt Lake,45,2021-ALII-UT000849,(385) 722-9700,k.lackey@harmonyhillsassistedliving.com,HHALMID,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000794,AL2,Harmony Hills Of Lehi,564 WEST MAIN STREET,Lehi,UT,84043,Utah,62,2021-ALII-UT000794,(801) 753-7355,lindsey@harmonyhillsassistedliving.com,"HHLA UTAH, INC.",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000892,AL2,Haven At Sky Mountain,2192 WEST 100 NORTH,Hurricane,UT,84737,Washington,90,2020-ALII-UT000892,(435) 674-7883,apalmer@havenassistedliving.com,HAVEN AT SKY MOUNTAIN,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207337,AL2,Hearthstone Manor Assisted Living,1424 SOUTH 1700 EAST,Spanish Fork,UT,84660,Utah,32,2021-ALII-UT207337,(801) 798-1500,hsm.utah@gmail.com,"C&C ASSISTED LIVIING MANOR, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207325,AL2,Heber Valley Assisted Living,905 SOUTHFIELD ROAD,Heber City,UT,84032,Wasatch,16,2021-ALII-67540,(435) 657-2536,hvalstacy@gmail.com,SANTE ASSISTED LIVING HEBER LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207336,AL2,Heirloom Inn,145 NORTH CARBON AVENUE,Price,UT,84501,Carbon,75,2021-ALII-16260,(435) 636-8441,heirloom2000@gmail.com,HEIRLOOM INN INC.,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000839,AL2,"Heritage Gardens Of Springville, Utah, Llc",321 EAST 800 SOUTH,Springville,UT,84663,Utah,30,2021-ALII-UT000839,(801) 489-3344,rebeccavomdorp@gmail.com,"HERITAGE GARDENS OF SPRINGVILLE, UTAH, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000823,AL2,"Hidden Valley Assisted Living, Llc",1367 SHADOW VALLEY DRIVE,Ogden,UT,84403,Weber,62,2021-ALII-UT000823,(801) 689-0500,buffy@hiddenvalleyassistedliving.com,SHADOW VALLEY LAND HOLDING LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000455,AL2,Highland Glen,10322 NORTH 4800 WEST,Highland,UT,84003,Utah,72,2021-ALII-UT000455,(801) 610-3500,johnorten@mbk.com,S-H ASHFORD OPCO LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207236,AL2,Lake Ridge Senior Living - North,960 SOUTH GENEVA ROAD,Orem,UT,84058,Utah,35,2021-ALII-UT207236,(801) 225-6559,cacorry@ensignservices.net,"MOUNTAIN VIEW RETIREMENT, INC.",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000633,AL2,Laurel Groves Assisted Living Center,549 NORTH 400 EAST,Nephi,UT,84648,Juab,34,2019-ALII-UT000633,(435) 623-5000,mercy1956@msn.com,"OLD HOSPITAL SQUARE, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000738,AL2,"Layton Park Memory Care, Llc","101 NORTH FORT LANE, SUITE 200",Layton,UT,84041,Davis,16,2021-ALII-UT000738,(801) 448-0955,admin.laytonpark@appianmanagement.com,"LAYTON PARK ASSISTED LIVING, LLC",FOR PROFIT-PAR,7/6/21,ASSISTED LIVING FACILITY
UT207341,AL2,Legacy House Assisted Living Of South Jordan,1517 WEST TEMPLE LANE,South Jordan,UT,84095,Salt Lake,87,2021-ALII-17895,(801) 254-0373,roseb@wslm.biz,"JORDAN HOUSE ASSISTED LIVING, LC",NON PROFIT-OTH,7/6/21,ASSISTED LIVING FACILITY
UT207231,AL2,Legacy House Of Bountiful,79 EAST CENTER STREET,Bountiful,UT,84010,Davis,118,2019-ALII-971,(801) 294-2925,davidc@wslm.biz,LEGACY HOUSE OF BOUNTIFUL LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207343,AL2,Legacy House Of Logan Assisted Living,330 EAST 1400 NORTH,Logan,UT,84341,Cache,110,2020-ALII-40714,(435) 755-2877,meagans@wslm.biz,"LOGAN HOUSE ASSISTED LIVING, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207352,AL2,Legacy House Of Ogden,5526 SOUTH ADAMS AVENUE,Ogden,UT,84405,Weber,91,2020-ALII-15869,(801) 476-7111,bradleyd@wslm.biz,WASHINGTON HOUSE LLC/WESTERN STATES LODGING,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000866,AL2,Legacy House Of Park Lane,547 NORTH STATION PARKWAY,Farmington,UT,84025,Davis,150,2019-ALII-UT000866,(801) 939-4600,kylem@wslm.biz,WESTERN STATES LODGING AND MANAGEMENT,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000588,AL2,Legacy House Of Spanish Fork,1449 EAST 150 SOUTH,Spanish Fork,UT,84660,Utah,108,2020-ALII-UT000588,(801) 892-2000,scottc@wslm.biz,"SPANISH FORK ASSISTED LIVING, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
