Facid,Mcare ID,Mcaid ID,Type,Name,Address,Address2,City,State,Zip,County,Beds,Certified Beds,Medicare Beds,Medicaid Beds,Dually Certified Beds,ICFID Beds,License Expires,License,Administrator,Telephone,Email,CCN,Parent Company,Type,License Issued
UT0035,465066,8.70E+11,SNF/NF,AVALON WEST HEALTH & REHABILITATION,6246 SOUTH REDWOOD ROAD,,SALT LAKE CITY,UT,84123,SALT LAKE,120,120,0,0,120,0,7/31/21,2021-NCF-UT0035,"MR CORY GALLI, Administrator",(801) 969-1420,101_administrator@avalonhealthcare.com,465066,GUNNISON VALLEY HOSPITAL,,6/1/91
UT614065,465152,8.70E+11,SNF/NF,BELLA TERRA ST GEORGE,178 SOUTH 1200 EAST,,ST GEORGE,UT,84790,WASHINGTON,180,156,0,0,156,0,2/28/23,2021-NCF-UT614065,"MS DANA TALBOT, Administrator",(435) 688-1207,administrator@bellaterranursing.com,465152,BEAVER VALLEY HOSPITAL,GOVERNMENT-COU,6/1/95
UT0038,465096,2.72E+11,SNF/NF,CANYON RIM CARE CENTER,2730 EAST 3300 SOUTH,,SALT LAKE CITY,UT,84109,SALT LAKE,90,90,0,0,90,0,7/31/21,2021-NCF-UT0038,"MS MICHELLE BROZOWSKI, Administrator",(801) 487-0896,117_Administrator@avalonhealthcare.com,465096,GUNNISON VALLEY HOSPITAL,GOVERNMENT-HOS,3/15/81
UT0060,465090,8.80E+11,SNF/NF,CASCADES AT ORCHARD PARK,740 NORTH 300 EAST,,OREM,UT,84057,UTAH,52,52,0,0,52,0,7/31/21,2021-NCF-UT0060,"MR RILEY ANDERSON, Administrator",(801) 224-0921,administrator@orchardparkrehab.com,465090,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,4/1/89
UT0036,465143,8.70E+11,SNF/NF,CEDAR HEALTH AND REHABILITATION,411 WEST 1325 NORTH,,CEDAR CITY,UT,84721,IRON,120,120,0,0,120,0,2/28/23,2021-NCF-UT0036,"MR SPENCER EATON, Administrator",(435) 586-6481,FAC_cedarhealth-ED@ensignservices.net,465143,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,9/18/96
UT0076,465072,4.22E+11,SNF/NF,CITY CREEK POST-ACUTE,165 SOUTH 1000 EAST,,SALT LAKE CITY,UT,84102,SALT LAKE,108,108,0,0,108,0,5/31/21,2020-NCF-UT0076,"MR JARED MACDONALD, Administrator",(801) 322-5521,JMacDonald@ensignservices.net,465072,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,2/5/02
UT0080,465108,8.70E+11,SNF/NF,COPPER RIDGE HEALTH CARE,3706 WEST 9000 SOUTH,,WEST JORDAN,UT,84088,SALT LAKE,120,120,0,0,120,0,5/31/21,2019-NCF-UT0080,"MR K C ELLIS, Administrator",(801) 280-2273,KCEllis@EnsignServices.net,465108,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,12/29/86
UT0018,465083,81225581001,SNF/NF,CRESTWOOD REHABILITATION AND NURSING,3665 BRINKER AVENUE,,OGDEN,UT,84403,WEBER,88,88,0,0,88,0,1/31/22,2020-NCF-UT0018,"MR ETHAN FEY, Administrator",(801) 627-2273,administrator@crestwoodcarecenter.com,465083,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,3/15/81
UT0021,465091,8.70E+11,SNF/NF,DRAPER REHABILITATION AND CARE CENTER,12702 SOUTH FORT STREET,,DRAPER,UT,84020,SALT LAKE,93,93,0,0,93,0,5/31/21,2019-NCF-UT0021,"MR SPENCER COZZENS, Administrator",(801) 571-2704,scozzens@ensignservices.net,465091,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,10/1/82
UT0024,465085,6.91E+11,SNF/NF,EMERY COUNTY CARE AND REHABILITATION CENTER,455 WEST MILL ROAD,,FERRON,UT,84523,EMERY,51,51,0,0,51,0,8/31/22,2020-NCF-42,"MS QUINTIN HANSEN, Administrator",(435) 384-2301,emerycarecenter@gmail.com administrator@emerynursing.com,465085,EMERY COUNTY,GOVERNMENT-COU,3/15/81
UT0029,465057,8.70E+11,SNF/NF,FOUR CORNERS REGIONAL CARE CENTER,818 NORTH 400 WEST,,BLANDING,UT,84511,SAN JUAN,104,104,0,0,104,0,2/28/22,2020-NCF-UT0029,"MR GENTRY RAMSAY, Administrator",(435) 678-2251,administrator@fourcornerscare.com,465057,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,7/1/87
UT0090,465009,4.73E+11,SNF/NF,HARRISON POINTE HEALTHCARE AND REHABILITATION,3430 HARRISON BOULEVARD,,OGDEN,UT,84403,WEBER,63,63,0,0,63,0,12/31/21,2020-NCF-UT0090,"MR CONNOR CHRISTENSEN, Administrator",(801) 399-5609,conchristensen@ensignservices.net,465009,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,2/1/90
UT0037,465097,1366443020,SNF/NF,HERITAGE CARE CENTER,350 EAST 300 NORTH,,AMERICAN FORK,UT,84003,UTAH,106,106,0,0,106,0,7/31/21,2021-NCF-UT0037,"MR STEVEN FRASER, Administrator",(801) 756-5293,102_administrator@avalonhealthcare.com,465097,GUNNISON VALLEY HOSPITAL,FOR PROFIT - C,10/1/88
UT0009,465107,8.70E+11,SNF/NF,HERITAGE HILLS REHABILITATION AND CARE CENTER,1100 NORTH 400 EAST,,NEPHI,UT,84648,JUAB,80,80,0,0,80,0,7/31/21,2021-NCF-UT0009,"MR JOSHUA NEWBY, Administrator",(435) 623-1721,900_administrator@avalonhealthcare.com,465107,GUNNISON VALLEY HOSPITAL,GOVERNMENT-HOS,9/16/86
UT0039,465003,8.70E+11,SNF/NF,HERITAGE PARK HEALTHCARE AND REHABILITATION,2700 WEST 5600 SOUTH,,ROY,UT,84067,WEBER,176,176,0,0,176,0,6/30/22,2020-NCF-UT0039,"MR JEFFERY FLETCHER, Administrator",(801) 825-9731,FAC_HeritagePark-ED@EnsignServices.net,465003,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,6/2/87
UT0042,465109,3.84E+11,SNF/NF,HOLLADAY HEALTHCARE CENTER,4782 SOUTH HOLLADAY BOULEVARD,,SALT LAKE CITY,UT,84117,SALT LAKE,120,120,0,0,120,0,5/31/21,2019-NCF-UT0042,"MR JAKE BOWEN, Administrator",(801) 277-7002,jabowen@ensignservices.net,465109,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,2/1/90
UT0096,465101,4.52E+11,SNF/NF,HURRICANE HEALTH AND REHABILITATION,416 NORTH STATE STREET,,HURRICANE,UT,84737,WASHINGTON,60,60,0,0,60,0,5/31/21,2021-NCF-UT0096,"MR ZACHARY BLACKHAM, Administrator",(435) 635-9833,FAC_hurricane-ED@ensignservices.net,465101,BEAVER VALLEY HOSPITAL,GOVERNMENT-CIT,8/1/90
UT0047,465112,6.21E+11,SNF/NF,LIFE CARE CENTER OF BOUNTIFUL,460 WEST 2600 SOUTH,,BOUNTIFUL,UT,84010,DAVIS,100,100,0,0,100,0,4/30/21,2021-NCF-62,"MR DARRIN ANDERSON, Administrator",(801) 295-3135,darrin_anderson@lcca.com,465112,"BOUNTIFUL MEDICAL INVESTORS, LLC",FOR PROFIT - C,4/3/87
UT0064,465158,8.70E+11,SNF/NF,MEADOW BROOK REHABILITATION AND NURSING,433 EAST 2700 SOUTH,,SALT LAKE CITY,UT,84115,SALT LAKE,41,41,0,0,41,0,11/30/22,2020-NCF-UT0064,"MS BRITTANY CARVER, Administrator",(801) 487-2248,administrator@meadow-brookrehab.com,465158,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,5/1/97
UT0093,465157,2.62E+11,SNF/NF,MILLARD COUNTY CARE AND REHABILITATION,150 SOUTH WHITE SAGE AVENUE,,DELTA,UT,84624,MILLARD,60,60,0,0,60,0,12/31/22,2021-NCF-102,"MR JEFFERY CHRISTENSEN, Administrator",(435) 864-2944,administrator@millardcare.com,465157,"MILLARD COUNTY CARE AND REHABILITATION, INC.",GOVERNMENT-COU,4/1/85
UT0054,465185,8.70E+11,SNF/NF,"MILLCREEK REHABILITATION AND NURSING, LLC",3520 SOUTH HIGHLAND DRIVE,,SALT LAKE CITY,UT,84106,SALT LAKE,61,61,0,0,61,0,11/30/22,2020-NCF-UT0054,"MR CHRISTOPHER TANNER, Administrator",(801) 484-7638,administrator@millcreeknursing.com,465185,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,9/16/91
UT0001,465088,7.43E+11,SNF/NF,MISSION AT ALPINE REHABILITATION CENTER,25 EAST ALPINE AVENUE,,PLEASANT GROVE,UT,84062,UTAH,52,52,0,0,52,0,5/31/22,2020-NCF-UT0001,"MS MICHELLE HARDMAN, Administrator",(801) 785-3568,alpine.administrator@missionhealthservices.org,465088,GUNNISON VALLEY HOSPITAL,FOR PROFIT - C,8/1/90
UT0051,465175,8.70E+11,SNF/NF,MISSION AT COMMUNITY LIVING REHABILITATION CENTER,10 WEST 400 SOUTH,,CENTERFIELD,UT,84622,SANPETE,46,46,0,0,46,0,5/31/21,2019-NCF-UT0051,"MS KATHY LLOYD, Administrator",(435) 528-2800,communityliving.administrator@missionhealthservices.org,465175,GUNNISON VALLEY HOSPITAL SPECIAL SERVICE DISTRICT,GOVERNMENT-HOS,8/1/94
UT0007,465165,8.70E+11,SNF/NF,MISSION AT MAPLE SPRINGS,1010 SOUTH MEDICAL DRIVE,,BRIGHAM,UT,84302,BOX ELDER,41,41,0,0,41,0,10/31/21,2019-NCF-UT0007,"MR JAMES HADFIELD, Administrator",(435) 310-5800,maplesprings.administrator@missionhealthservices.org,465165,GUNNISON VALLEY HOSPITAL SPECIAL SERVICE DISTRICT,NON PROFIT-COR,8/24/87
UT0015,465086,1.14E+11,SNF/NF,MOUNTAIN VIEW HEALTH SERVICES,5865 SOUTH WASATCH DRIVE,,OGDEN,UT,84403,WEBER,155,155,0,0,155,0,1/31/23,2021-NCF-63181,"MR REECE NELSON, Administrator",(801) 479-8480,Mtnviewhealth@gmail.com,465086,"COUNTRY MEADOWS SNF, LLC",FOR PROFIT - C,7/23/97
UT0055,465069,5.71E+11,SNF/NF,MT OGDEN HEALTH AND REHABILITATION CENTER,375 EAST 5350 SOUTH,,WASHINGTON TERRACE,UT,84405,WEBER,108,108,0,0,108,0,5/31/21,2019-NCF-UT0055,"MR ROBERT WENSEL, Administrator",(801) 479-5700,FAC_Mt. Ogden-ED@ensignservices.net,465069,BEAVER VALLEY HOSPITAL,FOR PROFIT - C,2/1/90
UT0091,465006,8.70E+11,SNF/NF,MT OLYMPUS REHABILITATION CENTER,2200 EAST 3300 SOUTH,,SALT LAKE CITY,UT,84109,SALT LAKE,107,107,0,0,107,0,2/28/22,2020-NCF-UT0091,"MR DENNIS GILBERT, Administrator",(801) 486-2096,administrator@mtolympusrehab.com,465006,BEAVER VALLEY HOSPITAL,NON PROFIT-COR,1/24/08
UT000556,465179,2.63E+11,SNF/NF,NEURORESTORATIVE,13747 SOUTH REDWOOD ROAD,,RIVERTON,UT,84065,SALT LAKE,64,64,24,0,40,0,10/31/22,2020-NCF-UT000556,"MR MARK WILLIAMS, Administrator",(801) 417-9400,mark.williams@neurorestorative.com,465179,"CAREMERIDIAN, LLC",FOR PROFIT - C,11/14/12
UT000225,465163,61776169001,SNF/NF,NORTH CANYON CARE CENTER,350 SOUTH 400 EAST,,BOUNTIFUL,UT,84010,DAVIS,102,102,0,0,102,0,7/31/21,2021-NCF-UT000225,"MR MATTHEW MAYLIN, Administrator",(385) 399-7800,111_Administrator@avalonhealthcare.com,465163,GUNNISON VALLEY HOSPITAL,FOR PROFIT - C,1/6/06
UT0061,465104,8.70E+11,SNF/NF,OREM REHABILITATION AND NURSING CENTER,575 EAST 1400 SOUTH,,OREM,UT,84097,UTAH,120,120,0,0,120,0,5/31/21,2019-NCF-UT0061,"MR ASHTON CASPER, Administrator",(801) 225-4741,FAC_orem-ED@ensignservices.net,465104,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,6/1/90
UT0002,465100,2.60E+11,SNF/NF,PARAMOUNT HEALTH AND REHABILITATION,4035 SOUTH 500 EAST,,SALT LAKE CITY,UT,84107,SALT LAKE,99,99,0,0,99,0,5/31/21,2020-NCF-UT0002,"MR JOSHUA TALBOT, Administrator",(801) 262-9181,FAC_Paramount-ED@EnsignServices.net,465100,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,9/4/98
UT0063,465102,8.70E+11,SNF/NF,PARKDALE HEALTH AND REHAB,250 EAST 600 NORTH,,PRICE,UT,84501,CARBON,58,58,0,0,58,0,2/28/22,2021-NCF-UT0063,"MR GEOFFREY PRUSAK, Administrator",(435) 637-2621,administrator@parkdalerehab.com,465102,BEAVER VALLEY HOSPITAL,NON PROFIT-COR,4/1/85
UT0023,465129,8.71E+11,SNF/NF,PARKWAY HEALTH CENTER,55 SOUTH PROFESSIONAL WAY,,PAYSON,UT,84651,UTAH,76,76,24,0,52,0,7/31/21,2019-NCF-UT0023,"MR CHARLES TODD BRAMALL, Administrator",(801) 465-9211,administrator@parkway-rehab.com,465129,CANYONLANDS HEALTHCARE SPECIAL SERVICE DISTRICT,FOR PROFIT - C,10/1/88
UT0010,465098,2.71E+11,SNF/NF,PINNACLE NURSING AND REHABILITATION CENTER,1340 EAST 300 NORTH,,PRICE,UT,84501,CARBON,100,100,0,0,100,0,5/31/21,2019-NCF-UT0010,"MR SETH ANDERSON, Administrator",(435) 637-9213,FAC_pinnaclenursing-ED@ensignservices.net,465098,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,9/17/84
UT0065,465020,8.70E+11,SNF/NF,PIONEER CARE CENTER,815 SOUTH 200 WEST,,BRIGHAM CITY,UT,84302,BOX ELDER,72,72,0,0,72,0,7/31/21,2021-NCF-UT0065,"MR RICHARD ANDERSON, Administrator",(435) 723-5289,110_Administrator@avalonhealthcare.com,465020,GUNNISON VALLEY HOSPITAL,GOVERNMENT-HOS,11/1/94
UT000809,465188,,SNF/NF,POINTE MEADOWS HEALTH AND REHABILITATION,2750 NORTH DIGITAL DRIVE,,LEHI,UT,84043,UTAH,99,99,0,0,99,0,1/31/22,2021-NCF-UT000809,"MR WAYNE SEI LESA, Administrator",(385) 374-5600,FAC_pointemeadows-ED@ensignservices.net,465188,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,7/7/17
UT0022,465119,2.71E+11,SNF/NF,PROVO REHABILITATION AND NURSING,1001 NORTH 500 WEST,,PROVO,UT,84604,UTAH,220,220,0,0,220,0,5/31/21,2021-NCF-UT0022,"MR ZACHARY WOOTTON, Administrator",(801) 377-9661,FAC_provo-ED@ensignservices.net ZWootton@EnsignServices.net,465119,BEAVER VALLEY HOSPITAL,GOVERNMENT-COU,9/12/98
UT0068,465137,8.70E+11,SNF/NF,RED CLIFFS HEALTH AND REHAB,1745 EAST 280 NORTH,,ST GEORGE,UT,84790,WASHINGTON,124,124,0,0,124,0,2/28/22,2021-NCF-UT0068,"MR CHRISTOPHER HAMILTON, Administrator",(435) 628-7770,administrator@redcliffsrehab.com,465137,BEAVER VALLEY HOSPITAL,NON PROFIT-COR,12/3/93
UT0069,465059,2.00E+11,SNF/NF,RICHFIELD REHABILITATION AND CARE CENTER,163 EAST 1000 NORTH,,RICHFIELD,UT,84701,SEVIER,98,98,0,0,98,0,7/31/21,2021-NCF-UT0069,"MS HEATHER REYNOLDS, Administrator",(435) 896-8211,104_Administrator@avalonhealthcare.com,465059,GUNNISON VALLEY HOSPITAL,GOVERNMENT-HOS,10/1/88
UT0073,465067,8.70E+11,SNF/NF,ROCKY MOUNTAIN CARE - CLEARFIELD,1481 EAST 1450 SOUTH,,CLEARFIELD,UT,84015,DAVIS,168,168,0,0,168,0,4/30/21,2020-NCF-UT0073,"MS KELSEA MCVEY, Administrator",(801) 728-4300,clearfieldadministrator@rmcare.com,465067,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,7/1/88
UT0056,465125,8.70E+11,SNF/NF,ROCKY MOUNTAIN CARE - COTTAGE ON VINE,835 EAST VINE STREET,,MURRAY,UT,84107,SALT LAKE,61,61,0,0,61,0,10/31/22,2021-NCF-UT0056,"MR MITCHEL SQUIRES, Administrator",(801) 693-3800,murrayadministrator@rmcare.com,465125,BEAVER VALLEY HOSPITAL,NON PROFIT-COR,1/1/91
UT0072,465075,8.70E+11,SNF/NF,ROCKY MOUNTAIN CARE - HUNTER HOLLOW,4090 WEST PIONEER PARKWAY,,WEST VALLEY CITY,UT,84120,SALT LAKE,124,124,0,0,124,0,11/30/22,2020-NCF-UT0072,"MR JAMES JOHNSON, Administrator",(801) 397-4400,westvalleyadministrator@rmcare.com,465075,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,4/1/89
UT0048,465116,8.70E+11,SNF/NF,ROCKY MOUNTAIN CARE - LOGAN,1480 NORTH 400 EAST,,LOGAN,UT,84341,CACHE,120,120,0,0,120,0,3/31/22,2020-NCF-UT0048,"MS CHAE LILJENQUIST, Administrator",(435) 750-5501,loganadministrator@rmcare.com,465116,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,9/1/90
UT0070,465147,8.70E+11,SNF/NF,ROCKY MOUNTAIN CARE - THE LODGE,544 EAST 1200 SOUTH,,HEBER CITY,UT,84032,WASATCH,92,92,0,0,92,0,11/30/22,2021-NCF-UT0070,"MR STEVEN COPE, Administrator",(435) 654-5500,steve.cope@rmcare.com heberadministrator@rmcare.com,465147,BEAVER VALLEY HOSPITAL,NON PROFIT-COR,5/30/89
UT0087,465089,8.70E+11,SNF/NF,ROCKY MOUNTAIN CARE - WILLOW SPRINGS,85 EAST 2000 NORTH,,TOOELE,UT,84074,TOOELE,112,112,0,0,112,0,11/30/22,2021-NCF-UT0087,"MR. BRANDON BALSER, Administrator",(801) 397-4697,tooeleadministrator@rmcare.com,465089,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,9/1/88
UT0078,465111,8.70E+11,SNF/NF,SANDY HEALTH AND REHAB,50 EAST 9000 SOUTH,,SANDY,UT,84070,SALT LAKE,154,154,0,0,154,0,2/28/22,2020-NCF-UT0078,"MR MATTHEW HOWARD, Administrator",(801) 561-9839,administrator@sandyrehab.com,465111,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,3/9/87
UT0067,465144,4.65E+11,SNF/NF,SEASONS HEALTHCARE AND REHABILITATION,242 NORTH 200 WEST,,ST GEORGE,UT,84770,WASHINGTON,53,53,0,0,53,0,8/31/21,2019-NCF-UT0067,"JEREMY FREHNER, Administrator",(435) 628-1601,ed@seasonshealthgroup.com,465144,CANYONLANDS HEALTHCARE SPECIAL SERVICE DISTRICT,,3/15/81
UT000817,465187,8.70E+11,SNF/NF,SOUTH DAVIS SPECIALTY CARE,481 SOUTH 400 EAST,,BOUNTIFUL,UT,84010,DAVIS,95,95,0,0,95,0,6/30/21,2020-NCF-UT000817,"MR DAVID BLAND, Administrator",(801) 295-2361,davidbland@sdch.com,465187,"PROVIDENTIAL BBA OPERATING, LP",FOR PROFIT - C,7/7/17
UT0050,465117,8.70E+11,SNF/NF,SOUTH OGDEN POST ACUTE,5540 SOUTH 1050 EAST,,OGDEN,UT,84405,WEBER,140,140,0,0,140,0,11/30/22,2020-NCF-UT0050,"MR RICHARD TAYLOR, Administrator",(801) 479-8455,administrator@southogdenrehab.com,465117,BEAVER VALLEY HOSPITAL,FOR PROFIT - C,11/16/87
UT0033,465183,8.70E+11,SNF/NF,SPANISH FORK REHABILITATION AND NURSING,151 EAST CENTER STREET,,SPANISH FORK,UT,84660,UTAH,29,29,0,0,29,0,11/30/22,2020-NCF-UT0033,"MR KOLE LARSEN, Administrator",(801) 798-6220,administrator@spanishforknursing.com,465183,BEAVER VALLEY HOSPITAL,FOR PROFIT - C,3/15/81
UT0071,465049,8.70E+11,SNF/NF,SPRING CREEK HEALTHCARE CENTER,4600 SOUTH HIGHLAND DRIVE,,SALT LAKE CITY,UT,84117,SALT LAKE,100,100,0,0,100,0,2/28/22,2021-NCF-UT0071,"MR DAVID STEVENS, Administrator",(801) 272-1892,administrator@springcreekhc.com dstevens@springcreekhc.com,465049,BEAVER VALLEY HOSPITAL,FOR PROFIT - C,11/15/90
UT0081,465064,4.73E+11,SNF/NF,ST GEORGE REHABILITATION,1032 EAST 100 SOUTH,,ST GEORGE,UT,84770,WASHINGTON,99,99,0,0,99,0,12/31/21,2020-NCF-UT0081,"MR TRAVIS HOOPES, Administrator",(435) 628-0488,FAC_stgeorge-ED@ensignservices.net,465064,BEAVER VALLEY HOSPITAL,GOVERNMENT-HOS,9/1/88
UT0082,465095,30024,SNF/NF,ST JOSEPH VILLA,451 EAST BISHOP FEDERAL LANE,,SALT LAKE CITY,UT,84115,SALT LAKE,221,221,0,0,221,0,5/31/21,2019-NCF-UT0082,"MR BRYAN SQUIRES, Administrator",(801) 487-7557,bsquires@ensignservices.net,465095,BEAVER VALLEY HOSPITAL,GOVERNMENT-COU,3/15/81
UT000668,465182,,SNF/NF,STONEHENGE OF OGDEN,5648 SOUTH ADAMS AVENUE,,WASHINGTON TERRACE,UT,84405,WEBER,52,52,0,0,52,0,12/31/22,2021-NCF-UT000668,"MR CHAD HERRICK, Administrator",(801) 475-0500,cherrick@stonehengeofutah.com,465182,"STONEHENGE OF OGDEN, LLC",FOR PROFIT - C,12/23/14
UT0086,465130,8.70E+11,SNF/NF,STONEHENGE OF SPRINGVILLE,909 WEST 450 SOUTH,,SPRINGVILLE,UT,84663,UTAH,50,50,0,0,50,0,12/31/22,2021-NCF-UT0086,"MR SCOTT BLAKLEY, Administrator",(801) 489-1900,SHSVadministrator@stonehengeofutah.com,465130,KANE COUNTY HUMAN RESOURCES SPECIAL SERVICE DIS,GOVERNMENT-HOS,1/1/91
UT0085,465079,8.70E+11,SNF/NF,SUNSHINE TERRACE FOUNDATION,248 WEST 300 NORTH,,LOGAN,UT,84321,CACHE,172,172,0,0,172,0,5/31/21,2019-NCF-86,"MS CINDY JONES, Administrator",(435) 752-0411,sunshineterraceadmin@sunshineterrace.com,465079,"SUNSHINE TERRACE FOUNDATION, INC.",NON PROFIT-COR,3/15/81
UT0092,465115,5.22E+11,SNF/NF,THE TERRACE AT MT OGDEN,400 EAST 5350 SOUTH,,OGDEN,UT,84405,WEBER,120,120,0,0,120,0,8/31/22,2020-NCF-UT0092,"MR COLIN DELAHUNTY, Administrator",(801) 479-9855,fac_38700-ed@ensignservices.net,465115,BEAVER VALLEY HOSPITAL,NON PROFIT-OTH,1/1/89
UT0084,465084,5.42E+11,SNF/NF,UINTAH BASIN REHABILITATION AND SENIOR VILLA,265 NORTH 300 WEST,,ROOSEVELT,UT,84066,DUCHESNE,90,90,0,0,90,0,5/31/21,2019-NCF-UT0084,"MS AMANDA HARTMAN, Administrator",(435) 722-2497,VillaAdmin@ubh.org,465084,COUNTY OF DUCHESNE,GOVERNMENT-COU,8/1/89
UT0089,465092,5.19E+11,SNF/NF,UINTAH HEALTH CARE SPECIAL SERVICE DISTRICT,510 SOUTH 500 WEST,,VERNAL,UT,84078,UINTAH,110,110,0,0,110,0,11/30/22,2020-NCF-94,"MS ALICEN HATCH, Administrator",(435) 781-3505,ahatch@uintah.utah.gov,465092,UINTAH HEALTH CARE SPECIAL SERVICE DISTRICT,GOVERNMENT-HOS,11/23/83
UT0032,465093,8.70E+11,SNF/NF,WILLOW GLEN HEALTH AND REHAB,775 NORTH 200 EAST,,BRIGHAM CITY,UT,84302,BOX ELDER,84,84,0,0,84,0,7/31/21,2021-NCF-UT0032,"MR DOUGLAS TAYLOR, Administrator",(435) 723-7777,115_administrator@avalonhealthcare.com,465093,GUNNISON VALLEY HOSPITAL,FOR PROFIT - C,9/1/89
UT0094,465074,8.70E+11,SNF/NF,WILLOW WOOD CARE CENTER,1205 EAST 4725 SOUTH,,SALT LAKE CITY,UT,84117,SALT LAKE,77,77,0,0,77,0,7/31/21,2021-NCF-UT0094,"MR STEPHEN CHRISTENSEN, Administrator",(801) 262-2908,105_Administrator@avalonhealthcare.com,465074,GUNNISON VALLEY HOSPITAL,FOR PROFIT - C,9/1/90
