Facility Name,Address Line 1,Address Line 2,City,State,ZIP,County,Fac ID,Medicare #,Medicaid #,Administrator Name,Phone,Facility Type,Licensed Beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,Licensee Type,License Status,Deemed Status
Elmcroft of Heritage Woods Specialty Care Assisted Living Facility,3440 Hillcrest Road,,Mobile,AL,36695,Mobile,P4911,,,Roger Cooper,(251) 665-9063,Assisted Living Facility (Specialty Care),23,,,Congregate Specialty Care Assisted Living Facility,23,,0,,0,,0,,0,Limited Liability Company,Regular,
Fair Haven - Specialty Care,1424 Montclair Road,,Birmingham,AL,35210,Jefferson,P3709,,,Earnestine Thompson,(205) 956-4150,Assisted Living Facility (Specialty Care),64,,,Congregate Specialty Care Assisted Living Facility,64,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Fleming Farms (SCALF),4670 Bellewood Dr. SE,,Huntsville,AL,35802,Madison,P4518,,,Amanda Hamilton,(256) 759-9800,Assisted Living Facility (Specialty Care),32,,,Congregate Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
"Gardens of Waterford, The",3920 Antoinette Drive,,Montgomery,AL,36111,Montgomery,P5103,,,Shannon Bryant,(334) 288-2444,Assisted Living Facility (Specialty Care),50,,,Congregate Specialty Care Assisted Living Facility,50,,0,,0,,0,,0,Limited Liability Company,Regular,
Gordon Oaks Memory Care Community,3145 Knollwood Drive,,Mobile,AL,36693,Mobile,P4907,,,Jeanne Freeman,(251) 661-7600,Assisted Living Facility (Specialty Care),100,,,Congregate Specialty Care Assisted Living Facility,100,,0,,0,,0,,0,Limited Liability Company,Regular,
Grandview Gardens at Redstone Village,11000 Turnmeyer Drive,,Huntsville,AL,35803,Madison,P4513,,,Robin Huffman,(256) 881-6717,Assisted Living Facility (Specialty Care),48,,,Congregate Specialty Care Assisted Living Facility,48,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Green Oaks Inn - Creel House,140 Pepper Lane,PO Box 2403,Florence,AL,35633,Lauderdale,P3901,,,Crystal Green,(256) 767-2080,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Green Oaks Inn - Pepper House,140 Pepper Lane,,Florence,AL,35633,Lauderdale,P3903,,,Crystal Green,(256) 767-2080,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Greensprings I,811 Greensprings Drive,,Prattville,AL,36067,Autauga,P0104,,,David Huggins,(334) 365-0678,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
"Harbor at Legacy Village of Jacksonville, The",1116 James Hopkins Rd SW,,Jacksonville,AL,36265,Calhoun,P0804,,,Nicole Smith,(256) 782-0960,Assisted Living Facility (Specialty Care),24,,,Congregate Specialty Care Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Harbor Chase of Huntsville Specialty Care,4801 Whitesport Circle,,Huntsville,AL,35801,Madison,P4501,,,Leigh Ann Hamby,(256) 650-1155,Assisted Living Facility (Specialty Care),52,,,Congregate Specialty Care Assisted Living Facility,52,,0,,0,,0,,0,Corporation,Regular,
Harborchase of Jasper Specialty Care Assisted Living Facility,2100 Viking Drive,,Jasper,AL,35501,Walker,P6401,,,Anita Williams,(205) 384-0660,Assisted Living Facility (Specialty Care),14,,,Group Specialty Care Assisted Living Facility,14,,0,,0,,0,,0,Corporation,Regular,
Haven at Eastchase,1775 Halcyon Blvd,,Montgomery,AL,36117,Montgomery,P5110,,,Ginger Fletcher,(334) 549-8958,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Haven Memory Care Facility, The",6848 Gulf Shores Parkway,,Gulf Shores,AL,36542,Baldwin,P0207,,,Teliena Corder,(251) 923-2800,Assisted Living Facility (Specialty Care),43,,,Congregate Specialty Care Assisted Living Facility,43,,0,,0,,0,,0,Corporation,Regular,
Heritage Memory Care,11682 County Line Road,,Madison,AL,35756,Limestone,P4203,,,Jannie Crouse,(256) 325-3060,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Hilltop at Glenwood I (SCALF),213 Ana Drive,,Florence,AL,35630,Lauderdale,P3904,,,Janet Beth Ludlow,(256) 767-2510,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Holly Cottage at Country Cottages,4000 Greenwood Drive,,Hoover,AL,35216,Jefferson,P3702,,,Patricia Tinsley,(205) 987-0847,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Kelley Place,109 Chaney Drive,PO Box 310845,Enterprise,AL,36331,Coffee,P1601,,,Terri Baker,(334) 393-7233,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Kemp Meadows Specialty Care Assisted Living,652 Tahoe Road,,Winfield,AL,35594,Marion,P4701,,,Tammy Nix,(205) 487-7575,Assisted Living Facility (Specialty Care),26,,,Congregate Specialty Care Assisted Living Facility,26,,0,,0,,0,,0,Limited Liability Company,Regular,
Kirkwood by the River Specialty Care,3605 Ratliff Road,,Birmingham,AL,35210,Jefferson,P3713,,,Jeff Burchfield,(205) 956-2184,Assisted Living Facility (Specialty Care),20,,,Congregate Specialty Care Assisted Living Facility,20,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Knollwood Pointe SCALF,5601 Girby Road,,Mobile,AL,36693,Mobile,P4916,,,Anita Black,(251) 666-1005,Assisted Living Facility (Specialty Care),32,,,Congregate Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
Lakeview Estates,2634 Valleydale Road,,Birmingham,AL,35244,Shelby,P5903,,,Eric Sharp,(205) 981-0001,Assisted Living Facility (Specialty Care),76,,,Congregate Specialty Care Assisted Living Facility,76,,0,,0,,0,,0,Limited Liability Company,Regular,
Lakewood Specialty Care of Valley,7200 Fairfax Bypass,,Valley,AL,36854,Chambers,P0902,,,Carol Brockman,(334) 756-3891,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Legacy Woods II,101 Jacobs Lane,,Hayden,AL,35079,Blount,P0501,,,Derek Owen,(205) 647-7410,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Legacy Woods III,101 Jacobs Lane,,Hayden,AL,35079,Blount,P0504,,,Derek Owen,(205) 674-7410,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Limestone Lodge West,1532 West Hobbs Street,,Athens,AL,35611,Limestone,P4202,,,Jessica Kitchens,(334) 386-0343,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Longleaf at Liberty Park (SCALF),451 Liberty Parkway,,Vestavia Hills,AL,35242,Jefferson,P3726,,,Leslie Carter,(205) 278-3064,Assisted Living Facility (Specialty Care),30,,,Congregate Specialty Care Assisted Living Facility,30,,0,,0,,0,,0,Limited Liability Company,Regular,
Madison at The Range Memory Care,10803 County Line Road,,Madison,AL,35758,Madison,P4516,,,Marcus Covar,(256) 508-7925,Assisted Living Facility (Specialty Care),42,,,Group Specialty Care Assisted Living Facility,42,Congregate Specialty Care Assisted Living Facility,0,,0,,0,,0,Limited Liability Company,Regular,
Madison Heights,108 Chaney Street,,Enterprise,AL,36330,Coffee,P1602,,,Terri Baker,(334) 393-7233,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Martinview Assisted Living-East,2011 32nd Street,,Northport,AL,35476,Tuscaloosa,P6301,,,Elizabeth Espy,(205) 343-7335,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Meadowood Retirement Village SCALF,509 Pineview Avenue,,Glencoe,AL,35905,Etowah,P2802,,,Keegan Jett,(256) 492-0935,Assisted Living Facility (Specialty Care),51,,,Congregate Specialty Care Assisted Living Facility,51,,0,,0,,0,,0,Limited Liability Company,Regular,
Memory Care at Somerby at St. Vincent's One Nineteen,200 One Nineteen Blvd.,,Hoover,AL,35242,Shelby,P5905,,,Lee Anne Montgomery,(205) 745-4630,Assisted Living Facility (Specialty Care),24,,,Congregate Specialty Care Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Merrill Gardens at Madison (SCALF),121 Brookridge Dr.,,Madison,AL,35758,Madison,P4514,,,Lori Moore,(256) 726-8508,Assisted Living Facility (Specialty Care),32,,,Congregate Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
Morning Pointe of Tuscaloosa Specialty Care Assisted Living Facility,1801 Rice Mine Road,,Tuscaloosa,AL,35406,Tuscaloosa,P6303,,,Kendra Martin,(205) 345-1112,Assisted Living Facility (Specialty Care),60,,,Congregate Specialty Care Assisted Living Facility,60,,0,,0,,0,,0,Limited Liability Company,Regular,
Morningside of Vestavia Hills - SCALF,2401 Columbiana Road,,Birmingham,AL,35216,Jefferson,P3719,,,David Wilbanks,(205) 822-4773,Assisted Living Facility (Specialty Care),24,,,Congregate Specialty Care Assisted Living Facility,24,,0,,0,,0,,0,Corporation,Regular,
Mt. View Lake Retirement Village,380 Mt. View Lake Road,,Sylacauga,AL,35150,Talladega,P6102,,,Cecily Sloan,(256) 249-4790,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"NHC Place, Anniston SCALF",1335 Greenbrier Road,,Anniston,AL,36207,Calhoun,P0803,,,Addison Ray Butler,(256) 835-3959,Assisted Living Facility (Specialty Care),80,,,Congregate Specialty Care Assisted Living Facility,80,,0,,0,,0,,0,Limited Liability Company,Regular,
"Noble Manor, LLC #3 Memory Care",610 Botts Avenue,,Troy,AL,36081,Pike,P5504,,,Dale F. Law,(334) 808-1325,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Oak Landing Specialty Care Assisted Living,616 Gaines Street,,Attalla,AL,35954,Etowah,P2803,,,Melissa Tinsley,(256) 553-1787,Assisted Living Facility (Specialty Care),11,,,Group Specialty Care Assisted Living Facility,11,,0,,0,,0,,0,Corporation,Regular,
Oakland Place,19570 County Road 33,,Fairhope,AL,36532,Baldwin,P0202,,,Joe Ann Watson,(251) 928-5560,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Oaks on Parkwood Specialty Care Assisted Living Facility,2651 Laurel Oak Drive,P.O. Box 360227,Bessemer,AL,35022,Jefferson,P3712,,,Gwendolyn Smith,(205) 497-4570,Assisted Living Facility (Specialty Care),51,,,Congregate Specialty Care Assisted Living Facility,51,,0,,0,,0,,0,Limited Liability Company,Regular,
"Olive Home, Inc.-Oneonta #2, The",1100 Second Avenue East,,Oneonta,AL,35121,Blount,P0503,,,Melissa Gilliland,(205) 813-7582,Assisted Living Facility (Specialty Care),34,,,Congregate Specialty Care Assisted Living Facility,34,,0,,0,,0,,0,Limited Liability Company,Regular,
Pathways Intentional Memory Care -Huntsville,2004 Max Luther Drive,,Huntsville,AL,35810,Madison,P4507,,,Carisa Proctor,(256) 852-0033,Assisted Living Facility (Specialty Care),104,,,Congregate Specialty Care Assisted Living Facility,104,,0,,0,,0,,0,Corporation,Regular,
"Pearl of the Shoals SCALF, The",2904 S Wilson Dam Rd.,,Muscle Shoals,AL,35661,Colbert,P1701,,,Tonya Belew,(256) 386-7177,Assisted Living Facility (Specialty Care),13,,,Group Specialty Care Assisted Living Facility,13,,0,,0,,0,,0,Limited Liability Company,Probational,
Plantation Manor Assisted Living I,6440 Old Tuscaloosa Highway,P. O. Box 97,McCalla,AL,35111,Jefferson,P3715,,,Robin Bartlett,(205) 477-6161,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Plantation Manor Assisted Living II,6440 Old Tuscaloosa Highway,P. O. Box 97,McCalla,AL,35111,Jefferson,P3716,,,Robin Bartlett,(205) 477-6161,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Premier Assisted Living,155 Egg and Butter Road,,Columbiana,AL,35051,Shelby,P5925,,,Paris Childress,(205) 919-0542,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Reflections at Regency Birmingham,285 West Oxmoor Road,,Birmingham,AL,35209,Jefferson,P3722,,,Charles Phillips Goff,(205) 957-6250,Assisted Living Facility (Specialty Care),32,,,Congregate Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
Remembrance Village,5001 Old Montgomery Highway,,Tuscaloosa,AL,35404,Tuscaloosa,P6305,,,Sonja Edwards,(205) 752-5500,Assisted Living Facility (Specialty Care),56,,,Congregate Specialty Care Assisted Living Facility,56,,0,,0,,0,,0,Limited Liability Company,Regular,
Rose Manor of Haleyville,41818 Highway #195,,Haleyville,AL,35565,Winston,P6701,,,DeAnna Thomas,(205) 485-2422,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Rosewood Manor Specialty Care,1513 County Park Road,,Scottsboro,AL,35769,Jackson,P3602,,,Janet Gable,(256) 574-4800,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Royal Haven at Regency Pointe,510 East Grand Avenue,,Rainbow City,AL,35906,Etowah,P2801,,,Julia Weidenbach,(256) 442-1856,Assisted Living Facility (Specialty Care),12,,,Group Specialty Care Assisted Living Facility,12,,0,,0,,0,,0,Limited Liability Company,Regular,
Serenity Place II,751 Houston Loop Rd.,P.O. Box 680129,Fort Payne,AL,35968,Dekalb,P2504,,,Lisa Manus,(256) 979-1239,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Sonrise Specialty Care Assisted Living,1607 Hwy. 43 South,,Demopolis,AL,36732,Marengo,P4601,,,Annette Dixon,(334) 289-6455,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Individual,Regular,
Specialty Care at Danberry at Inverness,235 Inverness Center Drive,,Hoover,AL,35242,Shelby,P3724,,,Rejeana Robinson,(205) 443-9500,Assisted Living Facility (Specialty Care),24,,,Congregate Specialty Care Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
St. Martin's-In-The-Pines Specialty Care Assisted Living Facility,4941 Montevallo Road,,Birmingham,AL,35210,Jefferson,P3706,,,Judith Jones,(205) 956-1831,Assisted Living Facility (Specialty Care),51,,,Congregate Specialty Care Assisted Living Facility,51,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Summer Village Camellia Place,"1171 Gatewood Drive, Building 206",,Auburn,AL,36830,Lee,P4101,,,Karen Ingram,(334) 502-6008,Assisted Living Facility (Specialty Care),42,,,Congregate Specialty Care Assisted Living Facility,42,,0,,0,,0,,0,Healthcare Authority,Regular,
Summer Village Magnolia Place,1553 Professional Parkway,,Auburn,AL,36830,Lee,P4102,,,Karen Ingram,(334) 826-9857,Assisted Living Facility (Specialty Care),42,,,Congregate Specialty Care Assisted Living Facility,42,,0,,0,,0,,0,Healthcare Authority,Regular,
"Terrace at Grove Park Specialty Care Assisted Living Facility, The",101 Tulip Lane,,Dothan,AL,36305,Houston,P3501,,,Sheila Bryan,(334) 792-7349,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Terrace at Priceville Specialty Care Assisted Living Facility, The",200 Terrace Lane,,Decatur,AL,35603,Morgan,P5202,,,Katina Eades,(256) 260-0400,Assisted Living Facility (Specialty Care),62,,,Group Specialty Care Assisted Living Facility,62,,0,,0,,0,,0,Corporation,Regular,
The Crossings at Eastchase Memory Care,2551 Eastchase Ln.,,Montgomery,AL,36117,Montgomery,P5117,,,Joel Burdette,(504) 774-7762,Assisted Living Facility (Specialty Care),32,,,Congregate Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
The Harbor at Hickory Hill,2102 Summit Parkway,,Prattville,AL,36066,Autauga,P0101,,,Patsy McGough,(334) 361-5111,Assisted Living Facility (Specialty Care),48,,,Congregate Specialty Care Assisted Living Facility,48,,0,,0,,0,,0,Limited Liability Company,Regular,
The Harbor at Opelika,1001 Fox Run Parkway,,Opelika,AL,36801,Lee,P4103,,,Melissa Boatwright,(334) 749-7992,Assisted Living Facility (Specialty Care),36,,,Congregate Specialty Care Assisted Living Facility,36,,0,,0,,0,,0,Limited Liability Company,Regular,
The Landings of Northport - SCALF,951 Rose Drive,,Northport,AL,35476,Tuscaloosa,P6302,,,Melissa McGlothin,(205) 330-1700,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Thrive at Jones Farm SCALF,2238 Cecil Ashburn Dr. SE,,Huntsville,AL,35802,Madison,P4515,,,Kelli Long,(256) 429-3008,Assisted Living Facility (Specialty Care),26,,,Congregate Specialty Care Assisted Living Facility,26,,0,,0,,0,,0,Limited Liability Company,Regular,
"Tides at Crimson Village, The",1410 18th Ave. East,,Tuscaloosa,AL,35404,Tuscaloosa,P6307,,,Rebecca Dennis,(205) 632-6699,Assisted Living Facility (Specialty Care),48,,,Congregate Specialty Care Assisted Living Facility,48,,0,,0,,0,,0,Limited Liability Company,Regular,
Traditions Way,515 Roger Sayers Drive,,Tuscaloosa,AL,35401,Tuscaloosa,P6304,,,Glenda Lowe,(205) 347-0062,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
"Truewood by Merrill, Riverchase SCALF",1851 Data Drive,,Hoover,AL,35244,Jefferson,P3725,,,Charles Chip Cook,(205) 982-7000,Assisted Living Facility (Specialty Care),24,,,Congregate Specialty Care Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Valley Park Manor SCALF,10 Medical Park Drive North,,Valley,AL,36854,Chambers,P0903,,,Amber Clegg Griggs,(334) 756-2600,Assisted Living Facility (Specialty Care),16,,,Group Specialty Care Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Village at Cook Springs Specialty Care Assisted Living Facility,415 Cook Springs Road,,Pell City,AL,35125,St. Clair,P5801,,,Wilma Yopp,(205) 338-2221,Assisted Living Facility (Specialty Care),32,,,Group Specialty Care Assisted Living Facility,32,,0,,0,,0,,0,Limited Liability Company,Regular,
