Facility Name,Address 1,Address 2,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type
Brookdale Jones Farm,"2815 Carl T. Jones Drive, S. E.",,Huntsville,AL,35802,Madison,D4524,(256) 881-6111,Assisted Living Facility,60,Congregate Assisted Living Facility,Limited Liability Company
Brookdale University Park ALF (AL),400 University Park Drive,,Birmingham,AL,35209,Jefferson,D3768,(205) 870-0786,Assisted Living Facility,90,Congregate Assisted Living Facility,Limited Liability Company
Brookside Assisted Living Community,"2260 Pesnell Court, Building #1",,Mobile,AL,36695,Mobile,D4945,(251) 633-9299,Assisted Living Facility,32,Congregate Assisted Living Facility,Limited Liability Company
Carillon Oaks Heflin Assisted Living,91 Willoughby Street,,Heflin,AL,36264,Cleburne,D4991,(256) 297-3801,Assisted Living Facility,39,Congregate Assisted Living Facility,Limited Liability Company
Cedar Hill Assisted Living Facility,1300 Old Orrville Road,,Selma,AL,36701,Dallas,D2402,(334) 875-1225,Assisted Living Facility,30,Congregate Assisted Living Facility,Non-Profit Corporation
Cedar View Assisted Living,2001 County Road 394,,Killen,AL,35645,Lauderdale,D3912,(256) 757-2104,Assisted Living Facility,16,Group Assisted Living Facility,Non-Profit Corporation
Chelsea's Hidden Acres,245 Hidden Acres Circle,,Chelsea,AL,35043,Shelby,D5908,(205) 678-8906,Assisted Living Facility,16,Group Assisted Living Facility,Individual
Col. Robert L. Howard State Veterans Home Freedom Court,7054 Veterans Parkway,,Pell City,AL,35125,St. Clair,D5809,(205) 227-7985,Assisted Living Facility,80,Congregate Assisted Living Facility,Corporation
Columbia Cottage - Hartselle,1109 Sparkman Street Northwest,,Hartselle,AL,35640,Morgan,D5208,(256) 751-4809,Assisted Living Facility,36,Congregate Assisted Living Facility,Limited Liability Company
Columbia Cottage-Florence,2373 Roberts Lane,,Florence,AL,35630,Lauderdale,D3901,(256) 760-0442,Assisted Living Facility,51,Congregate Assisted Living Facility,Corporation
"Columbia Cottage-Mountain Brook, LLC",3776 Crosshaven Drive,,Birmingham,AL,35223,Jefferson,D3769,(205) 968-0000,Assisted Living Facility,48,Congregate Assisted Living Facility,Limited Liability Company
Country Cottage - Montgomery - Ivy,"235 Sylvest Drive, Building 400",,Montgomery,AL,36117,Montgomery,D5130,(334) 260-8373,Assisted Living Facility,26,Congregate Assisted Living Facility,Limited Liability Company
Country Cottage - Montgomery - Oakleaf,"235 Sylvest Drive, Bldg. 300",,Montgomery,AL,36117,Montgomery,D5129,(334) 260-8373,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Country Cottage-Decatur, Oakleaf","2515 Old Moulton Road, SW",,Decatur,AL,35603,Morgan,D5206,(256) 301-1800,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Country Cottage-Decatur-Magnolia,"2515 Old Moulton Road, SW",,Decatur,AL,35603,Morgan,D5204,(256) 301-1800,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Country Cottage-Huntsville-Ivy,4200 Chris Drive,,Huntsville,AL,35802,Madison,D4519,(256) 880-1101,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Country Cottage-Huntsville-Magnolia,4200 Chris Drive,,Huntsville,AL,35802,Madison,D4511,(256) 880-1101,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Country Cottage-Huntsville-Oakleaf,4200 Chris Drive,,Huntsville,AL,35802,Madison,D4512,(256) 880-1101,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Country Cottage-Oakleaf,4000 Greenwood Drive,,Hoover,AL,35216,Jefferson,D3709,(205) 987-0847,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Country Cottage-Russellville,900 North Jackson,,Russellville,AL,35653,Franklin,D3002,(256) 332-4707,Assisted Living Facility,29,Congregate Assisted Living Facility,Limited Liability Company
"Country Living, Inc.",225 County Road 1386,,Falkville,AL,35622,Cullman,D2202,(256) 734-8618,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Country Place Senior Living of Brewton,905 Belleville Avenue,,Brewton,AL,36426,Escambia,D2705,(251) 809-3550,Assisted Living Facility,28,Congregate Assisted Living Facility,Corporation
Country Place Senior Living of Fairhope,"8127 Gayfer Road, Ext.",,Fairhope,AL,36532,Baldwin,D0223,(251) 929-3627,Assisted Living Facility,26,Congregate Assisted Living Facility,Limited Liability Company
Country Place Senior Living of Foley,615 E. Laurel Avenue,,Foley,AL,36536,Baldwin,D0222,(251) 943-4412,Assisted Living Facility,28,Congregate Assisted Living Facility,Limited Liability Company
Country Place Senior Living of Greenville,1035 Fort Dale Road,,Greenville,AL,36037,Butler,D0703,(334) 382-0515,Assisted Living Facility,28,Congregate Assisted Living Facility,Corporation
Country Place Senior Living of Hamilton,690 National Avenue,,Hamilton,AL,35570,Marion,D4706,(205) 921-0083,Assisted Living Facility,28,Congregate Assisted Living Facility,Limited Liability Company
Country Place Senior Living of Winfield,480 Tahoe Road,,Winfield,AL,35594,Marion,D4705,(205) 487-1180,Assisted Living Facility,28,Congregate Assisted Living Facility,Corporation
Covenant Place of Gardendale,1409 Thompson Circle,,Gardendale,AL,35071,Jefferson,D3775,(205) 531-2995,Assisted Living Facility,60,Congregate Assisted Living Facility,Partnership
Crimson Village,1410 18th Avenue East,,Tuscaloosa,AL,35404,Tuscaloosa,D6318,(205) 632-6699,Assisted Living Facility,78,Congregate Assisted Living Facility,Limited Liability Company
"Crossings at Eastchase Assisted Living, The",2551 Eastchase Lane,,Montgomery,AL,36117,Montgomery,D5150,(334) 322-5934,Assisted Living Facility,73,Congregate Assisted Living Facility,Limited Liability Company
Crowne Place Assisted Living,3720 Dauphin Street,,Mobile,AL,36608,Mobile,D4902,(251) 344-3866,Assisted Living Facility,80,Congregate Assisted Living Facility,Limited Liability Company
"Daffodil House Assisted Living, LLC",12650 Old Marion Road,,Tuscaloosa,AL,35405,Tuscaloosa,D6317,(205) 342-0573,Assisted Living Facility,3,Family Assisted Living Facility,Limited Liability Company
Danberry at Inverness,235 Inverness Center Dr.,,Hoover,AL,35242,Shelby,D5914,(205) 443-9500,Assisted Living Facility,56,Congregate Assisted Living Facility,Limited Liability Company
"Dauphin Way Assisted Living, Inc.",3085 Dauphin Square Connector,,Mobile,AL,36607,Mobile,D4983,(251) 450-1110,Assisted Living Facility,40,Congregate Assisted Living Facility,Corporation
Dogwood Manor Assisted Living,301 Ward Drive,,Abbeville,AL,36310,Henry,D3406,(334) 585-1114,Assisted Living Facility,16,Group Assisted Living Facility,Healthcare Authority
Eastchase Senior Living,1775 Halcyon Boulevard,,Montgomery,AL,36117,Montgomery,D5125,(334) 549-8958,Assisted Living Facility,48,Congregate Assisted Living Facility,Limited Liability Company
Elmcroft of Byrd Springs,8020 Benaroya Lane Southwest,,Huntsville,AL,35802,Madison,D4525,(256) 882-2727,Assisted Living Facility,113,Congregate Assisted Living Facility,Limited Liability Company
Elmcroft of Grayson Valley,2366 Old Springville Road,,Birmingham,AL,35215,Jefferson,D3770,(205) 854-2888,Assisted Living Facility,113,Congregate Assisted Living Facility,Limited Liability Company
Elmcroft of Heritage Woods,3440 Hillcrest Road,,Mobile,AL,36695,Mobile,D4947,(251) 665-9194,Assisted Living Facility,89,Congregate Assisted Living Facility,Limited Liability Company
Fair Haven - Assisted Living,1424 Montclair Road,,Birmingham,AL,35210,Jefferson,D3702,(205) 956-4150,Assisted Living Facility,76,Congregate Assisted Living Facility,Non-Profit Corporation
Fleming Farms (ALF),4670 Bellewood Dr SE,,Huntsville,AL,35802,Madison,D4549,(256) 759-9800,Assisted Living Facility,33,Congregate Assisted Living Facility,Limited Liability Company
"Gables at Charlton Place Assisted Living Community, The",65 Charlton Place,,Deatsville,AL,36022,Autauga,D0108,(334) 290-6900,Assisted Living Facility,24,Congregate Assisted Living Facility,Limited Liability Company
Galleria Woods Assisted Living Facility,3850 Galleria Woods Drive,,Hoover,AL,35244,Jefferson,D3759,(205) 985-7537,Assisted Living Facility,24,Congregate Assisted Living Facility,Limited Liability Company
Gardens of Clanton,850 Scott Drive,,Clanton,AL,35045,Chilton,D1105,(205) 280-0084,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Gardens of Daphne,1307 Daphne Avenue,,Daphne,AL,36526,Baldwin,D0215,(251) 625-0802,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Gardens of Eufaula,395 Lake Drive,,Eufaula,AL,36027,Barbour,D0303,(334) 687-0430,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Gardens of Hazel Green,372 Jimmy Fisk Road,,Hazel Green,AL,35750,Madison,D4537,(256) 828-7400,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Gardens of Pelham,2124 Old Montgomery Highway,,Pelham,AL,35124,Shelby,D5916,(205) 402-9922,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Gardens of Wetumpka,209 Country Club Drive,,Wetumpka,AL,36092,Elmore,D2605,(334) 514-4839,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Gardens of Wetumpka II,187 Country Club Drive,,Wetumpka,AL,36092,Elmore,D2607,(334) 514-4839,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Gordon Oaks Assisted Living Community,3145 Knollwood Drive,,Mobile,AL,36693,Mobile,D4916,(251) 661-7600,Assisted Living Facility,60,Congregate Assisted Living Facility,Limited Liability Company
Grandview at Redstone Village,12000 Turnmeyer Drive,,Huntsville,AL,35803,Madison,D4528,(256) 881-6717,Assisted Living Facility,58,Congregate Assisted Living Facility,Non-Profit Corporation
Greenbriar at the Altamont Assisted Living Facility,2831 Highland Avenue South,,Birmingham,AL,35205,Jefferson,D3736,(205) 323-2724,Assisted Living Facility,46,Congregate Assisted Living Facility,Limited Liability Company
Greensprings II,809 Greensprings Drive,,Prattville,AL,36067,Autauga,D0107,(334) 365-0681,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Greenwood Place,105 South Greenwood,,Geneva,AL,36340,Geneva,D3102,(334) 449-2408,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Hallmark Manor,515 Roger Sayers Drive,,Tuscaloosa,AL,35401,Tuscaloosa,D6315,(205) 347-0062,Assisted Living Facility,13,Group Assisted Living Facility,Corporation
Hamrick Highlands Assisted Living,755 55th Place East,,Tuscaloosa,AL,35404,Tuscaloosa,D6316,(205) 469-1828,Assisted Living Facility,36,Congregate Assisted Living Facility,Corporation
Harbor Chase of Huntsville,4801 Whitesport Circle,,Huntsville,AL,35801,Madison,D4527,(256) 650-1155,Assisted Living Facility,58,Congregate Assisted Living Facility,Corporation
Harborchase of Jasper Assisted Living Facility,2100 Viking Drive,,Jasper,AL,35501,Walker,D6412,(205) 384-0660,Assisted Living Facility,70,Congregate Assisted Living Facility,Corporation
"Hartford Retirement Village, Inc.",12196 East State Hwy. 52,,Hartford,AL,36344,Geneva,D3101,(334) 588-2306,Assisted Living Facility,38,Congregate Assisted Living Facility,Corporation
Heritage Assisted Living,11682 County Line Road,,Madison,AL,35756,Limestone,D4209,(256) 325-3060,Assisted Living Facility,31,Congregate Assisted Living Facility,Limited Liability Company
"Heritage Residential Care Village, Building #2",1001 Snows Mill Avenue,,Tuscaloosa,AL,35406,Tuscaloosa,D6304,(205) 759-5179,Assisted Living Facility,15,Group Assisted Living Facility,Corporation
Hilltop at Glenwood II,213 Ana Drive,,Florence,AL,35630,Lauderdale,D3908,(256) 766-8963,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Homeland Assisted Living, LLC",149 First Avenue,,Jemison,AL,35085,Chilton,D1103,(205) 688-4835,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Inn Assisted Living at Somerby of West Mobile, The",901 Somerby Drive,,Mobile,AL,36695,Mobile,D4959,(251) 776-1455,Assisted Living Facility,50,Congregate Assisted Living Facility,Limited Liability Company
JK@ Arrowhead Inc.,9081 Atlanta Hwy.,,Montgomery,AL,36117,Montgomery,D5141,(334) 409-2828,Assisted Living Facility,16,Group Assisted Living Facility,Non-Profit Corporation
Keestone of Florence,201 North Cedar Street,,Florence,AL,35630,Lauderdale,D3904,(256) 767-7676,Assisted Living Facility,43,Congregate Assisted Living Facility,Limited Liability Company
Kemp Meadows Assisted Living Center,652 Tahoe Road,,Winfield,AL,35594,Marion,D4704,(205) 487-7575,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Kirkwood by the River,3605 Ratliff Road,,Birmingham,AL,35210,Jefferson,D3704,(205) 956-2184,Assisted Living Facility,60,Congregate Assisted Living Facility,Non-Profit Corporation
Knollwood Pointe,5601 Girby Road,,Mobile,AL,36693,Mobile,D4943,(251) 666-1005,Assisted Living Facility,23,Congregate Assisted Living Facility,Limited Liability Company
Lake Haven Assisted Living Facility,370 Roy Beall Drive,,Luverne,AL,36049,Crenshaw,D2101,(334) 430-8455,Assisted Living Facility,16,Group Assisted Living Facility,Partnership
"Lakewood Senior Living of Jasper I, LLC",811 20th Avenue East,,Jasper,AL,35501,Walker,D6408,(205) 221-5579,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Lakewood Senior Living of Jasper II, LLC",2004 Viking Drive,,Jasper,AL,35501,Walker,D6409,(205) 221-1650,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Lakewood Senior Living of Smith, LLC",3020 Lee Road 430,,Smiths,AL,36877,Lee,D4104,(205) 320-7504,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Lakewood Senior Living of Valley II, LLC",7200 Fairfax Bypass,,Valley,AL,36854,Chambers,D0904,(334) 756-8077,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Legacy Ridge Trussville,7868 Gadsden Highway,,Trussville,AL,35173,Jefferson,D3779,(205) 661-9940,Assisted Living Facility,55,Congregate Assisted Living Facility,Limited Liability Company
Legacy Village of Jacksonville,1116 James Hopkins Road,,Jacksonville,AL,36265,Calhoun,D0805,(256) 782-0960,Assisted Living Facility,50,Congregate Assisted Living Facility,Limited Liability Company
Legacy Woods I,101 Jacobs Lane,,Hayden,AL,35079,Blount,D0501,(205) 647-7410,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Limestone Lodge II,1528 West Hobbs Street,,Athens,AL,35611,Limestone,D4208,(256) 233-1224,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Limestone Manor,600 Highway 31 North,,Athens,AL,35611,Limestone,D4203,(256) 232-3900,Assisted Living Facility,24,Congregate Assisted Living Facility,Limited Liability Company
Little Sisters of the Poor Sacred Heart Residence,1655 McGill Avenue,,Mobile,AL,36604-1299,Mobile,D4903,(251) 476-6335,Assisted Living Facility,11,Group Assisted Living Facility,Non-Profit Corporation
"Liveoak Village, LLC",2300 North Cedar Street,,Foley,AL,36535,Baldwin,D0208,(251) 943-6733,Assisted Living Facility,81,Congregate Assisted Living Facility,Limited Liability Company
Longleaf at Liberty Park,"451 Liberty Parkway,",,Vestavia Hills,AL,35242,Jefferson,D3786,(205) 278-3064,Assisted Living Facility,90,Congregate Assisted Living Facility,Limited Liability Company
Madison at The Range,10801 County Line Road,,Madison,AL,35758,Madison,D4544,(256) 203-5101,Assisted Living Facility,82,Congregate Assisted Living Facility,Limited Liability Company
"Madison Village, LLC, The",6016 Wall Triana Hwy,,Madison,AL,35758,Madison,D4518,(256) 830-2400,Assisted Living Facility,60,Congregate Assisted Living Facility,Non-Profit Corporation
Magnolia Gardens Assisted Living,520 Lasalle Street,,Rainbow City,AL,35906,Etowah,D2803,(256) 442-0102,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Magnolia House,100 Fourth Avenue West,,Oneonta,AL,35121,Blount,D0508,(205) 813-7584,Assisted Living Facility,40,Congregate Assisted Living Facility,Limited Liability Company
Maplewood Lane Assisted Living,223 Tucker Road,,Helena,AL,35080,Shelby,D5903,(205) 620-2905,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Martinview Assisted Living-West,2015 32nd Street,,Northport,AL,35476,Tuscaloosa,D6310,(205) 343-7335,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
McClellan Senior Living,41 BG DH Stem Avenue,,Anniston,AL,36205,Calhoun,D0812,(256) 403-6808,Assisted Living Facility,60,Congregate Assisted Living Facility,Corporation
Meadowood Retirement Village,509 Pineview Avenue,,Glencoe,AL,35905,Etowah,D2801,(256) 492-0935,Assisted Living Facility,110,Congregate Assisted Living Facility,Limited Liability Company
"Meadows of Brewton, The",205 Pineview Street,,Brewton,AL,36426,Escambia,D2702,(251) 809-0227,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Meadows of Jackson, The",517 Commerce Street,,Jackson,AL,36545,Clarke,D1302,(251) 246-1915,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Meadows of Monroeville, The",600 Highway 21 Bypass,,Monroeville,AL,36460,Monroe,D5001,(251) 575-9855,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Meadows, The",202 Medical Park Drive,,Atmore,AL,36502,Escambia,D2703,(251) 446-9317,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Merrill Gardens at Madison,121 Brookridge Drive,,Madison,AL,35758,Madison,D4538,(256) 850-0058,Assisted Living Facility,160,Congregate Assisted Living Facility,Limited Liability Company
Monarch Place,105 Michelle Street NW,,Hanceville,AL,35077,Cullman,D2209,(256) 352-3141,Assisted Living Facility,55,Congregate Assisted Living Facility,Limited Liability Company
Morning Glory Meadows,2055 Main Street,,Fyffe,AL,35971,Dekalb,D2506,(256) 623-2626,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Morningside of Auburn,871 Twin Forks Avenue,,Auburn,AL,36830,Lee,D4106,(334) 887-1061,Assisted Living Facility,49,Congregate Assisted Living Facility,Partnership
Morningside of Cullman,"2021 Dahlke Drive, N. E.",,Cullman,AL,35058-0607,Cullman,D2210,(256) 737-1088,Assisted Living Facility,45,Congregate Assisted Living Facility,Limited Liability Company
Morningside of Decatur,"2115 Point Mallard Drive, SE",,Decatur,AL,35601,Morgan,D5207,(256) 350-0089,Assisted Living Facility,60,Congregate Assisted Living Facility,Partnership
Morningside of Madison,49 Hughes Road,,Madison,AL,35758,Madison,D4521,(256) 464-9090,Assisted Living Facility,46,Congregate Assisted Living Facility,Limited Liability Company
Morningside of Riverchase,2184 Parkway Lake Dr.,,Birmingham,AL,35244,Shelby,D5917,(205) 403-7400,Assisted Living Facility,38,Congregate Assisted Living Facility,Limited Liability Company
Morningside of Sheffield,413 Cox Blvd.,,Sheffield,AL,35660,Colbert,D1703,(256) 381-1058,Assisted Living Facility,56,Congregate Assisted Living Facility,Limited Liability Company
Morningside of Vestavia Hills,2435 Columbiana Road,,Birmingham,AL,35216,Jefferson,D3728,(205) 822-4773,Assisted Living Facility,77,Congregate Assisted Living Facility,Corporation
Morningview Estates,"404 25th Street, Northwest",,Fayette,AL,35555,Fayette,D2902,(205) 932-4003,Assisted Living Facility,38,Congregate Assisted Living Facility,Limited Liability Company
Mountain Cove,6330 U. S. Highway 411,,Gadsden,AL,35901,Etowah,D2809,(256) 543-9991,Assisted Living Facility,34,Congregate Assisted Living Facility,Limited Liability Company
Murray House,1257 Government Street,,Mobile,AL,36604,Mobile,D4938,(251) 432-2272,Assisted Living Facility,64,Congregate Assisted Living Facility,Non-Profit Corporation
"Noble Manor, LLC",610 Botts Avenue,,Troy,AL,36081-3802,Pike,D5506,(334) 566-8543,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
"Noble Manor, LLC II",610 Botts Avenue,,Troy,AL,36081-3802,Pike,D5507,(334) 808-8778,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
North River Village,"5810 Rice Mine Road, NE",,Tuscaloosa,AL,35406,Tuscaloosa,D6312,(205) 759-9875,Assisted Living Facility,80,Congregate Assisted Living Facility,Limited Liability Company
"Oak Circle Assisted Living, LLC","605 Fifteenth Street, North",,Pell City,AL,35125,St. Clair,D5804,(205) 884-4663,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Oak Grove Inn,3801 Oak Grove Drive,,Montgomery,AL,36116,Montgomery,D5132,(334) 215-8881,Assisted Living Facility,52,Congregate Assisted Living Facility,Limited Liability Company
Oak Landing,616 Gaines Street,,Attalla,AL,35954,Etowah,D2807,(256) 393-1965,Assisted Living Facility,22,Congregate Assisted Living Facility,Corporation
OakBridge Terrace Assisted Living Residence at Magnolia Trace,One Crown Circle,,Huntsville,AL,35802,Madison,D4532,(256) 261-1600,Assisted Living Facility,30,Congregate Assisted Living Facility,Corporation
Oakbridge Terrace Assisted Living Residence at Westminster Village,500 Spanish Fort Boulevard,,Spanish Fort,AL,36527,Baldwin,D0201,(251) 626-7007,Assisted Living Facility,28,Congregate Assisted Living Facility,Non-Profit Corporation
Oaks on Parkwood Assisted Living Facility,2651 Laurel Oak Drive,P.O. Box 360227,Bessemer,AL,35022,Jefferson,D3773,(205) 497-4570,Assisted Living Facility,80,Congregate Assisted Living Facility,Limited Liability Company
Old Town Home,203 West Cahaba Avenue,,Linden,AL,36748,Marengo,D4601,(334) 295-5120,Assisted Living Facility,12,Group Assisted Living Facility,Healthcare Authority
Paden Ridge Assisted Living,255 Murray Drive,,Gadsden,AL,35902,Etowah,D2805,(256) 543-0076,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Peachtree Senior Living,3740 Eagle Drive,,Trussville,AL,35173,Jefferson,D3772,(205) 790-1469,Assisted Living Facility,32,Congregate Assisted Living Facility,Limited Liability Company
"Pearl of the Shoals ALF, The",2904 S Wilson Dam Rd,,Muscle Shoals,AL,35661,Colbert,D1705,(256) 386-7177,Assisted Living Facility,40,Congregate Assisted Living Facility,Limited Liability Company
Pine Needle Place,600 Glendale Avenue,,Greenville,AL,36037,Butler,D0702,(334) 382-3757,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Pine Place,150 Hickory Lane,,Arley,AL,35541,Winston,D6701,(205) 387-8100,Assisted Living Facility,16,Group Assisted Living Facility,Individual
Pine Valley Retirement Community,800 Rice Valley Road North,,Tuscaloosa,AL,35406,Tuscaloosa,D6309,(205) 349-8700,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Providence Home,171 Grimes Road,,Ozark,AL,36360,Dale,D2301,(334) 774-0364,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Regal Place at Regency Pointe,510 East Grande Ave,,Rainbow City,AL,35906,Etowah,D2808,(256) 442-1856,Assisted Living Facility,46,Congregate Assisted Living Facility,Limited Liability Company
Regency Assisted Living,2004 Max Luther Drive,,Huntsville,AL,35810,Madison,D4501,(256) 852-0033,Assisted Living Facility,72,Congregate Assisted Living Facility,Corporation
Regency Retirement Village,285 West Oxmoor Road,,Birmingham,AL,35209,Jefferson,D3777,(205) 957-3355,Assisted Living Facility,48,Congregate Assisted Living Facility,Limited Liability Company
Regency Retirement Village of Tuscaloosa,5001 Old Montgomery Highway,,Tuscaloosa,AL,35405,Tuscaloosa,D6305,(205) 752-5500,Assisted Living Facility,80,Congregate Assisted Living Facility,Limited Liability Company
River Oaks Assisted Living,903 West Union Street,,Eufaula,AL,36027,Barbour,D0302,(334) 687-6089,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Rosewood Manor Assisted Living,1513 County Park Road,,Scottsboro,AL,35769,Jackson,D3602,(256) 574-4800,Assisted Living Facility,16,Group Assisted Living Facility,Limited Liability Company
Savannah Terrace of Andalusia I,660 Moore Road,,Andalusia,AL,36420,Covington,D2002,(334) 222-2133,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Savannah Terrace of Andalusia II,660 Moore Road,,Andalusia,AL,36420,Covington,D2003,(334) 222-0494,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Seagrass Village of Gulf Shores,21298 Cotton Creek Drive,,Gulf Shores,AL,32789,Baldwin,D0227,(251) 200-5700,Assisted Living Facility,60,Congregate Assisted Living Facility,Limited Liability Company
"Seasons of Talladega #2, The",130 Seasons Way,,Talladega,AL,35160,Talladega,D6107,(256) 362-1072,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
Serenity Place I,741 Houston Loop Rd. W,P.O. Box 680129,Fort Payne,AL,35968,Dekalb,D2510,(256) 979-1239,Assisted Living Facility,16,Group Assisted Living Facility,Corporation
