Facility Name,Address Line 1,Address Line 2,City,State,ZIP,County,Fac ID,Medicare #,Medicaid #,Administrator Name,Phone,Facility Type,Licensed Beds,ESRD Stations,Hospital Authorized Bed Capacity,Class 1,Class 1 Beds/Stations,Class 2,Class 2 Beds/Stations,Class 3,Class 3 Beds/Stations,Class 4,Class 4 Beds/Stations,Class 5,Class 5 Beds/Stations,Licensee Type,License Status,Deemed Status
"Country Living, Inc.",225 County Road 1386,,Falkville,AL,35622,Cullman,D2202,,,Linda Wilhite,(256) 734-8618,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Country Place Senior Living of Brewton,905 Belleville Avenue,,Brewton,AL,36426,Escambia,D2705,,,Kendra Reynolds,(251) 809-3550,Assisted Living Facility,28,,,Congregate Assisted Living Facility,28,,0,,0,,0,,0,Corporation,Regular,
Country Place Senior Living of Fairhope,"8127 Gayfer Road, Ext.",,Fairhope,AL,36532,Baldwin,D0223,,,Christina Ashmore,(251) 929-3627,Assisted Living Facility,26,,,Congregate Assisted Living Facility,26,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Place Senior Living of Foley,615 E. Laurel Avenue,,Foley,AL,36536,Baldwin,D0222,,,Cecila Godfrey,(251) 943-4412,Assisted Living Facility,28,,,Congregate Assisted Living Facility,28,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Place Senior Living of Greenville,1035 Fort Dale Road,,Greenville,AL,36037,Butler,D0703,,,Rebecca Reynolds,(334) 382-0515,Assisted Living Facility,28,,,Congregate Assisted Living Facility,28,,0,,0,,0,,0,Corporation,Regular,
Country Place Senior Living of Hamilton,690 National Avenue,,Hamilton,AL,35570,Marion,D4706,,,Norma Denson,(205) 921-0083,Assisted Living Facility,28,,,Congregate Assisted Living Facility,28,,0,,0,,0,,0,Limited Liability Company,Regular,
Country Place Senior Living of Winfield,480 Tahoe Road,,Winfield,AL,35594,Marion,D4705,,,Tammy Nix,(205) 487-1180,Assisted Living Facility,28,,,Congregate Assisted Living Facility,28,,0,,0,,0,,0,Corporation,Regular,
Covenant Place of Gardendale,1409 Thompson Circle,,Gardendale,AL,35071,Jefferson,D3775,,,Paul Roberts,(205) 531-2995,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Partnership,Regular,
Crimson Village,1410 18th Avenue East,,Tuscaloosa,AL,35404,Tuscaloosa,D6318,,,Rebecca Dennis,(205) 632-6699,Assisted Living Facility,78,,,Congregate Assisted Living Facility,78,,0,,0,,0,,0,Limited Liability Company,Regular,
"Crossings at Eastchase Assisted Living, The",2551 Eastchase Lane,,Montgomery,AL,36117,Montgomery,D5150,,,Joel A. Burdette,(334) 322-5934,Assisted Living Facility,73,,,Congregate Assisted Living Facility,73,,0,,0,,0,,0,Limited Liability Company,Regular,
Crowne Place Assisted Living,3720 Dauphin Street,,Mobile,AL,36608,Mobile,D4902,,,Amber Detamore,(251) 344-3866,Assisted Living Facility,80,,,Congregate Assisted Living Facility,80,,0,,0,,0,,0,Limited Liability Company,Regular,
"Daffodil House Assisted Living, LLC",12650 Old Marion Road,,Tuscaloosa,AL,35405,Tuscaloosa,D6317,,,Mary Gail Hales,(205) 342-0573,Assisted Living Facility,3,,,Family Assisted Living Facility,3,,0,,0,,0,,0,Limited Liability Company,Regular,
Danberry at Inverness,235 Inverness Center Dr.,,Hoover,AL,35242,Shelby,D5914,,,Rejeana Robinson,(205) 443-9500,Assisted Living Facility,56,,,Congregate Assisted Living Facility,56,,0,,0,,0,,0,Limited Liability Company,Regular,
"Dauphin Way Assisted Living, Inc.",3085 Dauphin Square Connector,,Mobile,AL,36607,Mobile,D4983,,,Penny Hosch,(251) 450-1110,Assisted Living Facility,40,,,Congregate Assisted Living Facility,40,,0,,0,,0,,0,Corporation,Regular,
Dogwood Manor Assisted Living,301 Ward Drive,,Abbeville,AL,36310,Henry,D3406,,,Jeri Grant,(334) 585-1114,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Healthcare Authority,Regular,
Eastchase Senior Living,1775 Halcyon Boulevard,,Montgomery,AL,36117,Montgomery,D5125,,,Ginger Fletcher,(334) 549-8958,Assisted Living Facility,48,,,Congregate Assisted Living Facility,48,,0,,0,,0,,0,Limited Liability Company,Regular,
Elmcroft of Byrd Springs,8020 Benaroya Lane Southwest,,Huntsville,AL,35802,Madison,D4525,,,Shannon Smith,(256) 882-2727,Assisted Living Facility,113,,,Congregate Assisted Living Facility,113,,0,,0,,0,,0,Limited Liability Company,Regular,
Elmcroft of Grayson Valley,2366 Old Springville Road,,Birmingham,AL,35215,Jefferson,D3770,,,Barbara Chatman,(205) 854-2888,Assisted Living Facility,113,,,Congregate Assisted Living Facility,113,,0,,0,,0,,0,Limited Liability Company,Regular,
Elmcroft of Heritage Woods,3440 Hillcrest Road,,Mobile,AL,36695,Mobile,D4947,,,Roger Cooper,(251) 665-9194,Assisted Living Facility,89,,,Congregate Assisted Living Facility,89,,0,,0,,0,,0,Limited Liability Company,Regular,
Fair Haven - Assisted Living,1424 Montclair Road,,Birmingham,AL,35210,Jefferson,D3702,,,Earnestine Thompson,(205) 956-4150,Assisted Living Facility,76,,,Congregate Assisted Living Facility,76,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Fleming Farms (ALF),4670 Bellewood Dr SE,,Huntsville,AL,35802,Madison,D4549,,,Amanda Hamilton,(256) 759-9800,Assisted Living Facility,33,,,Congregate Assisted Living Facility,33,,0,,0,,0,,0,Limited Liability Company,Regular,
"Gables at Charlton Place Assisted Living Community, The",65 Charlton Place,,Deatsville,AL,36022,Autauga,D0108,,,Jessica Shearer Miller,(334) 290-6900,Assisted Living Facility,24,,,Congregate Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Galleria Woods Assisted Living Facility,3850 Galleria Woods Drive,,Hoover,AL,35244,Jefferson,D3759,,,Lynda Sullivan,(205) 985-7537,Assisted Living Facility,24,,,Congregate Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Gardens of Clanton,850 Scott Drive,,Clanton,AL,35045,Chilton,D1105,,,Vickie Moseley,(205) 280-0084,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Gardens of Daphne,1307 Daphne Avenue,,Daphne,AL,36526,Baldwin,D0215,,,Christine Brammann,(251) 625-0802,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Gardens of Eufaula,395 Lake Drive,,Eufaula,AL,36027,Barbour,D0303,,,Suzanne Lynn,(334) 687-0430,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Gardens of Hazel Green,372 Jimmy Fisk Road,,Hazel Green,AL,35750,Madison,D4537,,,Heather Brandt,(256) 828-7400,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Gardens of Pelham,2124 Old Montgomery Highway,,Pelham,AL,35124,Shelby,D5916,,,Mary Neff,(205) 402-9922,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Gardens of Wetumpka,209 Country Club Drive,,Wetumpka,AL,36092,Elmore,D2605,,,Betty Washington,(334) 514-4839,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Gardens of Wetumpka II,187 Country Club Drive,,Wetumpka,AL,36092,Elmore,D2607,,,Betty Washington,(334) 514-4839,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Gordon Oaks Assisted Living Community,3145 Knollwood Drive,,Mobile,AL,36693,Mobile,D4916,,,Jeanne Freeman,(251) 661-7600,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Limited Liability Company,Regular,
Grandview at Redstone Village,12000 Turnmeyer Drive,,Huntsville,AL,35803,Madison,D4528,,,Senora Joseph,(256) 881-6717,Assisted Living Facility,58,,,Congregate Assisted Living Facility,58,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Greenbriar at the Altamont Assisted Living Facility,2831 Highland Avenue South,,Birmingham,AL,35205,Jefferson,D3736,,,Ashley Lee,(205) 323-2724,Assisted Living Facility,46,,,Congregate Assisted Living Facility,46,,0,,0,,0,,0,Limited Liability Company,Regular,
Greensprings II,809 Greensprings Drive,,Prattville,AL,36067,Autauga,D0107,,,David Huggins,(334) 365-0681,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Greenwood Place,105 South Greenwood,,Geneva,AL,36340,Geneva,D3102,,,Randall White,(334) 449-2408,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Hallmark Manor,515 Roger Sayers Drive,,Tuscaloosa,AL,35401,Tuscaloosa,D6315,,,Glenda Lowe,(205) 347-0062,Assisted Living Facility,13,,,Group Assisted Living Facility,13,,0,,0,,0,,0,Corporation,Regular,
Hamrick Highlands Assisted Living,755 55th Place East,,Tuscaloosa,AL,35404,Tuscaloosa,D6316,,,Greg and Susan Hamrick,(205) 469-1828,Assisted Living Facility,36,,,Congregate Assisted Living Facility,36,,0,,0,,0,,0,Corporation,Regular,
Harbor Chase of Huntsville,4801 Whitesport Circle,,Huntsville,AL,35801,Madison,D4527,,,Leigh Ann Hamby,(256) 650-1155,Assisted Living Facility,58,,,Congregate Assisted Living Facility,58,,0,,0,,0,,0,Corporation,Regular,
Harborchase of Jasper Assisted Living Facility,2100 Viking Drive,,Jasper,AL,35501,Walker,D6412,,,Anita Williams,(205) 384-0660,Assisted Living Facility,70,,,Congregate Assisted Living Facility,70,,0,,0,,0,,0,Corporation,Regular,
"Hartford Retirement Village, Inc.",12196 East State Hwy. 52,,Hartford,AL,36344,Geneva,D3101,,,Gloria Jane Shepard,(334) 588-2306,Assisted Living Facility,38,,,Congregate Assisted Living Facility,38,,0,,0,,0,,0,Corporation,Regular,
Heritage Assisted Living,11682 County Line Road,,Madison,AL,35756,Limestone,D4209,,,Jannie Crouse,(256) 325-3060,Assisted Living Facility,31,,,Congregate Assisted Living Facility,31,,0,,0,,0,,0,Limited Liability Company,Regular,
"Heritage Residential Care Village, Building #2",1001 Snows Mill Avenue,,Tuscaloosa,AL,35406,Tuscaloosa,D6304,,,Benjamin Edward Jackson,(205) 759-5179,Assisted Living Facility,15,,,Group Assisted Living Facility,15,,0,,0,,0,,0,Corporation,Regular,
Hilltop at Glenwood II,213 Ana Drive,,Florence,AL,35630,Lauderdale,D3908,,,Janet Beth Ledlow,(256) 766-8963,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Homeland Assisted Living, LLC",149 First Avenue,,Jemison,AL,35085,Chilton,D1103,,,Sharon Young O`Toole,(205) 688-4835,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Inn Assisted Living at Somerby of West Mobile, The",901 Somerby Drive,,Mobile,AL,36695,Mobile,D4959,,,"Ingrid B, Martone",(251) 776-1455,Assisted Living Facility,50,,,Congregate Assisted Living Facility,50,,0,,0,,0,,0,Limited Liability Company,Regular,
JK@ Arrowhead Inc.,9081 Atlanta Hwy.,,Montgomery,AL,36117,Montgomery,D5141,,,Mark H. Pate,(334) 409-2828,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Keestone of Florence,201 North Cedar Street,,Florence,AL,35630,Lauderdale,D3904,,,Jodi Gilreath,(256) 767-7676,Assisted Living Facility,43,,,Congregate Assisted Living Facility,43,,0,,0,,0,,0,Limited Liability Company,Regular,
Kemp Meadows Assisted Living Center,652 Tahoe Road,,Winfield,AL,35594,Marion,D4704,,,Tammy Nix,(205) 487-7575,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Kirkwood by the River,3605 Ratliff Road,,Birmingham,AL,35210,Jefferson,D3704,,,Jeff Burchfield,(205) 956-2184,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Knollwood Pointe,5601 Girby Road,,Mobile,AL,36693,Mobile,D4943,,,Anita Black,(251) 666-1005,Assisted Living Facility,23,,,Congregate Assisted Living Facility,23,,0,,0,,0,,0,Limited Liability Company,Regular,
Lake Haven Assisted Living Facility,370 Roy Beall Drive,,Luverne,AL,36049,Crenshaw,D2101,,,Sandra Walker,(334) 430-8455,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Partnership,Regular,
"Lakewood Senior Living of Jasper I, LLC",811 20th Avenue East,,Jasper,AL,35501,Walker,D6408,,,Sandy Prescott,(205) 221-5579,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Lakewood Senior Living of Jasper II, LLC",2004 Viking Drive,,Jasper,AL,35501,Walker,D6409,,,Sandy Prescott,(205) 221-1650,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Lakewood Senior Living of Smith, LLC",3020 Lee Road 430,,Smiths,AL,36877,Lee,D4104,,,Tiffany Yates,(205) 320-7504,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Lakewood Senior Living of Valley II, LLC",7200 Fairfax Bypass,,Valley,AL,36854,Chambers,D0904,,,Gary Freeman,(334) 756-8077,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Corporation,Regular,
Legacy Ridge Trussville,7868 Gadsden Highway,,Trussville,AL,35173,Jefferson,D3779,,,Lisa Gann,(205) 661-9940,Assisted Living Facility,55,,,Congregate Assisted Living Facility,55,,0,,0,,0,,0,Limited Liability Company,Regular,
Legacy Village of Jacksonville,1116 James Hopkins Road,,Jacksonville,AL,36265,Calhoun,D0805,,,Nicole Smith,(256) 782-0960,Assisted Living Facility,50,,,Congregate Assisted Living Facility,50,,0,,0,,0,,0,Limited Liability Company,Regular,
Legacy Woods I,101 Jacobs Lane,,Hayden,AL,35079,Blount,D0501,,,Derek Owen,(205) 647-7410,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Limestone Lodge II,1528 West Hobbs Street,,Athens,AL,35611,Limestone,D4208,,,Jessica Kitchens,(256) 233-1224,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Limestone Manor,600 Highway 31 North,,Athens,AL,35611,Limestone,D4203,,,Delois Bailey,(256) 232-3900,Assisted Living Facility,24,,,Congregate Assisted Living Facility,24,,0,,0,,0,,0,Limited Liability Company,Regular,
Little Sisters of the Poor Sacred Heart Residence,1655 McGill Avenue,,Mobile,AL,36604-1299,Mobile,D4903,,,Sr. Judith Meredith,(251) 476-6335,Assisted Living Facility,11,,,Group Assisted Living Facility,11,,0,,0,,0,,0,Non-Profit Corporation,Regular,
"Liveoak Village, LLC",2300 North Cedar Street,,Foley,AL,36535,Baldwin,D0208,,,Robin Sweet,(251) 943-6733,Assisted Living Facility,81,,,Congregate Assisted Living Facility,81,,0,,0,,0,,0,Limited Liability Company,Regular,
Longleaf at Liberty Park,"451 Liberty Parkway,",,Vestavia Hills,AL,35242,Jefferson,D3786,,,Leslie Carter,(205) 278-3064,Assisted Living Facility,90,,,Congregate Assisted Living Facility,90,,0,,0,,0,,0,Limited Liability Company,Regular,
Madison at The Range,10801 County Line Road,,Madison,AL,35758,Madison,D4544,,,Marcus Covar,(256) 203-5101,Assisted Living Facility,82,,,Congregate Assisted Living Facility,82,,0,,0,,0,,0,Limited Liability Company,Regular,
"Madison Village, LLC, The",6016 Wall Triana Hwy,,Madison,AL,35758,Madison,D4518,,,Jill Benefield,(256) 830-2400,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Non-Profit Corporation,Regular,
Magnolia Gardens Assisted Living,520 Lasalle Street,,Rainbow City,AL,35906,Etowah,D2803,,,Norma Williams,(256) 442-0102,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Magnolia House,100 Fourth Avenue West,,Oneonta,AL,35121,Blount,D0508,,,Cecily Sloan,(205) 813-7584,Assisted Living Facility,40,,,Congregate Assisted Living Facility,40,,0,,0,,0,,0,Limited Liability Company,Regular,
Maplewood Lane Assisted Living,223 Tucker Road,,Helena,AL,35080,Shelby,D5903,,,Savoyia McNeal,(205) 620-2905,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
Martinview Assisted Living-West,2015 32nd Street,,Northport,AL,35476,Tuscaloosa,D6310,,,Elizabeth Espy,(205) 343-7335,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
McClellan Senior Living,41 BG DH Stem Avenue,,Anniston,AL,36205,Calhoun,D0812,,,Kelly Lee,(256) 403-6808,Assisted Living Facility,60,,,Congregate Assisted Living Facility,60,,0,,0,,0,,0,Corporation,Regular,
Meadowood Retirement Village,509 Pineview Avenue,,Glencoe,AL,35905,Etowah,D2801,,,Keegan Jett,(256) 492-0935,Assisted Living Facility,110,,,Congregate Assisted Living Facility,110,,0,,0,,0,,0,Limited Liability Company,Regular,
"Meadows of Brewton, The",205 Pineview Street,,Brewton,AL,36426,Escambia,D2702,,,Lynda Leigh Stringfellow,(251) 809-0227,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
"Meadows of Jackson, The",517 Commerce Street,,Jackson,AL,36545,Clarke,D1302,,,Anna Robinson,(251) 246-1915,Assisted Living Facility,16,,,Group Assisted Living Facility,16,,0,,0,,0,,0,Limited Liability Company,Regular,
