Facility Name,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type,Date Accessed,Address
"Belmont,The",Montgomery,AL,36117,Montgomery,D5112,(334) 273-0110,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,7295 COPPERFIELD DRIVE
"Blake At Malbis, The",Daphne,AL,36526,Baldwin,D0221,(251) 625-6400,ASSISTED LIVING FACILITY,80,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,11626 US HIGHWAY 90
"Bluffs At Greystone I, The",Birmingham,AL,35242,Shelby,D3785,(205) 379-0322,ASSISTED LIVING FACILITY,87,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,6328 FARLEY LANE
"Branchwater Village, Llc",Boaz,AL,35957,Marshall,D4806,(256) 593-5055,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,763 MEDICAL CENTER PARKWAY
"Brennity At Daphne Al, The",Daphne,AL,36526,Baldwin,D0217,(251) 626-9000,ASSISTED LIVING FACILITY,92,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,27440 COUNTY ROAD 13
"Brennity At Fairhope, The",Fairhope,AL,36532,Baldwin,D0204,(251) 928-5555,ASSISTED LIVING FACILITY,143,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,50 SPRING RUN DRIVE
"Bridgewood Gardens, Assisted Living",Albertville,AL,35951,Marshall,D4807,(256) 878-3132,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,151 WOODHAM DRIVE
Brookdale Jones Farm,Huntsville,AL,35802,Madison,D4524,(256) 881-6111,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"2815 CARL T. JONES DRIVE, S. E."
Brookdale University Park Alf (Al),Birmingham,AL,35209,Jefferson,D3768,(205) 870-0786,ASSISTED LIVING FACILITY,90,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,400 UNIVERSITY PARK DRIVE
Brookside Assisted Living Community,Mobile,AL,36695,Mobile,D4945,(251) 633-9299,ASSISTED LIVING FACILITY,32,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"2260 PESNELL COURT, BUILDING #1"
Carillon Oaks Heflin Assisted Living,Heflin,AL,36264,Cleburne,D4991,(256) 297-3801,ASSISTED LIVING FACILITY,39,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,91 WILLOUGHBY STREET
Cedar Hill Assisted Living Facility,Selma,AL,36701,Dallas,D2402,(334) 875-1225,ASSISTED LIVING FACILITY,30,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,1300 OLD ORRVILLE ROAD
Cedar View Assisted Living,Killen,AL,35645,Lauderdale,D3912,(256) 757-2104,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,2001 COUNTY ROAD 394
Chelsea'S Hidden Acres,Chelsea,AL,35043,Shelby,D5908,(205) 678-8906,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,INDIVIDUAL,6/24/21,245 HIDDEN ACRES CIRCLE
Col. Robert L. Howard State Veterans Home Freedom Court,Pell City,AL,35125,St. Clair,D5809,(205) 227-7985,ASSISTED LIVING FACILITY,80,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,7054 VETERANS PARKWAY
Columbia Cottage - Hartselle,Hartselle,AL,35640,Morgan,D5208,(256) 751-4809,ASSISTED LIVING FACILITY,36,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1109 SPARKMAN STREET NORTHWEST
Columbia Cottage-Florence,Florence,AL,35630,Lauderdale,D3901,(256) 760-0442,ASSISTED LIVING FACILITY,51,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2373 ROBERTS LANE
"Columbia Cottage-Mountain Brook, Llc",Birmingham,AL,35223,Jefferson,D3769,(205) 968-0000,ASSISTED LIVING FACILITY,48,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3776 CROSSHAVEN DRIVE
Country Cottage - Montgomery - Ivy,Montgomery,AL,36117,Montgomery,D5130,(334) 260-8373,ASSISTED LIVING FACILITY,26,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"235 SYLVEST DRIVE, BUILDING 400"
Country Cottage - Montgomery - Oakleaf,Montgomery,AL,36117,Montgomery,D5129,(334) 260-8373,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"235 SYLVEST DRIVE, BLDG. 300"
"Country Cottage-Decatur, Oakleaf",Decatur,AL,35603,Morgan,D5206,(256) 301-1800,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"2515 OLD MOULTON ROAD, SW"
Country Cottage-Decatur-Magnolia,Decatur,AL,35603,Morgan,D5204,(256) 301-1800,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,"2515 OLD MOULTON ROAD, SW"
Country Cottage-Huntsville-Ivy,Huntsville,AL,35802,Madison,D4519,(256) 880-1101,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4200 CHRIS DRIVE
Country Cottage-Huntsville-Magnolia,Huntsville,AL,35802,Madison,D4511,(256) 880-1101,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4200 CHRIS DRIVE
Country Cottage-Huntsville-Oakleaf,Huntsville,AL,35802,Madison,D4512,(256) 880-1101,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4200 CHRIS DRIVE
Country Cottage-Oakleaf,Hoover,AL,35216,Jefferson,D3709,(205) 987-0847,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4000 GREENWOOD DRIVE
Country Cottage-Russellville,Russellville,AL,35653,Franklin,D3002,(256) 332-4707,ASSISTED LIVING FACILITY,29,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,900 NORTH JACKSON
"Country Living, Inc.",Falkville,AL,35622,Cullman,D2202,(256) 734-8618,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,225 COUNTY ROAD 1386
Country Place Senior Living Of Brewton,Brewton,AL,36426,Escambia,D2705,(251) 809-3550,ASSISTED LIVING FACILITY,28,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,905 BELLEVILLE AVENUE
Country Place Senior Living Of Fairhope,Fairhope,AL,36532,Baldwin,D0223,(251) 929-3627,ASSISTED LIVING FACILITY,26,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"8127 GAYFER ROAD, EXT."
Country Place Senior Living Of Foley,Foley,AL,36536,Baldwin,D0222,(251) 943-4412,ASSISTED LIVING FACILITY,28,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,615 E. LAUREL AVENUE
Country Place Senior Living Of Greenville,Greenville,AL,36037,Butler,D0703,(334) 382-0515,ASSISTED LIVING FACILITY,28,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,1035 FORT DALE ROAD
Country Place Senior Living Of Hamilton,Hamilton,AL,35570,Marion,D4706,(205) 921-0083,ASSISTED LIVING FACILITY,28,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,690 NATIONAL AVENUE
Country Place Senior Living Of Winfield,Winfield,AL,35594,Marion,D4705,(205) 487-1180,ASSISTED LIVING FACILITY,28,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,480 TAHOE ROAD
Covenant Place Of Gardendale,Gardendale,AL,35071,Jefferson,D3775,(205) 531-2995,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,PARTNERSHIP,6/24/21,1409 THOMPSON CIRCLE
Crimson Village,Tuscaloosa,AL,35404,Tuscaloosa,D6318,(205) 632-6699,ASSISTED LIVING FACILITY,78,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1410 18TH AVENUE EAST
"Crossings At Eastchase Assisted Living, The",Montgomery,AL,36117,Montgomery,D5150,(334) 322-5934,ASSISTED LIVING FACILITY,73,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2551 EASTCHASE LANE
Crowne Place Assisted Living,Mobile,AL,36608,Mobile,D4902,(251) 344-3866,ASSISTED LIVING FACILITY,80,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3720 DAUPHIN STREET
"Daffodil House Assisted Living, Llc",Tuscaloosa,AL,35405,Tuscaloosa,D6317,(205) 342-0573,ASSISTED LIVING FACILITY,3,FAMILY ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,12650 OLD MARION ROAD
Danberry At Inverness,Hoover,AL,35242,Shelby,D5914,(205) 443-9500,ASSISTED LIVING FACILITY,56,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,235 INVERNESS CENTER DR.
"Dauphin Way Assisted Living, Inc.",Mobile,AL,36607,Mobile,D4983,(251) 450-1110,ASSISTED LIVING FACILITY,40,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,3085 DAUPHIN SQUARE CONNECTOR
Dogwood Manor Assisted Living,Abbeville,AL,36310,Henry,D3406,(334) 585-1114,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,HEALTHCARE AUTHORITY,6/24/21,301 WARD DRIVE
Eastchase Senior Living,Montgomery,AL,36117,Montgomery,D5125,(334) 549-8958,ASSISTED LIVING FACILITY,48,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1775 HALCYON BOULEVARD
Elmcroft Of Byrd Springs,Huntsville,AL,35802,Madison,D4525,(256) 882-2727,ASSISTED LIVING FACILITY,113,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,8020 BENAROYA LANE SOUTHWEST
Elmcroft Of Grayson Valley,Birmingham,AL,35215,Jefferson,D3770,(205) 854-2888,ASSISTED LIVING FACILITY,113,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2366 OLD SPRINGVILLE ROAD
Elmcroft Of Heritage Woods,Mobile,AL,36695,Mobile,D4947,(251) 665-9194,ASSISTED LIVING FACILITY,89,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3440 HILLCREST ROAD
Fair Haven - Assisted Living,Birmingham,AL,35210,Jefferson,D3702,(205) 956-4150,ASSISTED LIVING FACILITY,76,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,1424 MONTCLAIR ROAD
Fleming Farms (Alf),Huntsville,AL,35802,Madison,D4549,(256) 759-9800,ASSISTED LIVING FACILITY,33,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,4670 BELLEWOOD DR SE
"Gables At Charlton Place Assisted Living Community, The",Deatsville,AL,36022,Autauga,D0108,(334) 290-6900,ASSISTED LIVING FACILITY,24,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,65 CHARLTON PLACE
Galleria Woods Assisted Living Facility,Hoover,AL,35244,Jefferson,D3759,(205) 985-7537,ASSISTED LIVING FACILITY,24,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3850 GALLERIA WOODS DRIVE
Gardens Of Clanton,Clanton,AL,35045,Chilton,D1105,(205) 280-0084,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,850 SCOTT DRIVE
Gardens Of Daphne,Daphne,AL,36526,Baldwin,D0215,(251) 625-0802,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1307 DAPHNE AVENUE
Gardens Of Eufaula,Eufaula,AL,36027,Barbour,D0303,(334) 687-0430,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,395 LAKE DRIVE
Gardens Of Hazel Green,Hazel Green,AL,35750,Madison,D4537,(256) 828-7400,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,372 JIMMY FISK ROAD
Gardens Of Pelham,Pelham,AL,35124,Shelby,D5916,(205) 402-9922,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2124 OLD MONTGOMERY HIGHWAY
Gardens Of Wetumpka,Wetumpka,AL,36092,Elmore,D2605,(334) 514-4839,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,209 COUNTRY CLUB DRIVE
Gardens Of Wetumpka Ii,Wetumpka,AL,36092,Elmore,D2607,(334) 514-4839,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,187 COUNTRY CLUB DRIVE
Gordon Oaks Assisted Living Community,Mobile,AL,36693,Mobile,D4916,(251) 661-7600,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3145 KNOLLWOOD DRIVE
Grandview At Redstone Village,Huntsville,AL,35803,Madison,D4528,(256) 881-6717,ASSISTED LIVING FACILITY,58,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,12000 TURNMEYER DRIVE
Greenbriar At The Altamont Assisted Living Facility,Birmingham,AL,35205,Jefferson,D3736,(205) 323-2724,ASSISTED LIVING FACILITY,46,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2831 HIGHLAND AVENUE SOUTH
Greensprings Ii,Prattville,AL,36067,Autauga,D0107,(334) 365-0681,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,809 GREENSPRINGS DRIVE
Greenwood Place,Geneva,AL,36340,Geneva,D3102,(334) 449-2408,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,105 SOUTH GREENWOOD
Hallmark Manor,Tuscaloosa,AL,35401,Tuscaloosa,D6315,(205) 347-0062,ASSISTED LIVING FACILITY,13,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,515 ROGER SAYERS DRIVE
Hamrick Highlands Assisted Living,Tuscaloosa,AL,35404,Tuscaloosa,D6316,(205) 469-1828,ASSISTED LIVING FACILITY,36,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,755 55TH PLACE EAST
Harbor Chase Of Huntsville,Huntsville,AL,35801,Madison,D4527,(256) 650-1155,ASSISTED LIVING FACILITY,58,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,4801 WHITESPORT CIRCLE
Harborchase Of Jasper Assisted Living Facility,Jasper,AL,35501,Walker,D6412,(205) 384-0660,ASSISTED LIVING FACILITY,70,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,2100 VIKING DRIVE
"Hartford Retirement Village, Inc.",Hartford,AL,36344,Geneva,D3101,(334) 588-2306,ASSISTED LIVING FACILITY,38,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,12196 EAST STATE HWY. 52
Heritage Assisted Living,Madison,AL,35756,Limestone,D4209,(256) 325-3060,ASSISTED LIVING FACILITY,31,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,11682 COUNTY LINE ROAD
"Heritage Residential Care Village, Building #2",Tuscaloosa,AL,35406,Tuscaloosa,D6304,(205) 759-5179,ASSISTED LIVING FACILITY,15,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,1001 SNOWS MILL AVENUE
Hilltop At Glenwood Ii,Florence,AL,35630,Lauderdale,D3908,(256) 766-8963,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,213 ANA DRIVE
"Homeland Assisted Living, Llc",Jemison,AL,35085,Chilton,D1103,(205) 688-4835,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,149 FIRST AVENUE
"Inn Assisted Living At Somerby Of West Mobile, The",Mobile,AL,36695,Mobile,D4959,(251) 776-1455,ASSISTED LIVING FACILITY,50,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,901 SOMERBY DRIVE
Jk@ Arrowhead Inc.,Montgomery,AL,36117,Montgomery,D5141,(334) 409-2828,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,9081 ATLANTA HWY.
Keestone Of Florence,Florence,AL,35630,Lauderdale,D3904,(256) 767-7676,ASSISTED LIVING FACILITY,43,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,201 NORTH CEDAR STREET
Kemp Meadows Assisted Living Center,Winfield,AL,35594,Marion,D4704,(205) 487-7575,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,652 TAHOE ROAD
Kirkwood By The River,Birmingham,AL,35210,Jefferson,D3704,(205) 956-2184,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,3605 RATLIFF ROAD
Knollwood Pointe,Mobile,AL,36693,Mobile,D4943,(251) 666-1005,ASSISTED LIVING FACILITY,23,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,5601 GIRBY ROAD
Lake Haven Assisted Living Facility,Luverne,AL,36049,Crenshaw,D2101,(334) 430-8455,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,PARTNERSHIP,6/24/21,370 ROY BEALL DRIVE
"Lakewood Senior Living Of Jasper I, Llc",Jasper,AL,35501,Walker,D6408,(205) 221-5579,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,811 20TH AVENUE EAST
"Lakewood Senior Living Of Jasper Ii, Llc",Jasper,AL,35501,Walker,D6409,(205) 221-1650,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2004 VIKING DRIVE
"Lakewood Senior Living Of Smith, Llc",Smiths,AL,36877,Lee,D4104,(205) 320-7504,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,3020 LEE ROAD 430
"Lakewood Senior Living Of Valley Ii, Llc",Valley,AL,36854,Chambers,D0904,(334) 756-8077,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,CORPORATION,6/24/21,7200 FAIRFAX BYPASS
Legacy Ridge Trussville,Trussville,AL,35173,Jefferson,D3779,(205) 661-9940,ASSISTED LIVING FACILITY,55,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,7868 GADSDEN HIGHWAY
Legacy Village Of Jacksonville,Jacksonville,AL,36265,Calhoun,D0805,(256) 782-0960,ASSISTED LIVING FACILITY,50,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1116 JAMES HOPKINS ROAD
Legacy Woods I,Hayden,AL,35079,Blount,D0501,(205) 647-7410,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,101 JACOBS LANE
Limestone Lodge Ii,Athens,AL,35611,Limestone,D4208,(256) 233-1224,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,1528 WEST HOBBS STREET
Limestone Manor,Athens,AL,35611,Limestone,D4203,(256) 232-3900,ASSISTED LIVING FACILITY,24,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,600 HIGHWAY 31 NORTH
Little Sisters Of The Poor Sacred Heart Residence,Mobile,AL,36604-1299,Mobile,D4903,(251) 476-6335,ASSISTED LIVING FACILITY,11,GROUP ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,1655 MCGILL AVENUE
"Liveoak Village, Llc",Foley,AL,36535,Baldwin,D0208,(251) 943-6733,ASSISTED LIVING FACILITY,81,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2300 NORTH CEDAR STREET
Longleaf At Liberty Park,Vestavia Hills,AL,35242,Jefferson,D3786,(205) 278-3064,ASSISTED LIVING FACILITY,90,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,"451 LIBERTY PARKWAY,"
Madison At The Range,Madison,AL,35758,Madison,D4544,(256) 203-5101,ASSISTED LIVING FACILITY,82,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,10801 COUNTY LINE ROAD
"Madison Village, Llc, The",Madison,AL,35758,Madison,D4518,(256) 830-2400,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,NON-PROFIT CORPORATION,6/24/21,6016 WALL TRIANA HWY
Magnolia Gardens Assisted Living,Rainbow City,AL,35906,Etowah,D2803,(256) 442-0102,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,520 LASALLE STREET
Magnolia House,Oneonta,AL,35121,Blount,D0508,(205) 813-7584,ASSISTED LIVING FACILITY,40,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,100 FOURTH AVENUE WEST
Maplewood Lane Assisted Living,Helena,AL,35080,Shelby,D5903,(205) 620-2905,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,223 TUCKER ROAD
Martinview Assisted Living-West,Northport,AL,35476,Tuscaloosa,D6310,(205) 343-7335,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,2015 32ND STREET
Mcclellan Senior Living,Anniston,AL,36205,Calhoun,D0812,(256) 403-6808,ASSISTED LIVING FACILITY,60,CONGREGATE ASSISTED LIVING FACILITY,CORPORATION,6/24/21,41 BG DH STEM AVENUE
Meadowood Retirement Village,Glencoe,AL,35905,Etowah,D2801,(256) 492-0935,ASSISTED LIVING FACILITY,110,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,509 PINEVIEW AVENUE
"Meadows Of Brewton, The",Brewton,AL,36426,Escambia,D2702,(251) 809-0227,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,205 PINEVIEW STREET
"Meadows Of Jackson, The",Jackson,AL,36545,Clarke,D1302,(251) 246-1915,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,517 COMMERCE STREET
"Meadows Of Monroeville, The",Monroeville,AL,36460,Monroe,D5001,(251) 575-9855,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,600 HIGHWAY 21 BYPASS
"Meadows, The",Atmore,AL,36502,Escambia,D2703,(251) 446-9317,ASSISTED LIVING FACILITY,16,GROUP ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,202 MEDICAL PARK DRIVE
Merrill Gardens At Madison,Madison,AL,35758,Madison,D4538,(256) 850-0058,ASSISTED LIVING FACILITY,160,CONGREGATE ASSISTED LIVING FACILITY,LIMITED LIABILITY COMPANY,6/24/21,121 BROOKRIDGE DRIVE
