Facility Name,Address 1,Address 2,City,State,Zip Code,County,Facility ID,Phone Number,State Facility Type 1 Literal,Capacity,State Facility Type 2 Literal,Ownership Type
Brookdale Hampton Cove,6379 Highway 431 South,,Hampton Cove,AL,35763,Madison,P4505,(256) 564-8383,Assisted Living Facility (Specialty Care),50,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Brookdale University Park SCALF (AL),400 University Park Drive,,Birmingham,AL,35209,Jefferson,P3707,(205) 870-0786,Assisted Living Facility (Specialty Care),30,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Brookside Memory and Specialty Care on Cody,680 Cody Road,,Mobile,AL,36695,Mobile,P4913,(251) 639-0494,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Carillon Oaks Mobile,5461 Kooiman Road,,Theodore,AL,36582,Mobile,P4917,(251) 287-6300,Assisted Living Facility (Specialty Care),48,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Carrington Place,300 Baker Road,,Satsuma,AL,36572,Mobile,P4905,(251) 776-1683,Assisted Living Facility (Specialty Care),40,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Cedar Hill Specialty Care Assisted Living,1300 Old Orrville Road,,Selma,AL,36701,Dallas,P2402,(334) 875-1225,Assisted Living Facility (Specialty Care),16,Congregate Specialty Care Assisted Living Facility,Corporation
Chapman Specialty Care Assisted Living Facility,3701 Dadeville Road,,Alexander City,AL,35010,Tallapoosa,P6201,(256) 234-6366,Assisted Living Facility (Specialty Care),46,Congregate Specialty Care Assisted Living Facility,Corporation
Cherokee Village Specialty Care Assisted Living Facility,201 Dean Buttram Senior Avenue,,Centre,AL,35960,Cherokee,P1001,(256) 927-4307,Assisted Living Facility (Specialty Care),36,Congregate Specialty Care Assisted Living Facility,Healthcare Authority
Country Cottage - Montgomery - Holly,"235 Sylvest Drive, Bldg. 100",,Montgomery,AL,36117,Montgomery,P5107,(334) 260-8373,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Country Cottage Magnolia Cottage,4000 Greenwood Drive,,Hoover,AL,35216,Jefferson,P3721,(205) 987-0847,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Country Cottage Montgomery-Magnolia,235 Sylvest Drive,,Montgomery,AL,36117,Montgomery,P5116,(256) 361-0084,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Country Place Memory Care of Greenville,3108 Luverne Highway,,Greenville,AL,36037,Butler,P0702,(334) 382-6507,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Covenant Woods of Gardendale,1411 Thompson Circle,,Gardendale,AL,35071,Jefferson,P3720,(205) 608-2200,Assisted Living Facility (Specialty Care),32,Congregate Specialty Care Assisted Living Facility,Partnership
Dugger Mountain Specialty Care Assisted Living,1100 Daily Street,,Piedmont,AL,36272,Calhoun,P0806,(256) 447-9444,Assisted Living Facility (Specialty Care),9,Group Specialty Care Assisted Living Facility,Healthcare Authority
Elmcroft of Heritage Woods Specialty Care Assisted Living Facility,3440 Hillcrest Road,,Mobile,AL,36695,Mobile,P4911,(251) 665-9063,Assisted Living Facility (Specialty Care),23,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Fair Haven - Specialty Care,1424 Montclair Road,,Birmingham,AL,35210,Jefferson,P3709,(205) 956-4150,Assisted Living Facility (Specialty Care),64,Congregate Specialty Care Assisted Living Facility,Non-Profit Corporation
Fleming Farms (SCALF),4670 Bellewood Dr. SE,,Huntsville,AL,35802,Madison,P4518,(256) 759-9800,Assisted Living Facility (Specialty Care),32,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Gardens of Waterford, The",3920 Antoinette Drive,,Montgomery,AL,36111,Montgomery,P5103,(334) 288-2444,Assisted Living Facility (Specialty Care),50,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Gordon Oaks Memory Care Community,3145 Knollwood Drive,,Mobile,AL,36693,Mobile,P4907,(251) 661-7600,Assisted Living Facility (Specialty Care),100,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Grandview Gardens at Redstone Village,11000 Turnmeyer Drive,,Huntsville,AL,35803,Madison,P4513,(256) 881-6717,Assisted Living Facility (Specialty Care),48,Congregate Specialty Care Assisted Living Facility,Non-Profit Corporation
Green Oaks Inn - Creel House,140 Pepper Lane,PO Box 2403,Florence,AL,35633,Lauderdale,P3901,(256) 767-2080,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Green Oaks Inn - Pepper House,140 Pepper Lane,,Florence,AL,35633,Lauderdale,P3903,(256) 767-2080,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Greensprings I,811 Greensprings Drive,,Prattville,AL,36067,Autauga,P0104,(334) 365-0678,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
"Harbor at Legacy Village of Jacksonville, The",1116 James Hopkins Rd SW,,Jacksonville,AL,36265,Calhoun,P0804,(256) 782-0960,Assisted Living Facility (Specialty Care),24,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Harbor Chase of Huntsville Specialty Care,4801 Whitesport Circle,,Huntsville,AL,35801,Madison,P4501,(256) 650-1155,Assisted Living Facility (Specialty Care),52,Congregate Specialty Care Assisted Living Facility,Corporation
Harborchase of Jasper Specialty Care Assisted Living Facility,2100 Viking Drive,,Jasper,AL,35501,Walker,P6401,(205) 384-0660,Assisted Living Facility (Specialty Care),14,Group Specialty Care Assisted Living Facility,Corporation
Haven at Eastchase,1775 Halcyon Blvd,,Montgomery,AL,36117,Montgomery,P5110,(334) 549-8958,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
"Haven Memory Care Facility, The",6848 Gulf Shores Parkway,,Gulf Shores,AL,36542,Baldwin,P0207,(251) 923-2800,Assisted Living Facility (Specialty Care),43,Congregate Specialty Care Assisted Living Facility,Corporation
Heritage Memory Care,11682 County Line Road,,Madison,AL,35756,Limestone,P4203,(256) 325-3060,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Hilltop at Glenwood I (SCALF),213 Ana Drive,,Florence,AL,35630,Lauderdale,P3904,(256) 767-2510,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Holly Cottage at Country Cottages,4000 Greenwood Drive,,Hoover,AL,35216,Jefferson,P3702,(205) 987-0847,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Kelley Place,109 Chaney Drive,PO Box 310845,Enterprise,AL,36331,Coffee,P1601,(334) 393-7233,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Kemp Meadows Specialty Care Assisted Living,652 Tahoe Road,,Winfield,AL,35594,Marion,P4701,(205) 487-7575,Assisted Living Facility (Specialty Care),26,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Kirkwood by the River Specialty Care,3605 Ratliff Road,,Birmingham,AL,35210,Jefferson,P3713,(205) 956-2184,Assisted Living Facility (Specialty Care),20,Congregate Specialty Care Assisted Living Facility,Non-Profit Corporation
Knollwood Pointe SCALF,5601 Girby Road,,Mobile,AL,36693,Mobile,P4916,(251) 666-1005,Assisted Living Facility (Specialty Care),32,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Lakeview Estates,2634 Valleydale Road,,Birmingham,AL,35244,Shelby,P5903,(205) 981-0001,Assisted Living Facility (Specialty Care),76,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Lakewood Specialty Care of Valley,7200 Fairfax Bypass,,Valley,AL,36854,Chambers,P0902,(334) 756-3891,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Legacy Woods II,101 Jacobs Lane,,Hayden,AL,35079,Blount,P0501,(205) 647-7410,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Legacy Woods III,101 Jacobs Lane,,Hayden,AL,35079,Blount,P0504,(205) 674-7410,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Limestone Lodge West,1532 West Hobbs Street,,Athens,AL,35611,Limestone,P4202,(334) 386-0343,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Longleaf at Liberty Park (SCALF),451 Liberty Parkway,,Vestavia Hills,AL,35242,Jefferson,P3726,(205) 278-3064,Assisted Living Facility (Specialty Care),30,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Madison at The Range Memory Care,10803 County Line Road,,Madison,AL,35758,Madison,P4516,(256) 508-7925,Assisted Living Facility (Specialty Care),42,Group Specialty Care Assisted Living Facility,Limited Liability Company
Madison Heights,108 Chaney Street,,Enterprise,AL,36330,Coffee,P1602,(334) 393-7233,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Martinview Assisted Living-East,2011 32nd Street,,Northport,AL,35476,Tuscaloosa,P6301,(205) 343-7335,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Meadowood Retirement Village SCALF,509 Pineview Avenue,,Glencoe,AL,35905,Etowah,P2802,(256) 492-0935,Assisted Living Facility (Specialty Care),51,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Memory Care at Somerby at St. Vincent's One Nineteen,200 One Nineteen Blvd.,,Hoover,AL,35242,Shelby,P5905,(205) 745-4630,Assisted Living Facility (Specialty Care),24,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Merrill Gardens at Madison (SCALF),121 Brookridge Dr.,,Madison,AL,35758,Madison,P4514,(256) 726-8508,Assisted Living Facility (Specialty Care),32,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Morning Pointe of Tuscaloosa Specialty Care Assisted Living Facility,1801 Rice Mine Road,,Tuscaloosa,AL,35406,Tuscaloosa,P6303,(205) 345-1112,Assisted Living Facility (Specialty Care),60,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Morningside of Vestavia Hills - SCALF,2401 Columbiana Road,,Birmingham,AL,35216,Jefferson,P3719,(205) 822-4773,Assisted Living Facility (Specialty Care),24,Congregate Specialty Care Assisted Living Facility,Corporation
Mt. View Lake Retirement Village,380 Mt. View Lake Road,,Sylacauga,AL,35150,Talladega,P6102,(256) 249-4790,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
"NHC Place, Anniston SCALF",1335 Greenbrier Road,,Anniston,AL,36207,Calhoun,P0803,(256) 835-3959,Assisted Living Facility (Specialty Care),80,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Noble Manor, LLC #3 Memory Care",610 Botts Avenue,,Troy,AL,36081,Pike,P5504,(334) 808-1325,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Oak Landing Specialty Care Assisted Living,616 Gaines Street,,Attalla,AL,35954,Etowah,P2803,(256) 553-1787,Assisted Living Facility (Specialty Care),11,Group Specialty Care Assisted Living Facility,Corporation
Oakland Place,19570 County Road 33,,Fairhope,AL,36532,Baldwin,P0202,(251) 928-5560,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Oaks on Parkwood Specialty Care Assisted Living Facility,2651 Laurel Oak Drive,P.O. Box 360227,Bessemer,AL,35022,Jefferson,P3712,(205) 497-4570,Assisted Living Facility (Specialty Care),51,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Olive Home, Inc.-Oneonta #2, The",1100 Second Avenue East,,Oneonta,AL,35121,Blount,P0503,(205) 813-7582,Assisted Living Facility (Specialty Care),34,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Pathways Intentional Memory Care -Huntsville,2004 Max Luther Drive,,Huntsville,AL,35810,Madison,P4507,(256) 852-0033,Assisted Living Facility (Specialty Care),104,Congregate Specialty Care Assisted Living Facility,Corporation
"Pearl of the Shoals SCALF, The",2904 S Wilson Dam Rd.,,Muscle Shoals,AL,35661,Colbert,P1701,(256) 386-7177,Assisted Living Facility (Specialty Care),13,Group Specialty Care Assisted Living Facility,Limited Liability Company
Plantation Manor Assisted Living I,6440 Old Tuscaloosa Highway,P. O. Box 97,McCalla,AL,35111,Jefferson,P3715,(205) 477-6161,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Plantation Manor Assisted Living II,6440 Old Tuscaloosa Highway,P. O. Box 97,McCalla,AL,35111,Jefferson,P3716,(205) 477-6161,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Premier Assisted Living,155 Egg and Butter Road,,Columbiana,AL,35051,Shelby,P5925,(205) 919-0542,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Reflections at Regency Birmingham,285 West Oxmoor Road,,Birmingham,AL,35209,Jefferson,P3722,(205) 957-6250,Assisted Living Facility (Specialty Care),32,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Remembrance Village,5001 Old Montgomery Highway,,Tuscaloosa,AL,35404,Tuscaloosa,P6305,(205) 752-5500,Assisted Living Facility (Specialty Care),56,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Rose Manor of Haleyville,41818 Highway #195,,Haleyville,AL,35565,Winston,P6701,(205) 485-2422,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Rosewood Manor Specialty Care,1513 County Park Road,,Scottsboro,AL,35769,Jackson,P3602,(256) 574-4800,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Royal Haven at Regency Pointe,510 East Grand Avenue,,Rainbow City,AL,35906,Etowah,P2801,(256) 442-1856,Assisted Living Facility (Specialty Care),12,Group Specialty Care Assisted Living Facility,Limited Liability Company
Serenity Place II,751 Houston Loop Rd.,P.O. Box 680129,Fort Payne,AL,35968,Dekalb,P2504,(256) 979-1239,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
Sonrise Specialty Care Assisted Living,1607 Hwy. 43 South,,Demopolis,AL,36732,Marengo,P4601,(334) 289-6455,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Individual
Specialty Care at Danberry at Inverness,235 Inverness Center Drive,,Hoover,AL,35242,Shelby,P3724,(205) 443-9500,Assisted Living Facility (Specialty Care),24,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
St. Martin's-In-The-Pines Specialty Care Assisted Living Facility,4941 Montevallo Road,,Birmingham,AL,35210,Jefferson,P3706,(205) 956-1831,Assisted Living Facility (Specialty Care),51,Congregate Specialty Care Assisted Living Facility,Non-Profit Corporation
Summer Village Camellia Place,"1171 Gatewood Drive, Building 206",,Auburn,AL,36830,Lee,P4101,(334) 502-6008,Assisted Living Facility (Specialty Care),42,Congregate Specialty Care Assisted Living Facility,Healthcare Authority
Summer Village Magnolia Place,1553 Professional Parkway,,Auburn,AL,36830,Lee,P4102,(334) 826-9857,Assisted Living Facility (Specialty Care),42,Congregate Specialty Care Assisted Living Facility,Healthcare Authority
"Terrace at Grove Park Specialty Care Assisted Living Facility, The",101 Tulip Lane,,Dothan,AL,36305,Houston,P3501,(334) 792-7349,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
"Terrace at Priceville Specialty Care Assisted Living Facility, The",200 Terrace Lane,,Decatur,AL,35603,Morgan,P5202,(256) 260-0400,Assisted Living Facility (Specialty Care),62,Group Specialty Care Assisted Living Facility,Corporation
The Crossings at Eastchase Memory Care,2551 Eastchase Ln.,,Montgomery,AL,36117,Montgomery,P5117,(504) 774-7762,Assisted Living Facility (Specialty Care),32,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
The Harbor at Hickory Hill,2102 Summit Parkway,,Prattville,AL,36066,Autauga,P0101,(334) 361-5111,Assisted Living Facility (Specialty Care),48,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
The Harbor at Opelika,1001 Fox Run Parkway,,Opelika,AL,36801,Lee,P4103,(334) 749-7992,Assisted Living Facility (Specialty Care),36,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
The Landings of Northport - SCALF,951 Rose Drive,,Northport,AL,35476,Tuscaloosa,P6302,(205) 330-1700,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Thrive at Jones Farm SCALF,2238 Cecil Ashburn Dr. SE,,Huntsville,AL,35802,Madison,P4515,(256) 429-3008,Assisted Living Facility (Specialty Care),26,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
"Tides at Crimson Village, The",1410 18th Ave. East,,Tuscaloosa,AL,35404,Tuscaloosa,P6307,(205) 632-6699,Assisted Living Facility (Specialty Care),48,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Traditions Way,515 Roger Sayers Drive,,Tuscaloosa,AL,35401,Tuscaloosa,P6304,(205) 347-0062,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Corporation
"Truewood by Merrill, Riverchase SCALF",1851 Data Drive,,Hoover,AL,35244,Jefferson,P3725,(205) 982-7000,Assisted Living Facility (Specialty Care),24,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Valley Park Manor SCALF,10 Medical Park Drive North,,Valley,AL,36854,Chambers,P0903,(334) 756-2600,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Village at Cook Springs Specialty Care Assisted Living Facility,415 Cook Springs Road,,Pell City,AL,35125,St. Clair,P5801,(205) 338-2221,Assisted Living Facility (Specialty Care),32,Group Specialty Care Assisted Living Facility,Limited Liability Company
Village East,220 Kings Circle,,Pell City,AL,35128,St. Clair,P5802,(205) 227-7921,Assisted Living Facility (Specialty Care),28,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
Wesley Gardens Retirement Community-Specialty Care,1555 Taylor Road,,Montgomery,AL,36117,Montgomery,P5113,(334) 272-7917,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Non-Profit Corporation
Wesley Place on Honeysuckle - Specialty Care,718 Honeysuckle Road,,Dothan,AL,36305,Houston,P3502,(334) 792-0921,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Non-Profit Corporation
Westminster Memory Care of Cullman,1020 Olive Street,,Cullman,AL,35055,Cullman,P2202,(256) 255-0361,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Westminster Memory Care of Decatur,2106 Modaus Road,,Decatur,AL,35603,Morgan,P5203,(256) 309-5300,Assisted Living Facility (Specialty Care),16,Group Specialty Care Assisted Living Facility,Limited Liability Company
Woodland Haus (SCALF),"1900 Olive Street, SW",,Cullman,AL,35055,Cullman,P2203,(256) 739-2988,Assisted Living Facility (Specialty Care),44,Congregate Specialty Care Assisted Living Facility,Limited Liability Company
