LICENSE #,TYPE,SUBTYPE,FACILITY,ADDRESS,CITY,STATE,ZIP,ADMINISTRATOR,PHONE,EFFECTIVE,EXPIRATION,BEDS,COUNTY
04176,Adult Day Care,,"THAT PLACE YOU KNOW, LLC",28 RIDGE RD,HOLLIS,NH,03049,KRIS L WUERDEMAN,(603) 465-3400,08/01/21,07/31/22,,Hillsborough
03802,Adult Day Care,,UPPER VALLEY GOOD DAY RESPITE PROGRAM,18 SCHOOL STREET,LEBANON,NH,03766,"CATHERINE WELLS, RN",(603) 526-4077,02/01/21,01/31/22,,Grafton
AF006,Adult Family Care,,NORTH BARNSTEAD RD (853),853 NORTH BARNSTEAD RD,Center Barnstead,NH,03225,JOHN HENDERSON,(603) 776-0001,09/01/20,08/31/21,1,Belknap
AF013,Adult Family Care,,WATER ST (55),55 WATER ST,Boscawen,NH,03303,NANCY HAAS,(603) 796-2496,07/01/20,06/30/21,1,Merrimack
04249,Ambulatory Surgical Center,,ACCESS AMBULATORY SURGERY CENTER,45 DARTMOUTH DR,AUBURN,NH,03032,LAURA J DEWAR,(603) 518-7190,01/01/21,12/31/21,,Rockingham
02552,Ambulatory Surgical Center,,AMBULATORY SURGERY CENTER (MANCHESTER),100 HITCHCOCK WAY,MANCHESTER,NH,03104,HEATHER A LONG,(603) 629-1800,03/01/21,02/28/22,,HILLSBOROUGH
02579,Ambulatory Surgical Center,,ATLANTIC PLASTIC SURGERY,"100 GRIFFIN ROAD., STE B",PORTSMOUTH,NH,03801,"LAWRENCE N GRAY, MD",(603) 431-8819,07/01/21,06/30/22,,ROCKINGHAM
03537,Ambulatory Surgical Center,,"BARRINGTON SURGICAL CARE, LLC",944 CALEF HIGHWAY,BARRINGTON,NH,03825,JENNIFER PRESTAGE,(603) 664-0100,08/01/21,07/31/22,,STRAFFORD
02756,Ambulatory Surgical Center,,BEDFORD AMBULATORY SURGICAL CENTER,11 WASHINGTON PLACE,BEDFORD,NH,03110,NICHOLAS VAILAS,(603) 622-3670,04/01/21,03/31/22,,HILLSBOROUGH
02943,Ambulatory Surgical Center,,CENTER FOR OUTPATIENT CARE,5 ALUMNI DRIVE,EXETER,NH,03833,BRIAN CAMPBELL,(603) 778-7311,05/01/21,04/30/22,,ROCKINGHAM
02841,Ambulatory Surgical Center,,CENTERS FOR PAIN SOLUTIONS,"280 MAIN STREET, SUITE 420",NASHUA,NH,03060,"JENNIFER FREEMAN, RN",(603) 577-3003,12/01/20,11/30/21,,HILLSBOROUGH
04278,Ambulatory Surgical Center,,CONCORD AMBULATORY SURGERY CENTER,1 COMMERCIAL CENTER@HORSESHOE POND 60 COMMERCIAL ST STE 301,CONCORD,NH,03301,"HEATHER SMITH, RN",(603) 415-9460,11/01/21,10/31/22,,Belknap
04494,Ambulatory Surgical Center,,CONCORD ENDOSCOPY CENTER,60 COMMERCIAL ST,Concord,NH,03301,"HEATHER SCHIMP, MBA",(603) 415-9450,04/01/21,03/31/22,,Merrimack
02786,Ambulatory Surgical Center,,CONCORD EYE SURGERY LLC,"246 PLEASANT STREET, STE 105B",CONCORD,NH,03301,PATRICIA A. BOURGAULT,(603) 224-6503,01/01/21,12/31/21,,MERRIMACK
03823,Ambulatory Surgical Center,,DARTMOUTH-HITCHCOCK NASHUA ENDOSCOPY CTR,2300 SOUTHWOOD DRIVE,NASHUA,NH,03063,HEATHER A LONG,(603) 577-4180,04/01/21,03/31/22,,HILLSBOROUGH
03693,Ambulatory Surgical Center,,ELLIOT 1-DAY SURGERY CENTER@ RIVERS EDGE,185 QUEEN CITY AVENUE,MANCHESTER,NH,03103,"BEVERLY PRIMEAU, RN",(603) 669-5900,04/01/21,03/31/22,,Hillsborough
04135,Ambulatory Surgical Center,,GRANITE STATE SURGICENTER,255 ROUTE 108,SOMERSWORTH,NH,03878,MARIANNA STEWART,(603) 692-3166,06/01/21,05/31/22,,Strafford
04136,Ambulatory Surgical Center,,GRANITE STATE SURGICENTER-MERRIMACK,1 MOUND CT,MERRIMACK,NH,03054,"LINDA SAUCIER, RN",(603) 424-8866,12/01/20,11/30/21,,Hillsborough
04495,Ambulatory Surgical Center,,"LIGHTHOUSE SURGICAL SUITES, LLC","2 MARKET PL, STE #100",Hollis,NH,03049,ASHLEY P LIOTTI,(603) 600-6175,04/06/21,03/31/22,,Hillsborough
04255,Ambulatory Surgical Center,,MINIMALLY INVASIVE SURGERY OF N.E.,4 HAWTHORNE DR,BEDFORD,NH,03110,BETH A DEREGO,(603) 218-1912,03/01/21,02/28/22,,Hillsborough
03848,Ambulatory Surgical Center,,NASHUA AMBULATORY SURGICAL CENTER LLC,15 RIVERSIDE DRIVE,NASHUA,NH,03062,ELIZABETH FRITTS,(603) 882-0950,07/01/21,06/30/22,,HILLSBOROUGH
03000,Ambulatory Surgical Center,,NASHUA EYE SURGERY CENTER,5 COLISEUM AVENUE SUITE 7,NASHUA,NH,03063,"THEODORE MOCHE, CRNA",(603) 689-9242,01/01/21,12/31/21,,HILLSBOROUGH
04477,Ambulatory Surgical Center,,"NORTH ATLANTIC SURGICAL SUITES,  LLC","23 KEEWAYDIN DR, STE 100",Salem,NH,03079,"JENNIFER SLAGER, RN",(603) 386-0272,12/30/20,11/30/21,,Rockingham
04486,Ambulatory Surgical Center,,NORTH COUNTRY ENDOSCOPY,220 COTTAGE  STREET,Littleton,NH,03561,ALAINA QUILLIN,(603) 444-0272,02/12/21,01/31/22,,Grafton
04387,Ambulatory Surgical Center,,NORTHRIDGE SURGICAL SUITES LLC,41 INNOVATIVE WY,NASHUA,NH,03062,MICHAELA F JOHNSTON,(603) 484-7710,01/01/21,12/31/21,,Hillsborough
04080,Ambulatory Surgical Center,,ORCHARD SURGICAL CENTER,16 KEEWAYDIN DR,SALEM,NH,03079,"CATHY D'ENTREMONT, RN",(603) 401-6466,02/01/21,01/31/22,,Rockingham
04475,Ambulatory Surgical Center,,ORTHOPAEDIC SURGERY CENTER,116 LANGLEY PARKWAY,CONCORD,NH,03301,"DONNA M QUINN, RN, BSN, MBA",(603) 228-7211,12/31/20,11/30/21,,Merrimack
04361,Ambulatory Surgical Center,,ORTHOPAEDIC SURGERY CENTER DERRY,14 TSIENNETO RD,DERRY,NH,03038,"DONNA QUINN, RN",(603) 425-6966,01/01/21,12/31/21,,Rockingham
03248,Ambulatory Surgical Center,,PARKLAND ENDOSCOPY CENTER,44 BIRCH STREET STE 103,DERRY,NH,03038,"KATHRYN MARSCHNER, RN",(603) 432-3639,03/01/21,02/28/22,,ROCKINGHAM
02899,Ambulatory Surgical Center,,PORTSMOUTH REGIONAL ASC,333 BORTHWICK AVE SUITE 200,PORTSMOUTH,NH,03801,JENNIFER L MARTIN,(603) 433-0941,09/01/21,08/31/22,,ROCKINGHAM
04020,Ambulatory Surgical Center,,RYE SURGICAL CENTER,270 LAFAYETTE RD,RYE,NH,03870,JENNIFER PRESTAGE,(603) 319-1581,06/01/21,05/31/22,,Rockingham
03504,Ambulatory Surgical Center,,STRATHAM AMBULATORY SURGERY CENTER,4 WEST ROAD,STRATHAM,NH,03885,"THOMAS S MENKE, DO",(603) 772-2076,04/01/21,03/31/22,,ROCKINGHAM
04428,Ambulatory Surgical Center,,SURGICAL CENTER OF NEW HAMPSHIRE AT DERRY,15 TSIENNETO RD,DERRY,NH,03038,BARBARA PLANSINIS,(603) 460-4955,07/01/21,06/30/22,,Rockingham
03946,Ambulatory Surgical Center,,THE SURGERY CENTER OF GREATER NASHUA,10 PROSPECT STREET SUITE 101,NASHUA,NH,03060,BEVERLY PRIMEAU,(603) 578-5108,07/01/21,06/30/22,,HILLSBOROUGH
03999,Ambulatory Surgical Center,,"WENTWORTH SURGERY CENTER, LLC",6 WORKS WAY,SOMERSWORTH,NH,03878,ANN MARIE DAY,(603) 285-9288,02/01/21,01/31/22,,Strafford
04305,Assist Living/Residential Care Facility,,AMERICAN HOUSE KEENE,197 WATER ST,KEENE,NH,03431,HILARY SEIFER,(603) 352-1282,09/01/20,08/31/21,144,Cheshire
03111,Assist Living/Residential Care Facility,,ARTABAN HOUSE,40 PLOWSHARE LANE,GREENFIELD,NH,03047,ROCHELLE H MINK,(603) 547-3717,01/01/21,12/31/21,6,HILLSBOROUGH
04480,Assist Living/Residential Care Facility,,ASSISTED LIVING AT PINE HILL,35 NORTH LOWELL RD,Windham,NH,03087,KAREN MASSAHOS,(603) 506-6626,02/01/21,11/30/21,16,Rockingham
02923,Assist Living/Residential Care Facility,,AUSTIN HOME,532 WHITE PLAINS ROAD,WEBSTER,NH,03303,STEPHANIE ORLANDO,(603) 456-3525,04/01/21,03/31/22,15,MERRIMACK
04481,Assist Living/Residential Care Facility,,BEAVER LAKE LODGE,38 NORTH SHORE ROAD,DERRY,NH,03038,KAREN MASSAHOS,(603) 434-5683,02/01/21,09/30/21,16,Rockingham
03096,Assist Living/Residential Care Facility,,BELLAMY FIELDS,150 GARRISON ROAD,DOVER,NH,03820,STEPHANIE J CARBERRY,(603) 516-8888,11/01/20,10/31/21,52,STRAFFORD
03348,Assist Living/Residential Care Facility,,BENTLEY COMMONS AT BEDFORD,66 HAWTHORNE DRIVE,BEDFORD,NH,03110,JOANNE M RIZZO,(603) 644-2200,03/01/21,02/28/22,100,HILLSBOROUGH
03118,Assist Living/Residential Care Facility,,BIRCH,61 LUKAS DRIVE,TEMPLE,NH,03084,AUREA DAVIS,(603) 878-4796,01/01/21,12/31/21,5,HILLSBOROUGH
03996,Assist Living/Residential Care Facility,,"COLONIAL FOX DEN, LLC",208 NORTH ROAD,SANDOWN,NH,03873,MARK QUEIROS,(603) 887-6333,12/01/20,11/30/21,44,Rockingham
00857,Assist Living/Residential Care Facility,,CROSSROAD FARM,37 MEMORIAL DRIVE,TEMPLE,NH,03084,PAMELA HOLUBECK,(603) 878-4322,01/01/21,12/31/21,5,HILLSBOROUGH
03495,Assist Living/Residential Care Facility,,DESIREE'S PLACE,93 CHARLES STREET,ROCHESTER,NH,03867,KRISTIE L TOUSSAINT,(603) 332-6455,04/01/21,03/31/22,16,STRAFFORD
02422,Assist Living/Residential Care Facility,,ECHO FARM,63 MEMORIAL HIGHWAY,TEMPLE,NH,03084,VIKRANT SHIVDASANI,(603) 878-2761,01/01/21,12/31/21,5,HILLSBOROUGH
03147,Assist Living/Residential Care Facility,,FOUR WINDS COMMUNITY-ST ORAN HOUSE,32 COLBURN ROAD,TEMPLE,NH,03084,PAUL MARTIN,(603) 878-2325,10/01/20,09/30/21,3,HILLSBOROUGH
02801,Assist Living/Residential Care Facility,,FOX MEADOW RETIREMENT HOME,1151 SUMMER STREET,BRISTOL,NH,03222,COREY JOHNSTON,(603) 744-5020,07/01/21,06/30/22,16,GRAFTON
01337,Assist Living/Residential Care Facility,,FRIENDSHIP MANOR,151 MAIN STREET,NEW IPSWICH,NH,03071,GARY CAHOON,(603) 878-2315,01/01/21,12/31/21,22,HILLSBOROUGH
03794,Assist Living/Residential Care Facility,,HARMONY HOMES LLC,1 STAGECOACH RD,DURHAM,NH,03824,TANIA BARRY,(603) 292-6087,02/01/21,01/31/22,24,STRAFFORD
03601,Assist Living/Residential Care Facility,,JOVIS HOUSE,12 WHITNEY DRIVE,GREENFIELD,NH,03047,DONAT BAY,(603) 547-6803,05/01/21,04/30/22,6,HILLSBOROUGH
03061,Assist Living/Residential Care Facility,,LEDGEWOOD,62 LUKAS DRIVE,TEMPLE,NH,03084,LOIS HORAN,(603) 878-0090,01/01/21,12/31/21,5,HILLSBOROUGH
04322,Assist Living/Residential Care Facility,,LEDGEWOOD BAY ASSISTED LIVING AND MEMORY CARE,43 LEDGEWOOD DRIVE,MILFORD,NH,03055,MELANIE F DUNN,(603) 672-5037,10/01/21,09/30/22,150,Hillsborough
03871,Assist Living/Residential Care Facility,,LILAC VIEW CORP,18 HEALTH CARE DRIVE,ROCHESTER,NH,03867,TRISTEN HAFFORD,(603) 332-7004,10/01/21,09/30/22,40,STRAFFORD
04243,Assist Living/Residential Care Facility,,LINCOLN TERRACE ASSISTED LIVING RESIDENCE LLC,11 LINCOLN ST,ROCHESTER,NH,03867,RACHEL M SANCHEZ,(603) 335-3966,03/01/21,02/28/22,16,Strafford
04245,Assist Living/Residential Care Facility,,MAE'S PLACE,212 SUMMER ST,BRISTOL,NH,03222,MEGAN ST GERMAIN,(603) 744-8402,09/01/21,08/31/22,12,Grafton
01450,Assist Living/Residential Care Facility,,MEADOW VIEW MANOR,749 SALMON FALLS ROAD,ROCHESTER,NH,03868,SAMUEL P BAKER JR,(603) 335-2288,08/01/21,07/31/22,5,STRAFFORD
02088,Assist Living/Residential Care Facility,,MERRY MEADOW FARM - HANOVER HOUSE,1 PROSPECT STREET,HANOVER,NH,03755,JEFFREY J HARRIS,(603) 643-3817,09/01/21,08/31/22,8,GRAFTON
02233,Assist Living/Residential Care Facility,,MYRTLE MANOR II INC,83 MYRTLE STREET,MANCHESTER,NH,03104,SUZANNE D DUMONT,(603) 641-6626,08/01/20,07/31/21,25,HILLSBOROUGH
00835,Assist Living/Residential Care Facility,,ON THE GREEN RESIDENTIAL CARE FACILITY,412 DARTMOUTH COLLEGE HIGHWAY,HAVERHILL,NH,03765,JANICE ESTES,(603) 989-5545,07/01/21,06/30/22,11,GRAFTON
03311,Assist Living/Residential Care Facility,,OUR PLACE INN TIME,31 TAPPAN STREET,FARMINGTON,NH,03835,MARY ANN MCCARTHY,(603) 755-2354,10/01/20,09/30/21,16,STRAFFORD
01607,Assist Living/Residential Care Facility,,PILLSBURY HOME,95 HIGH ST,MILFORD,NH,03055,GAIL MORRISON,(603) 672-1232,12/01/20,11/30/21,14,Belknap
02330,Assist Living/Residential Care Facility,,PINE VIEW HAVEN,85 FRANKLIN HIGHWAY,ANDOVER,NH,03216,JAMES DELANEY SR,(603) 735-5208,11/01/20,10/31/21,10,MERRIMACK
04346,Assist Living/Residential Care Facility,,POND VIEW ACRES,923 FRANKLIN PIERCE HWY,BARRINGTON,NH,03825,CASSIE J ROWLEY,(603) 664-9967,02/01/21,01/31/22,10,Strafford
03522,Assist Living/Residential Care Facility,,PRESIDENTIAL OAKS,200 PLEASANT STREET,CONCORD,NH,03301,SHARON J CARON,(603) 225-6644,06/01/21,05/31/22,103,MERRIMACK
03071,Assist Living/Residential Care Facility,,RED FARM HOUSE,24 WHITNEY ROAD,GREENFIELD,NH,03047,ASHLEY ROBINSON,(603) 547-2444,07/01/21,06/30/22,3,HILLSBOROUGH
04383,Assist Living/Residential Care Facility,,RESIDENTIAL FACILITY II,413 LAFAYETTE RD,PORTSMOUTH,NH,03801,JULIE BARRATT,(603) 828-4093,12/01/20,11/30/21,12,Rockingham
04244,Assist Living/Residential Care Facility,,"ROSEWOOD MANOR ASSISTED LIVING RESIDENCE, LLC",2 CHURCH ST,GONIC,NH,03839,RACHEL M SANCHEZ,(603) 355-3966,02/01/21,01/31/22,19,Strafford
01995,Assist Living/Residential Care Facility,,SARTWELL PLACE,6 TERRACE STREET,WHITEFIELD,NH,03598,ELIZABETH HAZARD,(603) 837-2541,12/01/20,11/30/21,24,COOS
04236,Assist Living/Residential Care Facility,,SILVER MAPLES RESIDENTIAL CARE,5 WINTER STREET,CLAREMONT,NH,03743,STAR EITAPENCE,(603) 543-3628,09/01/21,08/31/22,11,Sullivan
03787,Assist Living/Residential Care Facility,,STUDLEY HOME,34 EASTERN AVENUE,ROCHESTER,NH,03867,KATE BUCKOVITCH,(603) 332-1738,01/01/21,12/31/21,15,STRAFFORD
03874,Assist Living/Residential Care Facility,,SUMMERCREST,169 SUMMER STREET,NEWPORT,NH,03773,HAILEY WETHERBEE,(603) 863-8181,11/01/20,10/31/21,83,SULLIVAN
04004,Assist Living/Residential Care Facility,,SUNAPEE COVE ASSISTED LIVING,1250 ROUTE 11,Sunapee,NH,03782,CATHERINE A COURNOYER,(603) 763-0566,04/01/21,03/31/22,25,Sullivan
03969,Assist Living/Residential Care Facility,,THE CARRIAGE HOUSE OF NORTHFIELD,9 SUMMER STREET,NORTHFIELD,NH,03276,JODI L BLANCHARD,(603) 286-7890,10/01/20,09/30/21,35,BELKNAP
04130,Assist Living/Residential Care Facility,,THE INN AT EDGEWOOD,936 SOUTH ST,PORTSMOUTH,NH,03801,PATRICIA M RAMSEY,(603) 431-5327,03/01/21,02/28/22,16,Rockingham
03544,Assist Living/Residential Care Facility,,THE INN AT MEREDITH BAY,21 UPPER MILE POINT DRIVE,MEREDITH,NH,03253,JAMES MURRAY,(603) 279-1500,09/01/20,08/31/21,44,BELKNAP
04283,Assist Living/Residential Care Facility,,THE WELLSTONE HOUSE,125 LANGFORD ST,RAYMOND,NH,03077,AMELIA HAYES,(603) 895-9303,03/01/21,02/28/22,12,Rockingham
03998,Assist Living/Residential Care Facility,,TOBIAS HOUSE,75 BIRCH HILL ROAD,TEMPLE,NH,03084,BERTRAM VON ZABERN,(603) 878-9140,01/01/21,12/31/21,6,HILLSBOROUGH
02221,Assist Living/Residential Care Facility,,VILLAGER RETIREMENT HOME,50 N. MAST STREET,GOFFSTOWN,NH,03045,CHRISTOPHER KELLIHER,(603) 497-4225,12/01/20,11/30/21,16,HILLSBOROUGH
03084,Assist Living/Residential Care Facility,,"VINTAGE HILL, LLC",10 BERRY AVENUE,PITTSFIELD,NH,03263,MARILYN J ROBERTS,(603) 435-5133,08/01/20,07/31/21,10,MERRIMACK
02912,Assist Living/Residential Care Facility,,WASHINGTON MANOR,67 PROSPECT STREET,MANCHESTER,NH,03104,SUSAN VENTRESCA,(603) 668-9111,12/01/20,11/30/21,16,HILLSBOROUGH
04390,Assist Living/Residential Care Facility,,WAYNE'S PLACE,164 OLD SPRINGFIELD RD,Charlestown,NH,03603,ANN CAMPBELL,(603) 826-0840,01/01/21,12/31/21,11,Sullivan
04046,Assist Living/Residential Care Facility,,WESTBORO HOUSE,11 ELM ST WEST,WEST LEBANON,NH,03784,VINCENT JEWELL,(603) 298-8326,02/01/21,01/31/22,12,Grafton
04055,Birthing Center,,BIRTH COTTAGE OF MILFORD,4 PROSPECT STREET,MILFORD,NH,03055,"ADRIAN FELDHUSEN, NHCM",(603) 673-6010,07/01/20,06/30/21,2,Hillsborough
04393,Birthing Center,,"BIRTH COTTAGE OF SALEM, PLLC",141 MAIN ST UNIT 1,SALEM,NH,03079,ADRIAN FELDHUSEN,(603) 458-2955,02/01/21,01/31/22,2,Rockingham
03712,Birthing Center,,CONCORD BIRTH CENTER LLC,254 N STATE STREET UNIT D,CONCORD,NH,03301,"CYNTHIA OWEN, CPM, NHCM",(603) 228-8710,04/01/21,03/31/22,2,MERRIMACK
04478,Birthing Center,,GENTLE LANDING BIRTH CENTER,2 BUCK RD STE C-2,Hanover,NH,03755,"KATHERINE BRAMHALL, NHCM, LMVT",(802) 448-6940,01/20/21,12/31/21,,Grafton
03344,Birthing Center,,"MONADNOCK BIRTH CENTER, LLC",907 ROUTE 10,West Swanzey,NH,03446,"MARY LAWLOR, CPM, NHCM",(603) 352-5860,03/01/21,02/28/22,2,Cheshire
03055,Case Management Agency,,BRAIN INJURY ASSOCIATION OF NH,52 PLEASANT ST,CONCORD,NH,03301,STEVEN WADE,(603) 225-8400,04/01/21,03/31/22,,Belknap
03759,Case Management Agency,,COMMUNITY CROSSROADS,8 COMMERCE DRIVE STE 801,ATKINSON,NH,03811,DENNIS POWERS,(603) 893-1299,11/01/21,10/31/22,,ROCKINGHAM
04299,Case Management Agency,,COMMUNITY PARTNERS,25 OLD DOVER RD,ROCHESTER,NH,03867,"BRIAN COLLINS, DO",(603) 516-9300,10/01/21,09/30/22,,Strafford
03262,Case Management Agency,,CROTCHED MOUNTAIN COMMUNITY CARE,"186 GRANITE ST, STE 3-C",MANCHESTER,NH,03101,KARA NICKULAS,(603) 668-7584,05/01/21,04/30/22,,Hillsborough
02806,Case Management Agency,,GATEWAYS CASE MANAGEMENT SERVICES,144 CANAL STREET,NASHUA,NH,03064,LAVONNE COLON,(603) 882-6333,05/01/21,04/30/22,,HILLSBOROUGH
03221,Case Management Agency,,GRANITE CASE MANAGEMENT LLC,288 BAPTIST HILL RD,CANTERBURY,NH,03224,KERRY PFRIMMER,(603) 856-3120,12/01/20,11/30/21,,Merrimack
02304,Case Management Agency,,LIFE COPING INC,159 MAIN DUNSTABLE RD STE 207,NASHUA,NH,03060,"ELLEN CURELOP, RN",(603) 888-3588,11/01/20,10/31/21,,Belknap
02867,Case Management Agency,,MERRIMACK VALLEY ASSISTANCE PROGRAM,8 WALL STREET,CONCORD,NH,03301,DENISE SLEEPER,(603) 226-0607,04/01/21,03/31/22,,MERRIMACK
04311,Case Management Agency,,MONADNOCK COLLABORATIVE,105 CASTLE ST,KEENE,NH,03431,MARYANNE FERGUSON,(603) 352-7707,01/01/21,12/31/21,,Cheshire
04132,Collecting Station,,ALTON FAMILY MEDICINE,27 NEW DURHAM RD,ALTON,NH,03809,KELLY QUINN-HALL,(603) 875-6151,01/01/21,12/31/21,,Belknap
03559,Collecting Station,,CH CS @ EPSOM MEDICAL OFFICE BUILDING,1990 DOVER ROAD,EPSOM,NH,03234,"DEBRA WILLEY, MBA, NT(ASCP)",(603) 736-6235,12/01/20,11/30/21,,MERRIMACK
03925,Collecting Station,,CH LAB CS @ PENACOOK FAMILY PHYSICIANS,4 CRESCENT STREET,PENACOOK,NH,03303,"DEBRA WILLEY, MT (ASCP)",(603) 565-1095,04/01/21,03/31/22,,MERRIMACK
02827,Collecting Station,,CHESHIRE MEDICAL CENTER CS,17 NINETY-THIRD STREET,KEENE,NH,03431,TRACY BEAM,(603) 354-5400,09/01/21,08/31/22,,CHESHIRE
04362,Collecting Station,,CLAREMONT NH PSC,214 WASHINGTON ST,CLAREMONT,NH,03743,MADELINE CAPANO,(603) 504-3750,09/01/21,08/31/22,,Sullivan
03558,Collecting Station,,CMC LAB COLLECTION STATION @ BEDFORD,188 ROUTE 101,BEDFORD,NH,03110,RENEE JACKSON,(603) 663-6437,12/01/20,11/30/21,,HILLSBOROUGH
03350,Collecting Station,,CMC LAB CS @ FAM PHYS OF MANCHESTER,57 WEBSTER STREET,MANCHESTER,NH,03104,RENEE JACKSON,(603) 663-8013,03/01/21,02/28/22,,HILLSBOROUGH
03337,Collecting Station,,CMC LAB CS @ NOTRE DAME MEDICAL PAVILION,87 MCGREGOR STREET,MANCHESTER,NH,03102,RENEE JACKSON,(603) 663-8013,02/01/21,01/31/22,,HILLSBOROUGH
03285,Collecting Station,,CMC LAB CS @ QUEEN CITY MEDICAL ASSOC.,775 SOUTH MAIN STREET,MANCHESTER,NH,03102,RENEE JACKSON,(603) 663-8013,07/01/21,06/30/22,,HILLSBOROUGH
03633,Collecting Station,,CMC LAB CS@GOFFSTOWN PRIMARY CARE,17A TATRO DRIVE,GOFFSTOWN,NH,03045,RENEE JACKSON,(603) 625-0375,07/01/21,06/30/22,,HILLSBOROUGH
04031,Collecting Station,,CMC LAB CS@HOOKSETT MEDICAL PARK,27 LONDONDERRY TURNPIKE,HOOKSETT,NH,03106,RENEE JACKSON,(603) 314-5990,09/01/21,08/31/22,,Merrimack
03566,Collecting Station,,CONCENTRA URGENT CARE CS - CONCORD,1 PILLSBURY STREET,CONCORD,NH,03301,CHRISTINE BENSON,(603) 223-2300,02/01/21,01/31/22,,MERRIMACK
03568,Collecting Station,,CONCENTRA URGENT CARE-CS NASHUA,14A BROAD ST,NASHUA,NH,03064,SHEILA MORIN,(603) 889-2354,02/01/21,01/31/22,,HILLSBOROUGH
03885,Collecting Station,,CONCENTRA URGENT CARE-MANCHESTER CS,1279 SOUTH WILLOW STREET,MANCHESTER,NH,03103,MEGAN COMEAU,(603) 644-3330,12/01/20,11/30/21,,HILLSBOROUGH
03028,Collecting Station,,CONCORD HOS CS @ HORSESHOE POND,60 COMMERCIAL ST,CONCORD,NH,03301,DEBRA WILLEY,(603) 230-1200,11/01/20,10/31/21,,MERRIMACK
02589,Collecting Station,,CONCORD HOSP COLL STATION - MEMORIAL BLD,246 PLEASANT STREET,CONCORD,NH,03301,DEBRA WILLEY,(603) 227-7180,09/01/20,08/31/21,,MERRIMACK
03026,Collecting Station,,CONCORD HOSP CS AT HERITAGE HEIGHTS,149 EAST SIDE DRIVE,CONCORD,NH,03301,"DEBRA WILLEY, MT",(603) 225-6999,07/01/21,06/30/22,,MERRIMACK
03113,Collecting Station,,CONCORD HOSPITAL CS @ WARNER,2 EAST MAIN STREET,WARNER,NH,03278,DEBRA WILLEY,(603) 456-6106,01/01/21,12/31/21,,MERRIMACK
04515,Collecting Station,,CONCORD HOSPITAL LAB COLLECTION STATION @ RIVERBEND,10 WEST STREET,Concord,NH,03301,SHEILA MULLEN,(603) 225-0123,06/04/21,05/31/22,,Merrimack
