License Number,TYPE,Facility Name,Address,City,State,Zip Code,Phone Number,Capacity,County
4495,Ambulatory Surgical Center,"LIGHTHOUSE SURGICAL SUITES, LLC","2 MARKET PL, STE #100",Hollis,NH,3049,(603) 600-6175,,Hillsborough
4255,Ambulatory Surgical Center,MINIMALLY INVASIVE SURGERY OF N.E.,4 HAWTHORNE DR,BEDFORD,NH,3110,(603) 218-1912,,Hillsborough
3848,Ambulatory Surgical Center,NASHUA AMBULATORY SURGICAL CENTER LLC,15 RIVERSIDE DRIVE,NASHUA,NH,3062,(603) 882-0950,,HILLSBOROUGH
3000,Ambulatory Surgical Center,NASHUA EYE SURGERY CENTER,5 COLISEUM AVENUE SUITE 7,NASHUA,NH,3063,(603) 689-9242,,HILLSBOROUGH
4477,Ambulatory Surgical Center,"NORTH ATLANTIC SURGICAL SUITES,  LLC","23 KEEWAYDIN DR, STE 100",Salem,NH,3079,(603) 386-0272,,Rockingham
4486,Ambulatory Surgical Center,NORTH COUNTRY ENDOSCOPY,220 COTTAGE  STREET,Littleton,NH,3561,(603) 444-0272,,Grafton
4387,Ambulatory Surgical Center,NORTHRIDGE SURGICAL SUITES LLC,41 INNOVATIVE WY,NASHUA,NH,3062,(603) 484-7710,,Hillsborough
4080,Ambulatory Surgical Center,ORCHARD SURGICAL CENTER,16 KEEWAYDIN DR,SALEM,NH,3079,(603) 401-6466,,Rockingham
4475,Ambulatory Surgical Center,ORTHOPAEDIC SURGERY CENTER,116 LANGLEY PARKWAY,CONCORD,NH,3301,(603) 228-7211,,Merrimack
4361,Ambulatory Surgical Center,ORTHOPAEDIC SURGERY CENTER DERRY,14 TSIENNETO RD,DERRY,NH,3038,(603) 425-6966,,Rockingham
3248,Ambulatory Surgical Center,PARKLAND ENDOSCOPY CENTER,44 BIRCH STREET STE 103,DERRY,NH,3038,(603) 432-3639,,ROCKINGHAM
2899,Ambulatory Surgical Center,PORTSMOUTH REGIONAL ASC,333 BORTHWICK AVE SUITE 200,PORTSMOUTH,NH,3801,(603) 433-0941,,ROCKINGHAM
4020,Ambulatory Surgical Center,RYE SURGICAL CENTER,270 LAFAYETTE RD,RYE,NH,3870,(603) 319-1581,,Rockingham
3504,Ambulatory Surgical Center,STRATHAM AMBULATORY SURGERY CENTER,4 WEST ROAD,STRATHAM,NH,3885,(603) 772-2076,,ROCKINGHAM
4428,Ambulatory Surgical Center,SURGICAL CENTER OF NEW HAMPSHIRE AT DERRY,15 TSIENNETO RD,DERRY,NH,3038,(603) 460-4955,,Rockingham
3946,Ambulatory Surgical Center,THE SURGERY CENTER OF GREATER NASHUA,10 PROSPECT STREET SUITE 101,NASHUA,NH,3060,(603) 578-5108,,HILLSBOROUGH
3999,Ambulatory Surgical Center,"WENTWORTH SURGERY CENTER, LLC",6 WORKS WAY,SOMERSWORTH,NH,3878,(603) 285-9288,,Strafford
4305,Assist Living/Residential Care Facility,AMERICAN HOUSE KEENE,197 WATER ST,KEENE,NH,3431,(603) 352-1282,144,Cheshire
3111,Assist Living/Residential Care Facility,ARTABAN HOUSE,40 PLOWSHARE LANE,GREENFIELD,NH,3047,(603) 547-3717,6,HILLSBOROUGH
4480,Assist Living/Residential Care Facility,ASSISTED LIVING AT PINE HILL,35 NORTH LOWELL RD,Windham,NH,3087,(603) 506-6626,16,Rockingham
2923,Assist Living/Residential Care Facility,AUSTIN HOME,532 WHITE PLAINS ROAD,WEBSTER,NH,3303,(603) 456-3525,15,MERRIMACK
4481,Assist Living/Residential Care Facility,BEAVER LAKE LODGE,38 NORTH SHORE ROAD,DERRY,NH,3038,(603) 434-5683,16,Rockingham
3096,Assist Living/Residential Care Facility,BELLAMY FIELDS,150 GARRISON ROAD,DOVER,NH,3820,(603) 516-8888,52,STRAFFORD
3348,Assist Living/Residential Care Facility,BENTLEY COMMONS AT BEDFORD,66 HAWTHORNE DRIVE,BEDFORD,NH,3110,(603) 644-2200,100,HILLSBOROUGH
3118,Assist Living/Residential Care Facility,BIRCH,61 LUKAS DRIVE,TEMPLE,NH,3084,(603) 878-4796,5,HILLSBOROUGH
3996,Assist Living/Residential Care Facility,"COLONIAL FOX DEN, LLC",208 NORTH ROAD,SANDOWN,NH,3873,(603) 887-6333,44,Rockingham
857,Assist Living/Residential Care Facility,CROSSROAD FARM,37 MEMORIAL DRIVE,TEMPLE,NH,3084,(603) 878-4322,5,HILLSBOROUGH
3495,Assist Living/Residential Care Facility,DESIREE'S PLACE,93 CHARLES STREET,ROCHESTER,NH,3867,(603) 332-6455,16,STRAFFORD
2422,Assist Living/Residential Care Facility,ECHO FARM,63 MEMORIAL HIGHWAY,TEMPLE,NH,3084,(603) 878-2761,5,HILLSBOROUGH
3147,Assist Living/Residential Care Facility,FOUR WINDS COMMUNITY-ST ORAN HOUSE,32 COLBURN ROAD,TEMPLE,NH,3084,(603) 878-2325,3,HILLSBOROUGH
2801,Assist Living/Residential Care Facility,FOX MEADOW RETIREMENT HOME,1151 SUMMER STREET,BRISTOL,NH,3222,(603) 744-5020,16,GRAFTON
1337,Assist Living/Residential Care Facility,FRIENDSHIP MANOR,151 MAIN STREET,NEW IPSWICH,NH,3071,(603) 878-2315,22,HILLSBOROUGH
3794,Assist Living/Residential Care Facility,HARMONY HOMES LLC,1 STAGECOACH RD,DURHAM,NH,3824,(603) 292-6087,24,STRAFFORD
3601,Assist Living/Residential Care Facility,JOVIS HOUSE,12 WHITNEY DRIVE,GREENFIELD,NH,3047,(603) 547-6803,6,HILLSBOROUGH
3061,Assist Living/Residential Care Facility,LEDGEWOOD,62 LUKAS DRIVE,TEMPLE,NH,3084,(603) 878-0090,5,HILLSBOROUGH
4322,Assist Living/Residential Care Facility,LEDGEWOOD BAY ASSISTED LIVING AND MEMORY CARE,43 LEDGEWOOD DRIVE,MILFORD,NH,3055,(603) 672-5037,150,Hillsborough
3871,Assist Living/Residential Care Facility,LILAC VIEW CORP,18 HEALTH CARE DRIVE,ROCHESTER,NH,3867,(603) 332-7004,40,STRAFFORD
4243,Assist Living/Residential Care Facility,LINCOLN TERRACE ASSISTED LIVING RESIDENCE LLC,11 LINCOLN ST,ROCHESTER,NH,3867,(603) 335-3966,16,Strafford
4245,Assist Living/Residential Care Facility,MAE'S PLACE,212 SUMMER ST,BRISTOL,NH,3222,(603) 744-8402,12,Grafton
1450,Assist Living/Residential Care Facility,MEADOW VIEW MANOR,749 SALMON FALLS ROAD,ROCHESTER,NH,3868,(603) 335-2288,5,STRAFFORD
2088,Assist Living/Residential Care Facility,MERRY MEADOW FARM - HANOVER HOUSE,1 PROSPECT STREET,HANOVER,NH,3755,(603) 643-3817,8,GRAFTON
2233,Assist Living/Residential Care Facility,MYRTLE MANOR II INC,83 MYRTLE STREET,MANCHESTER,NH,3104,(603) 641-6626,25,HILLSBOROUGH
835,Assist Living/Residential Care Facility,ON THE GREEN RESIDENTIAL CARE FACILITY,412 DARTMOUTH COLLEGE HIGHWAY,HAVERHILL,NH,3765,(603) 989-5545,11,GRAFTON
3311,Assist Living/Residential Care Facility,OUR PLACE INN TIME,31 TAPPAN STREET,FARMINGTON,NH,3835,(603) 755-2354,16,STRAFFORD
1607,Assist Living/Residential Care Facility,PILLSBURY HOME,95 HIGH ST,MILFORD,NH,3055,(603) 672-1232,14,Belknap
2330,Assist Living/Residential Care Facility,PINE VIEW HAVEN,85 FRANKLIN HIGHWAY,ANDOVER,NH,3216,(603) 735-5208,10,MERRIMACK
4346,Assist Living/Residential Care Facility,POND VIEW ACRES,923 FRANKLIN PIERCE HWY,BARRINGTON,NH,3825,(603) 664-9967,10,Strafford
3522,Assist Living/Residential Care Facility,PRESIDENTIAL OAKS,200 PLEASANT STREET,CONCORD,NH,3301,(603) 225-6644,103,MERRIMACK
3071,Assist Living/Residential Care Facility,RED FARM HOUSE,24 WHITNEY ROAD,GREENFIELD,NH,3047,(603) 547-2444,3,HILLSBOROUGH
4383,Assist Living/Residential Care Facility,RESIDENTIAL FACILITY II,413 LAFAYETTE RD,PORTSMOUTH,NH,3801,(603) 828-4093,12,Rockingham
4244,Assist Living/Residential Care Facility,"ROSEWOOD MANOR ASSISTED LIVING RESIDENCE, LLC",2 CHURCH ST,GONIC,NH,3839,(603) 355-3966,19,Strafford
1995,Assist Living/Residential Care Facility,SARTWELL PLACE,6 TERRACE STREET,WHITEFIELD,NH,3598,(603) 837-2541,24,COOS
4236,Assist Living/Residential Care Facility,SILVER MAPLES RESIDENTIAL CARE,5 WINTER STREET,CLAREMONT,NH,3743,(603) 543-3628,11,Sullivan
3787,Assist Living/Residential Care Facility,STUDLEY HOME,34 EASTERN AVENUE,ROCHESTER,NH,3867,(603) 332-1738,15,STRAFFORD
3874,Assist Living/Residential Care Facility,SUMMERCREST,169 SUMMER STREET,NEWPORT,NH,3773,(603) 863-8181,83,SULLIVAN
4004,Assist Living/Residential Care Facility,SUNAPEE COVE ASSISTED LIVING,1250 ROUTE 11,Sunapee,NH,3782,(603) 763-0566,25,Sullivan
3969,Assist Living/Residential Care Facility,THE CARRIAGE HOUSE OF NORTHFIELD,9 SUMMER STREET,NORTHFIELD,NH,3276,(603) 286-7890,35,BELKNAP
4130,Assist Living/Residential Care Facility,THE INN AT EDGEWOOD,936 SOUTH ST,PORTSMOUTH,NH,3801,(603) 431-5327,16,Rockingham
3544,Assist Living/Residential Care Facility,THE INN AT MEREDITH BAY,21 UPPER MILE POINT DRIVE,MEREDITH,NH,3253,(603) 279-1500,44,BELKNAP
4283,Assist Living/Residential Care Facility,THE WELLSTONE HOUSE,125 LANGFORD ST,RAYMOND,NH,3077,(603) 895-9303,12,Rockingham
3998,Assist Living/Residential Care Facility,TOBIAS HOUSE,75 BIRCH HILL ROAD,TEMPLE,NH,3084,(603) 878-9140,6,HILLSBOROUGH
2221,Assist Living/Residential Care Facility,VILLAGER RETIREMENT HOME,50 N. MAST STREET,GOFFSTOWN,NH,3045,(603) 497-4225,16,HILLSBOROUGH
3084,Assist Living/Residential Care Facility,"VINTAGE HILL, LLC",10 BERRY AVENUE,PITTSFIELD,NH,3263,(603) 435-5133,10,MERRIMACK
2912,Assist Living/Residential Care Facility,WASHINGTON MANOR,67 PROSPECT STREET,MANCHESTER,NH,3104,(603) 668-9111,16,HILLSBOROUGH
4390,Assist Living/Residential Care Facility,WAYNE'S PLACE,164 OLD SPRINGFIELD RD,Charlestown,NH,3603,(603) 826-0840,11,Sullivan
4046,Assist Living/Residential Care Facility,WESTBORO HOUSE,11 ELM ST WEST,WEST LEBANON,NH,3784,(603) 298-8326,12,Grafton
4055,Birthing Center,BIRTH COTTAGE OF MILFORD,4 PROSPECT STREET,MILFORD,NH,3055,(603) 673-6010,2,Hillsborough
4393,Birthing Center,"BIRTH COTTAGE OF SALEM, PLLC",141 MAIN ST UNIT 1,SALEM,NH,3079,(603) 458-2955,2,Rockingham
3712,Birthing Center,CONCORD BIRTH CENTER LLC,254 N STATE STREET UNIT D,CONCORD,NH,3301,(603) 228-8710,2,MERRIMACK
4478,Birthing Center,GENTLE LANDING BIRTH CENTER,2 BUCK RD STE C-2,Hanover,NH,3755,(802) 448-6940,,Grafton
3344,Birthing Center,"MONADNOCK BIRTH CENTER, LLC",907 ROUTE 10,West Swanzey,NH,3446,(603) 352-5860,2,Cheshire
3055,Case Management Agency,BRAIN INJURY ASSOCIATION OF NH,52 PLEASANT ST,CONCORD,NH,3301,(603) 225-8400,,Belknap
3759,Case Management Agency,COMMUNITY CROSSROADS,8 COMMERCE DRIVE STE 801,ATKINSON,NH,3811,(603) 893-1299,,ROCKINGHAM
4299,Case Management Agency,COMMUNITY PARTNERS,25 OLD DOVER RD,ROCHESTER,NH,3867,(603) 516-9300,,Strafford
3262,Case Management Agency,CROTCHED MOUNTAIN COMMUNITY CARE,"186 GRANITE ST, STE 3-C",MANCHESTER,NH,3101,(603) 668-7584,,Hillsborough
2806,Case Management Agency,GATEWAYS CASE MANAGEMENT SERVICES,144 CANAL STREET,NASHUA,NH,3064,(603) 882-6333,,HILLSBOROUGH
3221,Case Management Agency,GRANITE CASE MANAGEMENT LLC,288 BAPTIST HILL RD,CANTERBURY,NH,3224,(603) 856-3120,,Merrimack
2304,Case Management Agency,LIFE COPING INC,159 MAIN DUNSTABLE RD STE 207,NASHUA,NH,3060,(603) 888-3588,,Belknap
2867,Case Management Agency,MERRIMACK VALLEY ASSISTANCE PROGRAM,8 WALL STREET,CONCORD,NH,3301,(603) 226-0607,,MERRIMACK
4311,Case Management Agency,MONADNOCK COLLABORATIVE,105 CASTLE ST,KEENE,NH,3431,(603) 352-7707,,Cheshire
4132,Collecting Station,ALTON FAMILY MEDICINE,27 NEW DURHAM RD,ALTON,NH,3809,(603) 875-6151,,Belknap
3559,Collecting Station,CH CS @ EPSOM MEDICAL OFFICE BUILDING,1990 DOVER ROAD,EPSOM,NH,3234,(603) 736-6235,,MERRIMACK
3925,Collecting Station,CH LAB CS @ PENACOOK FAMILY PHYSICIANS,4 CRESCENT STREET,PENACOOK,NH,3303,(603) 565-1095,,MERRIMACK
2827,Collecting Station,CHESHIRE MEDICAL CENTER CS,17 NINETY-THIRD STREET,KEENE,NH,3431,(603) 354-5400,,CHESHIRE
4362,Collecting Station,CLAREMONT NH PSC,214 WASHINGTON ST,CLAREMONT,NH,3743,(603) 504-3750,,Sullivan
3558,Collecting Station,CMC LAB COLLECTION STATION @ BEDFORD,188 ROUTE 101,BEDFORD,NH,3110,(603) 663-6437,,HILLSBOROUGH
3350,Collecting Station,CMC LAB CS @ FAM PHYS OF MANCHESTER,57 WEBSTER STREET,MANCHESTER,NH,3104,(603) 663-8013,,HILLSBOROUGH
3337,Collecting Station,CMC LAB CS @ NOTRE DAME MEDICAL PAVILION,87 MCGREGOR STREET,MANCHESTER,NH,3102,(603) 663-8013,,HILLSBOROUGH
3285,Collecting Station,CMC LAB CS @ QUEEN CITY MEDICAL ASSOC.,775 SOUTH MAIN STREET,MANCHESTER,NH,3102,(603) 663-8013,,HILLSBOROUGH
3633,Collecting Station,CMC LAB CS@GOFFSTOWN PRIMARY CARE,17A TATRO DRIVE,GOFFSTOWN,NH,3045,(603) 625-0375,,HILLSBOROUGH
4031,Collecting Station,CMC LAB CS@HOOKSETT MEDICAL PARK,27 LONDONDERRY TURNPIKE,HOOKSETT,NH,3106,(603) 314-5990,,Merrimack
3566,Collecting Station,CONCENTRA URGENT CARE CS - CONCORD,1 PILLSBURY STREET,CONCORD,NH,3301,(603) 223-2300,,MERRIMACK
3568,Collecting Station,CONCENTRA URGENT CARE-CS NASHUA,14A BROAD ST,NASHUA,NH,3064,(603) 889-2354,,HILLSBOROUGH
3885,Collecting Station,CONCENTRA URGENT CARE-MANCHESTER CS,1279 SOUTH WILLOW STREET,MANCHESTER,NH,3103,(603) 644-3330,,HILLSBOROUGH
3028,Collecting Station,CONCORD HOS CS @ HORSESHOE POND,60 COMMERCIAL ST,CONCORD,NH,3301,(603) 230-1200,,MERRIMACK
2589,Collecting Station,CONCORD HOSP COLL STATION - MEMORIAL BLD,246 PLEASANT STREET,CONCORD,NH,3301,(603) 227-7180,,MERRIMACK
3026,Collecting Station,CONCORD HOSP CS AT HERITAGE HEIGHTS,149 EAST SIDE DRIVE,CONCORD,NH,3301,(603) 225-6999,,MERRIMACK
3113,Collecting Station,CONCORD HOSPITAL CS @ WARNER,2 EAST MAIN STREET,WARNER,NH,3278,(603) 456-6106,,MERRIMACK
4515,Collecting Station,CONCORD HOSPITAL LAB COLLECTION STATION @ RIVERBEND,10 WEST STREET,Concord,NH,3301,(603) 225-0123,,Merrimack
4468,Collecting Station,CONCORD HOSPITAL OCCUPATIONAL AND EMPLOYEE HEALTH,248 PLEASANT ST. STE 202,Concord,NH,3301,(603) 230-1220,,Merrimack
4344,Collecting Station,CONCORD METRO TREATMENT CENTER,100 HALL ST,CONCORD,NH,3301,(603) 229-4260,,Merrimack
4449,Collecting Station,CRANMORE HEALTH PARTNERS,1875 WHITE MOUNTAIN HWY,North Conway,NH,3860,(603) 730-5356,,Carroll
3589,Collecting Station,DARTMOUTH-HITCHCOCK BEDFORD CS,25 SOUTH RIVER ROAD,BEDFORD,NH,3110,(603) 695-2580,,HILLSBOROUGH
3881,Collecting Station,DARTMOUTH-HITCHCOCK HEATER ROAD,18 OLD ETNA ROAD,LEBANON,NH,3766,(603) 650-4025,,GRAFTON
3736,Collecting Station,DARTMOUTH-HITCHCOCK HUDSON CS,208 ROBINSON ROAD,HUDSON,NH,3051,(603) 577-3410,,HILLSBOROUGH
3586,Collecting Station,DARTMOUTH-HITCHCOCK MERRIMACK CS,294 DANIEL WEBSTER HIGHWAY,MERRIMACK,NH,3054,(603) 440-7808,,HILLSBOROUGH
3587,Collecting Station,DARTMOUTH-HITCHCOCK MILFORD CS,14 ARMORY ROAD,MILFORD,NH,3055,(603) 673-2515,,HILLSBOROUGH
4105,Collecting Station,DARTMOUTH-HITCHCOCK WASHINGTON PLACE COLLECTING STATION,5 WASHINGTON PLACE,BEDFORD,NH,3110,(603) 695-2900,,Hillsborough
3690,Collecting Station,ELLIOT COLLECTION STATION @ 185 QUEEN CITY,185 QUEEN CITY AVENUE,MANCHESTER,NH,3101,(603) 663-2557,,HILLSBOROUGH
3747,Collecting Station,ELLIOT COLLECTION STATION @ 190 TARRYTOWN RD,190 TARRYTOWN ROAD,MANCHESTER,NH,3103,(603) 663-2557,,HILLSBOROUGH
3525,Collecting Station,ELLIOT COLLECTION STATION @ 20 CHAMBERS RD,20 CHAMBERS ROAD,HOOKSETT,NH,3106,(603) 663-2557,,MERRIMACK
4321,Collecting Station,ELLIOT COLLECTION STATION @ 25 LEAVY DRIVE,25 LEAVY DRIVE,BEDFORD,NH,3110,(603) 663-2557,,Hillsborough
4189,Collecting Station,ELLIOT LAB @ NORTHEAST REHAB HOSPITAL-SALEM,70 BUTLER ST,SALEM,NH,3079,(603) 663-2557,,Rockingham
2945,Collecting Station,EXETER HOSPITAL-COLLECTING STATION,5 ALUMNI DRIVE,EXETER,NH,3833,(603) 580-7085,,ROCKINGHAM
4403,Collecting Station,GRANITE STATE LAB,"120 WASHINGTON ST, STE 103",ROCHESTER,NH,3839,(603) 330-7057,,Strafford
4338,Collecting Station,KEENE METRO TREATMENT CENTER,1076 WEST SWANZEY RD,SWANZEY,NH,3446,(603) 358-0500,,Cheshire
4381,Collecting Station,KING HEALTHCARE DBA INTEGRATE,26 EAST PEARL STREET,NASHUA,NH,3060,(781) 771-8199,,Hillsborough
4395,Collecting Station,LABCORP DMC,15 TSIENNETO RD,DERRY,NH,3038,(603) 845-5093,,Rockingham
3156,Collecting Station,LABCORP/BEDFORD COMMONS PSC,101 RIVERWAY PLACE,BEDFORD,NH,3110,(603) 622-2357,,HILLSBOROUGH
4177,Collecting Station,LABCORP/CENTRAL COMMONS,750 CENTRAL AVE,DOVER,NH,3820,(603) 749-4444,,Belknap
3142,Collecting Station,LABCORP/EXETER PCS-HAMPTON RD,19 HAMPTON ROAD #13,EXETER,NH,3833,(603) 772-9603,,ROCKINGHAM
3642,Collecting Station,LABCORP/GREENLAND RD PSC,875 GREENLAND ROAD,PORTSMOUTH,NH,3801,(603) 436-1760,,ROCKINGHAM
3148,Collecting Station,LABCORP/LAFAYETTE PROF. PARK,230 LAFAYETTE ROAD BLDG. D,PORTSMOUTH,NH,3801,(603) 436-5311,,ROCKINGHAM
3140,Collecting Station,LABCORP/ROCHESTER PSC,40 WINTER STREET STE 200,ROCHESTER,NH,3867,(603) 332-6181,,STRAFFORD
3971,Collecting Station,LABCORP-GREENHOUSE NATUROPATHIC,109 PONEMAH ROAD,AMHERST,NH,3031,(603) 430-4143,,Belknap
3757,Collecting Station,LABCORP-PELHAM RD,25 PELHAM ROAD 103A,SALEM,NH,3079,(603) 890-3708,,ROCKINGHAM
3967,Collecting Station,LABCORP-SOMERSWORTH,21 CLARK WAY,SOMERSWORTH,NH,3878,(603) 841-2588,,STRAFFORD
3873,Collecting Station,LABCORP-WINDHAM PSC,49 RANGE ROAD SUITE 101,WINDHAM,NH,3087,(603) 681-9194,,ROCKINGHAM
4340,Collecting Station,LANDMARK LABCORP,50 NASHUA RD #301,LONDONDERRY,NH,3053,(603) 828-3666,,Rockingham
4329,Collecting Station,LOWELL GENERAL PELHAM PATIENT SERVICE CENTER,49 ATWOOD RD STE 2,PELHAM,NH,3076,(978) 323-7051,,Hillsborough
3216,Collecting Station,MANCHESTER HEALTH DEPARTMENT CS,1528 ELM STREET,MANCHESTER,NH,3101,(603) 624-6466,,HILLSBOROUGH
4330,Collecting Station,MANCHESTER METRO TREATMENT CENTER,228 MAPLE ST,MANCHESTER,NH,3103,(603) 622-5005,,Hillsborough
3517,Collecting Station,MOULTONBORO FAMILY MEDICINE,984 WHITTIER HIGHWAY,MOULTONBOROUGH,NH,3254,(603) 476-2216,,CARROLL
4336,Collecting Station,NEW SEASONS FRANKLIN,880 CENTRAL ST STE 10,Franklin,NH,3235,(603) 671-7065,,Merrimack
2929,Collecting Station,NEWPORT HEALTH CENTER,11 JOHN STARK HIGHWAY,NEWPORT,NH,3773,(603) 863-4100,,SULLIVAN
2469,Collecting Station,NUTFIELD COLLECTION STATION,44 BIRCH STREET STE 300,DERRY,NH,3038,(603) 421-2266,,ROCKINGHAM
3513,Collecting Station,OSSIPEE FAMILY MEDICINE,3 WATER VILLAGE ROAD,OSSIPEE,NH,3864,(603) 539-6996,,CARROLL
4097,Collecting Station,PRH PATIENT SERVICE CENTER-PEASE,25 NEW HAMPSHIRE AVE STE 105,PORTSMOUTH,NH,3801,(603) 570-3130,,Rockingham
3239,Collecting Station,PRH-PATIENT SERVICE CENTER,330 BORTHWICK AVENUE SUITE 112,PORTSMOUTH,NH,3801,(603) 433-1331,,ROCKINGHAM
3646,Collecting Station,PRH-PATIENT SERVICE CENTER GRIFFIN RD,155 GRIFFIN ROAD,PORTSMOUTH,NH,3801,(603) 610-8825,,ROCKINGHAM
3283,Collecting Station,PRH-PATIENT SERVICES CENTER,55 HIGH STREET - SUITE 104,HAMPTON,NH,3842,(603) 433-5282,,ROCKINGHAM
4334,Collecting Station,QUEST - GOODWIN,311 NH-108,SOMERSWORTH,NH,3878,(603) 327-9217,,Strafford
3035,Collecting Station,QUEST DIAGNOSTICS,195 MCGREGOR ST,MANCHESTER,NH,3102,(772) 494-3973,,HILLSBOROUGH
4225,Collecting Station,QUEST DIAGNOSTICS,160 SOUTH RIVER RD,BEDFORD,NH,3110,(774) 369-3900,,Hillsborough
