License Number,Facility Name,Address,City,State,Zip Code,Phone Number,Capacity,County,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal
4243,Lincoln Terrace Assisted Living Residence Llc,11 LINCOLN ST,Rochester,NH,3867,(603) 335-3966,16.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4245,Mae'S Place,212 SUMMER ST,Bristol,NH,3222,(603) 744-8402,12.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
1450,Meadow View Manor,749 SALMON FALLS ROAD,Rochester,NH,3868,(603) 335-2288,5.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2088,Merry Meadow Farm - Hanover House,1 PROSPECT STREET,Hanover,NH,3755,(603) 643-3817,8.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2233,Myrtle Manor Ii Inc,83 MYRTLE STREET,Manchester,NH,3104,(603) 641-6626,25.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
835,On The Green Residential Care Facility,412 DARTMOUTH COLLEGE HIGHWAY,Haverhill,NH,3765,(603) 989-5545,11.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3311,Our Place Inn Time,31 TAPPAN STREET,Farmington,NH,3835,(603) 755-2354,16.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
1607,Pillsbury Home,95 HIGH ST,Milford,NH,3055,(603) 672-1232,14.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2330,Pine View Haven,85 FRANKLIN HIGHWAY,Andover,NH,3216,(603) 735-5208,10.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4346,Pond View Acres,923 FRANKLIN PIERCE HWY,Barrington,NH,3825,(603) 664-9967,10.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3522,Presidential Oaks,200 PLEASANT STREET,Concord,NH,3301,(603) 225-6644,103.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3071,Red Farm House,24 WHITNEY ROAD,Greenfield,NH,3047,(603) 547-2444,3.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4383,Residential Facility Ii,413 LAFAYETTE RD,Portsmouth,NH,3801,(603) 828-4093,12.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4244,"Rosewood Manor Assisted Living Residence, Llc",2 CHURCH ST,Gonic,NH,3839,(603) 355-3966,19.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
1995,Sartwell Place,6 TERRACE STREET,Whitefield,NH,3598,(603) 837-2541,24.0,Coos,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4236,Silver Maples Residential Care,5 WINTER STREET,Claremont,NH,3743,(603) 543-3628,11.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3787,Studley Home,34 EASTERN AVENUE,Rochester,NH,3867,(603) 332-1738,15.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3874,Summercrest,169 SUMMER STREET,Newport,NH,3773,(603) 863-8181,83.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4004,Sunapee Cove Assisted Living,1250 ROUTE 11,Sunapee,NH,3782,(603) 763-0566,25.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3969,The Carriage House Of Northfield,9 SUMMER STREET,Northfield,NH,3276,(603) 286-7890,35.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4130,The Inn At Edgewood,936 SOUTH ST,Portsmouth,NH,3801,(603) 431-5327,16.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3544,The Inn At Meredith Bay,21 UPPER MILE POINT DRIVE,Meredith,NH,3253,(603) 279-1500,44.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4283,The Wellstone House,125 LANGFORD ST,Raymond,NH,3077,(603) 895-9303,12.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3998,Tobias House,75 BIRCH HILL ROAD,Temple,NH,3084,(603) 878-9140,6.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2221,Villager Retirement Home,50 N. MAST STREET,Goffstown,NH,3045,(603) 497-4225,16.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
3084,"Vintage Hill, Llc",10 BERRY AVENUE,Pittsfield,NH,3263,(603) 435-5133,10.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
2912,Washington Manor,67 PROSPECT STREET,Manchester,NH,3104,(603) 668-9111,16.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4390,Wayne'S Place,164 OLD SPRINGFIELD RD,Charlestown,NH,3603,(603) 826-0840,11.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4046,Westboro House,11 ELM ST WEST,West Lebanon,NH,3784,(603) 298-8326,12.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,RESIDENTIAL CARE FACILITY
4365,All American Assisted Living At Kingston,193 MAIN ST,Kingston,NH,3848,(603) 347-5522,112.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4160,All American Assisted Living At Londonderry,1 BUTTON DR,Londonderry,NH,3053,(603) 537-9898,112.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4484,Assisted Living@Sugarhill,83 ROLLING WOOD DR,Wolfeboro,NH,3894,(603) 569-8485,25.0,Carroll,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
1526,Aynsley Place,80 LAKE STREET,Nashua,NH,3060,(603) 881-4190,46.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4353,Bedford Falls,5 CORPORATE DRIVE,Bedford,NH,3110,(603) 471-2555,114.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4354,Benchmark Senior Living At Nashua Crossings,674 WEST HOLLIS ST,Nashua,NH,3062,(603) 882-2898,103.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4490,Bowman Place Of Olde Bedford,24 OLD BEDFORD RD,Bedford,NH,3110,(603) 714-7003,150.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4175,Bridges By Epoch At Nashua,575 AMHERST ST,Nashua,NH,3063,(603) 594-0581,54.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3728,Brookdale Spruce Wood,25 WORTHEN ROAD,Durham,NH,3824,(603) 659-1100,80.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
1548,Carlyle Place,40 ROUTE 101,Bedford,NH,3110,(603) 472-2000,46.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4128,Carriage Hill Assisted Living,306 KNOX MARSH RD,Madbury,NH,3823,(603) 343-4475,24.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4456,Cedar Healthcare Center,188 JONES AVE,Portsmouth,NH,3801,(603) 431-2530,30.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4165,Community Living For Elderly Tamworth,22 MAY'S WY,West Ossipee,NH,3890,(603) 323-8717,15.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4525,Cornerstone At Hampton,298 EXETER ROAD,Hampton,NH,3842,(603) 929-6300,212.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2934,Ernest P. Barka Assisted Living,117 NORTH ROAD,Brentwood,NH,3833,(603) 679-9359,49.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3170,Evergreen Place,813 BEECH STREET,Manchester,NH,3104,(603) 669-7361,52.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4453,Evolve At Rye,295 LAFAYETTE RD,Rye,NH,3870,(603) 379-1898,64.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3677,Forestview Manor 1,153 PARADE ROAD,Meredith,NH,3253,(603) 279-3121,26.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3678,Forestview Manor 2,153 PARADE ROAD,Meredith,NH,3253,(603) 279-3121,30.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3679,Forestview Manor 3,153 PARADE ROAD,Meredith,NH,3253,(603) 279-3121,20.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2738,Gerrish Manor,325 DANIEL WEBSTER HIGHWAY BLDG 2,Boscawen,NH,3303,(603) 796-3241,29.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3498,Grace House Of Windham,23 MAMMOTH RD,Windham,NH,3087,(603) 889-1800,17.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2698,Granite Ledges Of Concord,151 LANGLEY PARKWAY,Concord,NH,3301,(603) 224-0777,90.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4355,Greystone Farm At Salem,242 MAIN ST,Salem,NH,3079,(603) 898-5393,82.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4228,Harmony Homes By The Bay,40 BRIGGS WY,Durham,NH,3824,(603) 292-5175,60.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2420,Harvest Hill,23 ALICE PECK DAY DRIVE,Lebanon,NH,3766,(603) 448-7458,154.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3904,Havenwood Heritage Heights,33 CHRISTIAN AVENUE,Concord,NH,3301,(603) 224-5363,29.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2431,Havenwood-Heritage Heights,33 CHRISTIAN AVENUE,Concord,NH,3301,(603) 224-5363,34.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4351,Hillside Village (Assisted Living And Memory Care),100 WYMAN ROAD,Keene,NH,3431,(603) 283-5150,61.0,Cheshire,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3919,Hunt Community,10 ALLDS STREET,Nashua,NH,3060,(603) 882-6511,25.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2784,Inn At Deerfield Inc. (The),34 RIDGE ROAD,Deerfield,NH,3037,(603) 463-7002,32.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2734,Inn At Golden View (The),19 NH ROUTE 104,Meredith,NH,3253,(603) 279-8111,48.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2612,Inn At Parker Station,46 PARKER STATION ROAD,Goffstown,NH,3045,(603) 497-5300,15.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
1954,Kendal At Hanover,67 CUMMINGS RD,Hanover,NH,3755,(603) 643-8900,107.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4407,Kirkwood Corners,206 NORTH RIVER RD,Lee,NH,3861,(603) 659-6586,32.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3906,"Langdon Place Of Dover, A Sr Living Comm",60 MIDDLE ROAD,Dover,NH,3820,(603) 743-4110,126.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2694,"Langdon Place Of Exeter, A Sr Living Com",17 HAMPTON RD,Exeter,NH,3833,(603) 772-5251,114.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3921,Langdon Place Of Keene,136A ARCH STREET,Keene,NH,3431,(603) 357-3902,156.0,Cheshire,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2692,"Langdon Place Of Nashua, A Sr Living Com",319 EAST DUNSTABLE ROAD,Nashua,NH,3062,(603) 888-7878,105.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3263,Laurel Place Assisted Living,203 LOWELL ROAD,Hudson,NH,3051,(603) 883-2419,47.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3907,Ledgeview,21 LEDGES DRIVE,Laconia,NH,3246,(603) 366-1275,40.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4323,Ledgewood Bay Assisted Iving And Memory Care,43 LEDGEWOOD DRIVE,Milford,NH,3055,(603) 672-5037,44.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2670,Maplewood Assisted Living,201 RIVER ROAD,Westmoreland,NH,3467,(603) 399-7348,40.0,Cheshire,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4301,Mccoy Home For The Elderly,1016 JOHN STARK HWY,Newport,NH,3773,(603) 543-1255,16.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3908,Mineral Springs,1251 WHITE MOUNTAIN HIGHWAY,North Conway,NH,3860,(603) 356-7294,16.0,Carroll,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3400,Partridge House,777 LAFAYETTE ROAD,Hampton,NH,3842,(603) 929-3032,80.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2460,Peabody Home Assisted Living Unit,24  PEABODY PLACE,Franklin,NH,3235,(603) 934-3718,36.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2624,Peaceful Harvest Homes Llc,144 PARIS AVE,Charlestown,NH,3603,(603) 826-4770,14.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4409,Pine Rock Manor,3 DENNY HILL ROAD,Warner,NH,3278,(603) 456-3181,70.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2883,Poplin Way,442 MAIN STREET UNIT 2,Fremont,NH,3044,(603) 895-3126,36.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
1717,Presidential Oaks,200 PLEASANT STREET,Concord,NH,3301,(603) 225-6644,24.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2772,Pyareo Home,333  BROOK ROAD,Sanbornton,NH,3269,(603) 934-2300,7.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4406,Riverglen House,55 RIVERGLEN LN,Littleton,NH,3561,(603) 991-7307,60.0,Grafton,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3910,Rivermead,150 RIVERMEAD ROAD,Peterborough,NH,3458,(603) 924-0062,78.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3920,Riverwoods At Exeter,7 RIVERWOODS DRIVE,Exeter,NH,3833,(603) 772-4700,27.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4435,Riverwoods Durham,20 STONE QUARRY DR,Durham,NH,3824,(603) 590-4073,60.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3095,Riverwoods Manchester,100 ALLIANCE WAY,Manchester,NH,3102,(603) 645-6500,70.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4107,Rose Meadow Acres,539 OLD COACH RD,New Boston,NH,3070,(603) 487-1568,16.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2182,Rose Meadow Farm,37 BRIAR HILL ROAD,New Boston,NH,3070,(603) 487-3600,11.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3289,Rose Meadow Garden,336 BEDFORD ROAD,New Boston,NH,3070,(603) 487-3590,16.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4178,Scott-Farrar At Peterborourgh,11 ELM STREET,Peterborough,NH,3458,(603) 924-3691,76.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4410,Spring Village At Dover,35 POINTE PL,Dover,NH,3820,(603) 842-4908,62.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
2652,Studley Home Inc,34 EASTERN AVENUE,Rochester,NH,3867,(603) 332-1738,25.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3377,"Summercrest Assisted Living, Llc",169 SUMMER STREET,Newport,NH,3773,(603) 863-8181,18.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3199,Summerhill Assisted Living,183 OLD DUBLIN ROAD,Peterborough,NH,3458,(603) 924-6238,75.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4274,Summit By Morrison,56 SUMMIT DR,Whitefield,NH,3598,(603) 837-3500,62.0,Coos,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4005,Sunapee Cove Assisted Living,1250 ROUTE 11,Sunapee,NH,3782,(603) 763-0566,31.0,Sullivan,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
62,Taylor Home (The),435 UNION AVENUE,Laconia,NH,3246,(603) 366-1275,53.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3922,The Arbors Of Bedford,70 HAWTHORNE DRIVE,Bedford,NH,3110,(603) 647-9300,89.0,Belknap,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4352,The Birches At Concord,300 PLEASANT ST,Concord,NH,3301,(603) 224-9111,60.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3619,The Boulders At Riverwoods,6 TIMBER LANE,Exeter,NH,3833,(603) 772-4700,48.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4191,The Golden Crest,29 BALDWIN ST,Franklin,NH,3235,(603) 934-6742,100.0,Merrimack,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3905,The Huntington At Nashua,55 KENT LANE,Nashua,NH,3062,(603) 598-1440,24.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4015,The Inn At Fairview,203 LOWELL RD,Hudson,NH,3051,(603) 816-0070,45.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4408,The Pines Of Newmarket,9 GRANT ROAD,Newmarket,NH,3857,(603) 659-6000,81.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4371,The Residence At Salem Woods,6 SALLY SWEET'S WAY,Salem,NH,3079,(603) 890-0581,100.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4250,The Residence At Silver Square,100 STERLING WAY,Dover,NH,3820,(603) 570-9390,81.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3909,The Ridge At Riverwoods,6 WHITE OAK DRIVE,Exeter,NH,3833,(603) 772-4700,54.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3966,Villa Crest Nursing & Retirement,1276 HANOVER STREET,Manchester,NH,3104,(603) 622-3262,39.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3954,Village At Rivermead,50 TIMBERPOND RD,Peterborough,NH,3458,(603) 924-0062,40.0,Hillsborough,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4448,Wadleigh House,10 SUMMER ST,Dover,NH,3820,(603) 743-4103,16.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
4087,Warde Health Center Supported Residential Care Facility,21 SEARLES RD,Windham,NH,3087,(603) 890-1290,39.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3528,Watson Fields,201 WATSON RD,Dover,NH,3820,(603) 516-8810,54.0,Strafford,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
3817,Webster At Rye Assisted Living Community,795 WASHINGTON ROAD,Rye,NH,3870,(603) 964-8144,86.0,Rockingham,8/3/21,ASSISTED LIVING RESIDENCE,SUPPORTED RESIDENTIAL CARE FACILITY
