Facility Name,Address,City,Phone Number,Date Accessed,State Facility Type 1 Literal,Capacity,State
Atrium At Veronica Drive,1  VERONICA DRIVE,Danvers,(978) 762-7625,6/28/21,ASSISTED LIVING RESIDENCE,56,MA
Autumn Glen At Dartmouth,239 CROSS ROAD,Dartmouth,(508) 992-8880,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Avita Of Needham,880 GREENDALE AVE,Needham,(781) 444-2266,6/28/21,ASSISTED LIVING RESIDENCE,62,MA
Avita Of Newburyport,4 WALLACE BASHAW JR. WAY,Newburyport,(978) 225-7000,6/28/21,ASSISTED LIVING RESIDENCE,70,MA
Bayberry At Emerald Court,2000 EMERALD COURT,Tewksbury,(978) 640-0194,6/28/21,ASSISTED LIVING RESIDENCE,91,MA
Benchmark Senior Living At Clapboardtree,40 CLAPBOARDTREE STREET,Norwood,(781) 352-0467,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
Benchmark Senior Living At Forge Hill,4 FORGE HILL RD.,Franklin,(508) 528-9200,6/28/21,ASSISTED LIVING RESIDENCE,97,MA
Benchmark Senior Living At Robbins Brook,10 DEVON DRIVE,Acton,(978) 264-4666,6/28/21,ASSISTED LIVING RESIDENCE,79,MA
Benchmark Senior Living At The Commons In Lincoln,ONE HARVEST CIRCLE,Lincoln,(781) 338-5985,6/28/21,ASSISTED LIVING RESIDENCE,64,MA
Benchmark Senior Living At Woburn,ONE CEDAR STREET,Woburn,(781) 460-6360,6/28/21,ASSISTED LIVING RESIDENCE,87,MA
Bertram House Of Swampscott,565 HUMPHREY STREET,Swampscott,(781) 595-1991,6/28/21,ASSISTED LIVING RESIDENCE,59,MA
Bethany Homes - Merrivista,100 WATER STREET,Haverhill,(978) 374-2168,6/28/21,ASSISTED LIVING RESIDENCE,33,MA
Billerica Crossings,20 CHARNSTAFFE LANE,Billerica,(978) 667-0898,6/28/21,ASSISTED LIVING RESIDENCE,64,MA
Blaire House At Tewksbury Assisted Living,10-B ERLIN TERRACE,Tewksbury,(978) 851-3121,6/28/21,ASSISTED LIVING RESIDENCE,35,MA
Blaire House Of Milford,20 CLAFIN ST,Milford,(508) 473-4666,6/28/21,ASSISTED LIVING RESIDENCE,42,MA
Bridges By Epoch At Andover,254 LOWELL STREET,Andover,(978) 775-1070,6/28/21,ASSISTED LIVING RESIDENCE,63,MA
Bridges By Epoch At Hingham,1 SGT. WILLIAM B. TERRY DRIVE,Hingham,(781) 749-7114,6/28/21,ASSISTED LIVING RESIDENCE,48,MA
Bridges By Epoch At Mashpee,462 OLD BARNSTABLE ROAD,Mashpee,(508) 477-0043,6/28/21,ASSISTED LIVING RESIDENCE,54,MA
Bridges By Epoch At Pembroke,49 CROSS STREET,Pembroke,(781) 243-3020,6/28/21,ASSISTED LIVING RESIDENCE,48,MA
Bridges By Epoch At Sudbury,1 FARMSTEAD LAND,Sudbury,(978) 261-7007,6/28/21,ASSISTED LIVING RESIDENCE,48,MA
Bridges By Epoch At Westford,108 LITTLETON ROAD,Westford,(978) 692-9541,6/28/21,ASSISTED LIVING RESIDENCE,48,MA
Bridges By Epoch At Westwood,140 UNIVERSITY AVE,Westwood,(781) 251-6630,6/28/21,ASSISTED LIVING RESIDENCE,64,MA
Brigham House,341 MOUNT AUBURN STREET,Watertown,(617) 923-7779,6/28/21,ASSISTED LIVING RESIDENCE,62,MA
Brightview Arlington,1 SYMMES ROAD,Arlington,(978) 261-7007,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
Brightview Canton,125 TURNPIKE STREET,Canton,(781) 298-3407,6/28/21,ASSISTED LIVING RESIDENCE,65,MA
Brightview Concord River,199 CONCORD ROAD,Billerica,(978) 262-1410,6/28/21,ASSISTED LIVING RESIDENCE,93,MA
Brightview Danvers,50 ENDICOTT STREET,Danvers,(978) 750-6111,6/28/21,ASSISTED LIVING RESIDENCE,79,MA
Brightview Of North Andover,1275 TURNPIKE STREET,North Andover,(978) 686-2582,6/28/21,ASSISTED LIVING RESIDENCE,76,MA
Brightview Wakefield,21 CRESCENT ST,Wakefield,(781) 486-4422,6/28/21,ASSISTED LIVING RESIDENCE,70,MA
Broadview,547 CENTRAL STREET,Winchendon,(978) 297-2333,6/28/21,ASSISTED LIVING RESIDENCE,49,MA
Brookdale Attleboro,100 GARFIELD AVENUE,Attleboro,(508) 222-6655,6/28/21,ASSISTED LIVING RESIDENCE,130,MA
Brookdale Cape Cod,790 FALMOUTH RD.,Hyannis,(508) 790-7666,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
Brookdale Cushing Park,300 WEST FARM POND ROAD,Framingham,(508) 628-7700,6/28/21,ASSISTED LIVING RESIDENCE,100,MA
Brookdale Eddy Pond East,667 WASHINGTON STREET,Auburn,(508) 832-2200,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
Brookdale Eddy Pond West,669 WASHINGTON STREET,Auburn,(508) 832-2200,6/28/21,ASSISTED LIVING RESIDENCE,103,MA
Brookdale Quincy Bay,99 BRACKETT STREET,Quincy,(617) 472-4457,6/28/21,ASSISTED LIVING RESIDENCE,150,MA
Brookside At Regency,120 SOUTH MAIN STREET,Centerville,(508) 790-5800,6/28/21,ASSISTED LIVING RESIDENCE,29,MA
Cadbury Commons,66 SHERMAN STREET,Cambridge,(617) 868-0575,6/28/21,ASSISTED LIVING RESIDENCE,74,MA
Cambridge Homes,360 MOUNT AUBURN ST.,Cambridge,(617) 876-0369,6/28/21,ASSISTED LIVING RESIDENCE,44,MA
Cape Cod Senior Residences At Pocasset,100 DR. JULIUS KELLY LANE,Pocasset,(508) 564-4474,6/28/21,ASSISTED LIVING RESIDENCE,60,MA
Carmel Terrace,933 CENTRAL STREET,Framingham,(508) 788-8000,6/28/21,ASSISTED LIVING RESIDENCE,69,MA
Carriage House At Lee'S Farm,134 BOSTON POST ROAD,Wayland,(508) 358-2800,6/28/21,ASSISTED LIVING RESIDENCE,62,MA
Cedarbrook Village,73 SOUTH STREET,Ware,(413) 758-5377,6/28/21,ASSISTED LIVING RESIDENCE,84,MA
Chelmsford Crossings,199 CHELMSFORD STREET,Chelmsford,(978) 250-8855,6/28/21,ASSISTED LIVING RESIDENCE,63,MA
Chestnut Knoll At Glenmeadow,24 TABOR CROSSING,Longmeadow,(413) 567-7800,6/28/21,ASSISTED LIVING RESIDENCE,34,MA
Chestnut Park At Cleveland Circle,50 SUTHERLAND ROAD,Boston-Brighton,(617) 566-1700,6/28/21,ASSISTED LIVING RESIDENCE,84,MA
Christopher Heights Of Attleboro,45 SOUTH MAIN STREET,Attleboro,(508) 222-2868,6/28/21,ASSISTED LIVING RESIDENCE,81,MA
Christopher Heights Of Belchertown,99 FRONT STREET,Belchertown,(413) 323-5500,6/28/21,ASSISTED LIVING RESIDENCE,83,MA
Christopher Heights Of Marlborough,99 PLEASANT STREET,Marlborough,(508) 281-8001,6/28/21,ASSISTED LIVING RESIDENCE,83,MA
Christopher Heights Of Northampton,50 VILLAGE HILL ROAD,Northampton,(413) 584-0701,6/28/21,ASSISTED LIVING RESIDENCE,83,MA
Christopher Heights Of Webster,338 THOMPSON RD.,Webster,(508) 949-0400,6/28/21,ASSISTED LIVING RESIDENCE,83,MA
Christopher Heights Of Worcester,20 MARY SCANO DRIVE,Worcester,(508) 792-1456,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
Clifton Assisted Living Community,444 WILBUR AVENUE,Somerset,(508) 324-0200,6/28/21,ASSISTED LIVING RESIDENCE,58,MA
Cohen Florence Levine Estates,201 CAPTAIN'S ROW,Chelsea,(617) 887-0826,6/28/21,ASSISTED LIVING RESIDENCE,69,MA
Coleman House,112 WEST MAIN STREET,Northborough,(508) 351-9355,6/28/21,ASSISTED LIVING RESIDENCE,12,MA
Compass On The Bay,1380 COLUMBIA ROAD,Boston-South Boston,(617) 268-5450,6/28/21,ASSISTED LIVING RESIDENCE,39,MA
Concord Park,68 COMMONWEALTH STREET,Concord,(978) 369-4728,6/28/21,ASSISTED LIVING RESIDENCE,88,MA
Connemara Senior Living Campello,25 E. NILSSON STREET,Brockton,(508) 588-5334,6/28/21,ASSISTED LIVING RESIDENCE,86,MA
Corcoran House,40 WALNUT STREET,Clinton,(978) 365-3600,6/28/21,ASSISTED LIVING RESIDENCE,42,MA
Cornerstone At Canton,175 REVERE STREET,Canton,(781) 821-3616,6/28/21,ASSISTED LIVING RESIDENCE,87,MA
Cornerstone At Milford,11 BIRCH STREET,Milford,(508) 473-0035,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Country Club Heights,3 REHABILITATION WAY,Woburn,(781) 935-4094,6/28/21,ASSISTED LIVING RESIDENCE,107,MA
Davis Manor,200 HARVARD ROAD,Lancaster,(978) 368-4816,6/28/21,ASSISTED LIVING RESIDENCE,6,MA
Decatur House,176 MAIN STREET,Sandwich,(508) 888-6404,6/28/21,ASSISTED LIVING RESIDENCE,38,MA
Du Charme Estates Ltd.,25 FEDERAL STREET,Blackstone,(508) 883-2066,6/28/21,ASSISTED LIVING RESIDENCE,12,MA
Duxbury House At The Village Memory Care Residence,298 KINGSTOWN WAY,Duxbury,(914) 339-2100,6/28/21,ASSISTED LIVING RESIDENCE,2,MA
East Village Place,50 BENTON DRIVE,East Longmeadow,(413) 525-8150,6/28/21,ASSISTED LIVING RESIDENCE,73,MA
Edelweiss Village,2220 CENTRE STREET,Boston-West Roxbury,(857) 547-2000,6/28/21,ASSISTED LIVING RESIDENCE,62,MA
Eisenberg Assisted Living Residences,631 SALISBURY STREET,Worcester,(508) 757-0981,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
Elizabeth Calsey House,15 ELIZABETH STREET,Amesbury,(978) 388-0293,6/28/21,ASSISTED LIVING RESIDENCE,15,MA
Elizabeth Calsey House At Lions Mouth Road,286 LIONS MOUTH ROAD,Amesbury,(978) 388-3752,6/28/21,ASSISTED LIVING RESIDENCE,26,MA
Evans Park At Newton Corner,430 CENTRE STREET,Newton,(617) 965-9400,6/28/21,ASSISTED LIVING RESIDENCE,112,MA
Fenno House,540 HANCOCK STREET,Quincy,(617) 773-1590,6/28/21,ASSISTED LIVING RESIDENCE,39,MA
Fieldstone At The Overlook,88 MASONIC HOME ROAD,Charlton,(508) 434-2510,6/28/21,ASSISTED LIVING RESIDENCE,14,MA
Florence & Chafetz Home For Specialized Care,175 CAPTAIN'S ROW,Chelsea,(617) 887-0826,6/28/21,ASSISTED LIVING RESIDENCE,36,MA
Forestdale Park Assisted Living,341 FOREST STREET,Malden,(781) 333-8903,6/28/21,ASSISTED LIVING RESIDENCE,77,MA
Gabriel House Of Fall River,261 OLIVER STREET,Fall River,(508) 678-9095,6/28/21,ASSISTED LIVING RESIDENCE,100,MA
Gardens At Newbury Court,80 DEACONESS ROAD,Concord,(978) 369-5151,6/28/21,ASSISTED LIVING RESIDENCE,27,MA
Giving Tree Senior Living Llc,1827 BRIDGE STREET,Dracut,(866) 957-8733,6/28/21,ASSISTED LIVING RESIDENCE,54,MA
Glen At Grove Manor,180 GROVE STREET,Braintree,(781) 843-3700,6/28/21,ASSISTED LIVING RESIDENCE,20,MA
Goddard House,165 CHESTNUT STREET,Brookline,(617) 731-8500,6/28/21,ASSISTED LIVING RESIDENCE,115,MA
Golden Pond,50 WEST MAIN STREET,Hopkinton,(508) 435-1250,6/28/21,ASSISTED LIVING RESIDENCE,173,MA
Grace Morgan House,489 PROSPECT STREET,Methuen,(978) 682-4324,6/28/21,ASSISTED LIVING RESIDENCE,16,MA
Grove Manor Estates,160 GROVE STREET,Braintree,(781) 843-3700,6/28/21,ASSISTED LIVING RESIDENCE,70,MA
Hampton Suites At Southgate,30 JULIO DRIVE,Shrewsbury,(508) 842-8331,6/28/21,ASSISTED LIVING RESIDENCE,65,MA
Harbor Point At Centerville,22 RICHARDSON ROAD,Centerville,(508) 778-2311,6/28/21,ASSISTED LIVING RESIDENCE,65,MA
Harriett And Ralph Kaplan Estates,240 LYNNFIELD STREET,Peabody,(978) 532-4411,6/28/21,ASSISTED LIVING RESIDENCE,130,MA
Haverhill Crossings,254 AMESBURY ROAD,Haverhill,(978) 556-1600,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Heights Crossing,35 CHRISTY PLACE,Brockton,(508) 580-4300,6/28/21,ASSISTED LIVING RESIDENCE,100,MA
Henrietta Brewer House,11MAC'S LANE. PO BOX 2460,Martha'S Vineyard,(508) 693-4500,6/28/21,ASSISTED LIVING RESIDENCE,14,MA
Heritage At Falmouth,140 TER HEUN DRIVE,Falmouth,(508) 457-6400,6/28/21,ASSISTED LIVING RESIDENCE,56,MA
Heritage Woods,462 MAIN STREET,Agawam,(413) 786-9704,6/28/21,ASSISTED LIVING RESIDENCE,109,MA
Herrick House,89 HERRICK STREET,Beverly,(978) 922-1999,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Heywood Wakefied Commons,50 PINE STREET,Gardner,(978) 632-8292,6/28/21,ASSISTED LIVING RESIDENCE,78,MA
John Bertram House,29 WASHINGTON SQ.,Salem,(978) 744-1002,6/28/21,ASSISTED LIVING RESIDENCE,25,MA
Keystone Commons,460 WEST STREET,Ludlow,(413) 583-6611,6/28/21,ASSISTED LIVING RESIDENCE,60,MA
Keystone Place At Buzzards Bay,218 MAIN STREET,Bourne,(774) 302-4539,6/28/21,ASSISTED LIVING RESIDENCE,75,MA
Landmark At Longwood,63 PARKER HILL AVENUE,Boston-Mission Hill,(617) 975-0110,6/28/21,ASSISTED LIVING RESIDENCE,75,MA
Landmark At Ocean View,3 ESSEX STREET,Beverly,(978) 927-4227,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Laurel Ridge,110 NORTH MAIN STREET,Lanesboro,(413) 445-5959,6/28/21,ASSISTED LIVING RESIDENCE,8,MA
Laurelwood At The Pinehills,10 GOLF DRIVE,Plymouth,(508) 927-6346,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
Laurentide At Mashpee Commons,64 GREAT NECK RD SOUTH,Mashpee,(508) 539-1300,6/28/21,ASSISTED LIVING RESIDENCE,70,MA
Leominster Crossings,1160 MAIN STREET,Leominster,(978) 537-2424,6/28/21,ASSISTED LIVING RESIDENCE,62,MA
Life Care Center Of Stoneham,25 WOODLAND ROAD,Stoneham,(781) 662-2545,6/28/21,ASSISTED LIVING RESIDENCE,18,MA
Linda Manor Assisted Living,345 HADENVILL ROAD,Leeds,(413) 588-3300,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Loomis Lakeside At Reeds Landing,807 WILBRAHAM ROAD,Springfield,(413) 782-1800,6/28/21,ASSISTED LIVING RESIDENCE,15,MA
Loomis Village,20 BAYON DRIVE,South Hadley,(413) 532-5325,6/28/21,ASSISTED LIVING RESIDENCE,21,MA
Manor On The Hill,450 NORTH MAIN STREET,Leominster,(978) 537-1661,6/28/21,ASSISTED LIVING RESIDENCE,81,MA
Maplewood At Brewster,820 HARWICH ROAD,Brewster,(774) 320-1822,6/28/21,ASSISTED LIVING RESIDENCE,132,MA
Maplewood At Mayflower Place,579 BUCK ISLAND ROAD,Yarmouth,(508) 790-0200,6/28/21,ASSISTED LIVING RESIDENCE,38,MA
Maplewood At Weston,99 NORUMBEGA ROAD,Weston,(781) 899-5505,6/28/21,ASSISTED LIVING RESIDENCE,93,MA
Marguerite'S House,189 MAPLE STREET,Lawrence,(978) 682-7575,6/28/21,ASSISTED LIVING RESIDENCE,106,MA
Mary Ann Morse At Heritage,747 WATER STREET,Framingham,(508) 665-5302,6/28/21,ASSISTED LIVING RESIDENCE,98,MA
Mason Wright Assisted Living,74 WALNUT STREET,Springfield,(413) 733-1517,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
Methuen Village At Riverwalk Park,4 GLEASON STREET,Methuen,(978) 685-2220,6/28/21,ASSISTED LIVING RESIDENCE,91,MA
Mill Hill Residence,164 MA ROUTE 28,Yarmouth,(774) 470-5174,6/28/21,ASSISTED LIVING RESIDENCE,75,MA
Nashoba Park,15 WINTHROP AVENUE,Ayer,(978) 772-0707,6/28/21,ASSISTED LIVING RESIDENCE,73,MA
Neville Place,650 CONCORD AVENUE,Cambridge,(617) 497-8700,6/28/21,ASSISTED LIVING RESIDENCE,71,MA
New Horizons At Choate,21 WARREN AVENUE,Woburn,(781) 932-8000,6/28/21,ASSISTED LIVING RESIDENCE,40,MA
New Horizons At Marlborough,400 HEMINGWAY STREET,Marlborough,(508) 460-5200,6/28/21,ASSISTED LIVING RESIDENCE,120,MA
New Pond Village,180 MAIN STREET,Walpole,(508) 660-1555,6/28/21,ASSISTED LIVING RESIDENCE,32,MA
Newbridge On The Charles,6000 GREAT MEADOW ROAD,Dedham,(781) 234-9401,6/28/21,ASSISTED LIVING RESIDENCE,87,MA
Notre Dame Du Lac,555 PLANTATION STREET,Worcester,(508) 852-5800,6/28/21,ASSISTED LIVING RESIDENCE,101,MA
Orchard Hill,761 BOSTON POST RD.,Sudbury,(978) 218-3004,6/28/21,ASSISTED LIVING RESIDENCE,45,MA
Orchard Valley Of Wilbraham,2387 BOSTON ROAD,Wilbraham,(413) 596-0006,6/28/21,ASSISTED LIVING RESIDENCE,66,MA
Pine Hill At Kimball Farms,235 WALKER STREET,Lenox,(413) 637-7000,6/28/21,ASSISTED LIVING RESIDENCE,74,MA
Pleasant Bay Of Brewster Assisted Living Center,120 WOODLANDS WAY,Brewster,(508) 240-1990,6/28/21,ASSISTED LIVING RESIDENCE,59,MA
Plymouth Crossings,157 SOUTH STREET,Plymouth,(508) 503-1457,6/28/21,ASSISTED LIVING RESIDENCE,57,MA
Prospect House,420 RESERVOIR AVE.,Revere,(781) 853-0005,6/28/21,ASSISTED LIVING RESIDENCE,109,MA
Prosper At Fall River,400 COLUMBIA STREET,Fall River,(508) 252-0343,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
Prosper At Monastery,110 MONASTERY AVENUE,Springfield,(413) 217-1893,6/28/21,ASSISTED LIVING RESIDENCE,105,MA
Providence House,180 COREY ROAD,Boston-Brighton,(617) 731-0505,6/28/21,ASSISTED LIVING RESIDENCE,102,MA
Putnam Farm At Danvers,9 SUMMER STREET,Danvers,(978) 822-4035,6/28/21,ASSISTED LIVING RESIDENCE,80,MA
River Mills Assisted Living At Chicopee Falls,7 RIVER MILLS DRIVE,Chicopee,(413) 531-9995,6/28/21,ASSISTED LIVING RESIDENCE,95,MA
Rivercourt Residences,8 WEST MAIN STREET,West Groton,(978) 448-4122,6/28/21,ASSISTED LIVING RESIDENCE,59,MA
Robbie'S Place,400 HEMENWAY STREET,Marlborough,(508) 573-1245,6/28/21,ASSISTED LIVING RESIDENCE,22,MA
Rockridge Retirement Community,25 & 37 COLES MEADOW ROAD,Northampton,(413) 586-2902,6/28/21,ASSISTED LIVING RESIDENCE,68,MA
Rogerson House,434 JAMAICAWAY,Boston-Jamaica Plain,(617) 983-2300,6/28/21,ASSISTED LIVING RESIDENCE,40,MA
Rosewood Homestyle Assisted Living,318-320 ONOTA STREET,Pittsfield,(413) 448-8449,6/28/21,ASSISTED LIVING RESIDENCE,25,MA
Ruggles Assisted Living,25 RUGGLES STREET,Boston-Roxbury,(617) 427-0142,6/28/21,ASSISTED LIVING RESIDENCE,43,MA
Ruth'S House,780 CONVERSE STREET,Longmeadow,(413) 567-3949,6/28/21,ASSISTED LIVING RESIDENCE,64,MA
Sarawood,1 LOOMIS AVENUE,Holyoke,(413) 532-7879,6/28/21,ASSISTED LIVING RESIDENCE,28,MA
Scandinavian Living Center,206 WALTHAM STREET,Newton,(617) 527-6566,6/28/21,ASSISTED LIVING RESIDENCE,40,MA
Seasons Of Danvers,44 SUMMER STREET,Danvers,(978) 777-0230,6/28/21,ASSISTED LIVING RESIDENCE,47,MA
Shrewsbury Crossings,311 MAIN STREET,Shrewsbury,(508) 845-2100,6/28/21,ASSISTED LIVING RESIDENCE,64,MA
Side By Side,120 ONOTA ST.,Pittsfield,(413) 443-4274,6/28/21,ASSISTED LIVING RESIDENCE,43,MA
Side By Side Assisted Living Residence Veterans Annex,43 WEST UNION STREET,Pittsfield,(413) 443-4274,6/28/21,ASSISTED LIVING RESIDENCE,20,MA
Springhouse,44-46 ALLANDALE STREET,Boston-Jamaica Plain,(617) 522-0043,6/28/21,ASSISTED LIVING RESIDENCE,49,MA
Stafford Hill,60 STAFFORD STREET,Plymouth,(508) 830-9990,6/28/21,ASSISTED LIVING RESIDENCE,86,MA
Standish Village At Lower Mills,1190 ADAMS STREET,Boston-Dorchester,(617) 298-5656,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Stone Hill At Andover,141 ELM STREET,Andover,(978) 664-2600,6/28/21,ASSISTED LIVING RESIDENCE,96,MA
Stonebridge At Burlington,50 GREENLEAF WAY,Burlington,(781) 272-0080,6/28/21,ASSISTED LIVING RESIDENCE,110,MA
Sugar Hill,45 MAIN STREET,Dalton,(413) 684-0100,6/28/21,ASSISTED LIVING RESIDENCE,42,MA
Sunny Acres-Legacy Care,254 BILLERICA ROAD,Chelmsford,(978) 256-1616,6/28/21,ASSISTED LIVING RESIDENCE,12,MA
Sunrise At Gardner Park,73 MARGIN STREET,Peabody,(978) 532-3200,6/28/21,ASSISTED LIVING RESIDENCE,55,MA
Sunrise Of Arlington,1395 MASSACHUSETTS AVE.,Arlington,(781) 643-2100,6/28/21,ASSISTED LIVING RESIDENCE,85,MA
Sunrise Of Braintree,618 GRANITE STREET,Braintree,(781) 356-0190,6/28/21,ASSISTED LIVING RESIDENCE,79,MA
Sunrise Of Burlington,24 BURLINGTON MALL ROAD,Burlington,(781) 229-8100,6/28/21,ASSISTED LIVING RESIDENCE,79,MA
Sunrise Of Cohasset,125 KING STREET,Cohasset,(781) 383-6300,6/28/21,ASSISTED LIVING RESIDENCE,62,MA
Sunrise Of Leominster,6 BETH AVENUE,Leominster,(978) 537-7600,6/28/21,ASSISTED LIVING RESIDENCE,70,MA
Sunrise Of Lynnfield,55 SALEM STREET,Lynnfield,(781) 245-0668,6/28/21,ASSISTED LIVING RESIDENCE,79,MA
Sunrise Of Norwood,86 SAUNDERS ROAD,Norwood,(781) 762-1333,6/28/21,ASSISTED LIVING RESIDENCE,72,MA
Sunrise Of Plymouth Beach,97 WARREN AVENUE,Plymouth,(508) 746-9733,6/28/21,ASSISTED LIVING RESIDENCE,87,MA
Sunrise Of Wayland,285 COMMONWEALTH ROAD,Wayland,(508) 652-6300,6/28/21,ASSISTED LIVING RESIDENCE,59,MA
Susan S. Bailis  Assisted Living Community,352 MASSACHUSETTS AVENUE,Boston-Back Bay,(617) 247-1010,6/28/21,ASSISTED LIVING RESIDENCE,82,MA
Swan Brook,924 GARDNER'S NECK RD.,Swansea,(508) 324-9074,6/28/21,ASSISTED LIVING RESIDENCE,29,MA
Tatnuck Park At Worcester,340 MAY STREET,Worcester,(508) 755-7277,6/28/21,ASSISTED LIVING RESIDENCE,76,MA
The Arbors At Amherst,130 UNIVERSITY DRIVE,Amherst,(413) 548-6800,6/28/21,ASSISTED LIVING RESIDENCE,78,MA
The Arbors At Chicopee,929 MEMORIAL DRIVE,Chicopee,(413) 593-0088,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
The Arbors At Dracut,21 BROADWAY ROAD,Dracut,(978) 455-9182,6/28/21,ASSISTED LIVING RESIDENCE,79,MA
The Arbors At Greenfield,15 MERIDIAN STREET,Greenfield,(413) 774-4400,6/28/21,ASSISTED LIVING RESIDENCE,76,MA
The Arbors At Stoneham,140 FRANKLIN STREET,Stoneham,(781) 435-1958,6/28/21,ASSISTED LIVING RESIDENCE,84,MA
The Arbors At Stoughton,2121 CENTRAL STREET,Stoughton,(781) 344-0310,6/28/21,ASSISTED LIVING RESIDENCE,91,MA
The Arbors At Taunton,763 COUNTY STREET,Taunton,(508) 824-4800,6/28/21,ASSISTED LIVING RESIDENCE,78,MA
The Arbors At Westfield,40 COURT STREET,Westfield,(413) 562-0001,6/28/21,ASSISTED LIVING RESIDENCE,90,MA
