Massachusetts Certified Assisted Living Residences: As of 3-1-21,,,,,
Name of Residence,Address,City,Phone Number,Total # Traditional Units,Total # Special Care Residences (SCR) UNITS
Atrium at Cardinal Drive,153 Cardinal Drive,Agawam,(413) 821-9911,0,44
Atrium at Drum Hill,2 Technology Drive,Chelmsford,(978) 674-5295,0,44
Atrium at Faxon Woods,2003 Falls Blvd.,Quincy,(617) 471-5595,0,54
Atrium at Veronica Drive,1  Veronica Drive,Danvers,(978) 762-7625,0,56
Autumn Glen at Dartmouth,239 Cross Road,Dartmouth,(508) 992-8880,60,25
Avita of Needham,880 Greendale Ave,Needham,(781) 444-2266,0,62
Avita of Newburyport,4 Wallace Bashaw Jr. Way,Newburyport,(978) 225-7000,0,70
Bayberry at Emerald Court,2000 Emerald Court,Tewksbury,(978) 640-0194,70,21
Benchmark Senior Living at Clapboardtree,40 Clapboardtree Street,Norwood,(781) 352-0467,69,21
Benchmark Senior Living at Forge Hill,4 Forge Hill Rd.,Franklin,(508) 528-9200,81,16
Benchmark Senior Living at Robbins Brook,10 Devon Drive,Acton,(978) 264-4666,64,15
Benchmark Senior Living at The Commons in Lincoln,One Harvest Circle,Lincoln,(781) 338-5985,40,24
Benchmark Senior Living at Woburn,One Cedar Street,Woburn,(781) 460-6360,67,20
Bertram House of Swampscott,565 Humphrey Street,Swampscott,(781) 595-1991,37,22
Bethany Homes - Merrivista,100 Water Street,Haverhill,(978) 374-2168,33,0
Billerica Crossings,20 Charnstaffe Lane,Billerica,(978) 667-0898,52,12
Blaire House at Tewksbury Assisted Living,10-B Erlin Terrace,Tewksbury,(978) 851-3121,23,12
Blaire House of Milford,20 Clafin St,Milford,(508) 473-4666,23,19
Bridges by EPOCH at Andover,254 Lowell Street,Andover,(978) 775-1070,0,63
Bridges by EPOCH at Hingham,1 Sgt. William B. Terry Drive,Hingham,(781) 749-7114,0,48
Bridges by EPOCH at Mashpee,462 Old Barnstable Road,Mashpee,(508) 477-0043,0,54
Bridges by EPOCH at Pembroke,49 Cross Street,Pembroke,(781) 243-3020,0,48
Bridges by EPOCH at Sudbury,1 Farmstead Land,Sudbury,(978) 261-7007,0,48
Bridges by EPOCH at Westford,108 Littleton Road,Westford,(978) 692-9541,0,48
Bridges by EPOCH at Westwood,140 University Ave,Westwood,(781) 251-6630,0,64
Brigham House,341 Mount Auburn Street,Watertown,(617) 923-7779,62,0
Brightview Arlington,1 Symmes Road,Arlington,(978) 261-7007,60,30
Brightview Canton,125 Turnpike Street,Canton,(781) 298-3407,40,25
Brightview Concord River,199 Concord Road,Billerica,(978) 262-1410,66,27
Brightview Danvers,50 Endicott Street,Danvers,(978) 750-6111,55,24
Brightview of North Andover,1275 Turnpike Street,North Andover,(978) 686-2582,49,27
Brightview Wakefield,21 Crescent St,Wakefield,(781) 486-4422,42,28
Broadview,547 Central Street,Winchendon,(978) 297-2333,42,7
Brookdale Attleboro,100 Garfield Avenue,Attleboro,(508) 222-6655,109,21
Brookdale Cape Cod,790 Falmouth Rd.,Hyannis,(508) 790-7666,60,20
Brookdale Cushing Park,300 West Farm Pond Road,Framingham,(508) 628-7700,78,22
Brookdale Eddy Pond East,667 Washington Street,Auburn,(508) 832-2200,80,0
Brookdale Eddy Pond West,669 Washington Street,Auburn,(508) 832-2200,68,35
Brookdale Quincy Bay,99 Brackett Street,Quincy,(617) 472-4457,150,0
Brookside at Regency,120 South Main Street,Centerville,(508) 790-5800,19,10
Cadbury Commons,66 Sherman Street,Cambridge,(617) 868-0575,50,24
Cambridge Homes,360 Mount Auburn St.,Cambridge,(617) 876-0369,44,0
Cape Cod Senior Residences at Pocasset,100 Dr. Julius Kelly Lane,Pocasset,(508) 564-4474,60,0
Carmel Terrace,933 Central Street,Framingham,(508) 788-8000,69,0
Carriage House at Lee's Farm,134 Boston Post Road,Wayland,(508) 358-2800,33,29
Cedarbrook Village,73 South Street,Ware,(413) 758-5377,61,23
Chelmsford Crossings,199 Chelmsford Street,Chelmsford,(978) 250-8855,63,0
Chestnut Knoll at Glenmeadow,24 Tabor Crossing,Longmeadow,(413) 567-7800,34,0
Chestnut Park at Cleveland Circle,50 Sutherland Road,Boston-Brighton,(617) 566-1700,56,28
Christopher Heights of Attleboro,45 South Main Street,Attleboro,(508) 222-2868,81,0
Christopher Heights of Belchertown,99 Front Street,Belchertown,(413) 323-5500,83,0
Christopher Heights of Marlborough,99 Pleasant Street,Marlborough,(508) 281-8001,83,0
Christopher Heights of Northampton,50 Village Hill Road,Northampton,(413) 584-0701,83,0
Christopher Heights of Webster,338 Thompson Rd.,Webster,(508) 949-0400,83,0
Christopher Heights of Worcester,20 Mary Scano Drive,Worcester,(508) 792-1456,80,0
Clifton Assisted Living Community,444 Wilbur Avenue,Somerset,(508) 324-0200,58,0
Cohen Florence Levine Estates,201 Captain's Row,Chelsea,(617) 887-0826,69,0
Coleman House,112 West Main Street,Northborough,(508) 351-9355,0,12
Compass on the Bay,1380 Columbia Road,Boston-South Boston,(617) 268-5450,0,39
Concord Park,68 Commonwealth Street,Concord,(978) 369-4728,72,16
Connemara Senior Living Campello,25 E. Nilsson Street,Brockton,(508) 588-5334,73,13
Corcoran House,40 Walnut Street,Clinton,(978) 365-3600,42,0
Cornerstone at Canton,175 Revere Street,Canton,(781) 821-3616,65,22
Cornerstone at Milford,11 Birch Street,Milford,(508) 473-0035,65,20
Country Club Heights,3 Rehabilitation Way,Woburn,(781) 935-4094,83,24
Davis Manor,200 Harvard Road,Lancaster,(978) 368-4816,0,6
Decatur House,176 Main Street,Sandwich,(508) 888-6404,38,0
Du Charme Estates Ltd.,25 Federal Street,Blackstone,(508) 883-2066,12,0
Duxbury House at The Village Memory Care Residence,298 Kingstown Way,Duxbury,(914) 339-2100,0,2
East Village Place,50 Benton Drive,East Longmeadow,(413) 525-8150,30,43
Edelweiss Village,2220 Centre Street,Boston-West Roxbury,(857) 547-2000,62,0
Eisenberg Assisted Living Residences,631 Salisbury Street,Worcester,(508) 757-0981,61,19
Elizabeth Calsey House,15 Elizabeth Street,Amesbury,(978) 388-0293,15,0
Elizabeth Calsey House at Lions Mouth Road,286 Lions Mouth Road,Amesbury,(978) 388-3752,26,0
Evans Park at Newton Corner,430 Centre Street,Newton,(617) 965-9400,95,17
Fenno House,540 Hancock Street,Quincy,(617) 773-1590,39,0
Fieldstone at The Overlook,88 Masonic Home Road,Charlton,(508) 434-2510,0,14
Florence & Chafetz Home for Specialized Care,175 Captain's Row,Chelsea,(617) 887-0826,0,36
Forestdale Park Assisted Living,341 Forest Street,Malden,(781) 333-8903,59,18
Gabriel House of Fall River,261 Oliver Street,Fall River,(508) 678-9095,100,0
Gardens at Newbury Court,80 Deaconess Road,Concord,(978) 369-5151,0,27
Giving Tree Senior Living LLC,1827 Bridge Street,Dracut,(866) 957-8733,36,18
Glen at Grove Manor,180 Grove Street,Braintree,(781) 843-3700,20,0
Goddard House,165 Chestnut Street,Brookline,(617) 731-8500,75,40
Golden Pond,50 West Main Street,Hopkinton,(508) 435-1250,114,59
Grace Morgan House,489 Prospect Street,Methuen,(978) 682-4324,16,0
Grove Manor Estates,160 Grove Street,Braintree,(781) 843-3700,55,15
Hampton Suites at Southgate,30 Julio Drive,Shrewsbury,(508) 842-8331,65,0
Harbor Point at Centerville,22 Richardson Road,Centerville,(508) 778-2311,0,65
Harriett and Ralph Kaplan Estates,240 Lynnfield Street,Peabody,(978) 532-4411,94,36
Haverhill Crossings,254 Amesbury Road,Haverhill,(978) 556-1600,65,20
Heights Crossing,35 Christy Place,Brockton,(508) 580-4300,79,21
Henrietta Brewer House,11Mac's Lane. PO BOX 2460,Martha's Vineyard,(508) 693-4500,14,0
Heritage at Falmouth,140 Ter Heun Drive,Falmouth,(508) 457-6400,56,0
Heritage Woods,462 Main Street,Agawam,(413) 786-9704,91,18
Herrick House,89 Herrick Street,Beverly,(978) 922-1999,69,16
Heywood Wakefied Commons,50 Pine Street,Gardner,(978) 632-8292,78,0
John Bertram House,29 Washington Sq.,Salem,(978) 744-1002,25,0
Keystone Commons,460 West Street,Ludlow,(413) 583-6611,48,12
Keystone Place at Buzzards Bay,218 Main Street,Bourne,(774) 302-4539,55,20
Landmark at Longwood,63 Parker Hill Avenue,Boston-Mission Hill,(617) 975-0110,60,15
Landmark at Ocean View,3 Essex Street,Beverly,(978) 927-4227,70,15
Laurel Ridge,110 North Main Street,Lanesboro,(413) 445-5959,8,0
Laurelwood at The Pinehills,10 Golf Drive,Plymouth,(508) 927-6346,51,29
Laurentide at Mashpee Commons,64 Great Neck Rd South,Mashpee,(508) 539-1300,52,18
Leominster Crossings,1160 Main Street,Leominster,(978) 537-2424,45,17
Life Care Center of Stoneham,25 Woodland Road,Stoneham,(781) 662-2545,18,0
Linda Manor Assisted Living,345 Hadenvill Road,Leeds,(413) 588-3300,68,17
Loomis Lakeside at Reeds Landing,807 Wilbraham Road,Springfield,(413) 782-1800,15,0
Loomis Village,20 Bayon Drive,South Hadley,(413) 532-5325,21,0
Manor on the Hill,450 North Main Street,Leominster,(978) 537-1661,64,17
Maplewood at Brewster,820 Harwich Road,Brewster,(774) 320-1822,99,33
Maplewood at Mayflower Place,579 Buck Island Road,Yarmouth,(508) 790-0200,38,0
Maplewood at Weston,99 Norumbega Road,Weston,(781) 899-5505,80,13
Marguerite's House,189 Maple Street,Lawrence,(978) 682-7575,106,0
Mary Ann Morse at Heritage,747 Water Street,Framingham,(508) 665-5302,58,40
Mason Wright Assisted Living,74 Walnut Street,Springfield,(413) 733-1517,67,23
Methuen Village at Riverwalk Park,4 Gleason Street,Methuen,(978) 685-2220,77,14
Mill Hill Residence,164 MA Route 28,Yarmouth,(774) 470-5174,37,38
Nashoba Park,15 Winthrop Avenue,Ayer,(978) 772-0707,73,0
Neville Place,650 Concord Avenue,Cambridge,(617) 497-8700,58,13
New Horizons at Choate,21 Warren Avenue,Woburn,(781) 932-8000,40,0
New Horizons at Marlborough,400 Hemingway Street,Marlborough,(508) 460-5200,85,35
New Pond Village,180 Main Street,Walpole,(508) 660-1555,17,15
NewBridge on the Charles,6000 Great Meadow Road,Dedham,(781) 234-9401,51,36
Notre Dame du Lac,555 Plantation Street,Worcester,(508) 852-5800,77,24
Orchard Hill,761 Boston Post Rd.,Sudbury,(978) 218-3004,45,0
Orchard Valley of Wilbraham,2387 Boston Road,Wilbraham,(413) 596-0006,42,24
Pine Hill at Kimball Farms,235 Walker Street,Lenox,(413) 637-7000,48,26
Pleasant Bay of Brewster Assisted Living Center,120 Woodlands Way,Brewster,(508) 240-1990,59,0
Plymouth Crossings,157 South Street,Plymouth,(508) 503-1457,41,16
Prospect House,420 Reservoir Ave.,Revere,(781) 853-0005,96,13
Prosper at Fall River,400 Columbia Street,Fall River,(508) 252-0343,90,0
Prosper at Monastery,110 Monastery Avenue,Springfield,(413) 217-1893,87,18
Providence House,180 Corey Road,Boston-Brighton,(617) 731-0505,90,12
Putnam Farm at Danvers,9 Summer Street,Danvers,(978) 822-4035,60,20
River Mills Assisted Living at Chicopee Falls,7 River Mills Drive,Chicopee,(413) 531-9995,73,22
RiverCourt Residences,8 West Main Street,West Groton,(978) 448-4122,43,16
Robbie's Place,400 Hemenway Street,Marlborough,(508) 573-1245,0,22
Rockridge Retirement Community,25 & 37 Coles Meadow Road,Northampton,(413) 586-2902,42,26
Rogerson House,434 Jamaicaway,Boston-Jamaica Plain,(617) 983-2300,0,40
Rosewood Homestyle Assisted Living,318-320 Onota Street,Pittsfield,(413) 448-8449,25,0
Ruggles Assisted Living,25 Ruggles Street,Boston-Roxbury,(617) 427-0142,43,0
Ruth's House,780 Converse Street,Longmeadow,(413) 567-3949,42,22
Sarawood,1 Loomis Avenue,Holyoke,(413) 532-7879,28,0
Scandinavian Living Center,206 Waltham Street,Newton,(617) 527-6566,40,0
Seasons of Danvers,44 Summer Street,Danvers,(978) 777-0230,0,47
Shrewsbury Crossings,311 Main Street,Shrewsbury,(508) 845-2100,47,17
Side By Side,120 Onota St.,Pittsfield,(413) 443-4274,43,0
Side by Side Assisted Living Residence Veterans Annex,43 West Union Street,Pittsfield,(413) 443-4274,20,0
Springhouse,44-46 Allandale Street,Boston-Jamaica Plain,(617) 522-0043,36,13
Stafford Hill,60 Stafford Street,Plymouth,(508) 830-9990,61,25
Standish Village at Lower Mills,1190 Adams Street,Boston-Dorchester,(617) 298-5656,72,13
Stone Hill at Andover,141 Elm Street,Andover,(978) 664-2600,72,24
Stonebridge at Burlington,50 Greenleaf Way,Burlington,(781) 272-0080,84,26
Sugar Hill,45 Main Street,Dalton,(413) 684-0100,29,13
Sunny Acres-Legacy Care,254 Billerica Road,Chelmsford,(978) 256-1616,0,12
Sunrise at Gardner Park,73 Margin Street,Peabody,(978) 532-3200,35,20
Sunrise of Arlington,1395 Massachusetts Ave.,Arlington,(781) 643-2100,61,24
Sunrise of Braintree,618 Granite Street,Braintree,(781) 356-0190,51,28
Sunrise of Burlington,24 Burlington Mall Road,Burlington,(781) 229-8100,50,29
Sunrise of Cohasset,125 King Street,Cohasset,(781) 383-6300,40,22
Sunrise of Leominster,6 Beth Avenue,Leominster,(978) 537-7600,38,32
Sunrise of Lynnfield,55 Salem Street,Lynnfield,(781) 245-0668,64,15
Sunrise of Norwood,86 Saunders Road,Norwood,(781) 762-1333,45,27
Sunrise of Plymouth Beach,97 Warren Avenue,Plymouth,(508) 746-9733,58,29
Sunrise of Wayland,285 Commonwealth Road,Wayland,(508) 652-6300,43,16
Susan S. Bailis  Assisted Living Community,352 Massachusetts Avenue,Boston-Back Bay,(617) 247-1010,82,0
Swan Brook,924 Gardner's Neck Rd.,Swansea,(508) 324-9074,29,0
Tatnuck Park at Worcester,340 May Street,Worcester,(508) 755-7277,57,19
The Arbors at Amherst,130 University Drive,Amherst,(413) 548-6800,52,26
The Arbors at Chicopee,929 Memorial Drive,Chicopee,(413) 593-0088,80,10
The Arbors at Dracut,21 Broadway Road,Dracut,(978) 455-9182,53,26
The Arbors at Greenfield,15 Meridian Street,Greenfield,(413) 774-4400,65,11
The Arbors at Stoneham,140 Franklin Street,Stoneham,(781) 435-1958,58,26
The Arbors at Stoughton,2121 Central Street,Stoughton,(781) 344-0310,67,24
The Arbors at Taunton,763 County Street,Taunton,(508) 824-4800,53,25
The Arbors at Westfield,40 Court Street,Westfield,(413) 562-0001,80,10
The Assisted Living Residences at Hancock Park,164 Parkingway,Quincy,(617) 773-4222,42,0
The Branches of Framingham,518 Pleasant Street,Framingham,(774) 505-7040,44,14
The Branches of Marlboro,421 Bolton Street,Marlborough,(508) 841-3923,44,14
The Branches of North Attleboro,40 Robert F.Toner Blvd,North Attleboro,(508) 455-4095,38,14
The Cottages at Dartmouth Village,214 Slocum Road,Dartmouth,(508) 999-0404,45,43
The Elms at Briarwood,70 Briarwood Circle,Worcester,(508) 852-2670,27,0
The Enclave of Franklin,656 King St,Franklin,(508) 520-1150,61,20
The Evergreens,"68 Briarwood Circle, PO Box 500",Worcester,(508) 852-9065,0,12
The Falls at Cordingly Dam,2300 Washington Street,Newton,(617) 928-0007,63,26
The Gables at Winchester,299 Cambridge Street,Winchester,(781) 756-1026,123,0
The Gables of Fitchburg,935 John Fitch Highway,Fitchburg,(978) 343-8789,47,0
The Inn at Silver Lake,19 & 21 Chipman Way,Kingston,(781) 585-4101,56,30
The Landing at Laurel Lake,600 Laurel Street,Lee,(413) 243-4747,40,13
The Linden at Danvers,200 Conant Street,Danvers,(978) 777-5717,90,24
The Linden at Dedham,391 Common Street,Dedham,(781) 407-7711,88,25
The Parc at Harbor View Senior Living,46 Lincoln Street,Winthrop,(617) 207-3009,53,20
The Reserve at East Longmeadow,721 Parker Street,East Longmeadow,(413) 224-2200,71,32
The Residence at Cedar Dell,628 Old Westport Road,Dartmouth,(508) 636-0590,61,17
The Residence at Five Corners,678 Depot Street,Easton,(508) 535-2203,64,20
The Residence at Freeman Lake,4 Technology Drive,North Chelmsford,(978) 458-0099,60,19
The Residence at Melrose Station,158 Essex Street,Melrose,(781) 620-8990,65,25
The Residence at Orchard Grove,258 Walnut St,Shrewsbury,(508) 841-5735,60,20
The Residence at Pearl Street,75 Pearl Street,Reading,(781) 944-9200,63,20
The Residence at Penniman Hill,276 Whiting Street,Hingham,(781) 556-8121,64,26
The Residence at Riverbend,149 County Road,Ipswich,(978) 356-1300,53,22
The Residence at Sherburne Commons,40 Sherburne Commons,Nantucket,(508) 228-4080,32,0
The Residence at Valley Farm,639 Pond Street,Ashland,(508) 532-3197,60,20
The Residence at Vinnin Square,224 Salem Street,Swampscott,(781) 603-0099,62,22
The Residence at Watertown Square,20 Summer Street,Watertown,(617) 924-8100,65,25
The Residences at Great Woods,190 Mansfield Avenue,Norton,(508) 285-3355,72,0
The Rubin Home Assisted Living,50 Houston Ave,Saugus,(781) 558-1909,0,9
The Saab Residence,1085 Varnum Avenue,Lowell,(978) 569-1016,45,15
The Wellington at Springfield,942 Grayson Drive,Springfield,(413) 426-9868,73,18
The Woodlands Inn at Edgewood,575 Osgood Street,North Andover,(978) 725-4102,30,10
Thirwood Place,237 North Main Street,Yarmouth,(508) 398-8006,69,0
Traditions of Dedham,735 Washington Street,Dedham,(781) 251-9330,81,14
Traditions of Wayland,10 Green Way,Wayland,(508) 358-0700,66,10
Victorian Health of Chatham,389 Orleans Road,Chatham,(508) 945-1211,40,0
Village at Willow Crossings,25 Cobb Street,Mansfield,(508) 261-1333,86,18
Visiting Nurse Assisted Living,259 Lowell Street,Somerville,(617) 776-9800,97,0
Waltham Crossings,126 Smith Street,Waltham,(781) 466-9912,67,22
Waterstone at Wellesley,23 Washington Street,Wellesley,(781) 235-1614,52,0
Whaler's Cove,114 Riverside Avenue,New Bedford,(508) 997-2880,120,0
Whitcomb House,245 West Street,Milford,(508) 634-2440,68,0
White Oak Cottages,6 Longwod Drive,Westwood,(781) 320-1999,0,24
Whitney Place at Natick,3 Vision Drive,Natick,(508) 655-5000,39,49
Whitney Place at Northborough,238 West Main Street,Northborough,(508) 393-5655,47,28
Whitney Place at Northbridge,85 Beaumont Drive,Northbridge,(508) 234-4769,26,0
Whitney Place at Sharon,675 South Main Street,Sharon,(781) 784-0111,44,44
Whitney Place at Westborough,5 Lyman Street,Westborough,(508) 366-3662,14,46
Whitney Suites at Westborough,One Lyman Street,Westborough,(508) 366-3662,34,0
Winchester Mount Vernon House,110 Mount Vernon Street,Winchester,(781) 729-0497,17,0
Windrose at Weymouth,670 Main Street,Weymouth,(781) 331-5555,0,50
Windrose at Woburn,857 Main Street,Woburn,(781) 935-3333,0,33
Windsor Place of Wilmington,92 West Street,Wilmington,(978) 988-2300,57,30
Wingate Residences at Boylston Place,615 Heath Street,Brookline-Chestnut Hill,(617) 244-6400,48,0
Wingate Residences at Haverhill,10 Residences Way,Haverhill,(978) 912-9250,44,20
Wingate Residences at Melbourne,140 Melbourne Road,Pittsfield,(413) 499-1992,88,30
Wingate Residences at Needham,235 Gould Street,Needham,(781) 455-9080,69,22
Wingate Residences at Norton,190 Mansfield Road,Norton,(508) 285-3355,72,0
Winter Valley Residences,600 Canton Avenue,Milton,(617) 698-3005,16,0
Wood Haven Senior Living,2580 Main Street,Tewksbury,(978) 657-0800,0,50
Woodbridge Assisted Living at The Cottages of Southwick,One Sawmill Park,Southwick,(413) 569-1945,18,0
"Youville House Assisted Living Residence, Inc.",1573 Cambridge Street,Cambridge,(617) 491-1234,95,0
Youville Place,10 Pelham Road,Lexington,(781) 861-3535,71,23
Zelma Lacey House,9 West School Street,Boston-Charlestown,(617) 241-0328,66,0
