Facility Name,License Number,Capacity,Licensee,Phone Number,Email Address,Address,City,Zip Code
Abby Assisted Living Home,101374,2,Jessica Fulton,,abbyassisted.ak@gmail.com,1781 South Abby Blvd.,Wasilla,99654
ABC Assisted Living,100430,4,Carolyn Allen,373-5512,cmallen@gci.net,7481 Territorial  Drive,Wasilla,99654
Abra Assisted Living Home,100875,3,"Merlo Llaneza, Sr.",522-0564,aga-pita@hotmail.com,1609 Betula Circle,Anchorage,99505
"Abuelita ALH, LLC",100900,5,"Abuelita ALH, LLC",677-0230,pegris@hotmail.com,1105 San Antonio Street,Anchorage,99508
Abuelitos ALH,101356,5,"Abuelita ALH, LLC",,dammbro@hotmail.com,2120 E. 72nd Ave,Anchorage,99507
Abundant Care Castle,101433,1,Sharon Strong,223-6377,strongs95@yahoo.com,1533 Latouche Street Unit C,Anchorage,99501
ADL Unlimited LLC,101086,4,ADL Unlimited LLC,222-1794,nathanrobinsonak.gmail.com,1722 West 99th Avenue,Anchorage,99515
Advantage Senior Care LLC,100853,2,Advantage Senior Care LLC,345-3416,nursemate43@yahoo.com,9650 Musketball circle,Anchorage,99507
Affinity Alaska,101315,2,Affinity Alaska LLC,350-7286,,610 Bounty Dr,Anchorage,99515
Agape Living ALH,101304,2,"Watkins Business Essentials, LLC",301-9879,agapeliving@yahoo.com,5613 Alora Loop,Anchorage,99504
Agape Living II,101362,2,"Watkins Business Essentials, LLC.",,agapeliving@yahoo.com,5601 Alora Loop,Anchorage,99504
Agape Love Assisted Living Home,101262,5,"Agape Love Assisted Living Home, LLC",339-9198,aga-pita@hotmail.com,3836 Williams Street,Anchorage,99508
"Agewise A New Vision, LLC",101443,5,Agewise A New Vision LLC,907-328-0557,anuvision00@gmail.com,1744 Farmers Loop Road,Fairbanks,99709
Aimaagvik Assisted Living,101209,12,Arctic Slope Native Association,852-0272,diane.nosbisch@arcticslope.org,5452 North Star Street,Utqiagvik,99723
AK Care Comfort & Company,297,5,Irene E De Leon,929-1234,alaskacare@gci.net,1419 Annapolis Drive,Anchorage,99508
AK Holly Haven,100645,4,Kelly Godwin,727-3442,kellygalaska35@gmail.com,4253 N. Clark Wolverine Road,Palmer,99645
AK Nurtured Living,101120,5,AK Nurtured Living,745-3550,aknurturedliving@gmail.com,17350 Dorismae Circle,Palmer,99645
Alaska Helps Assisted Living Home,100850,5,Ann Neavill,727-3057,akhelps1@gmail.com,4861 Southpark Bluff Drive,Anchorage,99508
Alaska Independent & Transitional Living ALH,101254,4,"Severson, LLC",222-1153,mail@aitlalh.net,8531 Little Dipper Avenue,Anchorage,99504
"Alaska Olive Care II, LLC",101151,16,Alaska Olive Care LLC,440-1084,lucyb1127@yahoo.com,708 N. Bunn Street,Anchorage,99508
Alaska Olive Care LLC,101102,16,Alaska Olive Care LLC,440-1084,spankyventura@aol.com,702 N. Bunn Street,Anchorage,99508
Alaska Premier Assisted Living LLC,101226,2,Alaska Premier Assisted Living LLC,382-0991,alaskapremierassistedliving@gmail.com,2450 Hastings Lane,Anchorage,99504
Alaska Premier Assisted Living LLC-A,101284,4,Alaska Premier Assisted Living LLC,382-0991,alaskapremierassistedliving@gmail.com,9119 Little Brook Street,Anchorage,99507
Alaska Quality Care ALH,101091,16,"Alaska Quality Care, LLC",433-9189,lucyb1127@yahoo.com,8811 Cordell Circle,Anchorage,99502
"Alaska Quality Care II, LLC",101138,16,Alaska Quality Care II LLC,433-9189,lucyb1127@yahoo.com,4010 E. 8th Avenue,Anchorage,99508
Alaska Quality Care III ALH,101405,12,"Alaska Quality Care III, LLC",,lucyb1127@yahoo.com,501 N. Park Street,Anchorage,99511
Alaska Veterans' and Pioneers' Home,77,79,State of Alaska,745-4241,joshua.shaver@alaska.gov,250 E. Fireweed Avenue,Palmer,99645
"Alaskan Red Assisted Living, LLC",101207,2,Alaskan Red Living LLC,519-2443,alaskanredassistedlivingllc@gmail.com,1621 Otter Street,Anchorage,99504
"Alaskan Ruby Assisted Living Home, LLC",100722,5,Virginia Rafael,350-7781,virginiarafael70@yahoo.com,1130 Contrary Court,Anchorage,99515
Aldergrove Assisted Living,100978,5,Brian Sherbondy,435-3938,aldergroveassistedliving@hotmail.com,41045 Denny Lane,Homer,99603
All 4 You Assisted Living,101247,2,Juanita Scott-Gonzalez,726-0562,juanitasctt@gmail.com,11415 Aurora Street,Eagle River,99577
All About Care Inc. II,100611,5,All About Care Inc.,339-9683,allaboutcare@gci.net,2517 Azurite Circle,Anchorage,99507
All About Care Inc. III,100696,5,All About Care Inc.,339-0482,allaboutcare@gci.net,2515 Azurite Circle,Anchorage,99507
All About Care Inc. IV,100776,5,All About Care Inc.,339-0492,allaboutcare@gci.net,2505 Azurite Circle,Anchorage,99507
"Alley ALH, LLC",101425,5,"Alley ALH, LLC",602-2276,armida.pimentel2019@gmail.com,9330 Aphrodite Drive,Anchorage,99515
Alpenglow Short Stay Assisted Living,101317,9,"Alpine Surgicenter, LLC. dba Alpine Surgery Center",562-5080,danna.grant@hcahealthcare.com,"3801 Lake Otis Parkway, Suite 250",Anchorage,99508
Alpha-Omega,100922,5,Young Han Ji and Stefanie Halls,245-7405,tlcalhak@yahoo.com,1023 State Street Unit B,Anchorage,99504
Alpine ALH,100450,5,Helena Ogarro,947-3795,hregiste@yahoo.com,3811 Gardner Street,Anchorage,99508
"Althea Assisted Living Home, LLC",101172,5,"Althea Assisted Living Home, LLC.",332-3032,Rallanfran@aol.com,2701 Wesleyan Dr.,Anchorage,99508
Always Caring Assisted Living Home LLC,101441,2,Always Caring Assisted Living Home LLC,375-0477,acalhllc@gmail.com,350 S. Flower Street #3,Anchorage,99516
AMC Homecare,101367,2,Crisalyn Ruiz,,amchomecare@yahoo.com,3541 Corona Circle,Anchorage,99517
Anchor House,100728,60,"Hallelujah Corporation, LLC.",274-7391,SK@anchor-house.biz,1058 W. 27th Avenue,Anchorage,99503
Anchorage Manor #1,100755,5,"Judith A. Celario, Cresencia M. David",334-9986,jcnewhaven@gci.net,2121 E. 73rd Avenue #1,Anchorage,99507
Anchor'Care Assisted Living Home,100672,4,"Anchor'Care Assisted Living, LLC",720-9914,nivram510@yahoo.com,"5225 E. 22nd Avenue, Unit B",Anchorage,99508
"Anchored Abode Assisted Living, LLC.",100936,5,Anchored Abode Assisted Living Home LLC,538-5858,daniel.ray.stanton@gmail.com,"3909 Turnagain Blvd. East, Suite 1",Anchorage,99517
Anderson-Smith Assisted Living Home,285,3,Deborah J. Anderson-Smith,694-1586,debbie.debbie.andersonsmith1@gmail.com,26031 Log Cabin Circle,Eagle River,99577
"Angel's Love Assisted Living Home, LLC",101396,1,"Angel's Love Assisted Living Home, LLC",677-7357,angelslovealh@yahoo.com,3424 E. 16th Ave,Anchorage,99508
Aoki House,101193,3,"All Good Homes, LLC",631-3042,jennifer@allgoodhomesllc.com,3551 North Aoki Drive,Wasilla,99654
APC - Cormorant Cove,101049,8,"Alaska Premium Care, Inc.",222-6100,kristelstout@alaskapremiumcare.com,8431 Cormorant Cove Circle,Anchorage,99507
APC - Wesleyan House,100941,16,"Alaska Premium Care, Inc.",677-9000,kristelstout@alaskapremiumcare.com,2683 Wesleyan Drive,Anchorage,99508
"Aphrodite Assisted Living Home II, Inc",100548,2,"Aphrodite Assisted Living Home, Inc.",344-9442,nathanrobinsonak@gmail.com,1610 Woo Blvd.,Anchorage,99515
"Aphrodite Assisted Living, Inc",271,5,"Aphrodite Assisted Living Home, Inc.",907-230-8486,nathanrobinsonak@gmail.com,9101 Toloff Street,Anchorage,99507
Aqqaimmuk House,101191,5,Maniilaq Association,442-2224,bree.swanson@maniilaq.org,843 Turf Street,Kotzebue,99752
Arc - 2210 Unit #2,100969,3,The Arc of Anchorage,777-0133,brath@thearcofanchorage.org,2210 Arca Drive Unit #2,Anchorage,99508
Arc - Aldona,100881,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,6299 Aldona Circle,Anchorage,99508
Arc - Camelot,100411,2,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,6111 E 41st Ct. #1,Anchorage,99504
Arc - Camrose,100199,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,6100 Camrose Drive,Anchorage,99504
Arc - Castle Court,361359,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,4939 Castle Court,Anchorage,99508
Arc - Collie Hill Way,100084,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,2636 Collie Hill Way,Anchorage,99504
Arc - E. 67th,101031,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,4070 E 67th Avenue,Anchorage,99507
Arc - Elmore,100918,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org,4095 E. 68th Street,Anchorage,99507
Arc - H Street,100889,2,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,1033 H Street #A,Anchorage,99501
Arc - Jay Circle,354441,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org,810 Jay Circle,Anchorage,99504
Arc - Kuskokwim,100999,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org,1830 Kuskokwim Street,Anchorage,99508
Arc - Lionheart,358194,3,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org,5256 Lionheart Drive,Anchorage,99508
Arc - Melody Place,100201,3,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org,247 Melody Place,Anchorage,99504
Arc - Old Harbor,100731,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org,7718 Old Harbor Road,Anchorage,99504
Arc - Park Strip,100178,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,1033 H Street #B,Anchorage,99501
Arc - Wesleyan,100917,4,The Arc of Anchorage,277-6677,brath@thearcofanchorage.org,3719 Wesleyan Drive,Anchorage,99508
Arctic Haven of Scenic View Drive,101435,5,Arctic Haven Assisted Living Home INC.,,neil_cay@yahoo.com,3847 Scenic View Drive,Anchorage,99504
Arctic Rose Assisted Living Home,101303,5,Verun Patel,232-8335,caringhands413@gmail.com,5291 Honeysuckle Ln,Wasilla,99654
Arctic Star Assisted Living Home,101434,2,Arctic Star ALH LLC,891-0510,arcticstaralh@gmail.com,441 Falke Court,Anchorage,99504
"Ariana ALH, LLC",100902,5,Robert Pentecostes,,arianahome_llc@yahoo.com,2337 East 72nd Avenue,Anchorage,99507
Ark of Caring Assisted Living Home,100994,5,Lawana Johnson,250-0708,arkofcaringak@gmail.com,7326 Kidron Street,Anchorage,99502
Aspen Creek Senior Living,101353,120,"Spring Creek Management, LLC.",868-2688,anna@aspencreekalaska.com,5915 Petersburg St.,Anchorage,99507
Assisted Living Transitions I,100732,5,Assisted Living Transitions LLC,727-2206,alttransitions@gmail.com,3154 Campbell Airstrip Road,Anchorage,99504
Assisted Living Transitions II,100526,5,Assisted Living Transitions LLC,727-2206,alttransitions@gmail.com,204 Patterson Street,Anchorage,99504
Assisted Living Transitions III,100928,4,Assisted Living Transitions LLC,727-2206,alttransitions@gmail.com,2637 Kenmore Circle,Anchorage,99504
Assisted Living Transitions IV,101004,5,"Assisted Living Transitions, LLC",727-2206,alttransitions@gmail.com,9022 Sahalee Drive,Anchorage,99507
Assisted Living Transitions V,101184,3,Assisted Living Transitions LLC,,alttransitions@gmail.com,6121 Trappers Trail Road,Anchorage,99516
Atlas Home Care Assisted Living Home,100579,5,"Atlas Home Care Assisted Living Home, Inc.",350-3606,ilbjosheran@yahoo.com,1825 Adonis Drive,Anchorage,99515
"Aumavae Cares, LLC",101129,2,"Aumavae Cares, LLC.",602-5274,aumavaecares@gmail.com,PO Box 873456,Wasilla,99654
Aurora Assisted Living Home,100837,5,Marissa Jones,382-2697,aalh@gci.net; marz32@yahoo.com,1641 Cara Loop,Anchorage,99517
Autumn Care Assisted Living,101274,5,Candis Bishop,,candis24@yahoo.com,16415 Mills Park Circle,Eagle River,99577
"Autumn MorningStar ALH, LLC",101141,5,"Autumn Morningstar ALH, LLC",351-0569,candis24@yahoo.com,16502 Baird Circle,Eagle River,99577
Autumn Sunrise Assisted Living Home,101077,5,Candis Bishop,762-0800,candis24@yahoo.com,19216 Citation Road,Eagle River,99577
Avelina's Assisted Living Home #2,265,5,Vida Ladrido,333-6649,vladrido@yahoo.com,285 Flower Street,Anchorage,99508
Baka's House,101186,3,Eva Ingersoll,376-4190,eva.ingersoll@outlook.com,1100 McKee Street,Wasilla,99654
Barcus Family Home,101375,1,Jonathan & Kandi Barcus,394-5865,barcus4@live.com,48175 Cockrobin Ct.,Soldotna,99669
Baxter Senior Living,101357,120,"Baxter Senior Living, LLC",891-9696,karl@psliving.com,4280 Baxter Road,Anchorage,99504
Bear,101082,4,Genacta In-Home Care,907-631-3078,jeanne.owen@genacta.com,5545 S. Irwin Drive #3,Wasilla,99654
Bear Lake Assisted Living Home,101325,4,Bear Lake LLC,,bearlakealaska@gmail.com,33472 Bear Lake Road,Seward,99664
Beaudion House,100629,1,Joyce Beaudion,835-2110,Beaudz.joy14@gmail.com,623 South Glacier Drive,Valdez,99686
Bella Home Care LLC,100666,5,"Bella Home Care, LLC.",830-3178,Becare@gci.net,8621 Kushtaka Circle,Anchorage,99504
"Benedict Assisted Living Home, LLC.",101170,2,"Benedict Assisted Living Home, LLC.",770-7008,benedict_alh0209@yahoo.com,3511 Alamosa Drive,Anchorage,99502
Best Care Assisted Living,214,5,Elma Ong,344-4457,elmaong@hotmail.com,7120 Scalero Circle,Anchorage,99507
Best Care Assisted Living 2,100627,5,Elma Ong,344-4561,elmaong@hotmail.com,11510 Tulin Park Loop,Anchorage,99516
Betel ALH,100131,2,Maria Alaniz,390-0397,betel_alh@hotmail.com,5901 E. 6th Avenue #153,Anchorage,99504
Bethel Assisted Living Home,101179,4,Anthony Jimenez,644-1055,jimeneztone@gmail.com,8401 Berry Patch Drive,Anchorage,99502
"Bethsaida Assisted Living, LLC",101442,5,"Bethsaida Assisted Living, LLC",644-3979,bethsaidaassistedliving@gmail.com,7080 Chad Street,Anchorage,99518
Betty J. Vickers,100303,3,Betty J. Vickers,301-8043,vic8531@aol.com,8531 E. 11th Court,Anchorage,99504
Big Hearts Alaska,101348,5,Annabelle Fangonilo,,bigheartsalaska@gmail.com,9180 Aphrodite Drive,Anchorage,99515
Big Lake Country Club I,100554,5,"Big Lake Country Club, LLC",892-6944,lplettner@biglakementalhealthservices.com,12528 Hawk Lane,Houston,99694
Big Lake Country Club II,100657,3,"Big Lake Country Club, LLC",892-6944,lplettner@biglakementalhealthservices.com,12528 Hawk Lane,Houston,99694
Big Lake Country Club III,100814,3,"Big Lake Country Club, LLC",892-6944,lplettner@biglakementalhealthservices.com,14016 W. Hughes Homestead Road,Big Lake,99652
Big Lake Country Club IV,100868,3,"Big Lake Country Club, LLC",892-6944,lplettner@biglakementalhealthservices.com,14060 W. Hughes Homestead Road,Big Lake,99652
Big Lake Country Club VI,100891,4,"Big Lake Country Club, LLC",892-6944,lplettner@biglakementalhealthservices.com,12528 Hawk Lane,Houston,99694
Birchwood Assisted Living Home,100829,3,Jeremy & Yael Hickok,277-4130,jerhickok@hotmail.com,19619 Crabtree Street,Chugiak,99567
"Blessing ALH, LLC",100595,5,Mildred Rapanot,770-2958,blessing_alh@yahoo.com,9700 Poseidon Drive,Anchorage,99515
Blue Horizon Assisted Living Home LLC,101406,2,Blue Horizon Assisted Living Home LLC,230-5768,bluehorizonalh@gmail.com,3409 Murphy Circle,Anchorage,99502
Blueberry Lodge Assisted Living Group Home,100284,4,"Blueberry Lodge Assisted Living Group Home, LLC",463-5886,judyfay@alaskan.com,9436 N Douglas Hwy,Juneau,99801
Bread and Roses ALH,100350,3,Tara Moore Walker,929-7941,breadandroseshome@gmail.com,7774 Cherrywood Circle,Anchorage,99507
Bright Horizon Homes,100953,3,Bright Horizon Homes LLC,232-6624,brighthorizonhomes@gmail.com,1453 Kanabec Drive,Wasilla,99654
Bright Horizon Homes II,101045,4,Bright Horizon Homes LLC,232-6624,bhhomes21@gmail.com,7038 S. Hood Court,Wasilla,99623
Bunny Lope Homes,101198,2,Phillipe Reznitsky,360-0169,reznitskyp@gmail.com,2616 Frigate Circle,Anchorage,99515
Bunny's Assisted Living,100945,5,"Bunny's Assisted Living, LLC",868-1913,rachelpentecostesm@gmail.com,1531 Harriet Court,Anchorage,99515
Burke's Assisted Living Home,100105,2,Linda S. Burke,,lindasburke@hotmail.com,10486 Vancouver Circle,Anchorage,99515
Campbell Creek House,101119,40,Loving Home Care LLC,754-9050,campbellcreekhouse@gmail.com,4745 Piper Street,Anchorage,99507
Carbon Assisted Living,101432,2,Michel Carbon,,carbonassistedliving@outlook.com,4810 Snow Circle,Anchorage,99508
Carel Assisted Living Home LLC,100730,7,Carel Assisted Living Home LLC,351-7519,epentecostes@gmail.com,5058 Bryn Mawr Court,Anchorage,99508
Carel II Assisted Living Home LLC,101040,5,Carel II Assisted Living Home LLC,677-2645,epentecostes@gmail.com,2988 Glacier Street,Anchorage,99508
"Caring Bridges Assisted Living Home, Inc.",200,16,"Caring Bridges Assisted Living Home, Inc.",479-0360,oakdale@acsalaska.net,107 7th Avenue Unit 1,Fairbanks,99701
"Caring Hands and Homes, Ltd.",101160,5,"Caring Hands and Homes, Ltd.",699-8581,mattdobbs569@gmail.com,2935 N. Church Road #A,Wasilla,99654
Caring Hands Assisted Living,101047,10,Elisa Winchester,202-0559,caringhands413@gmail.com,174 W. Spruce Avenue,Wasilla,99654
Caritas Assisted Living Home,100540,4,"Caritas Assisted Living Home, Inc.",929-4819,jopenpk@yahoo.com,1720 Adonis Drive,Anchorage,99515
"Caritas Assisted Living Home II, Inc.",100767,5,"Caritas Assisted Living Home, Inc.",929-4819,jopenpk@yahoo.com,1307 W. 46th Avenue,Anchorage,99503
Carmelite Home,100955,5,Aina Fowler,336-1296,asianpop23@yahoo.com,3963 Scenic View,Anchorage,99504
Casa Bella Assisted Living Home,101376,2,"Casa Bella Assisted Living Home, LLC.",727-6092,Katherine.Forest@yahoo.com,2630 Kingsbridge Circle,Anchorage,99504
Chadellynh Home,100665,5,"Chadellynh Home, LLC",764-9223,mariloualonso@hotmail.com,2940 Columbia Street,Anchorage,99508
Chandler ALH,100858,1,Cecilia Chandler,225-1174,Alaskan_china@icloud.com,11 Lode Lane,Ketchikan,99901
Charis Place Assisted Living,101027,90,"JAC Enterprises, Inc.",335-2052,charisplace@gmail.com,701 N Forest Drive,Kenai,99611
Charis Place Assisted Living #3,101383,6,"JAC Enterprises, Inc.",335-2052,charisplace@gmail.com,701 N Forest Drive Bld. #3,Kenai,99611
Charis Place Assisted Living #4,101384,6,"JAC Enterprises, Inc.",335-2052,charisplace@gmail.com,701 N Forest Drive Bld. #4,Kenai,99611
Charisse's Helping Hands Assistant Living Home 2,101389,2,Sauda Abdul-Haqq & Charisse Matthews,,sauda3.sah@gmail.com,524 North Park Street #2,Anchorage,99508
CharLena Angel Assisted Living Home,101408,2,Randall Dargan,222-4652,alaskadargan@gmail.com,9601 Newhaven Loop,Anchorage,99507
Chesser Assisted Living Home,100313,2,Deanna/Russel Chesser,399-1235,rddcr@acsalaska.net,35020 Scandinavian Drive,Anchor Point,99556
Chugiak Senior Citizens,12,21,"Chugiak Senior Citizens', Inc.",688-2661,assistedliving@mtaonline.net,22424 Birchwood Loop,Chugiak,99567
Cindy & Vic's Blessings Bungalow,101104,4,"Cindy & Vic's R&R, Inc.",230-3618,Cindy@cindyandvics.com,2324 Marian Bay Circle,Anchorage,99515
Cindy & Vic's Harmony House,100915,4,"Cindy & Vic's R&R, Inc.",230-3618,Cindy@cindyandvics.com,7801 Ladasa Place,Anchorage,99507
Cindy & Vic's Joyful Joint,101010,4,"Cindy & Vic's R&R, Inc.",230-3618,Cindy@cindyandvics.com,4041 Red Talon Circle,Anchorage,99507
Cindy & Vic's Peace Place,100975,4,"Cindy & Vic's R&R, Inc.",244-8427,Cindy@cindyandvics.com\mailto:Vic@cindyandvics.com,4134 Red Talon Circle,Anchorage,99507
Cindy and Vic's Kincaid Cottage,101429,2,"Cindy and Vic's R& R, Inc.",,,5916 Big Bend Loop,Anchorage,99502
Cindy and Vic's Wilderness Retreat,101192,2,"Cindy and Vic's R&R, Inc.",,,12305 Wilderness Rd,Anchorage,99516
CJW Healthcare,101402,5,Willie Zamora,644-3044,phoebecervas@icloud.com,343 Egavik Drive,Anchorage,99503
Clearfield Assisted Living Home,100820,5,Rodolfo Rafael Sr.,334-9497,rodolforafael@rocketmail.com,7673 Winchester Street,Anchorage,99507
Clearview Haven Assisted Living Home,176,5,Jaime Atherton,224-5220,clearview@gci.net,33343 Winterset Circle,Seward,99664
"Clouds Rest Commons, Inc.",100687,5,"Clouds Rest Commons, Inc.",376-3495,paulhartig@gmail.com,5772 E. Morning Mist Drive,Palmer,99645
Coles Cares,101314,2,David Cole,222-2515,colecaresak@gmail.com,2022 Terrebonne Loop,Anchorage,99502
Colony House Assisted Living,100604,12,"Colony House, Inc.",354-5483,colonymanor@mac.com,2801 E. Bogard Road,Wasilla,99654
Colony Manor,196,5,"Colony Manor Assisted Living Care Centers, Corp.",373-1880,colonymanor@mac.com,1715 N Driftwood Circle,Palmer,99645
Colony Manor at Creekside,268,5,"Colony Manor Assisted Living Care Centers, Corp.",373-1880,colonymanor@mac.com,1998 Creekside Drive,Wasilla,99654
Colony Manor at Village Park,100649,5,"Colony Manor Assisted Living Care Centers, Corp.",373-1880,colonymanor@mac.com,2051 Porcupine Trail,Wasilla,99654
Comfort Assisted Living II,300,5,Comfort ALH Inc.,351-9870,calhljk@gmail.com,7390 Winchester Street,Anchorage,99507
Comfort Assisted Living III,299,5,Comfort ALH Inc.,351-9870,calhljk@gmail.com,7370 Winchester Street,Anchorage,99507
Compassionate Care ALH,101414,5,Kathleen Corleto,,compassionatecarealh@yahoo.com,3180 Amanda Gayle Circle,Anchorage,99507
Cotter's Assisted Living Home,100414,2,Noel Cotter,745-1260,noel.mak@hotmail.com,2060 North Palomino Lane,Palmer,99645
Creative Care Assisted Living Home,100934,4,Carolynn Smith & Dennis Smith,903-0443,Carolynn.laliberte@yahoo.com,11401 Thunderbrush Circle,Anchorage,99516
Creekside Assisted Living,101210,5,"Howard House, LLC",333-4454,creeksideassistedliving@yahoo.com,7710 Maryland Avenue,Anchorage,99504
Crossroads Assisted Living,100268,16,Donna Ruth and Robert Schwartz,529-7800,crossroadsal@gci.net,5316 E. 24th Avenue,Anchorage,99508
Crossroads Counseling and Training (CCATS) 1,100497,12,Crossroads Counseling and Training Services,455-9737,nnelson@crossroadcounseling.org,1509 24th Avenue,Fairbanks,99701
Crossroads Counseling and Training (CCATS) 2,100668,3,Crossroads Counseling and Training Services,455-9737,nnelson@crossroadcounseling.org,1021 Akiak Avenue,Fairbanks,99701
Crossroads Counseling and Training (CCATS) 3,101316,5,Crossroads Counseling and Training Services,455-9737,nnelson@crossroadcounseling.org,4655 Drake Street,Fairbanks,99709
Crossroads Counseling and Training (CCATS) 4,101287,2,Crossroads Counseling and Training Services,455-9737,nnelson@crossroadcounseling.org,2735 Mack Blvd.,Fairbanks,99701
Crossroads Counseling and Training (CCATS) 5,100886,2,Crossroads Counseling and Training Services,455-9737,nnelson@crossroadcounseling.org,1025 Akiak Avenue,Fairbanks,99701
Dabakh Assisted Living Home II,101333,2,Baba Sy,,b.sy01@hotmail.com,1710 S. Salem Drive,Anchorage,99508
Dabakh's ALH,101001,5,Baba Sy,350-866-1952,b.sy01@hotmail.com,3760 W. 74th Avenue,Anchorage,99502
Darboe's Assisted Living Home,101407,2,Tineka Williams,,mstineka28@gmail.com,7604 Melody Commons Court,Anchorage,99504
Day Spring ALH,100848,5,"Day Spring Assisted Living Home, LLC",947-2890,irenerose.antonio@gmail.com,7001 Clogia Circle,Anchorage,99507
Day Spring ALH II,101220,5,Irenerose Antonio,947-2890,irenerose.antonio@gmail.com,2701 Wesleyan Drive #B,Anchorage,99508
DBG-Travis Circle,101332,5,"De Band Global, LLC",313-9278,"masslawal@yahoo.com, masslawal123@gmail.com",7121 Travis Circle,Anchorage,99507
Debbie's Assisted Living Home,100671,1,Debra A Clarke,479-8349,dclarke@gci.net,1173 Sunset Drive,Fairbanks,99709
DeHart Assisted Living Home,100086,3,Lianne Hobbs (formerly Schwartz),745-5065,lianne@gci.net,2930 N. Barrys Resort Drive,Palmer,99645
"Demeluz Assisted Living Home, LLC",101041,5,"Demeluz Assisted Living Home, LLC",868-1793,demeluzalh@gmail.com,7231 Bern Street,Anchorage,99507
Denali Assisted Living Services,101145,5,Amadou Ndure,,mattasanneh@hotmail.com,2649 Carroll Place #A,Anchorage,99508
"Denali Ridge Assisted Living, LLC.",101124,5,"Denali Ridge Assisted Living, LLC.",315-1415,denaliridge.ak@gmail.com,1450 N. Grubstake Drive,Wasilla,99654
Destiny Home Care,101351,2,Melisa Manas Fadhel,,crystalalh@yahoo.com,8540 Crystal Street,Anchorage,99502
Diaz,101092,2,Sara and Carlos Diaz,229-7017,sarasharmain19@yahoo.com,8060 Berry Patch Drive,Anchorage,99502
Discovery Living Assisted Living - Chinook Home,101235,5,"Discovery Living, LLC",440-7259,discoverylivingllc@gmail.com,16845 Eleanora Street,Eagle River,99577
