Facility Name,License Number,Capacity,Licensee,Phone Number,Email Address,Address,City,Zip Code,Date Accessed,State Facility Type 1 Literal,State
Aimaagvik Assisted Living,101209,12,ARCTIC SLOPE NATIVE ASSOCIATION,852-0272,diane.nosbisch@arcticslope.org,5452 NORTH STAR STREET,Utqiagvik,99723,8/2/21,ASSISTED LIVING HOME,AK
Ak Care Comfort & Company,297,5,IRENE E DE LEON,929-1234,alaskacare@gci.net,1419 ANNAPOLIS DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Ak Holly Haven,100645,4,KELLY GODWIN,727-3442,kellygalaska35@gmail.com,4253 N. CLARK WOLVERINE ROAD,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
Ak Nurtured Living,101120,5,AK NURTURED LIVING,745-3550,aknurturedliving@gmail.com,17350 DORISMAE CIRCLE,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
Alaska Helps Assisted Living Home,100850,5,ANN NEAVILL,727-3057,akhelps1@gmail.com,4861 SOUTHPARK BLUFF DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Alaska Independent & Transitional Living Alh,101254,4,"SEVERSON, LLC",222-1153,mail@aitlalh.net,8531 LITTLE DIPPER AVENUE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Alaska Olive Care Ii, Llc",101151,16,ALASKA OLIVE CARE LLC,440-1084,lucyb1127@yahoo.com,708 N. BUNN STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Alaska Olive Care Llc,101102,16,ALASKA OLIVE CARE LLC,440-1084,spankyventura@aol.com,702 N. BUNN STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Alaska Premier Assisted Living Llc,101226,2,ALASKA PREMIER ASSISTED LIVING LLC,382-0991,alaskapremierassistedliving@gmail.com,2450 HASTINGS LANE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Alaska Premier Assisted Living Llc-A,101284,4,ALASKA PREMIER ASSISTED LIVING LLC,382-0991,alaskapremierassistedliving@gmail.com,9119 LITTLE BROOK STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Alaska Quality Care Alh,101091,16,"ALASKA QUALITY CARE, LLC",433-9189,lucyb1127@yahoo.com,8811 CORDELL CIRCLE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
"Alaska Quality Care Ii, Llc",101138,16,ALASKA QUALITY CARE II LLC,433-9189,lucyb1127@yahoo.com,4010 E. 8TH AVENUE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Alaska Quality Care Iii Alh,101405,12,"ALASKA QUALITY CARE III, LLC",,lucyb1127@yahoo.com,501 N. PARK STREET,Anchorage,99511,8/2/21,ASSISTED LIVING HOME,AK
Alaska Veterans' And Pioneers' Home,77,79,STATE OF ALASKA,745-4241,joshua.shaver@alaska.gov,250 E. FIREWEED AVENUE,Palmer,99645,8/2/21,ASSISTED LIVING HOME,AK
"Alaskan Red Assisted Living, Llc",101207,2,ALASKAN RED LIVING LLC,519-2443,alaskanredassistedlivingllc@gmail.com,1621 OTTER STREET,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Alaskan Ruby Assisted Living Home, Llc",100722,5,VIRGINIA RAFAEL,350-7781,virginiarafael70@yahoo.com,1130 CONTRARY COURT,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Aldergrove Assisted Living,100978,5,BRIAN SHERBONDY,435-3938,aldergroveassistedliving@hotmail.com,41045 DENNY LANE,Homer,99603,8/2/21,ASSISTED LIVING HOME,AK
All 4 You Assisted Living,101247,2,JUANITA SCOTT-GONZALEZ,726-0562,juanitasctt@gmail.com,11415 AURORA STREET,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
All About Care Inc. Ii,100611,5,ALL ABOUT CARE INC.,339-9683,allaboutcare@gci.net,2517 AZURITE CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
All About Care Inc. Iii,100696,5,ALL ABOUT CARE INC.,339-0482,allaboutcare@gci.net,2515 AZURITE CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
All About Care Inc. Iv,100776,5,ALL ABOUT CARE INC.,339-0492,allaboutcare@gci.net,2505 AZURITE CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
"Alley Alh, Llc",101425,5,"ALLEY ALH, LLC",602-2276,armida.pimentel2019@gmail.com,9330 APHRODITE DRIVE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Alpenglow Short Stay Assisted Living,101317,9,"ALPINE SURGICENTER, LLC. DBA ALPINE SURGERY CENTER",562-5080,danna.grant@hcahealthcare.com,"3801 LAKE OTIS PARKWAY, SUITE 250",Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Alpha-Omega,100922,5,YOUNG HAN JI AND STEFANIE HALLS,245-7405,tlcalhak@yahoo.com,1023 STATE STREET UNIT B,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Alpine Alh,100450,5,HELENA OGARRO,947-3795,hregiste@yahoo.com,3811 GARDNER STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
"Althea Assisted Living Home, Llc",101172,5,"ALTHEA ASSISTED LIVING HOME, LLC.",332-3032,rallanfran@aol.com,2701 WESLEYAN DR.,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Always Caring Assisted Living Home Llc,101441,2,ALWAYS CARING ASSISTED LIVING HOME LLC,375-0477,acalhllc@gmail.com,350 S. FLOWER STREET #3,Anchorage,99516,8/2/21,ASSISTED LIVING HOME,AK
Amc Homecare,101367,2,CRISALYN RUIZ,,amchomecare@yahoo.com,3541 CORONA CIRCLE,Anchorage,99517,8/2/21,ASSISTED LIVING HOME,AK
Anchor House,100728,60,"HALLELUJAH CORPORATION, LLC.",274-7391,sk@anchor-house.biz,1058 W. 27TH AVENUE,Anchorage,99503,8/2/21,ASSISTED LIVING HOME,AK
Anchorage Manor #1,100755,5,"JUDITH A. CELARIO, CRESENCIA M. DAVID",334-9986,jcnewhaven@gci.net,2121 E. 73RD AVENUE #1,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Anchor'Care Assisted Living Home,100672,4,"ANCHOR'CARE ASSISTED LIVING, LLC",720-9914,nivram510@yahoo.com,"5225 E. 22ND AVENUE, UNIT B",Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
"Anchored Abode Assisted Living, Llc.",100936,5,ANCHORED ABODE ASSISTED LIVING HOME LLC,538-5858,daniel.ray.stanton@gmail.com,"3909 TURNAGAIN BLVD. EAST, SUITE 1",Anchorage,99517,8/2/21,ASSISTED LIVING HOME,AK
Anderson-Smith Assisted Living Home,285,3,DEBORAH J. ANDERSON-SMITH,694-1586,debbie.debbie.andersonsmith1@gmail.com,26031 LOG CABIN CIRCLE,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
"Angel'S Love Assisted Living Home, Llc",101396,1,"ANGEL'S LOVE ASSISTED LIVING HOME, LLC",677-7357,angelslovealh@yahoo.com,3424 E. 16TH AVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Aoki House,101193,3,"ALL GOOD HOMES, LLC",631-3042,jennifer@allgoodhomesllc.com,3551 NORTH AOKI DRIVE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Apc - Cormorant Cove,101049,8,"ALASKA PREMIUM CARE, INC.",222-6100,kristelstout@alaskapremiumcare.com,8431 CORMORANT COVE CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Apc - Wesleyan House,100941,16,"ALASKA PREMIUM CARE, INC.",677-9000,kristelstout@alaskapremiumcare.com,2683 WESLEYAN DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
"Aphrodite Assisted Living Home Ii, Inc",100548,2,"APHRODITE ASSISTED LIVING HOME, INC.",344-9442,nathanrobinsonak@gmail.com,1610 WOO BLVD.,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
"Aphrodite Assisted Living, Inc",271,5,"APHRODITE ASSISTED LIVING HOME, INC.",907-230-8486,nathanrobinsonak@gmail.com,9101 TOLOFF STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Aqqaimmuk House,101191,5,MANIILAQ ASSOCIATION,442-2224,bree.swanson@maniilaq.org,843 TURF STREET,Kotzebue,99752,8/2/21,ASSISTED LIVING HOME,AK
Arc - 2210 Unit #2,100969,3,THE ARC OF ANCHORAGE,777-0133,brath@thearcofanchorage.org,2210 ARCA DRIVE UNIT #2,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Arc - Aldona,100881,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,6299 ALDONA CIRCLE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Arc - Camelot,100411,2,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,6111 E 41ST CT. #1,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Arc - Camrose,100199,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,6100 CAMROSE DRIVE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Arc - Castle Court,361359,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,4939 CASTLE COURT,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Arc - Collie Hill Way,100084,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,2636 COLLIE HILL WAY,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Arc - E. 67Th,101031,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,4070 E 67TH AVENUE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Arc - Elmore,100918,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org,4095 E. 68TH STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Arc - H Street,100889,2,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,1033 H STREET #A,Anchorage,99501,8/2/21,ASSISTED LIVING HOME,AK
Arc - Jay Circle,354441,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org,810 JAY CIRCLE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Arc - Kuskokwim,100999,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org,1830 KUSKOKWIM STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Arc - Lionheart,358194,3,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org,5256 LIONHEART DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Arc - Melody Place,100201,3,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org,247 MELODY PLACE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Arc - Old Harbor,100731,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org,7718 OLD HARBOR ROAD,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Arc - Park Strip,100178,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org; khovden@thearcofanchorage.org; jwest@thearcofanchorage.org,1033 H STREET #B,Anchorage,99501,8/2/21,ASSISTED LIVING HOME,AK
Arc - Wesleyan,100917,4,THE ARC OF ANCHORAGE,277-6677,brath@thearcofanchorage.org,3719 WESLEYAN DRIVE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Arctic Haven Of Scenic View Drive,101435,5,ARCTIC HAVEN ASSISTED LIVING HOME INC.,,neil_cay@yahoo.com,3847 SCENIC VIEW DRIVE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Arctic Rose Assisted Living Home,101303,5,VERUN PATEL,232-8335,caringhands413@gmail.com,5291 HONEYSUCKLE LN,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Arctic Star Assisted Living Home,101434,2,ARCTIC STAR ALH LLC,891-0510,arcticstaralh@gmail.com,441 FALKE COURT,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Ariana Alh, Llc",100902,5,ROBERT PENTECOSTES,,arianahome_llc@yahoo.com,2337 EAST 72ND AVENUE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Ark Of Caring Assisted Living Home,100994,5,LAWANA JOHNSON,250-0708,arkofcaringak@gmail.com,7326 KIDRON STREET,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Aspen Creek Senior Living,101353,120,"SPRING CREEK MANAGEMENT, LLC.",868-2688,anna@aspencreekalaska.com,5915 PETERSBURG ST.,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Assisted Living Transitions I,100732,5,ASSISTED LIVING TRANSITIONS LLC,727-2206,alttransitions@gmail.com,3154 CAMPBELL AIRSTRIP ROAD,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Assisted Living Transitions Ii,100526,5,ASSISTED LIVING TRANSITIONS LLC,727-2206,alttransitions@gmail.com,204 PATTERSON STREET,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Assisted Living Transitions Iii,100928,4,ASSISTED LIVING TRANSITIONS LLC,727-2206,alttransitions@gmail.com,2637 KENMORE CIRCLE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Assisted Living Transitions Iv,101004,5,"ASSISTED LIVING TRANSITIONS, LLC",727-2206,alttransitions@gmail.com,9022 SAHALEE DRIVE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Assisted Living Transitions V,101184,3,ASSISTED LIVING TRANSITIONS LLC,,alttransitions@gmail.com,6121 TRAPPERS TRAIL ROAD,Anchorage,99516,8/2/21,ASSISTED LIVING HOME,AK
Atlas Home Care Assisted Living Home,100579,5,"ATLAS HOME CARE ASSISTED LIVING HOME, INC.",350-3606,ilbjosheran@yahoo.com,1825 ADONIS DRIVE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
"Aumavae Cares, Llc",101129,2,"AUMAVAE CARES, LLC.",602-5274,aumavaecares@gmail.com,PO BOX 873456,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Aurora Assisted Living Home,100837,5,MARISSA JONES,382-2697,aalh@gci.net; marz32@yahoo.com,1641 CARA LOOP,Anchorage,99517,8/2/21,ASSISTED LIVING HOME,AK
Autumn Care Assisted Living,101274,5,CANDIS BISHOP,,candis24@yahoo.com,16415 MILLS PARK CIRCLE,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
"Autumn Morningstar Alh, Llc",101141,5,"AUTUMN MORNINGSTAR ALH, LLC",351-0569,candis24@yahoo.com,16502 BAIRD CIRCLE,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
Autumn Sunrise Assisted Living Home,101077,5,CANDIS BISHOP,762-0800,candis24@yahoo.com,19216 CITATION ROAD,Eagle River,99577,8/2/21,ASSISTED LIVING HOME,AK
Avelina'S Assisted Living Home #2,265,5,VIDA LADRIDO,333-6649,vladrido@yahoo.com,285 FLOWER STREET,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Baka'S House,101186,3,EVA INGERSOLL,376-4190,eva.ingersoll@outlook.com,1100 MCKEE STREET,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Barcus Family Home,101375,1,JONATHAN & KANDI BARCUS,394-5865,barcus4@live.com,48175 COCKROBIN CT.,Soldotna,99669,8/2/21,ASSISTED LIVING HOME,AK
Baxter Senior Living,101357,120,"BAXTER SENIOR LIVING, LLC",891-9696,karl@psliving.com,4280 BAXTER ROAD,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Bear,101082,4,GENACTA IN-HOME CARE,907-631-3078,jeanne.owen@genacta.com,5545 S. IRWIN DRIVE #3,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Bear Lake Assisted Living Home,101325,4,BEAR LAKE LLC,,bearlakealaska@gmail.com,33472 BEAR LAKE ROAD,Seward,99664,8/2/21,ASSISTED LIVING HOME,AK
Beaudion House,100629,1,JOYCE BEAUDION,835-2110,beaudz.joy14@gmail.com,623 SOUTH GLACIER DRIVE,Valdez,99686,8/2/21,ASSISTED LIVING HOME,AK
Bella Home Care Llc,100666,5,"BELLA HOME CARE, LLC.",830-3178,becare@gci.net,8621 KUSHTAKA CIRCLE,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
"Benedict Assisted Living Home, Llc.",101170,2,"BENEDICT ASSISTED LIVING HOME, LLC.",770-7008,benedict_alh0209@yahoo.com,3511 ALAMOSA DRIVE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Best Care Assisted Living,214,5,ELMA ONG,344-4457,elmaong@hotmail.com,7120 SCALERO CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Best Care Assisted Living 2,100627,5,ELMA ONG,344-4561,elmaong@hotmail.com,11510 TULIN PARK LOOP,Anchorage,99516,8/2/21,ASSISTED LIVING HOME,AK
Betel Alh,100131,2,MARIA ALANIZ,390-0397,betel_alh@hotmail.com,5901 E. 6TH AVENUE #153,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Bethel Assisted Living Home,101179,4,ANTHONY JIMENEZ,644-1055,jimeneztone@gmail.com,8401 BERRY PATCH DRIVE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
"Bethsaida Assisted Living, Llc",101442,5,"BETHSAIDA ASSISTED LIVING, LLC",644-3979,bethsaidaassistedliving@gmail.com,7080 CHAD STREET,Anchorage,99518,8/2/21,ASSISTED LIVING HOME,AK
Betty J. Vickers,100303,3,BETTY J. VICKERS,301-8043,vic8531@aol.com,8531 E. 11TH COURT,Anchorage,99504,8/2/21,ASSISTED LIVING HOME,AK
Big Hearts Alaska,101348,5,ANNABELLE FANGONILO,,bigheartsalaska@gmail.com,9180 APHRODITE DRIVE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Big Lake Country Club I,100554,5,"BIG LAKE COUNTRY CLUB, LLC",892-6944,lplettner@biglakementalhealthservices.com,12528 HAWK LANE,Houston,99694,8/2/21,ASSISTED LIVING HOME,AK
Big Lake Country Club Ii,100657,3,"BIG LAKE COUNTRY CLUB, LLC",892-6944,lplettner@biglakementalhealthservices.com,12528 HAWK LANE,Houston,99694,8/2/21,ASSISTED LIVING HOME,AK
Big Lake Country Club Iii,100814,3,"BIG LAKE COUNTRY CLUB, LLC",892-6944,lplettner@biglakementalhealthservices.com,14016 W. HUGHES HOMESTEAD ROAD,Big Lake,99652,8/2/21,ASSISTED LIVING HOME,AK
Big Lake Country Club Iv,100868,3,"BIG LAKE COUNTRY CLUB, LLC",892-6944,lplettner@biglakementalhealthservices.com,14060 W. HUGHES HOMESTEAD ROAD,Big Lake,99652,8/2/21,ASSISTED LIVING HOME,AK
Big Lake Country Club Vi,100891,4,"BIG LAKE COUNTRY CLUB, LLC",892-6944,lplettner@biglakementalhealthservices.com,12528 HAWK LANE,Houston,99694,8/2/21,ASSISTED LIVING HOME,AK
Birchwood Assisted Living Home,100829,3,JEREMY & YAEL HICKOK,277-4130,jerhickok@hotmail.com,19619 CRABTREE STREET,Chugiak,99567,8/2/21,ASSISTED LIVING HOME,AK
"Blessing Alh, Llc",100595,5,MILDRED RAPANOT,770-2958,blessing_alh@yahoo.com,9700 POSEIDON DRIVE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Blue Horizon Assisted Living Home Llc,101406,2,BLUE HORIZON ASSISTED LIVING HOME LLC,230-5768,bluehorizonalh@gmail.com,3409 MURPHY CIRCLE,Anchorage,99502,8/2/21,ASSISTED LIVING HOME,AK
Blueberry Lodge Assisted Living Group Home,100284,4,"BLUEBERRY LODGE ASSISTED LIVING GROUP HOME, LLC",463-5886,judyfay@alaskan.com,9436 N DOUGLAS HWY,Juneau,99801,8/2/21,ASSISTED LIVING HOME,AK
Bread And Roses Alh,100350,3,TARA MOORE WALKER,929-7941,breadandroseshome@gmail.com,7774 CHERRYWOOD CIRCLE,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Bright Horizon Homes,100953,3,BRIGHT HORIZON HOMES LLC,232-6624,brighthorizonhomes@gmail.com,1453 KANABEC DRIVE,Wasilla,99654,8/2/21,ASSISTED LIVING HOME,AK
Bright Horizon Homes Ii,101045,4,BRIGHT HORIZON HOMES LLC,232-6624,bhhomes21@gmail.com,7038 S. HOOD COURT,Wasilla,99623,8/2/21,ASSISTED LIVING HOME,AK
Bunny Lope Homes,101198,2,PHILLIPE REZNITSKY,360-0169,reznitskyp@gmail.com,2616 FRIGATE CIRCLE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Bunny'S Assisted Living,100945,5,"BUNNY'S ASSISTED LIVING, LLC",868-1913,rachelpentecostesm@gmail.com,1531 HARRIET COURT,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Burke'S Assisted Living Home,100105,2,LINDA S. BURKE,,lindasburke@hotmail.com,10486 VANCOUVER CIRCLE,Anchorage,99515,8/2/21,ASSISTED LIVING HOME,AK
Campbell Creek House,101119,40,LOVING HOME CARE LLC,754-9050,campbellcreekhouse@gmail.com,4745 PIPER STREET,Anchorage,99507,8/2/21,ASSISTED LIVING HOME,AK
Carbon Assisted Living,101432,2,MICHEL CARBON,,carbonassistedliving@outlook.com,4810 SNOW CIRCLE,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
Carel Assisted Living Home Llc,100730,7,CAREL ASSISTED LIVING HOME LLC,351-7519,epentecostes@gmail.com,5058 BRYN MAWR COURT,Anchorage,99508,8/2/21,ASSISTED LIVING HOME,AK
