State Facility Type 1 Literal,License Number,Facility Name,Phone Number,Capacity,County,Address,City,State,Zip Code,Date Accessed,State
ASSISTED LIVING FACILITY,13190,Moorberg Cottage At St Johns,406-655-5600,12,Yellowstone,2621 SHILOH ROAD,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,12763,Powers Cottage At St Johns,406-655-7740,12,Yellowstone,2506 MISSION CIRCLE,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,31553,Primrose Gardens Assisted Living,406-601-1106,11,Yellowstone,1349 LAKE ELMO DRIVE,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31513,Primrose Ii,406-256-0168,7,Yellowstone,106 ERICKSON COURT,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,13044,Primrose Personal Care Home,406-248-9943,9,Yellowstone,1228 MAURINE ST,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31518,River Ridge Assisted Living,406-245-9330,26,Yellowstone,1415 YELLOWSTONE RIVER ROAD,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31557,Sunflower Gardens Dba Nancy'S Place,406-695-1144,8,Yellowstone,118 STILLWATER LANE,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31467,Tendernest 6B,406-655-9100,16,Yellowstone,4040 PARKHILL DR #3,Billings,MT,59106.0,8/2/21,MT
ASSISTED LIVING FACILITY,31475,Tendernest 7B,406-655-9100,16,Yellowstone,4040 PARKHILL DRIVE,Billings,MT,59106.0,8/2/21,MT
ASSISTED LIVING FACILITY,13325,Tendernest Llc 2B,406-855-9990,17,Yellowstone,4003 PARKHILL DR,Billings,MT,59106.0,8/2/21,MT
ASSISTED LIVING FACILITY,13326,Tendernest Llc 3B,406-655-9100,16,Yellowstone,4005 PARKHILL DRIVE,Billings,MT,59106.0,8/2/21,MT
ASSISTED LIVING FACILITY,13158,Tendernest Llc 4B,406-655-9100,16,Yellowstone,4040 PARKHILL DRIVE UNIT #2,Billings,MT,59106.0,8/2/21,MT
ASSISTED LIVING FACILITY,13480,Tendernest Llc 5B,406-655-9100,16,Yellowstone,4040 PARKHILL DRIVE UNIT #3,Billings,MT,59106.0,8/2/21,MT
ASSISTED LIVING FACILITY,31537,The Legacy Assisted Living Llc,406252-0042,40,Yellowstone,810 WICKS LANE,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31482,The Springs At Grand Park,406-652-6989,65,Yellowstone,1221 28TH ST. WEST,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,12579,The Vista At Mission Ridge,406-655-5300,70,Yellowstone,3840 RIMROCK RD,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,31530,Tlc Assisted Living,406-320-0203,24,Yellowstone,1341 ROSEBUD LANE,Billings,MT,59101.0,8/2/21,MT
ASSISTED LIVING FACILITY,13164,Tsmm Management Llc Dba Sweetwater Retirement Community,406-651-8111,90,Yellowstone,3140 SWEETWATER DRIVE,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,31494,Wyndstone,406-655-7700,36,Yellowstone,1920 WYNDSTONE WAY,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,31542,Your Home Away From Home Assisted Living,949-293-0877,8,Yellowstone,1839 VENUS CIRCLE,Billings,MT,59105.0,8/2/21,MT
ASSISTED LIVING FACILITY,13524,Beargrass Suites,406-225-3101,9,Jefferson,400 W THOMPSON ST,Boulder,MT,59632.0,8/2/21,MT
ASSISTED LIVING FACILITY,31550,Birchwood At Hillcrest,406-414-2000,47,Gallatin,1201 HIGHLAND BLVD,Bozeman,MT,59715.0,8/2/21,MT
ASSISTED LIVING FACILITY,31546,Bozeman Lodge,406-522-5452,135,Gallatin,1547 N HUNTERS WAY,Bozeman,MT,59718.0,8/2/21,MT
ASSISTED LIVING FACILITY,13376,Brookdale Spring Meadows,406-587-4570,85,Gallatin,3175 GRAF ST,Bozeman,MT,59715.0,8/2/21,MT
ASSISTED LIVING FACILITY,13277,Hamilton House,406-586-9459,8,Gallatin,9430 HAGGERTY LN,Bozeman,MT,59715.0,8/2/21,MT
ASSISTED LIVING FACILITY,12587,High Country Care,406-582-9068,7,Gallatin,8659 HAGGERTY LANE,Bozeman,MT,59715.0,8/2/21,MT
ASSISTED LIVING FACILITY,12855,Highgate Senior Living,406-587-5100,120,Gallatin,2219 WEST OAK STREET,Bozeman,MT,59718.0,8/2/21,MT
ASSISTED LIVING FACILITY,31539,Hsre Springs Vii Llc Dba Springs At Bozeman,406-556-8000,105,Gallatin,2632 CATRON STREET,Bozeman,MT,59718.0,8/2/21,MT
ASSISTED LIVING FACILITY,12744,Hyalite Country Care,406-219-3241,12,Gallatin,6040 S 3RD AVENUE,Bozeman,MT,59715.0,8/2/21,MT
ASSISTED LIVING FACILITY,12826,Spring Creek Inn Memory Care Community,406-586-0074,67,Gallatin,1641 HUNTERS WAY,Bozeman,MT,59718.0,8/2/21,MT
ASSISTED LIVING FACILITY,12642,The Chalet,406-587-5100,24,Gallatin,2223 WEST OAK STREET,Bozeman,MT,59718.0,8/2/21,MT
ASSISTED LIVING FACILITY,13186,"Bee Hive Homes Of Butte, Inc.",406-723-6663,12,Silver Bow,2900 ELM ST,Butte,MT,59701.0,8/2/21,MT
ASSISTED LIVING FACILITY,13188,"Bee Hive Homes Of Butte, Inc.",406-723-6665,11,Silver Bow,2920 ELM ST,Butte,MT,59701.0,8/2/21,MT
ASSISTED LIVING FACILITY,13481,"Bee Hive Homes Of Butte, Inc.",406-723-5556,13,Silver Bow,2930 ELM ST,Butte,MT,59701.0,8/2/21,MT
ASSISTED LIVING FACILITY,31458,Big Sky Senior Living On Waterford Way,406-494-4900,130,Silver Bow,3701 ELIZABETH WARREN AVE,Butte,MT,59701.0,8/2/21,MT
ASSISTED LIVING FACILITY,13160,Greenwood Assisted Living,406-782-9004,9,Silver Bow,# 5 E GREENWOOD,Butte,MT,59701.0,8/2/21,MT
ASSISTED LIVING FACILITY,31481,The Springs At Butte,406-494-0083,65,Silver Bow,300 MOUNT HIGHLAND DRIVE,Butte,MT,59701.0,8/2/21,MT
ASSISTED LIVING FACILITY,13538,The Village Senior Residence,406-549-1300,117,Missoula,2815 OLD FORT RD,Missoula,MT,59804.0,8/2/21,MT
ASSISTED LIVING FACILITY,12964,Westpark Village,406-652-4886,181,Yellowstone,2351 SOLOMON AVE,Billings,MT,59102.0,8/2/21,MT
ASSISTED LIVING FACILITY,13406,Wheat Country Estate,406-759-5787,18,Liberty,111 6TH ST W,Chester,MT,59522.0,8/2/21,MT
ASSISTED LIVING FACILITY,31527,"Montana Quality Living, Llc Dba Bee Hive Homes Of Choteau",406-466-5559,11,Teton,1006 W DIVISION,Choteau,MT,59422.0,8/2/21,MT
ASSISTED LIVING FACILITY,31552,Teton Peak Assisted Living,406-466-3033,20,Teton,24 MAIN AVE N,Choteau,MT,59422.0,8/2/21,MT
ASSISTED LIVING FACILITY,31549,Conroy Care Assisted Living,406-740-1820,10,Mc Cone,806 11TH STREET,Circle,MT,59215.0,8/2/21,MT
ASSISTED LIVING FACILITY,31522,Golden Options,406-422-5431,15,Jefferson,12 BESSLER RD,Montana City,MT,,8/2/21,MT
ASSISTED LIVING FACILITY,13253,Bee Hive Homes Of Columbia Falls - Grinell,406-892-4100,15,Flathead,1660 13TH STREET WEST,Columbia Falls,MT,59912.0,8/2/21,MT
ASSISTED LIVING FACILITY,13471,Bee Hive Homes Of Columbia Falls - Swiftcurrent,406-892-4100,19,Flathead,1660 13TH ST WEST,Columbia Falls,MT,59912.0,8/2/21,MT
ASSISTED LIVING FACILITY,31540,Great Northern Assisted Living Beehive Homes Of Columbia Falls,(406)892-4102,19,Flathead,1660 13TH ST W,Columbia Falls,MT,59912.0,8/2/21,MT
ASSISTED LIVING FACILITY,31524,Hidden Meadow Assisted Living,406-897-1017,8,Flathead,240 HIDDEN MEADOW LANE,Columbia Falls,MT,59912.0,8/2/21,MT
ASSISTED LIVING FACILITY,31523,Hidden Meadow Memory Care,406-897-1017,32,Flathead,240 HIDDEN MEADOW LANE,Columbia Fls,MT,59912.0,8/2/21,MT
ASSISTED LIVING FACILITY,13159,Timber Creek Village,406-892-3400,39,Flathead,375 MEADOW LAKE BLVD,Columbia Fls,MT,59912.0,8/2/21,MT
ASSISTED LIVING FACILITY,13555,Meadowlark Assisted Living And Retirement,406-322-6150,16,Stillwater,443 QUARRY STREET,Columbus,MT,59019.0,8/2/21,MT
ASSISTED LIVING FACILITY,31528,Montana Quality Living Llc Dba Bee Hive Homes Of Conrad,406-271-9171,11,Pondera,205 N WISCONSIN,Conrad,MT,59425.0,8/2/21,MT
ASSISTED LIVING FACILITY,13497,Arron Care Home,406-961-3458,13,Ravalli,777 OILWELL,Corvallis,MT,59828.0,8/2/21,MT
ASSISTED LIVING FACILITY,31538,"Montana Quality Living, Llc Dba Bee Hive Homes Of Cut Bank",406-370-3507,11,Glacier,318 EAST MAIN ST,Cut Bank,MT,59427.0,8/2/21,MT
ASSISTED LIVING FACILITY,31519,Wel-Life At Glacier,406-873-5600,16,Glacier,707 3RD ST  SE,Cut Bank,MT,59427.0,8/2/21,MT
ASSISTED LIVING FACILITY,12774,Renaissance Senior Care - Deer Lodge,406-846-3342,14,Powell,702 TUMBLEWEED LN,Deer Lodge,MT,59722.0,8/2/21,MT
ASSISTED LIVING FACILITY,12889,"Renaissance Senior Care, Dillon South",406-683-4200,15,Beaverhead,329 SOUTHSIDE BLVD,Dillon,MT,59725.0,8/2/21,MT
ASSISTED LIVING FACILITY,13049,Renaissance Senior Care-Dillon,406-683-4002,15,Beaverhead,1025 EAST CENTER,Dillon,MT,59725.0,8/2/21,MT
ASSISTED LIVING FACILITY,13475,The Legacy,406-683-6867,11,Beaverhead,1000 HWY 91 SOUTH,Dillon,MT,59725.0,8/2/21,MT
ASSISTED LIVING FACILITY,31465,The Legacy Assisted Living Llc,406-683-6867,15,Beaverhead,1000 HWY 91 SOUTH,Dillon,MT,59725.0,8/2/21,MT
ASSISTED LIVING FACILITY,13048,Home Sweet Home,406-889-5915,8,Lincoln,144 TOBACCO VALLEY VIEW DRIVE,Eureka,MT,59917.0,8/2/21,MT
ASSISTED LIVING FACILITY,31531,Front Range Assisted Living,406-231-0917,26,Chouteau,2511 FRONT STREET,Fort Benton,MT,59442.0,8/2/21,MT
ASSISTED LIVING FACILITY,13559,Front Range Assisted Living Inc,406-467-2407,27,Teton,615 5TH AVE NORTH,Fairfield,MT,59436.0,8/2/21,MT
ASSISTED LIVING FACILITY,13434,Kathy'S Place,406-273-6826,10,Ravalli,328 FESCUE SLOPE,Florence,MT,59833.0,8/2/21,MT
ASSISTED LIVING FACILITY,12703,Tender Loving Care (Tlc) Assisted Living,406-232-0104,15,Rosebud,200 VINE STREET,Forsyth,MT,59327.0,8/2/21,MT
ASSISTED LIVING FACILITY,13482,Prairie Ridge Village,406-228-2208,59,Valley,521 4TH AVE S,Glasgow,MT,59230.0,8/2/21,MT
ASSISTED LIVING FACILITY,13399,The Heritage,406-377-7700,16,Dawson,1313 N MERRILL AVE,Glendive,MT,59330.0,8/2/21,MT
ASSISTED LIVING FACILITY,13183,Azalea Place Adult Family Home Inc,406-452-4500,8,Cascade,1 PROSPECT DRIVE,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13274,Bee Hive Homes Great Falls Clover Home,406-268-1391,17,Cascade,2816 15TH AVE S,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,31558,Bee Hive Homes Of  Great Falls - Pine Tree Home,406-721-4142,19,Cascade,1404 25TH STREET SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13442,Bee Hive Homes Of Great Falls Fireweed Home,406-799-4142,15,Cascade,2300 15TH AVENUE SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13077,Bee Hive Homes Of Great Falls Linden House,406-761-3080,23,Cascade,2320 15TH AVE SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13276,Bee Hive Homes Of Great Falls Maple Home,406-315-3143,19,Cascade,2420 15TH AVE SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13192,Bee Hive Homes Of Great Falls Mesquite Home,406-315-2510,19,Cascade,2400 15TH AVE SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13275,Bee Hive Homes Of Great Falls Sage Home,406-727-2528,15,Cascade,2824 15TH AVE S,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13207,Bluebird Assisted Living,406-453-5800,10,Cascade,1101 24TH AVENUE SW,Great Falls,MT,59404.0,8/2/21,MT
ASSISTED LIVING FACILITY,13369,Great Falls Plaza Dba Golden Eagle Plaza,406-268-0100,42,Cascade,1615 9TH ST S,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13435,Highgate Great Falls,406-454-0991,68,Cascade,3000 - 11TH AVE S,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13336,Hosanna Assisted Living Home,406-453-1171,27,Cascade,1521 3RD AVE NORTH,Great Falls,MT,59401.0,8/2/21,MT
ASSISTED LIVING FACILITY,13218,Meadowlark Assisted Living,406-452-6400,21,Cascade,1009 3RD AVENUE NORTH,Great Falls,MT,59401.0,8/2/21,MT
ASSISTED LIVING FACILITY,13655,Mt Gems Inc. Dba Ruby House,406-453-0607,19,Cascade,811 2ND AVE SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13279,Mt Gems Inc. Dba Sapphire House,406-453-5720,12,Cascade,815 2ND AVENUE SOUTH,Great Falls,MT,59406.0,8/2/21,MT
ASSISTED LIVING FACILITY,13379,Park View Assisted Living,406-452-5812,14,Cascade,2201 11TH ST SW,Great Falls,MT,59404.0,8/2/21,MT
ASSISTED LIVING FACILITY,31461,Rainbow Senior Living Of Great Falls,406-761-6661,106,Cascade,20 3RD ST N,Great Falls,MT,59401.0,8/2/21,MT
ASSISTED LIVING FACILITY,12603,Renaissance Senior Care - Clark,406-453-2882,9,Cascade,2010 16TH AVE SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,12602,Renaissance Senior Care - Lewis,406-771-0374,11,Cascade,2000 16TH AVE S,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13210,Rivers Edge Assisted Living,406-952-0262,14,Cascade,4800 LOWER RIVER RD,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,12787,The Goldstone,406-452-1239,14,Cascade,5200 9TH AVE S,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,31545,The Lodge Senior Living Community,406-771-7440,112,Cascade,1801 9TH ST. SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,31463,The Timbers And Reflections At The Grandview At Benefis,406-455-5960,71,Cascade,3015 18TH AVENUE SOUTH,Great Falls,MT,59405.0,8/2/21,MT
ASSISTED LIVING FACILITY,13503,Bee Hive Homes Of Hamilton,406-529-7855,18,Ravalli,842 NEW YORK AVE,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,31479,Bee Hive Homes Of Hamilton #2,406-375-5464,18,Ravalli,836 NEW YORK AVE,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,31514,Bee Hive Homes Of Hamilton #3,406-545-5737,18,Ravalli,816 NEW YORK AVE,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,13187,Sapphire Lutheran Homes,406-363-2800,13,Ravalli,501 NORTH 10TH STREET,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,13540,The Discovery Care Center Pc,406-363-2273,35,Ravalli,601 10TH AVE NORTH,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,31517,The Hamilton Assisted Living And Memory Care,406-363-5683,16,Ravalli,235 OLD CORVALLIS ROAD,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,13124,The Remington At Sapphire Lutheran Home,406-375-9047,35,Ravalli,841 RUNNING CREEK,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,31484,West Hills,406-363-4673,8,Ravalli,121 WEST HILLS WAY,Hamilton,MT,59840.0,8/2/21,MT
ASSISTED LIVING FACILITY,12785,Big Horn Senior Living,406-665-2802,11,Big Horn,200 N MITCHELL,Hardin,MT,59034.0,8/2/21,MT
ASSISTED LIVING FACILITY,12818,Care & Comfort Home,406-265-2800,10,Hill,1204 CLEVELAND AVE,Havre,MT,59501.0,8/2/21,MT
ASSISTED LIVING FACILITY,31535,Care & Comfort Home Building 2,406-262-7504,7,Hill,607 4TH STREET,Havre,MT,59501.0,8/2/21,MT
ASSISTED LIVING FACILITY,13402,Northern Montana Care Center,406-265-2238,10,Hill,24 13TH ST,Havre,MT,59501.0,8/2/21,MT
ASSISTED LIVING FACILITY,31471,Timber Creek Village,406-265-3111,40,Hill,155 34TH AVENUE WEST,Havre,MT,59501.0,8/2/21,MT
ASSISTED LIVING FACILITY,31491,Caslen Living Centers Inc. Dba Son Heaven Assisted Living I,406-449-0229,15,Lewis And Clark,2510 FERNDALE,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31492,Caslen Living Centers Inc. Dba Son Heaven Assisted Living Ii,406-495-0436,16,Lewis And Clark,2540 FERNDALE,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31509,Edgewood Helena Senior Living Llc,406-502-1001,80,Lewis And Clark,3207 COLONIAL DR,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,13380,Masonic Home Of Montana,406-458-5431,50,Lewis And Clark,2010 MASONIC HOME RD,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31504,Quality Senior Care Llc Dba Bee Hive Homes Of Helena 11,406-495-8173,12,Lewis And Clark,11 BUMBLE BEE CT,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31505,Quality Senior Care Llc Dba Bee Hive Homes Of Helena 13,406-495-9005,13,Lewis And Clark,13 BUMBLE BEE CT,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31506,Quality Senior Care Llc Dba Bee Hive Homes Of Helena 16,406-457-9626,12,Lewis And Clark,16 BUMBLE BEE CT,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31507,Quality Senior Care Llc Dba Bee Hive Homes Of Helena 18,406-457-0092,11,Lewis And Clark,18 BUMBLE BEE CT,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31508,Quality Senior Care Llc Dba Bee Hive Homes Of Helena 9,406-443-6577,17,Lewis And Clark,9 BUMBLE BEE CT,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31478,Renaissance Senior Care - Stone Meadow,406-449-5489,18,Lewis And Clark,3680 TRAVERTINE WAY,Helena,MT,59602.0,8/2/21,MT
ASSISTED LIVING FACILITY,31547,Renaissance Senior Care Wildwood North,406-449-7587,18,Lewis And Clark,2530 WILDWOOD LANE,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31548,Renaissance Senior Care Wildwood South,406-449-7587,18,Lewis And Clark,2520 WILDWOOD LANE,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,13162,Renaissance Senior Care-Helena,406-449-1258,17,Lewis And Clark,525 SADDLE DRIVE,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31503,Sharon'S Sunshine Care Llc,406-458-5535,6,Lewis And Clark,3325 BALDY DR.,Helena,MT,59602.0,8/2/21,MT
ASSISTED LIVING FACILITY,31487,The Legacy Assisted Living Llc,406-442-2045,40,Lewis And Clark,624 PTARMIGAN,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,13526,Touchmark On Saddle Drive,406-449-4900,120,Lewis And Clark,915 SADDLE DR,Helena,MT,59601.0,8/2/21,MT
ASSISTED LIVING FACILITY,31466,Morning Star Of Billings,406-652-9303,106,Yellowstone,4001 BELL AVE,Billings,MT,59106.0,8/2/21,MT
ASSISTED LIVING FACILITY,13378,"Strawberry Roan Stable Living, Llc",406-473-2206,11,Wheatland,109 HIGH STREET,Judith Gap,MT,59453.0,8/2/21,MT
ASSISTED LIVING FACILITY,31525,"Echoview Assisted Living, Llc",406-314-2233,8,Flathead,1373 WHITEFISH STAGE,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,13466,Edgewood Kalispell Senior Living Llc,406-203-1129,26,Flathead,141 INTERSTATE LN,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,13504,Friendship House Inc,406-257-8375,18,Flathead,606 2ND AVE W,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,13217,"Immanuel Lutheran Communities, D/B/A Buffalo Hill Terrace",406-752-9624,140,Flathead,40 CLAREMONT ST,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,12613,Prestige Assisted Living At Kalispell,406-756-1818,73,Flathead,125 GLENWOOD DRIVE,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,13535,Renaissance Senior Care - Liberty,406-755-4483,13,Flathead,645 LIBERTY STREET,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,31544,Tenderheart Senior Living Inc Dba Bee Hive Homes Of Kalispell 2,406-871-8667,20,Flathead,244 STILLWATER ROAD #2,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,31510,Tenderheart Senior Living Inc. Dba Bee Hive Homes Of Kalispell,406-752-4902,20,Flathead,242 STILLWATER ROAD,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,31521,Wel-Life At Kalispell,406-756-8688,36,Flathead,156 THREE MILE DRIVE,Kalispell,MT,59901.0,8/2/21,MT
ASSISTED LIVING FACILITY,13523,Browns Landing At The Crossings,406-628-1200,13,Yellowstone,600 ROUNDHOUSE DRIVE,Laurel,MT,59044.0,8/2/21,MT
ASSISTED LIVING FACILITY,13254,Richardson Cottage,406-628-5000,13,Yellowstone,602 ROUNDHOUSE DRIVE,Laurel,MT,59044.0,8/2/21,MT
ASSISTED LIVING FACILITY,12965,"Tendernest Llc, 2L",406-628-7300,16,Yellowstone,118 W 12TH ST,Laurel,MT,59044.0,8/2/21,MT
ASSISTED LIVING FACILITY,13507,"Caslen Living Centers Inc, Dba New Horizons- Lewistown I",406-538-9853,13,Fergus,221 MCKINLEY ST,Lewistown,MT,59457.0,8/2/21,MT
ASSISTED LIVING FACILITY,13506,"Caslen Living Centers Inc, Dba New Horizons-Lewistown Ii",406-538-9853,14,Fergus,217 MCKINLEY,Lewistown,MT,59457.0,8/2/21,MT
ASSISTED LIVING FACILITY,31555,"Strawberry Roan Stable Living Ii, Llc",406-538-3610,15,Fergus,80007 US HIGHWAY 87,Lewistown,MT,59457.0,8/2/21,MT
ASSISTED LIVING FACILITY,31520,The Villa Assisted Living,406-538-3758,35,Fergus,404 SUMMIT AVENUE,Lewistown,MT,59457.0,8/2/21,MT
