State Facility Type 1 Literal,License Number,Facility Name,Phone Number,Capacity,County,Address,"City
","State
","Zip Code
"
Assisted Living Facility,31508,QUALITY SENIOR CARE LLC DBA BEE HIVE HOMES OF HELENA 9,406-443-6577,17,Lewis And Clark,9 Bumble Bee Ct,Helena,MT,59601
Assisted Living Facility,31478,Renaissance Senior Care - Stone Meadow,406-449-5489,18,Lewis And Clark,3680 Travertine Way,Helena,MT,59602
Assisted Living Facility,31547,Renaissance Senior Care Wildwood North,406-449-7587,18,Lewis And Clark,2530 Wildwood Lane,Helena,MT,59601
Assisted Living Facility,31548,Renaissance Senior Care WIldwood South,406-449-7587,18,Lewis And Clark,2520 Wildwood Lane,Helena,MT,59601
Assisted Living Facility,13162,RENAISSANCE SENIOR CARE-HELENA,406-449-1258,17,Lewis And Clark,525 SADDLE DRIVE,Helena,MT,59601
Assisted Living Facility,31503,Sharon's Sunshine Care LLC,406-458-5535,6,Lewis And Clark,3325 Baldy Dr.,Helena,MT,59602
Assisted Living Facility,31487,The Legacy Assisted Living LLC,406-442-2045,40,Lewis And Clark,624 Ptarmigan,Helena,MT,59601
Assisted Living Facility,13526,TOUCHMARK ON SADDLE DRIVE,406-449-4900,120,Lewis And Clark,915 SADDLE DR,Helena,MT,59601
Assisted Living Facility,31466,MORNING STAR OF BILLINGS,406-652-9303,106,Yellowstone,4001 BELL AVE,Billings,MT,59106
Assisted Living Facility,13378,"STRAWBERRY ROAN STABLE LIVING, LLC",406-473-2206,11,Wheatland,109 HIGH STREET,Judith Gap,MT,59453
Assisted Living Facility,31525,"Echoview Assisted Living, LLC",406-314-2233,8,Flathead,1373 Whitefish Stage,Kalispell,MT,59901
Assisted Living Facility,13466,Edgewood Kalispell Senior Living LLC,406-203-1129,26,Flathead,141 INTERSTATE LN,Kalispell,MT,59901
Assisted Living Facility,13504,FRIENDSHIP HOUSE INC,406-257-8375,18,Flathead,606 2ND AVE W,Kalispell,MT,59901
Assisted Living Facility,13217,"Immanuel Lutheran Communities, d/b/a Buffalo Hill Terrace",406-752-9624,140,Flathead,40 CLAREMONT ST,Kalispell,MT,59901
Assisted Living Facility,12613,PRESTIGE ASSISTED LIVING AT KALISPELL,406-756-1818,73,Flathead,125 GLENWOOD DRIVE,Kalispell,MT,59901
Assisted Living Facility,13535,RENAISSANCE SENIOR CARE - LIBERTY,406-755-4483,13,Flathead,645 LIBERTY STREET,Kalispell,MT,59901
Assisted Living Facility,31544,Tenderheart Senior Living Inc dba Bee Hive Homes of Kalispell 2,406-871-8667,20,Flathead,244 Stillwater Road #2,Kalispell,MT,59901
Assisted Living Facility,31510,TenderHeart Senior Living Inc. dba Bee Hive Homes of Kalispell,406-752-4902,20,Flathead,242 Stillwater Road,Kalispell,MT,59901
Assisted Living Facility,31521,WEL-Life at Kalispell,406-756-8688,36,Flathead,156 Three Mile Drive,Kalispell,MT,59901
Assisted Living Facility,13523,BROWNS LANDING AT THE CROSSINGS,406-628-1200,13,Yellowstone,600 ROUNDHOUSE DRIVE,Laurel,MT,59044
Assisted Living Facility,13254,RICHARDSON COTTAGE,406-628-5000,13,Yellowstone,602 ROUNDHOUSE DRIVE,Laurel,MT,59044
Assisted Living Facility,12965,"TENDERNEST LLC, 2L",406-628-7300,16,Yellowstone,118 W 12TH ST,Laurel,MT,59044
Assisted Living Facility,13507,"CASLEN LIVING CENTERS INC, DBA NEW HORIZONS- LEWISTOWN I",406-538-9853,13,Fergus,221 McKinley ST,Lewistown,MT,59457
Assisted Living Facility,13506,"CASLEN LIVING CENTERS INC, DBA NEW HORIZONS-LEWISTOWN II",406-538-9853,14,Fergus,217 McKinley,Lewistown,MT,59457
Assisted Living Facility,31555,"Strawberry Roan Stable Living II, LLC",406-538-3610,15,Fergus,80007 US Highway 87,Lewistown,MT,59457
Assisted Living Facility,31520,The Villa Assisted Living,406-538-3758,35,Fergus,404 Summit Avenue,Lewistown,MT,59457
Assisted Living Facility,31541,Home Away from Home Inc.,406-293-2768,12,Lincoln,39042 US Hwy 2,Libby,MT,59923
Assisted Living Facility,13423,CASLEN LIVING CENTERS INC-LIVINGSTON,406-222-0797,30,Park,1301 WINEGLASS LANE,Livingston,MT,59047
Assisted Living Facility,31532,Kenhodro Inc. dba Frontier Assisted Living Center,406-222-6102,52,Park,121 S 3rd Street,Livingston,MT,59047
Assisted Living Facility,31554,HI-LINE RETIREMENT CENTER INC.,406-654-1190,20,Phillips,801 S 3RD ST W,Malta,MT,59538
Assisted Living Facility,13175,"CHURCHILL  RETIREMENT HOME, INC",406-282-7631,16,Gallatin,6151 SHADY REST ST,Manhattan,MT,59741
Assisted Living Facility,13441,PARKHAVEN,406-282-7488,62,Gallatin,100 HAMILTON COURT,Manhattan,MT,59741
Assisted Living Facility,12892,COTTONWOOD CARE HOME,406-232-2273,10,Custer,3420 BRISBON,Miles City,MT,59301
Assisted Living Facility,31485,Hearts & Home Assisted Living & Respite Care LLC,406-232-8886,9,Custer,1018 Pleasant St.,Miles City,MT,59301
Assisted Living Facility,13473,HOMESTEAD HOMES INC,406-234-6670,12,Custer,2706 PLEASANT ST,Miles City,MT,59301
Assisted Living Facility,13421,PARKVIEW CARING,406-234-9289,9,Custer,106 S STREVELL,Miles City,MT,59301
Assisted Living Facility,31477,AT HOME ALSO,406-549-8127,12,Missoula,1300 SPEEDWAY AVE,Missoula,MT,59802
Assisted Living Facility,13251,AT HOME ASSISTED LIVING,406-549-8127,20,Missoula,1300 SPEEDWAY,Missoula,MT,59802
Assisted Living Facility,13252,Edgewood Missoula Senior Living LLC,406-549-9660,25,Missoula,2815 PALMER,Missoula,MT,59802
Assisted Living Facility,13398,FLOR-HAVEN HOME (PC),406-542-2598,4,Missoula,433 S 3RD ST W,Missoula,MT,59806
Assisted Living Facility,13184,MISSOULA HEALTH & REHAB,406-549-0988,22,Missoula,3018 RATTLESNAKE DR,Missoula,MT,59802
Assisted Living Facility,12636,PLEASANT VIEW PERSONAL CARE HOME,406-728-8675,8,Missoula,4322 W CENTRAL AVE,Missoula,MT,59804
Assisted Living Facility,13424,"QUALITY ASSISTED CARE INC, BEE HIVE HOMES OF MISSOULA #1",406-728-0115,18,Missoula,2406 RIVER RD,Missoula,MT,59804
Assisted Living Facility,13502,"QUALITY ASSISTED CARE INC, BEE HIVE HOMES OF MISSOULA #2",406-721-0549,12,Missoula,2406 RIVER RD,Missoula,MT,59804
Assisted Living Facility,13500,"QUALITY ASSISTED CARE INC, BEE HIVE HOMES OF MISSOULA #3",406-543-0605,14,Missoula,2406 RIVER RD,Missoula,MT,59804
Assisted Living Facility,12824,"QUALITY ASSISTED CARE INC, BEE HIVE HOMES OF MISSOULA #4",406-728-8557,14,Missoula,2406 RIVER RD,Missoula,MT,59804
Assisted Living Facility,13498,"QUALITY ASSISTED CARE INC, BEE HIVE HOMES OF MISSOULA #5",406-721-3446,15,Missoula,2406 RIVER ROAD,Missoula,MT,59804
Assisted Living Facility,12789,ROSETTA  ASSISTED LIVING,406-728-5822,17,Missoula,2810 GREAT NORTHERN LOOP,Missoula,MT,59808
Assisted Living Facility,31464,Rosetta Assisted Living - Missoula #2,406-728-5822,17,Missoula,2814 Great Northern Loop,Missoula,MT,59808
Assisted Living Facility,31556,Senescence Care Assisted Living: The Vista's House,406-203-7972,8,Missoula,3677 Brandon Way,Missoula,MT,59803
Assisted Living Facility,31512,Senescense Care Inc.,406-203-7972,8,Missoula,3000 St Thomas Dr,Missoula,MT,59803
Assisted Living Facility,31536,The Auberge at Missoula Valley,406-542-7009,120,Missoula,3620 American Way,Missoula,MT,59808
Assisted Living Facility,13055,THE SPRINGS AT MISSOULA,406-273-0101,80,Missoula,3710 AMERICAN WAY,Missoula,MT,59808
Assisted Living Facility,31560,La Casa Personal Care,406-765-1669,32,Sheridan,408 Lasater Avenue,Plentywood,MT,59254
Assisted Living Facility,13333,ST JOSEPH ASSISTED LIVING,406-883-1011,47,Lake,11 17TH AVE E,Polson,MT,59860
Assisted Living Facility,13374,THE PINES OF POLSON,406-883-1021,12,Lake,405 6TH AVE W,Polson,MT,59860
Assisted Living Facility,13532,The Retreat,406-883-4897,15,Lake,1303 RIVENDELL COURT,Polson,MT,59860
Assisted Living Facility,13529,THE WILLOWS,406-446-1020,25,Carbon,2475 NORTH BROADWAY,Red Lodge,MT,59068
Assisted Living Facility,31543,Heartland Assisted Living,406-281-0880,10,Carbon,8874 US Highway 212,Roberts,MT,59070
