Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Type,Classification
The Hearth at Greenpoint Senior Living,150 Old Liverpool Road,Onondaga,Liverpool,13088,(315) 453-7911,AF0162B,"Hearth Management, L.L.C.",520-S-129,139,EHP,PPHA
The Amsterdam at Harborside,300 East Overlook,Nassau,Port Washington,11050,(516) 472-6626,AF0681A,"Amsterdam House Continuing Care Retirement Community, Inc.",400-S-320,55,EHP,NFP
Brentwood Adult Home,147 Second Avenue,Suffolk,Brentwood,11717,(631) 273-7204,AF0210A,Sarah Halpert Simon Halpert,700-F-013,30,AH,PPHA
Peregrine Senior Living at Colonie,5 South Family Drive,Albany,Colonie,12205,(518) 456-4500,AF0753A,"Peregrine Senior Living of Colonie, LLC",000-F-312,68,AH,PPHA
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,(516) 233-3100,AF0643A,"Engel Burman Senior Housing at North Hills, Inc.",400-F-310,60,AH,PPHA
Chenango County Home Preston Manor,"1150 County Road 4  RFD #2, Box 203",Chenango,Oxford,13830,(607) 334-9428,AF0024A,Chenango County D.S.S.,080-N-007,48,AH,PUBL
The New Golden Acres SP LLC,11 Prospect Street,Rockland,Spring Valley,10977,(845) 356-2440,AF0253C,The New Golden Acres SP LLC,620-F-091,79,AH/ALP,PPHA
Eden Heights,4071 Hardt Road,Erie,Eden,14057,(716) 992-4466,AF0487B,"Eden Heights of Eden Operating, LLC",240-F-900,120,AH,PPHA
Atria on the Hudson,321 North Highland Avenue,Westchester,Ossining,10562,(914) 762-1980,AF0684B,"ATR New York LH, Inc.",800-S-147,185,EHP,PPHA
Sunrise of Huntington,300 West Hills Road,Suffolk,Huntington Station,11746,(631) 760-2044,AF0913A,"GWC-West Hills, Inc.",700-F-959,130,AH,PPHA
Wheatfield Commons,3920 Forest Parkway,Niagara,North Tonawanda,14120,(716) 475-7600,AF0756A,"DePaul Adult Care Communities, Inc.",500-E-014,114,AH,NFP
The Bristal at White Plains,305 North Street,Westchester,White Plains,10605,(914) 984-5343,AF0700A,"EBC White Plains, LLC",800-S-145,190,EHP,PPHA
Westchester Center for Independent and Assisted Living,75 Stratton Street South,Westchester,Yonkers,10701,(914) 787-7400,AF0692A,"Westchester ALP Management, LLC",800-F-990,195,AH/ALP,PPHA
Peregrine's Landing at Orchard Park,101 Sterling Drive,Erie,Orchard Park,14127,(716) 675-1022,AF0466B,"Peregrine Properties of Upstate, LLC",240-F-827,52,AH,PPHA
Brookdale Pittsford,159 Sully's Trail,Monroe,Pittsford,14534,(585) 249-9990,AF0468A,"Perinton Clare Bridge Operator, Inc.",370-F-217,52,AH,PPHA
The Pavilion at Pine Valley,661 North Main Street,Rockland,Spring Valley,10977,(845) 426-5600,AF0741A,"TPPV, LLC",620-F-095,56,AH/ALP,PPHA
The Bristal at Lynbrook,8 Freer Street,Nassau,Lynbrook,11563,(516) 593-2424,AF0387D,"Lynbrook Senior Care, LLC",400-F-335,200,AH/ALP,PPHA
The Pines at Heartwood,2405 Fifteenth Street,Rensselaer,Troy,12180,(518) 266-9654,AF0057B,"Troy Crossings, LLC",600-F-250,86,AH/ALP,PPHA
White Plains Guest Home for Adults,32 Ridgeview Avenue,Westchester,White Plains,10606,(914) 949-8984,AF0436B,"Family Services of Westchester, Inc.",800-E-134,15,AH,NFP
Fredonia Place of Williamsville,201 Reist Street,Erie,Williamsville,14221,(716) 632-2155,AF0921A,SOSF Ventures L.P.,240-F-904,99,AH,PPHA
Clara Welch Thanksgiving Home,48 Grove Street,Otsego,Cooperstown,13326,(607) 547-8844,AF0028A,"Clara Welch Thanksgiving Home, Inc.",570-E-002,26,AH,NFP
Keepsake Village at Greenpoint,138 Old Liverpool Road,Onondaga,Liverpool,13088,(315) 451-4567,AF0163A,"Greenpoint Special Needs, Inc.",520-F-143,57,AH,PPHA
NY Found-Sr Citizens EHP#2 Brown Gardens,225 East 93rd Street,New York,New York,10128,(212) 369-5523,AF0339A,"New York Foundation for Senior Citizens, Inc.",420-S-272,47,EHP,NFP
"Sutton Gardens, LLC",147-02 34th Avenue,Queens,Flushing,11354,(718) 461-1923,AF0238C,"Sutton Gardens, LLC",590-F-326,47,AH,PPHA
Hilltop Manor West,286 Deyo Hill Road,Broome,Johnson City,13790,(607) 798-7818,AF0061B,UMH NY Corp.,030-E-008,98,AH/ALP,NFP
St. Louise Manor,861 Front Street,Broome,Binghamton,13905,(607) 724-4000,AF0116C,UMH NY Corp.,030-E-052,52,AH/ALP,NFP
Norwegian Christian Home and Health Center,1250-1270 67th Street,Kings,Brooklyn,11219,(718) 232-2322,AF0337A,Norwegian Christian Home and Health Center,331-E-030,88,AH/ALP,NFP
Assisted Living at Northern Riverview,89 South Route 9W,Rockland,Haverstraw,10927,(845) 429-4300,AF0198A,"Assisted Living at Northern Riverview, Inc.",620-E-019,105,AH/ALP,NFP
Brookdale Manlius,100 Flume Road,Onondaga,Manlius,13104,(315) 682-9261,AF0844A,"WW Manlius Operator, Inc.",520-S-137,86,EHP,PPHA
Walden Place,839 Bennie Rd.,Cortland,Cortland,13045,(607) 756-8101,AF0585B,"SL Walden, LLC",210-F-030,86,AH,PPHA
Pinecrest Home For Adults,7 Charlesworth Avenue,Steuben,Avoca,14809,(607) 566-2252,AF0543A,Pinecrest Voluntary Home For The Aged,690-E-001,17,AH,NFP
Hilton East Assisted Living,231 East Avenue,Monroe,Hilton,14468,(585) 392-7171,AF0515A,Hilton East Assisted Living LLC,370-F-208,205,AH/ALP,PPHA
