Facility Name,Address,County,City,Zip Code,Phone Number,Facility ID,Licensee,License Number,Capacity,Date Accessed,State Facility Type 1 Literal,State Facility Type 2 Literal,Ownership Type,State
The Bristal At West Babylon,520 MONTAUK HIGHWAY (UNIT A),Suffolk,West Babylon,11704,(631) 635-5501,AF0755A,EB CARE AT WEST BABYLON LLC,700-S-313,187,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Elderwood Village At Ticonderoga,101 ADIRONDACK DRIVE SUITE 201,Essex,Ticonderoga,12883,(518) 585-3871,AF0608B,"1019 WICKER STREET AL OPERATING COMPANY, LLC",260-F-020,23,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Atria Tanglewood,125 OCEAN AVENUE,Nassau,Lynbrook,11563,(516) 596-3400,AF0639C,"ATR NEW YORK LH, INC.",400-F-306,160,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
L'Dor,156 WEST CLARKSTOWN ROAD,Rockland,New City,10956,(845) 356-4108,AF0290B,ELLIOT MARKOWITZ,620-F-076,44,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Dominican Village Enriched Housing Program 1,565-567 ALBANY AVENUE,Suffolk,Amityville,11701,(631) 842-6091,AF0237A,DOMINICAN VILLAGE EHP,700-S-287,66,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
The Terrace At Newark,208 ROUTE 88 SOUTH,Wayne,Newark,14513,(315) 331-5282,AF0671A,"THE TERRACE AT NEWARK, INC.",770-F-037,71,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Lockport Presbyterian Home,327 HIGH STREET,Niagara,Lockport,14094,(716) 434-8805,AF0524B,"LOCKPORT PRESBYTERIAN HOME, INC.",500-E-016,60,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Heather Heights Of Pittsford,160 WEST JEFFERSON ROAD,Monroe,Pittsford,14534,(585) 264-1600,AF0508A,"HEATHER HEIGHTS OF PITTSFORD, INC.",370-F-220,120,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Marjorie Doyle Rockwell Center,18 PASINELLA WAY,Albany,Cohoes,12047,(518) 238-4150,AF0077A,"MARJORIE DOYLE ROCKWELL CENTER, INC.",000-E-283,52,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Sunrise Of New City,233 NORTH MAIN STREET,Rockland,New City,10956,(845) 708-7855,AF0802A,"SZR NEW YORK LH, INC.",620-F-089,120,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Artis Senior Living Of Chestnut Ridge,801 CHESTNUT RIDGE ROAD,Rockland,Chestnut Ridge,10977,(845) 920-8341,AF0916A,"ARTIS SENIOR LIVING OPERATOR OF CHESTNUT RIDGE, LLC",620-F-099,64,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Orchard Grove Residences,2000 SOUTHWESTERN DRIVE W. E.,Chautauqua,Jamestown,14701,(716) 338-1600,AF0698A,THE GERRY HOMES,060-E-040,36,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Marian Woods,152 RIDGE ROAD,Westchester,Hartsdale,10530,(914) 750-6000,AF0304A,"MARIAN WOODS, INC.",800-E-130,50,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
The Cloisters,171 NORTH MAPLE STREET,Wyoming,Warsaw,14569,(585) 786-8727,AF0472C,"SUNRISE ASSETS, LLC",900-F-005,48,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Brooklyn Boulevard Alp,636 LOUISIANA AVENUE,Kings,Brooklyn,11239,(718) 557-0777,AF0749A,BROOKLYN BOULEVARD ALP LLC,331-S-014,184,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Woodland Pond At New Paltz,100 WOODLAND POND CIRCLE,Ulster,New Paltz,12561,(845) 256-5910,AF0677B,"WOODLAND POND, INC.",740-S-010,60,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
"Fairlawn Adult Home, Inc.",301 EIGHTH AVENUE,Suffolk,East Northport,11731,(631) 757-7666,AF0245B,"FAIRLAWN ADULT HOME, INC.",700-F-898,30,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Gallagher Home,517 NORTH LAKE BOULEVARD,Putnam,Mahopac,10541,(845) 628-7000,AF0730A,"LAKE MAHOPAC HEIGHTS, LLC",580-F-003,16,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Country House In Westchester,2000 BALDWIN ROAD,Westchester,Yorktown Heights,10598,(914) 962-3625,AF0226B,"THE COUNTRY HOUSE IN WESTCHESTER, AN ADULT HOME LLC",800-F-007,100,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Brooklyn Adult Care Center,2830 PITKIN AVENUE,Kings,Brooklyn,11208,(718) 235-0900,AF0213B,"BROOKLYN ADULT CARE CENTER, LLC",331-F-278,210,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Legacy At Cranberry Landing,300 CRANBERRY LANDING DRIVE,Monroe,Rochester,14609,(585) 244-3630,AF0724B,"ROCHESTER OPERATING COMPANY, LLC",370-F-252,78,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Home Of The Good Shepherd Moreau,186-200 BLUEBIRD ROAD,Saratoga,Moreau,12803,(518) 792-1000,AF0708A,"THE CHURCH AID OF THE PROTESTANT EPISCOPAL CHURCH IN THE TOWN OF SARATOGA SPRINGS, INC.",640-E-040,72,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
"Evergreen Place, Enhanced, Assisted Living & Memory Care",90 WEST AVENUE,Monroe,Brockport,14420,(585) 637-3140,AF0567B,WEGMAN FAMILY (BROCKPORT) LLC II,370-S-849,114,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Underwood Manor,"4460 UNION HILL ROAD, R.D. #1",Cattaraugus,Hinsdale,14743,(716) 557-2322,AF0569A,"JOHNSON, RONALD",040-F-024,32,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Claddagh Care (L.B.S.H.) Ehp #1,34 CHURCH STREET SUITE 1,St. Lawrence,Brasher Falls,13613,(315) 389-5149,AF0027A,L.B.S.H. HOUSING,630-S-016,28,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Bronxwood,799 EAST GUN HILL ROAD,Bronx,Bronx,10467,(718) 881-9100,AF0211A,"BRONXWOOD HOME FOR THE AGED, INC.",020-E-004,320,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Loretto Ehp #3 Nottingham,1301 NOTTINGHAM ROAD,Onondaga,Jamesville,13078,(315) 445-9242,AF0176A,"LORETTO ADULT COMMUNITY, INC.",520-S-114,64,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Brookdale Liverpool,4055 LONG BRANCH ROAD,Onondaga,Liverpool,13090,(315) 451-3221,AF0189C,"PAINTED POST, LLC",520-F-165,80,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Sentinel Of Port Jervis,2247 GREENVILLE TURNPIKE,Orange,Port Jervis,12771,(845) 896-0400,AF0905A,"THE SENTINEL OF PORT JERVIS, LLC",540-F-040,160,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Atria Huntington,165 BEVERLY ROAD,Suffolk,Huntington,11746,(631) 549-3533,AF0389B,"ATR NEW YORK LH, INC.",700-F-931,198,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Metro Interfaith Housing,21 NEW STREET,Broome,Binghamton,13903,(607) 772-6766,AF0597A,METRO INTERFAITH HOUSING MANAGEMENT CORPORATION,030-S-046,11,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
The W Assisted Living At Riverdale Home For Adults,6355 BROADWAY,Bronx,Bronx,10471,(718) 549-3300,AF0370B,"ELENER ASSOCIATES, LLC",020-F-133,256,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Vista On 5Th,1261 FIFTH AVENUE,New York,New York,10029,(212) 534-6464,AF0234C,VISTA ON 5TH CORP.,420-S-395,127,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
"Evergreen Court Home For Adults Sp, Llc",65 LAFAYETTE STREET,Rockland,Spring Valley,10977,(845) 356-7700,AF0201C,"EVERGREEN COURT HOME FOR ADULTS SP, LLC",620-F-078,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Memory Garden,560 FAIRMOUNT AVENUE,Chautauqua,Jamestown,14701,(716) 483-2876,AF0687B,"MEMORY GARDEN AT TANGLEWOOD, INC.",060-F-040,56,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Riverspring Assisted Living,5901 PALISADES AVENUE,Bronx,Bronx,10471,(718) 581-1780,AF0706A,THE HEBREW HOME FOR THE AGED AT RIVERDALE,020-E-136,35,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
The Northfield,4560 NINE MILE POINT ROAD,Monroe,Fairport,14450,(585) 377-1810,AF0632A,"FAMILY SERVICE OF ROCHESTER, INC.",370-S-847,79,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Sunrise Of Staten Island,801 NARROWS ROAD,Richmond,Staten Island,10304,(718) 727-8498,AF0877A,"SZR NEW YORK LH, INC.",610-S-003,121,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
The Landing At Queensbury,27 WOODVALE ROAD,Warren,Queensbury,12804,(518) 793-5556,AF0125B,WEGMAN FAMILY (GLENS FALLS) LLC V,750-S-003,88,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Absolutcare Of Orchard Brooke,6060 ARMOR ROAD,Erie,Orchard Park,14127,(716) 662-6753,AF0537C,"ABSOLUT AT ORCHARD BROOKE, LLC",240-F-878,80,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Alice Hyde Assisted Living Program,45 SIXTH STREET,Franklin,Malone,12953,(518) 481-8401,AF0725A,ALICE HYDE MEDICAL CENTER,270-E-007,30,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
"Madison York Assisted Living Community, Llc",112-14 CORONA AVENUE,Queens,Flushing,11368,(718) 699-4100,AF0381C,"MADISON YORK ASSISTED LIVING COMMUNITY, LLC",590-F-320,226,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
New Gloria'S Manor Home For Adults,140 BEACH 119TH STREET,Queens,Rockaway Park,11694,(718) 945-5700,AF0327B,GLORIA'S MANOR LLC,590-F-307,172,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Woodcrest Commons,4455 WEST HENRIETTA ROAD,Monroe,Henrietta,14467,(585) 334-1800,AF0481A,"DEPAUL ADULT CARE COMMUNITIES, INC.",370-E-198,120,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Palisade Gardens,185 PALISADE AVENUE,Westchester,Yonkers,10703,(914) 966-1300,AF0350A,ISRAEL ORZEL,800-F-971,106,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
New South Shore Manor,1041 EAST 83RD STREET,Kings,Brooklyn,11236,(718) 241-7035,AF0332A,GEORGE KATZ BATSHEVA KATZ DAVID J. DEUTSCH,331-F-266,74,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Village At Mill Landing,45 MILL ROAD,Monroe,Rochester,14626,(585) 720-3033,AF0748A,WRP OPERATING GREECE LLC,370-S-859,150,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Amber Court Of Pelham Gardens,1800 WARING AVENUE,Bronx,Bronx,10469,(718) 379-4400,AF0285B,"JUDITH LYNN HOME FOR ADULTS, LLC",020-F-817,200,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Updyke'S Willow Ridge Quality Care Facility,131 HORNELL STREET,Steuben,Hornell,14843,(607) 324-5417,AF0571A,"UPDYKE, JOSEPHINE",690-F-035,40,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Westminster Manor,81 SOUTH STREET,Cayuga,Auburn,13021,(315) 252-0507,AF0190A,CAYUGA-SYRACUSE PRESBYTERIAN HOME FOR THE ELDERLY,050-E-002,37,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Elderwood Assisted Living At Hamburg,76 BUFFALO STREET,Erie,Hamburg,14075,(716) 649-7676,AF0548B,"76 BUFFALO STREET OPERATING COMPANY, LLC",240-S-117,103,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Pounder Hall Ehp,1400 UTICA STREET,Oneida,Oriskany,13424,(315) 736-1759,AF0095A,"POUNDER HALL, INC.",510-S-062,10,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Maplewood Assisted Living,205 STATE STREET ROAD,St. Lawrence,Canton,13617,(315) 386-4541,AF0673A,"UNITED HELPERS CANTON NURSING HOME, INC",630-E-008,48,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Mount Alverno Center,20 GRAND STREET,Orange,Warwick,10990,(845) 986-2267,AF0322A,"ST. FRANCIS CENTER AT THE KNOLLS, INC.",540-E-051,85,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Garden Of Eden Assisted Living Program,1608-1620 STILLWELL AVENUE,Kings,Brooklyn,11223,(718) 236-5757,AF0251B,"GARDEN OF EDEN HOME, LLC",331-F-280,201,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Bristal At Garden City,1001 AXINN AVENUE,Nassau,Garden City,11530,(516) 570-7010,AF0766A,"EB CARE AT GARDEN CITY, LLC",400-S-330,170,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
E.R.I.E.  Ehp #1 Toomey Abbott Tower,1207 ALMOND STREET,Onondaga,Syracuse,13210,(315) 428-8562,AF0155A,ENRICHED RESOURCES FOR THE INDEPENDENT ELDERLY INC,520-S-118,95,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
The Bristal At Lake Grove,2995 MIDDLE COUNTRY ROAD,Suffolk,Lake Grove,11755,(631) 676-7580,AF0718B,LAKE GROVE SENIOR CARE LLC,700-S-311,155,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Frewsburg Rest Home,106 WEST MAIN STREET,Chautauqua,Frewsburg,14738,(716) 483-2876,AF0497B,"FREWSBURG REST HOME, INC.",060-F-035,81,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Ashton Place,190 ASHTON COURT,Ontario,Clifton Springs,14432,(315) 462-3140,AF0634A,"CLIFTON PARK ASSOCIATES, LLC",530-S-005,60,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
"Hedgewood Assisted Living, Llc",355 FISHKILL AVENUE,Dutchess,Beacon,12508,(845) 831-6000,AF0263B,"HEDGEWOOD ASSISTED LIVING, LLC",230-F-082,192,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
Carnegie East House,1844 SECOND AVENUE,New York,New York,10128,(212) 360-2275,AF0598B,"CARNEGIE EAST HOUSE HOUSING DEVELOPMENT FUND COMPANY, INC.",420-S-387,112,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Ideal Senior Living Center,600 HIGH AVENUE,Broome,Endicott,13760,(607) 786-7300,AF0065A,IDEAL SENIOR LIVING HOUSING CORPORATION,030-E-039,70,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,NON PROFIT,NY
Sunrise Of North Lynbrook,53 FRANKLIN AVENUE,Nassau,Lynbrook,11563,(516) 596-2377,AF0866A,"SZR NEW YORK LH, INC.",400-F-328,138,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Gables Home For Adults,127 RIDER AVENUE,Suffolk,Patchogue,11772,(631) 475-3857,AF0250B,"GABLES HOLDING COMPANY, INC.",700-F-909,24,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Bridges Cornell Heights - The Tudor,407 WYCKOFF AVENUE,Tompkins,Ithaca,14850,(607) 257-5777,AF0641A,"AMBROSE, ELIZABETH CLASSEN",730-F-003,15,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Morgan Estates,4588 MORGAN VIEW ROAD,Livingston,Geneseo,14454,(585) 243-6000,AF0535A,PETER S. BRUCKEL,350-F-008,78,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Family Srvs/Rochester Ehp3 Hudson-Ridge Towers,401 SENECA MANOR DRIVE,Monroe,Rochester,14621,(585) 266-5610,AF0496A,"FAMILY SERVICE OF ROCHESTER, INC.",370-S-191,47,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
Sunrise Of Holbrook,320 PATCHOGUE-HOLBROOK ROAD,Suffolk,Holbrook,11741,(631) 289-8400,AF0820B,"GWC - HOLBROOK, INC.",700-F-925,109,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The W Senior Living At Goshen,46 HARRIMAN DRIVE,Orange,Goshen,10924,(845) 388-1251,AF0196B,"THE W GROUP OF GOSHEN, LLC",540-F-038,120,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The Brielle At Seaview,140 FRIENDSHIP LANE,Richmond,Staten Island,10314,(917) 281-6810,AF0729A,SEAVIEW SENIOR LIVING HOUSING DEVELOPMENT FUND CORPORATION,610-E-012,188,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Sunrise Of Plainview,1231 OLD COUNTRY ROAD,Nassau,Plainview,11803,(516) 932-5151,AF0836B,"GWC - PLAINVIEW, INC.",400-F-323,65,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The 80Th Street Residence,430 EAST 80TH STREET,New York,New York,10075,(212) 717-8888,AF0242B,"UPPER EAST SIDE SENIOR RESIDENCE, LLC",420-F-379,70,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
The New Swan Lake Adult Home Llc,ROUTE 55 BOX 247,Sullivan,Swan Lake,12783,(845) 292-6298,AF0411B,THE NEW SWAN LAKE ADULT HOME LLC,710-F-058,27,6/29/21,ADULT CARE FACILITY,ADULT HOME,FOR PROFIT,NY
Mary Agnes Manor Alp,307 PORTER AVENUE,Erie,Buffalo,14201,(716) 881-0565,AF0532B,"MARY AGNES MANOR, LLC",240-F-868,230,6/29/21,ADULT CARE FACILITY,ADULT HOME AND ASSISTED LIVING PROGRAM,FOR PROFIT,NY
The Bristal At East Meadow,40 MERRICK AVE.,Nassau,East Meadow,11554,(516) 542-0800,AF0416A,"ENGEL BURMAN SENIOR HOUSING AT EAST MEADOW, INC.",400-S-299,151,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,FOR PROFIT,NY
Keene Valley Neighborhood House,1782 ROUTE 73,Essex,Keene Valley,12943,(518) 576-4474,AF0070A,"KEENE VALLEY NEIGHBORHOOD SERVICES, INC.",260-E-006,50,6/29/21,ADULT CARE FACILITY,ADULT HOME,NON PROFIT,NY
Maple House,15 MAPLE PLACE,Westchester,Ossining,10562,(914) 941-9415,AF0302A,"FAMILY SERVICES OF WESTCHESTER, INC.",800-S-123,25,6/29/21,ADULT CARE FACILITY,ENRICHED HOUSING PROGRAM,NON PROFIT,NY
