Facility,Capacity,Physical Address,City,State,Zip
Clara's Residential Assisted Living,14,"1638 W. Grace Street,",Richmond,VA,23220
Coles Retirement Home,19,"800 North Boulevard,",Richmond,VA,23220
"Our Lady of Hope Health Center, Inc.",100,"13700 N. Gayton Road,",Richmond,VA,23233
O'Brien Home for the Elderly - North,20,"3401 Chamberlayne Avenue,",Richmond,VA,23227
CEDARFIELD Pinnacle Living,85,"2300 Cedarfield Parkway,",Richmond,VA,23233
Hickory Hill Retirement Community,65,"900 Cary Shop Road,",Burkeville,VA,23922
DLM Palace Rest Home,25,"3502 Chamberlayne Avenue,",Richmond,VA,23227
Assisted Living at Lucy Corr,58,"6800 Lucy Corr Boulevard,",Chesterfield,VA,23832
The Dunlop House,134,"235 Dunlop Farms Boulevard,",Colonial Heights,VA,23834
Hanover Manor,46,"809 Thompson Street,",Ashland,VA,23005
Bridgeforth Manor,6,"2683 Washington Avenue Ext.,",Victoria,VA,23974
Beth Sholom Gardens,71,"2001 Lauderdale Drive,",Richmond,VA,23238
Covenant Woods,60,"7090 Covenant Woods Drive,",Mechanicsville,VA,23111
"RoseWood Village Assisted Living, LLC",90,"500 Greenbrier Drive,",Charlottesville,VA,22901
Clara's Adult Home West,14,"2230 West Grace Street,",Richmond,VA,23220
Madison House,93,"3212 Chamberlayne Avenue,",Richmond,VA,23227
Spring Arbor of Richmond,90,"9991 Ridgefield Parkway,",Richmond,VA,23233
Helping Hands Adult Care Center of Petersburg,31,"130 McKeever Street,",Petersburg,VA,23803
Special Care for Special People,14,"4004 Wilmont Drive,",Richmond,VA,23222
The Woodland Inc.,164,"2003 Cobb Street,",Farmville,VA,23901
Harris Manor,17,"24212 Gloria Drive,",Petersburg,VA,23803
"Pauline's Pavilion, LLC",16,"19312 White Oak Road,",Sutherland,VA,23832
First Choice Home for Adults,8,"1147 Farmers Field Road,",Lawrenceville,VA,23868
Victory Assisted Living,14,"27 Centre Hill Ct,",Petersburg,VA,23803
Brookdale Midlothian,100,"14016 Turnberry Lane,",Midlothian,VA,23113
The Haven Assisted Living @ Eleanor,8,"7472 Eleanor Drive, P.O. Box 1526, Mechanicsville, VA 23116",Mechanicsville,VA,23111
Rita Heavenly Adult Care #2,14,"700 West Washington Street,",Highland Springs,VA,23075
Commonwealth Senior Living at Kilmarnock,81,"460 S. Main Street,",Kilmarnock,VA,22482
Another Level Quality Care,11,"5612 Moncure Avenue,",Henrico,VA,23231
The Haven Assisted Living @ Sandy Valley,6,"4350 Sandy Valley Road,",Mechanicsville,VA,23111
Chestnut Grove Assisted Living Facility,85,"9010 Woodman Road,",Richmond,VA,23228
Spring Arbor of Salisbury,100,"14001 Turnberry Lane,",Midlothian,VA,23113
Windsor Senior Living,60,"3600 Grove Avenue,",Richmond,VA,23221
Clara's East Assisted Living Facility,8,"800 West Nine Mile Road,",Highland Springs,VA,23075
The Village at ManorCare,70,"2125 Hilliard Road,",Richmond,VA,23228
The Haven Assisted Living@Cold Harbor,8,"6367 Cold Harbor Road,",Mechanicsville,VA,23111
The Guardian Light,8,"2101 Mountain Run Drive,",Glen Allen,VA,23060
"Monticello Ridge Crossing Facility, LLC",30,"218 Ridge Street,",Charlottesville,VA,22902
The Morris's Assisted Living,12,"2514 West Grace Street,",Richmond,VA,23220
"Love Unlimited, Inc.",10,"708 West Washington Street,",Highland Springs,VA,23075
"Rosewood Village Hollymead Assisted Living, LLC",96,"2029 Lockwood Drive,",Charlottesville,VA,22911
Williams Luv N Care Home,8,"4012 Elmswell Drive,",Richmond,VA,23223
The Haven Assisted Living @ Lakeway,7,"6352 Lakeway Drive,",Mechanicsville,VA,23111
Jan's Residential Home I,12,"307 N. High Street, P. O. Box 666",Blackstone,VA,23824
The Crossings at Ironbridge,96,"6701 Ironbridge Parkway,",Chester,VA,23831
The Haven Assisted Living @ Studley,8,"7436 Studley Road,",Mechanicsville,VA,23116
The Haven Assisted Living @ Dijon,6,"6171 Dijon Drive,",Mechanicsville,VA,23116
First Choice West,4,"826 Sturgeon Road,",Lawrenceville,VA,23868
The Haven Assisted Living @ Mayfield,8,"8085 S. Mayfield Lane,",Mechanicsville,VA,23111
Azzie Manor,44,"15611 Keelers Mill Road,",Dewitt,VA,23840
Grace House,11,"2027 West Grace Street,",Richmond,VA,23220
The Heritage Inn Assisted Living and Memory Care Facility,66,"220 South Pantops Drive,",Charlottesville,VA,22911
"Parkside Assisted Living, LLC",85,"1550 John Rolfe Parkway,",Richmond,VA,23230
RAH Winthrop Manor,120,"2100 Idlewood Avenue,",Richmond,VA,23220
Community Alternatives Assisted Living LLC #2,15,"618 N. 32nd Street,",Richmond,VA,23223
Commonwealth Senior Living at Farnham,58,"511 Cedar Grove Road,",Farnham,VA,22460
The Lodge at Old Trail,166,"330 Claremont Lane,",Crozet,VA,22932
Sunrise at Bon Air,94,"2105 Cranbeck Road,",Richmond,VA,23235
Hawkins Residential LLC #2,7,"3712 Westcliffe Avenue,",Richmond,VA,23222
Fillmore Place,89,"36 West Fillmore Street,",Petersburg,VA,23803
Restoration Assisted Living Facility LLC #1,8,"3825 Austin Avenue,",Richmond,VA,23222
"YAMA Services, LLC",8,"10046 Rinker Drive,",Mechanicsville,VA,23116
Magnolias of Chesterfield,75,"6701 Courtyard Road,",Chester,VA,23831
Vitality Living West End Richmond,136,"1800 Gaskins Road,",Henrico,VA,23238
Hawkins Residential LLC #3,8,"2407 Dumbarton Road,",Richmond,VA,23228
Commonwealth Senior Living at Chesterfield,82,"4931 Ridgedale Parkway,",Richmond,VA,23234
"Community Alternatives Assisted Living, LLC",13,"620 N. 32nd Street,",Richmond,VA,23223
Hawkins Residential LLC #1,8,"5500 Chamberlayne Avenue,",Richmond,VA,23227
Commonwealth Senior Living at the West End,95,"2400 Gaskins Road,",Richmond,VA,23238
"Hall's Care Homes, LLC S.",8,"6520 Licking Creek Drive,",Chesterfield,VA,23832
The Crossings at Bon Air,120,"9100 Bon Air Crossings Drive,",Richmond,VA,23235
Commonwealth Senior Living At Charlottesville,93,"1550 Pantops Mountain Place,",Charlottesville,VA,22911
Brown Stone Assisted Living Facility,15,"1901 4th Avenue,",Richmond,VA,23222
"Cha Cha's Care Home, LLC",8,"6291 Simi Court,",Mechanicsville,VA,23111
"Oakland Manor, LLC #1",6,"1754 Oakland Street,",Petersburg,VA,23805
The Harmony Collection @ Hanover Assisted Living and Memory Care,113,"8227 Meadowbridge Road,",Mechanicsville,VA,23116
Continued Care LLC,6,"2707 Catchpenny Road,",Richmond,VA,23223
Bickford of Chesterfield,74,"11200 W. Huguenot Road,",Midlothian,VA,23113
Elizabeth House Assisted Living,60,"3590 Mountain Road,",Glen Allen,VA,23060
Spring Arbor Cottage of Salisbury,48,"14020 Steeplestone Drive,",Midlothian,VA,23113
Holly Haven #7,16,"230 High Street,",La Crosse,VA,23950
Spring Arbor Cottage of Richmond,48,"10601 Barbara Lane,",Richmond,VA,23233
Manorhouse Assisted Living & Memory Care,100,"13500 North Gayton Road,",Richmond,VA,23233
Oakland Manor LLC 2,7,"1836 Matoax Avenue,",Petersburg,VA,23805
Harris Manor 2,4,"15609 Kellers Mill Road,",Dewitt,VA,23840
The Traway Home (Synergy Community Supports LLC),6,"8001 Traway Court,",Chesterfield,VA,23235
"Community Care Assisted Living of Virginia, Inc.",10,"1521 Richmond Highway,",Richmond,VA,23224
"EC Opco Chesterfield, LLC dba Elmcroft of Chesterfield",120,"1000 Twinridge Lane,",Richmond,VA,23235
"Hawkins Residential, LLC #4",17,"3206 Chamberlayne Avenue,",Richmond,VA,23227
Atkinson's Retirement Home,8,"4001 Elmswell Drive,",Richmond,VA,23223
Reflections Assisted Living,10,"143 Unity Road,",Kenbridge,VA,23944
"Powell Residential, LLC",3,"4101 Falconway Lane,",Richmond,VA,23237
Linden House,94,"1250 Branchlands Drive,",Charlottesville,VA,22901
Spring Oak Assisted Living at Petersburg,46,"590 Flank Road,",Petersburg,VA,23805
The Colonnades,60,"100 Colonnades Hill Drive,",Charlottesville,VA,22901
Hall's Care Homes LLC,8,"1807 Old Williamsburg Road,",Sandston,VA,23150
The Pearl at Watkins Centre,50,"650 Watkins Centre Parkway,",Midlothian,VA,23113
Candle Light Senior Manor,8,"8413 Fredonia Road,",Richmond,VA,23227
Heritage Green Assisted Living,96,"7080 Brooks Farm Road,",Mechanicsville,VA,23111
English Meadows Crozet Campus,107,"1220 Crozet Avenue,",Crozet,VA,22932
Sun Rise on the South Home Care and Transportation,7,"3000 South Street,",South Chesterfield,VA,23834
Covenant Columns Manor,24,"510 Park Avenue,",Richmond,VA,23223
"Cha Cha's Care Home, LLC #2",5,"6290 Simi Court,",Mechanicsville,VA,23111
The Blake at Charlottesville,130,"250 Nichols Court,",Charlottesville,VA,22901
Oakland Manor,6,"1830 Matoax Avenue,",Petersburg,VA,23805
Blue Ridge Senior Living of Richmond,140,"12411 Gayton Road,",Richmond,VA,23228
Sunrise of Richmond,110,"1807 N. Parham,",Richmond,VA,23229
Community Care Assisted Living of Virginia Inc. (Forest Hill),54,"7804 Forest Hill Avenue,",Richmond,VA,23225
Morningside of Charlottesville,100,"491 Crestwood Drive,",Charlottesville,VA,22903
Morningside at Skipwith (West End),105,"3000 Skipwith Road,",Richmond,VA,23294
Morningside of Bellgrade,130,"2800 Polo Parkway,",Midlothian,VA,23113
"Priceless Development, LLC",8,"801 Azalea Avenue,",Richmond,VA,23227
Auburn Hill at Swift Creek,115,"5800 Harbour Lane,",Midlothian,VA,23112
Discovery Village at the West End,105,"2422 University Park Boulevard,",Richmond,VA,23233
The Westmont at Short Pump,170,"14399 N. Gayton Road,",Glen Allen,VA,23059
Acadia Care LLC,8,"9285 Critzers Shop Road,",Afton,VA,22920
Northern Neck Senior Care,50,"62 Delfae Drive,",Warsaw,VA,22572
The Harmony Collection @ Hanover [IL/AL],52,"8203 Meadowbridge Road,",Mechanicsville,VA,23116
Noble Senior Living at Louisa,32,"440 W. Main Street,",Louisa,VA,23093
Anthology Senior Living of Midlothian,146,"11210 Robious Road,",Richmond,VA,23235
"Secure Assisted Living, LLC",7,"5904 Pine Street,",Henrico,VA,23075
Sunrise Villa Tuckahoe,250,"12401 Gayton Road,",Richmond,VA,23238
Arden Courts (Richmond),96,"13800 Bon Secours Drive,",Midlothian,VA,23114
"Hilton Plaza, Inc.",71,"311 Main Street,",Newport News,VA,23601
Newport News Baptist Retirement Community DBA The Chesapeake,90,"955 Harpersville Road,",Newport News,VA,23601
The Hidenwood Retirement Community,125,"50 Wellesley Drive,",Newport News,VA,23606
Assisted Living At Warwick Forest,273,"860 Denbigh Blvd.,",Newport News,VA,23602
Open Arms Adult Home,5,"918 27th Street,",Newport News,VA,23607
Assisted Living At Patriots Colony at Williamsburg,136,"6200 Patriots Colony Drive,",Williamsburg,VA,23188
COMMONWEALTH SENIOR LIVING AT GLOUCESTER HOUSE,96,"7657 Meredith Drive,",Gloucester,VA,23061
COMMONWEALTH SENIOR LIVING AT HAMPTON,116,"1030 TOPPING LANE,",Hampton,VA,23666
Mennowood Retirement Community,90,"13030 Warwick Blvd.,",Newport News,VA,23602
WoodHaven At Williamsburg Landing,120,"5500 Williamsburg Landing,",Williamsburg,VA,23185
Cary Adult Home,60,"7336 Cary Avenue,",Gloucester,VA,23061
Assisted Living at Sanders,45,"7407 Walker Avenue,",Gloucester,VA,23061
Bethel Helping Hands,6,"11 Big Bethel Road,",Hampton,VA,23666
Brighter Living Assisted Living,148,"5301 Plaza Drive,",Hopewell,VA,23860
Brookdale Chambrel Williamsburg,170,"3800 TREYBURN DRIVE,",Williamsburg,VA,23185
"Open Arms Adult Home II, LLC",10,"1229 27th Street,",Newport News,VA,23607
Spring Arbor of Williamsburg,100,"935 Capitol Landing Road,",Williamsburg,VA,23185
Colonial Manor,85,"8679 Pocahontas Trail,",Williamsburg,VA,23185
"WINDSORMEADE WILLIAMSBURG, PINNACLE LIVING",32,"3900 Windsor Hall Drive,",Williamsburg,VA,23188
Heart & Soul III ALF,27,"611 19th Street,",Newport News,VA,23607
St. Charles Lwanga House G,6,"2208 Jolly Pond Road,",Williamsburg,VA,23188
Nehemiah Assisted Living Facility,6,"105 Watkins Drive,",Hampton,VA,23669
Greenfield Assisted Living of Williamsburg,65,"251 Patriot Lane,",Williamsburg,VA,23185
The Huntington,52,"11143 Warwick Boulevard,",Newport News,VA,23601
"Golden Care Services, LLC",6,"532 Settlers Landing Road,",Hampton,VA,23669
Commonwealth Senior Living at Williamsburg,87,"236 Commons Way,",Williamsburg,VA,23185
"Golden Years Assisted Living Facility, Inc.",98,"40 Hunt Club Boulevard,",Hampton,VA,23666
Edgeworth Park at New Town,95,"5501 Discovery Park Boulevard,",Williamsburg,VA,23188
White Oaks at Williamsburg,48,"1807 Jamestown Road,",Williamsburg,VA,23185
Harmony on the Peninsula,130,"3540 Victory Boulevard,",Yorktown,VA,23693
The Devonshire,50,"2220 Executive Drive,",Hampton,VA,23666
St. Charles Lwanga House at Reflection Drive,6,"254 Reflection Drive,",Williamsburg,VA,23188
The Hamilton,65,"113 Battle Road,",Yorktown,VA,23692
Morningside of Newport News,104,"655 Denbigh Boulevard,",Newport News,VA,23608
Dominion Village of Williamsburg,58,"4132 Longhill Road,",Williamsburg,VA,23188
Dominion Village at Poquoson,43,"531 Wythe Creek Road,",Poquoson,VA,23662
Morningside of Williamsburg,100,"440 McLaws Circle,",Williamsburg,VA,23185
Magnolia Manor at Smithfield,72,"101 John Rolfe Drive,",Smithfield,VA,23430
Hills Home for Adults,48,"1443 Commerce Avenue,",Chesapeake,VA,23324
Emily Green Shores,39,"500 Westmoreland Avenue,",Portsmouth,VA,23707
Westminster Canterbury on Chesapeake Bay,120,"3100 Shore Drive,",Virginia Beach,VA,23451
Marian Manor,145,"5345 Marian Lane,",Virginia Beach,VA,23462
Village at Woods Edge,67,"1401 North High Street,",Franklin,VA,23851
Eugene H. Bloom Retirement Center,65,"308 Weaver Avenue,",Emporia,VA,23847
First Colonial Inn ALF,85,"845 First Colonial Road,",Virginia Beach,VA,23451
MADONNA HOME INC.,16,"814 W. 37th Street,",Norfolk,VA,23508
Bell's Residential Adult Care Home,30,"3720 Deep Creek Boulevard,",Portsmouth,VA,23702
Virginia Home for Adults,52,"2701 Border Road,",Chesapeake,VA,23325
Commonwealth Senior Living at King's Grant House,75,"440 North Lynnhaven Road,",Va. Beach,VA,23452
COMMONWEALTH SENIORLlIVING AT CHURCHLAND HOUSE,80,"4916 West Norfolk Road,",Portsmouth,VA,23703
Province Place of Maryview,78,"One Bon Secours Way,",Portsmouth,VA,23703
Our Lady of Perpetual Help Health Center,95,"4560 Princess Anne Road,",Va Beach,VA,23462
Baylake Retirement Community,90,"4225 Shore Drive,",Virginia Beach,VA,23455
Province Place Depaul,97,"6403 Granby Street,",Norfolk,VA,23505
LAV'M Adult Residence,21,"912 S. Battlefield Blvd.,",Chesapeake,VA,23322
Abundant Care,8,"5556 Paca Lane,",Va Beach,VA,23462
Harbourway Assisted Living,74,"1217 Alliance Drive,",Va Beach,VA,23454
Lake Prince Woods,54,"100 Anna Goode Way,",Suffolk,VA,23434
The Terrace at Beth Sholom Village,84,"1049 College Park Blvd.,",Virginia Beach,VA,23464
Commonwealth Senior Living at Leigh Hall,90,"890 Poplar Hall Drive,",Norfolk,VA,23502
Lillian's Loving Care,32,"3736 Turnpike Road,",Portsmouth,VA,23701
Harbor's Edge,60,"One Colley Avenue,",Norfolk,VA,23510
Commonwealth Senior Living at Georgian Manor,80,"651 River Walk Parkway,",Chesapeake,VA,23320
Liza's Residential Care,8,"5084 Langston Court,",Virginia Beach,VA,23464
Brookdale Virginia Beach,60,"937 Diamond Springs Road,",Virginia Beach,VA,23455
Atria Virginia Beach,153,"1628 Old Donation Parkway,",Virginia Beach,VA,23454
Pruden Place,8,"1535 Marshall Avenue,",Portsmouth,VA,23704
Pritchard Road Assisted Living,11,"206 Pritchard Road,",Virginia Beach,VA,23452
Commonwealth Senior Living at the Ballentine,88,"7211 Granby Street,",Norfolk,VA,23505
The Gardens of Virginia Beach,122,"5620 Wesleyan Drive,",Virginia Beach,VA,23455
Parsons Residential Care Center,60,"1005 Deep Creek Boulevard,",Chesapeake,VA,23323
The Waterford at Virginia Beach,138,"5417 Wesleyan Drive,",Virginia Beach,VA,23455
Harmony at Independence,89,"2077 South Independence Boulevard,",Virginia Beach,VA,23453
Bickford of Suffolk,74,"6860 Harbour View Boulevard,",Suffolk,VA,23435
"Tidewater Cove, Operated by Western Tidewater CSB",80,"2536 East Washington Street,",Suffolk,VA,23434
Harmony at Oakbrooke,125,"301 Clearfield Avenue,",Chesapeake,VA,23320
Commonwealth Senior Living at the Eastern Shore,80,"23610 North Street,",Onancock,VA,23417
Indian River Assisted Living,110,"1012 Justis Street,",Chesapeake,VA,23325
Harmony at Harbour View,110,"5871 Harbour View Boulevard,",Suffolk,VA,23435
Commonwealth Memory Care at Chesapeake,73,"130 Great Bridge Boulevard,",Chesapeake,VA,23320
Bickford of Virginia Beach,74,"2629 Princess Anne Road,",Virginia Beach,VA,23456
Accordius Health at Nans AL LLC,34,"200 West Constance Road,",Suffolk,VA,23434
Commonwealth Senior Living at Cedar Manor,70,"1324 Cedar Road,",Chesapeake,VA,23222
The Villages of Rosemont,80,"3751 Sentara Way,",Virginia Beach,VA,23454
Chesapeake Place,153,"1500 & 1508 Volvo Parkway,",Chesapeake,VA,23320
Arden Courts of Virginia Beach,72,"1853 Old Donation Parkway,",Virginia Beach,VA,23454
Mayfair House,55,"901 Enterprise Way,",Portsmouth,VA,23704
Vinson Hall,300,"6251 Old Dominion Dr.,",Mc Lean,VA,22101
Hermitage Northern Virginia,200,"5000 Fairbanks Avenue,",Alexandria,VA,22311
Goodwin House Alexandria,250,"4800 Fillmore Ave,",Alexandria,VA,22311
North Fillmore Street,7,"1422 N. Fillmore Street,",Arlington,VA,22201
Goodwin House Bailey's Crossroads,500,"3440 South Jefferson Street,",Falls Church,VA,22041
Paul Spring Independent and Assisted Living Community,190,"7116 Fort Hunt Road,",Alexandria,VA,22307
North 13th Street,8,"3824 North 13th Street,",Arlington,VA,22201
The Lincolnian Senior Residences,52,"4710 N. Chambliss Street,",Alexandria,VA,22312
Heatherwood Independent and Assisted Living,150,"9642 Burke Lake Road,",Burke,VA,22015
Arleigh Burke Pavilion,32,"1739 Kirby Road,",Mc Lean,VA,22101
Tall Oaks Assisted Living,165,"12052 N. Shore Drive,",Reston,VA,20190
The Johnson Center at Falcons Landing,17,"20535 Earhart Place,",Potomac Falls,VA,20165
Avalon House on Gerard Court,8,"6442 Gerard Court,",Falls Church,VA,22043
Avalon House in McLean,8,"1503 Oakview Drive,",Mc Lean,VA,22101
Aarondale Retirement & Assisted Living Community,90,"6929 Matthew Place,",Springfield,VA,22151
Avalon House on Woodacre Drive,8,"1505 Woodacre Drive,",Mc Lean,VA,22101
Sunrise Assisted Living at Reston Town Center,107,"1778 Fountain Drive,",Reston,VA,20190
Stevenson Place,37,"4113 Stevenson Street,",Fairfax,VA,22030
Culpepper Garden III INC,146,"4439 N. Pershing Drive,",Arlington,VA,22203
Avalon House on High Street,8,"6712 High Street,",Falls Church,VA,22046
The Gardens at Fair Oaks,125,"4310 Forest Hill Drive,",Fairfax,VA,22030
Sunrise Assisted Living at Fair Oaks,112,"3750 Joseph Siewick Drive,",Fairfax,VA,22033
Greenspring Village,227,"7470 Spring Village Dr,",Springfield,VA,22150
Sunrise at Hunter Mill,100,"2863 Hunter Mill Road,",Oakton,VA,22124
Sunrise at Mount Vernon,112,"8033 Holland Road,",Alexandria,VA,22306
The Sylvestery,36,"1728 Kirby Road,",Mc Lean,VA,22101
Sunrise Assisted Living of McLean,120,"8315 Turning Leaf Lane,",Mclean,VA,22102
Home Eldercare,8,"10704 Orchard Street,",Fairfax,VA,22030
Avalon House on Cawdor Court,8,"8103 Cawdor Court,",Mclean,VA,22102
"Crystal Gardens Assisted Living, LLC",8,"6712 Bostwick Drive,",Springfield,VA,22151
Tysons Woods Assisted Living,8,"2248 Central Avenue,",Vienna,VA,22182
The Residences at Lynn House,12,"4400 W. Braddock Road,",Alexandria,VA,22304
Emilia Assisted Living Home,8,"5501 Brookland Road,",Alexandria,VA,22310
Lovettsville Home Assisted Living,8,"39196 Rodeffer Road,",Lovettsville,VA,20180
West Falls Center at Falcons Landing,60,"46661 Algonkian Parkway,",Potomac Falls,VA,20165
Avalon House on Hardwood Lane,8,"1518 Hardwood Lane,",Mc Lean,VA,22101
Spring Hills Mount Vernon,98,"3709 Shannons Green Way,",Alexandria,VA,22309
"Crystal Gardens Assisted Living II, LLC",8,"7402 Gresham Street,",Springfield,VA,22151
Chesterbrook Residences,109,"2030 Westmoreland Street,",Falls Church,VA,22043
Arden Courts of Annandale,60,"7104 Braddock Road,",Annandale,VA,22003
Arden Courts of Fair Oaks,56,"12469 Lee Jackson Memorial Highway,",Fairfax,VA,22033
Keough Senior Living,8,"4308 Lees Corner Road,",Chantilly,VA,20151
Emilia Assisted Living of Ashlawn Court,8,"6533 Ashlawn Court,",Springfield,VA,22150
Avalon House on Woodland Drive,8,"6809 Woodland Drive,",Falls Church,VA,22046
Meadow Glen of Leesburg,40,"315 Dry Mill Road,",Leesburg,VA,20175
Braddock Glen,79,"4027 Olley Lane,",Fairfax,VA,22032
Great Falls Assisted Living,64,"1121 Reston Avenue,",Herndon,VA,20170
Avalon House on Gelston Circle,8,"1011 Gelston Circle,",Mc Lean,VA,22102
Spring Arbor of Leesburg,97,"237 Fairview Street, N.W.,",Leesburg,VA,20176
Mary Marshall Assisted Living Residence,52,"2000 5th Street, South,",Arlington,VA,22204
"Vienna Manor I, LLC",8,"2151 Chain Bridge Road,",Vienna,VA,22182
Avalon House on Laburnum Street,8,"1453 Laburnum Street,",Mc Lean,VA,22101
Tysons Woods on Electric Avenue,8,"8514 Electric Avenue,",Vienna,VA,22182
"Ashby Ponds, Inc.",140,"21160 Maple Branch Terrace,",Ashburn,VA,20147
Larmax Homes - 8333 Lewinsville,8,"8333 Lewinsville Road,",Mc Lean,VA,22102
Larmax Homes - 8337 Lewinsville,8,"8337 Lewinsville Road,",Mc Lean,VA,22102
Vitality Living Arlington,200,"3821 Wilson Boulevard,",Arlington,VA,22203
Brightview Great Falls,94,"10200 Colvin Run Road,",Great Falls,VA,22066
The Fountains at Washington House,215,"5100 Fillmore Avenue,",Alexandria,VA,22311
Brightview Woodburn,104,"3450 Gallows Road,",Annandale,VA,22003
"Vienna Manor II, LLC",8,"1914 Horseshoe Drive,",Vienna,VA,22182
Cobbdale Assisted Living,8,"3503 Burrows Avenue,",Fairfax,VA,22030
Ashleigh at Lansdowne,140,"44124 Woodridge Parkway,",Leesburg,VA,20176
Harmony at Chantilly,70,"2980 Centreville Road,",Herndon,VA,20171
Arbor Terrace Fairfax,54,"3925 Downs Drive,",Chantilly,VA,20151
The Kensington Falls Church,131,"700 W. Broad Street,",Falls Church,VA,22046
Macklin Home,8,"9417 Macklin Court,",Alexandria,VA,22309
LARMAX HOMES - 8341 Lewinsville,8,"8341 Lewinsville Road,",Mc Lean,VA,22102
"Tribute at One Loudoun, LLC",154,"20335 Savin Hill Drive,",Ashburn,VA,20147
Poet's Walk Leesburg,68,"102 Desmond Plaza SE,",Leesburg,VA,20175
Brandywine Senior Living at Alexandria,127,"5550 Cardinal Place,",Alexandria,VA,22304
"Vienna Manor III, LLC",8,"10137 Palmer Drive,",Oakton,VA,22124
Harmony at Spring Hill,117,"8350 Mountain Larkspur Drive,",Fairfax,VA,22079
Waltonwood Ashburn,150,"44145 Russell Branch Parkway,",Ashburn,VA,20147
Silverado Alexandria,66,"2807 King Street,",Alexandria,VA,22302
Beverly Assisted Living,8,"3408 Beverly Drive,",Annandale,VA,22003
Avalon House on Dominion Crest Lane,8,"1804 Dominion Crest Lane,",Mc Lean,VA,22101
The Jefferson,75,"900 North Taylor Street,",Arlington,VA,22203
Renaissance of Annandale,64,"7112 Braddock Road,",Annandale,VA,22003
The Virginian,350,"9229 Arlington Boulevard,",Fairfax,VA,22031
Hunters Woods at Trails Edge,124,"2222 Colts Neck Road,",Reston,VA,20191
Sunrise at Silas Burke House,105,"9619 Burke Lake Road,",Burke,VA,22015
Sunrise of Springfield,100,"6541 Franconia Road,",Springfield,VA,22150
"Vienna Manor IV, LLC",8,"3903 Estel Road,",Fairfax,VA,22031
Sunrise of Alexandria,110,"3520 Duke Street,",Alexandria,VA,22304
"Lansdowne Heights, LLC",68,"19520 Sandridge Way,",Leesburg,VA,20176
Reflections-A Senior Living Community,42,"246 West Market Street,",Leesburg,VA,20176
Greenbrier Assisted Living,8,"8204 Madrillon Estates Drive,",Vienna,VA,22182
Beverly Assisted Living,8,"7816 Trammell Road,",Annandale,VA,22003
Belvoir Woods Health Care Center at The Fairfax,96,"9160 Belvoir Woods Parkway,",Fort Belvoir,VA,22060
"Paragon Assisted Living McLean, LLC",8,"1612 Brookside Rd,",Mc Lean,VA,22101
"Paragon Assisted Living Falls Church, LLC",8,"3236 Locker Street,",Falls Church,VA,22042
Leewood Healthcare Center,40,"7120 Braddock Road,",Annandale,VA,22003
The Providence of Fairfax,175,"9490 Sprague Avenue,",Fairfax,VA,22031
