License Number,Facility Name,Address,City,Zip Code,County,Licensee,Phone Number,Capacity
100361,"FALMOUTH PERSONAL CARE HOME, LLC",406 BARKLEY STREET,FALMOUTH,41040,PENDLETON,"FALMOUTH PERSONAL CARE HOME, LLC",(859) 654-4341,27
100403,"FERN TERRACE OF BOWLING GREEN, LLC",1030 SHIVE LANE,BOWLING GREEN,42101,WARREN,"DAVCO HOMES, INC.",(270) 781-6784,114
100148,"FERN TERRACE OF MAYFIELD, LLC",1227 STATE ROUTE 45 NORTH,MAYFIELD,42066,GRAVES,"DAVCO HOMES, INC.",(270) 247-3259,140
100052,"FERN TERRACE OF MURRAY, LLC",1505 STADIUM VIEW DRIVE,MURRAY,42071,CALLOWAY,"DAVCO HOMES, INC.",(270) 753-7109,103
100096,"FERN TERRACE OF OWENSBORO, LLC",45 WOODFORD AVENUE,OWENSBORO,42301,DAVIESS,"DAVCO HOMES, INC.",(270) 684-7171,68
101270,FOREST HILLS COMMONS,9107 TAYLORSVILLE ROAD,LOUISVILLE,40299,JEFFERSON,RESIDENTIAL CARE XII LLC,(502) 499-5533,144
100155,"FRASURE'S PERSONAL CARE HOME, INC",1308 RIVERVIEW ROAD,ASHLAND,41101,BOYD,"FRASURE'S PERSONAL CARE HOME, INC.",(606) 836-7095,61
100887,GAITHER SUITES AT WEST PARK,4960 VILLAGE SQUARE DRIVE,PADUCAH,42001,MCCRACKEN,"PADUCAH OP, LLC",(270) 442-3999,29
101231,GARDENS AT HICKORY WOODS,84 UTTERBACK ROAD,MURRAY,42071,CALLOWAY,"MURRAY SENIOR LIVING, LLC",(270) 759-8700,22
100021,GENERATIONS CENTER OF MIDDLESBORO,504 SOUTH 24TH STREET,MIDDLESBORO,40965,BELL,"GENERATIONS HEALTH ASSOCIATION, INC.",(606) 248-1540,64
100274,GOLDEN YEARS REST HOME,14684 EAST HIGHWAY 550 PO BOX 157,LACKEY,41643,FLOYD,"GOLDEN YEARS HEALTHCARE, LLC",(606) 946-2220,84
101321,HALLMARK HOUSE LOUISVILLE II,10301 CONEFLOWER LN,PROSPECT,40059,JEFFERSON,HALLMARK HOUSE LOUISVILLE II LLC,(502) 290-6706,32
100033,HAMILTON'S PERSONAL CARE HOME,250 WEST CENTRAL AVENUE,ASHLAND,41101,BOYD,"HAMILTON'S PERSONAL CARE HOME, INC.",(606) 324-3252,22
100336,HARPER'S HOME FOR THE AGED,2905 COLUMBIA ROAD,EDMONTON,42129,METCALFE,"HARPER'S HOME FOR THE AGED, INC.",(270) 432-5202,27
100172,HART COUNTY MANOR,205 BRIDGE STREET,MUNFORDVILLE,42765,HART,"HART COUNTY MANOR, LLC",(270) 524-7327,54
101164,HEARTSONG MEMORY CARE,9260 STONESTREET ROAD,LOUISVILLE,40272,JEFFERSON,"TIGER LILY, LLC",(502) 935-3300,36
100174,HENDERSON MANOR,201 WATSON LANE,HENDERSON,42420,HENDERSON,"MDH MANAGEMENT GROUP, INC.",(270) 826-2394,64
100050,HIGHLAND HOMES,219 STEVENS AVENUE,PRINCETON,42445,CALDWELL,"HIGHLAND HOMES, INC.",(270) 365-3254,100
100935,IVY KNOLL,800 HIGHLAND AVENUE,COVINGTON,41011,KENTON,"NORTHERN KENTUCKY ASSISTED LIVING, LLC",(859) 491-3800,45
100140,JONESVILLE REST HOME,230 SCHOOL ROAD,JONESVILLE,41052,GRANT,"MATRIARCH PROPERTIES, INC",(859) 824-4610,26
100032,KINGS DAUGHTERS AND SONS HOME,1100 BATH AVENUE,ASHLAND,41101,BOYD,KINGS' DAUGHTERS' & SONS' HOME FOR AGED MEN & WOME,(606) 324-0343,36
101330,LEGACY RESERVE AT FRITZ FARM,2700 MAN O WAR BLVD,LEXINGTON,40515,FAYETTE,"1818 LEXINGTONSLINVESTORS, LLC",(859) 286-5111,53
100390,LEWIS MEMORIAL METHODIST HOME,2905 BOWLING GREEN ROAD,FRANKLIN,42134,SIMPSON,"LEWIS MEMORIAL, INC.",(270) 586-3461,23
100653,MAYFAIR VILLAGE RETIREMENT CENTER,3310 TATES CREEK ROAD,LEXINGTON,40502,FAYETTE,"MAYFAIR VILLAGE RETIREMENT CENTER, INC.",(859) 266-2129,24
100901,MCDOWELL PLACE OF DANVILLE,1181 BEN ALI DRIVE,DANVILLE,40422,BOYLE,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,(859) 239-4663,12
101257,MORNING POINTE OF DANVILLE,1375 PERRYVILLE ROAD,DANVILLE,40422,BOYLE,"DANVILLE MEDICAL INVESTORS, LLC",(859) 965-1008,66
101087,MORNING POINTE OF FRANKFORT,68 C MICHAEL DAVENPORT BLVD,FRANKFORT,40601,FRANKLIN,"FRANKFORT SENIOR COMMUNITY, L.P.",(502) 226-5888,48
101137,MORNING POINTE OF LEXINGTON,233 RUCCIO WAY,LEXINGTON,40503,FAYETTE,"SENIOR CARE ASSOCIATES, LLC",(423) 238-5330,80
101172,MORNING POINTE OF LEXINGTON EAST,150 SHORESIDE DRIVE,LEXINGTON,40515,FAYETTE,"LEXINGTON EAST MEDICAL INVESTORS, LLC",(859) 721-0350,80
101229,MORNING POINTE OF LOUISVILLE AT SOUTH HURSTBOURNE,4711 SOUTH HURSTBOURNE PARKWAY,LOUISVILLE,40291,JEFFERSON,"LOUISVILLE MEDICAL INVESTORS, LLC",(502) 319-3510,80
101086,MORNING POINTE OF RICHMOND,1400 GIBSON BAY DRIVE,RICHMOND,40475,MADISON,"RICHMOND SENIOR COMMUNITY, LP",(859) 626-5000,48
101057,MORNING POINTE OF RUSSELL,1000 ADDINGTON DRIVE,RUSSELL,41169,GREENUP,RUSSELL SENIOR COMMUNITY LLC,(606) 833-1120,68
100922,PARK LOUISVILLE,10451 LINN STATION ROAD,LOUISVILLE,40223,JEFFERSON,"MFF LOUISVILLE, LLC",(502) 423-8776,64
100168,PARKSIDE MANOR LLC,317 ODDVILLE AVENUE,CYNTHIANA,41031,HARRISON,"PARKSIDE MANOR, LLC",(859) 234-4430,51
100240,PARR'S REST HOME,3101 NORTH HURSTBOURNE PARKWAY,LOUISVILLE,40241,JEFFERSON,"BAPTIST HOMES--PARR'S REST, INC.",(502) 412-3775,91
100071,PENNYRILE HOME,502 NOEL AVENUE,HOPKINSVILLE,42240,CHRISTIAN,"PENNYRILE HOME, INC.",(270) 886-9915,94
101336,PRESTON GREENS SENIOR LIVING,1825 LITTLE HERB WAY,LEXINGTON,40509,FAYETTE,"STEADFAST COLLIN LPC, LLC",(949) 852-0700,138
100264,REGENCY MANOR,11725 MADISON PIKE,INDEPENDENCE,41051,KENTON,"REGENCY MANOR, LLC",(859) 356-9294,59
101116,REGENCY MANOR NORTH,"401 EAST 20TH STREET, 2ND FLOOR",COVINGTON,41011,KENTON,"REGENCY MANOR NORTH, LLC",(859) 291-3200,30
101333,REGENCY MEMORY CARE,130 STERLING WAY,MOUNT STERLING,40353,MONTGOMERY,"REGENCY MEMORY CARE, LLC",(859) 520-5111,26
100553,RICHMOND PLACE SENIOR LIVING,3195 RIO DOSA DRIVE,LEXINGTON,40509,FAYETTE,LCS LEXINGTON II LLC,(859) 263-2410,81
100259,ROSE TERRACE LODGE,401 NORTH SECOND STREET,NICHOLASVILLE,40356,JESSAMINE,"ROSE TERRACE LODGE, INC.",(859) 885-3821,40
100095,ROSEDALE REST HOME,415 SUTTON LANE,OWENSBORO,42301,DAVIESS,"MDH MANAGEMENT GROUP, INC.",(270) 684-6753,50
100460,RUSSELL CONVALESCENT HOME,407 FERRY ROAD,RUSSELL,41169,GREENUP,OSCAR B. BAUMGARDNER,(606) 836-5616,28
100009,SCOTTSVILLE MANOR,824 NORTH FOURTH,SCOTTSVILLE,42164,ALLEN,"SCOTTSVILLE MANOR, INC.",(270) 237-5182,40
100170,SHADY LAWN LLC,108 S MILLER STREET,CYNTHIANA,41031,HARRISON,KELLI AND CHALLIE BAILEY,(859) 234-2606,75
100346,SPARKS NURSING CENTER,500 EAST WHITMER STREET,CENTRAL CITY,42330,MUHLENBERG,"SPARKS NURSING CENTER, INC.",(270) 754-4838,88
101185,"ST CHARLES CARE CENTER, INC",610 FARRELL DRIVE,COVINGTON,41011,KENTON,"ST. CHARLES CARE CENTER, INC.",(859) 331-3224,32
101278,STORYPOINT PROSPECT,6901 CARSLAW COURT,PROSPECT,40059,JEFFERSON,"SENIOR LIVING PROSPECT, LLC",(502) 907-3778,65
100315,SUNNY ACRES,426 HIGHWAY 81 NORTH,CALHOUN,42327,MCLEAN,"J.R.F., INC.",(270) 273-3113,32
101074,SUNRISE OF LOUISVILLE,6700 OVERLOOK DRIVE,LOUISVILLE,40241,JEFFERSON,"SUNRISE LOUISVILLE KY SENIOR LIVING, LLC",(502) 425-0820,94
101297,SYMPHONY AT VALLEY FARMS,10201 VALLEY FARMS BOULEVARD,LOUISVILLE,40272,JEFFERSON,"VALLEY FARMS OPERATOR, LLC",(502) 937-3028,90
100873,THE BRECKINRIDGE,2109 CORNERSTONE DRIVE,LEXINGTON,40509,FAYETTE,"SOUTHERN COALITION OF HOUSING OPPORTUNITIES, INC.",(859) 543-0824,26
101153,THE ENCLAVE OF EAST LOUISVILLE,100 SHELBY STATION DRIVE,LOUISVILLE,40245,JEFFERSON,"SHELBY STATION SENIOR CARE, LLC",(502) 632-0220,102
100360,"THE FRONT GATE, LLC",213 MAIN STREET,BUTLER,41006,PENDLETON,"THE FRONT GATE, LLC",(859) 472-6011,19
101352,THE GRAND SENIOR LIVING,9300 CIVIC WAY,PROSPECT,40059,JEFFERSON,,(502) 200-8039,86
101268,THE HAVEN AT MASSEY SPRINGS,2945 SMALLHOUSE ROAD,BOWLING GREEN,42104,WARREN,"BOWLING GREEN SENIOR LIVING, LLC",(270) 904-1999,18
100182,THE HOMESTEAD,384 THOMPSON AVENUE,MADISONVILLE,42431,HOPKINS,"M & J MANAGEMENT, LLC",(270) 821-5294,64
101200,THE LANTERN AT MORNING POINTE ALZ & MEMORY CARE,225 RUCCIO WAY,LEXINGTON,40503,FAYETTE,,(423) 238-5330,50
101282,THE LANTERN AT MORNING POINTE ALZHEIMER'S & MEMORY,4701 SOUTH HURSTBOURNE PARKWAY,LOUISVILLE,40291,JEFFERSON,"LOUISVILLE ALZHEIMER'S INVESTORS, LLC",(423) 238-5330,52
101272,THE LANTERN AT MORNING POINTE ALZHEIMER'S AND MEMO,1063 ADDINGTON DR,RUSSELL,41169,GREENUP,"RUSSELL ALZHEIMER'S INVESTORS, LLC",(606) 824-9248,50
101131,THE LANTERN AT MORNING POINTE OF FRANKFORT,66 C MICHAEL DAVENPORT BOULEVARD,FRANKFORT,40601,FRANKLIN,"FRANKFORT MEDICAL INVESTORS, LLC",(502) 226-7118,42
100164,THE LAURELS,169 COUNTY PIKE,HARLAN,40831,HARLAN,"THE LAURELS, INC.",(606) 573-5105,82
101273,THE LEGACY AT ENGLISH STATION,13700 ENGLISH VILLA DRIVE,LOUISVILLE,40245,JEFFERSON,"ENGLISH STATION OPCO, LLC",(502) 254-2361,65
101180,THE LEGACY AT THE WILLOWS,2521 OLD ROSEBUD ROAD,LEXINGTON,40509,FAYETTE,"TRILOGY HEALTHCARE OF FAYETTE 1, LLC",(859) 543-0337,25
101280,THE MEADOWS AT WINDSOR GARDENS,100 WINDSOR PATH,GEORGETOWN,40324,SCOTT,"GEORGETOWN SENIOR LIVING PARTNERS, LLC",(502) 570-0540,19
100190,THE OAKS PCH MADISONVILLE,140 GIVENS STREET,MADISONVILLE,42431,HOPKINS,"THE OAKS PCH/MADISONVILLE, LLC.",(270) 821-2155,58
100854,THE OAKS PCH/LEWISPORT,1580 FOURTH STREET,LEWISPORT,42351,HANCOCK,"THE OAKS PCH/LEWISPORT, LLC",(270) 295-4255,56
100061,VALLEY HAVEN REST HOME,190 MCDANIEL STREET,SANDERS,41083,CARROLL,"VALLEY HAVEN REST HOME, LLC",(502) 347-5300,45
100261,"VENTURE HOME OF PAINTSVILLE, LLC",610 F M STAFFORD AVENUE,PAINTSVILLE,41240,JOHNSON,"PELFREY MANGEMENT, LLC",(606) 789-5576,65
101365,WALKER'S TRAIL SENIOR LIVING,100 DAVCO DRIVE,DANVILLE,40422,BOYLE,"DANVILLE SENIOR PARTNERS, LLC",(859) 236-5383,83
100291,"WAYNESBURG MANOR, LLC",765 HIGHWAY 3276,WAYNESBURG,40489,LINCOLN,WAYNESBURG MANOR LLC,(606) 379-2614,28
100947,WICKSHIRE BLANKENBAKER,901 BLANKENBAKER ROAD,MIDDLETOWN,40243,JEFFERSON,"WICKSHIRE BLANKENBAKER OPCO, LLC",(502) 244-4244,99
