LICENSE #,NAME,ADDRESS,CITY,ZIP,COUNTY,OWNER,"ADM
FIRST","ADM
LAST",TELEPHONE,BEDS,"LICENSE
EXPIRATION"
100314,CUMBERLAND MANOR REST HOME,1930 HIGHWAY 90,PARKERS LAKE,42634,MCCREARY,"CUMBERLAND MANOR REST HOME, INC.",ROSETTA,PATRICK,(606) 376-5951,49,5/31/22
101340,DAISY HILL SENIOR LIVING,1001 CROSSFIELD DRIVE,VERSAILLES,40383,WOODFORD,"VERSAILLES SENIOR LIVING, LLC",LAURIE,DOROUGH,(615) 790-7041,24,6/30/22
100084,"DAVCO REST HOME, LLC",2526 WEST 10TH STREET,OWENSBORO,42301,DAVIESS,"DAVCO REST HOME, LLC.",STACEY,HELTON,(270) 684-1705,92,6/30/22
100413,DISHMAN PERSONAL CARE HOME,220 WORSHAM LANE,MONTICELLO,42633,WAYNE,CHRISTINE GOFF,CHRISTINE,GOFF,(606) 348-6201,49,Pending Renewal
101318,DOMINION SENIOR LIVING OF FLORENCE,4009 SELIGMAN DRIVE,FLORENCE,41042,BOONE,"DOMINION FLORENCE, LLC",JACKIE,SMITH,(859) 594-9970,84,4/30/22
101301,DOMINION SENIOR LIVING OF FRANKFORT,122 LEONARDWOOD DR,FRANKFORT,40601,FRANKLIN,"DOMINION FRANKFORT, LLC",AMY,HAGLER,(502) 892-0819,84,9/30/21
101353,DOMINION SENIOR LIVING OF LOUISVILLE,6000 HUNTING ROAD,LOUISVILLE,40222,JEFFERSON,"DOMINION AND EVERLAN OF LOUISVILLE OPCO, LLC",SHUANA,DARBYSHIRE,(502) 812-1556,80,9/30/21
101283,DOMINION SENIOR LIVING OF RICHMOND,200 MERIDIAN WAY,RICHMOND,40475,MADISON,"DOMINION RICHMOND, LLC",NETZA,MULLINS,(859) 353-6777,84,10/31/21
100361,"FALMOUTH PERSONAL CARE HOME, LLC",406 BARKLEY STREET,FALMOUTH,41040,PENDLETON,"FALMOUTH PERSONAL CARE HOME, LLC",HEATH,CULBERSON,(859) 654-4341,27,Pending Renewal
100403,"FERN TERRACE OF BOWLING GREEN, LLC",1030 SHIVE LANE,BOWLING GREEN,42101,WARREN,"DAVCO HOMES, INC.",VALARIE,CARTER,(270) 781-6784,114,4/30/22
100148,"FERN TERRACE OF MAYFIELD, LLC",1227 STATE ROUTE 45 NORTH,MAYFIELD,42066,GRAVES,"DAVCO HOMES, INC.",KIMBERLY,YOUNG,(270) 247-3259,140,Pending Renewal
100052,"FERN TERRACE OF MURRAY, LLC",1505 STADIUM VIEW DRIVE,MURRAY,42071,CALLOWAY,"DAVCO HOMES, INC.",KAREN,GLOVER,(270) 753-7109,103,6/30/22
100096,"FERN TERRACE OF OWENSBORO, LLC",45 WOODFORD AVENUE,OWENSBORO,42301,DAVIESS,"DAVCO HOMES, INC.",ROBIN,JONES,(270) 684-7171,68,4/30/22
101270,FOREST HILLS COMMONS,9107 TAYLORSVILLE ROAD,LOUISVILLE,40299,JEFFERSON,RESIDENTIAL CARE XII LLC,KATIE,ALEXANDER,(502) 499-5533,144,4/30/22
100155,"FRASURE'S PERSONAL CARE HOME, INC",1308 RIVERVIEW ROAD,ASHLAND,41101,BOYD,"FRASURE'S PERSONAL CARE HOME, INC.",VALERIE,FRASURE,(606) 836-7095,61,4/30/22
100887,GAITHER SUITES AT WEST PARK,4960 VILLAGE SQUARE DRIVE,PADUCAH,42001,MCCRACKEN,"PADUCAH OP, LLC",JENNIFER,GISH,(270) 442-3999,29,7/31/21
101231,GARDENS AT HICKORY WOODS,84 UTTERBACK ROAD,MURRAY,42071,CALLOWAY,"MURRAY SENIOR LIVING, LLC",ANNITA,PEELER,(270) 759-8700,22,9/30/21
100021,GENERATIONS CENTER OF MIDDLESBORO,504 SOUTH 24TH STREET,MIDDLESBORO,40965,BELL,"GENERATIONS HEALTH ASSOCIATION, INC.",ELIZABETH,ENGLAND,(606) 248-1540,64,8/31/21
100274,GOLDEN YEARS REST HOME,14684 EAST HIGHWAY 550 PO BOX 157,LACKEY,41643,FLOYD,"GOLDEN YEARS HEALTHCARE, LLC",BONNIE,MOSLEY,(606) 946-2220,84,3/31/22
101321,HALLMARK HOUSE LOUISVILLE II,10301 CONEFLOWER LN,PROSPECT,40059,JEFFERSON,HALLMARK HOUSE LOUISVILLE II LLC,JENNIFER,ASH,(502) 290-6706,32,7/31/21
100033,HAMILTON'S PERSONAL CARE HOME,250 WEST CENTRAL AVENUE,ASHLAND,41101,BOYD,"HAMILTON'S PERSONAL CARE HOME, INC.",JAMES,HAMILTON,(606) 324-3252,22,Pending Renewal
100336,HARPER'S HOME FOR THE AGED,2905 COLUMBIA ROAD,EDMONTON,42129,METCALFE,"HARPER'S HOME FOR THE AGED, INC.",CARY,DABNEY,(270) 432-5202,27,9/30/21
100172,HART COUNTY MANOR,205 BRIDGE STREET,MUNFORDVILLE,42765,HART,"HART COUNTY MANOR, LLC",JENNY,STAPLES,(270) 524-7327,54,10/31/21
101164,HEARTSONG MEMORY CARE,9260 STONESTREET ROAD,LOUISVILLE,40272,JEFFERSON,"TIGER LILY, LLC",SHEILA,CARTER,(502) 935-3300,36,8/31/21
100174,HENDERSON MANOR,201 WATSON LANE,HENDERSON,42420,HENDERSON,"MDH MANAGEMENT GROUP, INC.",KAREN,WILSON,(270) 826-2394,64,8/31/21
100050,HIGHLAND HOMES,219 STEVENS AVENUE,PRINCETON,42445,CALDWELL,"HIGHLAND HOMES, INC.",JONATHAN,CHEWNING,(270) 365-3254,100,5/31/22
100935,IVY KNOLL,800 HIGHLAND AVENUE,COVINGTON,41011,KENTON,"NORTHERN KENTUCKY ASSISTED LIVING, LLC",MATTHEW,AUSTIN,(859) 491-3800,45,12/31/21
100140,JONESVILLE REST HOME,230 SCHOOL ROAD,JONESVILLE,41052,GRANT,"MATRIARCH PROPERTIES, INC",HOLLY,MOUNT,(859) 824-4610,26,6/30/21
100032,KINGS DAUGHTERS AND SONS HOME,1100 BATH AVENUE,ASHLAND,41101,BOYD,KINGS' DAUGHTERS' & SONS' HOME FOR AGED MEN & WOME,STEVE,PERRY,(606) 324-0343,36,Pending Renewal
101330,LEGACY RESERVE AT FRITZ FARM,2700 MAN O WAR BLVD,LEXINGTON,40515,FAYETTE,"1818 LEXINGTONSLINVESTORS, LLC",SHERI,LAWRENCE,(859) 286-5111,53,1/31/22
100390,LEWIS MEMORIAL METHODIST HOME,2905 BOWLING GREEN ROAD,FRANKLIN,42134,SIMPSON,"LEWIS MEMORIAL, INC.",AMANDA,DENNEY,(270) 586-3461,23,Pending Renewal
100653,MAYFAIR VILLAGE RETIREMENT CENTER,3310 TATES CREEK ROAD,LEXINGTON,40502,FAYETTE,"MAYFAIR VILLAGE RETIREMENT CENTER, INC.",SHARON,DAVIS,(859) 266-2129,24,12/31/21
100901,MCDOWELL PLACE OF DANVILLE,1181 BEN ALI DRIVE,DANVILLE,40422,BOYLE,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,SUSAN,MATHERLY,(859) 239-4663,12,3/31/22
101257,MORNING POINTE OF DANVILLE,1375 PERRYVILLE ROAD,DANVILLE,40422,BOYLE,"DANVILLE MEDICAL INVESTORS, LLC",LISA,KELLER,(859) 965-1008,66,8/31/21
101087,MORNING POINTE OF FRANKFORT,68 C MICHAEL DAVENPORT BLVD,FRANKFORT,40601,FRANKLIN,"FRANKFORT SENIOR COMMUNITY, L.P.",STACI,DENNIS,(502) 226-5888,48,8/31/21
101137,MORNING POINTE OF LEXINGTON,233 RUCCIO WAY,LEXINGTON,40503,FAYETTE,"SENIOR CARE ASSOCIATES, LLC",DENINE,COLLINS,(423) 238-5330,80,2/28/22
101172,MORNING POINTE OF LEXINGTON EAST,150 SHORESIDE DRIVE,LEXINGTON,40515,FAYETTE,"LEXINGTON EAST MEDICAL INVESTORS, LLC",BROOKE,GRIFFITH,(859) 721-0350,80,8/31/21
101229,MORNING POINTE OF LOUISVILLE AT SOUTH HURSTBOURNE,4711 SOUTH HURSTBOURNE PARKWAY,LOUISVILLE,40291,JEFFERSON,"LOUISVILLE MEDICAL INVESTORS, LLC",NIKKI,THELEN,(502) 319-3510,80,9/30/21
101086,MORNING POINTE OF RICHMOND,1400 GIBSON BAY DRIVE,RICHMOND,40475,MADISON,"RICHMOND SENIOR COMMUNITY, LP",JASON,MORGAN,(859) 626-5000,48,3/31/22
101057,MORNING POINTE OF RUSSELL,1000 ADDINGTON DRIVE,RUSSELL,41169,GREENUP,RUSSELL SENIOR COMMUNITY LLC,CHERYL,STEPHENS,(606) 833-1120,68,4/30/22
100922,PARK LOUISVILLE,10451 LINN STATION ROAD,LOUISVILLE,40223,JEFFERSON,"MFF LOUISVILLE, LLC",AMANDA,PRIDDY,(502) 423-8776,64,7/31/21
100168,PARKSIDE MANOR LLC,317 ODDVILLE AVENUE,CYNTHIANA,41031,HARRISON,"PARKSIDE MANOR, LLC",KELLI,BAILEY,(859) 234-4430,51,10/31/21
100240,PARR'S REST HOME,3101 NORTH HURSTBOURNE PARKWAY,LOUISVILLE,40241,JEFFERSON,"BAPTIST HOMES--PARR'S REST, INC.",ERIC,BRYANT,(502) 412-3775,91,5/31/22
100071,PENNYRILE HOME,502 NOEL AVENUE,HOPKINSVILLE,42240,CHRISTIAN,"PENNYRILE HOME, INC.",PHYLLIS,BURKE,(270) 886-9915,94,11/30/21
101336,PRESTON GREENS SENIOR LIVING,1825 LITTLE HERB WAY,LEXINGTON,40509,FAYETTE,"STEADFAST COLLIN LPC, LLC",REBECCA,WILLIAMS,(949) 852-0700,138,8/31/21
100264,REGENCY MANOR,11725 MADISON PIKE,INDEPENDENCE,41051,KENTON,"REGENCY MANOR, LLC",KELLI,BAILEY,(859) 356-9294,59,7/31/21
101116,REGENCY MANOR NORTH,"401 EAST 20TH STREET, 2ND FLOOR",COVINGTON,41011,KENTON,"REGENCY MANOR NORTH, LLC",KELLI,BAILEY,(859) 291-3200,30,11/30/21
101333,REGENCY MEMORY CARE,130 STERLING WAY,MOUNT STERLING,40353,MONTGOMERY,"REGENCY MEMORY CARE, LLC",APRIL,MILES,(859) 520-5111,26,Pending Renewal
100553,RICHMOND PLACE SENIOR LIVING,3195 RIO DOSA DRIVE,LEXINGTON,40509,FAYETTE,LCS LEXINGTON II LLC,CYNTHIA,SCHUBERT,(859) 263-2410,81,3/31/22
100259,ROSE TERRACE LODGE,401 NORTH SECOND STREET,NICHOLASVILLE,40356,JESSAMINE,"ROSE TERRACE LODGE, INC.",JENNIFER,HOLLAND,(859) 885-3821,40,11/30/21
100095,ROSEDALE REST HOME,415 SUTTON LANE,OWENSBORO,42301,DAVIESS,"MDH MANAGEMENT GROUP, INC.",CHRIS,BOLEN,(270) 684-6753,50,Pending Renewal
100460,RUSSELL CONVALESCENT HOME,407 FERRY ROAD,RUSSELL,41169,GREENUP,OSCAR B. BAUMGARDNER,TERESA,BAUMGARDNER,(606) 836-5616,28,Pending Renewal
100009,SCOTTSVILLE MANOR,824 NORTH FOURTH,SCOTTSVILLE,42164,ALLEN,"SCOTTSVILLE MANOR, INC.",LESA,KEEN,(270) 237-5182,40,11/30/21
100170,SHADY LAWN LLC,108 S MILLER STREET,CYNTHIANA,41031,HARRISON,KELLI AND CHALLIE BAILEY,KELLI,BAILEY,(859) 234-2606,75,10/31/21
100346,SPARKS NURSING CENTER,500 EAST WHITMER STREET,CENTRAL CITY,42330,MUHLENBERG,"SPARKS NURSING CENTER, INC.",JENNIFER,STEELE,(270) 754-4838,88,2/28/22
101185,"ST CHARLES CARE CENTER, INC",610 FARRELL DRIVE,COVINGTON,41011,KENTON,"ST. CHARLES CARE CENTER, INC.",KAREN,SMITH,(859) 331-3224,32,2/28/22
101278,STORYPOINT PROSPECT,6901 CARSLAW COURT,PROSPECT,40059,JEFFERSON,"SENIOR LIVING PROSPECT, LLC",MELVIN,FREELS,(502) 907-3778,65,7/31/21
100315,SUNNY ACRES,426 HIGHWAY 81 NORTH,CALHOUN,42327,MCLEAN,"J.R.F., INC.",MARK,HUMPHREY,(270) 273-3113,32,3/31/22
101074,SUNRISE OF LOUISVILLE,6700 OVERLOOK DRIVE,LOUISVILLE,40241,JEFFERSON,"SUNRISE LOUISVILLE KY SENIOR LIVING, LLC",BRANDIE,WINDSOR,(502) 425-0820,94,1/31/22
101297,SYMPHONY AT VALLEY FARMS,10201 VALLEY FARMS BOULEVARD,LOUISVILLE,40272,JEFFERSON,"VALLEY FARMS OPERATOR, LLC",CYNTHIA,BRATCHER,(502) 937-3028,90,8/31/21
100873,THE BRECKINRIDGE,2109 CORNERSTONE DRIVE,LEXINGTON,40509,FAYETTE,"SOUTHERN COALITION OF HOUSING OPPORTUNITIES, INC.",ROBIN,HAMON,(859) 543-0824,26,1/31/22
101153,THE ENCLAVE OF EAST LOUISVILLE,100 SHELBY STATION DRIVE,LOUISVILLE,40245,JEFFERSON,"SHELBY STATION SENIOR CARE, LLC",LORI,COOPER,(502) 632-0220,102,9/30/21
100360,"THE FRONT GATE, LLC",213 MAIN STREET,BUTLER,41006,PENDLETON,"THE FRONT GATE, LLC",RHONDA,BOTHMAN,(859) 472-6011,19,2/28/22
101352,THE GRAND SENIOR LIVING,9300 CIVIC WAY,PROSPECT,40059,JEFFERSON,,CONNOR,JOFFE,(502) 200-8039,86,10/31/21
101268,THE HAVEN AT MASSEY SPRINGS,2945 SMALLHOUSE ROAD,BOWLING GREEN,42104,WARREN,"BOWLING GREEN SENIOR LIVING, LLC",SARA,SOUTHERLAND,(270) 904-1999,18,4/30/22
100182,THE HOMESTEAD,384 THOMPSON AVENUE,MADISONVILLE,42431,HOPKINS,"M & J MANAGEMENT, LLC",BRANDY,GREENWOOD,(270) 821-5294,64,Pending Renewal
101200,THE LANTERN AT MORNING POINTE ALZ & MEMORY CARE,225 RUCCIO WAY,LEXINGTON,40503,FAYETTE,,JESSICA,BUCKNER,(423) 238-5330,50,11/30/21
101282,THE LANTERN AT MORNING POINTE ALZHEIMER'S & MEMORY,4701 SOUTH HURSTBOURNE PARKWAY,LOUISVILLE,40291,JEFFERSON,"LOUISVILLE ALZHEIMER'S INVESTORS, LLC",YAHSAHNAH,WILLIAMS,(423) 238-5330,52,6/30/21
101272,THE LANTERN AT MORNING POINTE ALZHEIMER'S AND MEMO,1063 ADDINGTON DR,RUSSELL,41169,GREENUP,"RUSSELL ALZHEIMER'S INVESTORS, LLC",CHERYL,STEPHENS,(606) 824-9248,50,8/31/21
101131,THE LANTERN AT MORNING POINTE OF FRANKFORT,66 C MICHAEL DAVENPORT BOULEVARD,FRANKFORT,40601,FRANKLIN,"FRANKFORT MEDICAL INVESTORS, LLC",RENEA,GARTLAND,(502) 226-7118,42,4/30/22
100164,THE LAURELS,169 COUNTY PIKE,HARLAN,40831,HARLAN,"THE LAURELS, INC.",HELEN,SMITH,(606) 573-5105,82,Pending Renewal
101273,THE LEGACY AT ENGLISH STATION,13700 ENGLISH VILLA DRIVE,LOUISVILLE,40245,JEFFERSON,"ENGLISH STATION OPCO, LLC",MATTHEW,JONES,(502) 254-2361,65,5/31/22
101180,THE LEGACY AT THE WILLOWS,2521 OLD ROSEBUD ROAD,LEXINGTON,40509,FAYETTE,"TRILOGY HEALTHCARE OF FAYETTE 1, LLC",SAMUEL,FRAZIER,(859) 543-0337,25,5/31/22
101280,THE MEADOWS AT WINDSOR GARDENS,100 WINDSOR PATH,GEORGETOWN,40324,SCOTT,"GEORGETOWN SENIOR LIVING PARTNERS, LLC",CARRIE,JOHNSON,(502) 570-0540,19,7/31/21
100190,THE OAKS PCH MADISONVILLE,140 GIVENS STREET,MADISONVILLE,42431,HOPKINS,"THE OAKS PCH/MADISONVILLE, LLC.",JAKISHA,CIVILS,(270) 821-2155,58,Pending Renewal
100854,THE OAKS PCH/LEWISPORT,1580 FOURTH STREET,LEWISPORT,42351,HANCOCK,"THE OAKS PCH/LEWISPORT, LLC",BRENDA,CONNER,(270) 295-4255,56,Pending Renewal
100061,VALLEY HAVEN REST HOME,190 MCDANIEL STREET,SANDERS,41083,CARROLL,"VALLEY HAVEN REST HOME, LLC",AMANDA,PUGH,(502) 347-5300,45,3/31/22
100261,"VENTURE HOME OF PAINTSVILLE, LLC",610 F M STAFFORD AVENUE,PAINTSVILLE,41240,JOHNSON,"PELFREY MANGEMENT, LLC",MICHAEL,CARROLL,(606) 789-5576,65,9/30/21
101365,WALKER'S TRAIL SENIOR LIVING,100 DAVCO DRIVE,DANVILLE,40422,BOYLE,"DANVILLE SENIOR PARTNERS, LLC",LINDSEY,FOSTER,(859) 236-5383,83,1/31/22
100291,"WAYNESBURG MANOR, LLC",765 HIGHWAY 3276,WAYNESBURG,40489,LINCOLN,WAYNESBURG MANOR LLC,KELLIE,HATTER,(606) 379-2614,28,12/31/21
100947,WICKSHIRE BLANKENBAKER,901 BLANKENBAKER ROAD,MIDDLETOWN,40243,JEFFERSON,"WICKSHIRE BLANKENBAKER OPCO, LLC",ADRIANNA,MARSHALL,(502) 244-4244,99,6/30/21
