License Number,Facility Name,Address,City,Zip Code,County,Licensee,Phone Number,Capacity,State Facility Type 1 Literal,State Facility Type 2 Literal,State,Date Accessed
100901.0,Mcdowell Place Of Danville,1181 BEN ALI DRIVE,Danville,40422,Boyle,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,(859) 239-4663,12.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101257.0,Morning Pointe Of Danville,1375 PERRYVILLE ROAD,Danville,40422,Boyle,"DANVILLE MEDICAL INVESTORS, LLC",(859) 965-1008,66.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101087.0,Morning Pointe Of Frankfort,68 C MICHAEL DAVENPORT BLVD,Frankfort,40601,Franklin,"FRANKFORT SENIOR COMMUNITY, L.P.",(502) 226-5888,48.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101137.0,Morning Pointe Of Lexington,233 RUCCIO WAY,Lexington,40503,Fayette,"SENIOR CARE ASSOCIATES, LLC",(423) 238-5330,80.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101172.0,Morning Pointe Of Lexington East,150 SHORESIDE DRIVE,Lexington,40515,Fayette,"LEXINGTON EAST MEDICAL INVESTORS, LLC",(859) 721-0350,80.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101229.0,Morning Pointe Of Louisville At South Hurstbourne,4711 SOUTH HURSTBOURNE PARKWAY,Louisville,40291,Jefferson,"LOUISVILLE MEDICAL INVESTORS, LLC",(502) 319-3510,80.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101086.0,Morning Pointe Of Richmond,1400 GIBSON BAY DRIVE,Richmond,40475,Madison,"RICHMOND SENIOR COMMUNITY, LP",(859) 626-5000,48.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101057.0,Morning Pointe Of Russell,1000 ADDINGTON DRIVE,Russell,41169,Greenup,RUSSELL SENIOR COMMUNITY LLC,(606) 833-1120,68.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100922.0,Park Louisville,10451 LINN STATION ROAD,Louisville,40223,Jefferson,"MFF LOUISVILLE, LLC",(502) 423-8776,64.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100168.0,Parkside Manor Llc,317 ODDVILLE AVENUE,Cynthiana,41031,Harrison,"PARKSIDE MANOR, LLC",(859) 234-4430,51.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100240.0,Parr'S Rest Home,3101 NORTH HURSTBOURNE PARKWAY,Louisville,40241,Jefferson,"BAPTIST HOMES--PARR'S REST, INC.",(502) 412-3775,91.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100071.0,Pennyrile Home,502 NOEL AVENUE,Hopkinsville,42240,Christian,"PENNYRILE HOME, INC.",(270) 886-9915,94.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101336.0,Preston Greens Senior Living,1825 LITTLE HERB WAY,Lexington,40509,Fayette,"STEADFAST COLLIN LPC, LLC",(949) 852-0700,138.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100264.0,Regency Manor,11725 MADISON PIKE,Independence,41051,Kenton,"REGENCY MANOR, LLC",(859) 356-9294,59.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101116.0,Regency Manor North,"401 EAST 20TH STREET, 2ND FLOOR",Covington,41011,Kenton,"REGENCY MANOR NORTH, LLC",(859) 291-3200,30.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101333.0,Regency Memory Care,130 STERLING WAY,Mount Sterling,40353,Montgomery,"REGENCY MEMORY CARE, LLC",(859) 520-5111,26.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100553.0,Richmond Place Senior Living,3195 RIO DOSA DRIVE,Lexington,40509,Fayette,LCS LEXINGTON II LLC,(859) 263-2410,81.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100259.0,Rose Terrace Lodge,401 NORTH SECOND STREET,Nicholasville,40356,Jessamine,"ROSE TERRACE LODGE, INC.",(859) 885-3821,40.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100095.0,Rosedale Rest Home,415 SUTTON LANE,Owensboro,42301,Daviess,"MDH MANAGEMENT GROUP, INC.",(270) 684-6753,50.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100460.0,Russell Convalescent Home,407 FERRY ROAD,Russell,41169,Greenup,OSCAR B. BAUMGARDNER,(606) 836-5616,28.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100009.0,Scottsville Manor,824 NORTH FOURTH,Scottsville,42164,Allen,"SCOTTSVILLE MANOR, INC.",(270) 237-5182,40.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100170.0,Shady Lawn Llc,108 S MILLER STREET,Cynthiana,41031,Harrison,KELLI AND CHALLIE BAILEY,(859) 234-2606,75.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100346.0,Sparks Nursing Center,500 EAST WHITMER STREET,Central City,42330,Muhlenberg,"SPARKS NURSING CENTER, INC.",(270) 754-4838,88.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101185.0,"St Charles Care Center, Inc",610 FARRELL DRIVE,Covington,41011,Kenton,"ST. CHARLES CARE CENTER, INC.",(859) 331-3224,32.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101278.0,Storypoint Prospect,6901 CARSLAW COURT,Prospect,40059,Jefferson,"SENIOR LIVING PROSPECT, LLC",(502) 907-3778,65.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100315.0,Sunny Acres,426 HIGHWAY 81 NORTH,Calhoun,42327,Mclean,"J.R.F., INC.",(270) 273-3113,32.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101074.0,Sunrise Of Louisville,6700 OVERLOOK DRIVE,Louisville,40241,Jefferson,"SUNRISE LOUISVILLE KY SENIOR LIVING, LLC",(502) 425-0820,94.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101297.0,Symphony At Valley Farms,10201 VALLEY FARMS BOULEVARD,Louisville,40272,Jefferson,"VALLEY FARMS OPERATOR, LLC",(502) 937-3028,90.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100873.0,The Breckinridge,2109 CORNERSTONE DRIVE,Lexington,40509,Fayette,"SOUTHERN COALITION OF HOUSING OPPORTUNITIES, INC.",(859) 543-0824,26.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101153.0,The Enclave Of East Louisville,100 SHELBY STATION DRIVE,Louisville,40245,Jefferson,"SHELBY STATION SENIOR CARE, LLC",(502) 632-0220,102.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100360.0,"The Front Gate, Llc",213 MAIN STREET,Butler,41006,Pendleton,"THE FRONT GATE, LLC",(859) 472-6011,19.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101352.0,The Grand Senior Living,9300 CIVIC WAY,Prospect,40059,Jefferson,,(502) 200-8039,86.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101268.0,The Haven At Massey Springs,2945 SMALLHOUSE ROAD,Bowling Green,42104,Warren,"BOWLING GREEN SENIOR LIVING, LLC",(270) 904-1999,18.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100182.0,The Homestead,384 THOMPSON AVENUE,Madisonville,42431,Hopkins,"M & J MANAGEMENT, LLC",(270) 821-5294,64.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101200.0,The Lantern At Morning Pointe Alz & Memory Care,225 RUCCIO WAY,Lexington,40503,Fayette,,(423) 238-5330,50.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101282.0,The Lantern At Morning Pointe Alzheimer'S & Memory,4701 SOUTH HURSTBOURNE PARKWAY,Louisville,40291,Jefferson,"LOUISVILLE ALZHEIMER'S INVESTORS, LLC",(423) 238-5330,52.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101272.0,The Lantern At Morning Pointe Alzheimer'S And Memo,1063 ADDINGTON DR,Russell,41169,Greenup,"RUSSELL ALZHEIMER'S INVESTORS, LLC",(606) 824-9248,50.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101131.0,The Lantern At Morning Pointe Of Frankfort,66 C MICHAEL DAVENPORT BOULEVARD,Frankfort,40601,Franklin,"FRANKFORT MEDICAL INVESTORS, LLC",(502) 226-7118,42.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100164.0,The Laurels,169 COUNTY PIKE,Harlan,40831,Harlan,"THE LAURELS, INC.",(606) 573-5105,82.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101273.0,The Legacy At English Station,13700 ENGLISH VILLA DRIVE,Louisville,40245,Jefferson,"ENGLISH STATION OPCO, LLC",(502) 254-2361,65.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101180.0,The Legacy At The Willows,2521 OLD ROSEBUD ROAD,Lexington,40509,Fayette,"TRILOGY HEALTHCARE OF FAYETTE 1, LLC",(859) 543-0337,25.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101280.0,The Meadows At Windsor Gardens,100 WINDSOR PATH,Georgetown,40324,Scott,"GEORGETOWN SENIOR LIVING PARTNERS, LLC",(502) 570-0540,19.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100190.0,The Oaks Pch Madisonville,140 GIVENS STREET,Madisonville,42431,Hopkins,"THE OAKS PCH/MADISONVILLE, LLC.",(270) 821-2155,58.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100854.0,The Oaks Pch/Lewisport,1580 FOURTH STREET,Lewisport,42351,Hancock,"THE OAKS PCH/LEWISPORT, LLC",(270) 295-4255,56.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100061.0,Valley Haven Rest Home,190 MCDANIEL STREET,Sanders,41083,Carroll,"VALLEY HAVEN REST HOME, LLC",(502) 347-5300,45.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100261.0,"Venture Home Of Paintsville, Llc",610 F M STAFFORD AVENUE,Paintsville,41240,Johnson,"PELFREY MANGEMENT, LLC",(606) 789-5576,65.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
101365.0,Walker'S Trail Senior Living,100 DAVCO DRIVE,Danville,40422,Boyle,"DANVILLE SENIOR PARTNERS, LLC",(859) 236-5383,83.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100291.0,"Waynesburg Manor, Llc",765 HIGHWAY 3276,Waynesburg,40489,Lincoln,WAYNESBURG MANOR LLC,(606) 379-2614,28.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
100947.0,Wickshire Blankenbaker,901 BLANKENBAKER ROAD,Middletown,40243,Jefferson,"WICKSHIRE BLANKENBAKER OPCO, LLC",(502) 244-4244,99.0,PERSONAL CARE HOME,FREESTANDING,KY,6/25/21
,"Summer Breeze Homes, Llc",160 LAWRENCE ST.,Brandenburg,40108,Meade,,270-422-2279,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Amber Oaks,156 HAVEN HILL ROAD,Shelbyville,40065,Shelby,,502-647-4546,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Arcadia Of Benton ,971 BIRCH ST.,Benton,42025,Marshall,,270-527-1700,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Lakes Of Paducah, Llc",2265 OLIVET CHURCH RD.,Paducah,42001,Mccracken,,270-448-7777,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Arcadia Of Bowling Green,618 LOVERS LANE,Bowling Green,42103,Warren,,270-495-4504,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Arcadian Assisted Living, Llc",532 CADY DRIVE,Richmond,40475,Madison,,859-624-0022,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Ashtongrove,115 ASHTON GROVE LANE,Georgetown,40324,Scott,,502-570-9222,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Elizabethtown,133 HEARTLAND DRIVE,Elizabethtown,42701,Hardin,,270-360-8001,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Highland Crossing,400 FARRELL DR.,Ft. Wright,41011,Kenton,,859-341-0777,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,                                                                                                                                                                                                 Atria Springdale,4501 SPRINGDALE ROAD,Louisville,40241,Jefferson,,502-412-0222,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria St. Matthews,120 S. HUBBARDS LN.,Louisville,40207,Jefferson,,502-896-1767,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Stony Brook,3451 S. HURSTBOURNE PARKWAY,Louisville,40299,Jefferson,,502-499-1393,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Atria Summit Hills,2625 LEGENDS WAY,Crestview Hills,41017,Kenton,,859-331-5951,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Barkley Plantation,640 BYPASS RD.,Cadiz,42211,Trigg,,270-522-0018,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Barrington At Ft. Thomas,940 HIGHLAND AVE.,Ft. Thomas,41075,Campbell,,859-572-0667,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Brandenburg,103 COMMERCE DRIVE,Brandenburg,40108,Meade,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Goshen,12336 US HWY 42,Goshen,40026,Oldham,,502-292-3200,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Grayson County,1417 BRANDENBURG RD.,Leitchfield,42754,Grayson,,270-681-6760,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Lyndon,8401 LAGRANGE RD.,Louisville,40222,Jefferson,,502-423-0103,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Smyrna,8800 SMYRNA PARKWAY,Louisville,40228,Jefferson,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bee Hive Home Of Smyrna - Memory Care,8802 SMYRNA PARKWAY,Louisville,40228,Jefferson,,502-345-1468,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bluegrass Assisted Living,1108 REGENCY WAY,Elizabethtown,42701,Hardin,,270-234-9440,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Bluegrass Assisted Living Properties Iii, Llc",107 THRUWAY DR,Bardstown,40004,Nelson,,502-349-2026,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Bluegrass Way Senior Living,100 GARDEN WAY,Campbellsville,42718,Taylor,,270-789-1200,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Breckinridge Services, Inc.",170 SYKES BLVD,Morganfield,42437,Union,,270-389-1133,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,"Christian Care Services, Inc",5220 GREY OAK LANE,Nicholasville,40356,Jessamine,,859-971-4910,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
,Brookdale Murray,905 GLENDALE RD.,Murray,42071,Calloway,,270-759-1555,,ASSISTED LIVING COMMUNITY,,KY,6/25/21
