Facility Name,Address,Capacity,County,Phone Number,Licensee,State Facility Type 1 Literal,State Facility Type 2 Literal,City,Zip Code,Date Accessed,State
Bee Hive Homes Of Marion,"5750 DALE DRIVE                           (PO BOX 1883, MERIDIAN, MS 39302)",16,Lauderdale,(601) 482-8800,JOHN M. MAYFIELD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Marion,39342,8/11/21,MS
Bee Hive Homes Of Newton,"601 SOUTH MAIN STREET              (PO BOX 1883, MERIDIAN, MS 39302)",13,Newton,(601) 683-0000,JOHN M. MAYFIELD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Newton,39345,8/11/21,MS
Bee Hive Homes Of Petal,"503 SOUTH MAIN STREET (1031 WEST CONGRESS STREET, BROOKHAVEN, MS  39601)",16,Forrest,(601) 602-4929,"MAGNOLIA BEE HIVE HOMES BUSINESS, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Petal,39465,8/11/21,MS
Bee Hive Homes Of Philadelphia,"708 COLUMBUS AVENUE              (PO BOX 1883; MERIDIAN, MS 39302)",15,Neshoba,(601) 656-0220,JOHN M. MAYFIELD,PERSONAL CARE HOME,RESIDENTIAL LIVING,Philadelphia,39350,8/11/21,MS
Bee Hive Homes Of Picayune,"4000 WILDWOOD DRIVE            (1031 WEST CONGRESS STREET, BROOKHAVEN, MS 39601)",16,Pearl River,(769) 242-2344,NATHAN LANCE NEWMAN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Picayune,39466,8/11/21,MS
Bee Hive Homes Of Starkville,"2156 OLD WEST POINT ROAD       (PO BOX 1883, MERIDIAN, MS 39302)",16,Oktibbeha,(662) 323-2883,"AUDREY TRULOVE, LICENSEE",PERSONAL CARE HOME,RESIDENTIAL LIVING,Starkville,39759,8/11/21,MS
Bellevue Assisted Living,34 GRAHAM ROAD,50,Lamar,(601) 818-2016,"BELLEVUE ASSISTED LIVING, INC. ",PERSONAL CARE HOME,ASSISTED LIVING,Hattiesburg,39402,8/11/21,MS
Belmont Gardens,"3201 WISCONSIN AVENUE            (PO BOX 820874, VICKSBURG, MS 39182)",32,Warren,(601) 636-8006,"DANIEL EDNEY, MD",PERSONAL CARE HOME,RESIDENTIAL LIVING,Vicksburg,39180,8/11/21,MS
Blueberry Hill Personal Care Home,1005 SOUTH SHIVERS STREET,11,Pearl River,(601) 403-8177,BRAD GREER,PERSONAL CARE HOME,RESIDENTIAL LIVING,Poplarville,39470,8/11/21,MS
Brandon Court,100 BURNHAM ROAD,6,Rankin,(601) 664-2259,"RANKIN COMMUNITY CARE CENTER, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Brandon,39042,8/11/21,MS
Briar Hill Rest Home Personal Care Home,1201 GUNTER ROAD,2,Rankin,(601) 939-6371,"BRIAR HILL REST HOME, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Florence,39073,8/11/21,MS
"Broadway Manor Assisted Living And Personal Care Home, Llc",515 NORTH BROADWAY STREET,11,Washington,(662) 702-5007,"OTIS C. REDMOND, SR.",PERSONAL CARE HOME,ASSISTED LIVING,Greenville,38701,8/11/21,MS
Brookdale Biloxi,2120 ENTERPRISE DRIVE,105,Harrison,(228) 388-0946,EMERITUS CORPORATION,PERSONAL CARE HOME,ASSISTED LIVING,Biloxi,39531,8/11/21,MS
Brookdale Clinton,501 EAST NORTHSIDE DRIVE,108,Hinds,(601) 926-1224,"EMERITRACE, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Clinton,39056,8/11/21,MS
Brookdale Hattiesburg I,103 FOX CHASE STREET,90,Forrest,(601) 271-2177,"EMERITOL LO HATTIESBURG, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Hattiesburg,39402,8/11/21,MS
Brookdale Hattiesburg Ii,107 FOX CHASE STREET,56,Forrest,(601) 271-8480,EMERITUS CORPORATION,PERSONAL CARE HOME,ASSISTED LIVING,Hattiesburg,39402,8/11/21,MS
Brookdale Meridian,4555 35TH AVENUE,110,Lauderdale,(601) 483-4566,EMERITUS CORPORATION,PERSONAL CARE HOME,ASSISTED LIVING,Meridian,39305,8/11/21,MS
Brooklyn Hall Personal Care Home,23283 HIGHWAY 15 SOUTH,14,Choctaw,(662) 263-8001,LYNN MCCLELLAND,PERSONAL CARE HOME,RESIDENTIAL LIVING,Mathiston,39752,8/11/21,MS
Brookwood Villa,915 WAYNE STREET,30,Wayne,(601) 735-0264,RENEE GRIMES,PERSONAL CARE HOME,RESIDENTIAL LIVING,Waynesboro,39367,8/11/21,MS
Bruce Community Living Center,176 HIGHWAY 9 SOUTH                 (PO BOX 1280),20,Calhoun,(662) 412-5100,"CLC OF BRUCE, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Bruce,-1280,8/11/21,MS
Buckman Enrichment Home,102 ENRICHMENT COVE                 (PO BOX 97),20,Tate,(662) 366-6920,PARKE PEPPER,PERSONAL CARE HOME,ASSISTED LIVING,Senatobia,38668,8/11/21,MS
Camellia Estates,1714 WHITE STREET,48,Pike,(601) 250-0066,"PIKE COMMUNITY CARE CENTER, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Mccomb,39648,8/11/21,MS
"Castlewoods Place, Assisted Living And Memory Care","140 CASTLEWOODS BOULEVARD (17330 PRESTON ROAD, SUITE 240B, DALLAS, TX 75252)",120,Rankin,(601) 919-1208,"WELLTOWER PEGASUS TENANT, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Brandon,39047,8/11/21,MS
Charleston Place,804 SOUTH ADAMS STREET           (PO BOX 337),46,Itawamba,(662) 862-2465,JAMES C. HOLLAND,PERSONAL CARE HOME,ASSISTED LIVING,Fulton,38843,8/11/21,MS
Chateau Pines Assisted Living,"124 MORGAN'S LANE                    (PO BOX 970, BRANDON, MS  39043)",50,Rankin,(601) 706-7001,CHATEAU PINES ASSISTED LIVING,PERSONAL CARE HOME,ASSISTED LIVING,Brandon,39042,8/11/21,MS
Christian Care Center,399 CAUTHEN STREET,31,Madison,(601) 859-0634,RICHARD JOHNSON,PERSONAL CARE HOME,RESIDENTIAL LIVING,Canton,39046,8/11/21,MS
"Christopher'S Manor Assisted Living, Inc.","885 HWY 178 EAST                           (PO BOX 4150, TUPELO, MS 38803)",46,Marshall,(662) 551-1122,KENNETH LONG,PERSONAL CARE HOME,ASSISTED LIVING,Holly Springs,38635,8/11/21,MS
"Church Street Manor, Inc.",36 ELM LANE,40,Pontotoc,(662) 489-6462,KENNETH LONG,PERSONAL CARE HOME,RESIDENTIAL LIVING,Ecru,38841,8/11/21,MS
Collegeview Personal Care Home,1323 COLLEGE STREET,6,Lowndes,(662) 327-9463,CAROLYN REED,PERSONAL CARE HOME,RESIDENTIAL LIVING,Columbus,39701,8/11/21,MS
Comfortcare Assisted Living,1100 WEST DRIVE,12,Jones,(601) 422-0022,SOUTH CENTRAL REGIONAL MEDICAL CENTER,PERSONAL CARE HOME,ASSISTED LIVING,Laurel,39440,8/11/21,MS
Community Development Inc Assisted Living I,200 NORTH FRONT STREET              (PO BOX 689),30,Perry,(601) 912-5003                         (601) 912-5043,OMA HIBBLER,PERSONAL CARE HOME,ASSISTED LIVING,Richton,39476,8/11/21,MS
Community Development Inc Assisted Living Ii,116 NORTH FRONT STREET              (PO BOX 689),12,Perry,(601) 912-5009,OMA HIBBLER,PERSONAL CARE HOME,ASSISTED LIVING,Richton,39476,8/11/21,MS
Cottonwood Manor,3147 OLD AMY ROAD,24,Jones,(601) 425-0095,ROBERT HALL,PERSONAL CARE HOME,ASSISTED LIVING,Laurel,39443,8/11/21,MS
Country Cottage,"3002 NORTH POLK STREET                 (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",29,Alcorn,(662) 287-7811,"COTTAGES CORINTH, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Corinth,38834,8/11/21,MS
Country Meadow Personal Care Home,4100 CR 164,18,Leflore,(662) 453-4533,DANNY F. EDWARDS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Greenwood,38930,8/11/21,MS
Countrywood Manor Assisted Living,145 WATSON DRIVE,78,Itawamba,(662) 282-7808,KENNETH A. LONG,PERSONAL CARE HOME,ASSISTED LIVING,Mantachie,38855,8/11/21,MS
Covington Ridge,100 COVINGTON RIDGE PLACE,36,Covington,(601) 765-1100,HANK LOTT,PERSONAL CARE HOME,RESIDENTIAL LIVING,Collins,39428,8/11/21,MS
"Creekside Manor Assisted Living, Inc.",200 KNIGHT DRIVE,88,Lee,(662) 869-7009,KENNETH A. LONG,PERSONAL CARE HOME,ASSISTED LIVING,Saltillo,38866,8/11/21,MS
Culpepper Place Of Olive Branch,7250 PLEASANT HILL ROAD,80,Desoto,(662) 893-1462,ROBERT FOSTER,PERSONAL CARE HOME,ASSISTED LIVING,Olive Branch,38654,8/11/21,MS
"Destiny Manor, Llc",104 MARTIN LUTHER KING DRIVE    (PO BOX 383),12,Washington,(662) 827-7500,MAXINE HARRIS,PERSONAL CARE HOME,ASSISTED LIVING,Arcola,38722,8/11/21,MS
Dixie Home Care,"4 FALCON LANE (PO BOX 334, MOSELLE, MS  39459)",15,Forrest,(601) 596-3786,BRENT BROOME,PERSONAL CARE HOME,RESIDENTIAL LIVING,Hattiesburg,39401,8/11/21,MS
Dogwood Corinth,"1101 LEVEE ROAD                     (1355 LYNNFIELD ROAD, SUITE 110; MEMPHIS, TN 38119)",60,Alcorn,(662) 286-7021,"DOGWOOD CORINTH, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Corinth,38834,8/11/21,MS
Dogwood Fulton,"201 W. PIERCE TOWN ROAD     (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",36,Itawamba,(662) 862-6120,"THE DOGWOOD OF FULTON, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Fulton,38843,8/11/21,MS
Dogwood New Albany,"250 FAIRFIELD DRIVE                   (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",24,Union,(662) 534-7335,"GUARDIAN TUPELO, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,New Albany,38652,8/11/21,MS
Dunbar Village Courtyard,725 DUNBAR AVENUE,10,Hancock,(228) 466-3099,DUNBAR VILLAGE LP,PERSONAL CARE HOME,ASSISTED LIVING,Bay St. Louis,39520,8/11/21,MS
Elderly Care Center,496 MAGNOLIA DRIVE,15,Noxubee,(662) 726-2630,CAROL PRUITT  1/11/21 SARA PRUITT SAID OWNER DIED.  SHE WILL DO CHOW.,PERSONAL CARE HOME,RESIDENTIAL LIVING,Macon,39341,8/11/21,MS
Elmcroft Of Oxford,100 AZALEA DRIVE,90,Lafayette,(662) 234-9600,"WELLTOWER PEGASUS TENANT, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Oxford,38655,8/11/21,MS
Erie Personal Care Home,606 ERIE STREET,11,Hinds,(601) 354-9186,TERESA WARNER,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39203,8/11/21,MS
"Eva’S Assisted Living Facility, Llc",258 VESTRY ROAD,25,George,(601) 945-5053,KATRINA NELSON,PERSONAL CARE HOME,ASSISTED LIVING,Perkinston,39573,8/11/21,MS
"Ez Living Residential Services, Llc",16076 FIRE DEPARTMENT ROAD,20,Hancock,(228) 255-2592,MICHAEL HENLEY,PERSONAL CARE HOME,RESIDENTIAL LIVING,Kiln,39556,8/11/21,MS
Fairfield Of Batesville,640 KEATING ROAD                        (PO BOX 1632),54,Panola,(662) 563-2345,"PROVIDENCE PCC OF BATESVILLE, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Batesville,38606,8/11/21,MS
Fernbrooke Personal Care Home,127 CR 31,19,Chickasaw,(662) 456-9400,JIMA ALEXANDER,PERSONAL CARE HOME,RESIDENTIAL LIVING,Houston,38851,8/11/21,MS
Fisher Care,"5207 ZERO ROAD                        (5035 FISHER RD, MERIDIAN, MS 39301)",8,Lauderdale,(601) 693-9619,"FISHER CARE, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Meridian,39301,8/11/21,MS
Fondren Cove Assisted Living,"4500 NORTH STATE STREET            (PO BOX 55861, JACKSON, MS 39296)",18,Hinds,(601) 987-5583,CAMMIE E. KITCHENS,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39206,8/11/21,MS
"Garden Hill Assisted Living, Llc",2082 YORKVILLE ROAD EAST,62,Lowndes,(662) 329-2772,GEORGE FULLER,PERSONAL CARE HOME,ASSISTED LIVING,Columbus,39702,8/11/21,MS
Garden Suites Assisted Living Facility,"400 SOUTH CHESTNUT STREET (10996 FOUR SEASONS PLACE, SUITE 100A CROWN POINT, IN 46307)",22,Monroe,(662) 319-2085,"BOA VIDA HOSPITAL OF ABERDEEN, MS, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Aberdeen,39730,8/11/21,MS
Generations Senior Living,"1090 CR 811                                  (PO BOX 7236, TUPELO, MS 38802)",36,Lee,(662) 346-4264,EMILY FLOYD,PERSONAL CARE HOME,ASSISTED LIVING,Saltillo,38866,8/11/21,MS
Golden Oak Assisted Living,14306 LEMOYNE BOULEVARD,48,Jackson,(228) 396-1998,"GOLDEN OAKS SENIOR SERVICES, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Biloxi,39532,8/11/21,MS
Guardian Angels 2,354 TRACE ROAD,10,Jones,(601) 340-3086,VICENTE MONCIVAIS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Laurel,39443,8/11/21,MS
"Guardian Angels, Llc",12 VICTORY ROAD,12,Jones,(601) 340-3156,VICENTE MONCIVAIS,PERSONAL CARE HOME,RESIDENTIAL LIVING,Laurel,39443,8/11/21,MS
Harmony Court Assisted Living,"5411 I-55 NORTH                            (PO BOX 16220, JACKSON, MS 39236)",105,Hinds,(769) 251-2098,KEVIN T. WRIGHT,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39206,8/11/21,MS
Haven Hall Assisted Living,101 MILLS STREET,2,Lincoln,(601) 833-5608,"MAGNOLIA HEALTHCARE, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Brookhaven,39601,8/11/21,MS
Haven House,1448 NORTH MAIN STREET            (PO BOX 212),14,Marion,(601) 736-8143,PINE BELT MENTAL HEALTH RESOURCES,PERSONAL CARE HOME,ASSISTED LIVING,Columbia,39429,8/11/21,MS
Heavenly Angels,1031 EAST BROAD STREET,11,Clay,(662) 391-2151,ANGELA RICE,PERSONAL CARE HOME,RESIDENTIAL LIVING,West Point,39773,8/11/21,MS
Heritage House Assisted Living Center,"3103 WISCONSIN AVENUE            (PO BOX 820485, VICKSBURG, MS 39182)",41,Warren,(601) 638-1514,FIRST WARREN CORPORATION,PERSONAL CARE HOME,ASSISTED LIVING,Vicksburg,39180,8/11/21,MS
Hospitality House Personal Care,1670 WHITEHOUSE ROAD,25,Tishomingo,(662) 423-3307,"HOSPITALITY HOUSE PERSONAL CARE, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Iuka,38852,8/11/21,MS
"House Of Faith, Llc","1160 MCLEAN STREET                   (PO BOX 59494, JACKSON, MS 39284)",15,Hinds,(601) 969-6900,FAITH HADLEY,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39209,8/11/21,MS
Indywood Estate,218 RONALDMAN ROAD,39,Bolivar,(662) 843-7885,"INDYWOOD ESTATE, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Cleveland,38732,8/11/21,MS
Indywood Glen,1416 ERIE STREET,62,Leflore,(662) 455-3878,"INDYWOOD GLEN, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Greenwood,38930,8/11/21,MS
Indywood Personal Care Home,541 DORSETT DRIVE,29,Sunflower,(662) 887-3005,"INDYWOOD, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Indianola,38751,8/11/21,MS
Lakeview Nursing Center Personal Care Home,16411 ROBINSON ROAD,10,Harrison,(228) 831-3001,BRIAN CAIN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Gulfport,39503,8/11/21,MS
Lakeview Place,1116 FRANCES AVENUE,15,Simpson,(601)849-1920,C. FAITH KENNEDY,PERSONAL CARE HOME,ASSISTED LIVING,Magee,39111,8/11/21,MS
Lighthouse,8905 OCEAN SPRINGS ROAD,132,Jackson,(228) 215-0521,"OCEAN SPRINGS SENIOR MANAGEMENT, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Ocean Springs,39564,8/11/21,MS
Lynnwood Senior Care,59 LINE ROAD,15,Jones,(601) 425-1059,NILA CONN,PERSONAL CARE HOME,ASSISTED LIVING,Laurel,39443,8/11/21,MS
Madden Lighthouse,"242 THAGGARD ROAD                     (PO BOX 8, MADDEN, MS 39109)",24,Leake,(601) 298-9888,"MADDEN LIGHTHOUSE, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Carthage,39051,8/11/21,MS
Magnolia Gardens Assisted Living Of Ellisville,303 EAST IVY STREET                       (PO BOX 430),20,Jones,(601) 477-9041,DEBORAH STEVERSON,PERSONAL CARE HOME,ASSISTED LIVING,Ellisville,39437,8/11/21,MS
Magnolia Gardens Assisted Living Of Laurel,"616 EAST 19TH STREET                   (PO BOX 430, ELLISVILLE, MS 39437)",48,Jones,(601) 518-0597,DEBORAH STEVERSON,PERSONAL CARE HOME,ASSISTED LIVING,Laurel,39440,8/11/21,MS
Magnolia Gardens Of Greenville,1644 SOUTH COLORADO STREET,48,Washington,(662) 335-9699,"MAGNOLIA GARDENS OF GREENVILLE, LP",PERSONAL CARE HOME,ASSISTED LIVING,Greenville,38703,8/11/21,MS
Magnolia Home,"1900 24TH AVENUE                       (PO BOX 3064, MERIDIAN, MS 39301)",14,Lauderdale,(601) 685-8637,SHELIA POWE,PERSONAL CARE HOME,RESIDENTIAL LIVING,Meridian,39301,8/11/21,MS
Magnolia Manor,"410 EAST FIRST STREET             (10227 HWY 35 NORTH, FOREST, MS 39074)",15,Scott,(601) 469-4389,CHARLES R. RAWSON,PERSONAL CARE HOME,ASSISTED LIVING,Forest,39074,8/11/21,MS
Magnolia Manor Of Tupelo,"1514 CR 41                                 (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",122,Lee,(662) 842-6776,"TUPELO PCH, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Tupelo,38801,8/11/21,MS
Magnolia Place,"4901 HWY 589                               (1438 HIGHWAY 42, SUMRALL, MS  39482)",18,Lamar,(601) 758-0600,HANK LOTT,PERSONAL CARE HOME,RESIDENTIAL LIVING,Sumrall,39482,8/11/21,MS
Magnolia Place New Albany,"1515 MUNSFORD DRIVE             (1355 LYNNFIELD ROAD, SUITE 110, MEMPHIS, TN 38119)",65,Union,(662) 534-0046,"MAGNOLIA NA, LLC",PERSONAL CARE HOME,ASSISTED LIVING,New Albany,38652,8/11/21,MS
Magnolia Village,311 HIGHLAND BOULEVARD,46,Adams,(601) 446-5097,"SENTRY-NATCHEZ, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Natchez,39120,8/11/21,MS
Mcallister'S Personal Care Home,"425 EARLE STREET                           (PO BOX 3628, JACKSON, MS 39204)",11,Hinds,(601) 355-0405,ARTHUR BROWN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39203,8/11/21,MS
Memorial Stone County Nursing & Rehabilitation Center,1436 EAST CENTRAL AVENUE,1,Stone,(601) 928-1889,MEMORIAL HOSPITAL AT GULFPORT,PERSONAL CARE HOME,ASSISTED LIVING,Wiggins,39577,8/11/21,MS
Memorial Woodland Village Nursing Center,5427 GEX ROAD,2,Hancock,(228) 255-4832,MEMORIAL HOSPITAL AT GULFPORT,PERSONAL CARE HOME,ASSISTED LIVING,Diamondhead,39525,8/11/21,MS
"Meridian Living, Llc",538 BONITA LAKES DRIVE,70,Lauderdale,(601) 512-0512,"MERIDIAN LIVING, LLC",PERSONAL CARE HOME,ASSISTED LIVING,Meridian,30301,8/11/21,MS
Midsouth Happy Living,2051 FERGUSON MILL ROAD ,12,Lawrence,(601) 754-3978,TIFFANY K. HALEY,PERSONAL CARE HOME,RESIDENTIAL LIVING,Silver Creek,39663,8/11/21,MS
Miss Bernice'S Phoenix House,50 PATTON PLACE ROAD,16,Holmes,662-834-3344,"NORTHSIDE HAVEN ASSOCIATION, INC.",PERSONAL CARE HOME,RESIDENTIAL LIVING,Lexington,39095,8/11/21,MS
Mississippi Cares Residential Home,432 CLIFTON STREET,24,Hinds,(601) 948-8923,ALISA BROWN,PERSONAL CARE HOME,RESIDENTIAL LIVING,Jackson,39203,8/11/21,MS
Mitchell Center,2800 WEST MAIN STREET,60,Lee,(662) 844-1441,UNITED METHODIST SENIOR SERVICES OF TUPELO AREA,PERSONAL CARE HOME,ASSISTED LIVING,Tupelo,38801,8/11/21,MS
Mockingbird Assisted Living,1101 WEST CHAMBERS DRIVE,10,Prentiss,(662) 596-3030,JOE GROOMS,PERSONAL CARE HOME,ASSISTED LIVING,Booneville,38829,8/11/21,MS
Montgomery Gardens Senior Living,4348 OLD HIGHWAY 12 WEST,36,Oktibbeha,(662) 323-4663,"WILLIAM BELL MONTGOMERY, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Starkville,39759,8/11/21,MS
Moselle Home Care,6 DAVID PATTERSON ROAD                (PO BOX 334),5,Jones,(601) 596-3786,"MISSISSIPPI BAPTIST MINISTRIES, INC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Moselle,39459,8/11/21,MS
Mykale Residential Living,514 HILLCREST DRIVE,7,Union,(662) 539-7263,STEPHANIE WALDROP,PERSONAL CARE HOME,RESIDENTIAL LIVING,New Albany,38652,8/11/21,MS
New Country Living Personal Care Home,258 GEORGE FORD ROAD,14,Pearl River,(601) 798-5673,MARION FLETCHER,PERSONAL CARE HOME,RESIDENTIAL LIVING,Carriere,39426,8/11/21,MS
North Grove Assisted Living,641 FLAG CHAPEL ROAD,34,Hinds,(601) 922-2008,FREDDIE DAVIS,PERSONAL CARE HOME,ASSISTED LIVING,Jackson,39206,8/11/21,MS
Northview Villa Personal Care,625 NORTHVIEW DRIVE,40,Jones,(601) 426-6488,BARBARA HANCOCK,PERSONAL CARE HOME,RESIDENTIAL LIVING,Laurel,39440,8/11/21,MS
"Oaktree Manor Assisted Living, Inc.",60139 COTTON GIN PORT ROAD,51,Monroe,(662) 256-8406,KENNETH LONG,PERSONAL CARE HOME,ASSISTED LIVING,Amory,38821,8/11/21,MS
Oakwood Manor,55 OAKWOOD DRIVE,38,Noxubee,(662) 738-4866,"BROOKSVILLE ASSISTED LIVING HOME, INC.",PERSONAL CARE HOME,ASSISTED LIVING,Brooksville,39739,8/11/21,MS
Old Ladies Home,"7521 OLD CANTON ROAD              (PO DRAWER 720, MADISON, MS 39130)",20,Madison,(601) 856-1085,ANNE W. ROGERS.  10/9/2021 OPERATOR SAID REC LETTER THAT LICENSE WILL CLOSE EFF 10/9/2021.,PERSONAL CARE HOME,RESIDENTIAL LIVING,Madison,39110,8/11/21,MS
Olive Grove Terrace,9684 GOODMAN ROAD,94,Desoto,(662) 895-7609,"OLIVE BRANCH RESIDENTIAL, LLC",PERSONAL CARE HOME,RESIDENTIAL LIVING,Olive Branch,38654,8/11/21,MS
Omni Residential Living,"9080 LACEY DRIVE                     (4745 POPLAR AVENUE, SUITE 311, MEMPHIS, TN 38117)",15,Desoto,(662) 510-5973,CYNTHIA OGLESBY,PERSONAL CARE HOME,RESIDENTIAL LIVING,Southaven,38671,8/11/21,MS
One Magnolia Place,16391 ROBINSON ROAD,60,Harrison,(228) 832-8400,BRIAN CAIN,PERSONAL CARE HOME,ASSISTED LIVING,Gulfport,39503,8/11/21,MS
