County,State,FIPS Code,Formatted FIPS,Estimated percent of all people that are living in poverty as of
Jackson,MO,29095,29095,14.65
Jasper,MO,29097,29097,17.1
Jefferson,MO,29099,29099,9.58
Johnson,MO,29101,29101,14.48
Knox,MO,29103,29103,18.79
Laclede,MO,29105,29105,15.01
Lafayette,MO,29107,29107,12.56
Lawrence,MO,29109,29109,16.85
Lewis,MO,29111,29111,18.61
Lincoln,MO,29113,29113,11.02
Linn,MO,29115,29115,15.39
Livingston,MO,29117,29117,16.23
McDonald,MO,29119,29119,18.58
Macon,MO,29121,29121,12.8
Madison,MO,29123,29123,14.25
Maries,MO,29125,29125,16.99
Marion,MO,29127,29127,17.26
Mercer,MO,29129,29129,10.09
Miller,MO,29131,29131,16.87
Mississippi,MO,29133,29133,25.27
Moniteau,MO,29135,29135,12.01
Monroe,MO,29137,29137,13.45
Montgomery,MO,29139,29139,16.27
Morgan,MO,29141,29141,23.32
New Madrid,MO,29143,29143,22.2
Newton,MO,29145,29145,13.5
Nodaway,MO,29147,29147,22.03
Oregon,MO,29149,29149,23.77
Osage,MO,29151,29151,7.39
Ozark,MO,29153,29153,29.57
Pemiscot,MO,29155,29155,27.39
Perry,MO,29157,29157,7.39
Pettis,MO,29159,29159,16.37
Phelps,MO,29161,29161,20.62
Pike,MO,29163,29163,15.14
Platte,MO,29165,29165,6.22
Polk,MO,29167,29167,16.46
Pulaski,MO,29169,29169,15.09
Putnam,MO,29171,29171,16.96
Ralls,MO,29173,29173,13.68
Randolph,MO,29175,29175,16.37
Ray,MO,29177,29177,11.86
Reynolds,MO,29179,29179,19.44
Ripley,MO,29181,29181,25.39
St. Charles,MO,29183,29183,5.18
St. Clair,MO,29185,29185,17.12
Ste. Genevieve,MO,29186,29186,11.54
St. Francois,MO,29187,29187,15.52
St. Louis,MO,29189,29189,9.74
Saline,MO,29195,29195,16.24
Schuyler,MO,29197,29197,17.78
Scotland,MO,29199,29199,13.31
Scott,MO,29201,29201,19.83
Shannon,MO,29203,29203,27.45
Shelby,MO,29205,29205,16.19
Stoddard,MO,29207,29207,18.24
Stone,MO,29209,29209,12.92
Sullivan,MO,29211,29211,16.93
Taney,MO,29213,29213,14.69
Texas,MO,29215,29215,25.32
Vernon,MO,29217,29217,14.77
Warren,MO,29219,29219,13.41
Washington,MO,29221,29221,20.13
Wayne,MO,29223,29223,24.14
Webster,MO,29225,29225,17.85
Worth,MO,29227,29227,13.74
Wright,MO,29229,29229,24.24
St. Louis City,MO,29510,29510,21.83
Beaverhead,MT,30001,30001,17.67
Big Horn,MT,30003,30003,25.51
Blaine,MT,30005,30005,30.46
Broadwater,MT,30007,30007,8.51
Carbon,MT,30009,30009,9.65
Carter,MT,30011,30011,13.08
Cascade,MT,30013,30013,13.3
Chouteau,MT,30015,30015,17.09
Custer,MT,30017,30017,11.5
Daniels,MT,30019,30019,4.81
Dawson,MT,30021,30021,11.12
Deer Lodge,MT,30023,30023,20.24
Fallon,MT,30025,30025,8.88
Fergus,MT,30027,30027,15.83
Flathead,MT,30029,30029,10.94
Gallatin,MT,30031,30031,11.3
Garfield,MT,30033,30033,5.98
Glacier,MT,30035,30035,31.05
Golden Valley,MT,30037,30037,16.62
Granite,MT,30039,30039,7.86
Hill,MT,30041,30041,18.58
Jefferson,MT,30043,30043,7.81
Judith Basin,MT,30045,30045,12.69
Lake,MT,30047,30047,19.43
Lewis and Clark,MT,30049,30049,10.37
Liberty,MT,30051,30051,16.18
Lincoln,MT,30053,30053,17.38
McCone,MT,30055,30055,6.19
Madison,MT,30057,30057,8.42
Meagher,MT,30059,30059,11.86
Mineral,MT,30061,30061,18.63
Missoula,MT,30063,30063,14.27
Musselshell,MT,30065,30065,12.66
Park,MT,30067,30067,12.61
Petroleum,MT,30069,30069,9.34
Phillips,MT,30071,30071,12.36
Pondera,MT,30073,30073,19.28
Powder River,MT,30075,30075,12.83
Powell,MT,30077,30077,11.69
Prairie,MT,30079,30079,13.3
Ravalli,MT,30081,30081,12.33
Richland,MT,30083,30083,5.82
Roosevelt,MT,30085,30085,28.34
Rosebud,MT,30087,30087,17.04
Sanders,MT,30089,30089,15.93
Sheridan,MT,30091,30091,10.07
Silver Bow,MT,30093,30093,17.41
Stillwater,MT,30095,30095,7.21
Sweet Grass,MT,30097,30097,5.75
Teton,MT,30099,30099,13.29
Toole,MT,30101,30101,12.28
Treasure,MT,30103,30103,17.22
Valley,MT,30105,30105,11.12
Wheatland,MT,30107,30107,15.35
Wibaux,MT,30109,30109,12.07
Yellowstone,MT,30111,30111,9.79
Adams,NE,31001,31001,12.51
Antelope,NE,31003,31003,11.08
Arthur,NE,31005,31005,13.35
Banner,NE,31007,31007,5.84
Blaine,NE,31009,31009,13
Boone,NE,31011,31011,5.84
Box Butte,NE,31013,31013,14.08
Boyd,NE,31015,31015,9.06
Brown,NE,31017,31017,12.99
Buffalo,NE,31019,31019,13.5
Burt,NE,31021,31021,12.3
Butler,NE,31023,31023,7.2
Cass,NE,31025,31025,6.82
Cedar,NE,31027,31027,7.16
Chase,NE,31029,31029,9.67
Cherry,NE,31031,31031,7.83
Cheyenne,NE,31033,31033,9.57
Clay,NE,31035,31035,10.53
Colfax,NE,31037,31037,12.7
Cuming,NE,31039,31039,6.9
Custer,NE,31041,31041,11.5
Dakota,NE,31043,31043,16.23
Dawes,NE,31045,31045,14.7
Dawson,NE,31047,31047,12.66
Deuel,NE,31049,31049,8.77
Dixon,NE,31051,31051,9.46
Dodge,NE,31053,31053,12.53
Douglas,NE,31055,31055,12.03
Dundy,NE,31057,31057,10.58
Fillmore,NE,31059,31059,8.82
Franklin,NE,31061,31061,14.57
Frontier,NE,31063,31063,8.95
Furnas,NE,31065,31065,11.04
Gage,NE,31067,31067,10.66
Garden,NE,31069,31069,7.72
Garfield,NE,31071,31071,9.2
Gosper,NE,31073,31073,5.44
Grant,NE,31075,31075,15.89
Greeley,NE,31077,31077,10.18
Hall,NE,31079,31079,11.79
Hamilton,NE,31081,31081,5.17
Harlan,NE,31083,31083,10.52
Hayes,NE,31085,31085,11.09
Hitchcock,NE,31087,31087,11.27
Holt,NE,31089,31089,7.83
Hooker,NE,31091,31091,15.33
Howard,NE,31093,31093,7.91
Jefferson,NE,31095,31095,11.24
Johnson,NE,31097,31097,8.54
Kearney,NE,31099,31099,9.89
Keith,NE,31101,31101,12.45
Keya Paha,NE,31103,31103,7.5
Kimball,NE,31105,31105,10.84
Knox,NE,31107,31107,9.29
Lancaster,NE,31109,31109,12.51
Lincoln,NE,31111,31111,9.9
Logan,NE,31113,31113,11.33
Loup,NE,31115,31115,8.6
McPherson,NE,31117,31117,17.22
Madison,NE,31119,31119,14.9
Merrick,NE,31121,31121,12
Morrill,NE,31123,31123,8.74
Nance,NE,31125,31125,11.4
Nemaha,NE,31127,31127,11.57
Nuckolls,NE,31129,31129,11.23
Otoe,NE,31131,31131,11
Pawnee,NE,31133,31133,18.85
Perkins,NE,31135,31135,5.03
Phelps,NE,31137,31137,9.56
Pierce,NE,31139,31139,7.97
Platte,NE,31141,31141,8.67
Polk,NE,31143,31143,7.66
Red Willow,NE,31145,31145,11.75
Richardson,NE,31147,31147,12.24
Rock,NE,31149,31149,5.31
Saline,NE,31151,31151,15.27
Sarpy,NE,31153,31153,5.95
Saunders,NE,31155,31155,8.14
Scotts Bluff,NE,31157,31157,13.56
Seward,NE,31159,31159,6.49
Sheridan,NE,31161,31161,17.14
Sherman,NE,31163,31163,12.41
Sioux,NE,31165,31165,8.53
Stanton,NE,31167,31167,6.21
Thayer,NE,31169,31169,9.71
Thomas,NE,31171,31171,8.37
Thurston,NE,31173,31173,25.52
Valley,NE,31175,31175,9.41
Washington,NE,31177,31177,7.92
Wayne,NE,31179,31179,12.23
Webster,NE,31181,31181,10.79
Wheeler,NE,31183,31183,13.15
York,NE,31185,31185,9.77
Churchill,NV,32001,32001,13.16
Clark,NV,32003,32003,13.7
Douglas,NV,32005,32005,8.72
Elko,NV,32007,32007,11.71
Esmeralda,NV,32009,32009,8.93
Eureka,NV,32011,32011,7.98
Humboldt,NV,32013,32013,13.28
Lander,NV,32015,32015,9.7
Lincoln,NV,32017,32017,5.5
Lyon,NV,32019,32019,11.63
Mineral,NV,32021,32021,19.85
Nye,NV,32023,32023,16.37
Pershing,NV,32027,32027,12.01
Storey,NV,32029,32029,8.16
Washoe,NV,32031,32031,11.26
White Pine,NV,32033,32033,13.62
Carson City,NV,32510,32510,11.34
Belknap,NH,33001,33001,8.64
Carroll,NH,33003,33003,8.99
Cheshire,NH,33005,33005,8.98
Coos,NH,33007,33007,12.51
Grafton,NH,33009,33009,9.57
Hillsborough,NH,33011,33011,7.77
Merrimack,NH,33013,33013,6.53
Rockingham,NH,33015,33015,4.64
Strafford,NH,33017,33017,9.47
Sullivan,NH,33019,33019,11.65
Atlantic,NJ,34001,34001,13.33
Bergen,NJ,34003,34003,6.65
Burlington,NJ,34005,34005,6.15
Camden,NJ,34007,34007,12.24
Cape May,NJ,34009,34009,9.76
Cumberland,NJ,34011,34011,16.49
Essex,NJ,34013,34013,15.8
Gloucester,NJ,34015,34015,7.43
Hudson,NJ,34017,34017,15.25
Hunterdon,NJ,34019,34019,4.52
Mercer,NJ,34021,34021,11.64
Middlesex,NJ,34023,34023,8.49
Monmouth,NJ,34025,34025,6.94
Morris,NJ,34027,34027,4.78
Ocean,NJ,34029,34029,10.09
Passaic,NJ,34031,34031,15.69
Salem,NJ,34033,34033,12.41
Somerset,NJ,34035,34035,5.14
Sussex,NJ,34037,34037,4.94
Union,NJ,34039,34039,9.5
Warren,NJ,34041,34041,7.56
Bernalillo,NM,35001,35001,16.69
Catron,NM,35003,35003,16.45
Chaves,NM,35005,35005,19.44
Cibola,NM,35006,35006,26.13
Colfax,NM,35007,35007,20.01
Curry,NM,35009,35009,20.93
De Baca,NM,35011,35011,16.03
Doña Ana,NM,35013,35013,26.42
Eddy,NM,35015,35015,14.63
Grant,NM,35017,35017,23.96
Guadalupe,NM,35019,35019,15.37
Harding,NM,35021,35021,14.29
Hidalgo,NM,35023,35023,25.79
Lea,NM,35025,35025,15.82
Lincoln,NM,35027,35027,10.57
Los Alamos,NM,35028,35028,4.36
Luna,NM,35029,35029,27.68
McKinley,NM,35031,35031,34.82
Mora,NM,35033,35033,19.97
Otero,NM,35035,35035,22.1
Quay,NM,35037,35037,20.37
Rio Arriba,NM,35039,35039,24.05
Roosevelt,NM,35041,35041,24.91
Sandoval,NM,35043,35043,12.75
San Juan,NM,35045,35045,20.96
San Miguel,NM,35047,35047,28.24
Santa Fe,NM,35049,35049,12.81
Sierra,NM,35051,35051,26.65
Socorro,NM,35053,35053,29.68
Taos,NM,35055,35055,18.34
Torrance,NM,35057,35057,23.7
Union,NM,35059,35059,19.41
Valencia,NM,35061,35061,16.88
Albany,NY,36001,36001,11.87
Allegany,NY,36003,36003,16.88
Bronx,NY,36005,36005,28.01
Broome,NY,36007,36007,17.41
Cattaraugus,NY,36009,36009,16.5
Cayuga,NY,36011,36011,12.1
Chautauqua,NY,36013,36013,18.2
Chemung,NY,36015,36015,13.87
Chenango,NY,36017,36017,13.53
Clinton,NY,36019,36019,15
Columbia,NY,36021,36021,11.57
Cortland,NY,36023,36023,16.4
Delaware,NY,36025,36025,16.58
Dutchess,NY,36027,36027,9.04
Erie,NY,36029,36029,14.2
Essex,NY,36031,36031,9.87
Franklin,NY,36033,36033,17.78
Fulton,NY,36035,36035,14.9
Genesee,NY,36037,36037,10.87
Greene,NY,36039,36039,13.99
Hamilton,NY,36041,36041,9.89
Herkimer,NY,36043,36043,13.64
Jefferson,NY,36045,36045,14.02
Kings,NY,36047,36047,19.95
Lewis,NY,36049,36049,13.48
Livingston,NY,36051,36051,13.18
Madison,NY,36053,36053,9.78
Monroe,NY,36055,36055,14.39
Montgomery,NY,36057,36057,19.77
Nassau,NY,36059,36059,5.56
New York,NY,36061,36061,15.83
Niagara,NY,36063,36063,13.46
Oneida,NY,36065,36065,15.47
Onondaga,NY,36067,36067,14.11
Ontario,NY,36069,36069,8.66
Orange,NY,36071,36071,11.65
Orleans,NY,36073,36073,13.72
Oswego,NY,36075,36075,17
Otsego,NY,36077,36077,14.87
Putnam,NY,36079,36079,4.98
Queens,NY,36081,36081,12.23
Rensselaer,NY,36083,36083,11.71
Richmond,NY,36085,36085,11.65
Rockland,NY,36087,36087,13.87
St. Lawrence,NY,36089,36089,17.87
Saratoga,NY,36091,36091,5.84
Schenectady,NY,36093,36093,11.45
Schoharie,NY,36095,36095,12.1
Schuyler,NY,36097,36097,15.4
Seneca,NY,36099,36099,12.17
Steuben,NY,36101,36101,13.69
Suffolk,NY,36103,36103,6.87
Sullivan,NY,36105,36105,15.15
Tioga,NY,36107,36107,10.15
Tompkins,NY,36109,36109,18.89
Ulster,NY,36111,36111,13.79
Warren,NY,36113,36113,9.47
Washington,NY,36115,36115,11.3
Wayne,NY,36117,36117,11.62
Westchester,NY,36119,36119,8.84
Wyoming,NY,36121,36121,10.47
Yates,NY,36123,36123,11.91
Alamance,NC,37001,37001,16.13
Alexander,NC,37003,37003,13.61
Alleghany,NC,37005,37005,23.42
Anson,NC,37007,37007,19.48
Ashe,NC,37009,37009,16.28
Avery,NC,37011,37011,15.1
Beaufort,NC,37013,37013,18.63
Bertie,NC,37015,37015,23.15
Bladen,NC,37017,37017,24.33
Brunswick,NC,37019,37019,11.77
Buncombe,NC,37021,37021,12.2
Burke,NC,37023,37023,18.08
Cabarrus,NC,37025,37025,10.22
Caldwell,NC,37027,37027,15.12
Camden,NC,37029,37029,9.18
Carteret,NC,37031,37031,10.69
Caswell,NC,37033,37033,18.09
Catawba,NC,37035,37035,13.22
Chatham,NC,37037,37037,10.16
Cherokee,NC,37039,37039,16.66
Chowan,NC,37041,37041,15.98
Clay,NC,37043,37043,13.85
Cleveland,NC,37045,37045,20.36
Columbus,NC,37047,37047,22.84
Craven,NC,37049,37049,15.22
Cumberland,NC,37051,37051,18.37
Currituck,NC,37053,37053,9.47
Dare,NC,37055,37055,8.98
Davidson,NC,37057,37057,15.4
Davie,NC,37059,37059,13.91
Duplin,NC,37061,37061,21.2
Durham,NC,37063,37063,15.17
Edgecombe,NC,37065,37065,23.73
Forsyth,NC,37067,37067,16.84
Franklin,NC,37069,37069,13.16
Gaston,NC,37071,37071,14.45
Gates,NC,37073,37073,13.49
Graham,NC,37075,37075,17.05
Granville,NC,37077,37077,14.28
Greene,NC,37079,37079,22.86
Guilford,NC,37081,37081,15.8
Halifax,NC,37083,37083,25.8
Harnett,NC,37085,37085,15.8
Haywood,NC,37087,37087,13.42
Henderson,NC,37089,37089,10.94
Hertford,NC,37091,37091,21.93
Hoke,NC,37093,37093,20.35
Hyde,NC,37095,37095,24.33
Iredell,NC,37097,37097,10.92
Jackson,NC,37099,37099,18.7
Johnston,NC,37101,37101,12.53
Jones,NC,37103,37103,24.47
Lee,NC,37105,37105,16.09
Lenoir,NC,37107,37107,23.18
Lincoln,NC,37109,37109,12.08
McDowell,NC,37111,37111,16.77
Macon,NC,37113,37113,15.42
Madison,NC,37115,37115,16.37
Martin,NC,37117,37117,19.75
Mecklenburg,NC,37119,37119,11.57
Mitchell,NC,37121,37121,12.95
Montgomery,NC,37123,37123,17.7
Moore,NC,37125,37125,11.33
Nash,NC,37127,37127,15.16
New Hanover,NC,37129,37129,16.02
Northampton,NC,37131,37131,20.67
Onslow,NC,37133,37133,13.21
Orange,NC,37135,37135,13.7
Pamlico,NC,37137,37137,12.6
Pasquotank,NC,37139,37139,15.7
Pender,NC,37141,37141,14.13
Perquimans,NC,37143,37143,15.14
Person,NC,37145,37145,16.08
Pitt,NC,37147,37147,22.95
Polk,NC,37149,37149,9.83
Randolph,NC,37151,37151,15.19
Richmond,NC,37153,37153,25.16
Robeson,NC,37155,37155,27.7
Rockingham,NC,37157,37157,18.15
Rowan,NC,37159,37159,15.93
Rutherford,NC,37161,37161,17.93
Sampson,NC,37163,37163,20.89
Scotland,NC,37165,37165,27.26
Stanly,NC,37167,37167,12.86
Stokes,NC,37169,37169,13.77
Surry,NC,37171,37171,16.43
Swain,NC,37173,37173,17.46
Transylvania,NC,37175,37175,14.31
Tyrrell,NC,37177,37177,22.5
Union,NC,37179,37179,8.24
Vance,NC,37181,37181,20.85
Wake,NC,37183,37183,9.1
Warren,NC,37185,37185,19.79
Washington,NC,37187,37187,22.27
Watauga,NC,37189,37189,25.35
Wayne,NC,37191,37191,20.25
Wilkes,NC,37193,37193,17.69
Wilson,NC,37195,37195,20.31
Yadkin,NC,37197,37197,15.38
Yancey,NC,37199,37199,16.37
Adams,ND,38001,38001,8.69
Barnes,ND,38003,38003,11.34
Benson,ND,38005,38005,31.91
Billings,ND,38007,38007,9.33
Bottineau,ND,38009,38009,9.59
Bowman,ND,38011,38011,7.75
Burke,ND,38013,38013,5.86
Burleigh,ND,38015,38015,8.07
Cass,ND,38017,38017,10.65
Cavalier,ND,38019,38019,10.98
Dickey,ND,38021,38021,5.23
Divide,ND,38023,38023,8.98
Dunn,ND,38025,38025,8.06
Eddy,ND,38027,38027,10.83
Emmons,ND,38029,38029,9.89
Foster,ND,38031,38031,7.22
Golden Valley,ND,38033,38033,7.5
Grand Forks,ND,38035,38035,16.18
Grant,ND,38037,38037,12.94
Griggs,ND,38039,38039,7.87
Hettinger,ND,38041,38041,9.61
Kidder,ND,38043,38043,10.76
LaMoure,ND,38045,38045,14.68
Logan,ND,38047,38047,7.24
McHenry,ND,38049,38049,8.32
McIntosh,ND,38051,38051,9.88
McKenzie,ND,38053,38053,11.32
McLean,ND,38055,38055,7.96
Mercer,ND,38057,38057,7.16
Morton,ND,38059,38059,7.41
Mountrail,ND,38061,38061,10.44
Nelson,ND,38063,38063,11.52
Oliver,ND,38065,38065,7.98
Pembina,ND,38067,38067,7.38
Pierce,ND,38069,38069,16.73
Ramsey,ND,38071,38071,12.49
Ransom,ND,38073,38073,6.42
Renville,ND,38075,38075,3.66
Richland,ND,38077,38077,10.9
Rolette,ND,38079,38079,27.12
Sargent,ND,38081,38081,4.18
Sheridan,ND,38083,38083,12.37
Sioux,ND,38085,38085,38.22
Slope,ND,38087,38087,7.55
Stark,ND,38089,38089,8.76
Steele,ND,38091,38091,5.75
Stutsman,ND,38093,38093,12.12
Towner,ND,38095,38095,10.45
Traill,ND,38097,38097,6.43
Walsh,ND,38099,38099,9.08
Ward,ND,38101,38101,9.46
Wells,ND,38103,38103,8.61
Williams,ND,38105,38105,6.12
Adams,OH,39001,39001,20.66
Allen,OH,39003,39003,13.93
Ashland,OH,39005,39005,13.8
Ashtabula,OH,39007,39007,19.89
Athens,OH,39009,39009,30.16
Auglaize,OH,39011,39011,8.38
Belmont,OH,39013,39013,12.33
Brown,OH,39015,39015,15.3
Butler,OH,39017,39017,12.53
Carroll,OH,39019,39019,12.28
Champaign,OH,39021,39021,10.15
Clark,OH,39023,39023,14.9
Clermont,OH,39025,39025,8.97
Clinton,OH,39027,39027,14.8
Columbiana,OH,39029,39029,14.31
Coshocton,OH,39031,39031,14.37
Crawford,OH,39033,39033,14.95
Cuyahoga,OH,39035,39035,17.46
Darke,OH,39037,39037,10.51
Defiance,OH,39039,39039,10.18
Delaware,OH,39041,39041,4.81
Erie,OH,39043,39043,11.69
Fairfield,OH,39045,39045,9.2
Fayette,OH,39047,39047,16.2
Franklin,OH,39049,39049,15.71
Fulton,OH,39051,39051,7.85
Gallia,OH,39053,39053,20.7
Geauga,OH,39055,39055,5.75
Greene,OH,39057,39057,11.6
Guernsey,OH,39059,39059,19.88
Hamilton,OH,39061,39061,15.76
Hancock,OH,39063,39063,10.78
Hardin,OH,39065,39065,13.89
Harrison,OH,39067,39067,16
Henry,OH,39069,39069,8.41
Highland,OH,39071,39071,19.39
Hocking,OH,39073,39073,13.26
Holmes,OH,39075,39075,9.95
Huron,OH,39077,39077,13.17
Jackson,OH,39079,39079,18.77
Jefferson,OH,39081,39081,17.49
Knox,OH,39083,39083,13.1
Lake,OH,39085,39085,8.08
Lawrence,OH,39087,39087,18.07
Licking,OH,39089,39089,10.49
Logan,OH,39091,39091,11.37
Lorain,OH,39093,39093,13.48
Lucas,OH,39095,39095,18.72
Madison,OH,39097,39097,9.11
Mahoning,OH,39099,39099,17.51
Marion,OH,39101,39101,14.81
Medina,OH,39103,39103,6.03
Meigs,OH,39105,39105,19.64
Mercer,OH,39107,39107,6.43
Miami,OH,39109,39109,9.15
Monroe,OH,39111,39111,17.1
Montgomery,OH,39113,39113,16.65
Morgan,OH,39115,39115,19.24
Morrow,OH,39117,39117,9.7
Muskingum,OH,39119,39119,16.04
Noble,OH,39121,39121,15.58
Ottawa,OH,39123,39123,10.1
Paulding,OH,39125,39125,9.88
Perry,OH,39127,39127,19.14
Pickaway,OH,39129,39129,12.13
Pike,OH,39131,39131,18.68
Portage,OH,39133,39133,12.79
Preble,OH,39135,39135,10.14
Putnam,OH,39137,39137,7.63
Richland,OH,39139,39139,13.51
Ross,OH,39141,39141,17.33
Sandusky,OH,39143,39143,11.62
Scioto,OH,39145,39145,22.55
Seneca,OH,39147,39147,12.81
Shelby,OH,39149,39149,8.82
Stark,OH,39151,39151,13.56
Summit,OH,39153,39153,13.22
Trumbull,OH,39155,39155,17.24
Tuscarawas,OH,39157,39157,12.81
Union,OH,39159,39159,5.89
Van Wert,OH,39161,39161,11.11
Vinton,OH,39163,39163,18.97
Warren,OH,39165,39165,4.55
Washington,OH,39167,39167,14.21
Wayne,OH,39169,39169,11.28
Williams,OH,39171,39171,11.17
Wood,OH,39173,39173,12.92
Wyandot,OH,39175,39175,7.44
Adair,OK,40001,40001,27.8
Alfalfa,OK,40003,40003,9.14
Atoka,OK,40005,40005,20.56
Beaver,OK,40007,40007,11.37
Beckham,OK,40009,40009,16.69
Blaine,OK,40011,40011,12.2
Bryan,OK,40013,40013,17.11
Caddo,OK,40015,40015,18.94
Canadian,OK,40017,40017,8.25
Carter,OK,40019,40019,16.09
Cherokee,OK,40021,40021,22.06
Choctaw,OK,40023,40023,27.71
Cimarron,OK,40025,40025,16.83
Cleveland,OK,40027,40027,12.01
Coal,OK,40029,40029,22.05
Comanche,OK,40031,40031,16.07
Cotton,OK,40033,40033,18.25
Craig,OK,40035,40035,18.57
Creek,OK,40037,40037,15.02
Custer,OK,40039,40039,18.16
Delaware,OK,40041,40041,18.33
Dewey,OK,40043,40043,16.6
Ellis,OK,40045,40045,16.03
Garfield,OK,40047,40047,13.75
Garvin,OK,40049,40049,15.2
Grady,OK,40051,40051,11.53
Grant,OK,40053,40053,6.88
Greer,OK,40055,40055,20.25
Harmon,OK,40057,40057,14.7
Harper,OK,40059,40059,15.27
Haskell,OK,40061,40061,19.07
Hughes,OK,40063,40063,20.74
Jackson,OK,40065,40065,17.28
Jefferson,OK,40067,40067,21.39
Johnston,OK,40069,40069,20.9
Kay,OK,40071,40071,17.31
Kingfisher,OK,40073,40073,12.06
Kiowa,OK,40075,40075,23.96
Latimer,OK,40077,40077,18.65
Le Flore,OK,40079,40079,20.73
Lincoln,OK,40081,40081,13.91
Logan,OK,40083,40083,13.96
Love,OK,40085,40085,14.98
McClain,OK,40087,40087,7.76
McCurtain,OK,40089,40089,22.71
McIntosh,OK,40091,40091,20.77
Major,OK,40093,40093,12.52
Marshall,OK,40095,40095,16.97
Mayes,OK,40097,40097,18.12
Murray,OK,40099,40099,15.47
Muskogee,OK,40101,40101,21.05
Noble,OK,40103,40103,10.82
Nowata,OK,40105,40105,15.86
Okfuskee,OK,40107,40107,26.31
Oklahoma,OK,40109,40109,15.96
Okmulgee,OK,40111,40111,19.47
Osage,OK,40113,40113,15.64
Ottawa,OK,40115,40115,20.74
Pawnee,OK,40117,40117,15.88
Payne,OK,40119,40119,26.8
Pittsburg,OK,40121,40121,16.82
Pontotoc,OK,40123,40123,14.7
Pottawatomie,OK,40125,40125,16.19
Pushmataha,OK,40127,40127,20.44
Roger Mills,OK,40129,40129,17.28
Rogers,OK,40131,40131,9.88
Seminole,OK,40133,40133,20.37
Sequoyah,OK,40135,40135,21.48
Stephens,OK,40137,40137,14.26
Texas,OK,40139,40139,19.63
Tillman,OK,40141,40141,19.85
Tulsa,OK,40143,40143,14.96
Wagoner,OK,40145,40145,10.35
Washington,OK,40147,40147,13.26
Washita,OK,40149,40149,14.57
Woods,OK,40151,40151,13.2
Woodward,OK,40153,40153,11.46
Baker,OR,41001,41001,12.44
Benton,OR,41003,41003,19.09
Clackamas,OR,41005,41005,8
Clatsop,OR,41007,41007,10.03
Columbia,OR,41009,41009,11.66
Coos,OR,41011,41011,16.15
Crook,OR,41013,41013,13.45
Curry,OR,41015,41015,12.43
Deschutes,OR,41017,41017,10.79
Douglas,OR,41019,41019,14.65
Gilliam,OR,41021,41021,10.39
Grant,OR,41023,41023,18.11
Harney,OR,41025,41025,10.54
Hood River,OR,41027,41027,6.17
Jackson,OR,41029,41029,15.52
Jefferson,OR,41031,41031,17.91
Josephine,OR,41033,41033,18.12
Klamath,OR,41035,41035,19.47
Lake,OR,41037,41037,18.39
Lane,OR,41039,41039,17.62
Lincoln,OR,41041,41041,16.27
Linn,OR,41043,41043,13.27
Malheur,OR,41045,41045,21.79
Marion,OR,41047,41047,14.23
Morrow,OR,41049,41049,14.48
Multnomah,OR,41051,41051,13.79
Polk,OR,41053,41053,12.64
Sherman,OR,41055,41055,13.44
Tillamook,OR,41057,41057,13.11
Umatilla,OR,41059,41059,17.86
Union,OR,41061,41061,13.91
Wallowa,OR,41063,41063,13.63
Wasco,OR,41065,41065,11.57
Washington,OR,41067,41067,8.92
Wheeler,OR,41069,41069,14
Yamhill,OR,41071,41071,12.14
Adams,PA,42001,42001,7.75
Allegheny,PA,42003,42003,11.63
Armstrong,PA,42005,42005,11.07
Beaver,PA,42007,42007,11.02
Bedford,PA,42009,42009,11.9
Berks,PA,42011,42011,12
Blair,PA,42013,42013,14.67
Bradford,PA,42015,42015,12.71
Bucks,PA,42017,42017,5.87
Butler,PA,42019,42019,8.24
Cambria,PA,42021,42021,15.4
Cameron,PA,42023,42023,15.27
Carbon,PA,42025,42025,11.71
Centre,PA,42027,42027,18.16
Chester,PA,42029,42029,6.44
Clarion,PA,42031,42031,16.27
Clearfield,PA,42033,42033,14.55
Clinton,PA,42035,42035,15.54
Columbia,PA,42037,42037,15
Crawford,PA,42039,42039,13.25
Cumberland,PA,42041,42041,6.95
Dauphin,PA,42043,42043,12.31
Delaware,PA,42045,42045,9.99
Elk,PA,42047,42047,9.48
Erie,PA,42049,42049,16.02
Fayette,PA,42051,42051,17.27
Forest,PA,42053,42053,18.1
Franklin,PA,42055,42055,9.25
Fulton,PA,42057,42057,11.27
Greene,PA,42059,42059,13.45
Huntingdon,PA,42061,42061,12.35
Indiana,PA,42063,42063,16.29
Jefferson,PA,42065,42065,15.15
Juniata,PA,42067,42067,10.84
Lackawanna,PA,42069,42069,14.7
Lancaster,PA,42071,42071,10.15
Lawrence,PA,42073,42073,13.79
Lebanon,PA,42075,42075,10.82
Lehigh,PA,42077,42077,12.49
Luzerne,PA,42079,42079,14.74
Lycoming,PA,42081,42081,13.62
McKean,PA,42083,42083,16.11
Mercer,PA,42085,42085,13.9
Mifflin,PA,42087,42087,13.45
Monroe,PA,42089,42089,11.2
Montgomery,PA,42091,42091,5.92
Montour,PA,42093,42093,10.46
Northampton,PA,42095,42095,8.58
Northumberland,PA,42097,42097,13.19
Perry,PA,42099,42099,9.29
Philadelphia,PA,42101,42101,24.34
Pike,PA,42103,42103,9.54
Potter,PA,42105,42105,13.47
Schuylkill,PA,42107,42107,12.44
Snyder,PA,42109,42109,10.45
Somerset,PA,42111,42111,12.39
Sullivan,PA,42113,42113,13.2
Susquehanna,PA,42115,42115,12.02
Tioga,PA,42117,42117,13.23
