Facility Name,Address,City,Zip Code,County,Phone Number,State Facility Type 1 Literal,State
Arioli Community Care Home,15 ARIOLI AVENUE,Barre,5641,Washington,802-479-1439,RESIDENTIAL CARE HOME,VT
Ascutney House,5157 ROUTE 5,Ascutney,5030,Windsor,802-674-4328,RESIDENTIAL CARE HOME,VT
Autumn House,141 SOUTH BRANCH STREET,Bennington,5201,Bennington,802-442-1243,RESIDENTIAL CARE HOME,VT
Ave Maria Community Care Home,19 SCHOOL STREET,Richford ,5476,Franklin,802-848-3003,RESIDENTIAL CARE HOME,VT
Averill Place,24 AVERILL STREET,Barre,5641,Washington,802-622-8122,RESIDENTIAL CARE HOME,VT
Averte-Bradford House,996 LOWER PLAIN,Bradford,5033,Orange,802-222-4601,RESIDENTIAL CARE HOME,VT
"Barbara'S 1840 House, Inc.",147 GRANGER STREET,Rutland,5701,Rutland,802-747-0545,RESIDENTIAL CARE HOME,VT
Blue Spruce Home For The Retired,70 BIRCH STREET,Bradford,5033,Orange,802-222-5332,RESIDENTIAL CARE HOME,VT
Bromley Manor,2595 DEPOT STREET,Manchester,5255,Bennington,802-367-3988,RESIDENTIAL CARE HOME,VT
Brookdale At Fillmore Pond,300 VILLAGE LANE,Bennington,5201,Bennington,802-447-7000,RESIDENTIAL CARE HOME,VT
Brookwood,2 SCHOOL STREET,North Springfield,5150,Windsor,802-886-2464,RESIDENTIAL CARE HOME,VT
Brownway Residence,328 SCHOOL STREET,Enosburg Falls ,5450,Franklin,802-933-2315,RESIDENTIAL CARE HOME,VT
Canterbury Inn,46 CHERRY STREET,St. Johnsbury,5819,Caledonia,802-748-5556,RESIDENTIAL CARE HOME,VT
Cedar Lane Home,76 CEDAR LANE,Danville,5828,Caledonia,802-684-8061,RESIDENTIAL CARE HOME,VT
Copley House,379 WASHINGTON HIGHWAY,Morrisville,5661,Lamoille,802-888-7323,RESIDENTIAL CARE HOME,VT
Craftsbury Community Care Center,1784 EAST CRAFTSBURY ROAD,Craftsbury,5826,Orleans,802-586-2414,RESIDENTIAL CARE HOME,VT
Davis Home,45 STATE STREET,Windsor,5089,Windsor,802-674-5300,RESIDENTIAL CARE HOME,VT
East Terrace,71 EAST TERRACE,South Burlington,5403,Chittenden,802-660-4383,RESIDENTIAL CARE HOME,VT
Eastview At Middlebury,100 EASTVIEW TERRACE,Middlebury,5753,Addison,802-989-7500,RESIDENTIAL CARE HOME,VT
Emma'S Place,212 NORTH MAIN STREET,Wallingford,5773,Rutland,802-446-3574,RESIDENTIAL CARE HOME,VT
Equinox Terrace,324 EQUINOX TERRACE ROAD,Manchester Center,5255,Bennington,802-362-5141,RESIDENTIAL CARE HOME,VT
Ethan Allen Residence,1200 NORTH AVENUE,Burlington ,5408,Chittenden,802-658-1573,RESIDENTIAL CARE HOME,VT
Fairwinds Residential Care Home,108 MECHANIC STREET,North Bennington,5257,Bennington,802-442-4067,RESIDENTIAL CARE HOME,VT
Forest Hill Residential Care Home,213 CLARK DRIVE,Hyde Park,5655,Lamoille,802-888-1700,RESIDENTIAL CARE HOME,VT
Four Seasons Care Home,135 SOUTH MAIN STREET,Northfield,5663,Washington,802-485-8163,RESIDENTIAL CARE HOME,VT
Gatling House Group Home,106 JOHN STREET,Bennington,5201,Bennington,802-442-3378,RESIDENTIAL CARE HOME,VT
Gazebo Senior Living-Gazebo Apartments,1510 WILLISTON ROAD,South Burlington,5403,Chittenden,802-865-4461,RESIDENTIAL CARE HOME,VT
Gazebo Senior Living-Gazebo North,1530 WILLISTON ROAD,South Burlington,5403,Chittenden,802-863-2386,RESIDENTIAL CARE HOME,VT
Giordano Manor,34 CANADA STREET,Swanton ,5488,Franklin,802-868-3903,RESIDENTIAL CARE HOME,VT
Heaton Woods,10 HEATON STREET,Montpelier,5602,Washington,802-223-1157,RESIDENTIAL CARE HOME,VT
Hill Street,201 HILL STREET,Barre,5641,Washington,802-479-1477,RESIDENTIAL CARE HOME,VT
Hilltop Recovery Residence,94 WESTMINSTER TERRACE,Westminster,5101,Windham,802-732-8343,RESIDENTIAL CARE HOME,VT
Historic Homes Of Runnemede - Evarts House,34 MAXWELL PERKINS LANE,Windsor,5089,Windsor,802-674-6733,RESIDENTIAL CARE HOME,VT
Historic Homes Of Runnemede - Stoughton House,46 MAIN STREET,Windsor,5089,Windsor,802-674-6733,RESIDENTIAL CARE HOME,VT
Holton (Memorial) Home,158 WESTERN AVENUE,Brattleboro,5301,Windham,802-254-4155,RESIDENTIAL CARE HOME,VT
Homestead Senior Living,64 HARBORVIEW DRIVE,St. Albans,5478,Franklin,802-752-2102,RESIDENTIAL CARE HOME,VT
Johnson Care Home,919 VT ROUTE 100,Hancock,5748,Addison,802-767-4404,RESIDENTIAL CARE HOME,VT
Kingdom Way Group Home,97 KINGDOM WAY,Newport,5855,Orleans,802-334-4598,RESIDENTIAL CARE HOME,VT
King'S Daughters Home,10 RUGG STREET,St. Albans,5478,Franklin,802-524-5744,RESIDENTIAL CARE HOME,VT
Kirby House,64 SOUTH MAIN STREET,Waterbury,5676,Washington,802-244-8998,RESIDENTIAL CARE HOME,VT
"Klm Enterprises, Inc",88 A-B RIVER STREET,Wallingford,5773,Rutland,802-446-6030,RESIDENTIAL CARE HOME,VT
Lakeview Community Care Home,332 ST. PAUL STREET,Burlington ,5401,Chittenden,802-488-7033,RESIDENTIAL CARE HOME,VT
Lenny Burke'S Farm,1409 US RTE 7 SOUTH,Wallingford,5773,Rutland,802-446-6020,RESIDENTIAL CARE HOME,VT
Lincoln House,120 HILL STREET,Barre,5641,Washington,802-476-3283,RESIDENTIAL CARE HOME,VT
Linden Residential Care,200 WAKE ROBIN DRIVE,Shelburne ,5482,Chittenden,802-264-5150,RESIDENTIAL CARE HOME,VT
Loch Lomond,700 WILLSON ROAD,North Concord,5858,Essex,802-695-3366,RESIDENTIAL CARE HOME,VT
Loretto Home,59 MEADOW STREET,Rutland,5701,Rutland,802-773-8840,RESIDENTIAL CARE HOME,VT
Manes House,127 UNION STREET,Bennington,5201,Bennington,802-442-8900,RESIDENTIAL CARE HOME,VT
Maple Lane Retirement Home,33 MAPLE LANE,Barton,5822,Orleans,802-754-2323,RESIDENTIAL CARE HOME,VT
Maple Ridge Memory Care,6 FREEMAN WOODS,Essex,5451,Chittenden,802-872-1700,RESIDENTIAL CARE HOME,VT
Maplewood Recovery Residence,195 STRATTON ROAD,Rutland,5701,Rutland,802-770-5003,RESIDENTIAL CARE HOME,VT
Mayo Residential Care,610 WATER STREET,Northfield,5663,Washington,802-485-3168,RESIDENTIAL CARE HOME,VT
Meadowview Recovery Residence,24 FARMHOUSE SQUARE,Brattleboro,5301,Windham,802-275-4971,RESIDENTIAL CARE HOME,VT
Michaud Memorial Manor,47 HERRICK ROAD,Derby Line,5830,Orleans,802-873-3152,RESIDENTIAL CARE HOME,VT
Misty Heather Morn Community Care Home,174 BLISSVILLE ROAD,Hydeville,5750,Rutland,802-265-3300,RESIDENTIAL CARE HOME,VT
Newport Residential Care,148 PROUTY DRIVE,Newport,5855,Orleans,802-334-7321,RESIDENTIAL CARE HOME,VT
Our House At Park Terrace,48 SOUTH MAIN STREET,Rutland,5701,Rutland,802-773-1776,RESIDENTIAL CARE HOME,VT
Our House Outback,196 MUSSEY STREET,Rutland,5701,Rutland,802-775-7550,RESIDENTIAL CARE HOME,VT
Our House Residential Care Home,162 JACKSON AVENUE ,Rutland,5701,Rutland,802-773-4294,RESIDENTIAL CARE HOME,VT
Our House Too Residential Care Home,69 1/2 ALLEN STREET,Rutland,5701,Rutland,802-773-4272,RESIDENTIAL CARE HOME,VT
Our Lady Of Providence,47 WEST SPRING STREET,Winooski,5404,Chittenden,802-655-2395,RESIDENTIAL CARE HOME,VT
Our Lady Of The Meadows,1 PINNACLE MEADOWS,Richford ,5476,Franklin,802-848-7106,RESIDENTIAL CARE HOME,VT
Parkway House,1111 MAIN STREET,St. Johnsbury,5819,Caledonia,802-748-1572,RESIDENTIAL CARE HOME,VT
Pennington House,1822 NORTH AVENUE,Burlington ,5408,Chittenden,802-863-3231,RESIDENTIAL CARE HOME,VT
Pine Knoll Community Care Home,601 RED VILLAGE ROAD,Lyndonville,5851,Caledonia,802-626-3361,RESIDENTIAL CARE HOME,VT
Residential Care At The Manor,577 WASHINGTON HIGHWAY,Morrisville,5661,Lamoille,802-888-8700,RESIDENTIAL CARE HOME,VT
Ringer'S Home Care,195 GREEN STREET,Vergennes,5491,Addison,802-877-1363,RESIDENTIAL CARE HOME,VT
Riverbend Residential Care Home,307 VT ROUTE 110,Chelsea,5038,Orange,802-685-2250,RESIDENTIAL CARE HOME,VT
Rivers Edge Community Care Home,5 HUNT STREET,Bennington,5201,Bennington,802-442-5081,RESIDENTIAL CARE HOME,VT
Riverview Life Skills Center,197 HIGHLANDER DRIVE,Jeffersonville,5484,Lamoille,802-644-8708,RESIDENTIAL CARE HOME,VT
Roadhouse,5 GIUDICI STREET,Barre,5641,Washington,802-479-0534,RESIDENTIAL CARE HOME,VT
Saltis Home,1141 MAIN STREET,Castleton,5735,Rutland,802-468-5185,RESIDENTIAL CARE HOME,VT
Second Spring North,1071 VT ROUTE 15,Westford,5494,Chittenden,802-899-1328,RESIDENTIAL CARE HOME,VT
Second Spring South,118 CLARK ROAD,Williamstown,5679,Orange,802-433-6183,RESIDENTIAL CARE HOME,VT
Shard Villa,1177 SHARD VILLA ROAD,Salisbury,5769,Addison,802-352-4369,RESIDENTIAL CARE HOME,VT
Single Steps,62 BARRE STREET,Montpelier,5602,Washington,802-229-4109,RESIDENTIAL CARE HOME,VT
South Bay Home,121 KINGDOM WAY,Newport,5855,Orleans,802-334-1053,RESIDENTIAL CARE HOME,VT
South Harbor Senior Living,20 HARBOR VIEW ROAD,South Burlington,5403,Chittenden,802-863-7897,RESIDENTIAL CARE HOME,VT
St. Joseph Kervick Residence Iii,131 CONVENT AVENUE ,Rutland,5701,Rutland,802-775-5133,RESIDENTIAL CARE HOME,VT
St. Joseph'S Residential Care Home,243 NORTH PROSPECT STREET,Burlington ,5401,Chittenden,802-864-0264,RESIDENTIAL CARE HOME,VT
Sterling House At Richmond,61 FARR ROAD,Richmond,5477,Chittenden,802-434-7181,RESIDENTIAL CARE HOME,VT
Sterling House At Rockingham,33 ATKINSON STREET,Bellows Falls,5101,Windham,802-463-0137,RESIDENTIAL CARE HOME,VT
The Bradley House,65 HARRIS AVENUE,Brattleboro,5301,Windham,802-254-5524,RESIDENTIAL CARE HOME,VT
The Gary Residence,149 MAIN STREET,Montpelier,5602,Washington,802-223-3881,RESIDENTIAL CARE HOME,VT
"The Homestead, Inc.",73 RIVER STREET,Woodstock,5091,Windsor,802-457-1310,RESIDENTIAL CARE HOME,VT
The Residence At Otter Creek ,350 LODGE ROAD,Middlebury,5753,Addison,802-388-1220,RESIDENTIAL CARE HOME,VT
The Residence At Shelburne Bay West,185 PINE HAVEN SHORES ROAD,Shelburne,5482,Chittenden,802-985-9847,RESIDENTIAL CARE HOME,VT
Thompson Residential Home,80 MAPLE STREET,Brattleboro,5301,Windham,802-254-4977,RESIDENTIAL CARE HOME,VT
Valley View Home For The Retired,69 OAK LANE,Fairlee,5045,Orange,802-333-4829,RESIDENTIAL CARE HOME,VT
Vergennes Residential Care,34 NORTH STREET,Vergennes,5491,Addison,802-877-3562,RESIDENTIAL CARE HOME,VT
Vermont Veterans' Home Domiciliary,325 NORTH STREET,Bennington,5201,Bennington,802-447-6510,RESIDENTIAL CARE HOME,VT
Washington Elms,126 ELM STREET,Bennington,5201,Bennington,802-447-1219,RESIDENTIAL CARE HOME,VT
Watson House,18 PROSPECT STREET,North Bennington,5257,Bennington,802-447-1161,RESIDENTIAL CARE HOME,VT
Westview Meadows At Montpelier,171 WESTVIEW MEADOWS ROAD,Montpelier,5602,Washington,802-223-1068,RESIDENTIAL CARE HOME,VT
Willows Of Windsor,121 STATE STREET,Windsor,5089,Windsor,802-674-5534,RESIDENTIAL CARE HOME,VT
Windover House,451 VT ROUTE 66,Randolph,5060,Orange,802-728-3802,RESIDENTIAL CARE HOME,VT
Wintergreen Residential Care Home,3 UNION STREET,Brandon,5733,Rutland,802-465-4101,RESIDENTIAL CARE HOME,VT
Wintergreen Residential Care Home - North,360 NEW ROAD,Brandon,5733,Rutland,802-465-8340,RESIDENTIAL CARE HOME,VT
