Facility Name,Facility Physical Address,Facility Physical Town,Facility Physical Zip,Facility Physical County,Phone Number,Fax Number,Designated Dementia/Memory Care,ACCS,ERC
Copley House,379 Washington Highway,Morrisville,05661,Lamoille,802-888-7323,802-888-2393,No,Yes,No
Craftsbury Community Care Center,1784 East Craftsbury Road,Craftsbury,05826,Orleans,802-586-2414,802-586-6956,No,Yes,Yes
Davis Home,45 State Street,Windsor,05089,Windsor,802-674-5300,NA,No,Yes,Yes
East Terrace,71 East Terrace,South Burlington,05403,Chittenden,802-660-4383,802-488-6501,No,No,No
Eastview At Middlebury,100 Eastview Terrace,Middlebury,05753,Addison,802-989-7500,802-989-7265,Yes,No,No
Emma's Place,212 North Main Street,Wallingford,05773,Rutland,802-446-3574,802-446-3780,No,Yes,Yes
Equinox Terrace,324 Equinox Terrace Road,Manchester Center,05255,Bennington,802-362-5141,802-362-3374,Yes,Yes,Yes
Ethan Allen Residence,1200 North Avenue,Burlington ,05408,Chittenden,802-658-1573,802-860-1906,No,Yes,Yes
Fairwinds Residential Care Home,108 Mechanic Street,North Bennington,05257,Bennington,802-442-4067,NA,No,No,No
Forest Hill Residential Care Home,213 Clark Drive,Hyde Park,05655,Lamoille,802-888-1700,802-888-9944,No,Yes,Yes
Four Seasons Care Home,135 South Main Street,Northfield,05663,Washington,802-485-8163,802-485-4124,No,Yes,Yes
Gatling House Group Home,106 John Street,Bennington,05201,Bennington,802-442-3378,802-442-1705,No,Yes,No
Gazebo Senior Living-Gazebo Apartments,1510 Williston Road,South Burlington,05403,Chittenden,802-865-4461,802-861-2186,No,Yes,Yes
Gazebo Senior Living-Gazebo North,1530 Williston Road,South Burlington,05403,Chittenden,802-863-2386,802-863-0097,No,Yes,Yes
Giordano Manor,34 Canada Street,Swanton ,05488,Franklin,802-868-3903,802-868-3901,No,Yes,No
Heaton Woods,10 Heaton Street,Montpelier,05602,Washington,802-223-1157,802-229-2286,No,Yes,Yes
Hill Street,201 Hill Street,Barre,05641,Washington,802-479-1477,802-479-3119,No,Yes,No
Hilltop Recovery Residence,94 Westminster Terrace,Westminster,05101,Windham,802-732-8343,802-732-8344,No,Yes,No
Historic Homes of Runnemede - Evarts House,34 Maxwell Perkins Lane,Windsor,05089,Windsor,802-674-6733,802-674-2328,No,Yes,Yes
Historic Homes of Runnemede - Stoughton House,46 Main Street,Windsor,05089,Windsor,802-674-6733,802-674-2328,No,Yes,Yes
Holton (Memorial) Home,158 Western Avenue,Brattleboro,05301,Windham,802-254-4155,802-254-1349,No,Yes,Yes
Homestead Senior Living,64 Harborview Drive,St. Albans,05478,Franklin,802-752-2102,NA,No,Yes,Yes
Johnson Care Home,919 VT Route 100,Hancock,05748,Addison,802-767-4404,802-767-4404,No,Yes,Yes
Kingdom Way Group Home,97 Kingdom Way,Newport,05855,Orleans,802-334-4598,802-334-4619,No,Yes,No
King's Daughters Home,10 Rugg Street,St. Albans,05478,Franklin,802-524-5744,802-524-4646,No,Yes,Yes
Kirby House,64 South Main Street,Waterbury,05676,Washington,802-244-8998,802-244-7087,No,Yes,Yes
"KLM Enterprises, INC",88 A-B River Street,Wallingford,05773,Rutland,802-446-6030,802-446-3780,No,Yes,Yes
Lakeview Community Care Home,332 St. Paul Street,Burlington ,05401,Chittenden,802-488-7033,802-488-7034,No,Yes,No
Lenny Burke's Farm,1409 US RTE 7 South,Wallingford,05773,Rutland,802-446-6020,802-446-3780,No,Yes,Yes
Lincoln House,120 Hill Street,Barre,05641,Washington,802-476-3283,802-476-3349,No,Yes,No
Linden Residential Care,200 Wake Robin Drive,Shelburne ,05482,Chittenden,802-264-5150,802-985-8452,No,No,No
Loch Lomond,700 Willson Road,North Concord,05858,Essex,802-695-3366,802-695-3366,No,Yes,No
Loretto Home,59 Meadow Street,Rutland,05701,Rutland,802-773-8840,802-773-9638,Yes,Yes,Yes
Manes House,127 Union Street,Bennington,05201,Bennington,802-442-8900,802-442-3438,No,Yes,Yes
Maple Lane Retirement Home,33 Maple Lane,Barton,05822,Orleans,802-754-2323,802-754-6871,No,Yes,Yes
Maple Ridge Memory Care,6 Freeman Woods,Essex,05451,Chittenden,802-872-1700,802-872-6400,Yes,No,No
Maplewood Recovery Residence,195 Stratton Road,Rutland,05701,Rutland,802-770-5003,802-770-5007,No,Yes,No
Mayo Residential Care,610 Water Street,Northfield,05663,Washington,802-485-3168,802-485-4815,No,Yes,Yes
Meadowview Recovery Residence,24 Farmhouse Square,Brattleboro,05301,Windham,802-275-4971,802-275-4973,No,Yes,No
Michaud Memorial Manor,47 Herrick Road,Derby Line,05830,Orleans,802-873-3152,802-873-9206,No,Yes,Yes
Misty Heather Morn Community Care Home,174 Blissville Road,Hydeville,05750,Rutland,802-265-3300,802-265-3300,No,Yes,Yes
Newport Residential Care,148 Prouty Drive,Newport,05855,Orleans,802-334-7321,802-332-1548,No,Yes,No
Our House At Park Terrace,48 South Main Street,Rutland,05701,Rutland,802-773-1776,802-772-7921,No,Yes,Yes
Our House Outback,196 Mussey Street,Rutland,05701,Rutland,802-775-7550,802-775-7551,Yes,Yes,Yes
Our House Residential Care Home,162 Jackson Avenue ,Rutland,05701,Rutland,802-773-4294,802-773-5716,Yes,Yes,Yes
Our House Too Residential Care Home,69 1/2 Allen Street,Rutland,05701,Rutland,802-773-4272,802-773-4287,Yes,Yes,Yes
Our Lady of Providence,47 West Spring Street,Winooski,05404,Chittenden,802-655-2395,802-655-3888,No,Yes,Yes
Our Lady of The Meadows,1 Pinnacle Meadows,Richford ,05476,Franklin,802-848-7106,802-848-3216,Yes,Yes,Yes
Parkway House,1111 Main Street,St. Johnsbury,05819,Caledonia,802-748-1572,802-748-4257,No,Yes,No
Pennington House,1822 North Avenue,Burlington ,05408,Chittenden,802-863-3231,802-488-6501,No,No,No
Pine Knoll Community Care Home,601 Red Village Road,Lyndonville,05851,Caledonia,802-626-3361,802-626-4056,No,Yes,Yes
Residential Care At The Manor,577 Washington Highway,Morrisville,05661,Lamoille,802-888-8700,802-888-8781,No,Yes,Yes
Ringer's Home Care,195 Green Street,Vergennes,05491,Addison,802-877-1363,802-877-2118,No,Yes ,Yes
Riverbend Residential Care Home,307 VT Route 110,Chelsea,05038,Orange,802-685-2250,802-685-2255,No,Yes,Yes
Rivers Edge Community Care Home,5 Hunt Street,Bennington,05201,Bennington,802-442-5081,802-442-6795,No,Yes,Yes
Riverview Life Skills Center,197 Highlander Drive,Jeffersonville,05484,Lamoille,802-644-8708,802-644-6697,No,Yes,Yes
Roadhouse,5 Giudici Street,Barre,05641,Washington,802-479-0534,802-476-1722,No,Yes,No
Saltis Home,1141 Main Street,Castleton,05735,Rutland,802-468-5185,802-468-5185,No,Yes,No
Second Spring North,1071 VT Route 15,Westford,05494,Chittenden,802-899-1328,802-899-1329,No,Yes,No
Second Spring South,118 Clark Road,Williamstown,05679,Orange,802-433-6183,802-433-1309,No,Yes,No
Shard Villa,1177 Shard Villa Road,Salisbury,05769,Addison,802-352-4369,802-352-4343,No,Yes,Yes
Single Steps,62 Barre Street,Montpelier,05602,Washington,802-229-4109,802-229-8015,No,Yes,No
South Bay Home,121 Kingdom Way,Newport,05855,Orleans,802-334-1053,802-334-9474,No,Yes,No
South Harbor Senior Living,20 Harbor View Road,South Burlington,05403,Chittenden,802-863-7897,NA,No,Yes,No
St. Joseph Kervick Residence III,131 Convent Avenue ,Rutland,05701,Rutland,802-775-5133,802-747-0195,No,Yes,Yes
St. Joseph's Residential Care Home,243 North Prospect Street,Burlington ,05401,Chittenden,802-864-0264,802-864-5640,No,Yes,Yes
Sterling House At Richmond,61 Farr Road,Richmond,05477,Chittenden,802-434-7181,802-434-7161,No,Yes,Yes
Sterling House At Rockingham,33 Atkinson Street,Bellows Falls,05101,Windham,802-463-0137,802-434-4137,No,Yes,Yes
The Bradley House,65 Harris Avenue,Brattleboro,05301,Windham,802-254-5524,802-254-1135,No,Yes,Yes
The Gary Residence,149 Main Street,Montpelier,05602,Washington,802-223-3881,802-223-4468,No,Yes,Yes
"The Homestead, INC.",73 River Street,Woodstock,05091,Windsor,802-457-1310,802-457-4267,No,Yes,No
The Residence At Otter Creek ,350 Lodge Road,Middlebury,05753,Addison,802-388-1220,802-985-1438,Yes,No,No
The Residence At Shelburne Bay West,185 Pine Haven Shores Road,Shelburne,05482,Chittenden,802-985-9847,802-985-1438,Yes,No,No
Thompson Residential Home,80 Maple Street,Brattleboro,05301,Windham,802-254-4977,802-254-8842,No,No,No
Valley View Home For The Retired,69 Oak Lane,Fairlee,05045,Orange,802-333-4829,802-333-7091,No,Yes,Yes
Vergennes Residential Care,34 North Street,Vergennes,05491,Addison,802-877-3562,802-877-3562,No,Yes,Yes
Vermont Veterans' Home Domiciliary,325 North Street,Bennington,05201,Bennington,802-447-6510,802-477-6466,No,Yes,No
Washington Elms,126 Elm Street,Bennington,05201,Bennington,802-447-1219,802-447-8242,No,Yes,No
Watson House,18 Prospect Street,North Bennington,05257,Bennington,802-447-1161,802-447-0115,No,Yes,Yes
Westview Meadows At Montpelier,171 Westview Meadows Road,Montpelier,05602,Washington,802-223-1068,802-223-3233,No,No,No
Willows of Windsor,121 State Street,Windsor,05089,Windsor,802-674-5534,802-674-9121,No,Yes,Yes
Windover House,451 VT Route 66,Randolph,05060,Orange,802-728-3802,802-728-3802,No,Yes,Yes
Wintergreen Residential Care Home,3 Union Street,Brandon,05733,Rutland,802-465-4101,802-465-4737,No,Yes,Yes
Wintergreen Residential Care Home - North,360 New Road,Brandon,05733,Rutland,802-465-8340,802-465-8311,No,Yes,Yes
,,,,,,,,,
,,,,,,,,,
