Facility Name,Address,City,Zip Code,County,Phone Number
Giordano Manor,34 Canada Street,Swanton ,5488,Franklin,802-868-3903
Heaton Woods,10 Heaton Street,Montpelier,5602,Washington,802-223-1157
Hill Street,201 Hill Street,Barre,5641,Washington,802-479-1477
Hilltop Recovery Residence,94 Westminster Terrace,Westminster,5101,Windham,802-732-8343
Historic Homes of Runnemede - Evarts House,34 Maxwell Perkins Lane,Windsor,5089,Windsor,802-674-6733
Historic Homes of Runnemede - Stoughton House,46 Main Street,Windsor,5089,Windsor,802-674-6733
Holton (Memorial) Home,158 Western Avenue,Brattleboro,5301,Windham,802-254-4155
Homestead Senior Living,64 Harborview Drive,St. Albans,5478,Franklin,802-752-2102
Johnson Care Home,919 VT Route 100,Hancock,5748,Addison,802-767-4404
Kingdom Way Group Home,97 Kingdom Way,Newport,5855,Orleans,802-334-4598
King's Daughters Home,10 Rugg Street,St. Albans,5478,Franklin,802-524-5744
Kirby House,64 South Main Street,Waterbury,5676,Washington,802-244-8998
"KLM Enterprises, INC",88 A-B River Street,Wallingford,5773,Rutland,802-446-6030
Lakeview Community Care Home,332 St. Paul Street,Burlington ,5401,Chittenden,802-488-7033
Lenny Burke's Farm,1409 US RTE 7 South,Wallingford,5773,Rutland,802-446-6020
Lincoln House,120 Hill Street,Barre,5641,Washington,802-476-3283
Linden Residential Care,200 Wake Robin Drive,Shelburne ,5482,Chittenden,802-264-5150
Loch Lomond,700 Willson Road,North Concord,5858,Essex,802-695-3366
Loretto Home,59 Meadow Street,Rutland,5701,Rutland,802-773-8840
Manes House,127 Union Street,Bennington,5201,Bennington,802-442-8900
Maple Lane Retirement Home,33 Maple Lane,Barton,5822,Orleans,802-754-2323
Maple Ridge Memory Care,6 Freeman Woods,Essex,5451,Chittenden,802-872-1700
Maplewood Recovery Residence,195 Stratton Road,Rutland,5701,Rutland,802-770-5003
Mayo Residential Care,610 Water Street,Northfield,5663,Washington,802-485-3168
Meadowview Recovery Residence,24 Farmhouse Square,Brattleboro,5301,Windham,802-275-4971
Michaud Memorial Manor,47 Herrick Road,Derby Line,5830,Orleans,802-873-3152
Misty Heather Morn Community Care Home,174 Blissville Road,Hydeville,5750,Rutland,802-265-3300
Newport Residential Care,148 Prouty Drive,Newport,5855,Orleans,802-334-7321
Our House At Park Terrace,48 South Main Street,Rutland,5701,Rutland,802-773-1776
Our House Outback,196 Mussey Street,Rutland,5701,Rutland,802-775-7550
Our House Residential Care Home,162 Jackson Avenue ,Rutland,5701,Rutland,802-773-4294
Our House Too Residential Care Home,69 1/2 Allen Street,Rutland,5701,Rutland,802-773-4272
Our Lady of Providence,47 West Spring Street,Winooski,5404,Chittenden,802-655-2395
Our Lady of The Meadows,1 Pinnacle Meadows,Richford ,5476,Franklin,802-848-7106
Parkway House,1111 Main Street,St. Johnsbury,5819,Caledonia,802-748-1572
Pennington House,1822 North Avenue,Burlington ,5408,Chittenden,802-863-3231
Pine Knoll Community Care Home,601 Red Village Road,Lyndonville,5851,Caledonia,802-626-3361
Residential Care At The Manor,577 Washington Highway,Morrisville,5661,Lamoille,802-888-8700
Ringer's Home Care,195 Green Street,Vergennes,5491,Addison,802-877-1363
Riverbend Residential Care Home,307 VT Route 110,Chelsea,5038,Orange,802-685-2250
Rivers Edge Community Care Home,5 Hunt Street,Bennington,5201,Bennington,802-442-5081
Riverview Life Skills Center,197 Highlander Drive,Jeffersonville,5484,Lamoille,802-644-8708
Roadhouse,5 Giudici Street,Barre,5641,Washington,802-479-0534
Saltis Home,1141 Main Street,Castleton,5735,Rutland,802-468-5185
Second Spring North,1071 VT Route 15,Westford,5494,Chittenden,802-899-1328
Second Spring South,118 Clark Road,Williamstown,5679,Orange,802-433-6183
Shard Villa,1177 Shard Villa Road,Salisbury,5769,Addison,802-352-4369
Single Steps,62 Barre Street,Montpelier,5602,Washington,802-229-4109
South Bay Home,121 Kingdom Way,Newport,5855,Orleans,802-334-1053
South Harbor Senior Living,20 Harbor View Road,South Burlington,5403,Chittenden,802-863-7897
St. Joseph Kervick Residence III,131 Convent Avenue ,Rutland,5701,Rutland,802-775-5133
St. Joseph's Residential Care Home,243 North Prospect Street,Burlington ,5401,Chittenden,802-864-0264
Sterling House At Richmond,61 Farr Road,Richmond,5477,Chittenden,802-434-7181
Sterling House At Rockingham,33 Atkinson Street,Bellows Falls,5101,Windham,802-463-0137
The Bradley House,65 Harris Avenue,Brattleboro,5301,Windham,802-254-5524
The Gary Residence,149 Main Street,Montpelier,5602,Washington,802-223-3881
"The Homestead, INC.",73 River Street,Woodstock,5091,Windsor,802-457-1310
The Residence At Otter Creek ,350 Lodge Road,Middlebury,5753,Addison,802-388-1220
The Residence At Shelburne Bay West,185 Pine Haven Shores Road,Shelburne,5482,Chittenden,802-985-9847
Thompson Residential Home,80 Maple Street,Brattleboro,5301,Windham,802-254-4977
Valley View Home For The Retired,69 Oak Lane,Fairlee,5045,Orange,802-333-4829
Vergennes Residential Care,34 North Street,Vergennes,5491,Addison,802-877-3562
Vermont Veterans' Home Domiciliary,325 North Street,Bennington,5201,Bennington,802-447-6510
Washington Elms,126 Elm Street,Bennington,5201,Bennington,802-447-1219
Watson House,18 Prospect Street,North Bennington,5257,Bennington,802-447-1161
Westview Meadows At Montpelier,171 Westview Meadows Road,Montpelier,5602,Washington,802-223-1068
Willows of Windsor,121 State Street,Windsor,5089,Windsor,802-674-5534
Windover House,451 VT Route 66,Randolph,5060,Orange,802-728-3802
Wintergreen Residential Care Home,3 Union Street,Brandon,5733,Rutland,802-465-4101
Wintergreen Residential Care Home - North,360 New Road,Brandon,5733,Rutland,802-465-8340
