Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal
ALPINE VILLAGE ASSISTED LIVING,OHL39983,2323R,4195921688,jkirkendall@genacross.org,1032 PERRY STREET,NAPOLEON,OH,43545,HENRY,44,"LUTHERAN ORPHANS AND OLD FOLKS HOME, INC. #2",Residential Care Facility
"ALTERCARE NEWARK SOUTH AL, INC",OHL41318,2555R,7403459197,scleary@altercareonline.net,17 FORRY STREET,NEWARK,OH,43055,LICKING,9,NEWARK NH LLC,Residential Care Facility
"ALTERCARE NEWARK SOUTH AL, INC",OHL41318,2555R,7403459197,scleary@altercareonline.net,17 FORRY STREET,NEWARK,OH,43055,LICKING,9,"ALTERCARE NEWARK SOUTH, INC",Residential Care Facility
AMBASSADOR SUITES AT FORUM/KNIGHTSBRIDGE,OHL00979,1921R,6144516793,licensing@5ssl.com,4590 KNIGHTSBRIDGE BLVD,COLUMBUS,OH,43214,FRANKLIN,59,"SNH OHIO TENANT, LLC",Residential Care Facility
AMBASSADOR SUITES AT FORUM/KNIGHTSBRIDGE,OHL00979,1921R,6144516793,licensing@5ssl.com,4590 KNIGHTSBRIDGE BLVD,COLUMBUS,OH,43214,FRANKLIN,59,FIVE STAR KNIGHTSBRIDGE LLC,Residential Care Facility
AMBER PARK ASSISTED LIVING,OHL41263,2550R,6148343113,jhenry@hawthorncg.com,401 HILL ROAD NORTH,PICKERINGTON,OH,43147,FAIRFIELD,172,PICKERINGTON ASSISTED LIVING LLC,Residential Care Facility
AMBER PARK ASSISTED LIVING,OHL41263,2550R,6148343113,jhenry@hawthorncg.com,401 HILL ROAD NORTH,PICKERINGTON,OH,43147,FAIRFIELD,172,"PICKERINGTON ASSISTED LIVING OPCO, LLC",Residential Care Facility
AMERICAN HOUSE MACEDONIA,OHL41881,2707R,3308138855,macedonia@americanhouse.com,8400 SOUTH BEDFORD ROAD,MACEDONIA,OH,44056,SUMMIT,140,HSRE-AHR MACEDONIA TRS LLC,Residential Care Facility
AMERICAN HOUSE MACEDONIA,OHL41881,2707R,3308138855,macedonia@americanhouse.com,8400 SOUTH BEDFORD ROAD,MACEDONIA,OH,44056,SUMMIT,140,"VISTA SPRINGS MACEDONIA OPERATIONS, LLC",Residential Care Facility
AMHERST MANOR,OHL00387,0416R,4409884415,kgollinger@sprengerhealthcare.com,175 NORTH LAKE STREET,AMHERST,OH,44001,LORAIN,36,AUTUMN AEGIS INC,Residential Care Facility
AMHERST MANOR,OHL00387,0416R,4409884415,kgollinger@sprengerhealthcare.com,175 NORTH LAKE STREET,AMHERST,OH,44001,LORAIN,36,ANCHOR LODGE NURSING HOME INC,Residential Care Facility
AMHERST MANOR,OHL00387,0416R,4409884415,kgollinger@sprengerhealthcare.com,175 NORTH LAKE STREET,AMHERST,OH,44001,LORAIN,36,SPRENGER ENTERPRISE INC.,Residential Care Facility
AMHERST MANOR,OHL00387,0416R,4409884415,kgollinger@sprengerhealthcare.com,175 NORTH LAKE STREET,AMHERST,OH,44001,LORAIN,36,DONEL SPRENGER,Residential Care Facility
AMHERST MANOR,OHL00387,0416R,4409884415,kgollinger@sprengerhealthcare.com,175 NORTH LAKE STREET,AMHERST,OH,44001,LORAIN,36,ANTHONY SPRENGER,Residential Care Facility
AMHERST MANOR,OHL00387,0416R,4409884415,kgollinger@sprengerhealthcare.com,175 NORTH LAKE STREET,AMHERST,OH,44001,LORAIN,36,"ASSISTED LIVING SERVICES, INC.",Residential Care Facility
AMHERST MEADOWS CARE CENTER,OHL41594,2388R,3308308500,emoore@amherstmeadowscarecenter.com,1610 FIRST STREET NE,MASSILLON,OH,44646,STARK,44,"AMHERST ALLIANCE, LLC",Residential Care Facility
ANCHOR LODGE LIMITED,OHL00026,0556R,4402442019,rcarroll@sprengerhealthcare.com,3756 WEST ERIE AVENUE,LORAIN,OH,44053,LORAIN,80,"ANCHOR LODGE NURSING HOME, INC.",Residential Care Facility
ANCORA AT MOUNT ALVERNA VILLAGE,OHL42180,2855R,4408437800,pwelsh@franciscancommunities.org,6763 STATE ROAD,PARMA,OH,44134,CUYAHOGA,42,"FRANCISCAN COMMUNITIES, INC. II",Residential Care Facility
"ANNA MARIA OF AURORA, INC.",OHL00015,0062R,3305626171,pwilliams@annamariaofaurora.com,889 NORTH AURORA ROAD,AURORA,OH,44202,PORTAGE,106,"ANNA MARIA OF AURORA, INC.",Residential Care Facility
ANTHOLOGY OF ANDERSON TOWNSHIP,OHL42182,2856R,5139093160,ihecht@stonecrestseniorliving.com,6849 BEECHMONT AVENUE,CINCINNATI,OH,45230,HAMILTON,99,"CA SENIOR ANDERSON TOWNSHIP OPERATOR, LLC",Residential Care Facility
ANTHOLOGY OF MASON,OHL42049,2786R,5138981287,nderminio@anthologyseniorliving.com,5373 MERTEN DRIVE,MASON,OH,45040,WARREN,115,"CA SENIOR MASON OPERATOR, LLC",Residential Care Facility
ANTHOLOGY OF MAYFIELD,OHL42265,2891R,4407961472,kwosotowsky@anthologyseniorliving.com,6200 LANDERHAVEN DRIVE,MAYFIELD HEIGHTS,OH,44124,CUYAHOGA,132,"CA SENIOR MAYFIELD OPERATOR, LLC",Residential Care Facility
ANTONINE VILLAGE,OHL41835,2681R,3305389822,anto9srs@aol.com,2675 NORTH LIPKEY ROAD,NORTH JACKSON,OH,44451,MAHONING,73,"ANTONINE MARONITE SISTERS OF YOUNGSTOWN, INC.",Residential Care Facility
"APOSTOLIC CHRISTIAN HOME, INC.",OHL00039,1610R,3309271010,administrator@apostolichome.com,10680 STEINER ROAD,RITTMAN,OH,44270,WAYNE,24,"APOSTOLIC CHRISTIAN HOME, INC.",Residential Care Facility
ARBORS AT MILFORD,OHL01629,1832R,5132481655,chudson@prestigehcm.com,5900 MEADOWCREEK DRIVE,MILFORD,OH,45150,CLERMONT,42,"OH SNF MILFORD OPCO, LLC",Residential Care Facility
ARDEN COURTS (ANDERSON),OHL3282,2307R,5132330831,shannon.schwarm@hcr-manorcare.com,6870 CLOUGH PIKE,CINCINNATI,OH,45244,HAMILTON,60,"ARDEN COURTS ANDERSON OF CINCINNATI OH, LLC",Residential Care Facility
ARDEN COURTS (BATH),OHL00425,2259R,3306686889,5358-admin@hcr-manorcare.com,171 N. CLEVELAND MASSILLON ROAD,AKRON,OH,44333,SUMMIT,56,HCR-MANOR CARE,Residential Care Facility
ARDEN COURTS (BATH),OHL00425,2259R,3306686889,5358-admin@hcr-manorcare.com,171 N. CLEVELAND MASSILLON ROAD,AKRON,OH,44333,SUMMIT,56,"ARDEN COURTS OF AKRON OH, LLC",Residential Care Facility
ARDEN COURTS (CHAGRIN FALLS),OHL00413,2243R,4405436766,5323-admin@hcr-manorcare.com,8100 EAST WASHINGTON STREET,BAINBRIDGE,OH,44023,GEAUGA,64,"ARDEN COURTS BAINBRIDGE OF CHAGRIN FALLS OH, LLC",Residential Care Facility
ARDEN COURTS (KENWOOD),OHL32927,2304R,5137459600,andrew.mosher@hcr-manorcare.com,4580 E GALBRAITH ROAD,KENWOOD,OH,45236,HAMILTON,62,"ARDEN COURTS OF KENWOOD OH, LLC",Residential Care Facility
ARDEN COURTS (PARMA),OHL00408,2234R,4408865858,5313-admin@hcr-manorcare.com,9205 SPRAGUE ROAD,PARMA,OH,44133,CUYAHOGA,59,"ARDEN COURTS OF PARMA OH, LLC",Residential Care Facility
ARDEN COURTS (WESTLAKE),OHL00367,2117R,4408089275,juadams@hcr-manorcare.com,28400 CENTER RIDGE ROAD,WESTLAKE,OH,44145,CUYAHOGA,64,"ARDEN COURTS OF WESTLAKE OH, LLC",Residential Care Facility
ARMSTRONG MEMORY CARE ASSISTED LIVING,OHL41976,2752R,2348063320,dyankle@windsorhouseinc.com,2 WINDSOR PLACE,WARREN,OH,44483,TRUMBULL,44,"ARMSTRONG MEMORY CARE ASSISTED LIVING, LLC",Residential Care Facility
ARTIS SENIOR LIVING OF BRIDGETOWN,OHL41985,2757R,5138321597,jtepe@artismgmt.com,5799 BRIDGETOWN ROAD,CINCINNATI,OH,45248,HAMILTON,64,"ARTIS SENIOR LIVING OF GREEN TOWNSHIP, LLC",Residential Care Facility
ARTIS SENIOR LIVING OF MASON,OHL41845,2687R,5132297450,dkloenne@artismgmt.com,6200 SNIDER ROAD,MASON,OH,45040,WARREN,64,"ARTIS SLM OF MASON, LLC",Residential Care Facility
"ASHFORD AT STURBRIDGE, THE",OHL42148,2838R,6146334811,ashfordatsturbridge@wallick.com,3700 STURBRIDGE COURT,HILLIARD,OH,43026,FRANKLIN,165,"ASHFORD AT STURBRIDGE, LLC",Residential Care Facility
ASHFORD OF GROVE CITY,OHL42298,2908R,6143628169,ashfordgrovecity@wallick.com,3197 SOUTHWEST BLVD,GROVE CITY,OH,43123,FRANKLIN,165,"ASHFORD OF GROVE CITY, LLC",Residential Care Facility
ASHFORD OF MOUNT WASHINGTON THE,OHL41963,2746R,5132310008,info@theashfordofmtwashington.com,1131 DELIQUIA DRIVE,CINCINNATI,OH,45230,HAMILTON,135,"THE ASHFORD AT MT. WASHINGTON, LLC",Residential Care Facility
ASHFORD ON BROAD THE,OHL41945,2738R,6146412995,info@theashfordonbroad.com,4801 EAST BROAD STREET,COLUMBUS,OH,43213,FRANKLIN,165,"WHITEHALL ASSISTED LIVING, LLC",Residential Care Facility
ASHLEY PLACE,OHL03217,2322R,5136591048,bwenning@hillandale.com,8073 TYLERSVILLE ROAD,WEST CHESTER,OH,45069,BUTLER,133,"ASHLEY PLACE CARE, LTD",Residential Care Facility
"ASHLEY PLACE AT DOVERWOOD, LLC",OHL41628,2608R,5138682266,jbrown@hillandale.com,4195 HAMILTON - MASON ROAD,HAMILTON,OH,45011,BUTLER,42,"ASHLEY PLACE AT DOVERWOOD, LLC",Residential Care Facility
"ASSISTED LIVING MINISTRY SERVICES, LLC",OHL41425,2570R,3303850700,assistedlivingministryservices@gmail.com ,650 ST CLAIR AVENUE,EAST LIVERPOOL,OH,43920,COLUMBIANA,17,"ASSISTED LIVING MINISTRY SERVICES, LLC",Residential Care Facility
"ASTOR HOUSE, A VILLA CENTER",OHL00883,1823R,4198662164,tblakely@villahc.com,1125 CLARION AVENUE,HOLLAND,OH,43528,LUCAS,61,"SPRING MEADOWS EXTENDED CARE FACILITY, INC.",Residential Care Facility
"ASTOR HOUSE, A VILLA CENTER",OHL00883,1823R,4198662164,tblakely@villahc.com,1125 CLARION AVENUE,HOLLAND,OH,43528,LUCAS,61,"ASTOR HOUSE, LLC",Residential Care Facility
ATHENIAN ASSISTED LIVING,OHL02954,2321R,4408771900,advanceamb@aol.com,12799 DOULA LANE,NORTH ROYALTON,OH,44133,CUYAHOGA,100,DOULA GAITANAROS,Residential Care Facility
ATHENIAN ASSISTED LIVING,OHL02954,2321R,4408771900,advanceamb@aol.com,12799 DOULA LANE,NORTH ROYALTON,OH,44133,CUYAHOGA,100,"ATHENIAN, INC.",Residential Care Facility
ATRIUM AT ANNA MARIA THE,OHL41746,2651R,3305627777,nlippencott@annamariaofaurora.com,800 NORTH AURORA ROAD,AURORA,OH,44202,PORTAGE,64,,Residential Care Facility
AUSTINTOWN HEALTHCARE CENTER,OHL00050,1892R,3307927799,msebest@chs-corp.com,650 SOUTH MERIDIAN ROAD,YOUNGSTOWN,OH,44509,MAHONING,26,ESSEX HEALTHCARE CORPORATION,Residential Care Facility
AUSTINTOWN HEALTHCARE CENTER,OHL00050,1892R,3307927799,msebest@chs-corp.com,650 SOUTH MERIDIAN ROAD,YOUNGSTOWN,OH,44509,MAHONING,26,"S MERIDIAN LEASING CO., LLC",Residential Care Facility
AVENUE ASSISTED LIVING,OHL40663,2462R,4409306600,bmalanowski@sprengerhealthcare.com,400 COMMUNITY DRIVE,AVON LAKE,OH,44012,LORAIN,174,"TOWNE ASSISTED LIVING, LLC",Residential Care Facility
AVENUE AT WOOSTER ASSISTED LIVING,OHL42097,2810R,3306011001,lpolasko@avenueatwooster.com,1700 EAST SMITHVILLE WESTERN ROAD,WOOSTER,OH,44691,WAYNE,50,"PROGRESSIVE WOOSTER, LLC",Residential Care Facility
BARRINGTON OF OAKLEY,OHL41254,2548R,5135619100,clang@seniorlifestyle.com,4855 BABSON PLACE,CINCINNATI,OH,45227,HAMILTON,212,"SLH OAKLEY MANAGER, LLC",Residential Care Facility
BARRINGTON OF OAKLEY,OHL41254,2548R,5135619100,clang@seniorlifestyle.com,4855 BABSON PLACE,CINCINNATI,OH,45227,HAMILTON,212,BABSON SENIOR CARE LLC,Residential Care Facility
BARRINGTON OF WEST CHESTER,OHL40892,2495R,5137774457,swehrman@seniorlifestyle.com,7222 HERITAGESPRING DRIVE,WEST CHESTER,OH,45069,BUTLER,210,"SLH WEST CHESTER MANAGER, LLC",Residential Care Facility
BARRINGTON OF WEST CHESTER,OHL40892,2495R,5137774457,swehrman@seniorlifestyle.com,7222 HERITAGESPRING DRIVE,WEST CHESTER,OH,45069,BUTLER,210,"HERITAGESPRING SENIOR CARE, LLC",Residential Care Facility
BAYLEY SENIOR CARE,OHL01641,1937R,5133474170,paul.kocsis@srcharitycinti.org,990 BAYLEY DRIVE,CINCINNATI,OH,45233,HAMILTON,167,SENIOR CARE CORPORATION,Residential Care Facility
BAYLEY SENIOR CARE,OHL01641,1937R,5133474170,paul.kocsis@srcharitycinti.org,990 BAYLEY DRIVE,CINCINNATI,OH,45233,HAMILTON,167,BAYLEY SENIOR CARE,Residential Care Facility
BAYLEY SENIOR CARE,OHL01641,1937R,5133474170,paul.kocsis@srcharitycinti.org,990 BAYLEY DRIVE,CINCINNATI,OH,45233,HAMILTON,167,SISTERS OF CHARITY SENIOR CARE CORP.,Residential Care Facility
"BEACHWOOD COMMONS ASSISTED LIVING, LTD",OHL41885,2709R,2162951700,karries@walsdc.com,3995 GREEN ROAD,BEACHWOOD,OH,44122,CUYAHOGA,114,"BEACHWOOD COMMONS ASSISTED LIVING, LTD",Residential Care Facility
BEEHIVE HOMES OF SPRINGBORO,OHL42161,2845R,9373501211,asharp.beehivehomes@gmail.com,1325 W LYTLE FIVE POINTS ROAD,SPRINGBORO,OH,45066,WARREN,48,"LIFESTYLE GARDENS, LLC",Residential Care Facility
BELL GARDENS PLACE,OHL01917,2126R,9373938830,bwillcocks@enlivant.com,251 HARRY SAUNDER ROAD,HILLSBORO,OH,45133,HIGHLAND,50,HIGHLAND AID OPCO LLC,Residential Care Facility
BELMONT TOWER,OHL02982,2336R,4192891585,mbartholomew@brethrencarevillage.org,2140 CENTER STREET,ASHLAND,OH,44805,ASHLAND,80,"BRETHREN CARE VILLAGE, LLC",Residential Care Facility
BELPRE LANDING NURSING AND REHABILITATION CENTER,OHL41931,2730R,7402812192,bparsons@continuinghc.com,1915 HILL STREET,BELPRE,OH,45714,WASHINGTON,24,"BELPRE LANDING NURSING & REHABILITATION, INC.",Residential Care Facility
BELVEDERE OF WESTLAKE THE,OHL32938,2318R,4408354000,apahler@rae-ann.net,29591 DETROIT ROAD,WESTLAKE,OH,44145,CUYAHOGA,66,"THE BELVEDERE OF WESTLAKE, LLC",Residential Care Facility
BERKELEY SQUARE RETIREMENT CENTER,OHL01960,2063R,5138568600,msitchanoff@community-first.org,100 BERKELEY DRIVE,HAMILTON,OH,45013,BUTLER,92,FORT HAMILTON HEALTHCARE CORPORATION,Residential Care Facility
BETHANY,OHL01477,1433R,3304927171,jabaum@bethanynh.com,"626 34TH STREET, NW",CANTON,OH,44709,STARK,36,"BETHANY NURSING HOME, INC.",Residential Care Facility
BETHANY PLACE,OHL41759,2656R,4193345500,bpeiffer@genacross.org,916 NORTH STREET,FREMONT,OH,43420,SANDUSKY,16,"LUTHERAN HOMES SOCIETY, INC.",Residential Care Facility
BETHANY VILLAGE,OHL500117,0632R,9374366841,lcoyle@graceworks.org,6445 FAR HILLS AVENUE,CENTERVILLE,OH,45459,MONTGOMERY,195,GRACEWORKS LUTHERAN SVS,Residential Care Facility
BICKFORD OF BEXLEY,OHL00983,1976R,6142353900,molly.britt@bickfordseniorliving.com,2600 EAST MAIN STREET,BEXLEY,OH,43209,FRANKLIN,75,SUNRISE SENIOR LIVING MANAGEMENT INC,Residential Care Facility
BICKFORD OF BEXLEY,OHL00983,1976R,6142353900,molly.britt@bickfordseniorliving.com,2600 EAST MAIN STREET,BEXLEY,OH,43209,FRANKLIN,75,"BICKFORD OF BEXLEY, LLC",Residential Care Facility
BICKFORD OF LANCASTER,OHL40602,2461R,7406899944,emily.lightbody@bickfordseniorliving.com,1834 COUNTRY SIDE DRIVE,LANCASTER,OH,43130,FAIRFIELD,113,"BICKFORD OF LANCASTER, LLC",Residential Care Facility
BICKFORD OF MIDDLETOWN,OHL41133,2534R,9375504911,kenetta.lawson@bickfordseniorliving.com,4375 UNION ROAD,MIDDLETOWN,OH,45005,WARREN,151,"BICKFORD OF MIDDLETOWN, LLC",Residential Care Facility
BICKFORD OF ROCKY RIVER,OHL00390,2190R,4403569797,cheyenne.wurm@bickfordseniorliving.com,21600 DETROIT ROAD,ROCKY RIVER,OH,44116,CUYAHOGA,72,"BICKFORD OF ROCKY RIVER, LLC",Residential Care Facility
BICKFORD OF ROCKY RIVER,OHL00390,2190R,4403569797,cheyenne.wurm@bickfordseniorliving.com,21600 DETROIT ROAD,ROCKY RIVER,OH,44116,CUYAHOGA,72,"KARRINGTON OPERATING COMPANY, INC.",Residential Care Facility
BICKFORD OF SCIOTO,OHL00986,1994R,6144573500,susan.walker@bickfordseniorliving.com,3500 RIVERSIDE DRIVE,UPPER ARLINGTON,OH,43221,FRANKLIN,75,"BICKFORD OF SCIOTO, LLC",Residential Care Facility
BICKFORD OF SCIOTO,OHL00986,1994R,6144573500,susan.walker@bickfordseniorliving.com,3500 RIVERSIDE DRIVE,UPPER ARLINGTON,OH,43221,FRANKLIN,75,"KARRINGTON OPERATING COMPANY, INC.",Residential Care Facility
BICKFORD OF WORTHINGTON,OHL00988,2013R,6148466500,matt.kelly@bickfordseniorliving.com,6525 NORTH HIGH STREET,WORTHINGTON,OH,43085,FRANKLIN,105,"BICKFORD OF WORTHINGTON, LLC",Residential Care Facility
BICKFORD OF WORTHINGTON,OHL00988,2013R,6148466500,matt.kelly@bickfordseniorliving.com,6525 NORTH HIGH STREET,WORTHINGTON,OH,43085,FRANKLIN,105,"KARRINGTON OPERATING COMPANY, INC.",Residential Care Facility
BIRCH PLACE,OHL01891,1461R,9373924318,sandy.leedy@hcmg.com,5280 US ROUTES 62 & 68,RIPLEY,OH,45167,BROWN,32,"OVM INVESTMENT GROUP, LLC",Residential Care Facility
BIRCH PLACE,OHL01891,1461R,9373924318,sandy.leedy@hcmg.com,5280 US ROUTES 62 & 68,RIPLEY,OH,45167,BROWN,32,"OHIO VALLEY MANOR, INC.",Residential Care Facility
BIRCHAVEN HEIGHTS,OHL50058,2383R,4194253233,bmundy@bvhealthsystem.org,15100 BIRCHAVEN LANE,FINDLAY,OH,45840,HANCOCK,169,BLANCHARD VALLEY CONTINUING CARE SERVICES,Residential Care Facility
BLANCHARD PLACE,OHL00845,2119R,4196739821,bberger@enlivant.com,825 RICHARD LANE,KENTON,OH,43326,HARDIN,41,BLANCHARD AID OPCO LLC,Residential Care Facility
BLOOM AT LAKEWOOD,OHL00074,2014R,2162282266,admin@bloomatlakewood.com,1341 MARLOWE AVENUE,LAKEWOOD,OH,44107,CUYAHOGA,121,"BLOOMFIELD SENIOR LIVING OF LAKEWOOD, LLC",Residential Care Facility
BLUEBIRD RETIREMENT COMMUNITY,OHL41836,2682R,7405060937,fheckel@bluebirdretirement.com,2260 ST RT 56 SW,LONDON,OH,43140,MADISON,130,"BLUEBIRD RETIREMENT COMMUNITY, LLC",Residential Care Facility
BLUEBIRD RETIREMENT COMMUNITY,OHL42021,2773R,9376456900,fheckel@bluebirdretirement.com,145 COLEMANS CROSSING BLVD,MARYSVILLE,OH,43040,UNION,125,"BLUEBIRD MARYSVILLE, LLC",Residential Care Facility
BRETHREN RETIREMENT COMMUNITY,OHL500104,0543R,9375478000,john.warner@bhrc.org,750 CHESTNUT STREET,GREENVILLE,OH,45331,DARKE,210,BRETHREN'S HOME RETIREMENT COMMUNITY,Residential Care Facility
BRIAR HILL HEALTH CAMPUS,OHL00854,1652R,4192572421,amber.morris@briarhillhc.com,600 STERLING DRIVE,NORTH BALTIMORE,OH,45872,WOOD,30,"TRILOGY HEALTHCARE OF NORTH BALTIMORE, LLC",Residential Care Facility
BRIARFIELD MANOR,OHL02955,0607R,3302703468,kmcguire@briarfield.net,461 SOUTH CANFIELD-NILES ROAD,AUSTINTOWN,OH,44515,MAHONING,36,"EDJ, LLC",Residential Care Facility
BRIARWOOD THE,OHL00064,1963R,3306881828,licensing@providencehcm.com,3700 ENGLEWOOD DRIVE,STOW,OH,44224,SUMMIT,160,"BRIARWOOD LEASING, LLC",Residential Care Facility
BRIARWOOD THE,OHL00064,1963R,3306881828,licensing@providencehcm.com,3700 ENGLEWOOD DRIVE,STOW,OH,44224,SUMMIT,160,BRIARWOOD LIMITED PARTNERSHIP THE,Residential Care Facility
BRIARWOOD VILLAGE,OHL41107,2526R,4196782311,administrator@briarwood-village.com,100 DON DESCH DRIVE,COLDWATER,OH,45828,MERCER,144,"HCF OF BRIARWOOD, INC.",Residential Care Facility
BRIDGEWAY POINTE,OHL39979,2306R,5134184371,amanda.dunford@uchealth.com,165 WEST GALBRAITH ROAD,CINCINNATI,OH,45216,HAMILTON,114,"DRAKE DEVELOPMENT, INC.",Residential Care Facility
BRIGHTON GARDENS OF WASHINGTON TOWNSHIP,OHL01954,2221R,9374380054,dayton.ed@sunriseseniorliving.com,6800 PARAGON ROAD,DAYTON,OH,45459,MONTGOMERY,144,"MARRIOTT SENIOR LIVING SERVICE, INC.",Residential Care Facility
BRIGHTON GARDENS OF WASHINGTON TOWNSHIP,OHL01954,2221R,9374380054,dayton.ed@sunriseseniorliving.com,6800 PARAGON ROAD,DAYTON,OH,45459,MONTGOMERY,144,"SOLOMON HOLDINGS I- THE TRIANGLE, LLC",Residential Care Facility
BRIGHTON GARDENS OF WASHINGTON TOWNSHIP,OHL01954,2221R,9374380054,dayton.ed@sunriseseniorliving.com,6800 PARAGON ROAD,DAYTON,OH,45459,MONTGOMERY,144,"HCP DAYTON OH OPCO, LLC",Residential Care Facility
BRIGHTON GARDENS OF WASHINGTON TOWNSHIP,OHL01954,2221R,9374380054,dayton.ed@sunriseseniorliving.com,6800 PARAGON ROAD,DAYTON,OH,45459,MONTGOMERY,144,"SJV 2 WASHINGTON TOWNSHIP OPCO, LLC",Residential Care Facility
BRIGHTON GARDENS OF WESTLAKE,OHL00403,2226R,4408080074,westlake.ed@sunriseseniorliving.com,27819 CENTER RIDGE ROAD,WESTLAKE,OH,44145,CUYAHOGA,150,SENIOR CARE ASSOCIATES,Residential Care Facility
BRIGHTON GARDENS OF WESTLAKE,OHL00403,2226R,4408080074,westlake.ed@sunriseseniorliving.com,27819 CENTER RIDGE ROAD,WESTLAKE,OH,44145,CUYAHOGA,150,"SJV 2 WESTLAKE OPCO, LLC",Residential Care Facility
