Facility Name,Facility ID,License Number,Phone Number,Email Address,Address,City,State,Zip Code,County,Capacity,Licensee,State Facility Type 1 Literal,Date Accessed
Brighton Gardens Of Washington Township,OHL01954,2221R,9374380054,dayton.ed@sunriseseniorliving.com,6800 PARAGON ROAD,Dayton,OH,45459,Montgomery,144,"MARRIOTT SENIOR LIVING SERVICE, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brighton Gardens Of Westlake,OHL00403,2226R,4408080074,westlake.ed@sunriseseniorliving.com,27819 CENTER RIDGE ROAD,Westlake,OH,44145,Cuyahoga,150,SENIOR CARE ASSOCIATES,RESIDENTIAL CARE FACILITY,6/29/21
"Brightstar Senior Living Of Mason, Llc",OHL42282,2901R,5137701778,beth.deupree@brightstarseniorliving.com,6491 READING ROAD,Mason,OH,45040,Warren,50,"BRIGHTSTAR SENIOR LIVING OPERATIONS OF MASON, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Bristol Pavillion,OHL5001289,1910R,7409472113,rbenner@nationalchurchresidences.org,444 CHERRY STREET,Waverly,OH,45690,Pike,56,"WAVERLY CARE CENTER, INC.",RESIDENTIAL CARE FACILITY,6/29/21
"Bristol, The",OHL42296,2907R,6148862818,carrievelliquette@traditionsmgmt.net,7780 OLENTANGY RIVER ROAD,Columbus,OH,43235,Franklin,75,"WORTHINGTON HILLS SENIOR LIVING, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Alliance,OHL01493,2198R,3308290180,jtucker8@brookdale.com,1277 S. SAWBURG ROAD,Alliance,OH,44601,Stark,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Austintown,OHL00405,2230R,3302701448,jgilliland3@brookdale.com,1420 SOUH CANFIELD NILES ROAD,Austintown,OH,44515,Mahoning,42,BROOKDALE SENIOR LIVING,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Barberton,OHL00384,2169R,3307457774,jdoyle5@brookdale.com,487 AUSTIN DRIVE,Barberton,OH,44203,Summit,60,ALTERRA HEALTHCARE CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Bath,OHL00386,2181R,3306667011,oroberts@brookdale.com,101 N. CLEVELAND MASSILLON ROAD,Akron,OH,44333,Summit,80,"BROOKDALE PLACE OF BATH, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Beavercreek,OHL01946,2196R,9374310455,jvandijk1@brookdale.com,3839 INDIAN RIPPLE ROAD,Beavercreek,OH,45440,Montgomery,60,PATRICK F. KENNEDY,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Bowling Green,OHL00858,2161R,4193545300,mruehl@brookdaleliving.com,121 NORTH WINTERGARDEN ROAD,Bowling Green,OH,43402,Wood,104,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Buck Creek,OHL01924,2135R,9373900432,rdoran@brookdale.com,3270 MIDDLE URBANA ROAD,Springfield,OH,45502,Clark,60,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Camelot Medina,OHL40033,2357R,3307235825,jfreeman22@brookdale.com,49A LEISURE LANE,Medina,OH,44256,Medina,150,EMERITUS CORPORATION,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Canton,OHL01494,2197R,3304791121,cadolph@brookdale.com,1119 PERRY DRIVE NW,Canton,OH,44708,Stark,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Centennial Park,OHL01932,2154R,9378328500,cduckworth@brookdale.com,350 UNION BOULEVARD,Englewood,OH,45322,Montgomery,60,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Englewood,OHL01929,2145R,9378369617,sjackson1@brookdale.com,95 WEST WENGER ROAD,Englewood,OH,45322,Montgomery,75,"BROOKDALE OF ENGLEWOOD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Findlay,OHL00841,2104R,4194234440,ahess@brookdale.com,725 FOX RUN ROAD,Findlay,OH,45840,Hancock,50,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Finneytown,OHL01970,2267R,5137295233,locull@brookdale.com,9101 WINTON ROAD,Cincinnati,OH,45231,Hamilton,121,BROOKDALE PLACE AT FINNEYTOWN LLC,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Greenville,OHL01925,2136R,9375486800,sbaker48@brookdale.com,1401 NORTH BROADWAY,Greenville,OH,45331,Darke,96,"BROOKDALE SENIOR LIVING COMMUNITIES, INC.",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Kenwood,OHL01927,2143R,5137459292,srieger@brookdale.com,9090 MONTGOMERY ROAD,Cincinnati,OH,45242,Hamilton,95,BROOKDALE PLACE AT KENWOOD LLC,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Kettering,OHL01899,2078R,9374270060,tbolin1@brookdaleliving.com,280 WALDEN WAY,Dayton,OH,45440,Montgomery,83,"GFB INVESTORS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Lakeview Crossing,OHL01186,2187R,6148365990,cdantonio@brookdale.com,4000 LAKEVIEW CROSSING,Groveport,OH,43125,Franklin,99,"BD LAKEVIEW CROSSING OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Marysville,OHL41407,2569R,9377387342,katti.farmer@brookdale.com,1565 LONDON AVENUE,Marysville,OH,43040,Union,101,"THE HALCYON MANAGEMENT CO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Medina South,OHL03206,2319R,3307230110,barbara.berndt@brookdale.com,100 HIGH POINT DRIVE,Medina,OH,44256,Medina,110,"BD MEDINA SOUTH OPCO, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Mentor,OHL00419,2252R,4403545499,mkegley@brookdale.com,5700 EMERALD COURT,Mentor,OH,44060,Lake,116,SUMMERVILLE SENIOR LIVING,RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Montrose,OHL499881,2370R,3306667373,andrea.baltes@brookdale.com,100 BROOKMONT ROAD,Akron,OH,44333,Summit,69,"CMCP-MONTROSE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Mount Vernon,OHL39981,2354R,7403928245,abranham@brookdale.com,1615 YAUGER ROAD,Mount Vernon,OH,43050,Knox,110,"SUMMERVILLE AT HILLEN VALE, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Muirfield,OHL01190,2208R,6143363677,khoover@brookdale.com,7220 MUIRFIELD DRIVE,Dublin,OH,43017,Franklin,100,"BLC EMERALD CROSSINGS, LLC",RESIDENTIAL CARE FACILITY,6/29/21
Brookdale Oakwood,OHL01884,2038R,9372941772,kpowell34@brookdale.com,1701 FAR HILLS AVENUE,Dayton,OH,45419,Montgomery,75,"BROOKDALE PLACE AT OAKWOOD, LLC",RESIDENTIAL CARE FACILITY,6/29/21
