NAME,FACID,STATEID,MCARE_ID,TELEPHONE,FAXPHONE,FACEMAIL,ABBREV,ADDRESS,FAC_CITY,FAC_ST,FAC_ZIP,FACTYPE,OPERSTDESC,CLOSEDDATE,CNTYNAME,LIC_BED_TOTAL,OPENDATE,BED_EFFECTIVE_DATE,CERT_BED_TOTAL,OWNCOMP,OWNPHONE,OWNADDR,OWNCITY,OWNST,OWNZIP,PRIMARYOWN,OWNEROFCODE
ALOIS ALZHEIMER CENTER THE,OHL01890,1799R,,5136051000,5138252998,lbrockman@hcmg.com,SL-R,70 DAMON ROAD,CINCINNATI,OH,45218,L12,ACTIVE,,HAMILTON,20,11/16/95,1/7/02,0,,,,,,,,
ALPINE HOUSE OF COLUMBUS,OHL41716,2640R,,6145053531,6145053534,info@alpinehouse.net,SL-R,1001 SCHROCK ROAD,COLUMBUS,OH,43229,L12,ACTIVE,,FRANKLIN,55,12/18/14,12/15/18,0,,,,,,,,
ALPINE HOUSE OF MAPLE HEIGHTS,OHL42286,2903R,,2164047448,2162454646,info@alpinehouse.net,SL-R,5500 NORTHFIELD ROAD,MAPLE HEIGHTS,OH,44137,L12,ACTIVE,,CUYAHOGA,99,10/7/20,1/6/21,0,"ALPINE HOUSE OF MAPLE HEIGHTS, INC.",4194725350,2402 MISSION HILL DRIVE,PERRYSBURG,OH,43551,1,2
ALPINE HOUSE OF RAVENNA,OHL41879,2705R,,3302977000,3302977260,jwells@thesaigroup.org,SL-R,7000 STATE ROUTE 88,RAVENNA,OH,44266,L12,ACTIVE,,PORTAGE,36,8/13/15,10/5/16,0,"ALPINE HOUSE OF RAVENNA, INC.",,,,,,1,2
ALPINE HOUSE OF TOLEDO,OHL41377,2565R,,4195760183,4198735994,joewellsot@yahoo.com,SL-R,2901 TREMAINSVILLE RD,TOLEDO,OH,43613,L12,ACTIVE,,LUCAS,32,1/25/11,12/15/18,0,"ALPINE HOUSE, INC.",,,,,,1,2
ALPINE HOUSE OF WEST UNION,OHL42305,2912R,,9377794990,,info@alpinehouse.net,SL-R,210 NORTH WILSON DRIVE,WEST UNION,OH,45693,L12,ACTIVE,,ADAMS,80,12/9/20,12/9/20,0,"ALPINE HOUSE OF WEST UNION, INC.",,2402 MISSION HILL DR.,PERRYSBURG,OH,43551,1,2
ALPINE VILLAGE ASSISTED LIVING,OHL39983,2323R,,4195921688,4195994791,jkirkendall@genacross.org,SL-R,1032 PERRY STREET,NAPOLEON,OH,43545,L12,ACTIVE,,HENRY,44,1/3/01,1/7/02,0,"LUTHERAN ORPHANS AND OLD FOLKS HOME, INC. #2",,1032 PERRY STREET,NAPOLEON,OH,43545,1,
"ALTERCARE NEWARK SOUTH AL, INC",OHL41318,2555R,,7403459197,7403459289,scleary@altercareonline.net,SL-R,17 FORRY STREET,NEWARK,OH,43055,L12,ACTIVE,,LICKING,9,11/10/09,11/10/09,0,NEWARK NH LLC,,,,,,0,2
"ALTERCARE NEWARK SOUTH AL, INC",OHL41318,2555R,,7403459197,7403459289,scleary@altercareonline.net,SL-R,17 FORRY STREET,NEWARK,OH,43055,L12,ACTIVE,,LICKING,9,11/10/09,11/10/09,0,"ALTERCARE NEWARK SOUTH, INC",,,,,,1,2
AMBASSADOR SUITES AT FORUM/KNIGHTSBRIDGE,OHL00979,1921R,,6144516793,6142732450,licensing@5ssl.com,SL-R,4590 KNIGHTSBRIDGE BLVD,COLUMBUS,OH,43214,L12,ACTIVE,,FRANKLIN,59,6/16/93,12/20/01,0,"SNH OHIO TENANT, LLC",,,,,,1,2
AMBASSADOR SUITES AT FORUM/KNIGHTSBRIDGE,OHL00979,1921R,,6144516793,6142732450,licensing@5ssl.com,SL-R,4590 KNIGHTSBRIDGE BLVD,COLUMBUS,OH,43214,L12,ACTIVE,,FRANKLIN,59,6/16/93,12/20/01,0,FIVE STAR KNIGHTSBRIDGE LLC,,,,,,0,2
AMBER PARK ASSISTED LIVING,OHL41263,2550R,,6148343113,6148343127,jhenry@hawthorncg.com,SL-R,401 HILL ROAD NORTH,PICKERINGTON,OH,43147,L12,ACTIVE,,FAIRFIELD,172,9/21/09,9/21/09,0,PICKERINGTON ASSISTED LIVING LLC,,,,,,0,2
AMBER PARK ASSISTED LIVING,OHL41263,2550R,,6148343113,6148343127,jhenry@hawthorncg.com,SL-R,401 HILL ROAD NORTH,PICKERINGTON,OH,43147,L12,ACTIVE,,FAIRFIELD,172,9/21/09,9/21/09,0,"PICKERINGTON ASSISTED LIVING OPCO, LLC",,,,,,1,2
AMERICAN HOUSE MACEDONIA,OHL41881,2707R,,3308138855,2482358350,macedonia@americanhouse.com,SL-R,8400 SOUTH BEDFORD ROAD,MACEDONIA,OH,44056,L12,ACTIVE,,SUMMIT,140,12/7/15,12/7/15,0,HSRE-AHR MACEDONIA TRS LLC,,,,,,1,2
AMERICAN HOUSE MACEDONIA,OHL41881,2707R,,3308138855,2482358350,macedonia@americanhouse.com,SL-R,8400 SOUTH BEDFORD ROAD,MACEDONIA,OH,44056,L12,ACTIVE,,SUMMIT,140,12/7/15,12/7/15,0,"VISTA SPRINGS MACEDONIA OPERATIONS, LLC",,,,,,0,2
AMHERST MANOR,OHL00387,0416R,,4409884415,4409885612,kgollinger@sprengerhealthcare.com,SL-R,175 NORTH LAKE STREET,AMHERST,OH,44001,L12,ACTIVE,,LORAIN,36,9/4/98,1/24/02,0,AUTUMN AEGIS INC,,1130 TOWER BLVD,LORAIN,OH,44052,0,
AMHERST MANOR,OHL00387,0416R,,4409884415,4409885612,kgollinger@sprengerhealthcare.com,SL-R,175 NORTH LAKE STREET,AMHERST,OH,44001,L12,ACTIVE,,LORAIN,36,9/4/98,1/24/02,0,ANCHOR LODGE NURSING HOME INC,,3756 WEST ERIE AVENUE,LORAIN,OH,44053,0,
AMHERST MANOR,OHL00387,0416R,,4409884415,4409885612,kgollinger@sprengerhealthcare.com,SL-R,175 NORTH LAKE STREET,AMHERST,OH,44001,L12,ACTIVE,,LORAIN,36,9/4/98,1/24/02,0,SPRENGER ENTERPRISE INC.,,,,,,0,2
AMHERST MANOR,OHL00387,0416R,,4409884415,4409885612,kgollinger@sprengerhealthcare.com,SL-R,175 NORTH LAKE STREET,AMHERST,OH,44001,L12,ACTIVE,,LORAIN,36,9/4/98,1/24/02,0,DONEL SPRENGER,,,,,,0,2
AMHERST MANOR,OHL00387,0416R,,4409884415,4409885612,kgollinger@sprengerhealthcare.com,SL-R,175 NORTH LAKE STREET,AMHERST,OH,44001,L12,ACTIVE,,LORAIN,36,9/4/98,1/24/02,0,ANTHONY SPRENGER,,,,,,0,2
AMHERST MANOR,OHL00387,0416R,,4409884415,4409885612,kgollinger@sprengerhealthcare.com,SL-R,175 NORTH LAKE STREET,AMHERST,OH,44001,L12,ACTIVE,,LORAIN,36,9/4/98,1/24/02,0,"ASSISTED LIVING SERVICES, INC.",,,,,,1,
AMHERST MEADOWS CARE CENTER,OHL41594,2388R,,3308308500,3308308555,emoore@amherstmeadowscarecenter.com,SL-R,1610 FIRST STREET NE,MASSILLON,OH,44646,L12,ACTIVE,,STARK,44,12/1/11,12/1/11,0,"AMHERST ALLIANCE, LLC",,,,,,1,2
ANCHOR LODGE LIMITED,OHL00026,0556R,,4402442019,4402441509,rcarroll@sprengerhealthcare.com,SL-R,3756 WEST ERIE AVENUE,LORAIN,OH,44053,L12,ACTIVE,,LORAIN,80,7/15/93,1/24/02,0,"ANCHOR LODGE NURSING HOME, INC.",4402442019,3756 WEST ERIE AVE,LORAIN,OH,44053,1,1
ANCORA AT MOUNT ALVERNA VILLAGE,OHL42180,2855R,,4408437800,4408437107,pwelsh@franciscancommunities.org,SL-R,6763 STATE ROAD,PARMA,OH,44134,L12,ACTIVE,,CUYAHOGA,42,9/26/19,9/26/19,0,"FRANCISCAN COMMUNITIES, INC. II",,,,,,1,2
"ANNA MARIA OF AURORA, INC.",OHL00015,0062R,,3305626171,3305623572,pwilliams@annamariaofaurora.com,SL-R,889 NORTH AURORA ROAD,AURORA,OH,44202,L12,ACTIVE,,PORTAGE,106,3/22/85,1/1/14,0,"ANNA MARIA OF AURORA, INC.",3305626171,889 NORTH AURORA RD,AURORA,OH,44202,1,2
ANTHOLOGY OF ANDERSON TOWNSHIP,OHL42182,2856R,,5139093160,5139094051,ihecht@stonecrestseniorliving.com,SL-R,6849 BEECHMONT AVENUE,CINCINNATI,OH,45230,L12,ACTIVE,,HAMILTON,99,6/24/19,6/24/19,0,"CA SENIOR ANDERSON TOWNSHIP OPERATOR, LLC",,,,,,1,2
ANTHOLOGY OF MASON,OHL42049,2786R,,5138981287,5134866895,nderminio@anthologyseniorliving.com,SL-R,5373 MERTEN DRIVE,MASON,OH,45040,L12,ACTIVE,,WARREN,115,10/10/17,10/10/17,0,"CA SENIOR MASON OPERATOR, LLC",,,,,,1,2
ANTHOLOGY OF MAYFIELD,OHL42265,2891R,,4407961472,4407714079,kwosotowsky@anthologyseniorliving.com,SL-R,6200 LANDERHAVEN DRIVE,MAYFIELD HEIGHTS,OH,44124,L12,ACTIVE,,CUYAHOGA,132,10/27/20,10/27/20,0,"CA SENIOR MAYFIELD OPERATOR, LLC",4407204888,6200 LANDERHAVEN DRIVE,MAYFIELD,OH,44124,1,2
ANTONINE VILLAGE,OHL41835,2681R,,3305389822,3305380304,anto9srs@aol.com,SL-R,2675 NORTH LIPKEY ROAD,NORTH JACKSON,OH,44451,L12,ACTIVE,,MAHONING,73,4/13/15,4/13/15,0,"ANTONINE MARONITE SISTERS OF YOUNGSTOWN, INC.",,,,,,1,2
"APOSTOLIC CHRISTIAN HOME, INC.",OHL00039,1610R,,3309271010,3309271020,administrator@apostolichome.com,SL-R,10680 STEINER ROAD,RITTMAN,OH,44270,L12,ACTIVE,,WAYNE,24,5/3/94,1/11/02,0,"APOSTOLIC CHRISTIAN HOME, INC.",3309271010,10680 STEINER RD,RITTMAN,OH,44270,1,1
ARBORS AT MILFORD,OHL01629,1832R,,5132481655,5132480466,chudson@prestigehcm.com,SL-R,5900 MEADOWCREEK DRIVE,MILFORD,OH,45150,L12,ACTIVE,,CLERMONT,42,8/1/85,1/31/02,0,"OH SNF MILFORD OPCO, LLC",,,,,,1,
ARDEN COURTS (ANDERSON),OHL3282,2307R,,5132330831,5132330832,shannon.schwarm@hcr-manorcare.com,SL-R,6870 CLOUGH PIKE,CINCINNATI,OH,45244,L12,ACTIVE,,HAMILTON,60,10/6/00,2/1/02,0,"ARDEN COURTS ANDERSON OF CINCINNATI OH, LLC",,,,,,1,2
ARDEN COURTS (BATH),OHL00425,2259R,,3306686889,3306686242,5358-admin@hcr-manorcare.com,SL-R,171 N. CLEVELAND MASSILLON ROAD,AKRON,OH,44333,L12,ACTIVE,,SUMMIT,56,11/8/99,1/1/02,0,HCR-MANOR CARE,8004291902,333 N SUMMIT STREET,TOLEDO,OH,43604,0,
ARDEN COURTS (BATH),OHL00425,2259R,,3306686889,3306686242,5358-admin@hcr-manorcare.com,SL-R,171 N. CLEVELAND MASSILLON ROAD,AKRON,OH,44333,L12,ACTIVE,,SUMMIT,56,11/8/99,1/1/02,0,"ARDEN COURTS OF AKRON OH, LLC",,,,,,1,2
ARDEN COURTS (CHAGRIN FALLS),OHL00413,2243R,,4405436766,4405436863,5323-admin@hcr-manorcare.com,SL-R,8100 EAST WASHINGTON STREET,BAINBRIDGE,OH,44023,L12,ACTIVE,,GEAUGA,64,7/22/99,1/6/15,0,"ARDEN COURTS BAINBRIDGE OF CHAGRIN FALLS OH, LLC",,,,,,1,2
ARDEN COURTS (KENWOOD),OHL32927,2304R,,5137459600,5137459777,andrew.mosher@hcr-manorcare.com,SL-R,4580 E GALBRAITH ROAD,KENWOOD,OH,45236,L12,ACTIVE,,HAMILTON,62,8/4/00,2/1/02,0,"ARDEN COURTS OF KENWOOD OH, LLC",,,,,,1,2
ARDEN COURTS (PARMA),OHL00408,2234R,,4408865858,4408865880,5313-admin@hcr-manorcare.com,SL-R,9205 SPRAGUE ROAD,PARMA,OH,44133,L12,ACTIVE,,CUYAHOGA,59,2/3/99,1/1/02,0,"ARDEN COURTS OF PARMA OH, LLC",,,,,,1,2
ARDEN COURTS (WESTLAKE),OHL00367,2117R,,4408089275,4408089332,juadams@hcr-manorcare.com,SL-R,28400 CENTER RIDGE ROAD,WESTLAKE,OH,44145,L12,ACTIVE,,CUYAHOGA,64,2/4/97,1/29/15,0,"ARDEN COURTS OF WESTLAKE OH, LLC",,,,,,1,2
ARMSTRONG MEMORY CARE ASSISTED LIVING,OHL41976,2752R,,2348063320,,dyankle@windsorhouseinc.com,SL-R,2 WINDSOR PLACE,WARREN,OH,44483,L12,ACTIVE,,TRUMBULL,44,11/14/16,11/14/16,0,"ARMSTRONG MEMORY CARE ASSISTED LIVING, LLC",,,,,,1,2
ARTIS SENIOR LIVING OF BRIDGETOWN,OHL41985,2757R,,5138321597,5139182450,jtepe@artismgmt.com,SL-R,5799 BRIDGETOWN ROAD,CINCINNATI,OH,45248,L12,ACTIVE,,HAMILTON,64,2/1/17,2/1/17,0,"ARTIS SENIOR LIVING OF GREEN TOWNSHIP, LLC",,,,,,1,2
ARTIS SENIOR LIVING OF MASON,OHL41845,2687R,,5132297450,5133360851,dkloenne@artismgmt.com,SL-R,6200 SNIDER ROAD,MASON,OH,45040,L12,ACTIVE,,WARREN,64,2/27/15,2/27/15,0,"ARTIS SLM OF MASON, LLC",,,,,,1,2
"ASHFORD AT STURBRIDGE, THE",OHL42148,2838R,,6146334811,6146334812,ashfordatsturbridge@wallick.com,SL-R,3700 STURBRIDGE COURT,HILLIARD,OH,43026,L12,ACTIVE,,FRANKLIN,165,1/3/19,1/3/19,0,"ASHFORD AT STURBRIDGE, LLC",,,,,,1,2
ASHFORD OF GROVE CITY,OHL42298,2908R,,6143628169,6149304058,ashfordgrovecity@wallick.com,SL-R,3197 SOUTHWEST BLVD,GROVE CITY,OH,43123,L12,ACTIVE,,FRANKLIN,165,12/17/20,12/17/20,0,"ASHFORD OF GROVE CITY, LLC",,160 W MAIN ST,NEW ALBANY,OH,43054,1,2
ASHFORD OF MOUNT WASHINGTON THE,OHL41963,2746R,,5132310008,5132318466,info@theashfordofmtwashington.com,SL-R,1131 DELIQUIA DRIVE,CINCINNATI,OH,45230,L12,ACTIVE,,HAMILTON,135,12/20/16,7/25/17,0,"THE ASHFORD AT MT. WASHINGTON, LLC",,,,,,1,2
ASHFORD ON BROAD THE,OHL41945,2738R,,6146412995,6146412996,info@theashfordonbroad.com,SL-R,4801 EAST BROAD STREET,COLUMBUS,OH,43213,L12,ACTIVE,,FRANKLIN,165,10/3/16,10/3/16,0,"WHITEHALL ASSISTED LIVING, LLC",,,,,,1,2
ASHLEY PLACE,OHL03217,2322R,,5136591048,5133224667,bwenning@hillandale.com,SL-R,8073 TYLERSVILLE ROAD,WEST CHESTER,OH,45069,L12,ACTIVE,,BUTLER,133,1/9/01,1/7/20,0,"ASHLEY PLACE CARE, LTD",,,,,,1,2
"ASHLEY PLACE AT DOVERWOOD, LLC",OHL41628,2608R,,5138682266,5137774249,jbrown@hillandale.com,SL-R,4195 HAMILTON - MASON ROAD,HAMILTON,OH,45011,L12,ACTIVE,,BUTLER,42,5/16/12,5/16/12,0,"ASHLEY PLACE AT DOVERWOOD, LLC",,,,,,1,2
"ASSISTED LIVING MINISTRY SERVICES, LLC",OHL41425,2570R,,3303850700,3303861010,assistedlivingministryservices@gmail.com ,SL-R,650 ST CLAIR AVENUE,EAST LIVERPOOL,OH,43920,L12,ACTIVE,,COLUMBIANA,17,2/11/11,2/11/11,0,"ASSISTED LIVING MINISTRY SERVICES, LLC",,,,,,1,2
"ASTOR HOUSE, A VILLA CENTER",OHL00883,1823R,,4198662164,4198616996,tblakely@villahc.com,SL-R,1125 CLARION AVENUE,HOLLAND,OH,43528,L12,ACTIVE,,LUCAS,61,2/29/00,1/23/17,0,"SPRING MEADOWS EXTENDED CARE FACILITY, INC.",4198666124,1125 CLARION AVE.,HOLLAND,OH,43528,0,2
"ASTOR HOUSE, A VILLA CENTER",OHL00883,1823R,,4198662164,4198616996,tblakely@villahc.com,SL-R,1125 CLARION AVENUE,HOLLAND,OH,43528,L12,ACTIVE,,LUCAS,61,2/29/00,1/23/17,0,"ASTOR HOUSE, LLC",,,,,,1,2
ATHENIAN ASSISTED LIVING,OHL02954,2321R,,4408771900,4408771905,advanceamb@aol.com,SL-R,12799 DOULA LANE,NORTH ROYALTON,OH,44133,L12,ACTIVE,,CUYAHOGA,100,1/30/01,1/17/02,0,DOULA GAITANAROS,,,,,,0,2
ATHENIAN ASSISTED LIVING,OHL02954,2321R,,4408771900,4408771905,advanceamb@aol.com,SL-R,12799 DOULA LANE,NORTH ROYALTON,OH,44133,L12,ACTIVE,,CUYAHOGA,100,1/30/01,1/17/02,0,"ATHENIAN, INC.",,,,,,1,
ATRIUM AT ANNA MARIA THE,OHL41746,2651R,,3305627777,,nlippencott@annamariaofaurora.com,SL-R,800 NORTH AURORA ROAD,AURORA,OH,44202,L12,ACTIVE,,PORTAGE,64,1/22/14,1/9/15,0,,,,,,,,
AUSTINTOWN HEALTHCARE CENTER,OHL00050,1892R,,3307927799,3307937433,msebest@chs-corp.com,SL-R,650 SOUTH MERIDIAN ROAD,YOUNGSTOWN,OH,44509,L12,ACTIVE,,MAHONING,26,7/1/88,8/17/13,0,ESSEX HEALTHCARE CORPORATION,6144160600,ONE EASTON OVAL,COLUMBUS,OH,43219,0,
AUSTINTOWN HEALTHCARE CENTER,OHL00050,1892R,,3307927799,3307937433,msebest@chs-corp.com,SL-R,650 SOUTH MERIDIAN ROAD,YOUNGSTOWN,OH,44509,L12,ACTIVE,,MAHONING,26,7/1/88,8/17/13,0,"S MERIDIAN LEASING CO., LLC",,,,,,1,2
AVENUE ASSISTED LIVING,OHL40663,2462R,,4409306600,4409306704,bmalanowski@sprengerhealthcare.com,SL-R,400 COMMUNITY DRIVE,AVON LAKE,OH,44012,L12,ACTIVE,,LORAIN,174,6/21/07,7/7/17,0,"TOWNE ASSISTED LIVING, LLC",,,,,,1,
AVENUE AT WOOSTER ASSISTED LIVING,OHL42097,2810R,,3306011001,3303450001,lpolasko@avenueatwooster.com,SL-R,1700 EAST SMITHVILLE WESTERN ROAD,WOOSTER,OH,44691,L12,ACTIVE,,WAYNE,50,2/28/18,2/28/18,0,"PROGRESSIVE WOOSTER, LLC",,,,,,1,2
BARRINGTON OF OAKLEY,OHL41254,2548R,,5135619100,5135610216,clang@seniorlifestyle.com,SL-R,4855 BABSON PLACE,CINCINNATI,OH,45227,L12,ACTIVE,,HAMILTON,212,8/19/09,8/19/09,0,"SLH OAKLEY MANAGER, LLC",,,,,,0,2
BARRINGTON OF OAKLEY,OHL41254,2548R,,5135619100,5135610216,clang@seniorlifestyle.com,SL-R,4855 BABSON PLACE,CINCINNATI,OH,45227,L12,ACTIVE,,HAMILTON,212,8/19/09,8/19/09,0,BABSON SENIOR CARE LLC,,,,,,1,2
BARRINGTON OF WEST CHESTER,OHL40892,2495R,,5137774457,5137774357,swehrman@seniorlifestyle.com,SL-R,7222 HERITAGESPRING DRIVE,WEST CHESTER,OH,45069,L12,ACTIVE,,BUTLER,210,4/7/08,4/21/08,0,"SLH WEST CHESTER MANAGER, LLC",,,,,,0,2
BARRINGTON OF WEST CHESTER,OHL40892,2495R,,5137774457,5137774357,swehrman@seniorlifestyle.com,SL-R,7222 HERITAGESPRING DRIVE,WEST CHESTER,OH,45069,L12,ACTIVE,,BUTLER,210,4/7/08,4/21/08,0,"HERITAGESPRING SENIOR CARE, LLC",,,,,,1,2
BAYLEY SENIOR CARE,OHL01641,1937R,,5133474170,5133475553,paul.kocsis@srcharitycinti.org,SL-R,990 BAYLEY DRIVE,CINCINNATI,OH,45233,L12,ACTIVE,,HAMILTON,167,11/19/90,9/26/08,0,SENIOR CARE CORPORATION,5133475500,990 BAYLEY PLACE DRIVE,CINCINNATI,OH,45233,0,
BAYLEY SENIOR CARE,OHL01641,1937R,,5133474170,5133475553,paul.kocsis@srcharitycinti.org,SL-R,990 BAYLEY DRIVE,CINCINNATI,OH,45233,L12,ACTIVE,,HAMILTON,167,11/19/90,9/26/08,0,BAYLEY SENIOR CARE,,990 BAYLEY DRIVE,CINCINNATI,OH,45233,1,2
BAYLEY SENIOR CARE,OHL01641,1937R,,5133474170,5133475553,paul.kocsis@srcharitycinti.org,SL-R,990 BAYLEY DRIVE,CINCINNATI,OH,45233,L12,ACTIVE,,HAMILTON,167,11/19/90,9/26/08,0,SISTERS OF CHARITY SENIOR CARE CORP.,5133475520,990 BAYLEY PLACE DR,CINCINNATI,OH,45233,0,1
"BEACHWOOD COMMONS ASSISTED LIVING, LTD",OHL41885,2709R,,2162951700,2162928886,karries@walsdc.com,SL-R,3995 GREEN ROAD,BEACHWOOD,OH,44122,L12,ACTIVE,,CUYAHOGA,114,10/13/15,10/13/15,0,"BEACHWOOD COMMONS ASSISTED LIVING, LTD",,,,,,1,2
BEEHIVE HOMES OF SPRINGBORO,OHL42161,2845R,,9373501211,9377903038,asharp.beehivehomes@gmail.com,SL-R,1325 W LYTLE FIVE POINTS ROAD,SPRINGBORO,OH,45066,L12,ACTIVE,,WARREN,48,11/29/18,11/29/18,0,"LIFESTYLE GARDENS, LLC",,,,,,1,2
BELL GARDENS PLACE,OHL01917,2126R,,9373938830,9373934245,bwillcocks@enlivant.com,SL-R,251 HARRY SAUNDER ROAD,HILLSBORO,OH,45133,L12,ACTIVE,,HIGHLAND,50,3/11/98,7/13/15,0,HIGHLAND AID OPCO LLC,,,,,,1,2
BELMONT TOWER,OHL02982,2336R,,4192891585,4192890715,mbartholomew@brethrencarevillage.org,SL-R,2140 CENTER STREET,ASHLAND,OH,44805,L12,ACTIVE,,ASHLAND,80,6/13/01,2/4/02,0,"BRETHREN CARE VILLAGE, LLC",,,,,,1,2
BELPRE LANDING NURSING AND REHABILITATION CENTER,OHL41931,2730R,,7402812192,7404010321,bparsons@continuinghc.com,SL-R,1915 HILL STREET,BELPRE,OH,45714,L12,ACTIVE,,WASHINGTON,24,6/13/16,4/12/18,0,"BELPRE LANDING NURSING & REHABILITATION, INC.",,,,,,1,2
BELVEDERE OF WESTLAKE THE,OHL32938,2318R,,4408354000,4402502399,apahler@rae-ann.net,SL-R,29591 DETROIT ROAD,WESTLAKE,OH,44145,L12,ACTIVE,,CUYAHOGA,66,8/31/00,6/16/03,0,"THE BELVEDERE OF WESTLAKE, LLC",,,,,,1,2
BERKELEY SQUARE RETIREMENT CENTER,OHL01960,2063R,,5138568600,5138568324,msitchanoff@community-first.org,SL-R,100 BERKELEY DRIVE,HAMILTON,OH,45013,L12,ACTIVE,,BUTLER,92,2/10/99,10/13/10,0,FORT HAMILTON HEALTHCARE CORPORATION,5138568600,100 BERKELEY DR,HAMILTON,OH,45013,0,1
