State Facility Type 1 Literal,Facility ID,Zip Code,Facility Name,Address,License Number,City,State,County,Phone Number,Capacity
ADULT DAY HEALTH CARE,AL4502,85281,TEMPE ADULT DAY HEALTH CARE CENTER,2303 EAST MARYLAND DRIVE,AL4502D,TEMPE,AZ,MARICOPA,(602)532-2982,24
ADULT DAY HEALTH CARE,AL4439,86314,THE SUSAN J. RHEEM ADULT DAY CENTER,3407 NORTH WINDSONG DRIVE,AL4439D,PRESCOTT VALLEY,AZ,YAVAPAI,(928)775-3563,65
ADULT FOSTER CARE,AL5570,85303,ADELA LUPEA,7321 NORTH 82ND DRIVE,AL5570F,GLENDALE,AZ,MARICOPA,(623)842-5765,4
ADULT FOSTER CARE,AL5626,85306,ADULT CARE BY DAN OLNEY,4547 WEST HEARN ROAD,AL5626F,GLENDALE,AZ,MARICOPA,(602)938-9473,4
ADULT FOSTER CARE,AL6015,85041,ADULT FOSTER CARE HOME,3135 WEST ALTA VISTA ROAD,AL6015F,PHOENIX,AZ,MARICOPA,(602)283-1062,4
ADULT FOSTER CARE,AL5504,85051,ADULT FOSTER CARE HOME (ED'S),4130 WEST IRONWOOD DRIVE,AL5504F,PHOENIX,AZ,MARICOPA,(623)842-3215,4
ADULT FOSTER CARE,AL10228,86301,AMERICAN HERITAGE SENIOR LIVING,4872 EAST RAMADA DRIVE,AL10228F,PRESCOTT,AZ,YAVAPAI,(928)710-7106,4
ADULT FOSTER CARE,AL11772,85746,AMOR DE MADRE ADULT CARE HOME LLC,7515 SOUTH GILA AVENUE,AL11772F,TUCSON,AZ,PIMA,(520)883-2248,4
ADULT FOSTER CARE,AL5472,85022,ANGELICA PAUL,15820 NORTH 20TH STREET,AL5472F,PHOENIX,AZ,MARICOPA,(602)493-4966,4
ADULT FOSTER CARE,AL5462,85210,ANNE ASHWORTH,835 WEST PERALTA AVENUE,AL5462F,MESA,AZ,MARICOPA,(480)820-0620,4
ADULT FOSTER CARE,AL7919,85711,ARACELI CORNIDEZ ADULT FOSTER CARE,5972 EAST 28TH STREET,AL7919F,TUCSON,AZ,PIMA,(520)790-5816,4
ADULT FOSTER CARE,AL10914,85381,ASTER MANOR ADULT FOSTER CARE,6940 WEST ASTER DRIVE,AL10914F,PEORIA,AZ,MARICOPA,(623)231-6395,4
ADULT FOSTER CARE,AL11408,85396,AT HOME AT SIENNA HILLS,21210 WEST HOLLY STREET,AL11408F,BUCKEYE,AZ,MARICOPA,(206)383-3905,4
ADULT FOSTER CARE,AL11071,85713,BEATRICE C. TORRES ADULT FOSTER CARE HOME,2709 EAST PINAL VISTA,AL11071F,TUCSON,AZ,PIMA,(520)332-2109,4
ADULT FOSTER CARE,AL9459,85032,CARING HEARTS ASSISTED CARE HOME,4029 EAST PERSHING AVENUE,AL9459F,PHOENIX,AZ,MARICOPA,(602)487-5699,4
ADULT FOSTER CARE,AL5517,85382,CAROLINE BAYLON,15607 NORTH 91ST DRIVE,AL5517F,PEORIA,AZ,MARICOPA,(623)583-7815,4
ADULT FOSTER CARE,AL5505,85302,DAISY MILLER,8116 NORTH 59TH DRIVE,AL5505F,GLENDALE,AZ,MARICOPA,(623)915-9309,4
ADULT FOSTER CARE,AL6922,85308,DANIELA BOHA,4825 WEST CHARLESTON AVENUE,AL6922F,GLENDALE,AZ,MARICOPA,(602)439-2124,3
ADULT FOSTER CARE,AL5513,85051,EVA FUGATT,3145 WEST BUTLER,AL5513F,PHOENIX,AZ,MARICOPA,(602)995-5313,4
ADULT FOSTER CARE,AL9966,85716,FAMILY LOVING KARE CENTRAL,2711 NORTH HASKELL DRIVE,AL9966F,TUCSON,AZ,PIMA,(520)730-7575,4
ADULT FOSTER CARE,AL9399,85718,FAMILY LOVING KARE FOOTHILLS,4505 NORTH FLECHA DRIVE,AL9399F,TUCSON,AZ,PIMA,(520)730-7575,4
ADULT FOSTER CARE,AL6436,85355,HEAVEN ON EARTH,18640 WEST ONYX AVENUE,AL6436F,WADDELL,AZ,MARICOPA,(623)848-9834,4
ADULT FOSTER CARE,AL5583,85050,HELENA BARTOSZEK,3031 EAST TOPEKA DRIVE,AL5583F,PHOENIX,AZ,MARICOPA,(602)765-9576,4
ADULT FOSTER CARE,AL5501,85032,JADWIGA CZERSKI,2427 EAST MARMORA STREET,AL5501F,PHOENIX,AZ,MARICOPA,(602)992-4410,4
ADULT FOSTER CARE,AL11617,85373,JOANNE M. CROUSE,10813 WEST WELK DRIVE,AL11617F,SUN CITY,AZ,MARICOPA,(812)734-4944,2
ADULT FOSTER CARE,AL7930,85747,JOCELYN TURNER ADULT FOSTER CARE HOME,9249 EAST BENT CREEK WAY,AL7930F,TUCSON,AZ,PIMA,(520)663-0163,4
ADULT FOSTER CARE,AL11626,86314,LIGHTHOUSE ADULT CARE HOME,5660 NORTH BENTLEY COURT,AL11626F,PRESCOTT VALLEY,AZ,YAVAPAI,(928)848-1481,4
ADULT FOSTER CARE,AL5540,85308,LILY OF THE VALLEY,5438 WEST VILLA THERESA,AL5540F,GLENDALE,AZ,MARICOPA,(602)439-2177,4
ADULT FOSTER CARE,AL5469,85310,LIVIA BARBAROSIE,5121 WEST FALLEN LEAF LANE,AL5469F,GLENDALE,AZ,MARICOPA,(623)780-3301,4
ADULT FOSTER CARE,AL5575,85301,MALLORY'S ADULT FOSTER CARE,5009 NORTH 61ST AVENUE,AL5575F,GLENDALE,AZ,MARICOPA,(623)204-8924,4
ADULT FOSTER CARE,AL7918,85746,MARIA APALATEGUI AFC,3272 WEST AVENIDA LUNA,AL7918F,TUCSON,AZ,PIMA,(520)578-9740,4
ADULT FOSTER CARE,AL5457,85023,MARINELA ALAMAN,2227 WEST CHARLESTON,AL5457F,PHOENIX,AZ,MARICOPA,(602)993-9021,4
ADULT FOSTER CARE,AL7928,85750,MARY HERRON FOSTER CARE HOME,8032 EAST PRESIDIO ROAD,AL7928F,TUCSON,AZ,PIMA,(520)298-5946,4
ADULT FOSTER CARE,AL5675,85298,MEL'S ADULT FOSTER CARE,22831 SOUTH RECKER ROAD,AL5675F,GILBERT,AZ,MARICOPA,(480)279-1071,4
ADULT FOSTER CARE,AL5632,85023,MIKE SULLIVAN,2138 WEST COOLBROOK AVE,AL5632F,PHOENIX,AZ,MARICOPA,(602)866-7064,4
ADULT FOSTER CARE,AL11537,85711,MOMENTOUS ADULT FOSTER CARE,6102 EAST TIMROD STREET,AL11537F,TUCSON,AZ,PIMA,(520)222-2335,4
ADULT FOSTER CARE,AL5507,85308,MYRA DRZEWIECKA ADULT FOSTER CARE HOME,6089 WEST VILLA THERESA,AL5507F,GLENDALE,AZ,MARICOPA,(602)789-8666,4
ADULT FOSTER CARE,AL6902,85308,OUR HOME ADULT CARE,17625 NORTH 48TH DRIVE,AL6902F,GLENDALE,AZ,MARICOPA,(602)863-4885,4
ADULT FOSTER CARE,AL7938,85710,PATSY ARANDIA AFC HOME,955 NORTH LARRY PLACE,AL7938F,TUCSON,AZ,PIMA,(520)721-7030,4
ADULT FOSTER CARE,AL11218,85051,"PRECIOUS ABILITIES, INC.",3742 WEST GLENDALE AVENUE,AL11218F,PHOENIX,AZ,MARICOPA,(773)469-6810,4
ADULT FOSTER CARE,AL7914,85730,PRINCESS ADULT FOSTER CARE HOME,9542 EAST MYRA DRIVE,AL7914F,TUCSON,AZ,PIMA,(520)546-4871,4
ADULT FOSTER CARE,AL7915,85706,RAMONA LUNA ADULT FOSTER CARE,5532 SOUTH MORRIS CIRCLE,AL7915F,TUCSON,AZ,PIMA,(520)889-7189,3
ADULT FOSTER CARE,AL5594,85028,RUBY GRAHAM,3815 EAST BECKER,AL5594F,PHOENIX,AZ,MARICOPA,(602)494-0041,2
ADULT FOSTER CARE,AL5564,85051,SALLY JOHNSON,4124 WEST AUGUSTA,AL5564F,PHOENIX,AZ,MARICOPA,(602)565-7811,4
ADULT FOSTER CARE,AL5466,85308,SANDRA BAKER ADULT FOSTER CARE,6811 WEST VILLA THERESA DRIVE,AL5466F,GLENDALE,AZ,MARICOPA,(602)843-3663,4
ADULT FOSTER CARE,AL5487,85032,SIPOS ANA ADULT FOSTER CARE,4035 EAST SAINT JOHNS ROAD,AL5487F,PHOENIX,AZ,MARICOPA,(602)404-0147,4
ADULT FOSTER CARE,AL5541,85304,SOPHIE TROJANEK,4428 WEST CHOLLA,AL5541F,GLENDALE,AZ,MARICOPA,(602)938-8522,4
ADULT FOSTER CARE,AL5625,85085,STANA OLARI,25851 NORTH CENTRAL AVENUE,AL5625F,PHOENIX,AZ,MARICOPA,(623)581-8800,4
ADULT FOSTER CARE,AL9144,85308,TABITAS ADULT FOSTER CARE,4407 WEST TOPEKA DRIVE,AL9144F,GLENDALE,AZ,MARICOPA,(623)414-3040,4
ADULT FOSTER CARE,AL11667,85138,VALLEY ENRICHMENT,19505 NORTH VENTANA LANE,AL11667F,MARICOPA,AZ,PINAL,(520)568-6017,3
ADULT FOSTER CARE,AL7602,85306,VIOLETA'S HOME CARE,16257 NORTH 43RD LANE,AL7602F,GLENDALE,AZ,MARICOPA,(602)843-2798,4
ADULTH BH THERAPEUTIC HOME,BH2358,85741,AMALIA URIAS,7343 NORTH PILGRIM PLACE,BH2358,TUCSON,AZ,PIMA,(520)548-2972,3
ADULTH BH THERAPEUTIC HOME,BH5661,85756,ANNA GANAGO,6625 SOUTH LANTANA VISTA DRIVE,BH5661,TUCSON,AZ,PIMA,(520)551-0643,3
ADULTH BH THERAPEUTIC HOME,BH5068,85747,BETHEL HOUSE,9820 EAST PASEO SAN BERNARDO,BH5068,TUCSON,AZ,PIMA,(520)891-0081,3
ADULTH BH THERAPEUTIC HOME,BH4758,85730,BLAISE LOLIKA,3130 SOUTH PORTIA AVENUE,BH4758,TUCSON,AZ,PIMA,(520)971-6607,3
ADULTH BH THERAPEUTIC HOME,BH6348,85204,BLESSING CARE,460 SOUTH TEMPLE STREET,BH6348,MESA,AZ,MARICOPA,(623)806-9135,3
ADULTH BH THERAPEUTIC HOME,BH4392,85302,BRIGITTE GENO,8365 NORTH 56TH DRIVE,BH4392,GLENDALE,AZ,MARICOPA,(602)419-1332,3
ADULTH BH THERAPEUTIC HOME,BH5082,85713,CARLETTE JONES,1318 SOUTH COATI DRIVE,BH5082,TUCSON,AZ,PIMA,(602)551-3206,2
ADULTH BH THERAPEUTIC HOME,BH6357,85706,CHARITE HOME,6057 SOUTH AVENIDA CANECA,BH6357,TUCSON,AZ,PIMA,(412)641-0335,3
ADULTH BH THERAPEUTIC HOME,BH6623,85745,DANIEL FOWLER,2788 NORTH BELL HOLLOW PLACE,BH6623,TUCSON,AZ,PIMA,(520)971-1398,3
ADULTH BH THERAPEUTIC HOME,BH6637,85283,DENG'S HOUSE,615 EAST LA DONNA DRIVE,BH6637,TEMPE,AZ,MARICOPA,(602)751-8096,3
ADULTH BH THERAPEUTIC HOME,BH4795,85711,EAGLE HOME,808 SOUTH JERRIE AVENUE,BH4795,TUCSON,AZ,PIMA,(520)406-2978,3
ADULTH BH THERAPEUTIC HOME,BH3916,85745,ESTHER'S HOUSE,2752 WEST CALLE ARANDAS,BH3916,TUCSON,AZ,PIMA,(520)327-0317,2
ADULTH BH THERAPEUTIC HOME,BH6735,85212,FLORENCE MUCHIRA,10550 EAST WAVELENGTH AVENUE,BH6735,MESA,AZ,MARICOPA,(205)240-2520,3
ADULTH BH THERAPEUTIC HOME,BH6412,85748,GINA HAGE,441 SOUTH VOZACK LANE,BH6412,TUCSON,AZ,PIMA,(520)647-4033,3
ADULTH BH THERAPEUTIC HOME,BH6103,85706,GUADALUPE BORBON,5986 SOUTH HERPA DRIVE,BH6103,TUCSON,AZ,PIMA,(619)920-3029,3
ADULTH BH THERAPEUTIC HOME,BH6521,85741,GUY & TAPATY HLOMATCHI,3236 WEST GREEN RIDGE DRIVE,BH6521,TUCSON,AZ,PIMA,(520)551-2160,3
ADULTH BH THERAPEUTIC HOME,BH5193,85756,HENRI P. NTEP NTEP,7271 EAST ALDERBERRY STREET,BH5193,TUCSON,AZ,PIMA,(520)272-4880,2
ADULTH BH THERAPEUTIC HOME,BH6794,85706,HOPE CARE,3589 EAST DREXEL MANOR STRAVENUE,BH6794,TUCSON,AZ,PIMA,(520)312-0747,3
ADULTH BH THERAPEUTIC HOME,BH3784,85704,IBRAHIM & MUNIRA KRESO,121 EAST FOUR HORSES PLACE,BH3784,TUCSON,AZ,PIMA,(520)742-5913,3
ADULTH BH THERAPEUTIC HOME,BH5025,85234,JANE KURIA,1138 EAST HEARNE WAY,BH5025,GILBERT,AZ,MARICOPA,(480)622-8577,3
ADULTH BH THERAPEUTIC HOME,BH5917,85208,JOAN AND JANE GACHOKI,11017 EAST ASPEN AVENUE,BH5917,MESA,AZ,MARICOPA,(480)512-1073,3
ADULTH BH THERAPEUTIC HOME,BH3327,85730,JUANITA HAMMONS - VICTORIA HOUSE,8125 EAST VICTORIA DRIVE,BH3327,TUCSON,AZ,PIMA,(520)790-5258,3
ADULTH BH THERAPEUTIC HOME,BH5732,85043,JUST LIKE HOME SUPPORT SERVICES,8218 WEST ATLANTIS WAY,BH5732,PHOENIX,AZ,MARICOPA,(480)843-2969,3
ADULTH BH THERAPEUTIC HOME,BH6566,85033,KAMSAM BEHAVIORAL HEALTH THERAPEUTIC,6344 WEST THOMAS ROAD,BH6566,PHOENIX,AZ,MARICOPA,(602)587-6249,3
ADULTH BH THERAPEUTIC HOME,BH2086,85735,KAYE HASPEL-HUNT,8770 WEST BOPP ROAD,BH2086,TUCSON,AZ,PIMA,(520)578-8629,3
ADULTH BH THERAPEUTIC HOME,BH6626,85323,KENOR CARE,148 SOUTH 107TH DRIVE,BH6626,AVONDALE,AZ,MARICOPA,(602)632-5756,3
ADULTH BH THERAPEUTIC HOME,BH5564,85710,KIWANIS AND CHARLIE GRAHAM,6658 EAST BROADWAY BOULEVARD,BH5564,TUCSON,AZ,PIMA,(520)971-3681,2
ADULTH BH THERAPEUTIC HOME,BH6015,85710,KODJO JACK AKAYE,6306 EAST FORDHAM DRIVE,BH6015,TUCSON,AZ,PIMA,(520)981-2458,3
ADULTH BH THERAPEUTIC HOME,BH3831,85746,KOMAKO HOUSE,3560 WEST FENTON WAY,BH3831,TUCSON,AZ,PIMA,(520)272-7911,3
ADULTH BH THERAPEUTIC HOME,BH6309,85737,KUMAN TENGE,10039 NORTH ROXBURY DRIVE,BH6309,ORO VALLEY,AZ,PIMA,(520)248-6393,3
ADULTH BH THERAPEUTIC HOME,BH6821,85730,LICENIA RODRIGUEZ,3645 SOUTH MONTREAL PLACE,BH6821,TUCSON,AZ,PIMA,(520)305-7861,3
ADULTH BH THERAPEUTIC HOME,BH6694,85041,LILLY OF THE VALLEY HOME,6930 SOUTH 37TH DRIVE,BH6694,PHOENIX,AZ,MARICOPA,(253)680-9594,3
ADULTH BH THERAPEUTIC HOME,BH6098,85017,LUBUNGA MWIMBILWA AND ROSETTE WASANGA,2805 WEST TUCKEY LANE,BH6098,PHOENIX,AZ,MARICOPA,(480)297-1358,3
ADULTH BH THERAPEUTIC HOME,BH6645,85730,LUIS APODACA,7711 EAST APPLE TREE DRIVE,BH6645,TUCSON,AZ,PIMA,(520)481-9441,3
ADULTH BH THERAPEUTIC HOME,BH6709,85730,LUTHER KOMI DOGBLE,6564 EAST BROOKS DRIVE,BH6709,TUCSON,AZ,PIMA,(520)304-3325,2
ADULTH BH THERAPEUTIC HOME,BH5563,85710,MARIA AND MOISES I SALAZAR,7133 EAST 34TH STREET,BH5563,TUCSON,AZ,PIMA,(520)730-8954,3
ADULTH BH THERAPEUTIC HOME,BH6793,85730,MARIE BAMPAMULOLWA,2935 SOUTH KOLB ROAD,BH6793,TUCSON,AZ,PIMA,(520)336-2904,3
ADULTH BH THERAPEUTIC HOME,BH4720,85718,MINKA RUSTEMPASIC,1301 EAST DEER CANYON,BH4720,TUCSON,AZ,PIMA,(520)307-9841,3
ADULTH BH THERAPEUTIC HOME,BH6582,85335,MK PERSONAL CARE,12621 WEST LAUREL LANE,BH6582,EL MIRAGE,AZ,MARICOPA,(623)707-3563,3
ADULTH BH THERAPEUTIC HOME,BH6389,85302,MUSATTA HOME,5665 WEST DESERT JEWEL DRIVE,BH6389,GLENDALE,AZ,MARICOPA,(602)405-9545,3
ADULTH BH THERAPEUTIC HOME,BH3123,85212,PATRICIA ANN GARRETT,3140 SOUTH TOBIN CIRCLE,BH3123,MESA,AZ,MARICOPA,(480)907-5207,2
ADULTH BH THERAPEUTIC HOME,BH5565,85756,PINKY AND GLENN CASTILLO,7295 SOUTH VIA BOCA DEL MAR,BH5565,TUCSON,AZ,PIMA,(720)220-4599,3
ADULTH BH THERAPEUTIC HOME,BH6102,85756,PRINCE AND GRACE ABBREY,6506 EAST BRUSHBACK LOOP,BH6102,TUCSON,AZ,PIMA,(520)838-4339,3
ADULTH BH THERAPEUTIC HOME,BH5270,85741,PROVIDENCE CARE,3641 WEST BELLEWOOD,BH5270,TUCSON,AZ,PIMA,(520)351-9952,3
ADULTH BH THERAPEUTIC HOME,BH4511,85304,REHEMA HOME CARE,12236 NORTH 49TH DRIVE,BH4511,GLENDALE,AZ,MARICOPA,(602)441-4017,3
ADULTH BH THERAPEUTIC HOME,BH6014,85704,REZA VAFAIE,1070 WEST SEA LION DRIVE,BH6014,TUCSON,AZ,PIMA,(520)971-5229,3
ADULTH BH THERAPEUTIC HOME,BH6513,85379,RHEMA HAPPY HOME,15321 WEST EVANS DRIVE,BH6513,SURPRISE,AZ,MARICOPA,(520)912-1317,3
ADULTH BH THERAPEUTIC HOME,BH6175,85706,RHEMA HOME,5959 SOUTH ROWAN COURT,BH6175,TUCSON,AZ,PIMA,(520)369-0945,3
ADULTH BH THERAPEUTIC HOME,BH6418,85748,RHONDA DODDS,2081 SOUTH HIDDEN PASTURE LANE,BH6418,TUCSON,AZ,PIMA,(949)929-4014,3
ADULTH BH THERAPEUTIC HOME,BH5610,85379,ROBERT L NEAL JR,15151 WEST CAMERON DRIVE,BH5610,SURPRISE,AZ,MARICOPA,(773)430-7414,3
ADULTH BH THERAPEUTIC HOME,BH5502,85741,RUBEN URIAS FERNANDEZ,7397 NORTH CAMINO DE LA TIERRA,BH5502,TUCSON,AZ,PIMA,(520)358-0899,3
ADULTH BH THERAPEUTIC HOME,BH5937,85209,SARAH KIMANI,10064 EAST NICHOLS AVENUE,BH5937,MESA,AZ,MARICOPA,(480)334-6524,3
ADULTH BH THERAPEUTIC HOME,BH6304,85756,SARAH SHELLHOUSE,4035 EAST STONY MEADOW DRIVE,BH6304,TUCSON,AZ,PIMA,(520)870-0733,3
ADULTH BH THERAPEUTIC HOME,BH5855,85713,TAMBOURA AND NICOLE DAVIS,3170 SOUTH THREE D COURT,BH5855,TUCSON,AZ,PIMA,(520)331-7609,2
ADULTH BH THERAPEUTIC HOME,BH4932,85715,THE JACKSON HOUSE,1866 NORTH MARBLE RIDGE PLACE,BH4932,TUCSON,AZ,PIMA,(520)240-3729,3
ADULTH BH THERAPEUTIC HOME,BH6184,85730,TINA MESSAN,8325 EAST PENA BLANCA DRIVE,BH6184,TUCSON,AZ,PIMA,(520)344-1044,3
ADULTH BH THERAPEUTIC HOME,BH4917,85756,TOATE GANAGO,6781 SOUTH AQUILINE DRIVE,BH4917,TUCSON,AZ,PIMA,(520)319-0778,3
ADULTH BH THERAPEUTIC HOME,BH6403,85756,TRINITY'S HOUSE,6692 EAST VIA BOCA CHICA,BH6403,TUCSON,AZ,PIMA,(520)820-7330,2
ADULTH BH THERAPEUTIC HOME,BH4913,85215,VIRGINIA MWAURA,3101 NORTH 64TH STREET,BH4913,MESA,AZ,MARICOPA,(602)300-5221,3
ADULTH BH THERAPEUTIC HOME,BH5922,85748,WENDY WILSON,9800 EAST GOLDEN CURRANT DRIVE,BH5922,TUCSON,AZ,PIMA,(520)310-9740,3
ADULTH BH THERAPEUTIC HOME,BH6060,85756,ZONIA AGUILAR,6733 SOUTH CRAYCROFT ROAD,BH6060,TUCSON,AZ,PIMA,(520)900-2293,3
ASSISTED LIVING CENTER-DIRECTED,AL8176,85050,ACACIA HEALTH CENTER,4555 EAST MAYO BOULEVARD,AL8176C,PHOENIX,AZ,MARICOPA,(480)384-5600,88
ASSISTED LIVING CENTER-DIRECTED,AL11212,85205,ACOYA MESA,6502 EAST BROWN ROAD,AL11212C,MESA,AZ,MARICOPA,(480)275-8300,188
ASSISTED LIVING CENTER-DIRECTED,AL11651,85755,"ALL SEASONS OF ORO VALLEY, LLC",1734 EAST INNOVATION PARK DRIVE,AL11651C,ORO VALLEY,AZ,PIMA,(520)808-0006,75
ASSISTED LIVING CENTER-DIRECTED,AL10047,85234,ALMOND CARE CONCEPTS AT AMERICAN ORCHARD,"765 NORTH LINDSAY, SAPWOOD BUILDING 2",AL10047C,GILBERT,AZ,MARICOPA,(480)887-0599,45
ASSISTED LIVING CENTER-DIRECTED,AL8370,86301,ALTA VISTA,918 CANTERBURY LANE,AL8370C,PRESCOTT,AZ,YAVAPAI,(928)772-6000,59
ASSISTED LIVING CENTER-DIRECTED,AL11230,85301,AMARSI ASSISTED LIVING,5125 NORTH 58TH AVENUE,AL11230C,GLENDALE,AZ,MARICOPA,(623)915-5720,103
ASSISTED LIVING CENTER-DIRECTED,AL9784,85260,AMBER CREEK MEMORY CARE COMMUNITY,11250 NORTH 92ND STREET,AL9784C,SCOTTSDALE,AZ,MARICOPA,(480)471-8265,65
ASSISTED LIVING CENTER-DIRECTED,AL9378,85704,AMBER LIGHTS,6231 NORTH MONTEBELLA ROAD,AL9378C,TUCSON,AZ,PIMA,(520)498-0668,120
ASSISTED LIVING CENTER-DIRECTED,AL11476,85382,ARBOR RIDGE,9257 WEST UNION HILLS DRIVE,AL11476C,PEORIA,AZ,MARICOPA,(952)361-8935,130
ASSISTED LIVING CENTER-DIRECTED,AL2589,85206,ARBOR ROSE SENIOR CARE,6063 EAST ARBOR AVE,AL2589C,MESA,AZ,MARICOPA,(480)654-8200,89
ASSISTED LIVING CENTER-DIRECTED,AL7509,85032,ARIZONA DESERT FALLS,2802 EAST JUNIPER AVENUE,AL7509C,PHOENIX,AZ,MARICOPA,(480)307-6161,30
ASSISTED LIVING CENTER-DIRECTED,AL11177,86303,ARIZONA PIONEERS' HOME,300 SOUTH MCCORMICK STREET,AL11177C,PRESCOTT,AZ,YAVAPAI,(928)445-2181,125
ASSISTED LIVING CENTER-DIRECTED,AL10790,85614,ARROYO GARDENS INDEPENDENT AND ASSISTED LIVING,160 NORTH LA CANADA,AL10790C,GREEN VALLEY,AZ,PIMA,(520)625-7737,91
ASSISTED LIVING CENTER-DIRECTED,AL8344,85718,ATRIA CAMPANA DEL RIO,1550 AND 1580 EAST RIVER ROAD,AL8344C,TUCSON,AZ,PIMA,(520)299-1941,100
ASSISTED LIVING CENTER-DIRECTED,AL9474,85260,ATRIA PARK OF SIERRA POINTE,14500 NORTH FRANK LLOYD WRIGHT BOULEVARD,AL9474C,SCOTTSDALE,AZ,MARICOPA,(480)767-9800,250
ASSISTED LIVING CENTER-DIRECTED,AL9064,85120,AURORA PLACE,675 WEST BROADWAY AVENUE,AL9064C,APACHE JUNCTION,AZ,PINAL,(480)288-1791,48
ASSISTED LIVING CENTER-DIRECTED,AL9291,86326,AUSTIN HOUSE ASSISTED LIVING,195 SOUTH WILLARD STREET,AL9291C,COTTONWOOD,AZ,YAVAPAI,(928)634-4278,90
ASSISTED LIVING CENTER-DIRECTED,AL11039,85021,AVAMERE AT THE STRATFORD,1739 WEST MYRTLE AVENUE,AL11039C,PHOENIX,AZ,MARICOPA,(602)841-2500,170
ASSISTED LIVING CENTER-DIRECTED,AL11394,85383,AVANTI SENIOR LIVING AT PEORIA,26850 NORTH LAKE PLEASANT PARKWAY,AL11394C,PEORIA,AZ,MARICOPA,(281)907-9561,94
ASSISTED LIVING CENTER-DIRECTED,AL10432,85375,AVISTA SUN CITY WEST MEMORY CARE,12820 WEST BEARDSLEY ROAD,AL10432C,SUN CITY WEST,AZ,MARICOPA,(623)552-2200,60
ASSISTED LIVING CENTER-DIRECTED,AL11377,85225,"AZALEA VILLA ASSISTED LIVING CENTER, LLC",217 NORTH WASHINGTON STREET,AL11377H,CHANDLER,AZ,MARICOPA,(480)410-9697,23
