rundate,subtype,FACID,FACTYPE,ZIP,LEGALNAME,ADDRESS,LICENSE,LICENSE_EFFECTIVE,LICENSE_EXPIRATION,CITY,state,COUNTY,TELEPHONE,FAXPHONE,CAPACITY,MCAID_CERT,Supp_Service_Provided,N_LON,N_LAT,N_MCODE,N_LCODE,N_BLOCK
44348,ADULT FOSTER CARE,AL5501,1C1,85032,JADWIGA CZERSKI,2427 EAST MARMORA STREET,AL5501F,44105,44469,PHOENIX,AZ,MARICOPA,(602)992-4410,(602)992-4410,4,,,-112.029791,33.599592,,,
44348,ADULT FOSTER CARE,AL11617,1C1,85373,JOANNE M. CROUSE,10813 WEST WELK DRIVE,AL11617F,44126,44469,SUN CITY,AZ,MARICOPA,(812)734-4944,(   )   -,2,,,,,,,
44348,ADULT FOSTER CARE,AL7930,1C1,85747,JOCELYN TURNER ADULT FOSTER CARE HOME,9249 EAST BENT CREEK WAY,AL7930F,44136,44500,TUCSON,AZ,PIMA,(520)663-0163,(520)663-0163,4,,,-110.794509,32.10836,,,
44348,ADULT FOSTER CARE,AL11626,1C1,86314,LIGHTHOUSE ADULT CARE HOME,5660 NORTH BENTLEY COURT,AL11626F,44222,44561,PRESCOTT VALLEY,AZ,YAVAPAI,(928)848-1481,(   )   -,4,,,,,,,
44348,ADULT FOSTER CARE,AL5540,1C1,85308,LILY OF THE VALLEY,5438 WEST VILLA THERESA,AL5540F,44105,44469,GLENDALE,AZ,MARICOPA,(602)439-2177,(602)439-1186,4,,,-112.176209,33.653954,,,
44348,ADULT FOSTER CARE,AL5469,1C1,85310,LIVIA BARBAROSIE,5121 WEST FALLEN LEAF LANE,AL5469F,44105,44469,GLENDALE,AZ,MARICOPA,(623)780-3301,(623)780-3302,4,,,-112.170385,33.711353,,,
44348,ADULT FOSTER CARE,AL5575,1C1,85301,MALLORY'S ADULT FOSTER CARE,5009 NORTH 61ST AVENUE,AL5575F,44105,44469,GLENDALE,AZ,MARICOPA,(623)204-8924,(   )   -,4,T,,-112.190488,33.510047,,,
44348,ADULT FOSTER CARE,AL7918,1C1,85746,MARIA APALATEGUI AFC,3272 WEST AVENIDA LUNA,AL7918F,44166,44530,TUCSON,AZ,PIMA,(520)578-9740,(520)578-0851,4,,,-111.036463,32.123268,,,
44348,ADULT FOSTER CARE,AL5457,1C1,85023,MARINELA ALAMAN,2227 WEST CHARLESTON,AL5457F,44105,44469,PHOENIX,AZ,MARICOPA,(602)993-9021,(602)795-4485,4,T,,-112.107409,33.649194,,,
44348,ADULT FOSTER CARE,AL7928,1C1,85750,MARY HERRON FOSTER CARE HOME,8032 EAST PRESIDIO ROAD,AL7928F,44044,44408,TUCSON,AZ,PIMA,(520)298-5946,(520)639-8256,4,,,-110.82092,32.263823,,,
44348,ADULT FOSTER CARE,AL5675,1C1,85298,MEL'S ADULT FOSTER CARE,22831 SOUTH RECKER ROAD,AL5675F,44105,44469,GILBERT,AZ,MARICOPA,(480)279-1071,(480)279-1076,4,,,-111.703025,33.241181,,,
44348,ADULT FOSTER CARE,AL5632,1C1,85023,MIKE SULLIVAN,2138 WEST COOLBROOK AVE,AL5632F,44105,44469,PHOENIX,AZ,MARICOPA,(602)866-7064,(602)866-7973,4,T,,-112.107064,33.643692,,,
44348,ADULT FOSTER CARE,AL11537,1C1,85711,MOMENTOUS ADULT FOSTER CARE,6102 EAST TIMROD STREET,AL11537F,44071,44408,TUCSON,AZ,PIMA,(520)222-2335,(   )   -,4,,,,,,,
44348,ADULT FOSTER CARE,AL5507,1C1,85308,MYRA DRZEWIECKA ADULT FOSTER CARE HOME,6089 WEST VILLA THERESA,AL5507F,44105,44469,GLENDALE,AZ,MARICOPA,(602)789-8666,(602)548-6334,4,,,-112.189934,33.652747,,,
44348,ADULT FOSTER CARE,AL6902,1C1,85308,OUR HOME ADULT CARE,17625 NORTH 48TH DRIVE,AL6902F,43891,44620,GLENDALE,AZ,MARICOPA,(602)863-4885,(602)863-4885,4,,,-112.163737,33.646332,,,
44348,ADULT FOSTER CARE,AL7938,1C1,85710,PATSY ARANDIA AFC HOME,955 NORTH LARRY PLACE,AL7938F,44105,44469,TUCSON,AZ,PIMA,(520)721-7030,(520)885-8732,4,,,-110.801421,32.232733,,,
44348,ADULT FOSTER CARE,AL11218,1C1,85051,"PRECIOUS ABILITIES, INC.",3742 WEST GLENDALE AVENUE,AL11218F,44105,44469,PHOENIX,AZ,MARICOPA,(773)469-6810,(   )   -,4,,,,,,,
44348,ADULT FOSTER CARE,AL7914,1C1,85730,PRINCESS ADULT FOSTER CARE HOME,9542 EAST MYRA DRIVE,AL7914F,43831,44561,TUCSON,AZ,PIMA,(520)546-4871,(520)296-0805,4,,,-110.788684,32.183349,,,
44348,ADULT FOSTER CARE,AL7915,1C1,85706,RAMONA LUNA ADULT FOSTER CARE,5532 SOUTH MORRIS CIRCLE,AL7915F,43922,44651,TUCSON,AZ,PIMA,(520)889-7189,(520)889-3948,3,,,-110.958497,32.151778,,,
44348,ADULT FOSTER CARE,AL5594,1C1,85028,RUBY GRAHAM,3815 EAST BECKER,AL5594F,44105,44469,PHOENIX,AZ,MARICOPA,(602)494-0041,(602)354-7511,2,T,,-111.999825,33.583399,,,
44348,ADULT FOSTER CARE,AL5564,1C1,85051,SALLY JOHNSON,4124 WEST AUGUSTA,AL5564F,44105,44469,PHOENIX,AZ,MARICOPA,(602)565-7811,(623)937-3314,4,,,-112.14805,33.551123,,,
44348,ADULT FOSTER CARE,AL5466,1C1,85308,SANDRA BAKER ADULT FOSTER CARE,6811 WEST VILLA THERESA DRIVE,AL5466F,44105,44469,GLENDALE,AZ,MARICOPA,(602)843-3663,(602)863-0554,4,,,-112.206209,33.651506,,,
44348,ADULT FOSTER CARE,AL5487,1C1,85032,SIPOS ANA ADULT FOSTER CARE,4035 EAST SAINT JOHNS ROAD,AL5487F,44105,44469,PHOENIX,AZ,MARICOPA,(602)404-0147,(   )   -,4,T,,-111.994055,33.647044,,,
44348,ADULT FOSTER CARE,AL5541,1C1,85304,SOPHIE TROJANEK,4428 WEST CHOLLA,AL5541F,44105,44469,GLENDALE,AZ,MARICOPA,(602)938-8522,(602)354-3741,4,T,,-112.154392,33.589258,,,
44348,ADULT FOSTER CARE,AL5625,1C1,85085,STANA OLARI,25851 NORTH CENTRAL AVENUE,AL5625F,44105,44469,PHOENIX,AZ,MARICOPA,(623)581-8800,(623)258-4202,4,T,,-112.07422,33.720374,,,
44348,ADULT FOSTER CARE,AL9144,1C1,85308,TABITAS ADULT FOSTER CARE,4407 WEST TOPEKA DRIVE,AL9144F,43862,44592,GLENDALE,AZ,MARICOPA,(623)414-3040,(623)271-7410,4,,,,,,,
44348,ADULT FOSTER CARE,AL11667,1C1,85138,VALLEY ENRICHMENT,19505 NORTH VENTANA LANE,AL11667F,44217,44561,MARICOPA,AZ,PINAL,(520)568-6017,(   )   -,3,,,,,,,
44348,ADULT FOSTER CARE,AL7602,1C1,85306,VIOLETA'S HOME CARE,16257 NORTH 43RD LANE,AL7602F,43922,44651,GLENDALE,AZ,MARICOPA,(602)843-2798,(602)843-2798,4,T,,-112.152466,33.633745,,,
44348,ADULTH BH THERAPEUTIC HOME,BH2358,1O1,85741,AMALIA URIAS,7343 NORTH PILGRIM PLACE,BH2358,44166,44530,TUCSON,AZ,PIMA,(520)548-2972,(520)296-8244,3,T,,-111.035341,32.339992,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5661,1O1,85756,ANNA GANAGO,6625 SOUTH LANTANA VISTA DRIVE,BH5661,43862,44592,TUCSON,AZ,PIMA,(520)551-0643,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5068,1O1,85747,BETHEL HOUSE,9820 EAST PASEO SAN BERNARDO,BH5068,44166,44530,TUCSON,AZ,PIMA,(520)891-0081,(520)296-8244,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH4758,1O1,85730,BLAISE LOLIKA,3130 SOUTH PORTIA AVENUE,BH4758,44166,44530,TUCSON,AZ,PIMA,(520)971-6607,(520)296-8244,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6348,1O1,85204,BLESSING CARE,460 SOUTH TEMPLE STREET,BH6348,44036,44742,MESA,AZ,MARICOPA,(623)806-9135,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH4392,1O1,85302,BRIGITTE GENO,8365 NORTH 56TH DRIVE,BH4392,44075,44439,GLENDALE,AZ,MARICOPA,(602)419-1332,(520)296-8244,3,T,,-112.179949,33.558641,S80,AS0,040130923073019
44348,ADULTH BH THERAPEUTIC HOME,BH5082,1O1,85713,CARLETTE JONES,1318 SOUTH COATI DRIVE,BH5082,43831,44561,TUCSON,AZ,PIMA,(602)551-3206,(520)296-8244,2,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6357,1O1,85706,CHARITE HOME,6057 SOUTH AVENIDA CANECA,BH6357,44067,44408,TUCSON,AZ,PIMA,(412)641-0335,(520)344-8895,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6623,1O1,85745,DANIEL FOWLER,2788 NORTH BELL HOLLOW PLACE,BH6623,44239,44592,TUCSON,AZ,PIMA,(520)971-1398,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6637,1O1,85283,DENG'S HOUSE,615 EAST LA DONNA DRIVE,BH6637,44229,44592,TEMPE,AZ,MARICOPA,(602)751-8096,(   )   -,3,,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH4795,1O1,85711,EAGLE HOME,808 SOUTH JERRIE AVENUE,BH4795,43862,44592,TUCSON,AZ,PIMA,(520)406-2978,(520)344-8892,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH3916,1O1,85745,ESTHER'S HOUSE,2752 WEST CALLE ARANDAS,BH3916,44044,44408,TUCSON,AZ,PIMA,(520)327-0317,(520)296-8244,2,T,,-111.025884,32.216654,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6735,1O1,85212,FLORENCE MUCHIRA,10550 EAST WAVELENGTH AVENUE,BH6735,44264,44620,MESA,AZ,MARICOPA,(205)240-2520,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6412,1O1,85748,GINA HAGE,441 SOUTH VOZACK LANE,BH6412,44089,44439,TUCSON,AZ,PIMA,(520)647-4033,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6103,1O1,85706,GUADALUPE BORBON,5986 SOUTH HERPA DRIVE,BH6103,43868,44592,TUCSON,AZ,PIMA,(619)920-3029,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6521,1O1,85741,GUY & TAPATY HLOMATCHI,3236 WEST GREEN RIDGE DRIVE,BH6521,44139,44500,TUCSON,AZ,PIMA,(520)551-2160,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5193,1O1,85756,HENRI P. NTEP NTEP,7271 EAST ALDERBERRY STREET,BH5193,44075,44439,TUCSON,AZ,PIMA,(520)272-4880,(520)296-8244,2,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6794,1O1,85706,HOPE CARE,3589 EAST DREXEL MANOR STRAVENUE,BH6794,44294,44651,TUCSON,AZ,PIMA,(520)312-0747,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH3784,1O1,85704,IBRAHIM & MUNIRA KRESO,121 EAST FOUR HORSES PLACE,BH3784,43862,44592,TUCSON,AZ,PIMA,(520)742-5913,(520)742-5913,3,T,,-110.970948,32.354334,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5025,1O1,85234,JANE KURIA,1138 EAST HEARNE WAY,BH5025,44166,44530,GILBERT,AZ,MARICOPA,(480)622-8577,(520)296-8244,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5917,1O1,85208,JOAN AND JANE GACHOKI,11017 EAST ASPEN AVENUE,BH5917,43809,44530,MESA,AZ,MARICOPA,(480)512-1073,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH3327,1O1,85730,JUANITA HAMMONS - VICTORIA HOUSE,8125 EAST VICTORIA DRIVE,BH3327,43983,44712,TUCSON,AZ,PIMA,(520)790-5258,(520)407-5397,3,T,,-110.818861,32.180427,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5732,1O1,85043,JUST LIKE HOME SUPPORT SERVICES,8218 WEST ATLANTIS WAY,BH5732,43922,44651,PHOENIX,AZ,MARICOPA,(480)843-2969,(480)525-4983,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6566,1O1,85033,KAMSAM BEHAVIORAL HEALTH THERAPEUTIC,6344 WEST THOMAS ROAD,BH6566,44174,44530,PHOENIX,AZ,MARICOPA,(602)587-6249,(   )   -,3,,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH2086,1O1,85735,KAYE HASPEL-HUNT,8770 WEST BOPP ROAD,BH2086,44105,44469,TUCSON,AZ,PIMA,(520)578-8629,(520)296-8244,3,T,,-111.151889,32.177298,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6626,1O1,85323,KENOR CARE,148 SOUTH 107TH DRIVE,BH6626,44209,44561,AVONDALE,AZ,MARICOPA,(602)632-5756,(   )   -,3,,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5564,1O1,85710,KIWANIS AND CHARLIE GRAHAM,6658 EAST BROADWAY BOULEVARD,BH5564,44105,44469,TUCSON,AZ,PIMA,(520)971-3681,(520)296-8244,2,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6015,1O1,85710,KODJO JACK AKAYE,6306 EAST FORDHAM DRIVE,BH6015,43809,44530,TUCSON,AZ,PIMA,(520)981-2458,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH3831,1O1,85746,KOMAKO HOUSE,3560 WEST FENTON WAY,BH3831,43831,44561,TUCSON,AZ,PIMA,(520)272-7911,(520)296-8244,3,T,,-111.040959,32.118748,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6309,1O1,85737,KUMAN TENGE,10039 NORTH ROXBURY DRIVE,BH6309,43999,44712,ORO VALLEY,AZ,PIMA,(520)248-6393,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6821,1O1,85730,LICENIA RODRIGUEZ,3645 SOUTH MONTREAL PLACE,BH6821,44319,44681,TUCSON,AZ,PIMA,(520)305-7861,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6694,1O1,85041,LILLY OF THE VALLEY HOME,6930 SOUTH 37TH DRIVE,BH6694,44232,44592,PHOENIX,AZ,MARICOPA,(253)680-9594,(   )   -,3,,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6098,1O1,85017,LUBUNGA MWIMBILWA AND ROSETTE WASANGA,2805 WEST TUCKEY LANE,BH6098,43887,44592,PHOENIX,AZ,MARICOPA,(480)297-1358,(   )   -,3,,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6645,1O1,85730,LUIS APODACA,7711 EAST APPLE TREE DRIVE,BH6645,44221,44561,TUCSON,AZ,PIMA,(520)481-9441,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6709,1O1,85730,LUTHER KOMI DOGBLE,6564 EAST BROOKS DRIVE,BH6709,44250,44592,TUCSON,AZ,PIMA,(520)304-3325,(   )   -,2,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5563,1O1,85710,MARIA AND MOISES I SALAZAR,7133 EAST 34TH STREET,BH5563,44075,44439,TUCSON,AZ,PIMA,(520)730-8954,(520)296-8244,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6793,1O1,85730,MARIE BAMPAMULOLWA,2935 SOUTH KOLB ROAD,BH6793,44302,44651,TUCSON,AZ,PIMA,(520)336-2904,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH4720,1O1,85718,MINKA RUSTEMPASIC,1301 EAST DEER CANYON,BH4720,44136,44500,TUCSON,AZ,PIMA,(520)307-9841,(520)296-8244,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6582,1O1,85335,MK PERSONAL CARE,12621 WEST LAUREL LANE,BH6582,44181,44530,EL MIRAGE,AZ,MARICOPA,(623)707-3563,(   )   -,3,T,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH6389,1O1,85302,MUSATTA HOME,5665 WEST DESERT JEWEL DRIVE,BH6389,44090,44439,GLENDALE,AZ,MARICOPA,(602)405-9545,(   )   -,3,,,,,,,
44348,ADULTH BH THERAPEUTIC HOME,BH3123,1O1,85212,PATRICIA ANN GARRETT,3140 SOUTH TOBIN CIRCLE,BH3123,44044,44408,MESA,AZ,MARICOPA,(480)907-5207,(480)907-5207,2,T,,-111.603426,33.358453,,,
44348,ADULTH BH THERAPEUTIC HOME,BH5565,1O1,85756,PINKY AND GLENN CASTILLO,7295 SOUTH VIA BOCA DEL MAR,BH5565,44136,44500,TUCSON,AZ,PIMA,(720)220-4599,(520)296-8244,3,T,,,,,,
