State Facility Type 1 Literal,Facility ID,Zip Code,Facility Name,Address,License Number,City,State,County,Phone Number,Capacity,Date Accessed
ASSISTED LIVING CENTER-DIRECTED,AL7509,85032,Arizona Desert Falls,2802 EAST JUNIPER AVENUE,AL7509C,Phoenix,AZ,Maricopa,(480)307-6161,30,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11177,86303,Arizona Pioneers' Home,300 SOUTH MCCORMICK STREET,AL11177C,Prescott,AZ,Yavapai,(928)445-2181,125,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10790,85614,Arroyo Gardens Independent And Assisted Living,160 NORTH LA CANADA,AL10790C,Green Valley,AZ,Pima,(520)625-7737,91,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8344,85718,Atria Campana Del Rio,1550 AND 1580 EAST RIVER ROAD,AL8344C,Tucson,AZ,Pima,(520)299-1941,100,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9474,85260,Atria Park Of Sierra Pointe,14500 NORTH FRANK LLOYD WRIGHT BOULEVARD,AL9474C,Scottsdale,AZ,Maricopa,(480)767-9800,250,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9064,85120,Aurora Place,675 WEST BROADWAY AVENUE,AL9064C,Apache Junction,AZ,Pinal,(480)288-1791,48,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9291,86326,Austin House Assisted Living,195 SOUTH WILLARD STREET,AL9291C,Cottonwood,AZ,Yavapai,(928)634-4278,90,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11039,85021,Avamere At The Stratford,1739 WEST MYRTLE AVENUE,AL11039C,Phoenix,AZ,Maricopa,(602)841-2500,170,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11394,85383,Avanti Senior Living At Peoria,26850 NORTH LAKE PLEASANT PARKWAY,AL11394C,Peoria,AZ,Maricopa,(281)907-9561,94,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10432,85375,Avista Sun City West Memory Care,12820 WEST BEARDSLEY ROAD,AL10432C,Sun City West,AZ,Maricopa,(623)552-2200,60,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11377,85225,"Azalea Villa Assisted Living Center, Llc",217 NORTH WASHINGTON STREET,AL11377H,Chandler,AZ,Maricopa,(480)410-9697,23,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL7027,85940,Bannon Springs Assisted Living,COUNTY ROAD 3398 LOT 30,AL7027C,Vernon,AZ,Apache,(928)532-6649,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL5292,85253,Barton House,7007 EAST MOUNTAIN VIEW ROAD,AL5292C,Scottsdale,AZ,Maricopa,(480)991-9912,20,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL7404,85253,Barton House Ii,7001 EAST MOUNTAIN VIEW ROAD,AL7404C,Scottsdale,AZ,Maricopa,(480)991-9912,20,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1527,85021,Beatitudes Campus Of Care,1616  AND 1712 WEST GLENDALE AVENUE,AL1527C,Phoenix,AZ,Maricopa,(602)995-2611,129,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11585,85364,Bee Hive Homes,1839 WEST 25TH STREET,AL11585C,Yuma,AZ,Yuma,(928)317-3086,13,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11586,85364,Bee Hive Homes,1843 WEST 25TH STREET,AL11586C,Yuma,AZ,Yuma,(928)344-4932,17,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL6954,85925,Bee Hive Homes,324 EAST 1ST STREET,AL6954C,Eagar,AZ,Apache,(928)333-0151,16,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11092,85308,Bee Hive Homes Of Arrowhead,17202 NORTH 69TH AVENUE,AL11092C,Glendale,AZ,Maricopa,(623)215-7333,22,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8740,85614,Bee Hive Homes Of Green Valley,3161 SOUTH PROSPEROUS PLACE,AL8740C,Green Valley,AZ,Pima,(520)393-7233,40,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11449,85937,Beehive Home Of Snowflake,33 NORTH PORTER STREET,AL11449C,Snowflake,AZ,Navajo,(928)457-0028,15,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9332,85552,Beehive Homes Of  The Gila Valley,3150 WEST MAIN STREET,AL9332C,Thatcher,AZ,Graham,(928)792-2810,16,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11558,85234,Beehive Homes Of Gilbert,4423 EAST GUADALUPE ROAD,AL11558C,Gilbert,AZ,Maricopa,(801)368-9837,26,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9819,85743,Beehive Homes Of Marana,6180 WEST MAMIE KAI DRIVE,AL9819C,Tucson,AZ,Pima,(520)579-6788,20,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8174,86040,"Beehive Homes Of Page, Elk Rd",95 ELK ROAD,AL8174C,Page,AZ,Coconino,(928)660-0681,16,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9636,85650,Beehive Homes Of Sierra Vista,4110 EAST ANDERSON STREET,AL9636C,Sierra Vista,AZ,Cochise,(520)335-6880,16,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11737,86301,Beehive Life,1113 EAST GURLEY STREET,AL11737C,Prescott,AZ,Yavapai,(928)925-4576,42,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10063,85260,Belmont Village Scottsdale,13850 NORTH FRANK LLOYD WRIGHT BLVD,AL10063C,Scottsdale,AZ,Maricopa,(480)945-3600,149,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2432,85022,Bethesda Gardens,13825 NORTH CAVE CREEK ROAD,AL2432C,Phoenix,AZ,Maricopa,(602)765-4000,138,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10387,85027,Bridgewater Assisted Living,2641 WEST UNION HILLS DRIVE,AL10387C,Phoenix,AZ,Maricopa,(602)603-7480,220,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10641,85013,Bridgewater Assisted Living-Midtown,4000 NORTH 3RD AVENUE,AL10641C,Phoenix,AZ,Maricopa,(480)653-9500,165,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10996,85323,"Bridgewater Avondale Operations, Llc",295 EAST VAN BUREN STREET,AL10996C,Avondale,AZ,Maricopa,(602)603-8200,164,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11318,85741,"Bridgewater La Cholla Operations, Llc",6505 NORTH LA CHOLLA BOULEVARD,AL11318C,Tucson,AZ,Pima,(520)742-3554,122,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10879,85208,Broadway Mesa Village,7231 EAST BROADWAY ROAD,AL10879C,Mesa,AZ,Maricopa,(480)807-4700,127,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL3332,85306,Brookdale Arrowhead Ranch,5861 WEST BEVERLY LANE,AL3332C,Glendale,AZ,Maricopa,(602)938-7166,112,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10980,85206,Brookdale Baywood,310 SOUTH 63RD STREET,AL10980C,Mesa,AZ,Maricopa,(480)985-5778,145,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2003,85375,Brookdale Camino Del Sol,14001 WEST MEEKER BOULEVARD,AL2003C,Sun City West,AZ,Maricopa,(623)975-4000,52,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL3331,85224,Brookdale Central Chandler,1919 WEST CARLA VISTA DRIVE,AL3331C,Chandler,AZ,Maricopa,(480)855-6500,112,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL6708,85032,Brookdale Central Paradise Valley,13240 NORTH TATUM BOULEVARD,AL6708C,Phoenix,AZ,Maricopa,(602)953-3600,141,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1885,85224,Brookdale Chandler Ray Road,2800 WEST RAY ROAD,AL1885C,Chandler,AZ,Maricopa,(480)855-7100,54,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9101,85224,Brookdale Chandler Regional,750 SOUTH PENNINGTON DRIVE,AL9101C,Chandler,AZ,Maricopa,(480)814-8298,96,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11160,85032,Brookdale Desert Ridge,4050 EAST BLUEFIELD AVENUE,AL11160C,Phoenix,AZ,Maricopa,(602)996-6268,120,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2086,85206,Brookdale East Arbor,6060 EAST ARBOR AVENUE,AL2086C,Mesa,AZ,Maricopa,(480)807-6600,72,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL6354,85206,Brookdale East Mesa,6145 EAST ARBOR AVENUE,AL6354C,Mesa,AZ,Maricopa,(480)832-1300,56,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2150,85710,Brookdale East Tucson,8468 EAST SPEEDWAY BOULEVARD,AL2150C,Tucson,AZ,Pima,(520)722-8841,60,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11161,86001,Brookdale Flagstaff,2100 SOUTH WOODLANDS VILLAGE BOULEVARD,AL11161C,Flagstaff,AZ,Coconino,(928)779-7045,74,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11371,85233,Brookdale North Gilbert,845 NORTH EL DORADO DRIVE,AL11371C,Gilbert,AZ,Maricopa,(480)539-0801,56,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11372,85310,Brookdale North Glendale,6735 WEST HILLCREST BOULEVARD,AL11372C,Glendale,AZ,Maricopa,(623)572-7400,38,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL3333,85213,Brookdale North Mesa,2122 EAST BROWN,AL3333C,Mesa,AZ,Maricopa,(480)964-8788,103,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL7714,85254,Brookdale North Scottsdale,15436 NORTH 64TH STREET,AL7714C,Scottsdale,AZ,Maricopa,(480)948-6950,200,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL7866,85741,Brookdale North Tucson,2650 WEST INA ROAD,AL7866C,Tucson,AZ,Pima,(520)229-0232,60,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1795,85737,Brookdale Oro Valley,10175 NORTH ORACLE ROAD,AL1795C,Oro Valley,AZ,Pima,(520)544-4300,42,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2054,85382,Brookdale Peoria,8989 WEST GREENBRIAN DRIVE,AL2054C,Peoria,AZ,Maricopa,(623)583-1704,72,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1742,85718,Brookdale Santa Catalina,7500 NORTH CALLE SIN ENVIDIA,AL1742C,Tucson,AZ,Pima,(520)742-6242,155,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11370,85749,Brookdale Tanque Verde,9050 EAST TANQUE VERDE ROAD,AL11370C,Tucson,AZ,Pima,(520)749-9200,42,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1489,85283,Brookdale Tempe,1610 EAST GUADALUPE ROAD,AL1489C,Tempe,AZ,Maricopa,(480)777-9334,52,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL6361,85375,Brookdale Trail Ridge,21739 NORTH 151ST AVENUE,AL6361C,Sun City West,AZ,Maricopa,(623)546-3650,56,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL6356,85382,Brookdale Union Hills,9296 WEST UNION HILLS DRIVE,AL6356C,Peoria,AZ,Maricopa,(623)362-2700,56,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11004,85122,Caliche Senior Living,1640 NORTH PEART ROAD,AL11004C,Casa Grande,AZ,Pinal,(520)316-8041,130,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8226,85614,Canyon Valley Memory Care Residence,2985 SOUTH CAMINO DEL SOL,AL8226C,Green Valley,AZ,Pima,(520)393-0077,64,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10769,85207,Canyon Winds Retirement Llc,7311 EAST OASIS STREET,AL10769C,Mesa,AZ,Maricopa,(480)948-0600,102,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11262,86326,Carefree Assisted Living Center,22 SOUTH 7TH STREET,AL11262C,Cottonwood,AZ,Yavapai,(928)649-9624,20,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1054,85937,Carriage House On West Garden Lane,395 WEST GARDEN LANE,AL1054C,Snowflake,AZ,Navajo,(928)536-7935,32,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1362,85710,Cascades Of Tucson,201 NORTH JESSICA AVENUE,AL1362C,Tucson,AZ,Pima,(520)886-3171,217,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9499,85704,Catalina Springs Memory Care,9685 NORTH ORACLE ROAD,AL9499C,Oro Valley,AZ,Pima,(520)297-2500,56,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1937,85711,Catalina Village Assisted Living,5324 EAST 1ST STREET,AL1937C,Tucson,AZ,Pima,(520)327-4010,107,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2750,86401,Cerbat Guest Home,2364 CARVER AVENUE,AL2750C,Kingman,AZ,Mohave,(928)757-3989,35,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9383,85224,Chandler Memory Care,850 SOUTH PENNINGTON DRIVE,AL9383C,Chandler,AZ,Maricopa,(480)718-9055,84,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL4226,85374,Chaparral Winds Assisted Living,16623 NORTH WEST POINT PARKWAY,AL4226C,Surprise,AZ,Maricopa,(623)975-0880,96,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1493,85029,"Christian Care Assisted Living, Inc.",11818 NORTH 19TH AVENUE,AL1493C,Phoenix,AZ,Maricopa,(602)443-5464,55,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL6958,85029,"Christian Care Manor Ii, Inc.",11802 NORTH 19TH AVENUE,AL6958C,Phoenix,AZ,Maricopa,(602)443-5475,46,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11263,85249,Clarendale Of Chandler,5900 SOUTH GILBERT ROAD,AL11263C,Chandler,AZ,Maricopa,(480)630-1515,112,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8894,85741,Copper Canyon Alzheimer'S Special Care Center,5901 NORTH LA CHOLLA BOULEVARD,AL8894C,Tucson,AZ,Pima,(520)293-3114,66,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8609,85224,Copper Creek Inn Memory Care Community,2200 WEST FAIRVIEW STREET,AL8609C,Chandler,AZ,Maricopa,(480)634-4191,67,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9065,85367,Copper Place,12234 E NORTH FRONTAGE ROAD,AL9065C,Yuma,AZ,Yuma,(928)305-0892,53,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11240,85122,Copper Sky Assisted Living,1580 EAST VALERIE STREET,AL11240C,Casa Grande,AZ,Pinal,(520)858-0372,23,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL5962,85206,Copper Village Assisted Living,"5037 EAST BROADWAY ROAD, BUILDING #7",AL5962C,Mesa,AZ,Maricopa,(480)924-4073,90,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10262,86326,Cottonwood Village,201 EAST MINGUS AVENUE,AL10262C,Cottonwood,AZ,Yavapai,(928)634-4229,93,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11483,85142,Countryside Senior Living,22773 EAST OCOTILLO ROAD,AL11483C,Queen Creek,AZ,Maricopa,(480)352-4530,50,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9746,85201,Courtyard Towers,22 NORTH ROBSON,AL9746C,Mesa,AZ,Maricopa,(480)649-3000,175,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1138,85607,Cypress Inn Assisted Living Center,757 12TH STREET,AL1138C,Douglas,AZ,Cochise,(520)364-7232,30,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9756,86442,Davis Place,2943 DESERT SKY BLVD,AL9756C,Bullhead City,AZ,Mohave,(928)763-4570,47,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10810,85027,Deer Valley Senior Living,20221 NORTH 29TH AVENUE,AL10810C,Phoenix,AZ,Maricopa,(623)233-5277,122,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11565,85283,Desert Marigold Senior Living Of Tempe,601 EAST WESTCHESTER DRIVE,AL11565C,Tempe,AZ,Maricopa,(480)831-8660,72,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11726,85021,Desert Palm At The Park,10234 NORTH 7TH AVENUE,AL11726H,Phoenix,AZ,Maricopa,(480)331-8495,59,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL2539,85382,Desert Winds Assisted Living,20545 NORTH LAKE PLEASANT ROAD,AL2539C,Peoria,AZ,Maricopa,(623)322-0600,88,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL7537,85207,Doctor'S Choice Assisted Living,"9101 EAST BROWN ROAD, SUITE 107",AL7537C,Mesa,AZ,Maricopa,(480)830-3892,19,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10653,85750,Elmcroft Of River Centre,5665 EAST RIVER ROAD,AL10653C,Tucson,AZ,Pima,(520)529-7100,112,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10652,85283,Elmcroft Of Tempe,1875 EAST GUADALUPE ROAD,AL10652C,Tempe,AZ,Maricopa,(480)777-8466,115,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10782,85213,Emerald Glen Memory Care Plus,3558 EAST MCDOWELL ROAD,AL10782C,Mesa,AZ,Maricopa,(480)234-0126,34,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL7648,85213,Emerald Groves Central,2759 NORTH VAL VISTA DRIVE,AL7648C,Mesa,AZ,Maricopa,(480)209-0930,31,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11478,85364,Emerald Springs Senior Living,1475 SOUTH 46TH AVENUE,AL11478C,Yuma,AZ,Yuma,(928)329-7707,200,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8830,85009,Encanto Palms Assisted Living,3901 WEST ENCANTO BOULEVARD,AL8830C,Phoenix,AZ,Maricopa,(602)352-0000,97,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11350,85295,Eternal Spring Of Gilbert,940 EAST WILLIAMS FIELD ROAD,AL11350C,Gilbert,AZ,Maricopa,(480)812-8100,128,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11352,85345,Fairmont Village,10401 NORTH 79TH AVENUE,AL11352C,Peoria,AZ,Maricopa,(623)526-8600,90,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8893,85712,"Fairmount Assisted Living, Llc",6161 EAST FAIRMOUNT STREET,AL8893C,Tucson,AZ,Pima,(520)344-8890,50,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL4344,85201,Fellowship Square Historic Mesa,22 WEST 9TH PLACE,AL4344C,Mesa,AZ,Maricopa,(480)834-0600,106,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL1492,85207,Fellowship Square-Mesa,6945 EAST MAIN STREET,AL1492C,Mesa,AZ,Maricopa,(480)654-1800,59,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10132,85718,Foothills Place,3701 NORTH SWAN ROAD,AL10132C,Tucson,AZ,Pima,(520)299-7755,96,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL5936,85268,Fountain View Village,"16455 EAST AVENUE OF THE FOUNTAINS, BLDG C & E",AL5936C,Fountain Hills,AZ,Maricopa,(480)836-5000,125,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11479,85382,Garden Ridge,18170 NORTH 91ST AVENUE,AL11479C,Peoria,AZ,Maricopa,(952)361-8923,259,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9681,85248,Gardens At Ocotillo Senior Living,1601 WEST QUEEN CREEK ROAD,AL9681C,Chandler,AZ,Maricopa,(480)917-0094,90,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8809,85373,"Gardens Of Sun City, The",17225 NORTH BOSWELL BOULEVARD,AL8809C,Sun City,AZ,Maricopa,(623)933-2222,83,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9037,85122,Garnet Of Casa Grande Assisted Living Community,510 EAST 8TH STREET,AL9037C,Casa Grande,AZ,Pinal,(520)876-4200,106,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9431,85296,Generations At Agritopia,2811 & 2807 EAST AGRITOPIA LOOP S,AL9431C,Gilbert,AZ,Maricopa,(480)485-2000,138,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10487,85048,Generations At Ahwatukee,15815 SOUTH 50TH STREET,AL10487C,Phoenix,AZ,Maricopa,(480)485-3000,163,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11015,85255,Generations At Pinnacle Peak,23733 NORTH SCOTTSDALE ROAD,AL11015C,Scottsdale,AZ,Maricopa,(480)485-4000,149,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9067,86314,Glassford Place,7509 EAST LONG LOOK DRIVE,AL9067C,Prescott Valley,AZ,Yavapai,(928)772-3690,47,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL4168,85201,Grand Court Of Mesa,262 EAST BROWN ROAD,AL4168C,Mesa,AZ,Maricopa,(480)844-7336,140,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10558,86301,Granite Gate Senior Living,3850 NORTH HIGHWAY 89,AL10558C,Prescott,AZ,Yavapai,(928)771-8200,124,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10271,85718,Hacienda At  The River,2720 EAST RIVER ROAD,AL10271C,Tucson,AZ,Pima,(520)485-1060,84,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11264,85750,Hacienda At The Canyon,3900 NORTH SABINO CANYON ROAD #1 & #2,AL11264C,Tucson,AZ,Pima,(520)355-2200,108,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11276,85340,Hacienda Del Rey,12917 WEST LAS CRUCES DRIVE (#1-9 COTTAGES),AL11276C,Litchfield Park,AZ,Maricopa,(623)498-8682,144,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10034,86322,"Haven Of Camp Verde Alf, Llc",86 WEST SALT MINE ROAD,AL10034C,Camp Verde,AZ,Yavapai,(928)567-5253,32,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10936,85901,"Haven Of Show Low Alf, Llc",2401 EAST HUNT DRIVE,AL10936C,Show Low,AZ,Navajo,(928)537-5333,36,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10994,85044,Hawthorn Court At Ahwatukee,13822 SOUTH 46TH PLACE,AL10994C,Phoenix,AZ,Maricopa,(503)443-1818,55,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9505,85377,Heritage At Carefree Senior Living,36590 NORTH PIMA ROAD #3481,AL9505C,Carefree,AZ,Maricopa,(480)488-1622,60,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10589,85375,Heritage Legacy,13813 WEST WOODSIDE DRIVE,AL10589C,Sun City West,AZ,Maricopa,(623)546-9500,53,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11644,85207,Heritage Village Bldg 1,8035 EAST BROWN ROAD,AL11644C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10534,85207,Heritage Village Bldg 2,"8035 EAST BROWN ROAD, BUILDING 2",AL10534C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10536,85207,Heritage Village Bldg 3,"8035 EAST BROWN ROAD, BUILDING 3",AL10536C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10535,85207,Heritage Village Bldg 5,"8035 EAST BROWN ROAD, BUILDING 5",AL10535C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10537,85207,Heritage Village Bldg 6,"8035 EAST BROWN ROAD, BUILDING 6",AL10537C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10753,85207,Heritage Village Bldg 7,"8035 EAST BROWN ROAD, BUILDING 7",AL10753C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL10754,85207,Heritage Village Bldg 8,"8035 EAST BROWN ROAD, BUILDING 8",AL10754C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL11645,85207,Heritage Village Bldg 9,8035 EAST BROWN ROAD,AL11645C,Mesa,AZ,Maricopa,(480)686-8540,24,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL8333,86301,Highgate Senior Living Of Prescott Lakes,1600 PETROGLYPH POINTE DRIVE,AL8333C,Prescott,AZ,Yavapai,(928)541-1400,97,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL0962,85614,Holmlund Assisted Living Suites At La Posada,"700, 730 AND 750 SOUTH LA POSADA CIRCLE",AL0962C,Green Valley,AZ,Pima,(520)648-8400,176,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL9305,86045,Hopi Assisted Living Facility,"21 SENIOR LANE, NE HOPI SUBDIVISION,",AL9305C,Tuba City,AZ,Coconino,(928)283-8780,16,7/13/21
ASSISTED LIVING CENTER-DIRECTED,AL0227,85021,Huger Mercy Living Center,2345 WEST ORANGEWOOD AVENUE,AL0227C,Phoenix,AZ,Maricopa,(602)406-5600,48,7/13/21
