Facility Name,State Facility Type 1 Literal,Status,City,Address,Email Address,Facility ID,Capacity,County,Zip Code,Phone Number
"Dallas, Inc.",Residential Care Facilities,Closed,Adel,25747 N Avenue,CarolynDillard@dallasinc.org,250008,93,Dallas,50003-8277,(515) 993-4721
Danbury Circle,Assisted Living Programs,Closed,Waterloo,121 Danbury Circle,bmurphy@abcmcorp.com,S0175,16,Black Hawk,50701-9389,(319) 232-6906
Davenport Lutheran AL,Assisted Living Programs,Active,Davenport,1128 W 53rd St,,S0033,34,Scott,52806-2435,(563) 386-6933
Davis Center,Residential Care Facilities,Closed,Bloomfield,22425 Overland Avenue,dmccarty@optimaelifeservices.com,260567,6,Davis,52537-7169,(641) 664-3202
Deer View Manor,Assisted Living Programs,Active,Sigourney,1212 South Stuart Street,,S0325,50,Keokuk,52591,(641) 622-2142
Deerfield Place,Assisted Living Programs,Active,Sheffield,505 East Gilman St,,S0304,32,Franklin,50475,(641) 892-8080
Deerfield Retirement Community,Residential Care Facilities,Active,Urbandale,13731 Hickman Road,,770064,26,Polk,50323-2196,(515) 331-6900
"Deerfield Retirement Community, Inc.",Assisted Living Programs,Active,Urbandale,13731 Hickman Road,,S0362,40,Polk,50323,(515) 331-6903
Diamond Life Health Care,Residential Care Facilities,Closed,Montezuma,4912 Barnes City Road Box 820,dlife@zumatel.net,790725,50,Poweshiek,50171-0820,(641) 623-5715
Dora Barnes Residential Home,Assisted Living Programs,Closed,Centerville,305 W Washington St,,S0077,6,Appanoose,52544,(641) 437-1290
Dubuque Retirement Community,Assisted Living Programs,Closed,Dubuque,2700 Matthew John Drive,mnauman@alcco.com,S0227,274,Dubuque,52002-2929,(563) 690-1900
Duluth House,Residential Care Facilities,Active,Ames,620 Duluth Street,"mlenning@optimaelifeservices.com; 
 mfoster@optimaelifeservices.com",850672,8,Story,50010-5952,(515) 956-2600
Dumont Wellness Center,Residential Care Facilities,Closed,Dumont,921 Third Street,kallbee@abcmcorp.com,120888,5,Butler,50625-0347,(641) 857-3401
Duncan Heights,Residential Care Facilities,Closed,Garner,1465 Highway 18,cboyken@mchsi.com,410551,51,Hancock,50438-9619,(641) 923-3337
Dunlap Assisted Living,Assisted Living Programs,Active,Dunlap,1405 Harrison Road,,S0249,12,Harrison,51529-1565,(712) 643-2121
Dutchman'S Oak,Assisted Living Programs,Closed,Durant,,,s,0,Cedar,52747,() -
Dutchman's Oaks Assisted Living,Assisted Living Programs,Active,Dumont,921 3rd St. P.o. Box 347,,S0178,12,Butler,50625-1034,(641) 857-3401
Eagle Grove Group Home,Residential Care Facilities,Active,Eagle Grove,605 East Broadway,bklug@onevision.org,990493,12,Wright,50533-1820,(515) 448-5464
Eagle Pointe Place,Assisted Living Programs,Active,Dubuque,2700 Matthew John Drive,sroth@enlivant.com,S0348,138,Dubuque,52002,(563) 690-1900
Eagle Ridge Al,Assisted Living Programs,Closed,Elgin,6000 Harding Rd,eagleridge@acegroup.cc,S0099,14,Fayette,52141-0000,(563) 423-7365
Eagle Ridge Independent And Assisted Living,Assisted Living Programs,Active,Guttenberg,1329 Acre Street,,S0354,36,Clayton,52052,(563) 252-2288
Eastern Star Masonic Home,Residential Care Facilities,Active,Boone,715 West 3rd Street,rcolby@iowaoeshome.com; cflugstad@iowaoeshome.com,80268,125,Boone,50036-4000,(515) 432-5274
Edgewater Assisted Living - Brookside,Assisted Living Programs,Active,West Des Moines,9225 Cascade Avenue,,S0414,62,Dallas,50266,(515) 978-2610
Edinburgh Manor,Residential Care Facilities,Closed,Scotch Grove,13241 E23 County Home Road,rrogerson@communitycareinc.net,530041,47,Jones,52310-0000,(319) 462-3875
Ellen Kennedy Living Center,Assisted Living Programs,Active,Dyersville,1177 7th Street SW,,S0155,64,Dubuque,52040-2513,(563) 875-6323
Elm Care Center,Residential Care Facilities,Closed,Jewell,500 East Lane,,400800,37,Hamilton,50130-0520,(515) 827-5181
Elm Crest Retirement Comm,Assisted Living Programs,Active,Harlan,2108 12th Street,,S0059,64,Shelby,51537-2023,(712) 755-5174
Elm Heights Al,Assisted Living Programs,Closed,Shenandoah,1203 S Elm Street,mwiebold@smchospital.com,S0064,11,Page,51601-2221,(712) 246-7600
Elm Springs Independent And Assisted Living,Assisted Living Programs,Active,Allison,900 Seventh Street West,,S0095,36,Butler,50602-9452,(319) 267-2791
Elms,Assisted Living Programs,Active,Reinbeck,1007 3rd Street,,S0341,24,Grundy,50669,(319) 345-6811
"Elmwood PE, LLC",Assisted Living Programs,Active,Onawa,190 North 15th Street,,S0142,48,Monona,51040-1071,(712) 423-2510
Emerald Oaks,Assisted Living Programs,Active,Emmetsburg,2603 17th Street,,S0169,42,Palo Alto,50536-2032,(712) 852-4266
Emerson House,Residential Care Facilities,Closed,Waterloo,2009 Coachman Drive,"carrie.armbrecht@episervice.org; 
 bonnie.kipper@episervice.org; 
 kristine.olson@episervice.org; 
 Julie.loonan@episervice.org",70497,12,Black Hawk,50701-0000,(319) 232-5215
Emerson Point,Assisted Living Programs,Active,Iowa City,1355 Shannon Drive,,S0181,108,Johnson,52246-4192,(319) 466-0200
Epic House,Residential Care Facilities,Active,Waterloo,1210 Idaho Street,megan.henning@episervice.org; callie.johnson@episervice.org; incident.reports@episervice.org,70969,12,Black Hawk,50703,(319) 235-6183
Estabrook Lodge Assisted Living,Assisted Living Programs,Active,Eldora,2302 Rick Collins Way,,S0154,8,Hardin,50627-8357,(641) 939-3491
Eventide Lutheran Home,Residential Care Facilities,Closed,Denison,114 South 20th Street,mbaker@eventidehome.com,240324,12,Crawford,51442-2297,(712) 263-3114
Evergreen Estates I,Residential Care Facilities,Active,Cedar Rapids,3410 12th Avenue Sw,"pat@evergreenestates.biz; 
 mgiorgio_1@evergreenestates.biz",570002,50,Linn,52404-1307,(319) 396-3692
Evergreen Estates II,Residential Care Facilities,Active,Cedar Rapids,307 Edgewood Road SW,,570010,25,Linn,52404-1307,(319) 365-4116
Evergreen Estates III,Residential Care Facilities,Active,Cedar Rapids,2204 Johnson Avenue NW,,570492,50,Linn,52405-4757,(319) 363-8116
Fair Oaks Care Centre,Residential Care Facilities,Closed,Shenandoah,1201 South Walnut Street,admin.forcf@trilliumhcg.com,730994,27,Page,51601-2176,(712) 246-2055
Fairview Care Center,Residential Care Facilities,Closed,Anamosa,104 Broadway Place,a_ganzerbovitz@communitycareinc.net,530159,36,Jones,52205,(319) 432-7922
Faith Home Assisted Living,Assisted Living Programs,Active,Osage,912 Davidson Drive,,S0231,28,Mitchell,50461-1482,(641) 832-2580
First Resources Corp,Residential Care Facilities,Active,Keosauqua,19248 Maple Avenue,,890403,15,Van Buren,52565-8288,(319) 293-3107
Floyd House,Assisted Living Programs,Closed,Sergeant Bluff,403 C St,floydhouse@alcco.com,S0062,47,Woodbury,51054-7705,(712) 943-7025
Floyd Place,Assisted Living Programs,Active,Sergeant Bluff,403 C Street,,S0343,47,Woodbury,51054,(712) 943-7025
Forest Plaza AL,Assisted Living Programs,Active,Forest City,635 Hwy. 9 East,,S0131,80,Winnebago,50436-1028,(641) 585-1555
Fountain View Assisted Living,Assisted Living Programs,Active,Sioux City,5300 Gordon Drive East,,S0403,68,Woodbury,51106,(712) 276-3821
Franken Manor,Assisted Living Programs,Active,Sioux Center,527 North Main Ave,,S0076,60,Sioux,51250-0000,(712) 722-8174
Friendship Home Association Rcf,Residential Care Facilities,Closed,Audubon,714 North Division Street,friend@friendshiphome.com,50124,30,Audubon,50025-1300,(712) 563-2651
Garden View,Assisted Living Programs,Active,Carroll,502 South Maple Street,,S0376,72,Carroll,51401,(712) 794-5050
Garden View Al,Assisted Living Programs,Closed,Des Moines,4911 Sw 19th St,jstoker@pacificahealth.com,S0085,16,Polk,50315-4487,(515) 285-2559
Gardens Assisted Living,Assisted Living Programs,Active,Jefferson,1000 West Washington,,S0269,68,Greene,50129-4701,(515) 386-2555
Gardens at Cherokee,Assisted Living Programs,Active,Cherokee,1610 Highway 3,,S0278,68,Cherokee,51012,(712) 225-2999
Gardens of Cedar Rapids,Assisted Living Programs,Active,Cedar Rapids,5710 Dean Road SW,,S0411,60,Linn,52404,(319) 632-1350
Gateway Residential Care Facility,Residential Care Facilities,Closed,West Burlington,"Po Box 436,  13702 Washington Road",,290513,50,Des Moines,52655-0436,(319) 753-6261
Genesis Development,Residential Care Facilities,Closed,Winterset,1967 Highway 169 North Box 488,tljgenesis@hotmail.com,610431,51,Madison,50273-0230,(515) 462-9083
Georgian Court Of Oskaloosa,Residential Care Facilities,Closed,Oskaloosa,1320 High Avenue West,toweradm@iowatelecom.net,620807,47,Mahaska,52577-0000,(641) 673-5367
Glen Oaks Alzheimer's Special Care Center,Residential Care Facilities,Active,Urbandale,8525 Urbandale Avenue,,775543,66,Polk,50322-4108,(515) 331-0970
Golden Horizons,Assisted Living Programs,Active,Ida Grove,800 Byron Godbersen Drive,,S0316,46,Ida,51445,(712) 364-4128
Good Samaritan Society - Timber Ridge,Assisted Living Programs,Active,Ottumwa,#2 Oak Ridge Road,,S0310,48,Wapello,52501,(641) 684-3553
Good Samaritan Society - Waukon,Residential Care Facilities,Closed,Waukon,21 East Main Street,,30276,6,Allamakee,52172-1799,(563) 568-3447
Goode Residential Care Facility,Residential Care Facilities,Closed,Bloomfield,402 West Goode Street,rochea@mercyhealth.com,260580,15,Davis,52537-0000,(641) 664-2764
Grand Haven Retirement Community,Assisted Living Programs,Active,Eldridge,201 East Franklin Street,,S0410,152,Scott,52748,(563) 285-4900
Grand Jivante - The Lofts,Assisted Living Programs,Active,Ackley,1008 Second Avenue,,S0332,18,Hardin,50601,(641) 847-3531
Grand Living At Bridgewater,Assisted Living Programs,Closed,Coralville,3 Russell Slade Blvd.,kemrich@grandliving.com,S0375,190,Jones,52241,(319) 930-3000
Grand Living at Bridgewater,Assisted Living Programs,Active,Coralville,3 Russell Slade Blvd.,,S0383,190,Johnson,52241,(319) 930-3000
Grand Living at Indian Creek,Assisted Living Programs,Active,Cedar Rapids,325 Collins Road Se,,S0400,182,Linn,52403,(319) 930-3250
Grand Living At Tower Place Al,Assisted Living Programs,Active,West Des Moines,540 S 51st Street,abarth@grandliving.com,S0442,204,Polk,50265,(515) 505-0757
Grand Meadows AL,Assisted Living Programs,Active,Asbury,5300 Grand Meadow Drive,,S0423,16,Dubuque,52002,(563) 690-7150
Grandview Terrace,Residential Care Facilities,Closed,Davenport,4760 Rockingham Road,myersta@royalneighbors.org,820293,54,Scott,52802-2347,(563) 322-3591
Greenfield AL Community,Assisted Living Programs,Active,Greenfield,615 SE Kent,,S0050,40,Adair,50849-9454,(641) 743-6131
Greenleaf Health Care,Residential Care Facilities,Closed,Fort Dodge,1305 North 22nd Street,jfowler@dodgenet.com,940016,18,Webster,50501-5793,(515) 955-4145
Griswold Care Center AL,Assisted Living Programs,Active,Griswold,106 Harrison Street,,S0188,20,Cass,51535-8042,(712) 778-2534
Halcyon House,Residential Care Facilities,Closed,Washington,1015 South Iowa Avenue,cmarshall@wesleyservices.org,920323,7,Washington,52353-1199,(319) 653-7264
Halcyon House - Sitler Center For Helpful Living,Assisted Living Programs,Active,Washington,1015 South Iowa Avenue,,S0392,18,Washington,52353,(319) 653-7264
"Hammond Center, LLC",Assisted Living Programs,Active,Grinnell,907 Orchard Drive,,S0402,38,Poweshiek,50112,(641) 269-5454
Handicapped Development Center #7,Residential Care Facilities,Active,Davenport,4109 White Pines Drive,keyandraharrington@hdcmail.org,820465,8,Scott,52804-0000,(563) 391-4834
Handicapped Development Center #8,Residential Care Facilities,Active,Davenport,3518 Hillandale Road,lindagill@hdcmail.org,820466,8,Scott,52806-0000,(563) 391-4834
Handicapped Development Center #9,Residential Care Facilities,Active,Davenport,1815 West 59th Street,lindagill@hdcmail.org,820467,8,Scott,52806-0000,(563) 391-4834
Hartley Senior Wellness Center,Residential Care Facilities,Closed,Hartley,611 Third Street Ne,cmhc@tcaexpress.net,710023,19,O'Brien,51346-8010,(712) 728-2231
Hazel House,Residential Care Facilities,Closed,Ames,124 South Hazel Avenue,"mfoster@optimaelifeservices.com; 
 jbarber@optimaelifeservices.com",850670,8,Story,50010-5952,(515) 956-2600
Heartland Care Center,Assisted Living Programs,Active,Marcus,604 E. Fenton,,S0014,21,Cherokee,51035-7170,(712) 376-2500
Heartland Care Ctr AL,Assisted Living Programs,Closed,Marcus,604 East Fenton,,S0014,21,Cherokee,51035-0000,(712) 376-2500
Heartwood Heights,Assisted Living Programs,Active,Sibley,409 9th Ave North,,S0101,44,Osceola,51249-0000,(712) 754-3009
Heritage At Fox Run Assisted Living,Assisted Living Programs,Active,Council Bluffs,3121 Macineery Drive,,S0193,132,Pottawattamie,51501,(712) 256-2741
Heritage House,Assisted Living Programs,Active,Atlantic,1200 Brookridge Cir,,S0055,108,Cass,50022-2304,(712) 243-1850
Heritage House,Residential Care Facilities,Closed,Atlantic,1200 Brookridge Circle,,150075,15,Cass,50022-2351,(712) 243-1850
Heritage House,Residential Care Facilities,Closed,Malvern,103 Third Street,,650302,25,Mills,51551-0060,(712) 624-8000
Heritage Residence,Residential Care Facilities,Active,New Hampton,2275 South Linn Avenue Po Box  110,,190405,16,Chickasaw,50659-0110,(641) 394-2391
Highland Park Care Center,Residential Care Facilities,Closed,Des Moines,3620 Fourth Street,,770897,15,Polk,50313-4343,(515) 243-2150
Highland Place,Residential Care Facilities,Closed,Ottumwa,13011 120th Avenue,deb.lang@hillcrest-fs.org; jim.mcdaniel@hillcrest-fs.org; carol.allman@hillcrest-fs.org,900434,31,Wapello,52501-8662,(641) 684-6692
Highland Ridge,Assisted Living Programs,Active,Williamsburg,100 Village View Circle,,S0196,94,Iowa,52361-9684,(319) 668-3800
Higley Mansion Care Center,Residential Care Facilities,Closed,Cedar Rapids,860 17th Street Se,,570031,50,Linn,52403-2610,(319) 364-6710
Hill Boarding Home #1,Residential Care Facilities,Closed,Des Moines,1711 Tenth Street,,770632,12,Polk,50314-2414,(515) 244-2194
Hill Group Home #2,Residential Care Facilities,Closed,Des Moines,1720 Seventh Street,,770743,12,Polk,50314-2901,(515) 243-5411
Hillcrest Court,Assisted Living Programs,Closed,Sidney,115 Main Street,,S0145,9,Fremont,51652-0000,(712) 374-2693
Hillcrest Family Services - Rcf,Residential Care Facilities,Active,Dubuque,1160 Seippel Road,,310829,66,Dubuque,52002-9647,(563) 583-1791
Hillcrest Family Services - Rcf,Residential Care Facilities,Closed,Dubuque,13034 Seippel Road,todd.birch@hillcrest-fs.org,310829,72,Dubuque,52002,(563) 583-1791
Hillcrest House,Residential Care Facilities,Closed,Cedar Rapids,1744 Second Avenue Se,,570078,14,Linn,52403-0000,(319) 365-1205
Hillcrest Residence,Residential Care Facilities,Closed,Iowa City,214 Church Street,,520027,14,Johnson,52245-1902,(319) 337-7315
Hillside Estates,Residential Care Facilities,Closed,Williamsburg,2227 225th Street,hillsideadmin@hughes.net,480653,63,Iowa,52361-8503,(319) 668-1659
Hillside Terrace,Assisted Living Programs,Closed,Spencer,1209 12th Street Se,kerri.kofoot@stlukelh.com,S0216,50,Clay,51301-6090,(712) 262-5934
