Facility Name,State Facility Type 1 Literal,City,Address,Email Address,Facility ID,Capacity,County,Zip Code,Phone Number,Date Accessed,State
Elm Springs Independent And Assisted Living,ASSISTED LIVING PROGRAMS,Allison,900 SEVENTH STREET WEST,,S0095,36,Butler,50602-9452,(319) 267-2791,6/24/21,IA
Elms,ASSISTED LIVING PROGRAMS,Reinbeck,1007 3RD STREET,,S0341,24,Grundy,50669,(319) 345-6811,6/24/21,IA
"Elmwood Pe, Llc",ASSISTED LIVING PROGRAMS,Onawa,190 NORTH 15TH STREET,,S0142,48,Monona,51040-1071,(712) 423-2510,6/24/21,IA
Emerald Oaks,ASSISTED LIVING PROGRAMS,Emmetsburg,2603 17TH STREET,,S0169,42,Palo Alto,50536-2032,(712) 852-4266,6/24/21,IA
Emerson Point,ASSISTED LIVING PROGRAMS,Iowa City,1355 SHANNON DRIVE,,S0181,108,Johnson,52246-4192,(319) 466-0200,6/24/21,IA
Estabrook Lodge Assisted Living,ASSISTED LIVING PROGRAMS,Eldora,2302 RICK COLLINS WAY,,S0154,8,Hardin,50627-8357,(641) 939-3491,6/24/21,IA
Faith Home Assisted Living,ASSISTED LIVING PROGRAMS,Osage,912 DAVIDSON DRIVE,,S0231,28,Mitchell,50461-1482,(641) 832-2580,6/24/21,IA
Floyd Place,ASSISTED LIVING PROGRAMS,Sergeant Bluff,403 C STREET,,S0343,47,Woodbury,51054,(712) 943-7025,6/24/21,IA
Forest Plaza Al,ASSISTED LIVING PROGRAMS,Forest City,635 HWY. 9 EAST,,S0131,80,Winnebago,50436-1028,(641) 585-1555,6/24/21,IA
Fountain View Assisted Living,ASSISTED LIVING PROGRAMS,Sioux City,5300 GORDON DRIVE EAST,,S0403,68,Woodbury,51106,(712) 276-3821,6/24/21,IA
Franken Manor,ASSISTED LIVING PROGRAMS,Sioux Center,527 NORTH MAIN AVE,,S0076,60,Sioux,51250-0000,(712) 722-8174,6/24/21,IA
Garden View,ASSISTED LIVING PROGRAMS,Carroll,502 SOUTH MAPLE STREET,,S0376,72,Carroll,51401,(712) 794-5050,6/24/21,IA
Gardens Assisted Living,ASSISTED LIVING PROGRAMS,Jefferson,1000 WEST WASHINGTON,,S0269,68,Greene,50129-4701,(515) 386-2555,6/24/21,IA
Gardens At Cherokee,ASSISTED LIVING PROGRAMS,Cherokee,1610 HIGHWAY 3,,S0278,68,Cherokee,51012,(712) 225-2999,6/24/21,IA
Gardens Of Cedar Rapids,ASSISTED LIVING PROGRAMS,Cedar Rapids,5710 DEAN ROAD SW,,S0411,60,Linn,52404,(319) 632-1350,6/24/21,IA
Golden Horizons,ASSISTED LIVING PROGRAMS,Ida Grove,800 BYRON GODBERSEN DRIVE,,S0316,46,Ida,51445,(712) 364-4128,6/24/21,IA
Good Samaritan Society - Timber Ridge,ASSISTED LIVING PROGRAMS,Ottumwa,#2 OAK RIDGE ROAD,,S0310,48,Wapello,52501,(641) 684-3553,6/24/21,IA
Grand Haven Retirement Community,ASSISTED LIVING PROGRAMS,Eldridge,201 EAST FRANKLIN STREET,,S0410,152,Scott,52748,(563) 285-4900,6/24/21,IA
Grand Jivante - The Lofts,ASSISTED LIVING PROGRAMS,Ackley,1008 SECOND AVENUE,,S0332,18,Hardin,50601,(641) 847-3531,6/24/21,IA
Grand Living At Bridgewater,ASSISTED LIVING PROGRAMS,Coralville,3 RUSSELL SLADE BLVD.,,S0383,190,Johnson,52241,(319) 930-3000,6/24/21,IA
Grand Living At Indian Creek,ASSISTED LIVING PROGRAMS,Cedar Rapids,325 COLLINS ROAD SE,,S0400,182,Linn,52403,(319) 930-3250,6/24/21,IA
Grand Living At Tower Place Al,ASSISTED LIVING PROGRAMS,West Des Moines,540 S 51ST STREET,abarth@grandliving.com,S0442,204,Polk,50265,(515) 505-0757,6/24/21,IA
Grand Meadows Al,ASSISTED LIVING PROGRAMS,Asbury,5300 GRAND MEADOW DRIVE,,S0423,16,Dubuque,52002,(563) 690-7150,6/24/21,IA
Greenfield Al Community,ASSISTED LIVING PROGRAMS,Greenfield,615 SE KENT,,S0050,40,Adair,50849-9454,(641) 743-6131,6/24/21,IA
Griswold Care Center Al,ASSISTED LIVING PROGRAMS,Griswold,106 HARRISON STREET,,S0188,20,Cass,51535-8042,(712) 778-2534,6/24/21,IA
Halcyon House - Sitler Center For Helpful Living,ASSISTED LIVING PROGRAMS,Washington,1015 SOUTH IOWA AVENUE,,S0392,18,Washington,52353,(319) 653-7264,6/24/21,IA
"Hammond Center, Llc",ASSISTED LIVING PROGRAMS,Grinnell,907 ORCHARD DRIVE,,S0402,38,Poweshiek,50112,(641) 269-5454,6/24/21,IA
Heartland Care Center,ASSISTED LIVING PROGRAMS,Marcus,604 E. FENTON,,S0014,21,Cherokee,51035-7170,(712) 376-2500,6/24/21,IA
Heartwood Heights,ASSISTED LIVING PROGRAMS,Sibley,409 9TH AVE NORTH,,S0101,44,Osceola,51249-0000,(712) 754-3009,6/24/21,IA
Heritage At Fox Run Assisted Living,ASSISTED LIVING PROGRAMS,Council Bluffs,3121 MACINEERY DRIVE,,S0193,132,Pottawattamie,51501,(712) 256-2741,6/24/21,IA
Heritage House,ASSISTED LIVING PROGRAMS,Atlantic,1200 BROOKRIDGE CIR,,S0055,108,Cass,50022-2304,(712) 243-1850,6/24/21,IA
Highland Ridge,ASSISTED LIVING PROGRAMS,Williamsburg,100 VILLAGE VIEW CIRCLE,,S0196,94,Iowa,52361-9684,(319) 668-3800,6/24/21,IA
Holland Farms Senior Living,ASSISTED LIVING PROGRAMS,Norwalk,2800 SUNSET DRIVE,,S0448,120,Warren,50211,(515) 981-1888,6/24/21,IA
Homestead Assisted Living,ASSISTED LIVING PROGRAMS,Mason City,2501 W. STATE STREET,,S0045,70,Cerro Gordo,50401-8916,(641) 423-4809,6/24/21,IA
Homestead Of Albia,ASSISTED LIVING PROGRAMS,Albia,6592 165TH STREET,,S0333,70,Monroe,52531,(641) 932-2102,6/24/21,IA
Homestead Of Chariton,ASSISTED LIVING PROGRAMS,Chariton,1110 NORTH 6TH STREET,,S0233,70,Lucas,50049-1265,(641) 774-2303,6/24/21,IA
Homestead Of Creston Al,ASSISTED LIVING PROGRAMS,Creston,1709 WEST PRAIRIE,mjameson@homesteadofosceola.com,S0429,76,Union,50801,(641) 782-3131,6/24/21,IA
Homestead Of Knoxville,ASSISTED LIVING PROGRAMS,Knoxville,908 SOUTH PARK LANE,,S0132,122,Marion,50138-3176,(641) 828-7878,6/24/21,IA
"Homestead Of Osceola Operations, Llc",ASSISTED LIVING PROGRAMS,Osceola,334 N. WEST VIEW DRIVE,,S0391,74,Clarke,50213,(641) 342-1036,6/24/21,IA
Homestead Of Oskaloosa,ASSISTED LIVING PROGRAMS,Oskaloosa,2107 SOUTH MARKET STREET,,S0428,96,Mahaska,52577,(641) 672-1090,6/24/21,IA
Huskamp Haven,ASSISTED LIVING PROGRAMS,Algona,300 RIVERVIEW DRIVE,,S0242,32,Kossuth,50511-3241,(515) 395-3300,6/24/21,IA
Independence Village Of Ames,ASSISTED LIVING PROGRAMS,Ames,"1325 COCONINO RD, STE 300",,S0041,122,Story,50014-7842,(515) 292-2858,6/24/21,IA
Independence Village Of Ankeny Al,ASSISTED LIVING PROGRAMS,Ankeny,1275 SW STATE STREET,,S0419,88,Polk,50023,(515) 963-4000,6/24/21,IA
Independence Village Of Pella Al,ASSISTED LIVING PROGRAMS,Pella,2604 FIFIELD ROAD,,S0404,68,Marion,50219,(641) 628-8260,6/24/21,IA
Independence Village Of Waukee Al,ASSISTED LIVING PROGRAMS,Waukee,1654 SE HOLIDAY CREST CIRCLE,,S0257,80,Dallas,50263-8685,(515) 987-3625,6/24/21,IA
Indian Creek Independent & Assisted Living Apts.,ASSISTED LIVING PROGRAMS,Nevada,98 SOUTH 6TH STREET,,S0324,36,Story,50201,(515) 382-6556,6/24/21,IA
Irving Point,ASSISTED LIVING PROGRAMS,Cedar Rapids,910 7TH AVENUE SE,,S0286,110,Linn,52401,(319) 294-5007,6/24/21,IA
Keelson Harbour Senior Living Al,ASSISTED LIVING PROGRAMS,Spirit Lake,2810 AURORA AVENUE,,S0406,134,Dickinson,51360,(712) 336-4501,6/24/21,IA
Kennybrook Village,ASSISTED LIVING PROGRAMS,Grimes,200 SW BROOKSIDE DRIVE,,S0323,68,Polk,50111,(515) 369-3900,6/24/21,IA
Kensington (The),ASSISTED LIVING PROGRAMS,Fort Madison,2210 AVENUE H,,S0381,91,Lee,52627,(319) 372-4233,6/24/21,IA
Kensington Place,ASSISTED LIVING PROGRAMS,New Hampton,504 SHORT AVENUE,,S0202,68,Chickasaw,50659-1867,(641) 394-4153,6/24/21,IA
Kentucky Ridge Neighborhood Al,ASSISTED LIVING PROGRAMS,Mason City,2060 KENTUCKY AVENUE SOUTH,,S0153,120,Cerro Gordo,50401-7129,(641) 423-5707,6/24/21,IA
Keystone Cedars Assisted Living,ASSISTED LIVING PROGRAMS,Cedar Rapids,6325 ROCKWELL DRIVE NE,,S0389,122,Linn,52402,(319) 393-9500,6/24/21,IA
Keystone Place At Forevergreen Al,ASSISTED LIVING PROGRAMS,North Liberty,1275 W. FOREVERGREEN ROAD,,S0393,112,Johnson,52317,(319) 459-1964,6/24/21,IA
Keystone Senior Suites,ASSISTED LIVING PROGRAMS,Keystone,251 6TH ST,,S0018,24,Benton,52249-9538,(319) 442-3234,6/24/21,IA
Kingston Court,ASSISTED LIVING PROGRAMS,Elkader,118 REIMER STREET SW,,S0152,42,Clayton,52043-9558,(563) 245-1620,6/24/21,IA
Kosgrove Estate,ASSISTED LIVING PROGRAMS,Sioux Center,4155 US 75,,S0115,20,Sioux,51250-7522,(712) 722-4972,6/24/21,IA
Lakeside Assisted Living,ASSISTED LIVING PROGRAMS,Emmetsburg,401 NORTH LAWLER STREET,,S0340,24,Palo Alto,50536,(712) 852-4060,6/24/21,IA
Lakeview Village,ASSISTED LIVING PROGRAMS,Amana,3012 F DRIVE,,S0103,56,Iowa,52203-8224,(319) 622-6500,6/24/21,IA
Lamoni Assisted Living,ASSISTED LIVING PROGRAMS,Lamoni,810 EAST THIRD,,S0256,10,Decatur,50140-1300,(641) 784-8910,6/24/21,IA
Landsmeer Ridge Retirement Comm,ASSISTED LIVING PROGRAMS,Orange City,"1007 7TH STREET, NE",,S0037,44,Sioux,51041-1190,(712) 737-8947,6/24/21,IA
Lawton Senior Living,ASSISTED LIVING PROGRAMS,Lawton,200 E CHAR-MAC DR,,S0074,50,Woodbury,51030-8171,(712) 944-4893,6/24/21,IA
Leahy Grove Independent And Assisted Living,ASSISTED LIVING PROGRAMS,Hampton,800 SECOND STREET SE,,S0305,32,Franklin,50441-2626,(641) 456-2701,6/24/21,IA
Legacy Pointe,ASSISTED LIVING PROGRAMS,Iowa City,1020 S. SCOTT BLVD.,,S0116,136,Johnson,52240-5832,(319) 341-0911,6/24/21,IA
Leland R Smith Assisted Living Residences,ASSISTED LIVING PROGRAMS,Wilton,309 OVESEN DRIVE,,S0187,48,Muscatine,52778-9605,(563) 732-2086,6/24/21,IA
Lincolnway Villa Al,ASSISTED LIVING PROGRAMS,Wheatland,320 EAST LINCOLNWAY,,S0171,28,Clinton,52777-9731,(563) 374-1295,6/24/21,IA
Lincolnwood Assisted Living,ASSISTED LIVING PROGRAMS,Edgewood,"302 W LINCOLN, PO BOX 189",,S0082,54,Delaware,52042-0189,(563) 928-6461,6/24/21,IA
Linden Place Al,ASSISTED LIVING PROGRAMS,Waverly,1802 5TH AVE NW,,S0088,60,Bremer,50677-1903,(319) 352-8851,6/24/21,IA
Lindens,ASSISTED LIVING PROGRAMS,Ames,2355 HAMILTON CIRCLE,,S0327,32,Story,50014,(515) 296-5000,6/24/21,IA
Linnwood Estates,ASSISTED LIVING PROGRAMS,Glenwood,700 NORTH LINN STREET,,S0191,50,Mills,51534-1100,(712) 527-1035,6/24/21,IA
Lutheran Home Apts,ASSISTED LIVING PROGRAMS,Vinton,1413 2ND AVE,,S0034,36,Benton,52349-1695,(319) 472-2092,6/24/21,IA
Maggie'S House Assisted Living,ASSISTED LIVING PROGRAMS,Dewitt,107 E 2ND,,S0089,40,Clinton,52742-2140,(563) 659-1678,6/24/21,IA
Main Street Manor,ASSISTED LIVING PROGRAMS,Swea City,207 3RD STREET NORTH,,S0312,34,Kossuth,50590,(515) 477-0139,6/24/21,IA
Manning Senior Living,ASSISTED LIVING PROGRAMS,Manning,203 11TH STREET,,S0356,53,Carroll,51455,(712) 655-4893,6/24/21,IA
Maple Grove Senior Living,ASSISTED LIVING PROGRAMS,Centerville,1917 SOUTH 18TH STREET,,S0148,30,Appanoose,52544-3136,(641) 856-6601,6/24/21,IA
Maple Manor Village,ASSISTED LIVING PROGRAMS,Aplington,343 PARRIOTT,,S0048,36,Butler,50604-1063,(319) 347-1502,6/24/21,IA
Maple Ridge Al,ASSISTED LIVING PROGRAMS,Mt Ayr,1500 EAST SOUTH STREET,,S0136,24,Ringgold,50854-2262,(641) 464-3204,6/24/21,IA
Maples Assisted Living,ASSISTED LIVING PROGRAMS,Fayette,98 BOLGER DRIVE,,S0204,26,Fayette,52142-9716,(563) 425-4160,6/24/21,IA
Martina Place,ASSISTED LIVING PROGRAMS,Johnston,5815 WINWOOD DR,,S0002,120,Polk,50131-1666,(515) 251-7999,6/24/21,IA
Mayflower Home,ASSISTED LIVING PROGRAMS,Grinnell,927 1ST AVE,,S0071,17,Poweshiek,50112-2480,(641) 236-6151,6/24/21,IA
Meadows (The),ASSISTED LIVING PROGRAMS,Manchester,200 MCCARREN DR,,S0069,74,Delaware,52057-0000,(563) 927-6467,6/24/21,IA
Meadows Assisted Living,ASSISTED LIVING PROGRAMS,Clarion,1302 SOUTH MAIN STREET,,S0225,42,Wright,50525-2091,(515) 532-2035,6/24/21,IA
Meadows Of Shell Rock,ASSISTED LIVING PROGRAMS,Shell Rock,528 N KELLY ST,,S0084,60,Butler,50670-1006,(319) 885-4341,6/24/21,IA
Melrose Meadows Retirement Community,ASSISTED LIVING PROGRAMS,Iowa City,350 DUBLIN DRIVE,,S0159,52,Johnson,52246-6013,(319) 341-7893,6/24/21,IA
Mica Hill Estates,ASSISTED LIVING PROGRAMS,Hawarden,2121 AVE L,,S0097,28,Sioux,51023-1361,(712) 551-1074,6/24/21,IA
Mill Pond Al,ASSISTED LIVING PROGRAMS,Ankeny,1201 SE MILL POND COURT,,S0399,80,Polk,50021,(515) 965-3107,6/24/21,IA
Mills Harbour Independent & Assisted Living,ASSISTED LIVING PROGRAMS,Lake Mills,311 SOUTH 10TH AVENUE E,,S0262,70,Winnebago,50450-1870,(641) 592-4900,6/24/21,IA
Mj Estates,ASSISTED LIVING PROGRAMS,Exira,411 S. CARTHAGE STREET,,S0364,32,Audubon,50076,(712) 268-5393,6/24/21,IA
Morningstar At Jordan Creek,ASSISTED LIVING PROGRAMS,West Des Moines,525 S. 60TH STREET,,S0387,93,Dallas,50266,(515) 505-7155,6/24/21,IA
Mulberry Place,ASSISTED LIVING PROGRAMS,Bloomfield,11 DEBORAH DRIVE,,S0123,28,Davis,52537-1174,(641) 664-2523,6/24/21,IA
Murphy Place Assisted Living,ASSISTED LIVING PROGRAMS,Corydon,620 EAST MONROE,,S0190,20,Wayne,50060-1620,(641) 872-3993,6/24/21,IA
Newton Village Inc.,ASSISTED LIVING PROGRAMS,Newton,122 NORTH 5TH AVENUE WEST,,S0416,70,Jasper,50208,(641) 792-0115,6/24/21,IA
Northridge Village,ASSISTED LIVING PROGRAMS,Ames,3300 GEORGE WASHINGTON CARVER AVENUE,,S0353,68,Story,50010,(515) 232-1000,6/24/21,IA
Northwood Pines,ASSISTED LIVING PROGRAMS,Northwood,"700 10TH STREET, NORTH",,S0271,32,Worth,50459-1004,(641) 324-0061,6/24/21,IA
Oak Estates,ASSISTED LIVING PROGRAMS,Conrad,110 ALICE STREET,,S0105,32,Grundy,50621-2019,(641) 366-3115,6/24/21,IA
Oak Park Place,ASSISTED LIVING PROGRAMS,Dubuque,1381 OAK PARK PLACE,,S0418,84,Dubuque,52002,(563) 585-4900,6/24/21,IA
Oakhill Assisted Living,ASSISTED LIVING PROGRAMS,Hawarden,1126 OAK HILL DRIVE,,S0102,18,Sioux,51023-1368,(712) 551-4284,6/24/21,IA
Oakland Heights,ASSISTED LIVING PROGRAMS,Oakland,904 N SCENIC DR,,S0070,24,Pottawattamie,51560-4070,(712) 482-3566,6/24/21,IA
Oaks At Parkview Care Center,ASSISTED LIVING PROGRAMS,Fairfield,2235 HWY 34,,S0276,32,Jefferson,52556,(641) 472-5022,6/24/21,IA
Oakwood Place At Ridgecrest Village,ASSISTED LIVING PROGRAMS,Davenport,4130 NORTHWEST BLVD.,,S0430,90,Scott,52806,(563) 391-3430,6/24/21,IA
Odebolt Assisted Living,ASSISTED LIVING PROGRAMS,Odebolt,799 SOUTH DES MOINES,,S0250,12,Sac,51458-1032,(712) 668-2224,6/24/21,IA
Oneota Village,ASSISTED LIVING PROGRAMS,Decorah,5 OHIO STREET,,S0206,32,Winneshiek,52101-1563,(563) 382-1869,6/24/21,IA
Otsego Place,ASSISTED LIVING PROGRAMS,Storm Lake,520 OTSEGO STREET,,S0184,84,Buena Vista,50588-1760,(712) 299-4750,6/24/21,IA
