Entity Name,Entity Type,Status,City,Address,Email,Renewal Cycle,Entity Type Renewal Cycle(months),Initial License Date,Expiration Date,Current License Date,Entity Type Survey Cycle(months),Medicaid #,CNN #,Classification #,Occupancy Type,Max Occupancy,County,State,Zip,Administrator / License,Phone,Fax,Url,Closed Date,Months since last survey,Accreditation,Accredited / Deemed,LSC Waiver,Licensure Rule Variance
Ashbrook Assisted Living,Assisted Living Programs,Active,Iowa Falls,1121 Fremont Street,,730,24,6/13/02,6/12/22,6/12/20,24,,,S0143,Units,82,Hardin,Iowa,50126-1389,Alyssa Vieth / Administrator,(641) 648-8080,(641) 648-8076,,,32,FALSE,FALSE,FALSE,FALSE
Aspen Heights Assisted Living,Assisted Living Programs,Active,Hull,1410 Aspen Street,,730,24,7/29/11,7/28/21,7/29/19,24,,,S0320,Units,48,Sioux,Iowa,51239,Becky Brown /,(712) 439-6715,(712) 439-6717,,,17,FALSE,FALSE,FALSE,FALSE
Assisi Village Assisted Living,Assisted Living Programs,Active,Dubuque,1001 Assisi Drive,,730,24,11/9/09,11/8/21,11/9/19,24,,,S0301,Units,68,Dubuque,Iowa,52001-1312,Lisa Crawford / Administrator,(563) 583-8234,(563) 583-8398,,,17,FALSE,FALSE,FALSE,FALSE
Assisted Living At Northcrest Community,Assisted Living Programs,Active,Ames,2310 Northcrest Parkway,bbrouwer@northcrestcommunity.org,720,24,10/2/20,10/1/21,10/12/19,24,,,S0437,Units,64,Story,Iowa,50010,Brenda Brouwer /,(515) 232-6760,(515) 233-2935,,,,FALSE,FALSE,FALSE,FALSE
Avoca Lodge AL,Assisted Living Programs,Active,Avoca,612 East York Road,,730,24,2/28/02,2/27/22,2/28/20,24,,,S0138,Units,40,Pottawattamie,Iowa,51521-4504,Kari Simmons / 084504,(712) 343-2400,(712) 343-2501,,,39,FALSE,FALSE,FALSE,FALSE
Azria Health - Rose Vista Assisted Living,Assisted Living Programs,Active,Woodbine,"1108 Park Street, PO Box 6",,730,24,9/27/02,9/26/22,9/26/20,24,,,S0156,Units,15,Harrison,Iowa,51579-0006,Kara Behrendt / Administrator,(712) 647-2010,(712) 647-3235,,,24,FALSE,FALSE,FALSE,FALSE
Azria Health Longview AL,Assisted Living Programs,Active,Missouri Valley,1010 Longview Rd,,730,24,10/14/97,5/31/22,5/31/20,24,,,S0001,Units,36,Harrison,Iowa,51555-1227,Doug  Williams /,(712) 642-2264,(712) 642-2578,,,30,FALSE,FALSE,FALSE,FALSE
Azria Health Winterset,Residential Care Facilities,Active,Winterset,1015 West Summit,dlehman@azriahealth.com,365,12,11/1/00,9/17/21,9/17/20,30,,,610812,Beds,18,Madison,Iowa,50273-2209,DWALA LEHMAN /,(515) 462-1711,(515) 462-4868,,,23,FALSE,FALSE,FALSE,FALSE
Ballard Creek Community,Assisted Living Programs,Active,Huxley,908 N Hwy 69,,730,24,1/15/98,5/31/23,5/31/21,24,,,S0007,Units,80,Story,Iowa,50124-9764,Elli Godwin Snodgrass / 098156,(515) 597-2555,(515) 597-3877,,,19,FALSE,FALSE,FALSE,FALSE
Bavarian Meadows,Assisted Living Programs,Active,Remsen,632 - L14; PO Box 265,,730,24,5/18/09,5/27/21,5/28/19,24,,,S0293,Units,44,Plymouth,Iowa,51050,Becky Brown /,(712) 786-1660,(712) 786-1662,,,19,FALSE,FALSE,FALSE,FALSE
Belle Haven Independent and Assisted Living,Assisted Living Programs,Active,Belmond,815 Luicks Lane North,,730,24,3/12/09,3/11/23,3/11/21,24,,,S0291,Units,32,Wright,Iowa,50421-7664,Kathie Muhlenbruch / 002469,(641) 444-3915,(641) 444-7122,,,29,FALSE,FALSE,FALSE,FALSE
Bickford Cottage Cedar Falls,Assisted Living Programs,Active,Cedar Falls,5101 University,,730,24,2/1/99,1/31/23,1/31/21,24,,,S0028,Units,74,Black Hawk,Iowa,50613-6246,Holly Smith / Director,(319) 266-6800,(319) 277-1294,,,23,FALSE,FALSE,FALSE,FALSE
Bickford Cottage I Sioux City,Assisted Living Programs,Active,Sioux City,4020 Indian Hills Dr,,730,24,6/1/97,5/31/22,5/31/20,24,,,S0006,Units,44,Woodbury,Iowa,51108-1418,Jill Colling / administrator,(712) 239-2065,(712) 239-3417,,,34,FALSE,FALSE,FALSE,FALSE
Bonnett Family Care Home,Residential Care Facilities,Closed,Knoxville,"617 East Marion, Po Box 267",,365,12,1/1/93,1/1/11,1/1/10,30,,,630793,Beds,14,Marion,Iowa,50138-0267,JOYCE  BONNETT /,(641) 828-7318,() -,,5/31/10,138,FALSE,FALSE,FALSE,FALSE
Boulevard Place,Assisted Living Programs,Closed,Des Moines,900 Polk Blvd,,365,24,5/3/99,5/2/07,5/2/06,24,,,S0044,Units,16,Polk,Iowa,50312-0000,Sarah  Farnsworth /,(515) 255-5433,(515) 277-8898,,11/20/06,195,FALSE,FALSE,FALSE,FALSE
Boyson Heights Senior Living Community,Assisted Living Programs,Active,Cedar Rapids,765 Boyson Road Ne,,730,24,1/14/21,1/12/22,1/13/20,24,,,S0439,Units,132,Linn,Iowa,52402,Megan  Kleffman / null,(319) 775-4524,(319) 449-9891,,,,FALSE,FALSE,FALSE,FALSE
Brees Rest Home,Residential Care Facilities,Active,Albia,210 Washington Avenue East,breesresthome@yahoo.com,365,12,2/1/04,2/1/22,2/1/21,30,890962,,680656,Beds,9,Monroe,Iowa,52531-2029,HEATHER  HINDMAN / 0656,(641) 932-5517,() -,,,29,FALSE,FALSE,FALSE,FALSE
Briarcliff Retirement Ctr,Assisted Living Programs,Closed,Altoona,3734 8th St Sw,,365,24,7/1/98,6/28/05,6/28/04,24,,,S0016,Units,42,Polk,Iowa,50009-0000,Connie  Clark /,(515) 967-4511,(515) 967-3672,,7/27/05,,FALSE,FALSE,FALSE,FALSE
Briarwood Care Center,Residential Care Facilities,Closed,Maquoketa,416 South Clark Street,ginabramer@hotmail.com,365,12,3/5/04,3/5/09,3/5/08,30,896357,,490571,Beds,15,Jackson,Iowa,52060-3226,REGINA  BRAMER / 0571,(563) 652-5354,(563) 652-4300,,11/17/08,173,FALSE,FALSE,FALSE,FALSE
Brio of Johnston Assisted Living,Assisted Living Programs,Active,Johnston,6901 Peckham Street,,730,24,10/18/18,10/18/22,10/18/20,24,,,S0395,Units,68,Polk,Iowa,50131,Teresa Krueger /,(515) 350-7781,(515) 350-7782,,,25,FALSE,FALSE,FALSE,FALSE
Bryhl Assisted Living,Assisted Living Programs,Active,Cedar Falls,7511 University Avenue,,730,24,2/15/07,2/14/23,2/14/21,24,,,S0251,Units,68,Black Hawk,Iowa,50613-5027,Paula Padavich / Administrator,(319) 268-0401,(319) 268-0040,,,3,FALSE,FALSE,FALSE,FALSE
Calhoun House,Residential Care Facilities,Active,Ames,3911 Calhoun Avenue,"mlenning@optimaelifeservices.com; 
 mfoster@optimaelifeservices.com",365,12,,5/1/22,5/1/21,30,895433,,850671,Beds,8,Story,Iowa,50010-5952,MEESHA LENNING /,(515) 956-2600,(515) 956-2601,,,22,FALSE,FALSE,FALSE,FALSE
Calvin Community AL,Assisted Living Programs,Active,Des Moines,4210 Hickman Road,,730,24,8/24/19,8/23/21,8/24/19,24,,,S0412,Units,162,Polk,Iowa,50310,Carl Koedam /,(515) 633-2657,(515) 633-2534,,,20,FALSE,FALSE,FALSE,FALSE
Camelot Square Group Home,Residential Care Facilities,Active,Denison,1011 Fifth Avenue North,dbrown@wescoind.org,365,12,9/1/83,9/1/21,9/1/20,30,893248,,240025,Beds,13,Crawford,Iowa,51442-0000,DEIDRA BROWN /,(712) 263-4073,(712) 263-4886,,,31,FALSE,FALSE,FALSE,FALSE
Cardinal Grove,Assisted Living Programs,Active,Garner,1355 Division Street,,730,24,7/12/01,7/11/21,7/12/19,24,,,S0119,Units,28,Hancock,Iowa,50438-1968,Jamie Harkema / Manager,(641) 923-2677,(641) 923-0074,,,19,FALSE,FALSE,FALSE,FALSE
Care Unit A,Residential Care Facilities,Active,Afton,500 Opal Street,jana.dailey@innovative-industries.org,365,12,1/1/91,1/1/22,1/1/21,30,895482,,880682,Beds,15,Union,Iowa,50830-1079,JANA  DAILEY /,(641) 347-5611,(641) 347-5038,,,27,FALSE,FALSE,FALSE,FALSE
Care Unit B,Residential Care Facilities,Active,Afton,500 Opal Street,jana.dailey@innovative-industries.org,365,12,1/1/91,1/1/22,1/1/21,30,,,880683,Beds,15,Union,Iowa,50830-1079,JANA  DAILEY /,(641) 347-5611,(641) 347-5038,,,27,FALSE,FALSE,FALSE,FALSE
Carlisle Center For AL,Assisted Living Programs,Active,Carlisle,685 Cole Street,,730,24,2/5/10,2/3/22,2/4/20,24,,,S0309,Units,44,Warren,Iowa,50047,Vonnie Potter / Director,(515) 989-7022,(515) 989-7023,,,15,FALSE,FALSE,FALSE,FALSE
Cedar Creek Rescare,Residential Care Facilities,Closed,Fairfield,1930 250th Street,jkirby@iowarescare.com,365,12,1/30/87,1/30/07,1/30/06,30,893925,,510365,Beds,45,Jefferson,Iowa,52556-8865,JOLIENE  KIRBY /,(641) 693-4541,(641) 693-9902,,11/7/06,193,FALSE,FALSE,FALSE,FALSE
Cedar Falls Lutheran Home,Residential Care Facilities,Closed,Cedar Falls,7511 University Avenue,wager@cflh.org; bhilmer@cflh.org,365,12,,,,30,890178,,70154,Beds,50,Black Hawk,Iowa,50613-5009,Wendy Ager / 002384,(319) 268-0401,(319) 268-0040,,4/15/07,178,FALSE,FALSE,FALSE,FALSE
Cedar Health Rcf,Residential Care Facilities,Closed,Charles City,807 Fifth Street,admin@cedarhealth.net,365,12,9/16/59,11/1/15,11/1/14,30,890590,,340469,Beds,15,Floyd,Iowa,50616-3397,MIKE STEINKRUGER /,(641) 228-1612,(641) 228-6747,,11/1/15,85,FALSE,FALSE,FALSE,FALSE
Cedar Lane Estates,Residential Care Facilities,Closed,Jefferson,1114 J Avenue,clestate@netins.net,365,12,1/1/04,1/1/06,1/1/05,30,893891,,370317,Beds,40,Greene,Iowa,50129-7022,LINDA  REDFERN /,(515) 386-2387,(515) 386-3174,,10/1/05,198,FALSE,FALSE,FALSE,FALSE
Cedar Place Assisted Living,Assisted Living Programs,Active,Story City,812 Cedar Street,,730,24,2/8/05,2/7/23,2/7/21,24,,,S0207,Units,44,Story,Iowa,50248-1472,Kristi Eley / Nurse Manager,(515) 733-9092,(515) 733-2243,,,25,FALSE,FALSE,FALSE,FALSE
Cedar Ridge Village,Assisted Living Programs,Active,West Des Moines,8950 Coachlight Drive,,720,24,4/1/21,3/31/22,4/10/20,24,,,S0447,Units,68,Dallas,Iowa,50266,Malinda Shultice /,(515) 369-2100,,,,,FALSE,FALSE,FALSE,FALSE
Cedar Vale,Assisted Living Programs,Active,Nashua,100 Poppe Lane,tonia7585@Hotmail.com,730,24,5/25/05,5/25/23,5/25/21,24,,,S0211,Units,40,Chickasaw,Iowa,50658-9704,TONIA OLSEN / Manager,(641) 435-4040,(641) 435-4988,,,23,FALSE,FALSE,FALSE,FALSE
Cedar Valley Ranch,Residential Care Facilities,Active,Vinton,2591 61st Street Lane,cedarvalleyranch@hotmail.com,365,12,6/1/91,6/2/21,6/2/20,30,895581,,60691,Beds,48,Benton,Iowa,52349-9212,LORENE SPENCER /,(319) 472-2671,(319) 472-5068,,,15,FALSE,FALSE,FALSE,FALSE
Cedars of Madrid Homes,Assisted Living Programs,Active,Madrid,600 North Kennedy Avenue,,730,24,7/24/03,7/23/21,7/24/19,24,,,S0176,Units,94,Boone,Iowa,50156-7608,Elli Godwin Snodgrass / 098156,(515) 795-4097,(515) 795-4286,,,19,FALSE,FALSE,FALSE,FALSE
"Chariton Residential, Llc",Residential Care Facilities,Closed,Chariton,815 Auburn Avenue,,365,12,4/1/02,4/1/06,4/1/05,30,893529,,590011,Beds,31,Lucas,Iowa,50049-0839,RONALD WALLS /,(641) 774-2315,(641) 774-2325,,6/7/06,201,FALSE,FALSE,FALSE,FALSE
Charter Senior Living of Northpark Place,Residential Care Facilities,Active,Sioux City,2562 Pierce Street,,365,12,1/20/94,2/16/21,2/17/20,30,,,970058,Beds,60,Woodbury,Iowa,51104-3706,Cheryl Hansen /,(712) 255-1200,(712) 255-6715,,,16,FALSE,FALSE,FALSE,FALSE
Chatham Oaks,Residential Care Facilities,Active,Iowa City,4515 Melrose Avenue,apauls@abbehealth.org; dbrecht@abbehealth.org,365,12,,1/1/21,1/2/20,30,894303,,520457,Beds,16,Johnson,Iowa,52246,AARON PAULS /,(319) 887-2701,(319) 887-9154,,,26,FALSE,FALSE,FALSE,FALSE
Cherry Ridge,Assisted Living Programs,Active,Mt Vernon,217 Business 30 Sw,,730,24,9/18/01,9/17/21,9/18/19,24,,,S0124,Units,24,Linn,Iowa,52314-1597,Jessica Kelchen / Administrator,(319) 895-8249,(319) 895-6703,,,20,FALSE,FALSE,FALSE,FALSE
Circle Terrace Lodge,Assisted Living Programs,Active,Manly,155 Circle Terrace,,730,24,6/26/06,6/25/22,6/25/20,24,,,S0234,Units,8,Worth,Iowa,50456-5073,Kayla Gomez / Director,(641) 454-3329,(641) 454-2124,,,35,FALSE,FALSE,FALSE,FALSE
Clarence Assisted Living,Assisted Living Programs,Active,Clarence,408 2nd Avenue,,730,24,7/5/12,7/5/22,7/5/20,24,,,S0329,Units,36,Cedar,Iowa,52216,Rebekah Tjaden /,(563) 452-3266,(563) 452-3268,,,32,FALSE,FALSE,FALSE,FALSE
Clarksville Nursing Home,Residential Care Facilities,Closed,Clarksville,115 North Hilton Street,,365,12,,5/16/12,5/17/11,30,892539,,120205,Beds,9,Butler,Iowa,50619-0159,LYNN NELSON / 02686,(319) 278-4900,(319) 278-4166,,4/2/12,136,FALSE,FALSE,FALSE,FALSE
Clearview Estates AL,Assisted Living Programs,Active,Mt Ayr,500 W Columbus,,730,24,12/2/00,12/2/22,12/2/20,24,,,S0100,Units,24,Ringgold,Iowa,50854-1100,Shawn  Cameron /,(641) 464-0651,(641) 464-0655,,,20,FALSE,FALSE,FALSE,FALSE
Cobble Creek AL of Sheldon,Assisted Living Programs,Active,Sheldon,980 Oak Street,,730,24,1/17/01,1/16/23,1/16/21,24,,,S0106,Units,12,O'Brien,Iowa,51201-1221,Aimee Mueller /,(712) 324-7404,(712) 324-7405,,,21,FALSE,FALSE,FALSE,FALSE
Cobble Creek AL of Spencer,Assisted Living Programs,Active,Spencer,2116 1st Ave E,,730,24,7/24/00,7/23/22,7/23/20,24,,,S0091,Units,12,Clay,Iowa,51301-2313,Aimee Mueller /,(712) 262-1430,(712) 262-1454,,,3,FALSE,FALSE,FALSE,FALSE
Cobblestone Court Assisted Living,Assisted Living Programs,Active,Sumner,3187 140th Street,,730,24,11/2/16,11/2/22,11/2/20,24,,,S0361,Units,60,Bremer,Iowa,50674,Ginny Boeckman /,(563) 578-9001,(563) 578-9002,,,25,FALSE,FALSE,FALSE,FALSE
Colonial Estates,Assisted Living Programs,Active,Columbus Junction,815 Colonial Lane,,730,24,7/28/10,7/27/22,7/27/20,24,,,S0311,Units,18,Louisa,Iowa,52738,Sarah Hand /,(319) 728-2276,(319) 728-8998,,,34,FALSE,FALSE,FALSE,FALSE
Community Care Inc,Residential Care Facilities,Closed,Charlotte,1611 330th Avenue,a_ganzerbovitz@communitycareinc.net,365,12,,,,30,894659,,230904,Beds,58,Clinton,Iowa,52731-9682,Angela Ganzer-Bovitz /,(563) 659-4100,(563) 659-1120,,10/20/09,143,FALSE,FALSE,FALSE,FALSE
"Community Care Of Knoxville, LLC",Residential Care Facilities,Active,Knoxville,205 North Iowa Street,,365,12,8/1/03,5/1/22,5/1/21,30,896886,,630299,Beds,29,Marion,Iowa,50138-0287,KATHY BEAL /,(641) 842-4618,(641) 842-6071,,,8,FALSE,FALSE,FALSE,FALSE
Community Memorial AL,Assisted Living Programs,Active,Hartley,233 North 8th Avenue West,,730,24,7/19/02,7/18/22,7/18/20,24,,,S0150,Units,32,O'Brien,Iowa,51346-1077,Kay Wynja /,(712) 728-2524,(712) 728-2429,,,25,FALSE,FALSE,FALSE,FALSE
Cookson Memorial Home,Residential Care Facilities,Closed,West Branch,204 Cookson Drive,,365,12,,10/8/08,10/9/07,30,890319,,160500,Beds,20,Cedar,Iowa,52358-0000,SHELLY PORT / PROVISIONAL,(319) 643-2325,(319) 643-5857,,5/1/08,164,FALSE,FALSE,FALSE,FALSE
Copper Creek,Assisted Living Programs,Active,West Union,609 Hwy 150 North,,730,24,12/13/19,12/12/21,12/13/19,24,,,S0424,Units,48,Fayette,Iowa,52175,Matthew  Marsala /,(563) 422-9200,(563) 422-9300,,,17,FALSE,FALSE,FALSE,FALSE
Cornerstone AL,Assisted Living Programs,Active,Mason City,302 2nd Street Ne,,730,24,7/12/01,7/11/21,7/12/19,24,,,S0120,Units,90,Cerro Gordo,Iowa,50401-3412,Jean  Palmer /,(641) 424-1740,(641) 423-1751,,,20,FALSE,FALSE,FALSE,FALSE
Corridor Crossing Place,Residential Care Facilities,Active,Cedar Rapids,136 36th Avenue Sw,nurse@corridorcrossingplace.com; bbarclay@jaybirdsl.com; nlensch@jaybirdsl.com,365,12,1/1/95,1/1/22,1/1/21,30,,,570617,Beds,61,Linn,Iowa,52404-4638,LISA URBANEK /,(319) 362-6868,(319) 363-7312,,,1,FALSE,FALSE,FALSE,FALSE
Cottage Grove Place,Assisted Living Programs,Active,Cedar Rapids,2115 1st Ave Se,,730,24,2/5/99,2/4/23,2/4/21,24,,,S0035,Units,82,Linn,Iowa,52402-6358,Abby  Bruce /,(319) 297-5600,(319) 297-5555,,,3,FALSE,FALSE,FALSE,FALSE
Cottonwood Residential Care Facility,Residential Care Facilities,Active,Burlington,"910 Cottonwood, Suite 1002",dina.garrison@hopehavencorp.com,365,12,10/20/05,7/1/21,7/1/20,30,,,290970,Beds,15,Des Moines,Iowa,52601,Dina Garrison /,(319) 237-1072,(319) 754-0045,,,21,FALSE,FALSE,FALSE,FALSE
Country Care Center,Residential Care Facilities,Active,Harlan,725 Highway 59    Po Box 351,cccc@fmctc.com,365,12,7/1/87,7/1/21,7/1/20,30,894006,,830390,Beds,40,Shelby,Iowa,51537-0351,CATHY McQUEEN /,(712) 744-3453,(712) 744-3458,,,27,FALSE,FALSE,FALSE,FALSE
Country Haven,Residential Care Facilities,Closed,Corning,"2168 Us Highway 34, Po Box 409",libbiew@hotmail.com,365,12,4/1/97,4/1/13,4/1/12,30,896415,,20050,Beds,31,Adams,Iowa,50841-0409,LIZBETH  WILKINSON /,(641) 322-3291,(641) 322-3600,,3/15/17,62,FALSE,FALSE,FALSE,FALSE
"Country Haven Guest Homes, Ltd",Assisted Living Programs,Closed,Winterset,2490 Prairieview Avenue,countryhavenwinterset@gmail.com,365,24,6/13/02,6/12/14,6/12/13,24,,,S0146,Units,15,Madison,Iowa,50273-8115,Kathryn Roberts /,(515) 462-3701,(515) 462-3701,,4/18/14,111,FALSE,FALSE,FALSE,FALSE
Country Life Health Care,Residential Care Facilities,Closed,Oskaloosa,2554 Ford Avenue,countrylifehealthcare@wildblue.net,365,12,11/1/89,11/1/15,11/1/14,30,895003,,620603,Beds,25,Mahaska,Iowa,52577-8850,RANDY  KELLEY /,(641) 673-4447,(641) 673-4447,,6/30/15,91,FALSE,FALSE,FALSE,FALSE
Country View Estates,Residential Care Facilities,Closed,Guthrie Center,2345 Redwood Avenue,grandel_cve@netins.net,365,12,7/1/91,7/1/15,7/1/14,30,895623,,390695,Beds,16,Guthrie,Iowa,50115-8888,GARY  RANDEL /,(641) 755-2125,(641) 755-2863,,11/10/14,93,FALSE,FALSE,FALSE,FALSE
Countryside Health Care Center,Residential Care Facilities,Closed,Sioux City,6120 Morningside Avenue,Countryside.Admin@imgcares.com,365,12,,5/1/18,5/1/17,30,,,970370,Beds,10,Woodbury,Iowa,51106-3943,MIRIAM WALL /,(712) 276-3000,(712) 266-2167,,6/1/18,63,FALSE,FALSE,FALSE,FALSE
Courtyard Estates Of Walcott,Assisted Living Programs,Active,Walcott,510 North Main Street,,730,24,8/27/07,8/26/21,8/27/19,24,,,S0263,Units,47,Scott,Iowa,52773-7827,Tonya Rosenboom / Director,(563) 284-4211,(563) 284-4249,,,20,FALSE,FALSE,FALSE,FALSE
Courtyard Independent And Assisted Living,Assisted Living Programs,Active,Clear Lake,401 W. 10th Avenue North,,730,24,10/1/01,9/30/21,10/1/19,24,,,S0128,Units,18,Cerro Gordo,Iowa,50428-4202,Sheri Weaver-Isvik /,(641) 357-1648,(641) 357-7095,,,19,FALSE,FALSE,FALSE,FALSE
Courtyard Terrace,Assisted Living Programs,Active,Boone,717 W 3rd St,,730,24,8/20/03,8/19/21,8/20/19,24,,,S0177,Units,50,Boone,Iowa,50036-8217,Courtney Rose / Coordinator,(515) 433-4406,(515) 433-4406,,,19,FALSE,FALSE,FALSE,FALSE
Cresco Assisted Living,Assisted Living Programs,Active,Cresco,1004 North Elm Street,,730,24,5/18/05,5/17/23,5/17/21,24,,,S0210,Units,54,Howard,Iowa,52136-1097,Amy Norton / Administrator,(563) 547-2364,(563) 547-5013,,,25,FALSE,FALSE,FALSE,FALSE
Crown Pointe,Assisted Living Programs,Active,Sioux Center,1400 7th Ave. SE,,730,24,10/1/01,9/30/21,10/1/19,24,,,S0125,Units,44,Sioux,Iowa,51250-1199,Karen Bentsen /,(712) 722-8260,(712) 722-8269,,,21,FALSE,FALSE,FALSE,FALSE
Custom Care,Assisted Living Programs,Active,Cedar Rapids,1224 13th St NW,,730,24,2/5/01,2/4/23,2/4/21,24,,,S0108,Units,48,Linn,Iowa,52405-2404,Katie Christensen / Administrator,(319) 365-9171,(319) 363-5312,,,3,FALSE,FALSE,FALSE,FALSE
"Dallas, Inc.",Residential Care Facilities,Closed,Adel,25747 N Avenue,CarolynDillard@dallasinc.org,365,12,1/2/98,1/1/15,1/1/14,30,893750,,250008,Beds,93,Dallas,Iowa,50003-8277,CAROLYN DILLARD /,(515) 993-4721,(515) 993-5832,,3/4/14,98,FALSE,FALSE,FALSE,FALSE
Danbury Circle,Assisted Living Programs,Closed,Waterloo,121 Danbury Circle,bmurphy@abcmcorp.com,365,24,7/17/03,7/16/13,7/16/12,24,,,S0175,Units,16,Black Hawk,Iowa,50701-9389,Barbara Murphy / Administrator,(319) 232-6906,(319) 236-1831,,11/15/12,143,FALSE,FALSE,FALSE,FALSE
