FacilityNumber,FacilityName,PhysicalAddr1,PhysicalAddr2,PhysicalCity,PhysicalState,PhysicalZip,PhysicalCounty,MailingAddr1,MailingAddr2,MailingCity,MailingState,MailingZip,SitePhoneNumber,FacilityEmail,FacilityTypeDesc,FacilityCapacity
32675,HOLLY HOUSE LTD,100 RIDGEVIEW ROAD,,EUREKA SPRINGS,AR,72632,Carroll,100 RIDGEVIEW ROAD,,EUREKA SPRINGS,AR,72632,4792539800,eurekahollyhouse@gmail.com,Assisted Living Facility #2,22
32676,AUTUMN HOME CARE FACILITIES INC DBA AUTUMN PLACE A,103 WADE LANE,,PEA RIDGE ,AR,72751,Benton,103 WADE LANE,,PEA RIDGE ,AR,72751,4794511800,carriec@autumnhomecare.com,Assisted Living Facility #2,40
32697,WOODCREST ASSISTED LIVING ,2901 NEELEY STREET ,,BATESVILLE ,AR,72501,Independence,2901 NEELEY STREET ,,BATESVILLE ,AR,72501,8707935808,tanya.ray@wood-lawn.org,Assisted Living Facility #2,46
32699,EMERITUS PROPERTIES ARKANSAS LLC D/B/A BROOKDALE C,1160 HOGAN LANE,,CONWAY,AR,72034,Faulkner,1160 HOGAN LANE,,CONWAY,AR,72034,5015134300,brandi.booth@brookdale.com,Assisted Living Facility #1,100
32738,BROOKSTONE ASSISTED LIVING OPCO LLC DBA BROOKSTONE,415 EAST LONGVIEW STREET,,FAYETTEVILLE,AR,72703,Washington,415 EAST LONGVIEW STREET,,FAYETTEVILLE,AR,72703,4794433900,executivedirector@brookstoneal.com,Assisted Living Facility #2,98
32738,BROOKSTONE ASSISTED LIVING OPCO LLC DBA BROOKSTONE,415 EAST LONGVIEW STREET,,FAYETTEVILLE,AR,72703,Washington,415 EAST LONGVIEW STREET,,FAYETTEVILLE,AR,72703,4794433900,executivedirector@brookstoneal.com,Assisted Living Facility #2,98
32758,TRINITY VILLAGE INC DBA TRINITY VILLAGE ASSISTED L,6400 TRINITY DRIVE,,PINE BLUFF,AR,71603,Lee,6400 TRINITY DRIVE,,PINE BLUFF,AR,71603,8707279312,dstone@trinityretirement.com,Assisted Living Facility #2,54
32759,AVENIR MEMORY CARE OF FAYETTEVILLE,1967 WEST TRUCKERS DRIVE,,FAYETTEVILLE,AR,72704,Washington,1967 WEST TRUCKERS DRIVE,,FAYETTEVILLE,AR,72704,4794422011,ledbetterrandy@avenirseniorliving.com,Assisted Living Facility #2,59
32763,BRIDGEWOOD ROGERS TRS LLC DBA VILLAGE ON THE PARK ,2200 WEST LAUREL AVENUE,,ROGERS,AR,72758,Benton,6363 WOODWAY DRIVE SUITE 870,,HOUSTON,TX,77057,4796310455,ehaley@rcmseniorliving.com,Assisted Living Facility #2,75
32766,THE VILLAGES OF GENERAL BAPTIST ASSISTED LIVING CE,7001 SOUTH HAZEL,,PINE BLUFF,AR,71603,Jefferson,7001 SOUTH HAZEL,,PINE BLUFF,AR,71603,8705359283,tcallaway@gb-healthcare.com,Assisted Living Facility #2,60
32767,INDIAN ROCK VILLAGE LLC DBA VILLAGE GARDENS,265 DAVE CREEK PARKWAY,,FAIRFIELD BAY,AR,72088,Van Buren,265 DAVE CREEK PARKWAY,,FAIRFIELD BAY,AR,72088,5018843210,rwilliams@rsoar.com,Assisted Living Facility #2,20
32785,MONTGOMERY COUNTY ASSISTED LIVING,147 SENIOR DRIVE,,MT. IDA,AR,71957,Montgomery,P.O. Box 1208,,MT.IDA,AR,71957,8708672159,mcal_echo@windstream.net,Assisted Living Facility #2,42
32787,THE CROSSING AT MALVERN INC,720 NORTH WALCO ROAD,,MALVERN,AR,72104,Hot Spring,720 NORTH WALCO ROAD,,MALVERN,AR,72104,5014678488,haley@thecrossingatmalvern.com,Assisted Living Facility #2,84
32836,LIBERTY PARK SENIOR CARE OF JONESBORO LLC,3024 RED WOLF BOULEVARD,,JONESBORO,AR,72401,Craighead,235 LACEBACK LANE,,LONGVIEW,TX,75605,8702069604,kalie@libertyparkseniorliving.com,Assisted Living Facility #2,75
32862,ST BERNARDS VILLAGE INC DBA ST BERNARDS VILLA,2217 WEST PARKER ROAD,,JONESBORO,AR,72404,Craighead,2217 WEST PARKER ROAD,,JONESBORO,AR,72404,8702076200,crsairls@sbrmc.org,Assisted Living Facility #2,116
32879,ST BERNARDS VILLIAGE INC,1606 HEERN DRIVE,,JONESBORO,AR,72401,Craighead,1606 HEERN DRIVE,,JONESBORO,AR,72401,8709328141,LBROWN1@SBRMC.ORG,Assisted Living Facility #1,65
32887,MAGNOLIA PLACE ALZHEIMERS SPECIAL CARE CENTER,2000 SOUTH HAMILTON PLACE,,ROGERS,AR,72758,Benton,2000 SOUTH HAMILTON PLACE,,ROGERS,AR,72758,4796360799,kerrie.englund@sunshineret.com,Assisted Living Facility #2,66
32905,VENTAS WEST SHORES OPCO LLC DBA WEST SHORES,2607 ALBERT PIKE ROAD,,HOT SPRINGS,AR,71913,Garland,2607 ALBERT PIKE ROAD,,HOT SPRINGS,AR,71913,5017671200,tfox@capitalseniorliving.net,Assisted Living Facility #2,82
32908,VAN BUREN LEGACY LLC,1012 FAYETTEVILLE ROAD,,VAN BUREN,AR,72956,Crawford,1012 FAYETTEVILLE ROAD,,VAN BUREN,AR,72956,4794747233,ladonna@memorylanevb.com,Assisted Living Facility #1,34
32914,PROVALSD CLARKSVILLE LLC DBA PROVIDENCE ASSISITED ,702 SOUTH HOSPITAL DRIVE,,CLARKSVILLE,AR,72830,Johnson,702 SOUTH HOSPITAL DRIVE,,CLARKSVILLE,AR,72830,4797541167,kcooper@provmanage.com,Assisted Living Facility #1,44
32973,THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY DB,121 CORTEZ ROAD,,HOT SPRINGS VILLAGE,AR,71909,Saline,121 CORTEZ ROAD,,HOT SPRINGS VILLAGE,AR,71909,5019152020,shushaw@good-sam.com,Assisted Living Facility #1,30
32980,"VILLAGE PARK OF CONWAY, INC",1622 SCOTT STREET,,CONWAY,AR,72034,Faulkner,398 HONEY HILL LOOP,,SEARCY,AR,72143,5013276428,admin@villageparkofconway.com,Assisted Living Facility #2,47
32998,ELDERCARE  OF ARKANSAS IV INC  DBA  STONEBRIDGE OF,401 SOUTHRIDGE PARKWAY,,HEBER SPRINGS,AR,72543,Cleburne,401 SOUTHRIDGE PARKWAY,,HEBER SPRINGS,AR,72543,5013627023,janet.loftis@sbseniorliving.com,Assisted Living Facility #2,89
33012,WHITE RIVER AREA AGENCY ON AGING DBA EAGLE MOUNTAI,302 WOODMONT CIRCLE,,BATESVILLE,AR,72501,Independence,302 WOODMONT CIRCLE,,BATESVILLE,AR,72501,8706128700,shelia.gates@wraaa.com,Assisted Living Facility #2,58
33017,PEACHTREE VILLAGE LLC ,1500 FRESNO,,FORT SMITH,AR,72901,Sebastian,1500 FRESNO,,FORT SMITH,AR,72901,4797855544,adminfs@peachtreevillage.org,Assisted Living Facility #1,59
33018,INNISFREE INVESTMENTS LLC ,300 INNISFREE CIRCLE,,ROGERS,AR,72758,Benton,300 INNISFREE CIRCLE,,ROGERS,AR,72758,4796367363,patrick.innisfree@gmail.com,Assisted Living Facility #1,40
33023,HIGHTOWER & SHEPARD GROUP LLC DBA THE PILLARS OF T,400 MAIN STREET,,CROSSETT,AR,71635,Ashley,400 MAIN STREET,,CROSSETT,AR,71635,8703642474,lguin@thepillarscrossett.com,Assisted Living Facility #2,75
33024,"ARHC FRNLRAR01 TRS, LLC",17 PARKSTONE CIRCLE,,NORTH LITTLE ROCK,AR,72116,Pulaski,17 PARKSTONE CIRCLE,,NORTH LITTLE ROCK,AR,72116,5018019705,tdavis@foxridgeliving.net,Assisted Living Facility #2,86
33026,THE BROOKFIELD AT HIGHLAND CROSSING LLC,3 HIGHLANDS CROSSING,,BELLA VISTA,AR,72715,Benton,3 HIGHLANDS CROSSING,,BELLA VISTA,AR,72715,4798555600,will@brookfieldseniors.com,Assisted Living Facility #1,56
33028,EMERICHENAL LLC DBA BROOKDALE CHENAL HEIGHTS,1 CHENAL HEIGHTS DRIVE,,LITTLE ROCK,AR,72223,Pulaski,1 CHENAL HEIGHTS DRIVE,,LITTLE ROCK,AR,72223,5018211555,ChenalHeights-ED@emeritus.com,Assisted Living Facility #2,98
33149,PEACHTREE VILLAGE OF FARMINGTON  LLC,55 WEST RAINSONG STREET,,FARMINGTON,AR,72730,Washington,55 WEST RAINSONG STREET,,FARMINGTON,AR,72730,4792673335,adminfarm@peachtreevillage.org,Assisted Living Facility #1,70
33152,ELDERCARE OF ARKANSAS V INC DBA STONEBRIDGE OF CAB,601 EAST MOUNTAIN SPRINGS ROAD,,CABOT,AR,72023,Lonoke,601 EAST MOUNTAIN SPRINGS ROAD,,CABOT,AR,72023,5012867720,reba.smith@sbseniorliving.com,Assisted Living Facility #2,80
33165,RIVER LODGE ASSISTED LIVING LLC,117 RIVERLODGE DRIVE,,MOUNTAIN HOME,AR,72653,Baxter,117 RIVERLODGE DRIVE,,MOUNTAIN HOME,AR,72653,8706070902,mindy@riverlodgeal.com,Assisted Living Facility #2,75
33245,EMERITUS PROPERTIES ARK WILDFLOWER LLC D/B/A BROOK,240 SOUTH INGLEWOOD AVENUE,,RUSSELLVILLE,AR,72801,Pope,240 SOUTH INGLEWOOD AVENUE,,RUSSELLVILLE,AR,72801,4798906709,mindy.brigance@brookdale.com,Assisted Living Facility #1,100
33250,THE BROOKFIELD AT FIANNA OAKS LLC,2300 FIANNA OAKS DRIVE,,FORT SMITH ,AR,72908,Sebastian,2300 FIANNA OAKS DRIVE,,FORT SMITH ,AR,72908,4796497100,ellie@brookfieldseniors.com,Assisted Living Facility #1,55
33255,MOUNT CARMEL COMMUNITY LLC,3505 BOONE ROAD,,BENTON,AR,72015,Saline,3505 BOONE ROAD,,BENTON,AR,72015,5013151555,jimmy@mtcarmelcommunity.com,Assisted Living Facility #2,100
33266,ROGERS MEMORY CARE LLC DBA GRAND BROOK MEMORY CARE,5125 WEST PLEASANT GROVE ROAD,,ROGERS,AR,72758,Benton,7708 SAN JACINTO PLACE,SUITE #100,PLANO,TX,75024,4793724508,eross@grandbrook.com,Assisted Living Facility #2,40
33268,BRIDGEWOOD BENTONVILLE TRS LLC DBA VILLAGE ON THE ,3800 SW MOUNT CARMEL DRIVE,,BENTONVILLE,AR,72713,Benton,6363 WOODWAY DRIVE,Suite 300,HOUSTON,TX,77057,4793640259,mshelton@rcmseniorliving.com,Assisted Living Facility #2,75
33271,HOPES CREEK INC,2502 FAYETTEVILLE ROAD,,VAN BUREN,AR,72956,Crawford,2502 FAYETTEVILLE ROAD,,VAN BUREN,AR,72956,4794711900,mlewis@hopescreek.com,Assisted Living Facility #2,118
33274,BENTONVILLE ASSISTED LIVING SERVICES DBA THE GARDE,"3317 SOUTHEAST "" L"" STREET",,BENTONVILLE,AR,72712,Benton,"3317 SOUTHEAST "" L"" STREET",,BENTONVILLE,AR,72712,4792548759,kim@gardensatosageterrace.com,Assisted Living Facility #2,51
33278,AVENIR MEMORY CARE AT LITTLE ROCK LP,8401 RANCH BOULEVARD,,LITTLE ROCK,AR,72223,Pulaski,11648 EAST SHEA BOULEVARD ,SUITE 101,SCOTTSDALE,AZ,85259,5018686270,SimmonsRene@avenirseniorliving.com,Assisted Living Facility #2,59
33283,ELDERCARE OF ARKANSAS VI DBA STONEBRIDGE OF RUSSEL,1909 EAST FAIRWAY BOULEVARD,,RUSSELLVILLE,AR,72801,Pope,1909 EAST FAIRWAY BOULEVARD,,RUSSELLVILLE,AR,72801,4795675578,diana.tillman@sbseniorliving.com,Assisted Living Facility #2,75
33290,MT CARMEL COMMUNITY AT THE VILLAGE ,540 PONCE DE LEON,,HOT SPRINGS VILLAGE,AR,71909,Garland,540 PONCE DE LEON,,HOT SPRINGS VILLAGE,AR,71909,5019220166,matt@mtcarmelcommunity.com,Assisted Living Facility #2,75
33294,THE MANOR LLC,1401 LABELLE DRIVE,,LITTLE ROCK,AR,72204,Pulaski,1401 LABELLE DRIVE,,LITTLE ROCK,AR,72204,5014442390,pables@arkansasmanor.com,Assisted Living Facility #2,90
33318,THE BROOKFIELD AT OAKTREE LLC,205 SAWTOOTH OAK STREET,,HOT SPRINGS,AR,71901,Garland,205 SAWTOOTH OAK STREET,,HOT SPRINGS,AR,71901,5015200016,misty@brookfieldseniors.com,Assisted Living Facility #2,75
33319,PARKWAY VILLAGE INC DBA GINNY AND BOB SHELL ALZHEI,14322 CHENAL PARKWAY,,LITTLE ROCK,AR,72211,Pulaski,14322 CHENAL PARKWAY,,LITTLE ROCK,AR,72211,5012026105,tina.to@baptist-health.org,Assisted Living Facility #2,60
33333,EJG & ASSOCIATES INC DBA THE OASIS OF DUMAS ASSIST,38 BELMONT STREET ,,DUMAS ,AR,71639,Desha,8116 DEPRIEST ,,MABELVALE,AR,72103,8703822609,theoasisofdumasalf2017@outlook.com,Assisted Living Facility #2,30
33364,BENTONVILLE RETIREMENT CENTER LLC DBA PRIMROSE OF ,650 South Dodson Road,,Rogers,AR,72758,Benton,PO BOX 1359,,Aberdeen,SD,57402,4794788887,temeka.ramsey@primroseretirement.com,Assisted Living Facility #2,100
33392,PEACHTREE VILLAGE AT HOLIDAY ISLAND LLC,5 PARK  DRIVE,,HOLIDAY ISLAND,AR,72631,Carroll,5 PARK  DRIVE,,HOLIDAY ISLAND,AR,72631,4792539933,adminhi@peachtreevillage.org,Assisted Living Facility #1,82
33395,THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY DB,200 GOOD SAMARITAN DRIVE,,MOUNTAIN HOME,AR,72653,Baxter,200 GOOD SAMARITAN DRIVE,,MOUNTAIN HOME,AR,72653,8704252494,gss0470@good-sam.com,Assisted Living Facility #2,57
33420,HOPE HAVEN LTD,500 WEST 23RD STREET,,HOPE,AR,71801,Hempstead,500 WEST 23RD STREET,,HOPE,AR,71801,8707778655,hopehaven@att.net,Assisted Living Facility #2,52
33429,THE MEADOWS ASSISTED LIVING INC,2300 SE 28TH STREET,,BENTONVILLE,AR,72712,Benton,2300 SE 28TH STREET,,BENTONVILLE,AR,72712,4792739969,anns@meadowsinbentonville.com,Assisted Living Facility #2,81
