Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,State Facility Type 1 Literal,Capacity,Date Accessed
32263,"Indian Rock Village, Llc Dba Village Gardens",265 DAVE CREEK PARKWAY,Fairfield Bay,AR,72088,Van Buren,5018843210,kcrabtrey@indianrockvillage.net,ASSISTED LIVING FACILITY #1,46.0,8/27/21
32277,The Plaza At Twin Rivers Llc,3007 TWIN RIVERS DRIVE,Arkadelphia,AR,71923,Clark,8704036201,tbell50@live.com,ASSISTED LIVING FACILITY #2,55.0,8/27/21
32278,Peachtree Mena Llc Dba Peachtree Assisted Living,1803 CORDIE DRIVE,Mena,AR,71953,Polk,4793942600,ctenbrook@peachtreemena.com,ASSISTED LIVING FACILITY #2,70.0,8/27/21
32301,Abby Conway Sr Llc Dba Ridgemere,4550 PRINCE STREET,Conway,AR,72034,Faulkner,5012732010,amy.roberts@abbysl.com,ASSISTED LIVING FACILITY #2,76.0,8/27/21
32302,Methodist Village Senior Living,7811 EUPER LANE,Fort Smith,AR,72903,Sebastian,4797556405,mwalters@methodistvillage.com,ASSISTED LIVING FACILITY #2,71.0,8/27/21
32317, Oak Park Village,507 MOUNTAIN VIEW ROAD,Glenwood,AR,71943,Pike,8703564426,oakpark_village@yahoo.com,ASSISTED LIVING FACILITY #2,32.0,8/27/21
32330,Shn Al Aimo Tenant Inc D/B/A Morningside Of Fayett,4461 NORTH CROSSOVER ROAD,Fayetteville,AR,72703,Washington,4794431908,pmoore@5ssl.com,ASSISTED LIVING FACILITY #2,85.0,8/27/21
32334,Fordyce Assisted Living Inc  Dba Daltons Place At ,1718 INDUSTRIAL DRIVE,Fordyce,AR,71742,Dallas,4792343759,john@daltonsplaceatfordyce.com,ASSISTED LIVING FACILITY #2,50.0,8/27/21
32346,Ec Opco Mountain Home Llc Dba  Elmcroft Of Mountai,715 WEST 6TH STREET,Mountain Home,AR,72653,Baxter,8704256868,randy.sutterfield@elmcroft.com,ASSISTED LIVING FACILITY #1,64.0,8/27/21
32371,Windsor Cottage Ltd,4110 JEFFERSON AVENUE,Texarkana,AR,71854,Miller,8707730417,business@windsorcottage.org,ASSISTED LIVING FACILITY #2,42.0,8/27/21
32373,Dudneywood Llc,2600 NORTH DUDNEY ROAD,Magnolia,AR,71753,Columbia,8702342800,bonnieriggins@suddenlinkmail.com,ASSISTED LIVING FACILITY #2,80.0,8/27/21
32386,Snh Al Aimo Tenant Inc D/B/A Morningside Of Spring,672 JONES ROAD,Springdale,AR,72762,Washington,4793064191,mgross@5ssl.com,ASSISTED LIVING FACILITY #1,113.0,8/27/21
32426,"Arhc Frltrar01 Trs, Llc",23101 CHENAL VALLEY DRIVE,Little Rock,AR,72223,Pulaski,5014829200,kpazdera@foxridgeliving.net,ASSISTED LIVING FACILITY #2,130.0,8/27/21
32435,Holiday Island Operations Llc Dba Prestige Assiste,89 HILLSIDE DRIVE,Holiday Island,AR,72631,Carroll,4792536553,executivedirector@prestigeassistedliving.com,ASSISTED LIVING FACILITY #2,60.0,8/27/21
32437,Snh Al Aimo Tenant Inc Dba Morningside Of Jonesbor,4210 SOUTH CARAWAY ROAD,Jonesboro,AR,72404,Craighead,8709749700,sadams1@5ssl.com,ASSISTED LIVING FACILITY #1,81.0,8/27/21
32461,Memory Care At Good Shepard,2501 ALDERSGATE ROAD,Little Rock,AR,72205,Pulaski,5012607407,mmanning@memorycarelittlerock.com,ASSISTED LIVING FACILITY #2,74.0,8/27/21
32462,Lincoln County Assisted Living Llc Dba Daltons Pla,142 TEVA STREET,Star City,AR,71667,Lincoln,8706283033,gena@daltonsplaceatstarcity.com,ASSISTED LIVING FACILITY #2,53.0,8/27/21
32475,Magnolia Manor,1200 GORDON DUCKWORTH DRIVE,Piggott,AR,72454,Clay,8705982190,jcole@gb-healthcare.com,ASSISTED LIVING FACILITY #2,36.0,8/27/21
32476,Eldercare Of Arkansas Iii Inc Dba Stonebridge Of C,1306 SOUTH DONAGHEY,Conway,AR,72034,Faulkner,5013273030,duchess.esser@sbseniorliving.com,ASSISTED LIVING FACILITY #2,80.0,8/27/21
32488,St Francis Assisted Living Community,1800 STEPHENS DRIVE,Forrest City,AR,72335,Saint Francis,8706336390,astephensdev@gmail.com,ASSISTED LIVING FACILITY #2,55.0,8/27/21
32490,West Dixon  Alf Operating Llc,2821 WEST DIXON ROAD,Little Rock,AR,72206,Pulaski,5018884080,administrator@blossomsatwestdixonalf.com,ASSISTED LIVING FACILITY #2,32.0,8/27/21
32508,Countryside Assisted Living,722 PHILLIPS PLACE, Huntsville,AR,72740,Madison,4797381500,tara@countrysideassistedliving.com,ASSISTED LIVING FACILITY #2,106.0,8/27/21
32511,Arhc Frbryar01 Trs Llc,4216 FOX RIDGE DRIVE,Bryant,AR,72022,Saline,5018473400,jrodgers@foxridgeliving.net,ASSISTED LIVING FACILITY #2,130.0,8/27/21
32529,S-H Opco Pleasant Hills Llc Dba Vitality Living Pl,800 NAPA VALLEY DRIVE,Little Rock,AR,72211,Pulaski,5012259405,sblack@myvitalityliving.com,ASSISTED LIVING FACILITY #1,70.0,8/27/21
32531,"Providence Pcc Of Searcy, Llc",3014 E MOORE AVE,Searcy,AR,72143,White,5012684169,jfoster@provmanage.com,ASSISTED LIVING FACILITY #2,58.0,8/27/21
32538,Massey Avenue Alf Operating Llc,414 MASSEY AVENUE,Mountain View,AR,72560,Stone,8702695845,administrator@blossomsatmountainviewalf.com,ASSISTED LIVING FACILITY #2,32.0,8/27/21
32539,Emeritus Properties Ark Willow Brook Llc D/B/A Bro,5501 DUNCAN ROAD,Fort Smith,AR,72903,Sebastian,4794845558,jennifer.thomas3@brookdale.com,ASSISTED LIVING FACILITY #1,100.0,8/27/21
32544,Green Acre Easy Living Inc.,2407 WEST OAK STREET,Rogers,AR,72758,Benton,4796311552,missyalsip@yahoo.com,ASSISTED LIVING FACILITY #2,30.0,8/27/21
32578,Woodland Heights Opco Llc Dba Woodland Heights,8700 RILEY DRIVE,Little Rock,AR,72205,Pulaski,5012244242,executivedirector@woodlandheightsllc.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
32592,The Manor At Benton Llc,4727 BOONE ROAD,Bryant,AR,72022,Saline,5013164100,tthompson@arkansasmanor.com,ASSISTED LIVING FACILITY #2,90.0,8/27/21
32604,Grand Manor Llc,1960 HIGHWAY 425 NORTH,Monticello,AR,71655,Drew,8704124400,ann@grandmanormonticello.com,ASSISTED LIVING FACILITY #2,55.0,8/27/21
32605,Arkansas Methodist Retirement Center Dba Chateau O,2308 CHATEAU BLVD,Paragould,AR,72450,Greene,8702156300,deborah.farrell@mychateau.org,ASSISTED LIVING FACILITY #2,91.0,8/27/21
32606,Northwest Regional Supportive Living Llc Dba Maple,1400 OLD BERGMAN ROAD,Harrison,AR,72601,Boone,8702045226,melody@caresuitesofharrison.com,ASSISTED LIVING FACILITY #2,78.0,8/27/21
32621,Hot Springs Operating Llc Dba The Atrium At Sereni,2803 ALBERT PIKE ROAD,Hot Springs,AR,71913,Garland,5017601140,executivedirector@atriumatserenitypointe.com,ASSISTED LIVING FACILITY #2,150.0,8/27/21
32637,Chg Senior Living Stonehaven Llc Dba Stonehaven  A,101 OLYMPIA DRIVE,Maumelle,AR,72113,Pulaski,5018033335,lisa.wallace@chgcares.com,ASSISTED LIVING FACILITY #2,80.0,8/27/21
32650,Ec Opco Of Sherwood Llc Dba Elmcroft Of Sherwood,9880 BROCKINGTON ROAD,Sherwood,AR,72120,Pulaski,5018356000,bunderwood@elmcroft.com,ASSISTED LIVING FACILITY #1,60.0,8/27/21
32653,Eldercare Of Arkansas Inc Dba Stonebridge Of Blyth,1401 EAST MOULTRIE DRIVE,Blytheville,AR,72315,Mississippi,8708380033,lea.franks@sbseniorliving.com,ASSISTED LIVING FACILITY #2,60.0,8/27/21
32657,"Ec Opco Maumelle, Llc, Dba Elmcroft Of Maumelle",100 BRINGLER DRIVE,Maumelle,AR,72113,Pulaski,5014835761,awiley@elmcroft.com,ASSISTED LIVING FACILITY #2,60.0,8/27/21
32663,Garrett Woods Assisted Living And Independent Livi,142 BRIGHTON TERRACE,Hot Springs,AR,71913,Garland,5015251725,alfacility@garrettwoodsal.com,ASSISTED LIVING FACILITY #2,61.0,8/27/21
32675,Holly House Ltd,100 RIDGEVIEW ROAD,Eureka Springs,AR,72632,Carroll,4792539800,eurekahollyhouse@gmail.com,ASSISTED LIVING FACILITY #2,22.0,8/27/21
32676,Autumn Home Care Facilities Inc Dba Autumn Place A,103 WADE LANE,Pea Ridge ,AR,72751,Benton,4794511800,carriec@autumnhomecare.com,ASSISTED LIVING FACILITY #2,40.0,8/27/21
32697,Woodcrest Assisted Living ,2901 NEELEY STREET ,Batesville ,AR,72501,Independence,8707935808,tanya.ray@wood-lawn.org,ASSISTED LIVING FACILITY #2,46.0,8/27/21
32699,Emeritus Properties Arkansas Llc D/B/A Brookdale C,1160 HOGAN LANE,Conway,AR,72034,Faulkner,5015134300,brandi.booth@brookdale.com,ASSISTED LIVING FACILITY #1,100.0,8/27/21
32738,Brookstone Assisted Living Opco Llc Dba Brookstone,415 EAST LONGVIEW STREET,Fayetteville,AR,72703,Washington,4794433900,executivedirector@brookstoneal.com,ASSISTED LIVING FACILITY #2,98.0,8/27/21
32758,Trinity Village Inc Dba Trinity Village Assisted L,6400 TRINITY DRIVE,Pine Bluff,AR,71603,Lee,8707279312,dstone@trinityretirement.com,ASSISTED LIVING FACILITY #2,54.0,8/27/21
32759,Avenir Memory Care Of Fayetteville,1967 WEST TRUCKERS DRIVE,Fayetteville,AR,72704,Washington,4794422011,ledbetterrandy@avenirseniorliving.com,ASSISTED LIVING FACILITY #2,59.0,8/27/21
32763,Bridgewood Rogers Trs Llc Dba Village On The Park ,2200 WEST LAUREL AVENUE,Rogers,AR,72758,Benton,4796310455,ehaley@rcmseniorliving.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
32766,The Villages Of General Baptist Assisted Living Ce,7001 SOUTH HAZEL,Pine Bluff,AR,71603,Jefferson,8705359283,tcallaway@gb-healthcare.com,ASSISTED LIVING FACILITY #2,60.0,8/27/21
32767,Indian Rock Village Llc Dba Village Gardens,265 DAVE CREEK PARKWAY,Fairfield Bay,AR,72088,Van Buren,5018843210,rwilliams@rsoar.com,ASSISTED LIVING FACILITY #2,20.0,8/27/21
32785,Montgomery County Assisted Living,147 SENIOR DRIVE,Mt. Ida,AR,71957,Montgomery,8708672159,mcal_echo@windstream.net,ASSISTED LIVING FACILITY #2,42.0,8/27/21
32787,The Crossing At Malvern Inc,720 NORTH WALCO ROAD,Malvern,AR,72104,Hot Spring,5014678488,haley@thecrossingatmalvern.com,ASSISTED LIVING FACILITY #2,84.0,8/27/21
32836,Liberty Park Senior Care Of Jonesboro Llc,3024 RED WOLF BOULEVARD,Jonesboro,AR,72401,Craighead,8702069604,kalie@libertyparkseniorliving.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
32862,St Bernards Village Inc Dba St Bernards Villa,2217 WEST PARKER ROAD,Jonesboro,AR,72404,Craighead,8702076200,crsairls@sbrmc.org,ASSISTED LIVING FACILITY #2,116.0,8/27/21
32879,St Bernards Villiage Inc,1606 HEERN DRIVE,Jonesboro,AR,72401,Craighead,8709328141,lbrown1@sbrmc.org,ASSISTED LIVING FACILITY #1,65.0,8/27/21
32887,Magnolia Place Alzheimers Special Care Center,2000 SOUTH HAMILTON PLACE,Rogers,AR,72758,Benton,4796360799,kerrie.englund@sunshineret.com,ASSISTED LIVING FACILITY #2,66.0,8/27/21
32905,Ventas West Shores Opco Llc Dba West Shores,2607 ALBERT PIKE ROAD,Hot Springs,AR,71913,Garland,5017671200,tfox@capitalseniorliving.net,ASSISTED LIVING FACILITY #2,82.0,8/27/21
32908,Van Buren Legacy Llc,1012 FAYETTEVILLE ROAD,Van Buren,AR,72956,Crawford,4794747233,ladonna@memorylanevb.com,ASSISTED LIVING FACILITY #1,34.0,8/27/21
32914,Provalsd Clarksville Llc Dba Providence Assisited ,702 SOUTH HOSPITAL DRIVE,Clarksville,AR,72830,Johnson,4797541167,kcooper@provmanage.com,ASSISTED LIVING FACILITY #1,44.0,8/27/21
32973,The Evangelical Lutheran Good Samaritan Society Db,121 CORTEZ ROAD,Hot Springs Village,AR,71909,Saline,5019152020,shushaw@good-sam.com,ASSISTED LIVING FACILITY #1,30.0,8/27/21
32980,"Village Park Of Conway, Inc",1622 SCOTT STREET,Conway,AR,72034,Faulkner,5013276428,admin@villageparkofconway.com,ASSISTED LIVING FACILITY #2,47.0,8/27/21
32998,Eldercare  Of Arkansas Iv Inc  Dba  Stonebridge Of,401 SOUTHRIDGE PARKWAY,Heber Springs,AR,72543,Cleburne,5013627023,janet.loftis@sbseniorliving.com,ASSISTED LIVING FACILITY #2,89.0,8/27/21
33012,White River Area Agency On Aging Dba Eagle Mountai,302 WOODMONT CIRCLE,Batesville,AR,72501,Independence,8706128700,shelia.gates@wraaa.com,ASSISTED LIVING FACILITY #2,58.0,8/27/21
33017,Peachtree Village Llc ,1500 FRESNO,Fort Smith,AR,72901,Sebastian,4797855544,adminfs@peachtreevillage.org,ASSISTED LIVING FACILITY #1,59.0,8/27/21
33018,Innisfree Investments Llc ,300 INNISFREE CIRCLE,Rogers,AR,72758,Benton,4796367363,patrick.innisfree@gmail.com,ASSISTED LIVING FACILITY #1,40.0,8/27/21
33023,Hightower & Shepard Group Llc Dba The Pillars Of T,400 MAIN STREET,Crossett,AR,71635,Ashley,8703642474,lguin@thepillarscrossett.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
33024,"Arhc Frnlrar01 Trs, Llc",17 PARKSTONE CIRCLE,North Little Rock,AR,72116,Pulaski,5018019705,tdavis@foxridgeliving.net,ASSISTED LIVING FACILITY #2,86.0,8/27/21
33026,The Brookfield At Highland Crossing Llc,3 HIGHLANDS CROSSING,Bella Vista,AR,72715,Benton,4798555600,will@brookfieldseniors.com,ASSISTED LIVING FACILITY #1,56.0,8/27/21
33028,Emerichenal Llc Dba Brookdale Chenal Heights,1 CHENAL HEIGHTS DRIVE,Little Rock,AR,72223,Pulaski,5018211555,chenalheights-ed@emeritus.com,ASSISTED LIVING FACILITY #2,98.0,8/27/21
33149,Peachtree Village Of Farmington  Llc,55 WEST RAINSONG STREET,Farmington,AR,72730,Washington,4792673335,adminfarm@peachtreevillage.org,ASSISTED LIVING FACILITY #1,70.0,8/27/21
33152,Eldercare Of Arkansas V Inc Dba Stonebridge Of Cab,601 EAST MOUNTAIN SPRINGS ROAD,Cabot,AR,72023,Lonoke,5012867720,reba.smith@sbseniorliving.com,ASSISTED LIVING FACILITY #2,80.0,8/27/21
33165,River Lodge Assisted Living Llc,117 RIVERLODGE DRIVE,Mountain Home,AR,72653,Baxter,8706070902,mindy@riverlodgeal.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
33245,Emeritus Properties Ark Wildflower Llc D/B/A Brook,240 SOUTH INGLEWOOD AVENUE,Russellville,AR,72801,Pope,4798906709,mindy.brigance@brookdale.com,ASSISTED LIVING FACILITY #1,100.0,8/27/21
33250,The Brookfield At Fianna Oaks Llc,2300 FIANNA OAKS DRIVE,Fort Smith ,AR,72908,Sebastian,4796497100,ellie@brookfieldseniors.com,ASSISTED LIVING FACILITY #1,55.0,8/27/21
33255,Mount Carmel Community Llc,3505 BOONE ROAD,Benton,AR,72015,Saline,5013151555,jimmy@mtcarmelcommunity.com,ASSISTED LIVING FACILITY #2,100.0,8/27/21
33266,Rogers Memory Care Llc Dba Grand Brook Memory Care,5125 WEST PLEASANT GROVE ROAD,Rogers,AR,72758,Benton,4793724508,eross@grandbrook.com,ASSISTED LIVING FACILITY #2,40.0,8/27/21
33268,Bridgewood Bentonville Trs Llc Dba Village On The ,3800 SW MOUNT CARMEL DRIVE,Bentonville,AR,72713,Benton,4793640259,mshelton@rcmseniorliving.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
33271,Hopes Creek Inc,2502 FAYETTEVILLE ROAD,Van Buren,AR,72956,Crawford,4794711900,mlewis@hopescreek.com,ASSISTED LIVING FACILITY #2,118.0,8/27/21
33274,Bentonville Assisted Living Services Dba The Garde,"3317 SOUTHEAST "" L"" STREET",Bentonville,AR,72712,Benton,4792548759,kim@gardensatosageterrace.com,ASSISTED LIVING FACILITY #2,51.0,8/27/21
33278,Avenir Memory Care At Little Rock Lp,8401 RANCH BOULEVARD,Little Rock,AR,72223,Pulaski,5018686270,simmonsrene@avenirseniorliving.com,ASSISTED LIVING FACILITY #2,59.0,8/27/21
33283,Eldercare Of Arkansas Vi Dba Stonebridge Of Russel,1909 EAST FAIRWAY BOULEVARD,Russellville,AR,72801,Pope,4795675578,diana.tillman@sbseniorliving.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
33290,Mt Carmel Community At The Village ,540 PONCE DE LEON,Hot Springs Village,AR,71909,Garland,5019220166,matt@mtcarmelcommunity.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
33294,The Manor Llc,1401 LABELLE DRIVE,Little Rock,AR,72204,Pulaski,5014442390,pables@arkansasmanor.com,ASSISTED LIVING FACILITY #2,90.0,8/27/21
33318,The Brookfield At Oaktree Llc,205 SAWTOOTH OAK STREET,Hot Springs,AR,71901,Garland,5015200016,misty@brookfieldseniors.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
33319,Parkway Village Inc Dba Ginny And Bob Shell Alzhei,14322 CHENAL PARKWAY,Little Rock,AR,72211,Pulaski,5012026105,tina.to@baptist-health.org,ASSISTED LIVING FACILITY #2,60.0,8/27/21
33333,Ejg & Associates Inc Dba The Oasis Of Dumas Assist,38 BELMONT STREET ,Dumas ,AR,71639,Desha,8703822609,theoasisofdumasalf2017@outlook.com,ASSISTED LIVING FACILITY #2,30.0,8/27/21
33364,Bentonville Retirement Center Llc Dba Primrose Of ,650 SOUTH DODSON ROAD,Rogers,AR,72758,Benton,4794788887,temeka.ramsey@primroseretirement.com,ASSISTED LIVING FACILITY #2,100.0,8/27/21
33392,Peachtree Village At Holiday Island Llc,5 PARK  DRIVE,Holiday Island,AR,72631,Carroll,4792539933,adminhi@peachtreevillage.org,ASSISTED LIVING FACILITY #1,82.0,8/27/21
33395,The Evangelical Lutheran Good Samaritan Society Db,200 GOOD SAMARITAN DRIVE,Mountain Home,AR,72653,Baxter,8704252494,gss0470@good-sam.com,ASSISTED LIVING FACILITY #2,57.0,8/27/21
33420,Hope Haven Ltd,500 WEST 23RD STREET,Hope,AR,71801,Hempstead,8707778655,hopehaven@att.net,ASSISTED LIVING FACILITY #2,52.0,8/27/21
33429,The Meadows Assisted Living Inc,2300 SE 28TH STREET,Bentonville,AR,72712,Benton,4792739969,anns@meadowsinbentonville.com,ASSISTED LIVING FACILITY #2,81.0,8/27/21
34035,The Arbors Assisted Living Facilities Llc Dba The ,697 BRADLEY COVE ROAD,Russellville,AR,72802,Pope,4792193902,csamuels@arborsofrussellville.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
34151,Crown Point Retirement Center Llc,510 SOUTH ROSE STREET,Sheridan,AR,72150,Grant,8709424623,alicia@crownpointretirement.com,ASSISTED LIVING FACILITY #2,69.0,8/27/21
35211,Crestview Senior Living,3310 WEST MAIN STREET,Cabot,AR,72023,Lonoke,5015298337,april.spencer@crestviewsl.com,ASSISTED LIVING FACILITY #2,75.0,8/27/21
36285,The Green House Cottages Of Northwest Arkansas Llc,1303 NORTHEAST LEGACY PARKWAY,Bentonville,AR,72712,Benton,4792712387,administrator@legacyvillagearkansas.org,ASSISTED LIVING FACILITY #2,,8/27/21
