Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Email Address,State Facility Type 1 Literal,Capacity
32488,ST FRANCIS ASSISTED LIVING COMMUNITY,1800 STEPHENS DRIVE,FORREST CITY,AR,72335,Saint Francis,8706336390,astephensdev@gmail.com,Assisted Living Facility #2,55
32490,WEST DIXON  ALF OPERATING LLC,2821 WEST DIXON ROAD,LITTLE ROCK,AR,72206,Pulaski,5018884080,administrator@blossomsatwestdixonalf.com,Assisted Living Facility #2,32
32508,COUNTRYSIDE ASSISTED LIVING,722 PHILLIPS PLACE, HUNTSVILLE,AR,72740,Madison,4797381500,tara@countrysideassistedliving.com,Assisted Living Facility #2,106
32508,COUNTRYSIDE ASSISTED LIVING,722 PHILLIPS PLACE, HUNTSVILLE,AR,72740,Madison,4797381500,tara@countrysideassistedliving.com,Assisted Living Facility #2,106
32511,ARHC FRBRYAR01 TRS LLC,4216 FOX RIDGE DRIVE,BRYANT,AR,72022,Saline,5018473400,jrodgers@foxridgeliving.net,Assisted Living Facility #2,130
32529,S-H OPCO PLEASANT HILLS LLC DBA VITALITY LIVING PL,800 NAPA VALLEY DRIVE,LITTLE ROCK,AR,72211,Pulaski,5012259405,sblack@myvitalityliving.com,Assisted Living Facility #1,70
32531,"PROVIDENCE PCC OF SEARCY, LLC",3014 E MOORE AVE,SEARCY,AR,72143,White,5012684169,jfoster@provmanage.com,Assisted Living Facility #2,58
32538,MASSEY AVENUE ALF OPERATING LLC,414 MASSEY AVENUE,MOUNTAIN VIEW,AR,72560,Stone,8702695845,administrator@blossomsatmountainviewalf.com,Assisted Living Facility #2,32
32539,EMERITUS PROPERTIES ARK WILLOW BROOK LLC D/B/A BRO,5501 DUNCAN ROAD,FORT SMITH,AR,72903,Sebastian,4794845558,jennifer.thomas3@Brookdale.com,Assisted Living Facility #1,100
32544,GREEN ACRE EASY LIVING INC.,2407 WEST OAK STREET,ROGERS,AR,72758,Benton,4796311552,missyalsip@yahoo.com,Assisted Living Facility #2,30
32578,WOODLAND HEIGHTS OPCO LLC DBA WOODLAND HEIGHTS,8700 RILEY DRIVE,LITTLE ROCK,AR,72205,Pulaski,5012244242,executivedirector@woodlandheightsllc.com,Assisted Living Facility #2,75
32592,THE MANOR AT BENTON LLC,4727 BOONE ROAD,BRYANT,AR,72022,Saline,5013164100,tthompson@arkansasmanor.com,Assisted Living Facility #2,90
32604,GRAND MANOR LLC,1960 HIGHWAY 425 NORTH,MONTICELLO,AR,71655,Drew,8704124400,ann@grandmanormonticello.com,Assisted Living Facility #2,55
32605,ARKANSAS METHODIST RETIREMENT CENTER DBA CHATEAU O,2308 Chateau Blvd,Paragould,AR,72450,Greene,8702156300,deborah.farrell@mychateau.org,Assisted Living Facility #2,91
32606,NORTHWEST REGIONAL SUPPORTIVE LIVING LLC DBA MAPLE,1400 OLD BERGMAN ROAD,HARRISON,AR,72601,Boone,8702045226,melody@caresuitesofharrison.com,Assisted Living Facility #2,78
32621,HOT SPRINGS OPERATING LLC DBA THE ATRIUM AT SERENI,2803 ALBERT PIKE ROAD,HOT SPRINGS,AR,71913,Garland,5017601140,ExecutiveDirector@atriumatserenitypointe.com,Assisted Living Facility #2,150
32637,CHG SENIOR LIVING STONEHAVEN LLC dba STONEHAVEN  A,101 OLYMPIA DRIVE,MAUMELLE,AR,72113,Pulaski,5018033335,lisa.wallace@chgcares.com,Assisted Living Facility #2,80
32650,EC OPCO OF SHERWOOD LLC DBA ELMCROFT OF SHERWOOD,9880 BROCKINGTON ROAD,SHERWOOD,AR,72120,Pulaski,5018356000,bunderwood@elmcroft.com,Assisted Living Facility #1,60
32653,ELDERCARE OF ARKANSAS INC DBA STONEBRIDGE OF BLYTH,1401 EAST MOULTRIE DRIVE,BLYTHEVILLE,AR,72315,Mississippi,8708380033,Lea.Franks@sbseniorliving.com,Assisted Living Facility #2,60
32657,"EC OPCO MAUMELLE, LLC, DBA ELMCROFT OF MAUMELLE",100 BRINGLER DRIVE,MAUMELLE,AR,72113,Pulaski,5014835761,awiley@Elmcroft.com,Assisted Living Facility #2,60
32663,GARRETT WOODS ASSISTED LIVING AND INDEPENDENT LIVI,142 BRIGHTON TERRACE,HOT SPRINGS,AR,71913,Garland,5015251725,ALFacility@garrettwoodsal.com,Assisted Living Facility #2,61
32675,HOLLY HOUSE LTD,100 RIDGEVIEW ROAD,EUREKA SPRINGS,AR,72632,Carroll,4792539800,eurekahollyhouse@gmail.com,Assisted Living Facility #2,22
32676,AUTUMN HOME CARE FACILITIES INC DBA AUTUMN PLACE A,103 WADE LANE,PEA RIDGE ,AR,72751,Benton,4794511800,carriec@autumnhomecare.com,Assisted Living Facility #2,40
32697,WOODCREST ASSISTED LIVING ,2901 NEELEY STREET ,BATESVILLE ,AR,72501,Independence,8707935808,tanya.ray@wood-lawn.org,Assisted Living Facility #2,46
32699,EMERITUS PROPERTIES ARKANSAS LLC D/B/A BROOKDALE C,1160 HOGAN LANE,CONWAY,AR,72034,Faulkner,5015134300,brandi.booth@brookdale.com,Assisted Living Facility #1,100
32738,BROOKSTONE ASSISTED LIVING OPCO LLC DBA BROOKSTONE,415 EAST LONGVIEW STREET,FAYETTEVILLE,AR,72703,Washington,4794433900,executivedirector@brookstoneal.com,Assisted Living Facility #2,98
32738,BROOKSTONE ASSISTED LIVING OPCO LLC DBA BROOKSTONE,415 EAST LONGVIEW STREET,FAYETTEVILLE,AR,72703,Washington,4794433900,executivedirector@brookstoneal.com,Assisted Living Facility #2,98
32758,TRINITY VILLAGE INC DBA TRINITY VILLAGE ASSISTED L,6400 TRINITY DRIVE,PINE BLUFF,AR,71603,Lee,8707279312,dstone@trinityretirement.com,Assisted Living Facility #2,54
32759,AVENIR MEMORY CARE OF FAYETTEVILLE,1967 WEST TRUCKERS DRIVE,FAYETTEVILLE,AR,72704,Washington,4794422011,ledbetterrandy@avenirseniorliving.com,Assisted Living Facility #2,59
32763,BRIDGEWOOD ROGERS TRS LLC DBA VILLAGE ON THE PARK ,2200 WEST LAUREL AVENUE,ROGERS,AR,72758,Benton,4796310455,ehaley@rcmseniorliving.com,Assisted Living Facility #2,75
32766,THE VILLAGES OF GENERAL BAPTIST ASSISTED LIVING CE,7001 SOUTH HAZEL,PINE BLUFF,AR,71603,Jefferson,8705359283,tcallaway@gb-healthcare.com,Assisted Living Facility #2,60
32767,INDIAN ROCK VILLAGE LLC DBA VILLAGE GARDENS,265 DAVE CREEK PARKWAY,FAIRFIELD BAY,AR,72088,Van Buren,5018843210,rwilliams@rsoar.com,Assisted Living Facility #2,20
32785,MONTGOMERY COUNTY ASSISTED LIVING,147 SENIOR DRIVE,MT. IDA,AR,71957,Montgomery,8708672159,mcal_echo@windstream.net,Assisted Living Facility #2,42
32787,THE CROSSING AT MALVERN INC,720 NORTH WALCO ROAD,MALVERN,AR,72104,Hot Spring,5014678488,haley@thecrossingatmalvern.com,Assisted Living Facility #2,84
32836,LIBERTY PARK SENIOR CARE OF JONESBORO LLC,3024 RED WOLF BOULEVARD,JONESBORO,AR,72401,Craighead,8702069604,kalie@libertyparkseniorliving.com,Assisted Living Facility #2,75
32862,ST BERNARDS VILLAGE INC DBA ST BERNARDS VILLA,2217 WEST PARKER ROAD,JONESBORO,AR,72404,Craighead,8702076200,crsairls@sbrmc.org,Assisted Living Facility #2,116
32879,ST BERNARDS VILLIAGE INC,1606 HEERN DRIVE,JONESBORO,AR,72401,Craighead,8709328141,LBROWN1@SBRMC.ORG,Assisted Living Facility #1,65
32887,MAGNOLIA PLACE ALZHEIMERS SPECIAL CARE CENTER,2000 SOUTH HAMILTON PLACE,ROGERS,AR,72758,Benton,4796360799,kerrie.englund@sunshineret.com,Assisted Living Facility #2,66
32905,VENTAS WEST SHORES OPCO LLC DBA WEST SHORES,2607 ALBERT PIKE ROAD,HOT SPRINGS,AR,71913,Garland,5017671200,tfox@capitalseniorliving.net,Assisted Living Facility #2,82
32908,VAN BUREN LEGACY LLC,1012 FAYETTEVILLE ROAD,VAN BUREN,AR,72956,Crawford,4794747233,ladonna@memorylanevb.com,Assisted Living Facility #1,34
32914,PROVALSD CLARKSVILLE LLC DBA PROVIDENCE ASSISITED ,702 SOUTH HOSPITAL DRIVE,CLARKSVILLE,AR,72830,Johnson,4797541167,kcooper@provmanage.com,Assisted Living Facility #1,44
32973,THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY DB,121 CORTEZ ROAD,HOT SPRINGS VILLAGE,AR,71909,Saline,5019152020,shushaw@good-sam.com,Assisted Living Facility #1,30
32980,"VILLAGE PARK OF CONWAY, INC",1622 SCOTT STREET,CONWAY,AR,72034,Faulkner,5013276428,admin@villageparkofconway.com,Assisted Living Facility #2,47
32998,ELDERCARE  OF ARKANSAS IV INC  DBA  STONEBRIDGE OF,401 SOUTHRIDGE PARKWAY,HEBER SPRINGS,AR,72543,Cleburne,5013627023,janet.loftis@sbseniorliving.com,Assisted Living Facility #2,89
33012,WHITE RIVER AREA AGENCY ON AGING DBA EAGLE MOUNTAI,302 WOODMONT CIRCLE,BATESVILLE,AR,72501,Independence,8706128700,shelia.gates@wraaa.com,Assisted Living Facility #2,58
33017,PEACHTREE VILLAGE LLC ,1500 FRESNO,FORT SMITH,AR,72901,Sebastian,4797855544,adminfs@peachtreevillage.org,Assisted Living Facility #1,59
33018,INNISFREE INVESTMENTS LLC ,300 INNISFREE CIRCLE,ROGERS,AR,72758,Benton,4796367363,patrick.innisfree@gmail.com,Assisted Living Facility #1,40
33023,HIGHTOWER & SHEPARD GROUP LLC DBA THE PILLARS OF T,400 MAIN STREET,CROSSETT,AR,71635,Ashley,8703642474,lguin@thepillarscrossett.com,Assisted Living Facility #2,75
33024,"ARHC FRNLRAR01 TRS, LLC",17 PARKSTONE CIRCLE,NORTH LITTLE ROCK,AR,72116,Pulaski,5018019705,tdavis@foxridgeliving.net,Assisted Living Facility #2,86
33026,THE BROOKFIELD AT HIGHLAND CROSSING LLC,3 HIGHLANDS CROSSING,BELLA VISTA,AR,72715,Benton,4798555600,will@brookfieldseniors.com,Assisted Living Facility #1,56
33028,EMERICHENAL LLC DBA BROOKDALE CHENAL HEIGHTS,1 CHENAL HEIGHTS DRIVE,LITTLE ROCK,AR,72223,Pulaski,5018211555,ChenalHeights-ED@emeritus.com,Assisted Living Facility #2,98
33149,PEACHTREE VILLAGE OF FARMINGTON  LLC,55 WEST RAINSONG STREET,FARMINGTON,AR,72730,Washington,4792673335,adminfarm@peachtreevillage.org,Assisted Living Facility #1,70
33152,ELDERCARE OF ARKANSAS V INC DBA STONEBRIDGE OF CAB,601 EAST MOUNTAIN SPRINGS ROAD,CABOT,AR,72023,Lonoke,5012867720,reba.smith@sbseniorliving.com,Assisted Living Facility #2,80
33165,RIVER LODGE ASSISTED LIVING LLC,117 RIVERLODGE DRIVE,MOUNTAIN HOME,AR,72653,Baxter,8706070902,mindy@riverlodgeal.com,Assisted Living Facility #2,75
33245,EMERITUS PROPERTIES ARK WILDFLOWER LLC D/B/A BROOK,240 SOUTH INGLEWOOD AVENUE,RUSSELLVILLE,AR,72801,Pope,4798906709,mindy.brigance@brookdale.com,Assisted Living Facility #1,100
33250,THE BROOKFIELD AT FIANNA OAKS LLC,2300 FIANNA OAKS DRIVE,FORT SMITH ,AR,72908,Sebastian,4796497100,ellie@brookfieldseniors.com,Assisted Living Facility #1,55
33255,MOUNT CARMEL COMMUNITY LLC,3505 BOONE ROAD,BENTON,AR,72015,Saline,5013151555,jimmy@mtcarmelcommunity.com,Assisted Living Facility #2,100
33266,ROGERS MEMORY CARE LLC DBA GRAND BROOK MEMORY CARE,5125 WEST PLEASANT GROVE ROAD,ROGERS,AR,72758,Benton,4793724508,eross@grandbrook.com,Assisted Living Facility #2,40
33268,BRIDGEWOOD BENTONVILLE TRS LLC DBA VILLAGE ON THE ,3800 SW MOUNT CARMEL DRIVE,BENTONVILLE,AR,72713,Benton,4793640259,mshelton@rcmseniorliving.com,Assisted Living Facility #2,75
33271,HOPES CREEK INC,2502 FAYETTEVILLE ROAD,VAN BUREN,AR,72956,Crawford,4794711900,mlewis@hopescreek.com,Assisted Living Facility #2,118
33274,BENTONVILLE ASSISTED LIVING SERVICES DBA THE GARDE,"3317 SOUTHEAST "" L"" STREET",BENTONVILLE,AR,72712,Benton,4792548759,kim@gardensatosageterrace.com,Assisted Living Facility #2,51
33278,AVENIR MEMORY CARE AT LITTLE ROCK LP,8401 RANCH BOULEVARD,LITTLE ROCK,AR,72223,Pulaski,5018686270,SimmonsRene@avenirseniorliving.com,Assisted Living Facility #2,59
33283,ELDERCARE OF ARKANSAS VI DBA STONEBRIDGE OF RUSSEL,1909 EAST FAIRWAY BOULEVARD,RUSSELLVILLE,AR,72801,Pope,4795675578,diana.tillman@sbseniorliving.com,Assisted Living Facility #2,75
33290,MT CARMEL COMMUNITY AT THE VILLAGE ,540 PONCE DE LEON,HOT SPRINGS VILLAGE,AR,71909,Garland,5019220166,matt@mtcarmelcommunity.com,Assisted Living Facility #2,75
33294,THE MANOR LLC,1401 LABELLE DRIVE,LITTLE ROCK,AR,72204,Pulaski,5014442390,pables@arkansasmanor.com,Assisted Living Facility #2,90
33318,THE BROOKFIELD AT OAKTREE LLC,205 SAWTOOTH OAK STREET,HOT SPRINGS,AR,71901,Garland,5015200016,misty@brookfieldseniors.com,Assisted Living Facility #2,75
33319,PARKWAY VILLAGE INC DBA GINNY AND BOB SHELL ALZHEI,14322 CHENAL PARKWAY,LITTLE ROCK,AR,72211,Pulaski,5012026105,tina.to@baptist-health.org,Assisted Living Facility #2,60
33333,EJG & ASSOCIATES INC DBA THE OASIS OF DUMAS ASSIST,38 BELMONT STREET ,DUMAS ,AR,71639,Desha,8703822609,theoasisofdumasalf2017@outlook.com,Assisted Living Facility #2,30
33364,BENTONVILLE RETIREMENT CENTER LLC DBA PRIMROSE OF ,650 South Dodson Road,Rogers,AR,72758,Benton,4794788887,temeka.ramsey@primroseretirement.com,Assisted Living Facility #2,100
33392,PEACHTREE VILLAGE AT HOLIDAY ISLAND LLC,5 PARK  DRIVE,HOLIDAY ISLAND,AR,72631,Carroll,4792539933,adminhi@peachtreevillage.org,Assisted Living Facility #1,82
33395,THE EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY DB,200 GOOD SAMARITAN DRIVE,MOUNTAIN HOME,AR,72653,Baxter,8704252494,gss0470@good-sam.com,Assisted Living Facility #2,57
33420,HOPE HAVEN LTD,500 WEST 23RD STREET,HOPE,AR,71801,Hempstead,8707778655,hopehaven@att.net,Assisted Living Facility #2,52
33429,THE MEADOWS ASSISTED LIVING INC,2300 SE 28TH STREET,BENTONVILLE,AR,72712,Benton,4792739969,anns@meadowsinbentonville.com,Assisted Living Facility #2,81
34035,THE ARBORS ASSISTED LIVING FACILITIES LLC dba THE ,697 BRADLEY COVE ROAD,RUSSELLVILLE,AR,72802,Pope,4792193902,csamuels@arborsofrussellville.com,Assisted Living Facility #2,75
34151,CROWN POINT RETIREMENT CENTER LLC,510 SOUTH ROSE STREET,SHERIDAN,AR,72150,Grant,8709424623,alicia@crownpointretirement.com,Assisted Living Facility #2,69
35211,CRESTVIEW SENIOR LIVING,3310 WEST MAIN STREET,CABOT,AR,72023,Lonoke,5015298337,april.spencer@crestviewsl.com,Assisted Living Facility #2,75
36285,THE GREEN HOUSE COTTAGES OF NORTHWEST ARKANSAS LLC,1303 NORTHEAST LEGACY PARKWAY,BENTONVILLE,AR,72712,Benton,4792712387,administrator@legacyvillagearkansas.org,Assisted Living Facility #2,
