Facility Name,State Facility Type 1 Literal,License Number,State Facility Type 2 Literal,Address,State,County,Phone Number,Capacity,Date Accessed
Bethany At Mt Hood,RESIDENTIAL FACILITY FOR GROUPS,10106-AGC-0,"ALZHEIMER DISEASE, CHRONIC ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1566 MT HOOD STREET LAS VEGAS NV 89110,NV,Clark,702-459-4898,10,6/29/21
Bethel Care Home,RESIDENTIAL FACILITY FOR GROUPS,9674-AGC-2,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",7742 KIT CARSON AVE. LAS VEGAS NV 89179,NV,Clark,702-685-8574,9,6/29/21
Better Days Group Home,RESIDENTIAL FACILITY FOR GROUPS,3847-AGC-20,"CHRONIC ILLNESS, MENTAL ILLNESS",261 E ELDORADO LANE LAS VEGAS NV 89123,NV,Clark,702-794-2822,10,6/29/21
Better Living For Seniors,RESIDENTIAL FACILITY FOR GROUPS,10025-AGC-0,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",9712 ENNISKEEN AVE LAS VEGAS NV 89129-8001,NV,Clark,702-331-5059,6,6/29/21
Billman House,RESIDENTIAL FACILITY FOR GROUPS,3105-AGC-26,MENTAL ILLNESS,3646 BILLMAN AVE LAS VEGAS NV 89121,NV,Clark,702-778-2753,6,6/29/21
Blue Sky Memory Care,RESIDENTIAL FACILITY FOR GROUPS,8480-AGC-4,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",8025 AMIGO STREET LAS VEGAS NV 89123,NV,Clark,702-497-2166,26,6/29/21
Bright Life,RESIDENTIAL FACILITY FOR GROUPS,10145-AGC-1,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",10515 KENAI DR. RENO NV 89521,NV,Washoe,775-762-2162,10,6/29/21
Brookdale Las Vegas,RESIDENTIAL FACILITY FOR GROUPS,1774-AGC-48,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3025 E RUSSELL ROAD LAS VEGAS NV 89120,NV,Clark,702-451-7896,105,6/29/21
Brookdale Reno,RESIDENTIAL FACILITY FOR GROUPS,1884-AGC-38,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES",3105 PLUMAS STREET RENO NV 89509,NV,Washoe,775-828-5000,56,6/29/21
Brookdale Vista,RESIDENTIAL FACILITY FOR GROUPS,443-AGC-33,ASSISTED LIVING SERVICES,2000 E PRATER WAY SPARKS NV 89434,NV,Washoe,775-359-7733,74,6/29/21
Caring Hearts Care Home Llc,RESIDENTIAL FACILITY FOR GROUPS,2016-AGC-33,"MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",64 NORTH PEARL STREET LAS VEGAS NV 89110,NV,Clark,702-437-8448,10,6/29/21
Carmela Homes,RESIDENTIAL FACILITY FOR GROUPS,2726-AGC-30,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5500 CLEARY COURT LAS VEGAS NV 89109,NV,Clark,702-636-0150,6,6/29/21
Carson Tahoe Expressions Memory Care,RESIDENTIAL FACILITY FOR GROUPS,8640-AGC-2,"ALZHEIMER DISEASE, CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1001 MOUNTAIN ST CARSON CITY NV 89703,NV,Carson City,775-443-4800,54,6/29/21
Carson Valley Senior Living,RESIDENTIAL FACILITY FOR GROUPS,105-AGC-41,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES",1189 KIMMERLING ROAD GARDNERVILLE NV 89460,NV,Douglas,775-265-1400,86,6/29/21
Casa Norte Group Home,RESIDENTIAL FACILITY FOR GROUPS,7323-AGC-11,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",4935  NORTH MILLER LN LAS VEGAS NV 89149,NV,Clark,702-656-0602,9,6/29/21
Casa Oliva,RESIDENTIAL FACILITY FOR GROUPS,8455-AGC-6,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",3209 CEDAR STREET LAS VEGAS NV 89104,NV,Clark,702-431-0672,9,6/29/21
Cascades Of The Sierra,RESIDENTIAL FACILITY FOR GROUPS,5232-AGC-15,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",275 NEIGHBORHOOD WAY SPARKS NV 89441,NV,Washoe,425-408-9141,150,6/29/21
Cece Group Home Llc,RESIDENTIAL FACILITY FOR GROUPS,9297-AGC-3,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5417 IRELAND ST. LAS VEGAS NV 89149,NV,Clark,702-768-0206,8,6/29/21
Cessabella Residential Suite Llc #1,RESIDENTIAL FACILITY FOR GROUPS,5723-AGC-17,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES",8295 OPAL STATION DR RENO NV 89506,NV,Washoe,775-677-9760,8,6/29/21
Chutney Residential Home,RESIDENTIAL FACILITY FOR GROUPS,2788-AGC-22,ALZHEIMER DISEASE,3881 CHUTNEY ST LAS VEGAS NV 89121,NV,Clark,702-866-6750,7,6/29/21
Cj Homes,RESIDENTIAL FACILITY FOR GROUPS,115-AGC-30,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1627 GABRIEL DRIVE LAS VEGAS NV 89119,NV,Clark,702-798-8246,10,6/29/21
Clearwater At Rancharrah,RESIDENTIAL FACILITY FOR GROUPS,9414-AGC-0,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",5255 KIETZKE LANE RENO NV 89511,NV,Washoe,949-333-8580,142,6/29/21
Climbing Rose Care Home,RESIDENTIAL FACILITY FOR GROUPS,2456-AGC-27,"CHRONIC ILLNESS, MENTAL ILLNESS",3848 CLIMBING ROSE ST LAS VEGAS NV 89147,NV,Clark,702-362-1188,6,6/29/21
Cnc Alzheimers Home Care,RESIDENTIAL FACILITY FOR GROUPS,1932-AGC-31,ALZHEIMER DISEASE,7765 CLEARWOOD AVE LAS VEGAS NV 89123,NV,Clark,702-798-8008,9,6/29/21
Corinthian Place Llc,RESIDENTIAL FACILITY FOR GROUPS,7317-AGC-11,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,2630 SUNRAY DR RENO NV 89503,NV,Washoe,775-762-3681,8,6/29/21
Corinthian Place South Llc,RESIDENTIAL FACILITY FOR GROUPS,10042-AGC-1,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,5855 LONE HORSE DR RENO NV 89502,NV,Washoe,775-762-3681,9,6/29/21
Coronado Heights Senior Living,RESIDENTIAL FACILITY FOR GROUPS,8297-AGC-4,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",2320 IONE ROAD LAS VEGAS NV 89183,NV,Clark,725-200-3400,126,6/29/21
Covenant Of Love,RESIDENTIAL FACILITY FOR GROUPS,5061-AGC-15,"CHRONIC ILLNESS, MENTAL ILLNESS",1213 BALZAR AVE LAS VEGAS NV 89106,NV,Clark,702-810-4830,6,6/29/21
D' Caesars Care Home,RESIDENTIAL FACILITY FOR GROUPS,9789-AGC-1,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3856 JEWEL AVENUE LAS VEGAS NV 89121,NV,Clark,702-434-5882,10,6/29/21
Darlington Manor,RESIDENTIAL FACILITY FOR GROUPS,4983-AGC-16,"ALZHEIMER DISEASE, CHRONIC ILLNESS",339 EMDEN ST HENDERSON NV 89015,NV,Clark,702-361-5926,9,6/29/21
Dawn Garden Home Care,RESIDENTIAL FACILITY FOR GROUPS,2789-AGC-35,MENTAL ILLNESS,9190 DAWN GARDEN AVE LAS VEGAS NV 89147,NV,Clark,702-405-0991,8,6/29/21
Desert Inn Residential Care,RESIDENTIAL FACILITY FOR GROUPS,3119-AGC-20,ALZHEIMER DISEASE,2845 BURNHAM AVENUE LAS VEGAS NV 89109,NV,Clark,702-894-9252,4,6/29/21
Desert Springs Senior Living,RESIDENTIAL FACILITY FOR GROUPS,410-AGC-46,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS",6650 W FLAMINGO RD LAS VEGAS NV 89103,NV,Clark,702-732-2800,100,6/29/21
Desert View Senior Living,RESIDENTIAL FACILITY FOR GROUPS,8809-AGC-4,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3890 N BUFFALO DRIVE LAS VEGAS NV 89129-8809,NV,Clark,702-333-4346,113,6/29/21
Diamond Residential,RESIDENTIAL FACILITY FOR GROUPS,4889-AGC-19,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",1800 PRINCE WAY RENO NV 89503,NV,Washoe,775-354-7365,7,6/29/21
Diamond Retirement Living,RESIDENTIAL FACILITY FOR GROUPS,5228-AGC-13,ALZHEIMER DISEASE,335 W SHERWOOD DR HENDERSON NV 89015,NV,Clark,702-496-6906,10,6/29/21
Dignified Care Manor,RESIDENTIAL FACILITY FOR GROUPS,3228-AGC-26,ALZHEIMER DISEASE,2915 EL CAMINO RD LAS VEGAS NV 89146,NV,Clark,702-227-5222,10,6/29/21
"Dignity Care Home, Llc",RESIDENTIAL FACILITY FOR GROUPS,7699-AGC-9,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",3740 LA JUNTA DRIVE LAS VEGAS NV 89120,NV,Clark,702-595-0058,10,6/29/21
