A PRECIOUS GEMS ADULT CARE,RESIDENTIAL FACILITY FOR GROUPS,,3171-AGC-23,Active,12/31/2021,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,1733 HUNTERS BLUFF DRIVE NORTH LAS VEGAS NV 89032,,NV,CLARK,,702-636-5501,06/25/2001,ATHELDA ABRAMS,Administrator,7,0
A R C H OF LAS  VEGAS,RESIDENTIAL FACILITY FOR GROUPS,,2311-AGC-30,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,9483 LIGHTNING BAY CT LAS VEGAS NV 89123,,NV,CLARK,,702-616-2588,07/19/1999,PETERSON DURIAS JR,Administrator,6,0
A SUMMERDALE HOMES @ RIATA LLC,RESIDENTIAL FACILITY FOR GROUPS,,4241-AGC-21,Active,12/31/2021,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,N/A,,14315 RIATA CIRCLE RENO NV 89521,,NV,WASHOE,,775-851-4185,02/24/2005,EUGENE GASATAYA,Administrator,8,0
A SUMMERDALE HOMES @ RIBEIRO LLC,RESIDENTIAL FACILITY FOR GROUPS,,2194-AGC-31,Active,12/31/2021,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,N/A,,1868 RIBEIRO CIRCLE RENO NV 89503,,NV,WASHOE,,775-746-1949,12/01/1998,EUGENE GASATAYA,Administrator,6,0
ABINGTON MANOR,RESIDENTIAL FACILITY FOR GROUPS,,3062-AGC-25,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,478 PEARBERRY AVE LAS VEGAS NV 89183,,NV,CLARK,,702-837-6968,09/19/2000,MARGIE ANTONIO,Administrator,6,0
ABSOLUTE CIRCLE OF CARE ACKERMAN,RESIDENTIAL FACILITY FOR GROUPS,,3980-AGC-21,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,7385 ACKERMAN AVE LAS VEGAS NV 89131,,NV,CLARK,,702-655-1544,01/25/2005,FRANCESCA SALCEDO,Administrator,10,0
ACACIA OASIS,RESIDENTIAL FACILITY FOR GROUPS,,8944-AGC-3,Active,12/31/2021,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,N/A,,8630 W. NEVSO DRIVE LAS VEGAS NV 89147,,NV,CLARK,,702-942-8700,03/08/2018,PENNY MUNN,Administrator,50,0
ADULT CARE AT PAH RAH,RESIDENTIAL FACILITY FOR GROUPS,,10178-AGC-0,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,7300 PAH RAH DR SPARKS NV 89436,,NV,WASHOE,,775-870-3413,12/11/2020,LAILA BUENVIAJE,Administrator,10,0
ADULT COMFORT AND CARE HOME 2,RESIDENTIAL FACILITY FOR GROUPS,,8317-AGC-7,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,10315 QUEENSBURY AVENUE LAS VEGAS NV 89135,,NV,CLARK,,702-629-4663,07/15/2015,KARPAL PANNU,Administrator,10,0
ADULT COMFORT AND CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,,7437-AGC-13,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,2105 CARROLL ST LAS VEGAS NV 89030,,NV,CLARK,,702-629-4663,01/01/2013,KARPAL PANNU,Administrator,10,0
ADVANCED CARE FOR THE ELDERLY LLC,RESIDENTIAL FACILITY FOR GROUPS,,3596-AGC-26,Active,12/31/2021,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,N/A,,9501 MULROONA COURT LAS VEGAS NV 89129,,NV,CLARK,,702-838-5818,10/24/2002,EMELITA TUGAS,Administrator,8,0
AEGIS LIVING LAS VEGAS,RESIDENTIAL FACILITY FOR GROUPS,,10333-AGC-0,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,9100 WEST DESERT INN RD. LAS VEGAS NV 89117,,NV,CLARK,,425-861-9993,06/17/2021,DEBRA MOORE,Administrator,72,0
"ALOHA PARADISE CARE, LLC",RESIDENTIAL FACILITY FOR GROUPS,,9545-AGC-2,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,1809 WESTWIND ROAD LAS VEGAS NV 89146,,NV,CLARK,,702-629-6247,05/09/2019,LAWRENCE O'SHEA,Administrator,8,0
ALTA CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,69-AGC-31,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS",N/A,,2007 ALTA DRIVE LAS VEGAS NV 89106,,NV,CLARK,,702-384-6838,08/01/1997,"PETERSON DURIAS, JR",Administrator,7,0
ALTERNATIVE HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,,9278-AGC-2,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,4504 LA ROCA CIRCLE LAS VEGAS NV 89121,,NV,CLARK,,702-856-6443,11/16/2018,JANYVILL RUIZ,Administrator,10,0
ALZHEIMERS LUXURY CARE,RESIDENTIAL FACILITY FOR GROUPS,,3671-AGC-19,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,2951 VIKING ROAD LAS VEGAS NV 89121,,NV,CLARK,,702-471-7204,05/19/2003,CHRIS CHAN TAN,Administrator,9,0
AMEERY CARE,RESIDENTIAL FACILITY FOR GROUPS,,8675-AGC-4,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,333 PRINCE GEORGE ROAD LAS VEGAS NV 89123,,NV,CLARK,,702-260-7588,04/10/2017,ROSALLEN AZUCENA,Administrator,10,0
AMEERY CARE II,RESIDENTIAL FACILITY FOR GROUPS,,7197-AGC-13,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,271 E DESERT ROSE DR HENDERSON NV 89015,,NV,CLARK,,702-608-7238,02/22/2012,RACHEL DEGELBECK,Administrator,10,0
AMERICAN SENIOR HOME GABRIEL,RESIDENTIAL FACILITY FOR GROUPS,,9397-AGC-2,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,2372 GABRIEL DRIVE LAS VEGAS NV 89119,,NV,CLARK,,702-460-1267,04/03/2019,DORA VALENTIN,Administrator,10,0
AMETHYST CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,,8642-AGC-4,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,3702 INTERNET AVENUE N. LAS VEGAS NV 89031,,NV,CLARK,,702-636-8916,10/27/2016,GILBERTO DECASTRO,Administrator,10,0
ANGEL CARE RESIDENTIAL HOME,RESIDENTIAL FACILITY FOR GROUPS,,7543-AGC-14,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,5559 TROOPER STREET LAS VEGAS NV 89120,,NV,CLARK,,702-910-3611,01/11/2013,CHRISTOPHER LANE,Administrator,10,0
ANGEL PALACE,RESIDENTIAL FACILITY FOR GROUPS,,9189-AGC-2,Active,12/31/2021,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS",N/A,,3131 ROSANNA ST LAS VEGAS NV 89117,,NV,CLARK,,702-505-0959,11/16/2018,GEOFFREY GOMEZ GOMEZ,Administrator,10,0
ANGEL PRESTIGE,RESIDENTIAL FACILITY FOR GROUPS,,3220-AGC-24,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,3712 SPITZE DRIVE LAS VEGAS NV 89103,,NV,CLARK,,702-871-8606,07/09/2001,HERMANDO ESGUERRA,Administrator,20,10
ANGELICAS LOVING HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,,5037-AGC-17,Active,12/31/2021,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,3475 SCOTTSDALE RD RENO NV 89512,,NV,WASHOE,,775-800-1228,11/19/2007,FLORENTINO LEANILLO,Administrator,5,0
ANGELS CARE,RESIDENTIAL FACILITY FOR GROUPS,,3483-AGC-23,Active,12/31/2021,MENTAL ILLNESS,N/A,,1905 S 17TH STREET LAS VEGAS NV 89104,,NV,CLARK,,702-733-0992,07/29/2002,CHERRY DAELTO,Administrator,9,0
ANGELS HOUSE ADULT CARE,RESIDENTIAL FACILITY FOR GROUPS,,4063-AGC-26,Active,12/31/2021,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,5496 TAMARUS STREET LAS VEGAS NV 89119,,NV,CLARK,,702-262-9062,03/31/2005,BRAD BOMAN,Administrator,9,0
APRILS VILLA,RESIDENTIAL FACILITY FOR GROUPS,,5589-AGC-14,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,10450 ARBOR WAY RENO NV 89521,,NV,WASHOE,,775-851-4355,02/23/2009,APRIL ABSHERE,Administrator,6,0
ARBORS MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,,8994-AGC-3,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,2121 EAST PRATER WAY SPARKS NV 89434,,NV,WASHOE,,775-331-2229,01/31/2018,BARBARA HEYWOOD,Administrator,72,0
ARTESIAN GARDENS,RESIDENTIAL FACILITY FOR GROUPS,,8275-AGC-6,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,75 MULE DEER DRIVE RENO NV 89523,,NV,WASHOE,,775-345-7441,04/14/2015,APRIL ABSHERE,Administrator,9,0
"ARTESIAN GARDENS SENIOR CARE II, LLC",RESIDENTIAL FACILITY FOR GROUPS,,9345-AGC-3,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,1550 FIRMAN CT SPARKS NV 89434,,NV,WASHOE,,775-772-1272,08/09/2018,APRIL ABSHERE,Administrator,9,0
AS TIME GOES BY III,RESIDENTIAL FACILITY FOR GROUPS,,59-AGC-26,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,4125 BUTLER LAS VEGAS NV 89129,,NV,CLARK,,702-655-5557,04/21/1997,JUNE KERN,Administrator,10,0
AS TIME GOES BY V,RESIDENTIAL FACILITY FOR GROUPS,,6083-AGC-10,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,4149 JORY TRAIL LAS VEGAS NV 89108,,NV,CLARK,,702-655-7175,01/01/2011,JUNE KERN,Administrator,6,0
AS TIME GOES BY VII,RESIDENTIAL FACILITY FOR GROUPS,,4937-AGC-15,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,4240 AL CARRISON LAS VEGAS NV 89129,,NV,CLARK,,702-683-4568,08/20/2007,JUNE KERN,Administrator,10,0
AT NIGHTINGALES,RESIDENTIAL FACILITY FOR GROUPS,,9662-AGC-2,Active,12/31/2021,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,813 FAIRWAY DRIVE LAS VEGAS NV 89107,,NV,CLARK,,702-334-5518,08/19/2019,MARINA VAUGHN,Administrator,10,0
AT ROYAL VILLA HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,,7564-AGC-14,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS",N/A,,2970 S TORREY PINES RD LAS VEGAS NV 89146,,NV,CLARK,,702-257-0176,02/27/2013,MINKYUNG LIM,Administrator,10,0
ATRIA SEVILLE,RESIDENTIAL FACILITY FOR GROUPS,,2678-AGC-42,Active,12/31/2021,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,2000 N RAMPART LAS VEGAS NV 89128,,NV,CLARK,,702-804-6800,01/11/2000,THOMAS BROOKS,Administrator,144,0
ATRIA SUMMIT RIDGE,RESIDENTIAL FACILITY FOR GROUPS,,413-AGC-44,Active,12/31/2021,"ASSISTED LIVING SERVICES, CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,4880 SUMMIT RIDGE DRIVE RENO NV 89523,,NV,WASHOE,,775-787-3000,04/11/1997,BRIAN NEWMAN,Administrator,85,0
AVALON HEALTH ESTATES,RESIDENTIAL FACILITY FOR GROUPS,,1934-AGC-29,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,7450 DEL REY AVE LAS VEGAS NV 89117,,NV,CLARK,,702-240-6102,05/11/1998,LILIA SIOSON,Administrator,12,6
AVAMERE AT CHEYENNE,RESIDENTIAL FACILITY FOR GROUPS,,9131-AGC-2,Active,12/31/2021,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,6031 W. CHEYENNE AVENUE LAS VEGAS NV 89108,,NV,CLARK,,702-658-5882,01/03/2019,TIERNY WILBURN,Administrator,150,0
AVENIR MEMORY CARE AT SUMMERLIN,RESIDENTIAL FACILITY FOR GROUPS,,8729-AGC-3,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,7395 SMOKE RANCH ROAD LAS VEGAS NV 89128,,NV,CLARK,,702-749-9090,06/14/2018,AMBY KENNEDY,Administrator,80,0
AVONDALE CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,9280-AGC-3,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,6215 EAST OWENS AVENUE LAS VEGAS NV 89110,,NV,CLARK,,702-856-6443,08/13/2018,DOROTHY DOMINGO,Administrator,10,0
AVONLI CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,9279-AGC-3,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,3364 ROSARIO CIRCLE LAS VEGAS NV 89121,,NV,CLARK,,702-856-6443,08/24/2018,GINALYN BALTAZAR-SUMBANG,Administrator,10,0
BAILEYS GROUP HOME INC,RESIDENTIAL FACILITY FOR GROUPS,,7812-AGC-8,Active,12/31/2021,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,1998 ARCANE AVENUE RENO NV 89503,,NV,WASHOE,,775-473-7736,01/06/2014,PAUL BAILEY,Administrator,6,0
BECKYS HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,,79-AGC-30,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,4055 CLOUD NINE LANE LAS VEGAS NV 89115,,NV,CLARK,,702-643-3380,03/14/1994,CHARO DALE,Administrator,6,0
BEE HIVE HOMES OF HENDERSON,RESIDENTIAL FACILITY FOR GROUPS,,10175-AGC-0,Active,12/31/2021,"ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,1000 GREENWAY RD BLDG 2 HENDERSON NV 89002,,NV,CLARK,,702-551-0265,11/08/2020,GERALD HAMILTON,Administrator,20,0
BEE HIVE HOMES OF HENDERSON MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,,9927-AGC-1,Active,12/31/2021,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,1000 GREENWAY RD BLDG 1 HENDERSON NV 89002,,NV,CLARK,,505-270-9989,06/26/2020,CYNTHIA BAILEY,Administrator,20,0
BEE HIVE HOMES OF MESQUITE,RESIDENTIAL FACILITY FOR GROUPS,,7876-AGC-8,Active,12/31/2021,,N/A,,780 WEST SECOND SOUTH MESQUITE NV 89027,,NV,CLARK,,505-270-9989,11/03/2014,GERALD HAMILTON,Administrator,15,0
BEE HIVE HOMES OF MESQUITE II,RESIDENTIAL FACILITY FOR GROUPS,,9234-AGC-3,Active,12/31/2021,"ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,790 SECOND SOUTH ST MESQUITE NV 89027,,NV,CLARK,,702-346-2040,08/31/2018,GERALD HAMILTON,Administrator,16,0
BEE HIVE HOMES OF PARADISE VALLEY INC,RESIDENTIAL FACILITY FOR GROUPS,,2152-AGC-29,Active,12/31/2021,MENTAL ILLNESS,N/A,,3841 E TWAIN LAS VEGAS NV 89121,,NV,CLARK,,702-454-9080,02/03/1999,JOANNE MISURACA,Administrator,10,0
BEE HIVE HOMES OF WINNEMUCCA,RESIDENTIAL FACILITY FOR GROUPS,,2352-AGC-23,Active,12/31/2021,RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS,N/A,,1250 HANSEN STREET WINNEMUCCA NV 89445,,NV,HUMBOLDT,,775-623-5395,04/02/1999,KIT HOBSON,Administrator,10,0
BELLA CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,6027-AGC-17,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS",N/A,,5905 CONCERT DR LAS VEGAS NV 89107,,NV,CLARK,,702-838-7990,10/19/2010,JOANNE MISURACA,Administrator,10,0
BELLA CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,,9724-AGC-2,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,9900 VERMILLION CLIFFS AVE LAS VEGAS NV 89147,,NV,CLARK,,725-500-7868,07/30/2019,ROBERT MARTINEZ,Administrator,8,0
BELLA ESTATE CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,7555-AGC-11,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS",N/A,,3140 COACHLIGHT CIRCLE LAS VEGAS NV 89117,,NV,CLARK,,702-220-4281,04/22/2013,SUSAN SOWERS,Administrator,10,0
BELLA VITA CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,8664-AGC-5,Active,12/31/2021,ALZHEIMER DISEASE,N/A,,9924 WONDERFUL DAY DRIVE LAS VEGAS NV 89148,,NV,CLARK,,917-797-3265,10/13/2016,NICHOLE CROCK,Administrator,10,0
BELLAMONTE RESIDENTIAL,RESIDENTIAL FACILITY FOR GROUPS,,10226-AGC-0,Active,12/31/2021,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,7830 SOUTH SPENCER STREET LAS VEGAS NV 89123,,NV,CLARK,,714-363-2060,04/15/2021,MAGALI ORTIZ,Administrator,10,0
BERMUDA MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,,9909-AGC-1,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,9063 HUNTING ARROW STREET LAS VEGAS NV 89123,,NV,CLARK,,702-235-2584,11/06/2019,CRISTINA LOPEZ,Administrator,10,0
BEST HOME CARE AT WYOMING LLC,RESIDENTIAL FACILITY FOR GROUPS,,9751-AGC-0,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,4423 E WYOMING AVE LAS VEGAS NV 89114,,NV,CLARK,,702-758-8696,11/19/2020,CHARO DALE,Administrator,8,0
BEST SOLUTIONS HOME CARE,RESIDENTIAL FACILITY FOR GROUPS,,9966-AGC-1,Active,12/31/2021,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,7245 SCOTTSMOOR CT LAS VEGAS NV 89156,,NV,CLARK,,702-927-8711,07/13/2020,MARIA ACOBA,Administrator,4,0
BETHANY AT MT HOOD,RESIDENTIAL FACILITY FOR GROUPS,,10106-AGC-0,Active,12/31/2021,"ALZHEIMER DISEASE, CHRONIC ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,1566 MT HOOD STREET LAS VEGAS NV 89110,,NV,CLARK,,702-459-4898,02/26/2021,ROBERT MARTINEZ,Administrator,10,0
BETHEL CARE HOME,RESIDENTIAL FACILITY FOR GROUPS,,9674-AGC-2,Active,12/31/2021,"CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,7742 KIT CARSON AVE. LAS VEGAS NV 89179,,NV,CLARK,,702-685-8574,09/26/2019,MINKYUNG LIM,Administrator,9,0
BETTER DAYS GROUP HOME,RESIDENTIAL FACILITY FOR GROUPS,,3847-AGC-20,Active,12/31/2021,"CHRONIC ILLNESS, MENTAL ILLNESS",N/A,,261 E ELDORADO LANE LAS VEGAS NV 89123,,NV,CLARK,,702-794-2822,07/09/2004,HOWARD HUGHES,Administrator,10,0
BETTER LIVING FOR SENIORS,RESIDENTIAL FACILITY FOR GROUPS,,10025-AGC-0,Active,12/31/2021,"ALZHEIMER DISEASE, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,9712 ENNISKEEN AVE LAS VEGAS NV 89129-8001,,NV,CLARK,,702-331-5059,11/19/2020,PRESCILA BARCELON,Administrator,6,0
BILLMAN HOUSE,RESIDENTIAL FACILITY FOR GROUPS,,3105-AGC-26,Active,12/31/2021,MENTAL ILLNESS,N/A,,3646 BILLMAN AVE LAS VEGAS NV 89121,,NV,CLARK,,702-778-2753,09/19/2000,OLIVIA PARNELL,Administrator,6,0
BLUE SKY MEMORY CARE,RESIDENTIAL FACILITY FOR GROUPS,,8480-AGC-4,Active,12/31/2021,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,8025 AMIGO STREET LAS VEGAS NV 89123,,NV,CLARK,,702-497-2166,06/14/2017,MARIANITA GEE,Administrator,26,0
BRIGHT LIFE,RESIDENTIAL FACILITY FOR GROUPS,,10145-AGC-1,Active,12/31/2021,"ALZHEIMER DISEASE, CHRONIC ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,10515 KENAI DR. RENO NV 89521,,NV,WASHOE,,775-762-2162,09/23/2020,ERNESTO BELTEJAR JR.,Administrator,10,0
BROOKDALE LAS VEGAS,RESIDENTIAL FACILITY FOR GROUPS,,1774-AGC-48,Active,12/31/2021,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES, MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,3025 E RUSSELL ROAD LAS VEGAS NV 89120,,NV,CLARK,,702-451-7896,03/24/1998,HEATHER LANKFORD,Administrator,105,0
BROOKDALE RENO,RESIDENTIAL FACILITY FOR GROUPS,,1884-AGC-38,Active,12/31/2021,"ALZHEIMER DISEASE, ASSISTED LIVING SERVICES",N/A,,3105 PLUMAS STREET RENO NV 89509,,NV,WASHOE,,775-828-5000,06/01/1998,PATRICIA MCGILL,Administrator,56,0
BROOKDALE VISTA,RESIDENTIAL FACILITY FOR GROUPS,,443-AGC-33,Active,12/31/2021,ASSISTED LIVING SERVICES,N/A,,2000 E PRATER WAY SPARKS NV 89434,,NV,WASHOE,,775-359-7733,01/30/1997,ROBERT MATTS,Administrator,74,0
CARING HEARTS CARE HOME LLC,RESIDENTIAL FACILITY FOR GROUPS,,2016-AGC-33,Active,12/31/2021,"MENTAL ILLNESS, INDIVIDUALS WITH INTELLECTUAL DISABILITES, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,64 NORTH PEARL STREET LAS VEGAS NV 89110,,NV,CLARK,,702-437-8448,11/03/1998,ANNA MARIE GUY,Administrator,10,0
CARMELA HOMES,RESIDENTIAL FACILITY FOR GROUPS,,2726-AGC-30,Active,12/31/2021,"MENTAL ILLNESS, RESIDENTIAL FACILITY FOR ELDERLY OR DISABLED PERSONS",N/A,,5500 CLEARY COURT LAS VEGAS NV 89109,,NV,CLARK,,702-636-0150,02/18/2000,MARINA VAUGHN,Administrator,6,0
